Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , ,[' 1'],[' 5523+'],[' 2769'],"[' 1009.091s (Solving', ' 976.96s 1st Model', ' 46.93s Unsat', ' 0.00s)']",[' 1004.828s'], ,[' 199557765'],"[' 21756411 (Analyzed', ' 21248222)']","[' 39408    (Average', ' 539.19 Last', ' 47891)']",[' 7444.5  '],"[' 2769     (Average Length', ' 1440.68 Splits', ' 0)']","[' 21248222 (Deleted', ' 21042934)']","[' 38       (Ratio', '   0.00%)']","[' 21406    (Ratio', '   0.10%)']","[' 21248222 (Average Length', '   18.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21248222 (Average', '  8.70 Max', ' 9631 Sum', ' 184960664)']","[' 21245482 (Average', '  8.54 Max', ' 9206 Sum', ' 181411944 Ratio', '  98.08%)']","[' 2740     (Average', ' 1295.15 Max', ' 1893 Sum', ' 3548720 Ratio', '   1.92%)']", ,[' 294217  '],[' 13763   '],[' 268333  '],[' 99597   '],"[' 260281   (Atom=Atom', ' 71836 Body=Body', ' 47126 Other', ' 141319)']",[' Yes'],"[' 17610    (Eliminated', '    0 Frozen', ' 17610)']","[' 3297     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.52312'],[' 0'], ,[' 660.98'],[' 0'],[' 19.9564'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.29835e+08'],[' 2.50502e+08'],[' 0'],[' 4.20092e+10'],[' 0'],[' 0'],[' 1093 '],[' 2115 '],[' 3098 '],[' 3943 '],[' 4429 '],[' 5172 '],[' 5920 '],[' 7 '],[' 0 ']
Solving...,TA72, , , ,[' 1'],[' 5747+'],[' 2881'],"[' 1009.002s (Solving', ' 978.22s 1st Model', ' 40.76s Unsat', ' 0.00s)']",[' 1005.359s'], ,[' 182579999'],"[' 22296297 (Analyzed', ' 21713995)']","[' 42370    (Average', ' 512.49 Last', ' 9703)']",[' 6997.9  '],"[' 2881     (Average Length', ' 1495.01 Splits', ' 0)']","[' 21713995 (Deleted', ' 21484487)']","[' 39       (Ratio', '   0.00%)']","[' 19258    (Ratio', '   0.09%)']","[' 21713995 (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21713995 (Average', '  7.76 Max', ' 9223 Sum', ' 168558292)']","[' 21711699 (Average', '  7.61 Max', ' 9223 Sum', ' 165190855 Ratio', '  98.00%)']","[' 2296     (Average', ' 1466.65 Max', ' 2091 Sum', ' 3367437 Ratio', '   2.00%)']", ,[' 297285  '],[' 13538   '],[' 269450  '],[' 101126  '],"[' 257217   (Atom=Atom', ' 71048 Body=Body', ' 46451 Other', ' 139718)']",[' Yes'],"[' 17478    (Eliminated', '    0 Frozen', ' 17478)']","[' 3577     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.08631'],[' 0'], ,[' 669.476'],[' 0'],[' 19.2508'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.09934e+08'],[' 2.32303e+08'],[' 0'],[' 4.18472e+10'],[' 0'],[' 0'],[' 918 '],[' 1718 '],[' 2558 '],[' 3269 '],[' 4052 '],[' 4882 '],[' 5606 '],[' 7 '],[' 0 ']
Solving...,TA73, , , ,[' 1'],[' 5371+'],[' 2693'],"[' 1008.729s (Solving', ' 978.88s 1st Model', ' 51.89s Unsat', ' 0.00s)']",[' 1005.656s'], ,[' 180974681'],"[' 23409731 (Analyzed', ' 22968259)']","[' 44123    (Average', ' 520.55 Last', ' 132928)']",[' 7258.9  '],"[' 2693     (Average Length', ' 1420.41 Splits', ' 0)']","[' 22968259 (Deleted', ' 22740509)']","[' 51       (Ratio', '   0.00%)']","[' 19021    (Ratio', '   0.08%)']","[' 22968259 (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22968259 (Average', '  7.27 Max', ' 10417 Sum', ' 167085949)']","[' 22965817 (Average', '  7.13 Max', ' 9257 Sum', ' 163832132 Ratio', '  98.05%)']","[' 2442     (Average', ' 1332.44 Max', ' 1930 Sum', ' 3253817 Ratio', '   1.95%)']", ,[' 296105  '],[' 13719   '],[' 268944  '],[' 100687  '],"[' 259382   (Atom=Atom', ' 71584 Body=Body', ' 46994 Other', ' 140804)']",[' Yes'],"[' 17521    (Eliminated', '    0 Frozen', ' 17521)']","[' 3114     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.90013'],[' 0'], ,[' 669.243'],[' 0'],[' 19.1912'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.02401e+08'],[' 2.20204e+08'],[' 0'],[' 4.27935e+10'],[' 0'],[' 0'],[' 1192 '],[' 2038 '],[' 2758 '],[' 3540 '],[' 4403 '],[' 5233 '],[' 5823 '],[' 7 '],[' 0 ']
Solving...,TA74, , , ,[' 1'],[' 6037+'],[' 3026'],"[' 1009.536s (Solving', ' 976.18s 1st Model', ' 114.01s Unsat', ' 0.00s)']",[' 1004.641s'], ,[' 211497791'],"[' 22768903 (Analyzed', ' 22281684)']","[' 42994    (Average', ' 518.25 Last', ' 112187)']",[' 6763.4  '],"[' 3026     (Average Length', ' 1550.50 Splits', ' 0)']","[' 22281684 (Deleted', ' 22028371)']","[' 48       (Ratio', '   0.00%)']","[' 29711    (Ratio', '   0.13%)']","[' 22281684 (Average Length', '   14.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22281684 (Average', '  8.86 Max', ' 9367 Sum', ' 197402722)']","[' 22279469 (Average', '  8.72 Max', ' 9367 Sum', ' 194297277 Ratio', '  98.43%)']","[' 2215     (Average', ' 1402.01 Max', ' 2129 Sum', ' 3105445 Ratio', '   1.57%)']", ,[' 298772  '],[' 13649   '],[' 270855  '],[' 101985  '],"[' 259267   (Atom=Atom', ' 71637 Body=Body', ' 46784 Other', ' 140846)']",[' Yes'],"[' 17735    (Eliminated', '    0 Frozen', ' 17735)']","[' 4827     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.58382'],[' 0'], ,[' 623.808'],[' 0'],[' 20.0513'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.12508e+08'],[' 3.18102e+08'],[' 0'],[' 3.85822e+10'],[' 0'],[' 0'],[' 1052 '],[' 1756 '],[' 2504 '],[' 3235 '],[' 4072 '],[' 4861 '],[' 5581 '],[' 7 '],[' 0 ']
Solving...,TA75, , , ,[' 1'],[' 6423+'],[' 3219'],"[' 1011.918s (Solving', ' 969.29s 1st Model', ' 228.39s Unsat', ' 0.00s)']",[' 1003.047s'], ,[' 245000894'],"[' 15879665 (Analyzed', ' 15516843)']","[' 32754    (Average', ' 473.74 Last', ' 101805)']",[' 6123.9  '],"[' 3219     (Average Length', ' 1611.06 Splits', ' 0)']","[' 15516843 (Deleted', ' 15299558)']","[' 145      (Ratio', '   0.00%)']","[' 43437    (Ratio', '   0.28%)']","[' 15516843 (Average Length', '   15.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15516843 (Average', ' 15.00 Max', ' 9002 Sum', ' 232715526)']","[' 15514642 (Average', ' 14.78 Max', ' 7881 Sum', ' 229342688 Ratio', '  98.55%)']","[' 2201     (Average', ' 1532.41 Max', ' 2267 Sum', ' 3372838 Ratio', '   1.45%)']", ,[' 298414  '],[' 13744   '],[' 270874  '],[' 102142  '],"[' 261340   (Atom=Atom', ' 72210 Body=Body', ' 47069 Other', ' 142061)']",[' Yes'],"[' 17878    (Eliminated', '    0 Frozen', ' 17878)']","[' 8455     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.35479'],[' 0'], ,[' 523.648'],[' 0'],[' 22.4234'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.33646e+08'],[' 4.30147e+08'],[' 0'],[' 2.57131e+10'],[' 0'],[' 0'],[' 1123 '],[' 1767 '],[' 2570 '],[' 3351 '],[' 4189 '],[' 4953 '],[' 5721 '],[' 7 '],[' 0 ']
Solving...,TA76, , , ,[' 1'],[' 6117+'],[' 3066'],"[' 1014.121s (Solving', ' 965.05s 1st Model', ' 129.18s Unsat', ' 0.00s)']",[' 1003.641s'], ,[' 187083163'],"[' 12615657 (Analyzed', ' 12144344)']","[' 24954    (Average', ' 486.67 Last', ' 64094)']",[' 6742.2  '],"[' 3066     (Average Length', ' 1587.06 Splits', ' 0)']","[' 12144344 (Deleted', ' 11993253)']","[' 48       (Ratio', '   0.00%)']","[' 29979    (Ratio', '   0.25%)']","[' 12144344 (Average Length', '   16.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12144344 (Average', ' 14.30 Max', ' 10254 Sum', ' 173721529)']","[' 12141867 (Average', ' 14.01 Max', ' 8668 Sum', ' 170182705 Ratio', '  97.96%)']","[' 2477     (Average', ' 1428.67 Max', ' 2221 Sum', ' 3538824 Ratio', '   2.04%)']", ,[' 298083  '],[' 13593   '],[' 270387  '],[' 101599  '],"[' 258534   (Atom=Atom', ' 71453 Body=Body', ' 46616 Other', ' 140465)']",[' Yes'],"[' 17675    (Eliminated', '    0 Frozen', ' 17675)']","[' 5216     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.51476'],[' 0'], ,[' 537.851'],[' 0'],[' 22.1976'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.37665e+08'],[' 2.72199e+08'],[' 0'],[' 2.18638e+10'],[' 0'],[' 0'],[' 1030 '],[' 1742 '],[' 2577 '],[' 3306 '],[' 4079 '],[' 4821 '],[' 5556 '],[' 7 '],[' 0 ']
Solving...,TA77, , , ,[' 1'],[' 5745+'],[' 2880'],"[' 1013.299s (Solving', ' 967.39s 1st Model', ' 194.56s Unsat', ' 0.00s)']",[' 1002.484s'], ,[' 191788670'],"[' 13331880 (Analyzed', ' 12765027)']","[' 26839    (Average', ' 475.61 Last', ' 130043)']",[' 7316.7  '],"[' 2880     (Average Length', ' 1501.63 Splits', ' 0)']","[' 12765027 (Deleted', ' 12596721)']","[' 53       (Ratio', '   0.00%)']","[' 29312    (Ratio', '   0.23%)']","[' 12765027 (Average Length', '   16.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12765027 (Average', ' 13.85 Max', ' 8589 Sum', ' 176828278)']","[' 12762825 (Average', ' 13.62 Max', ' 8589 Sum', ' 173848411 Ratio', '  98.31%)']","[' 2202     (Average', ' 1353.25 Max', ' 2075 Sum', ' 2979867 Ratio', '   1.69%)']", ,[' 298038  '],[' 13623   '],[' 270141  '],[' 101562  '],"[' 258460   (Atom=Atom', ' 71387 Body=Body', ' 46706 Other', ' 140367)']",[' Yes'],"[' 17569    (Eliminated', '    0 Frozen', ' 17569)']","[' 5037     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.11122'],[' 0'], ,[' 553.701'],[' 0'],[' 22.4123'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.3376e+08'],[' 2.68604e+08'],[' 0'],[' 2.29584e+10'],[' 0'],[' 0'],[' 963 '],[' 1794 '],[' 2600 '],[' 3366 '],[' 4089 '],[' 4934 '],[' 5619 '],[' 7 '],[' 0 ']
Solving...,TA78, , , ,[' 1'],[' 5299+'],[' 2657'],"[' 1012.753s (Solving', ' 969.50s 1st Model', ' 77.20s Unsat', ' 0.00s)']",[' 1002.047s'], ,[' 135278227'],"[' 15719567 (Analyzed', ' 15256020)']","[' 31126    (Average', ' 490.14 Last', ' 17912)']",[' 7671.0  '],"[' 2657     (Average Length', ' 1398.86 Splits', ' 0)']","[' 15256020 (Deleted', ' 15092824)']","[' 31       (Ratio', '   0.00%)']","[' 16739    (Ratio', '   0.11%)']","[' 15256020 (Average Length', '   18.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15256020 (Average', '  7.86 Max', ' 10384 Sum', ' 119983374)']","[' 15253856 (Average', '  7.69 Max', ' 10134 Sum', ' 117374940 Ratio', '  97.83%)']","[' 2164     (Average', ' 1205.38 Max', ' 1827 Sum', ' 2608434 Ratio', '   2.17%)']", ,[' 298280  '],[' 13711   '],[' 270211  '],[' 101705  '],"[' 259093   (Atom=Atom', ' 71516 Body=Body', ' 46970 Other', ' 140607)']",[' Yes'],"[' 17509    (Eliminated', '    0 Frozen', ' 17509)']","[' 3023     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.36291'],[' 0'], ,[' 605.62'],[' 0'],[' 18.2745'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.24021e+08'],[' 1.67115e+08'],[' 0'],[' 2.88455e+10'],[' 0'],[' 0'],[' 1157 '],[' 1874 '],[' 2698 '],[' 3404 '],[' 4245 '],[' 5045 '],[' 5729 '],[' 7 '],[' 0 ']
Solving...,TA79, , , ,[' 1'],[' 5731+'],[' 2873'],"[' 1011.622s (Solving', ' 972.03s 1st Model', ' 74.96s Unsat', ' 0.00s)']",[' 1003.281s'], ,[' 204394408'],"[' 13455135 (Analyzed', ' 13032943)']","[' 26732    (Average', ' 487.54 Last', ' 71832)']",[' 6455.6  '],"[' 2873     (Average Length', ' 1481.87 Splits', ' 0)']","[' 13032943 (Deleted', ' 12863993)']","[' 56       (Ratio', '   0.00%)']","[' 33427    (Ratio', '   0.26%)']","[' 13032943 (Average Length', '   16.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13032943 (Average', ' 14.79 Max', ' 8122 Sum', ' 192717086)']","[' 13030366 (Average', ' 14.50 Max', ' 8122 Sum', ' 188932649 Ratio', '  98.04%)']","[' 2577     (Average', ' 1468.54 Max', ' 2074 Sum', ' 3784437 Ratio', '   1.96%)']", ,[' 298855  '],[' 13789   '],[' 271042  '],[' 102131  '],"[' 260980   (Atom=Atom', ' 72044 Body=Body', ' 47204 Other', ' 141732)']",[' Yes'],"[' 17738    (Eliminated', '    0 Frozen', ' 17738)']","[' 6230     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.87871'],[' 0'], ,[' 574.763'],[' 0'],[' 21.6002'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.82737e+08'],[' 3.11117e+08'],[' 0'],[' 2.56113e+10'],[' 0'],[' 0'],[' 1022 '],[' 1788 '],[' 2553 '],[' 3253 '],[' 4050 '],[' 4800 '],[' 5526 '],[' 7 '],[' 0 ']
Solving...,TA80, , , ,[' 1'],[' 5375+'],[' 2695'],"[' 1009.248s (Solving', ' 978.30s 1st Model', ' 59.21s Unsat', ' 0.00s)']",[' 1005.031s'], ,[' 220388509'],"[' 18138871 (Analyzed', ' 17786302)']","[' 35080    (Average', ' 507.02 Last', ' 28423)']",[' 6787.8  '],"[' 2695     (Average Length', ' 1428.44 Splits', ' 0)']","[' 17786302 (Deleted', ' 17580701)']","[' 45       (Ratio', '   0.00%)']","[' 30965    (Ratio', '   0.17%)']","[' 17786302 (Average Length', '   17.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17786302 (Average', ' 11.68 Max', ' 9888 Sum', ' 207797453)']","[' 17783998 (Average', ' 11.51 Max', ' 9888 Sum', ' 204685744 Ratio', '  98.50%)']","[' 2304     (Average', ' 1350.57 Max', ' 1966 Sum', ' 3111709 Ratio', '   1.50%)']", ,[' 297527  '],[' 13828   '],[' 269723  '],[' 101778  '],"[' 261001   (Atom=Atom', ' 72022 Body=Body', ' 47321 Other', ' 141658)']",[' Yes'],"[' 17627    (Eliminated', '    0 Frozen', ' 17627)']","[' 5690     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.14926'],[' 0'], ,[' 639.723'],[' 0'],[' 21.8494'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.10464e+08'],[' 3.24892e+08'],[' 0'],[' 3.84742e+10'],[' 0'],[' 0'],[' 1055 '],[' 1933 '],[' 2583 '],[' 3269 '],[' 4346 '],[' 5114 '],[' 5638 '],[' 7 '],[' 0 ']
