Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , , ,[' 1'],[' 4099+'],[' 2058'],"[' 885.516s (Solving', ' 862.15s 1st Model', ' 23.70s Unsat', ' 0.00s)']",[' 882.047s'], ,[' 110453832'],"[' 22162305 (Analyzed', ' 21750911)']","[' 42298    (Average', ' 514.23 Last', ' 38754)']",[' 6723.1  '],"[' 2057     (Average Length', ' 1140.13 Splits', ' 0)']","[' 21750911 (Deleted', ' 21517493)']","[' 26       (Ratio', '   0.00%)']","[' 11563    (Ratio', '   0.05%)']","[' 21750911 (Average Length', '   16.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21750911 (Average', '  4.59 Max', ' 9921 Sum', ' 99885421)']","[' 21748770 (Average', '  4.49 Max', ' 8706 Sum', ' 97673550 Ratio', '  97.79%)']","[' 2141     (Average', ' 1033.10 Max', ' 1480 Sum', ' 2211871 Ratio', '   2.21%)']", ,[' 278237  '],[' 11957   '],[' 254075  '],[' 89264   '],"[' 229772   (Atom=Atom', ' 64145 Body=Body', ' 41761 Other', ' 123866)']",[' Yes'],"[' 15363    (Eliminated', '    0 Frozen', ' 15363)']","[' 2267     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.70679'],[' 0'], ,[' 604.454'],[' 0'],[' 13.049'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.03509e+08'],[' 1.3753e+08'],[' 0'],[' 3.54872e+10'],[' 0'],[' 0'],[' 1040 '],[' 1819 '],[' 2670 '],[' 4440 '],[' 4160 '],[' 4660 '],[' 5418 '],[' 6026 '],[' 8 '],[' 0 ']
Solving...,TA72, , , , ,[' 1'],[' 4943+'],[' 2480'],"[' 1008.102s (Solving', ' 981.03s 1st Model', ' 31.29s Unsat', ' 0.00s)']",[' 1005.203s'], ,[' 110675150'],"[' 25623781 (Analyzed', ' 25233152)']","[' 50146    (Average', ' 503.19 Last', ' 187923)']",[' 6360.5  '],"[' 2480     (Average Length', ' 1318.41 Splits', ' 0)']","[' 25233152 (Deleted', ' 24941867)']","[' 19       (Ratio', '   0.00%)']","[' 10106    (Ratio', '   0.04%)']","[' 25233152 (Average Length', '   13.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25233152 (Average', '  3.96 Max', ' 9043 Sum', ' 99803686)']","[' 25230847 (Average', '  3.84 Max', ' 8194 Sum', ' 96919867 Ratio', '  97.11%)']","[' 2305     (Average', ' 1251.11 Max', ' 1835 Sum', ' 2883819 Ratio', '   2.89%)']", ,[' 280957  '],[' 11765   '],[' 255626  '],[' 90709   '],"[' 228066   (Atom=Atom', ' 63799 Body=Body', ' 41185 Other', ' 123082)']",[' Yes'],"[' 15517    (Eliminated', '    0 Frozen', ' 15517)']","[' 2035     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.39255'],[' 0'], ,[' 700.168'],[' 0'],[' 16.9158'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.01133e+08'],[' 1.31935e+08'],[' 0'],[' 4.38139e+10'],[' 0'],[' 0'],[' 779 '],[' 1406 '],[' 2148 '],[' 2859 '],[' 3472 '],[' 4091 '],[' 4797 '],[' 5454 '],[' 8 '],[' 0 ']
Solving...,TA73, , , , ,[' 1'],[' 4815+'],[' 2416'],"[' 1007.553s (Solving', ' 982.39s 1st Model', ' 29.50s Unsat', ' 0.00s)']",[' 1004.797s'], ,[' 119538812'],"[' 26964773 (Analyzed', ' 26647237)']","[' 51761    (Average', ' 514.81 Last', ' 202768)']",[' 6335.0  '],"[' 2416     (Average Length', ' 1274.68 Splits', ' 0)']","[' 26647237 (Deleted', ' 26365820)']","[' 28       (Ratio', '   0.00%)']","[' 11379    (Ratio', '   0.04%)']","[' 26647237 (Average Length', '   15.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26647237 (Average', '  4.08 Max', ' 8227 Sum', ' 108697841)']","[' 26644960 (Average', '  3.98 Max', ' 8227 Sum', ' 105965018 Ratio', '  97.49%)']","[' 2277     (Average', ' 1200.19 Max', ' 1770 Sum', ' 2732823 Ratio', '   2.51%)']", ,[' 279210  '],[' 11893   '],[' 254910  '],[' 89801   '],"[' 229848   (Atom=Atom', ' 64247 Body=Body', ' 41569 Other', ' 124032)']",[' Yes'],"[' 15535    (Eliminated', '    0 Frozen', ' 15535)']","[' 2335     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.98614'],[' 0'], ,[' 702.387'],[' 0'],[' 16.3784'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.17074e+08'],[' 1.40532e+08'],[' 0'],[' 4.51655e+10'],[' 0'],[' 0'],[' 1089 '],[' 1858 '],[' 2451 '],[' 3274 '],[' 3823 '],[' 4563 '],[' 5256 '],[' 5874 '],[' 8 '],[' 0 ']
Solving...,TA74, , , , ,[' 1'],[' 5189+'],[' 2603'],"[' 1008.823s (Solving', ' 979.39s 1st Model', ' 31.16s Unsat', ' 0.00s)']",[' 1006.063s'], ,[' 114446537'],"[' 27213389 (Analyzed', ' 26825362)']","[' 54645    (Average', ' 490.90 Last', ' 29303)']",[' 6519.7  '],"[' 2603     (Average Length', ' 1354.32 Splits', ' 0)']","[' 26825362 (Deleted', ' 26510470)']","[' 24       (Ratio', '   0.00%)']","[' 9188     (Ratio', '   0.03%)']","[' 26825362 (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26825362 (Average', '  3.83 Max', ' 9336 Sum', ' 102816472)']","[' 26822873 (Average', '  3.71 Max', ' 8147 Sum', ' 99645610 Ratio', '  96.92%)']","[' 2489     (Average', ' 1273.95 Max', ' 1905 Sum', ' 3170862 Ratio', '   3.08%)']", ,[' 282125  '],[' 11837   '],[' 256588  '],[' 91430   '],"[' 229498   (Atom=Atom', ' 64210 Body=Body', ' 41401 Other', ' 123887)']",[' Yes'],"[' 15663    (Eliminated', '    0 Frozen', ' 15663)']","[' 1842     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.86218'],[' 0'], ,[' 679.902'],[' 0'],[' 16.568'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.06383e+08'],[' 1.34517e+08'],[' 0'],[' 4.16727e+10'],[' 0'],[' 0'],[' 928 '],[' 1546 '],[' 2204 '],[' 2903 '],[' 3558 '],[' 4264 '],[' 4931 '],[' 5598 '],[' 8 '],[' 0 ']
Solving...,TA75, , , , ,[' 1'],[' 5693+'],[' 2855'],"[' 1010.607s (Solving', ' 975.73s 1st Model', ' 102.15s Unsat', ' 0.00s)']",[' 1006.797s'], ,[' 149799095'],"[' 15283728 (Analyzed', ' 15001593)']","[' 32736    (Average', ' 458.26 Last', ' 122887)']",[' 5685.0  '],"[' 2855     (Average Length', ' 1466.16 Splits', ' 0)']","[' 15001593 (Deleted', ' 14799703)']","[' 91       (Ratio', '   0.00%)']","[' 27102    (Ratio', '   0.18%)']","[' 15001593 (Average Length', '   15.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15001593 (Average', '  9.32 Max', ' 7889 Sum', ' 139820189)']","[' 14999451 (Average', '  9.12 Max', ' 7889 Sum', ' 136800114 Ratio', '  97.84%)']","[' 2142     (Average', ' 1409.93 Max', ' 2077 Sum', ' 3020075 Ratio', '   2.16%)']", ,[' 280880  '],[' 12007   '],[' 256550  '],[' 91090   '],"[' 232882   (Atom=Atom', ' 65142 Body=Body', ' 41911 Other', ' 125829)']",[' Yes'],"[' 15989    (Eliminated', '    0 Frozen', ' 15989)']","[' 5330     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.09657'],[' 0'], ,[' 621.926'],[' 0'],[' 18.9237'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.01986e+08'],[' 2.3263e+08'],[' 0'],[' 2.96904e+10'],[' 0'],[' 0'],[' 996 '],[' 1657 '],[' 2297 '],[' 2978 '],[' 3755 '],[' 4406 '],[' 5076 '],[' 5757 '],[' 8 '],[' 0 ']
Solving...,TA76, , , , ,[' 1'],[' 5213+'],[' 2615'],"[' 998.466s (Solving', ' 969.41s 1st Model', ' 52.84s Unsat', ' 86.05s)']",[' 994.563s'], ,[' 155228497'],"[' 20974784 (Analyzed', ' 20684869)']","[' 40529    (Average', ' 510.37 Last', ' 35829)']",[' 5897.0  '],"[' 2615     (Average Length', ' 1362.02 Splits', ' 0)']","[' 20684869 (Deleted', ' 20452270)']","[' 48       (Ratio', '   0.00%)']","[' 22278    (Ratio', '   0.11%)']","[' 20684869 (Average Length', '   15.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20684869 (Average', '  6.99 Max', ' 9142 Sum', ' 144564036)']","[' 20682926 (Average', '  6.88 Max', ' 9142 Sum', ' 142247858 Ratio', '  98.40%)']","[' 1943     (Average', ' 1192.06 Max', ' 1922 Sum', ' 2316178 Ratio', '   1.60%)']", ,[' 281554  '],[' 11815   '],[' 256191  '],[' 91145   '],"[' 229158   (Atom=Atom', ' 64134 Body=Body', ' 41335 Other', ' 123689)']",[' Yes'],"[' 15610    (Eliminated', '    0 Frozen', ' 15610)']","[' 3835     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.8839'],[' 0'], ,[' 653.01'],[' 0'],[' 19.5934'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.88291e+08'],[' 2.12398e+08'],[' 0'],[' 3.85391e+10'],[' 0'],[' 0'],[' 905 '],[' 1598 '],[' 2282 '],[' 2968 '],[' 3614 '],[' 4255 '],[' 4901 '],[' 5573 '],[' 7 '],[' 1 ']
Solving...,TA77, , , , ,[' 1'],[' 5001+'],[' 2509'],"[' 1009.217s (Solving', ' 978.43s 1st Model', ' 44.97s Unsat', ' 0.00s)']",[' 1001.000s'], ,[' 137869813'],"[' 20597283 (Analyzed', ' 20266966)']","[' 41160    (Average', ' 492.39 Last', ' 52474)']",[' 6451.1  '],"[' 2509     (Average Length', ' 1330.14 Splits', ' 0)']","[' 20266966 (Deleted', ' 20033028)']","[' 28       (Ratio', '   0.00%)']","[' 16311    (Ratio', '   0.08%)']","[' 20266966 (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20266966 (Average', '  6.24 Max', ' 9573 Sum', ' 126400902)']","[' 20265030 (Average', '  6.12 Max', ' 7936 Sum', ' 123937164 Ratio', '  98.05%)']","[' 1936     (Average', ' 1272.59 Max', ' 1921 Sum', ' 2463738 Ratio', '   1.95%)']", ,[' 281019  '],[' 11820   '],[' 255907  '],[' 90719   '],"[' 228973   (Atom=Atom', ' 64048 Body=Body', ' 41350 Other', ' 123575)']",[' Yes'],"[' 15557    (Eliminated', '    0 Frozen', ' 15557)']","[' 3190     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.33124'],[' 0'], ,[' 654.092'],[' 0'],[' 18.5913'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.41132e+08'],[' 1.74576e+08'],[' 0'],[' 3.49563e+10'],[' 0'],[' 0'],[' 878 '],[' 1642 '],[' 2251 '],[' 2909 '],[' 3583 '],[' 4287 '],[' 4999 '],[' 5642 '],[' 8 '],[' 0 ']
Solving...,TA78, , , , ,[' 1'],[' 4625+'],[' 2321'],"[' 992.080s (Solving', ' 965.25s 1st Model', ' 31.83s Unsat', ' 92.74s)']",[' 984.594s'], ,[' 122225286'],"[' 23976513 (Analyzed', ' 23667019)']","[' 45600    (Average', ' 519.01 Last', ' 77934)']",[' 6571.2  '],"[' 2321     (Average Length', ' 1251.25 Splits', ' 0)']","[' 23667019 (Deleted', ' 23406670)']","[' 25       (Ratio', '   0.00%)']","[' 11652    (Ratio', '   0.05%)']","[' 23667019 (Average Length', '   15.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23667019 (Average', '  4.68 Max', ' 8880 Sum', ' 110848932)']","[' 23665055 (Average', '  4.59 Max', ' 8838 Sum', ' 108683410 Ratio', '  98.05%)']","[' 1964     (Average', ' 1102.61 Max', ' 1743 Sum', ' 2165522 Ratio', '   1.95%)']", ,[' 280571  '],[' 11881   '],[' 255544  '],[' 90489   '],"[' 229356   (Atom=Atom', ' 64104 Body=Body', ' 41533 Other', ' 123719)']",[' Yes'],"[' 15480    (Eliminated', '    0 Frozen', ' 15480)']","[' 2260     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.31336'],[' 0'], ,[' 668.071'],[' 0'],[' 15.86'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.20164e+08'],[' 1.47532e+08'],[' 0'],[' 3.90226e+10'],[' 0'],[' 0'],[' 1022 '],[' 1610 '],[' 2304 '],[' 2934 '],[' 3592 '],[' 4401 '],[' 5113 '],[' 5679 '],[' 7 '],[' 1 ']
Solving...,TA79, , , , ,[' 1'],[' 4619+'],[' 2318'],"[' 1008.302s (Solving', ' 981.19s 1st Model', ' 32.10s Unsat', ' 0.00s)']",[' 1000.422s'], ,[' 113256300'],"[' 21811444 (Analyzed', ' 21499913)']","[' 42591    (Average', ' 504.80 Last', ' 122230)']",[' 6238.8  '],"[' 2318     (Average Length', ' 1249.95 Splits', ' 0)']","[' 21499913 (Deleted', ' 21266131)']","[' 22       (Ratio', '   0.00%)']","[' 11583    (Ratio', '   0.05%)']","[' 21499913 (Average Length', '   15.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21499913 (Average', '  4.81 Max', ' 9631 Sum', ' 103486073)']","[' 21497464 (Average', '  4.68 Max', ' 8480 Sum', ' 100525090 Ratio', '  97.14%)']","[' 2449     (Average', ' 1209.06 Max', ' 1760 Sum', ' 2960983 Ratio', '   2.86%)']", ,[' 282109  '],[' 11985   '],[' 256640  '],[' 91424   '],"[' 230912   (Atom=Atom', ' 64517 Body=Body', ' 41845 Other', ' 124550)']",[' Yes'],"[' 15612    (Eliminated', '    0 Frozen', ' 15612)']","[' 2185     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.2712'],[' 0'], ,[' 685.345'],[' 0'],[' 17.0129'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.97999e+08'],[' 1.34676e+08'],[' 0'],[' 3.74794e+10'],[' 0'],[' 0'],[' 952 '],[' 1640 '],[' 2301 '],[' 2912 '],[' 3552 '],[' 4274 '],[' 4993 '],[' 5593 '],[' 8 '],[' 0 ']
Solving...,TA80, , , , ,[' 1'],[' 4153+'],[' 2085'],"[' 1007.812s (Solving', ' 982.95s 1st Model', ' 30.60s Unsat', ' 0.00s)']",[' 997.594s'], ,[' 112514666'],"[' 22503223 (Analyzed', ' 22258064)']","[' 43876    (Average', ' 507.29 Last', ' 88751)']",[' 6302.8  '],"[' 2085     (Average Length', ' 1145.17 Splits', ' 0)']","[' 22258064 (Deleted', ' 22019938)']","[' 19       (Ratio', '   0.00%)']","[' 14575    (Ratio', '   0.07%)']","[' 22258064 (Average Length', '   15.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22258064 (Average', '  4.63 Max', ' 8415 Sum', ' 103057170)']","[' 22255814 (Average', '  4.52 Max', ' 8415 Sum', ' 100646290 Ratio', '  97.66%)']","[' 2250     (Average', ' 1071.50 Max', ' 1580 Sum', ' 2410880 Ratio', '   2.34%)']", ,[' 279803  '],[' 12034   '],[' 254964  '],[' 90297   '],"[' 230934   (Atom=Atom', ' 64480 Body=Body', ' 41992 Other', ' 124462)']",[' Yes'],"[' 15442    (Eliminated', '    0 Frozen', ' 15442)']","[' 2553     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.82212'],[' 0'], ,[' 689.442'],[' 0'],[' 15.9483'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.11935e+08'],[' 1.4333e+08'],[' 0'],[' 3.81405e+10'],[' 0'],[' 0'],[' 887 '],[' 1610 '],[' 2435 '],[' 3116 '],[' 3718 '],[' 4399 '],[' 5070 '],[' 5639 '],[' 8 '],[' 0 ']
