Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , , , ,[' 1229'],[' 623'],"[' 35.253s (Solving', ' 32.96s 1st Model', ' 1.42s Unsat', ' 24.17s)']",[' 34.719s'], ,[' 4335809 '],"[' 2306773  (Analyzed', ' 2283910)']","[' 4888     (Average', ' 467.25 Last', ' 11001)']",[' 1486.4  '],"[' 623      (Average Length', ' 371.01 Splits', ' 0)']","[' 2283910  (Deleted', ' 2242750)']","[' 24       (Ratio', '   0.00%)']","[' 736      (Ratio', '   0.03%)']","[' 2283910  (Average Length', '    9.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2283910  (Average', '  1.60 Max', ' 2306 Sum', ' 3650759)']","[' 2283693  (Average', '  1.57 Max', ' 1802 Sum', ' 3584920 Ratio', '  98.20%)']","[' 217      (Average', ' 303.41 Max', ' 526 Sum', '  65839 Ratio', '   1.80%)']", ,[' 61043   '],[' 2097    '],[' 56545   '],[' 18940   '],"[' 48761    (Atom=Atom', ' 14364 Body=Body', ' 8555 Other', ' 25842)']",[' Yes'],"[' 3241     (Eliminated', '    0 Frozen', ' 3241)']","[' 29       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.451888'],[' 0'], ,[' 11.762'],[' 0'],[' 0.430089'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.11374e+07'],[' 5.49808e+06'],[' 0'],[' 5.18451e+08'],[' 0'],[' 0'],[' 553 '],[' 867 '],[' 1225 '],[' 1621 '],[' 2008 '],[' 2430 '],[' 2758 '],[' 3115 '],[' 0 '],[' 8 ']
Solving...,TA52, , , , , ,[' 1213'],[' 615'],"[' 34.364s (Solving', ' 31.80s 1st Model', ' 1.58s Unsat', ' 21.88s)']",[' 33.984s'], ,[' 3957728 '],"[' 1862059  (Analyzed', ' 1840599)']","[' 4243     (Average', ' 433.80 Last', ' 18054)']",[' 1501.2  '],"[' 615      (Average Length', ' 362.45 Splits', ' 0)']","[' 1840599  (Deleted', ' 1790152)']","[' 31       (Ratio', '   0.00%)']","[' 637      (Ratio', '   0.03%)']","[' 1840599  (Average Length', '    9.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1840599  (Average', '  1.79 Max', ' 2166 Sum', ' 3294106)']","[' 1840297  (Average', '  1.74 Max', ' 1739 Sum', ' 3202543 Ratio', '  97.22%)']","[' 302      (Average', ' 303.19 Max', ' 512 Sum', '  91563 Ratio', '   2.78%)']", ,[' 60733   '],[' 2112    '],[' 56404   '],[' 18760   '],"[' 48953    (Atom=Atom', ' 14416 Body=Body', ' 8600 Other', ' 25937)']",[' Yes'],"[' 3257     (Eliminated', '    0 Frozen', ' 3257)']","[' 24       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.514627'],[' 0'], ,[' 11.031'],[' 0'],[' 0.464548'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.70965e+06'],[' 5.06688e+06'],[' 0'],[' 4.35757e+08'],[' 0'],[' 0'],[' 578 '],[' 920 '],[' 1251 '],[' 1617 '],[' 2033 '],[' 2452 '],[' 2778 '],[' 3050 '],[' 0 '],[' 8 ']
Solving...,TA53, , , , , ,[' 1183'],[' 600'],"[' 137.382s (Solving', ' 134.79s 1st Model', ' 1.38s Unsat', ' 1.07s)']",[' 136.141s'], ,[' 9194749 '],"[' 4967609  (Analyzed', ' 4926155)']","[' 10026    (Average', ' 491.34 Last', ' 1137)']",[' 1474.1  '],"[' 600      (Average Length', ' 353.91 Splits', ' 0)']","[' 4926155  (Deleted', ' 4863074)']","[' 17       (Ratio', '   0.00%)']","[' 811      (Ratio', '   0.02%)']","[' 4926155  (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4926155  (Average', '  1.72 Max', ' 2144 Sum', ' 8465304)']","[' 4925844  (Average', '  1.70 Max', ' 1758 Sum', ' 8359308 Ratio', '  98.75%)']","[' 311      (Average', ' 340.82 Max', ' 519 Sum', ' 105996 Ratio', '   1.25%)']", ,[' 61071   '],[' 2158    '],[' 56648   '],[' 18995   '],"[' 49642    (Atom=Atom', ' 14585 Body=Body', ' 8738 Other', ' 26319)']",[' Yes'],"[' 3287     (Eliminated', '    0 Frozen', ' 3287)']","[' 74       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.535477'],[' 0'], ,[' 89.6821'],[' 0'],[' 1.48869'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.1931e+07'],[' 9.75682e+06'],[' 0'],[' 4.90896e+09'],[' 0'],[' 0'],[' 502 '],[' 967 '],[' 1267 '],[' 1637 '],[' 1991 '],[' 2352 '],[' 2847 '],[' 3068 '],[' 1 '],[' 7 ']
Solving...,TA54, , , , , ,[' 1195'],[' 606'],"[' 10.510s (Solving', ' 8.45s 1st Model', ' 1.04s Unsat', ' 0.85s)']",[' 10.359s'], ,[' 1329349 '],"[' 118012   (Analyzed', ' 87849)']","[' 419      (Average', ' 209.66 Last', ' 582)']",[' 1333.5  '],"[' 606      (Average Length', ' 356.46 Splits', ' 0)']","[' 87849    (Deleted', ' 75510)']","[' 26       (Ratio', '   0.03%)']","[' 472      (Ratio', '   0.54%)']","[' 87849    (Average Length', '    8.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 87849    (Average', '  9.33 Max', ' 1938 Sum', ' 819790)']","[' 87533    (Average', '  8.11 Max', ' 1792 Sum', ' 712521 Ratio', '  86.92%)']","[' 316      (Average', ' 339.46 Max', ' 534 Sum', ' 107269 Ratio', '  13.08%)']", ,[' 60783   '],[' 2162    '],[' 56533   '],[' 18798   '],"[' 49704    (Atom=Atom', ' 14607 Body=Body', ' 8750 Other', ' 26347)']",[' Yes'],"[' 3289     (Eliminated', '    0 Frozen', ' 3289)']","[' 24       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.388687'],[' 0'], ,[' 1.13737'],[' 0'],[' 0.0828568'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.61165e+06'],[' 2.04787e+06'],[' 0'],[' 3.18601e+07'],[' 0'],[' 0'],[' 629 '],[' 976 '],[' 1356 '],[' 1651 '],[' 1960 '],[' 2295 '],[' 2593 '],[' 3099 '],[' 0 '],[' 8 ']
Solving...,TA55, , , , , ,[' 1183'],[' 600'],"[' 197.757s (Solving', ' 195.59s 1st Model', ' 1.06s Unsat', ' 63.39s)']",[' 195.609s'], ,[' 20391454'],"[' 12198184 (Analyzed', ' 12179081)']","[' 23688    (Average', ' 514.15 Last', ' 3259)']",[' 1349.4  '],"[' 600      (Average Length', ' 355.72 Splits', ' 0)']","[' 12179081 (Deleted', ' 12008964)']","[' 30       (Ratio', '   0.00%)']","[' 1235     (Ratio', '   0.01%)']","[' 12179081 (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12179081 (Average', '  1.61 Max', ' 1935 Sum', ' 19610624)']","[' 12178736 (Average', '  1.60 Max', ' 1709 Sum', ' 19502690 Ratio', '  99.45%)']","[' 345      (Average', ' 312.85 Max', ' 539 Sum', ' 107934 Ratio', '   0.55%)']", ,[' 60480   '],[' 2159    '],[' 56294   '],[' 18669   '],"[' 49666    (Atom=Atom', ' 14589 Body=Body', ' 8741 Other', ' 26336)']",[' Yes'],"[' 3280     (Eliminated', '    0 Frozen', ' 3280)']","[' 199      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.400943'],[' 0'], ,[' 96.7466'],[' 0'],[' 2.92325'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.61007e+07'],[' 2.72394e+07'],[' 0'],[' 4.65489e+09'],[' 0'],[' 0'],[' 463 '],[' 989 '],[' 1350 '],[' 1740 '],[' 2115 '],[' 2493 '],[' 2749 '],[' 3093 '],[' 1 '],[' 7 ']
Solving...,TA56, , , , , ,[' 893'],[' 455'],"[' 10.359s (Solving', ' 8.46s 1st Model', ' 0.85s Unsat', ' 1.66s)']",[' 10.281s'], ,[' 1220872 '],"[' 140158   (Analyzed', ' 103057)']","[' 494      (Average', ' 208.62 Last', ' 2280)']",[' 1428.0  '],"[' 455      (Average Length', ' 293.73 Splits', ' 0)']","[' 103057   (Deleted', ' 86467)']","[' 34       (Ratio', '   0.03%)']","[' 696      (Ratio', '   0.68%)']","[' 103057   (Average Length', '    9.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 103057   (Average', '  7.33 Max', ' 1858 Sum', ' 755672)']","[' 102711   (Average', '  6.55 Max', ' 1724 Sum', ' 674515 Ratio', '  89.26%)']","[' 346      (Average', ' 234.56 Max', ' 394 Sum', '  81157 Ratio', '  10.74%)']", ,[' 60374   '],[' 2115    '],[' 55947   '],[' 18507   '],"[' 48551    (Atom=Atom', ' 14268 Body=Body', ' 8609 Other', ' 25674)']",[' Yes'],"[' 3119     (Eliminated', '    0 Frozen', ' 3119)']","[' 23       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.374936'],[' 0'], ,[' 1.79635'],[' 0'],[' 0.0911927'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.46759e+06'],[' 1.89268e+06'],[' 0'],[' 8.07383e+07'],[' 0'],[' 0'],[' 571 '],[' 1029 '],[' 1386 '],[' 1883 '],[' 2175 '],[' 2554 '],[' 2860 '],[' 3227 '],[' 0 '],[' 8 ']
Solving...,TA57, , , , , ,[' 1033'],[' 525'],"[' 109.299s (Solving', ' 107.42s 1st Model', ' 0.88s Unsat', ' 100.65s)']",[' 108.563s'], ,[' 12971784'],"[' 9241777  (Analyzed', ' 9225666)']","[' 17254    (Average', ' 534.70 Last', ' 842)']",[' 1350.5  '],"[' 525      (Average Length', ' 325.42 Splits', ' 0)']","[' 9225666  (Deleted', ' 9080415)']","[' 22       (Ratio', '   0.00%)']","[' 742      (Ratio', '   0.01%)']","[' 9225666  (Average Length', '   10.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9225666  (Average', '  1.34 Max', ' 1923 Sum', ' 12318405)']","[' 9225312  (Average', '  1.32 Max', ' 1702 Sum', ' 12213694 Ratio', '  99.15%)']","[' 354      (Average', ' 295.79 Max', ' 475 Sum', ' 104711 Ratio', '   0.85%)']", ,[' 60703   '],[' 2134    '],[' 56303   '],[' 18714   '],"[' 49056    (Atom=Atom', ' 14414 Body=Body', ' 8666 Other', ' 25976)']",[' Yes'],"[' 3195     (Eliminated', '    0 Frozen', ' 3195)']","[' 88       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.370519'],[' 0'], ,[' 40.648'],[' 0'],[' 1.24753'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.31752e+07'],[' 1.21459e+07'],[' 0'],[' 1.87843e+09'],[' 0'],[' 0'],[' 620 '],[' 1081 '],[' 1459 '],[' 1870 '],[' 2194 '],[' 2575 '],[' 2903 '],[' 3297 '],[' 0 '],[' 8 ']
Solving...,TA58, , , , , ,[' 1211'],[' 614'],"[' 12.505s (Solving', ' 10.26s 1st Model', ' 1.17s Unsat', ' 0.83s)']",[' 12.266s'], ,[' 1515597 '],"[' 243420   (Analyzed', ' 76749)']","[' 627      (Average', ' 122.41 Last', ' 544)']",[' 1422.1  '],"[' 613      (Average Length', ' 375.00 Splits', ' 0)']","[' 76749    (Deleted', ' 61419)']","[' 25       (Ratio', '   0.03%)']","[' 563      (Ratio', '   0.73%)']","[' 76749    (Average Length', '    8.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 76749    (Average', ' 10.49 Max', ' 2240 Sum', ' 804984)']","[' 76476    (Average', '  9.28 Max', ' 1765 Sum', ' 712057 Ratio', '  88.46%)']","[' 273      (Average', ' 340.39 Max', ' 557 Sum', '  92927 Ratio', '  11.54%)']", ,[' 60607   '],[' 2130    '],[' 56375   '],[' 18715   '],"[' 49229    (Atom=Atom', ' 14485 Body=Body', ' 8653 Other', ' 26091)']",[' Yes'],"[' 3281     (Eliminated', '    0 Frozen', ' 3281)']","[' 34       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.450615'],[' 0'], ,[' 2.08917'],[' 0'],[' 0.0985422'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.02287e+06'],[' 2.29174e+06'],[' 0'],[' 9.39643e+07'],[' 0'],[' 0'],[' 573 '],[' 882 '],[' 1329 '],[' 1646 '],[' 2076 '],[' 2611 '],[' 2870 '],[' 3211 '],[' 1 '],[' 7 ']
Solving...,TA59, , , , , ,[' 1209'],[' 613'],"[' 10.631s (Solving', ' 8.53s 1st Model', ' 1.13s Unsat', ' 0.48s)']",[' 10.484s'], ,[' 1409051 '],"[' 56234    (Analyzed', ' 36425)']","[' 261      (Average', ' 139.56 Last', ' 681)']",[' 1427.3  '],"[' 613      (Average Length', ' 372.71 Splits', ' 0)']","[' 36425    (Deleted', ' 23622)']","[' 23       (Ratio', '   0.06%)']","[' 529      (Ratio', '   1.45%)']","[' 36425    (Average Length', '    9.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 36425    (Average', ' 22.77 Max', ' 2190 Sum', ' 829237)']","[' 36173    (Average', ' 20.60 Max', ' 1806 Sum', ' 750431 Ratio', '  90.50%)']","[' 252      (Average', ' 312.72 Max', ' 557 Sum', '  78806 Ratio', '   9.50%)']", ,[' 60748   '],[' 2098    '],[' 56349   '],[' 18787   '],"[' 48763    (Atom=Atom', ' 14358 Body=Body', ' 8558 Other', ' 25847)']",[' Yes'],"[' 3246     (Eliminated', '    0 Frozen', ' 3246)']","[' 39       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.426645'],[' 0'], ,[' 1.03876'],[' 0'],[' 0.0858787'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.65709e+06'],[' 2.17938e+06'],[' 0'],[' 2.70794e+07'],[' 0'],[' 0'],[' 415 '],[' 799 '],[' 1103 '],[' 1450 '],[' 1946 '],[' 2295 '],[' 2629 '],[' 2993 '],[' 0 '],[' 8 ']
Solving...,TA60, , , , , ,[' 1371'],[' 694'],"[' 12.258s (Solving', ' 9.84s 1st Model', ' 1.25s Unsat', ' 0.62s)']",[' 11.859s'], ,[' 1580910 '],"[' 112528   (Analyzed', ' 57726)']","[' 441      (Average', ' 130.90 Last', ' 249)']",[' 1533.4  '],"[' 694      (Average Length', ' 400.23 Splits', ' 0)']","[' 57726    (Deleted', ' 47340)']","[' 15       (Ratio', '   0.03%)']","[' 395      (Ratio', '   0.68%)']","[' 57726    (Average Length', '    8.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 57726    (Average', ' 14.15 Max', ' 2111 Sum', ' 817103)']","[' 57533    (Average', ' 12.93 Max', ' 1868 Sum', ' 746228 Ratio', '  91.33%)']","[' 193      (Average', ' 367.23 Max', ' 549 Sum', '  70875 Ratio', '   8.67%)']", ,[' 60909   '],[' 2107    '],[' 56594   '],[' 18898   '],"[' 49143    (Atom=Atom', ' 14475 Body=Body', ' 8585 Other', ' 26083)']",[' Yes'],"[' 3324     (Eliminated', '    0 Frozen', ' 3324)']","[' 12       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.492404'],[' 0'], ,[' 1.28299'],[' 0'],[' 0.0977466'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.06307e+06'],[' 2.4446e+06'],[' 0'],[' 3.66966e+07'],[' 0'],[' 0'],[' 535 '],[' 793 '],[' 1158 '],[' 1539 '],[' 1947 '],[' 2344 '],[' 2660 '],[' 3020 '],[' 0 '],[' 8 ']
