Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , , ,[' 1643'],[' 831'],"[' 18.581s (Solving', ' 15.24s 1st Model', ' 1.60s Unsat', ' 1.17s)']",[' 18.375s'], ,[' 2050405 '],"[' 144888   (Analyzed', ' 53308)']","[' 573      (Average', ' 93.03 Last', ' 83)']",[' 1755.1  '],"[' 831      (Average Length', ' 477.91 Splits', ' 0)']","[' 53308    (Deleted', ' 38211)']","[' 24       (Ratio', '   0.05%)']","[' 521      (Ratio', '   0.98%)']","[' 53308    (Average Length', '   10.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 53308    (Average', ' 19.76 Max', ' 2575 Sum', ' 1053443)']","[' 52979    (Average', ' 17.03 Max', ' 2128 Sum', ' 907721 Ratio', '  86.17%)']","[' 329      (Average', ' 442.92 Max', ' 703 Sum', ' 145722 Ratio', '  13.83%)']", ,[' 78394   '],[' 2505    '],[' 73182   '],[' 23242   '],"[' 60599    (Atom=Atom', ' 18082 Body=Body', ' 10566 Other', ' 31951)']",[' Yes'],"[' 4057     (Eliminated', '    0 Frozen', ' 4057)']","[' 22       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.706124'],[' 0'], ,[' 2.37248'],[' 0'],[' 0.132194'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.26015e+06'],[' 3.42812e+06'],[' 0'],[' 9.76534e+07'],[' 0'],[' 0'],[' 524 '],[' 839 '],[' 1174 '],[' 1594 '],[' 1954 '],[' 2328 '],[' 2682 '],[' 3064 '],[' 3355 '],[' 0 '],[' 9 ']
Solving...,TA62, , , , , ,[' 1637'],[' 828'],"[' 23.682s (Solving', ' 20.45s 1st Model', ' 1.67s Unsat', ' 6.80s)']",[' 23.156s'], ,[' 2492985 '],"[' 378574   (Analyzed', ' 350913)']","[' 1238     (Average', ' 283.45 Last', ' 1418)']",[' 1762.6  '],"[' 828      (Average Length', ' 471.48 Splits', ' 0)']","[' 350913   (Deleted', ' 331778)']","[' 24       (Ratio', '   0.01%)']","[' 752      (Ratio', '   0.21%)']","[' 350913   (Average Length', '   10.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 350913   (Average', '  4.37 Max', ' 2771 Sum', ' 1534185)']","[' 350598   (Average', '  3.99 Max', ' 2152 Sum', ' 1399305 Ratio', '  91.21%)']","[' 315      (Average', ' 428.19 Max', ' 705 Sum', ' 134880 Ratio', '   8.79%)']", ,[' 78770   '],[' 2534    '],[' 73494   '],[' 23408   '],"[' 61041    (Atom=Atom', ' 18189 Body=Body', ' 10650 Other', ' 32202)']",[' Yes'],"[' 4074     (Eliminated', '    0 Frozen', ' 4074)']","[' 34       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.688452'],[' 0'], ,[' 5.85118'],[' 0'],[' 0.201305'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.3888e+06'],[' 3.90075e+06'],[' 0'],[' 2.94125e+08'],[' 0'],[' 0'],[' 515 '],[' 879 '],[' 1296 '],[' 1690 '],[' 2002 '],[' 2406 '],[' 2701 '],[' 3067 '],[' 3451 '],[' 0 '],[' 9 ']
Solving...,TA63, , , , , ,[' 1561'],[' 790'],"[' 17.653s (Solving', ' 14.27s 1st Model', ' 1.66s Unsat', ' 0.49s)']",[' 17.531s'], ,[' 1963738 '],"[' 96655    (Analyzed', ' 51183)']","[' 330      (Average', ' 155.10 Last', ' 908)']",[' 1744.3  '],"[' 790      (Average Length', ' 453.60 Splits', ' 0)']","[' 51183    (Deleted', ' 40071)']","[' 21       (Ratio', '   0.04%)']","[' 406      (Ratio', '   0.79%)']","[' 51183    (Average Length', '    8.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 51183    (Average', ' 19.79 Max', ' 2785 Sum', ' 1012759)']","[' 50914    (Average', ' 17.77 Max', ' 2163 Sum', ' 909357 Ratio', '  89.79%)']","[' 269      (Average', ' 384.39 Max', ' 678 Sum', ' 103402 Ratio', '  10.21%)']", ,[' 78355   '],[' 2466    '],[' 73049   '],[' 23142   '],"[' 59863    (Atom=Atom', ' 17885 Body=Body', ' 10449 Other', ' 31529)']",[' Yes'],"[' 3966     (Eliminated', '    0 Frozen', ' 3966)']","[' 9        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.692964'],[' 0'], ,[' 1.53399'],[' 0'],[' 0.121612'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.12237e+06'],[' 3.35988e+06'],[' 0'],[' 3.56978e+07'],[' 0'],[' 0'],[' 521 '],[' 878 '],[' 1197 '],[' 1549 '],[' 1906 '],[' 2187 '],[' 2508 '],[' 2876 '],[' 3263 '],[' 0 '],[' 9 ']
Solving...,TA64, , , , , ,[' 1519'],[' 769'],"[' 125.944s (Solving', ' 123.05s 1st Model', ' 1.46s Unsat', ' 0.34s)']",[' 125.672s'], ,[' 12704402'],"[' 7621669  (Analyzed', ' 7604593)']","[' 14745    (Average', ' 515.74 Last', ' 762)']",[' 1718.3  '],"[' 769      (Average Length', ' 450.51 Splits', ' 0)']","[' 7604593  (Deleted', ' 7520322)']","[' 27       (Ratio', '   0.00%)']","[' 834      (Ratio', '   0.01%)']","[' 7604593  (Average Length', '   13.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7604593  (Average', '  1.53 Max', ' 2657 Sum', ' 11637860)']","[' 7604213  (Average', '  1.51 Max', ' 2657 Sum', ' 11498329 Ratio', '  98.80%)']","[' 380      (Average', ' 367.19 Max', ' 644 Sum', ' 139531 Ratio', '   1.20%)']", ,[' 78280   '],[' 2517    '],[' 73084   '],[' 23132   '],"[' 60599    (Atom=Atom', ' 18066 Body=Body', ' 10601 Other', ' 31932)']",[' Yes'],"[' 4018     (Eliminated', '    0 Frozen', ' 4018)']","[' 97       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.618183'],[' 0'], ,[' 68.612'],[' 0'],[' 1.85011'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.34564e+07'],[' 1.54026e+07'],[' 0'],[' 4.38607e+09'],[' 0'],[' 0'],[' 515 '],[' 1010 '],[' 1294 '],[' 1595 '],[' 1912 '],[' 2281 '],[' 2629 '],[' 2913 '],[' 3211 '],[' 1 '],[' 8 ']
Solving...,TA65, , , , , ,[' 1603'],[' 811'],"[' 31.460s (Solving', ' 28.48s 1st Model', ' 1.53s Unsat', ' 16.17s)']",[' 30.922s'], ,[' 3053031 '],"[' 846649   (Analyzed', ' 793450)']","[' 2111     (Average', ' 375.86 Last', ' 330)']",[' 1689.6  '],"[' 811      (Average Length', ' 465.05 Splits', ' 0)']","[' 793450   (Deleted', ' 773620)']","[' 24       (Ratio', '   0.00%)']","[' 706      (Ratio', '   0.09%)']","[' 793450   (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 793450   (Average', '  2.69 Max', ' 2743 Sum', ' 2133585)']","[' 793150   (Average', '  2.52 Max', ' 2187 Sum', ' 2003300 Ratio', '  93.89%)']","[' 300      (Average', ' 434.28 Max', ' 698 Sum', ' 130285 Ratio', '   6.11%)']", ,[' 78680   '],[' 2512    '],[' 73383   '],[' 23365   '],"[' 60624    (Atom=Atom', ' 18090 Body=Body', ' 10587 Other', ' 31947)']",[' Yes'],"[' 4040     (Eliminated', '    0 Frozen', ' 4040)']","[' 67       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.615172'],[' 0'], ,[' 12.5126'],[' 0'],[' 0.281859'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.01313e+06'],[' 4.53388e+06'],[' 0'],[' 7.84819e+08'],[' 0'],[' 0'],[' 501 '],[' 833 '],[' 1143 '],[' 1522 '],[' 1909 '],[' 2272 '],[' 2541 '],[' 2874 '],[' 3261 '],[' 0 '],[' 9 ']
Solving...,TA66, , , , , ,[' 1541'],[' 780'],"[' 17.445s (Solving', ' 14.11s 1st Model', ' 1.76s Unsat', ' 0.70s)']",[' 17.016s'], ,[' 2119324 '],"[' 94120    (Analyzed', ' 61234)']","[' 332      (Average', ' 184.44 Last', ' 95)']",[' 1721.2  '],"[' 780      (Average Length', ' 451.97 Splits', ' 0)']","[' 61234    (Deleted', ' 50346)']","[' 18       (Ratio', '   0.03%)']","[' 423      (Ratio', '   0.69%)']","[' 61234    (Average Length', '    8.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 61234    (Average', ' 20.39 Max', ' 2502 Sum', ' 1248421)']","[' 60903    (Average', ' 18.07 Max', ' 2136 Sum', ' 1106209 Ratio', '  88.61%)']","[' 331      (Average', ' 429.64 Max', ' 670 Sum', ' 142212 Ratio', '  11.39%)']", ,[' 78499   '],[' 2529    '],[' 73270   '],[' 23253   '],"[' 60763    (Atom=Atom', ' 18120 Body=Body', ' 10637 Other', ' 32006)']",[' Yes'],"[' 4032     (Eliminated', '    0 Frozen', ' 4032)']","[' 17       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.680135'],[' 0'], ,[' 1.61988'],[' 0'],[' 0.134157'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.22778e+06'],[' 3.47481e+06'],[' 0'],[' 3.76218e+07'],[' 0'],[' 0'],[' 504 '],[' 844 '],[' 1198 '],[' 1560 '],[' 2010 '],[' 2380 '],[' 2681 '],[' 3029 '],[' 3375 '],[' 0 '],[' 9 ']
Solving...,TA67, , , , , ,[' 1497'],[' 758'],"[' 38.634s (Solving', ' 35.66s 1st Model', ' 1.40s Unsat', ' 23.41s)']",[' 38.469s'], ,[' 4470305 '],"[' 1847642  (Analyzed', ' 1728943)']","[' 4170     (Average', ' 414.61 Last', ' 864)']",[' 1681.8  '],"[' 758      (Average Length', ' 440.50 Splits', ' 0)']","[' 1728943  (Deleted', ' 1690783)']","[' 25       (Ratio', '   0.00%)']","[' 1078     (Ratio', '   0.06%)']","[' 1728943  (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1728943  (Average', '  2.06 Max', ' 2575 Sum', ' 3565169)']","[' 1728533  (Average', '  1.96 Max', ' 2262 Sum', ' 3385205 Ratio', '  94.95%)']","[' 410      (Average', ' 438.94 Max', ' 652 Sum', ' 179964 Ratio', '   5.05%)']", ,[' 78764   '],[' 2586    '],[' 73515   '],[' 23428   '],"[' 61587    (Atom=Atom', ' 18331 Body=Body', ' 10808 Other', ' 32448)']",[' Yes'],"[' 4071     (Eliminated', '    0 Frozen', ' 4071)']","[' 97       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.601714'],[' 0'], ,[' 15.2139'],[' 0'],[' 0.436591'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.09462e+07'],[' 6.19407e+06'],[' 0'],[' 9.44545e+08'],[' 0'],[' 0'],[' 528 '],[' 967 '],[' 1343 '],[' 1774 '],[' 2043 '],[' 2478 '],[' 2798 '],[' 3125 '],[' 3381 '],[' 0 '],[' 9 ']
Solving...,TA68, , , , , ,[' 1533'],[' 776'],"[' 16.914s (Solving', ' 13.61s 1st Model', ' 1.70s Unsat', ' 0.10s)']",[' 16.625s'], ,[' 1969364 '],"[' 39939    (Analyzed', ' 10514)']","[' 159      (Average', ' 66.13 Last', ' 1108)']",[' 1796.1  '],"[' 776      (Average Length', ' 454.05 Splits', ' 0)']","[' 10514    (Deleted', ' 1607)']","[' 16       (Ratio', '   0.15%)']","[' 230      (Ratio', '   2.19%)']","[' 10514    (Average Length', '    7.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10514    (Average', ' 94.31 Max', ' 2756 Sum', ' 991591)']","[' 10277    (Average', ' 86.62 Max', ' 2169 Sum', ' 910754 Ratio', '  91.85%)']","[' 237      (Average', ' 341.08 Max', ' 639 Sum', '  80837 Ratio', '   8.15%)']", ,[' 78467   '],[' 2469    '],[' 73109   '],[' 23211   '],"[' 59851    (Atom=Atom', ' 17881 Body=Body', ' 10457 Other', ' 31513)']",[' Yes'],"[' 3971     (Eliminated', '    0 Frozen', ' 3971)']","[' 11       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.703461'],[' 0'], ,[' 1.31536'],[' 0'],[' 0.119177'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.9907e+06'],[' 3.32551e+06'],[' 0'],[' 2.39458e+07'],[' 0'],[' 0'],[' 534 '],[' 778 '],[' 1101 '],[' 1495 '],[' 1792 '],[' 2122 '],[' 2507 '],[' 2809 '],[' 3228 '],[' 0 '],[' 9 ']
Solving...,TA69, , , , , ,[' 1459'],[' 739'],"[' 124.265s (Solving', ' 121.48s 1st Model', ' 1.25s Unsat', ' 0.38s)']",[' 123.953s'], ,[' 14538416'],"[' 9376836  (Analyzed', ' 9338331)']","[' 17697    (Average', ' 527.68 Last', ' 17067)']",[' 1590.4  '],"[' 739      (Average Length', ' 434.84 Splits', ' 0)']","[' 9338331  (Deleted', ' 9187250)']","[' 4        (Ratio', '   0.00%)']","[' 624      (Ratio', '   0.01%)']","[' 9338331  (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9338331  (Average', '  1.46 Max', ' 2441 Sum', ' 13594909)']","[' 9337898  (Average', '  1.44 Max', ' 2041 Sum', ' 13411585 Ratio', '  98.65%)']","[' 433      (Average', ' 423.38 Max', ' 648 Sum', ' 183324 Ratio', '   1.35%)']", ,[' 78069   '],[' 2543    '],[' 72998   '],[' 23000   '],"[' 60856    (Atom=Atom', ' 18142 Body=Body', ' 10680 Other', ' 32034)']",[' Yes'],"[' 4014     (Eliminated', '    0 Frozen', ' 4014)']","[' 79       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.544941'],[' 0'], ,[' 57.7694'],[' 0'],[' 2.06106'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.77371e+07'],[' 1.54105e+07'],[' 0'],[' 2.91161e+09'],[' 0'],[' 0'],[' 739 '],[' 984 '],[' 1451 '],[' 1846 '],[' 2124 '],[' 2402 '],[' 2799 '],[' 3096 '],[' 3505 '],[' 1 '],[' 8 ']
Solving...,TA70, , , , , ,[' 1769'],[' 894'],"[' 20.601s (Solving', ' 17.15s 1st Model', ' 1.76s Unsat', ' 3.02s)']",[' 20.500s'], ,[' 2510434 '],"[' 305317   (Analyzed', ' 255234)']","[' 919      (Average', ' 277.73 Last', ' 132)']",[' 1756.8  '],"[' 894      (Average Length', ' 504.94 Splits', ' 0)']","[' 255234   (Deleted', ' 240375)']","[' 40       (Ratio', '   0.02%)']","[' 677      (Ratio', '   0.27%)']","[' 255234   (Average Length', '    9.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 255234   (Average', '  6.13 Max', ' 2768 Sum', ' 1565598)']","[' 254761   (Average', '  5.27 Max', ' 2097 Sum', ' 1345133 Ratio', '  85.92%)']","[' 473      (Average', ' 466.10 Max', ' 755 Sum', ' 220465 Ratio', '  14.08%)']", ,[' 77933   '],[' 2591    '],[' 73120   '],[' 23061   '],"[' 62101    (Atom=Atom', ' 18489 Body=Body', ' 10824 Other', ' 32788)']",[' Yes'],"[' 4182     (Eliminated', '    0 Frozen', ' 4182)']","[' 31       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.719307'],[' 0'], ,[' 3.01657'],[' 0'],[' 0.172846'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.38695e+06'],[' 4.11462e+06'],[' 0'],[' 1.0971e+08'],[' 0'],[' 0'],[' 626 '],[' 981 '],[' 1368 '],[' 1798 '],[' 2294 '],[' 2590 '],[' 2988 '],[' 3236 '],[' 3547 '],[' 0 '],[' 9 ']
