Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , ,[' 1'],[' 6685+'],[' 3349'],"[' 516.662s (Solving', ' 472.77s 1st Model', ' 74.13s Unsat', ' 0.00s)']",[' 507.859s'], ,[' 126792054'],"[' 2442573  (Analyzed', ' 1294144)']","[' 4425     (Average', ' 292.46 Last', ' 13216)']",[' 8674.1  '],"[' 3349     (Average Length', ' 1714.09 Splits', ' 0)']","[' 5004071  (Deleted', ' 4817748)']","[' 35       (Ratio', '   0.00%)']","[' 20978    (Ratio', '   0.42%)']","[' 1294144  (Average Length', '   21.7 Ratio', '  25.86%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3709927  (Average Length', '   19.5 Ratio', '  74.14%) ']","[' 1294144  (Average', '  3.12 Max', ' 9869 Sum', ' 4032893)']","[' 1294144  (Average', '  3.12 Max', ' 9869 Sum', ' 4032893 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 318167  '],[' 16117   '],[' 288236  '],[' 114614  '],"[' 299546   (Atom=Atom', ' 81497 Body=Body', ' 54120 Other', ' 163929)']",[' Yes'],"[' 20288    (Eliminated', '    0 Frozen', ' 20288)']","[' 3813     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.4968'],[' 0'], ,[' 208.159'],[' 0'],[' 11.0338'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.0167e+08'],[' 1.70825e+08'],[' 0'],[' 1.09303e+10'],[' 0'],[' 0'],[' 1254 '],[' 2391 '],[' 3342 '],[' 4304 '],[' 5100 '],[' 6000 '],[' 6 '],[' 0 ']
Solving...,TA72, , , ,[' 1'],[' 7629+'],[' 3821'],"[' 513.501s (Solving', ' 466.81s 1st Model', ' 163.12s Unsat', ' 0.00s)']",[' 510.891s'], ,[' 178987517'],"[' 1563696  (Analyzed', ' 859158)']","[' 3545     (Average', ' 242.36 Last', ' 16706)']",[' 7518.5  '],"[' 3821     (Average Length', ' 1876.89 Splits', ' 0)']","[' 3344195  (Deleted', ' 3180854)']","[' 58       (Ratio', '   0.00%)']","[' 43513    (Ratio', '   1.30%)']","[' 859158   (Average Length', '   19.3 Ratio', '  25.69%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2485037  (Average Length', '   16.6 Ratio', '  74.31%) ']","[' 859158   (Average', '  5.47 Max', ' 8248 Sum', ' 4697220)']","[' 859158   (Average', '  5.47 Max', ' 8248 Sum', ' 4697220 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 320241  '],[' 15917   '],[' 289633  '],[' 115495  '],"[' 297862   (Atom=Atom', ' 81169 Body=Body', ' 53520 Other', ' 163173)']",[' Yes'],"[' 20472    (Eliminated', '    0 Frozen', ' 20472)']","[' 8232     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.17757'],[' 0'], ,[' 159.714'],[' 0'],[' 13.1522'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.60065e+08'],[' 3.09637e+08'],[' 0'],[' 7.17437e+09'],[' 0'],[' 0'],[' 960 '],[' 1929 '],[' 2866 '],[' 3636 '],[' 4496 '],[' 5484 '],[' 6 '],[' 0 ']
Solving...,TA73, , , ,[' 1'],[' 6789+'],[' 3401'],"[' 512.215s (Solving', ' 470.12s 1st Model', ' 76.58s Unsat', ' 0.00s)']",[' 510.125s'], ,[' 145826151'],"[' 2368559  (Analyzed', ' 1483886)']","[' 4728     (Average', ' 313.85 Last', ' 8208)']",[' 8562.9  '],"[' 3401     (Average Length', ' 1738.17 Splits', ' 0)']","[' 5536964  (Deleted', ' 5361836)']","[' 34       (Ratio', '   0.00%)']","[' 26320    (Ratio', '   0.48%)']","[' 1483886  (Average Length', '   21.7 Ratio', '  26.80%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4053078  (Average Length', '   19.1 Ratio', '  73.20%) ']","[' 1483886  (Average', '  3.12 Max', ' 9525 Sum', ' 4635296)']","[' 1483886  (Average', '  3.12 Max', ' 9525 Sum', ' 4635296 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 316895  '],[' 16049   '],[' 287490  '],[' 113885  '],"[' 298624   (Atom=Atom', ' 81277 Body=Body', ' 53916 Other', ' 163431)']",[' Yes'],"[' 20338    (Eliminated', '    0 Frozen', ' 20338)']","[' 5104     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.33956'],[' 0'], ,[' 209.163'],[' 0'],[' 12.1017'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.3963e+08'],[' 2.0249e+08'],[' 0'],[' 1.12943e+10'],[' 0'],[' 0'],[' 1306 '],[' 2304 '],[' 3274 '],[' 4118 '],[' 5074 '],[' 5926 '],[' 6 '],[' 0 ']
Solving...,TA74, , , , ,[' 7999+'],[' 4006'],"[' 517.617s (Solving', ' 462.58s 1st Model', ' 105.52s Unsat', ' 0.00s)']",[' 514.141s'], ,[' 144086336'],"[' 1907259  (Analyzed', ' 862035)']","[' 3692     (Average', ' 233.49 Last', ' 13439)']",[' 7802.1  '],"[' 4007     (Average Length', ' 1976.08 Splits', ' 0)']","[' 3338967  (Deleted', ' 3204908)']","[' 41       (Ratio', '   0.00%)']","[' 30679    (Ratio', '   0.92%)']","[' 862035   (Average Length', '   21.4 Ratio', '  25.82%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2476932  (Average Length', '   18.7 Ratio', '  74.18%) ']","[' 862035   (Average', '  4.20 Max', ' 9336 Sum', ' 3622446)']","[' 862035   (Average', '  4.20 Max', ' 9336 Sum', ' 3622446 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 321218  '],[' 16010   '],[' 290626  '],[' 116230  '],"[' 299742   (Atom=Atom', ' 81725 Body=Body', ' 53799 Other', ' 164218)']",[' Yes'],"[' 20741    (Eliminated', '    0 Frozen', ' 20741)']","[' 6360     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.3343'],[' 0'], ,[' 160.795'],[' 0'],[' 11.5709'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.56078e+08'],[' 2.1826e+08'],[' 0'],[' 6.97213e+09'],[' 0'],[' 0'],[' 1152 '],[' 1966 '],[' 2865 '],[' 3806 '],[' 4762 '],[' 5978 '],[' 6 '],[' 0 ']
Solving...,TA75, , , ,[' 1'],[' 8371+'],[' 4192'],"[' 514.145s (Solving', ' 464.33s 1st Model', ' 149.20s Unsat', ' 0.00s)']",[' 510.594s'], ,[' 175416068'],"[' 1722294  (Analyzed', ' 765012)']","[' 3551     (Average', ' 215.44 Last', ' 5748)']",[' 7607.4  '],"[' 4192     (Average Length', ' 2053.40 Splits', ' 0)']","[' 3126922  (Deleted', ' 2948984)']","[' 78       (Ratio', '   0.00%)']","[' 41970    (Ratio', '   1.34%)']","[' 765012   (Average Length', '   20.1 Ratio', '  24.47%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2361910  (Average Length', '   17.3 Ratio', '  75.53%) ']","[' 765012   (Average', '  5.25 Max', ' 7613 Sum', ' 4012841)']","[' 765012   (Average', '  5.25 Max', ' 7613 Sum', ' 4012841 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 321258  '],[' 16189   '],[' 291159  '],[' 116649  '],"[' 303089   (Atom=Atom', ' 82628 Body=Body', ' 54336 Other', ' 166125)']",[' Yes'],"[' 21003    (Eliminated', '    0 Frozen', ' 21003)']","[' 8219     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.75456'],[' 0'], ,[' 148.657'],[' 0'],[' 12.6769'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.38965e+08'],[' 2.9197e+08'],[' 0'],[' 6.63688e+09'],[' 0'],[' 0'],[' 1205 '],[' 2041 '],[' 3000 '],[' 3990 '],[' 4891 '],[' 5776 '],[' 6 '],[' 0 ']
Solving...,TA76, , , ,[' 1'],[' 7607+'],[' 3810'],"[' 513.153s (Solving', ' 465.93s 1st Model', ' 132.00s Unsat', ' 0.00s)']",[' 510.391s'], ,[' 180524573'],"[' 2030424  (Analyzed', ' 1109485)']","[' 4029     (Average', ' 275.37 Last', ' 9769)']",[' 7686.5  '],"[' 3810     (Average Length', ' 1913.73 Splits', ' 0)']","[' 4251158  (Deleted', ' 4072866)']","[' 65       (Ratio', '   0.00%)']","[' 42171    (Ratio', '   0.99%)']","[' 1109485  (Average Length', '   19.0 Ratio', '  26.10%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3141673  (Average Length', '   16.7 Ratio', '  73.90%) ']","[' 1109485  (Average', '  4.42 Max', ' 7912 Sum', ' 4900629)']","[' 1109485  (Average', '  4.42 Max', ' 7912 Sum', ' 4900629 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 319753  '],[' 15950   '],[' 289468  '],[' 115294  '],"[' 298293   (Atom=Atom', ' 81290 Body=Body', ' 53619 Other', ' 163384)']",[' Yes'],"[' 20517    (Eliminated', '    0 Frozen', ' 20517)']","[' 7936     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.36759'],[' 0'], ,[' 159.708'],[' 0'],[' 12.954'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.46842e+08'],[' 2.95332e+08'],[' 0'],[' 7.4679e+09'],[' 0'],[' 0'],[' 1131 '],[' 2062 '],[' 3035 '],[' 3824 '],[' 4686 '],[' 5602 '],[' 6 '],[' 0 ']
Solving...,TA77, , , ,[' 1'],[' 6953+'],[' 3483'],"[' 511.863s (Solving', ' 469.83s 1st Model', ' 119.84s Unsat', ' 0.00s)']",[' 508.453s'], ,[' 162638761'],"[' 2158175  (Analyzed', ' 1165558)']","[' 4096     (Average', ' 284.56 Last', ' 10419)']",[' 8150.4  '],"[' 3483     (Average Length', ' 1778.76 Splits', ' 0)']","[' 4740215  (Deleted', ' 4554308)']","[' 36       (Ratio', '   0.00%)']","[' 33147    (Ratio', '   0.70%)']","[' 1165558  (Average Length', '   20.1 Ratio', '  24.59%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3574657  (Average Length', '   17.7 Ratio', '  75.41%) ']","[' 1165558  (Average', '  4.00 Max', ' 8359 Sum', ' 4663455)']","[' 1165558  (Average', '  4.00 Max', ' 8359 Sum', ' 4663455 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 319894  '],[' 15953   '],[' 289037  '],[' 115310  '],"[' 297349   (Atom=Atom', ' 80975 Body=Body', ' 53628 Other', ' 162746)']",[' Yes'],"[' 20272    (Eliminated', '    0 Frozen', ' 20272)']","[' 5848     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.32672'],[' 0'], ,[' 189.654'],[' 0'],[' 12.7337'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.95115e+08'],[' 2.5136e+08'],[' 0'],[' 9.60583e+09'],[' 0'],[' 0'],[' 1068 '],[' 2029 '],[' 2908 '],[' 3858 '],[' 4913 '],[' 5707 '],[' 6 '],[' 0 ']
Solving...,TA78, , , ,[' 1'],[' 7355+'],[' 3684'],"[' 513.547s (Solving', ' 466.93s 1st Model', ' 135.77s Unsat', ' 0.00s)']",[' 509.953s'], ,[' 159355455'],"[' 2025171  (Analyzed', ' 1175600)']","[' 4133     (Average', ' 284.44 Last', ' 14899)']",[' 8318.1  '],"[' 3684     (Average Length', ' 1855.06 Splits', ' 0)']","[' 4327251  (Deleted', ' 4162990)']","[' 52       (Ratio', '   0.00%)']","[' 35218    (Ratio', '   0.81%)']","[' 1175600  (Average Length', '   22.6 Ratio', '  27.17%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3151651  (Average Length', '   19.7 Ratio', '  72.83%) ']","[' 1175600  (Average', '  3.76 Max', ' 9283 Sum', ' 4420163)']","[' 1175600  (Average', '  3.76 Max', ' 9283 Sum', ' 4420163 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 321110  '],[' 16124   '],[' 290358  '],[' 116242  '],"[' 300537   (Atom=Atom', ' 81860 Body=Body', ' 54141 Other', ' 164536)']",[' Yes'],"[' 20589    (Eliminated', '    0 Frozen', ' 20589)']","[' 6793     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.2715'],[' 0'], ,[' 168.876'],[' 0'],[' 12.1053'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.00792e+08'],[' 2.56493e+08'],[' 0'],[' 8.11452e+09'],[' 0'],[' 0'],[' 1276 '],[' 2084 '],[' 2934 '],[' 3898 '],[' 4844 '],[' 5743 '],[' 6 '],[' 0 ']
Solving...,TA79, , , ,[' 1'],[' 7521+'],[' 3767'],"[' 513.660s (Solving', ' 466.58s 1st Model', ' 131.39s Unsat', ' 0.00s)']",[' 511.703s'], ,[' 177530022'],"[' 1613345  (Analyzed', ' 927358)']","[' 3660     (Average', ' 253.38 Last', ' 17051)']",[' 7680.1  '],"[' 3767     (Average Length', ' 1890.12 Splits', ' 0)']","[' 3653431  (Deleted', ' 3480841)']","[' 68       (Ratio', '   0.00%)']","[' 41896    (Ratio', '   1.15%)']","[' 927358   (Average Length', '   21.1 Ratio', '  25.38%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2726073  (Average Length', '   18.4 Ratio', '  74.62%) ']","[' 927358   (Average', '  5.01 Max', ' 8498 Sum', ' 4645005)']","[' 927358   (Average', '  5.01 Max', ' 8498 Sum', ' 4645005 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 321780  '],[' 16068   '],[' 290809  '],[' 116418  '],"[' 299998   (Atom=Atom', ' 81719 Body=Body', ' 53973 Other', ' 164306)']",[' Yes'],"[' 20595    (Eliminated', '    0 Frozen', ' 20595)']","[' 8118     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.33363'],[' 0'], ,[' 163.674'],[' 0'],[' 13.0595'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.33858e+08'],[' 2.87018e+08'],[' 0'],[' 7.52144e+09'],[' 0'],[' 0'],[' 1147 '],[' 2003 '],[' 2911 '],[' 3788 '],[' 4666 '],[' 5555 '],[' 6 '],[' 0 ']
Solving...,TA80, , , ,[' 1'],[' 6839+'],[' 3426'],"[' 509.703s (Solving', ' 467.43s 1st Model', ' 136.84s Unsat', ' 0.00s)']",[' 510.703s'], ,[' 176839972'],"[' 1765899  (Analyzed', ' 1105364)']","[' 3931     (Average', ' 281.19 Last', ' 13434)']",[' 7879.6  '],"[' 3426     (Average Length', ' 1742.77 Splits', ' 0)']","[' 4411350  (Deleted', ' 4205838)']","[' 56       (Ratio', '   0.00%)']","[' 42295    (Ratio', '   0.96%)']","[' 1105364  (Average Length', '   22.3 Ratio', '  25.06%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3305986  (Average Length', '   19.3 Ratio', '  74.94%) ']","[' 1105364  (Average', '  4.51 Max', ' 8107 Sum', ' 4981089)']","[' 1105364  (Average', '  4.51 Max', ' 8107 Sum', ' 4981089 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 320196  '],[' 16191   '],[' 289672  '],[' 115712  '],"[' 300843   (Atom=Atom', ' 81870 Body=Body', ' 54342 Other', ' 164631)']",[' Yes'],"[' 20408    (Eliminated', '    0 Frozen', ' 20408)']","[' 7635     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.38047'],[' 0'], ,[' 180.536'],[' 0'],[' 13.4046'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.24983e+08'],[' 2.76722e+08'],[' 0'],[' 8.66414e+09'],[' 0'],[' 0'],[' 1136 '],[' 2110 '],[' 3035 '],[' 3790 '],[' 4654 '],[' 5554 '],[' 6 '],[' 0 ']
