Optimal Found Or Timeout,Instances,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , , ,[' 3153'],[' 1581'],"[' 576.592s (Solving', ' 569.93s 1st Model', ' 109.37s Unsat', ' 110.53s)']",[' 574.734s'], ,[' 102693710'],"[' 5418500  (Analyzed', ' 5143404)']","[' 12275    (Average', ' 419.01 Last', ' 363397)']",[' 2596.2  '],"[' 1581     (Average Length', ' 844.70 Splits', ' 0)']","[' 17891664 (Deleted', ' 17629621)']","[' 208      (Ratio', '   0.00%)']","[' 15759    (Ratio', '   0.09%)']","[' 5143404  (Average Length', '   15.6 Ratio', '  28.75%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12748260 (Average Length', '   12.3 Ratio', '  71.25%) ']","[' 5143404  (Average', '  1.88 Max', ' 1950 Sum', ' 9664692)']","[' 5143392  (Average', '  1.88 Max', ' 1950 Sum', ' 9658388 Ratio', '  99.93%)']","[' 12       (Average', ' 525.33 Max', ' 573 Sum', '   6304 Ratio', '   0.07%)']", ,[' 80999   '],[' 4419    '],[' 74759   '],[' 31963   '],"[' 88355    (Atom=Atom', ' 23956 Body=Body', ' 15367 Other', ' 49032)']",[' Yes'],"[' 6225     (Eliminated', '    0 Frozen', ' 6225)']","[' 2753     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.39776'],[' 0'], ,[' 312.145'],[' 0'],[' 11.8903'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.21345e+08'],[' 2.3429e+08'],[' 0'],[' 1.89666e+10'],[' 0'],[' 0'],[' 830 '],[' 1504 '],[' 2291 '],[' 2966 '],[' 3 '],[' 1 ']
Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , ,[' 1'],[' 3691+'],[' 1850'],"[' 1006.301s (Solving', ' 997.67s 1st Model', ' 210.49s Unsat', ' 0.00s)']",[' 996.781s'], ,[' 177936501'],"[' 8152054  (Analyzed', ' 7892464)']","[' 17523    (Average', ' 450.41 Last', ' 311127)']",[' 2974.1  '],"[' 1850     (Average Length', ' 970.60 Splits', ' 0)']","[' 28141620 (Deleted', ' 27821133)']","[' 352      (Ratio', '   0.00%)']","[' 23181    (Ratio', '   0.08%)']","[' 7892464  (Average Length', '   16.3 Ratio', '  28.05%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20249156 (Average Length', '   12.7 Ratio', '  71.95%) ']","[' 7892464  (Average', '  1.96 Max', ' 1997 Sum', ' 15447798)']","[' 7892464  (Average', '  1.96 Max', ' 1997 Sum', ' 15447798 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 87270   '],[' 5086    '],[' 81257   '],[' 37693   '],"[' 101871   (Atom=Atom', ' 27686 Body=Body', ' 18237 Other', ' 55948)']",[' Yes'],"[' 7133     (Eliminated', '    0 Frozen', ' 7133)']","[' 3615     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.81016'],[' 0'], ,[' 521.247'],[' 0'],[' 20.5726'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.04455e+08'],[' 4.58563e+08'],[' 0'],[' 2.92207e+10'],[' 0'],[' 0'],[' 830 '],[' 1480 '],[' 2245 '],[' 2898 '],[' 4 '],[' 0 ']
Solving...,TA52, , , ,[' 1'],[' 3537+'],[' 1773'],"[' 1002.506s (Solving', ' 994.07s 1st Model', ' 39.25s Unsat', ' 0.00s)']",[' 995.906s'], ,[' 120421947'],"[' 9842681  (Analyzed', ' 9560964)']","[' 20846    (Average', ' 458.65 Last', ' 19409)']",[' 3178.4  '],"[' 1773     (Average Length', ' 938.68 Splits', ' 0)']","[' 32887879 (Deleted', ' 32459026)']","[' 183      (Ratio', '   0.00%)']","[' 16470    (Ratio', '   0.05%)']","[' 9560964  (Average Length', '   15.3 Ratio', '  29.07%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23326915 (Average Length', '   12.1 Ratio', '  70.93%) ']","[' 9560964  (Average', '  1.57 Max', ' 2580 Sum', ' 15005950)']","[' 9560964  (Average', '  1.57 Max', ' 2580 Sum', ' 15005950 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 87171   '],[' 5069    '],[' 81060   '],[' 37673   '],"[' 101432   (Atom=Atom', ' 27529 Body=Body', ' 18205 Other', ' 55698)']",[' Yes'],"[' 7027     (Eliminated', '    0 Frozen', ' 7027)']","[' 2491     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.7722'],[' 0'], ,[' 543.747'],[' 0'],[' 17.4242'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.35159e+08'],[' 2.32431e+08'],[' 0'],[' 3.33725e+10'],[' 0'],[' 0'],[' 892 '],[' 1586 '],[' 2339 '],[' 2966 '],[' 4 '],[' 0 ']
Solving...,TA53, , , ,[' 1'],[' 3137+'],[' 1573'],"[' 1002.055s (Solving', ' 995.18s 1st Model', ' 13.91s Unsat', ' 0.00s)']",[' 997.109s'], ,[' 146677946'],"[' 9164359  (Analyzed', ' 8802187)']","[' 18939    (Average', ' 464.77 Last', ' 177768)']",[' 3104.8  '],"[' 1573     (Average Length', ' 854.26 Splits', ' 0)']","[' 30046818 (Deleted', ' 29592934)']","[' 276      (Ratio', '   0.00%)']","[' 17588    (Ratio', '   0.06%)']","[' 8802187  (Average Length', '   15.1 Ratio', '  29.29%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21244631 (Average Length', '   12.6 Ratio', '  70.71%) ']","[' 8802187  (Average', '  1.72 Max', ' 2615 Sum', ' 15126334)']","[' 8802187  (Average', '  1.72 Max', ' 2615 Sum', ' 15126334 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 87316   '],[' 5137    '],[' 81028   '],[' 37715   '],"[' 101807   (Atom=Atom', ' 27580 Body=Body', ' 18423 Other', ' 55804)']",[' Yes'],"[' 6964     (Eliminated', '    0 Frozen', ' 6964)']","[' 2842     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.44195'],[' 0'], ,[' 561.043'],[' 0'],[' 20.5821'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.45166e+08'],[' 3.24031e+08'],[' 0'],[' 3.28686e+10'],[' 0'],[' 0'],[' 873 '],[' 1553 '],[' 2225 '],[' 2892 '],[' 4 '],[' 0 ']
Solving...,TA54, , , ,[' 1'],[' 3317+'],[' 1663'],"[' 998.339s (Solving', ' 991.03s 1st Model', ' 38.87s Unsat', ' 0.00s)']",[' 1000.766s'], ,[' 184251019'],"[' 10531230 (Analyzed', ' 10272952)']","[' 21940    (Average', ' 468.23 Last', ' 10236)']",[' 3006.9  '],"[' 1663     (Average Length', ' 884.20 Splits', ' 0)']","[' 34862514 (Deleted', ' 34431537)']","[' 267      (Ratio', '   0.00%)']","[' 23940    (Ratio', '   0.07%)']","[' 10272952 (Average Length', '   16.3 Ratio', '  29.47%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24589562 (Average Length', '   12.9 Ratio', '  70.53%) ']","[' 10272952 (Average', '  1.78 Max', ' 2456 Sum', ' 18290217)']","[' 10272952 (Average', '  1.78 Max', ' 2456 Sum', ' 18290217 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 87525   '],[' 5140    '],[' 81348   '],[' 37877   '],"[' 102152   (Atom=Atom', ' 27711 Body=Body', ' 18424 Other', ' 56017)']",[' Yes'],"[' 7034     (Eliminated', '    0 Frozen', ' 7034)']","[' 3290     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.55698'],[' 0'], ,[' 527.257'],[' 0'],[' 19.8419'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.88343e+08'],[' 4.3971e+08'],[' 0'],[' 3.29088e+10'],[' 0'],[' 0'],[' 948 '],[' 1574 '],[' 2201 '],[' 2884 '],[' 4 '],[' 0 ']
Solving...,TA55, , , , ,[' 3791'],[' 1900'],"[' 903.141s (Solving', ' 894.53s 1st Model', ' 235.71s Unsat', ' 122.64s)']",[' 901.563s'], ,[' 151009375'],"[' 8937855  (Analyzed', ' 8470504)']","[' 19244    (Average', ' 440.16 Last', ' 392800)']",[' 3449.9  '],"[' 1900     (Average Length', ' 1007.29 Splits', ' 0)']","[' 29031623 (Deleted', ' 28676163)']","[' 279      (Ratio', '   0.00%)']","[' 17482    (Ratio', '   0.06%)']","[' 8470504  (Average Length', '   17.2 Ratio', '  29.18%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20561119 (Average Length', '   13.1 Ratio', '  70.82%) ']","[' 8470504  (Average', '  1.75 Max', ' 2401 Sum', ' 14842142)']","[' 8470495  (Average', '  1.75 Max', ' 2401 Sum', ' 14842133 Ratio', ' 100.00%)']","[' 9        (Average', '  1.00 Max', '   1 Sum', '      9 Ratio', '   0.00%)']", ,[' 87418   '],[' 5087    '],[' 81434   '],[' 37841   '],"[' 101978   (Atom=Atom', ' 27702 Body=Body', ' 18245 Other', ' 56031)']",[' Yes'],"[' 7169     (Eliminated', '    0 Frozen', ' 7169)']","[' 2296     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.82909'],[' 0'], ,[' 470.194'],[' 0'],[' 17.8516'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.34629e+08'],[' 4.01918e+08'],[' 0'],[' 2.71089e+10'],[' 0'],[' 0'],[' 956 '],[' 1566 '],[' 2236 '],[' 2901 '],[' 3 '],[' 1 ']
Solving...,TA56, , , ,[' 1'],[' 3035+'],[' 1522'],"[' 1001.884s (Solving', ' 995.00s 1st Model', ' 34.67s Unsat', ' 0.00s)']",[' 1000.047s'], ,[' 134991425'],"[' 10868561 (Analyzed', ' 10580703)']","[' 21982    (Average', ' 481.33 Last', ' 33261)']",[' 3217.5  '],"[' 1522     (Average Length', ' 831.47 Splits', ' 0)']","[' 37054622 (Deleted', ' 36649550)']","[' 196      (Ratio', '   0.00%)']","[' 17016    (Ratio', '   0.05%)']","[' 10580703 (Average Length', '   16.9 Ratio', '  28.55%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26473919 (Average Length', '   14.7 Ratio', '  71.45%) ']","[' 10580703 (Average', '  1.62 Max', ' 2658 Sum', ' 17112912)']","[' 10580703 (Average', '  1.62 Max', ' 2658 Sum', ' 17112912 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 87143   '],[' 5117    '],[' 80974   '],[' 37583   '],"[' 101404   (Atom=Atom', ' 27474 Body=Body', ' 18340 Other', ' 55590)']",[' Yes'],"[' 6900     (Eliminated', '    0 Frozen', ' 6900)']","[' 2413     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.44607'],[' 0'], ,[' 583.616'],[' 0'],[' 18.6028'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.77018e+08'],[' 2.61491e+08'],[' 0'],[' 3.83534e+10'],[' 0'],[' 0'],[' 1029 '],[' 1725 '],[' 2473 '],[' 3112 '],[' 4 '],[' 0 ']
Solving...,TA57, , , ,[' 1'],[' 2869+'],[' 1439'],"[' 1001.995s (Solving', ' 995.57s 1st Model', ' 108.25s Unsat', ' 0.00s)']",[' 1000.578s'], ,[' 138891923'],"[' 9456008  (Analyzed', ' 9245018)']","[' 19567    (Average', ' 472.48 Last', ' 157761)']",[' 3000.5  '],"[' 1439     (Average Length', ' 788.60 Splits', ' 0)']","[' 33233655 (Deleted', ' 32910319)']","[' 266      (Ratio', '   0.00%)']","[' 18712    (Ratio', '   0.06%)']","[' 9245018  (Average Length', '   17.0 Ratio', '  27.82%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23988637 (Average Length', '   14.6 Ratio', '  72.18%) ']","[' 9245018  (Average', '  1.70 Max', ' 2540 Sum', ' 15757151)']","[' 9245018  (Average', '  1.70 Max', ' 2540 Sum', ' 15757151 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 86887   '],[' 5131    '],[' 80583   '],[' 37429   '],"[' 101304   (Atom=Atom', ' 27429 Body=Body', ' 18387 Other', ' 55488)']",[' Yes'],"[' 6844     (Eliminated', '    0 Frozen', ' 6844)']","[' 3275     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.32968'],[' 0'], ,[' 556.139'],[' 0'],[' 18.5546'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.65256e+08'],[' 3.38615e+08'],[' 0'],[' 3.58591e+10'],[' 0'],[' 0'],[' 1081 '],[' 1966 '],[' 2539 '],[' 3229 '],[' 4 '],[' 0 ']
Solving...,TA58, , , ,[' 1'],[' 3365+'],[' 1687'],"[' 1002.521s (Solving', ' 994.42s 1st Model', ' 39.95s Unsat', ' 0.00s)']",[' 1000.844s'], ,[' 167091353'],"[' 10305373 (Analyzed', ' 10000454)']","[' 21379    (Average', ' 467.77 Last', ' 114338)']",[' 3001.2  '],"[' 1687     (Average Length', ' 901.56 Splits', ' 0)']","[' 34066649 (Deleted', ' 33665799)']","[' 317      (Ratio', '   0.00%)']","[' 23285    (Ratio', '   0.07%)']","[' 10000454 (Average Length', '   16.1 Ratio', '  29.36%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24066195 (Average Length', '   13.3 Ratio', '  70.64%) ']","[' 10000454 (Average', '  1.70 Max', ' 2150 Sum', ' 16984476)']","[' 10000454 (Average', '  1.70 Max', ' 2150 Sum', ' 16984476 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 87700   '],[' 5122    '],[' 81524   '],[' 38005   '],"[' 101768   (Atom=Atom', ' 27614 Body=Body', ' 18303 Other', ' 55851)']",[' Yes'],"[' 7044     (Eliminated', '    0 Frozen', ' 7044)']","[' 3411     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.60098'],[' 0'], ,[' 555.062'],[' 0'],[' 19.7821'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.28686e+08'],[' 3.9703e+08'],[' 0'],[' 3.54843e+10'],[' 0'],[' 0'],[' 882 '],[' 1569 '],[' 2293 '],[' 3002 '],[' 4 '],[' 0 ']
