Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , , ,[' 1'],[' 9065+'],[' 4537'],"[' 1022.237s (Solving', ' 940.93s 1st Model', ' 406.23s Unsat', ' 0.00s)']",[' 1017.188s'], ,[' 504689521'],"[' 3735033  (Analyzed', ' 901588)']","[' 4521     (Average', ' 199.42 Last', ' 97273)']",[' 12896.6 '],"[' 4537     (Average Length', ' 2355.12 Splits', ' 0)']","[' 901588   (Deleted', ' 814989)']","[' 106      (Ratio', '   0.01%)']","[' 66258    (Ratio', '   7.35%)']","[' 901588   (Average Length', '   29.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 901588   (Average', ' 511.57 Max', ' 15195 Sum', ' 461228544)']","[' 898383   (Average', ' 503.09 Max', ' 15195 Sum', ' 453575643 Ratio', '  98.34%)']","[' 3205     (Average', ' 2387.80 Max', ' 3103 Sum', ' 7652901 Ratio', '   1.66%)']", ,[' 394207  '],[' 25222   '],[' 357984  '],[' 162072  '],"[' 450770   (Atom=Atom', ' 117938 Body=Body', ' 81226 Other', ' 251606)']",[' Yes'],"[' 30089    (Eliminated', '    0 Frozen', ' 30089)']","[' 12198    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.1387'],[' 0'], ,[' 278.089'],[' 0'],[' 32.6417'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.14615e+08'],[' 8.3481e+08'],[' 0'],[' 7.23419e+09'],[' 0'],[' 0'],[' 2286 '],[' 3814 '],[' 4921 '],[' 6368 '],[' 4 '],[' 0 ']
Solving...,TA72, , , , ,[' 1'],[' 8183+'],[' 4096'],"[' 881.114s (Solving', ' 803.96s 1st Model', ' 203.07s Unsat', ' 0.00s)']",[' 878.172s'], ,[' 405445660'],"[' 4224269  (Analyzed', ' 1568310)']","[' 5182     (Average', ' 302.65 Last', ' 51915)']",[' 13092.0 '],"[' 4095     (Average Length', ' 2112.63 Splits', ' 0)']","[' 1568310  (Deleted', ' 1490503)']","[' 85       (Ratio', '   0.01%)']","[' 50356    (Ratio', '   3.21%)']","[' 1568310  (Average Length', '   28.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1568310  (Average', ' 231.73 Max', ' 16845 Sum', ' 363424626)']","[' 1565386  (Average', ' 227.57 Max', ' 16845 Sum', ' 356898225 Ratio', '  98.20%)']","[' 2924     (Average', ' 2232.01 Max', ' 2675 Sum', ' 6526401 Ratio', '   1.80%)']", ,[' 393397  '],[' 24814   '],[' 355977  '],[' 160839  '],"[' 443288   (Atom=Atom', ' 115865 Body=Body', ' 80002 Other', ' 247421)']",[' Yes'],"[' 29364    (Eliminated', '    0 Frozen', ' 29364)']","[' 9229     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.6924'],[' 0'], ,[' 253.76'],[' 0'],[' 26.2787'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.99997e+08'],[' 6.26758e+08'],[' 0'],[' 7.75934e+09'],[' 0'],[' 0'],[' 1934 '],[' 3447 '],[' 6349 '],[' 6044 '],[' 4 '],[' 0 ']
Solving...,TA73, , , , ,[' 1'],[' 8407+'],[' 4208'],"[' 1020.279s (Solving', ' 946.76s 1st Model', ' 278.56s Unsat', ' 0.00s)']",[' 1016.984s'], ,[' 510142770'],"[' 5491217  (Analyzed', ' 2403666)']","[' 6965     (Average', ' 345.11 Last', ' 76934)']",[' 13224.3 '],"[' 4208     (Average Length', ' 2223.90 Splits', ' 0)']","[' 2403666  (Deleted', ' 2316011)']","[' 92       (Ratio', '   0.00%)']","[' 58513    (Ratio', '   2.43%)']","[' 2403666  (Average Length', '   29.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2403666  (Average', ' 194.12 Max', ' 15906 Sum', ' 466590283)']","[' 2400714  (Average', ' 191.37 Max', ' 15906 Sum', ' 459985327 Ratio', '  98.58%)']","[' 2952     (Average', ' 2237.45 Max', ' 2876 Sum', ' 6604956 Ratio', '   1.42%)']", ,[' 392048  '],[' 24790   '],[' 355406  '],[' 160086  '],"[' 443478   (Atom=Atom', ' 115881 Body=Body', ' 79930 Other', ' 247667)']",[' Yes'],"[' 29423    (Eliminated', '    0 Frozen', ' 29423)']","[' 10022    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.993'],[' 0'], ,[' 331.995'],[' 0'],[' 33.7039'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.47686e+08'],[' 7.64412e+08'],[' 0'],[' 1.11381e+10'],[' 0'],[' 0'],[' 2247 '],[' 3582 '],[' 4985 '],[' 6479 '],[' 4 '],[' 0 ']
Solving...,TA74, , , , ,[' 1'],[' 9193+'],[' 4601'],"[' 1022.397s (Solving', ' 941.46s 1st Model', ' 392.92s Unsat', ' 0.00s)']",[' 1018.719s'], ,[' 507460912'],"[' 3103493  (Analyzed', ' 1258695)']","[' 5057     (Average', ' 248.90 Last', ' 88470)']",[' 13057.0 '],"[' 4601     (Average Length', ' 2335.19 Splits', ' 0)']","[' 1258695  (Deleted', ' 1177866)']","[' 96       (Ratio', '   0.01%)']","[' 58606    (Ratio', '   4.66%)']","[' 1258695  (Average Length', '   29.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1258695  (Average', ' 367.71 Max', ' 15460 Sum', ' 462829355)']","[' 1255940  (Average', ' 362.33 Max', ' 15460 Sum', ' 456064477 Ratio', '  98.54%)']","[' 2755     (Average', ' 2455.49 Max', ' 2893 Sum', ' 6764878 Ratio', '   1.46%)']", ,[' 394239  '],[' 24765   '],[' 356289  '],[' 162015  '],"[' 444233   (Atom=Atom', ' 116174 Body=Body', ' 79855 Other', ' 248204)']",[' Yes'],"[' 29725    (Eliminated', '    0 Frozen', ' 29725)']","[' 10339    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.1904'],[' 0'], ,[' 280.084'],[' 0'],[' 32.5038'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.41616e+08'],[' 8.62893e+08'],[' 0'],[' 7.60932e+09'],[' 0'],[' 0'],[' 1686 '],[' 3548 '],[' 5091 '],[' 6154 '],[' 4 '],[' 0 ']
Solving...,TA75, , , , ,[' 1'],[' 8347+'],[' 4178'],"[' 1020.536s (Solving', ' 946.97s 1st Model', ' 209.33s Unsat', ' 0.00s)']",[' 1010.531s'], ,[' 444351603'],"[' 4303423  (Analyzed', ' 1922274)']","[' 6444     (Average', ' 298.30 Last', ' 11275)']",[' 12581.4 '],"[' 4178     (Average Length', ' 2167.83 Splits', ' 0)']","[' 1922274  (Deleted', ' 1835808)']","[' 101      (Ratio', '   0.01%)']","[' 56588    (Ratio', '   2.94%)']","[' 1922274  (Average Length', '   32.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1922274  (Average', ' 210.73 Max', ' 16155 Sum', ' 405079635)']","[' 1919376  (Average', ' 207.12 Max', ' 16155 Sum', ' 398149351 Ratio', '  98.29%)']","[' 2898     (Average', ' 2391.40 Max', ' 2758 Sum', ' 6930284 Ratio', '   1.71%)']", ,[' 394580  '],[' 24917   '],[' 356955  '],[' 161677  '],"[' 445072   (Atom=Atom', ' 116359 Body=Body', ' 80311 Other', ' 248402)']",[' Yes'],"[' 29533    (Eliminated', '    0 Frozen', ' 29533)']","[' 10368    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.994'],[' 0'], ,[' 329.454'],[' 0'],[' 30.6197'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.26601e+08'],[' 7.54213e+08'],[' 0'],[' 1.04008e+10'],[' 0'],[' 0'],[' 1920 '],[' 3546 '],[' 5191 '],[' 6520 '],[' 4 '],[' 0 ']
Solving...,TA76, , , , ,[' 1'],[' 9677+'],[' 4843'],"[' 1022.573s (Solving', ' 940.71s 1st Model', ' 337.81s Unsat', ' 0.00s)']",[' 1018.813s'], ,[' 485744868'],"[' 4162208  (Analyzed', ' 1242222)']","[' 5417     (Average', ' 229.32 Last', ' 112419)']",[' 12636.8 '],"[' 4843     (Average Length', ' 2440.50 Splits', ' 0)']","[' 1242222  (Deleted', ' 1165353)']","[' 77       (Ratio', '   0.01%)']","[' 57706    (Ratio', '   4.65%)']","[' 1242222  (Average Length', '   28.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1242222  (Average', ' 355.63 Max', ' 15389 Sum', ' 441776261)']","[' 1238996  (Average', ' 348.65 Max', ' 15389 Sum', ' 433096233 Ratio', '  98.04%)']","[' 3226     (Average', ' 2690.65 Max', ' 3128 Sum', ' 8680028 Ratio', '   1.96%)']", ,[' 395124  '],[' 24907   '],[' 357862  '],[' 162399  '],"[' 446803   (Atom=Atom', ' 116984 Body=Body', ' 80281 Other', ' 249538)']",[' Yes'],"[' 30039    (Eliminated', '    0 Frozen', ' 30039)']","[' 11247    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.3229'],[' 0'], ,[' 301.224'],[' 0'],[' 31.254'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.97429e+08'],[' 8.21842e+08'],[' 0'],[' 9.99996e+09'],[' 0'],[' 0'],[' 1797 '],[' 3558 '],[' 4989 '],[' 6484 '],[' 4 '],[' 0 ']
Solving...,TA77, , , , ,[' 1'],[' 9075+'],[' 4542'],"[' 1021.397s (Solving', ' 944.74s 1st Model', ' 201.68s Unsat', ' 0.00s)']",[' 1017.422s'], ,[' 517571288'],"[' 4450111  (Analyzed', ' 1968492)']","[' 5919     (Average', ' 332.57 Last', ' 13057)']",[' 12685.1 '],"[' 4542     (Average Length', ' 2291.59 Splits', ' 0)']","[' 1968492  (Deleted', ' 1873672)']","[' 107      (Ratio', '   0.01%)']","[' 63612    (Ratio', '   3.23%)']","[' 1968492  (Average Length', '   29.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1968492  (Average', ' 241.33 Max', ' 15176 Sum', ' 475055807)']","[' 1965361  (Average', ' 237.38 Max', ' 15176 Sum', ' 467286197 Ratio', '  98.36%)']","[' 3131     (Average', ' 2481.51 Max', ' 2968 Sum', ' 7769610 Ratio', '   1.64%)']", ,[' 391509  '],[' 24793   '],[' 355255  '],[' 160148  '],"[' 444309   (Atom=Atom', ' 116227 Body=Body', ' 79939 Other', ' 248143)']",[' Yes'],"[' 29600    (Eliminated', '    0 Frozen', ' 29600)']","[' 11749    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.5707'],[' 0'], ,[' 313.894'],[' 0'],[' 32.7601'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.99067e+08'],[' 8.09953e+08'],[' 0'],[' 9.92433e+09'],[' 0'],[' 0'],[' 2052 '],[' 3643 '],[' 5015 '],[' 6410 '],[' 4 '],[' 0 ']
Solving...,TA78, , , , ,[' 1'],[' 8783+'],[' 4396'],"[' 1020.636s (Solving', ' 944.97s 1st Model', ' 281.05s Unsat', ' 0.00s)']",[' 1017.672s'], ,[' 506611976'],"[' 3843733  (Analyzed', ' 1110347)']","[' 4828     (Average', ' 229.98 Last', ' 45771)']",[' 12296.9 '],"[' 4396     (Average Length', ' 2301.95 Splits', ' 0)']","[' 1110347  (Deleted', ' 1019668)']","[' 116      (Ratio', '   0.01%)']","[' 67840    (Ratio', '   6.11%)']","[' 1110347  (Average Length', '   25.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1110347  (Average', ' 419.60 Max', ' 15591 Sum', ' 465900830)']","[' 1107483  (Average', ' 413.21 Max', ' 14545 Sum', ' 458807042 Ratio', '  98.48%)']","[' 2864     (Average', ' 2476.88 Max', ' 3043 Sum', ' 7093788 Ratio', '   1.52%)']", ,[' 392987  '],[' 24636   '],[' 355562  '],[' 160623  '],"[' 441609   (Atom=Atom', ' 115453 Body=Body', ' 79468 Other', ' 246688)']",[' Yes'],"[' 29420    (Eliminated', '    0 Frozen', ' 29420)']","[' 12835    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.4132'],[' 0'], ,[' 293.128'],[' 0'],[' 32.2542'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.82693e+08'],[' 8.95211e+08'],[' 0'],[' 8.69182e+09'],[' 0'],[' 0'],[' 1841 '],[' 3369 '],[' 4947 '],[' 6346 '],[' 4 '],[' 0 ']
Solving...,TA79, , , , ,[' 1'],[' 8629+'],[' 4319'],"[' 1022.361s (Solving', ' 943.10s 1st Model', ' 323.21s Unsat', ' 0.00s)']",[' 1013.547s'], ,[' 488995068'],"[' 3029766  (Analyzed', ' 1271804)']","[' 5073     (Average', ' 250.70 Last', ' 76357)']",[' 12240.5 '],"[' 4319     (Average Length', ' 2225.83 Splits', ' 0)']","[' 1271804  (Deleted', ' 1183781)']","[' 68       (Ratio', '   0.01%)']","[' 61458    (Ratio', '   4.83%)']","[' 1271804  (Average Length', '   25.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1271804  (Average', ' 354.93 Max', ' 16266 Sum', ' 451407388)']","[' 1268665  (Average', ' 348.92 Max', ' 15020 Sum', ' 443762016 Ratio', '  98.31%)']","[' 3139     (Average', ' 2435.61 Max', ' 2902 Sum', ' 7645372 Ratio', '   1.69%)']", ,[' 396241  '],[' 24820   '],[' 358026  '],[' 162219  '],"[' 444194   (Atom=Atom', ' 116112 Body=Body', ' 80020 Other', ' 248062)']",[' Yes'],"[' 29629    (Eliminated', '    0 Frozen', ' 29629)']","[' 11321    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.8508'],[' 0'], ,[' 294.069'],[' 0'],[' 31.7562'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.32664e+08'],[' 8.55358e+08'],[' 0'],[' 8.74476e+09'],[' 0'],[' 0'],[' 1629 '],[' 3177 '],[' 4899 '],[' 6284 '],[' 4 '],[' 0 ']
Solving...,TA80, , , , ,[' 1'],[' 9045+'],[' 4527'],"[' 1020.937s (Solving', ' 942.84s 1st Model', ' 277.79s Unsat', ' 0.00s)']",[' 1017.969s'], ,[' 518098423'],"[' 4458937  (Analyzed', ' 1365206)']","[' 5481     (Average', ' 249.08 Last', ' 36237)']",[' 12660.8 '],"[' 4527     (Average Length', ' 2325.00 Splits', ' 0)']","[' 1365206  (Deleted', ' 1276397)']","[' 92       (Ratio', '   0.01%)']","[' 69174    (Ratio', '   5.07%)']","[' 1365206  (Average Length', '   29.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1365206  (Average', ' 348.14 Max', ' 16040 Sum', ' 475281915)']","[' 1362009  (Average', ' 342.38 Max', ' 15096 Sum', ' 467413002 Ratio', '  98.34%)']","[' 3197     (Average', ' 2461.34 Max', ' 3028 Sum', ' 7868913 Ratio', '   1.66%)']", ,[' 389720  '],[' 24886   '],[' 354111  '],[' 159830  '],"[' 445555   (Atom=Atom', ' 116584 Body=Body', ' 80218 Other', ' 248753)']",[' Yes'],"[' 29706    (Eliminated', '    0 Frozen', ' 29706)']","[' 11996    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.5508'],[' 0'], ,[' 302.704'],[' 0'],[' 32.2389'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.70082e+08'],[' 8.8098e+08'],[' 0'],[' 1.00209e+10'],[' 0'],[' 0'],[' 2062 '],[' 3558 '],[' 4919 '],[' 6029 '],[' 4 '],[' 0 ']
