Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , , ,[' 1'],[' 1235+'],[' 624'],"[' 836.421s (Solving', ' 834.25s 1st Model', ' 1.51s Unsat', ' 0.12s)']",[' 833.031s'], ,[' 65981467'],"[' 36289172 (Analyzed', ' 36257808)']","[' 65793    (Average', ' 551.09 Last', ' 12114)']",[' 1639.4  '],"[' 624      (Average Length', ' 384.30 Splits', ' 0)']","[' 36257808 (Deleted', ' 35786096)']","[' 8        (Ratio', '   0.00%)']","[' 3535     (Ratio', '   0.01%)']","[' 36257808 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 36257808 (Average', '  1.77 Max', ' 2658 Sum', ' 64326788)']","[' 36257389 (Average', '  1.77 Max', ' 2280 Sum', ' 64153761 Ratio', '  99.73%)']","[' 419      (Average', ' 412.95 Max', ' 565 Sum', ' 173027 Ratio', '   0.27%)']", ,[' 68121   '],[' 3015    '],[' 62619   '],[' 23588   '],"[' 62957    (Atom=Atom', ' 17815 Body=Body', ' 11245 Other', ' 33897)']",[' Yes'],"[' 4107     (Eliminated', '    0 Frozen', ' 4107)']","[' 527      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.414176'],[' 0'], ,[' 566.6'],[' 0'],[' 16.2236'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.72561e+08'],[' 8.45928e+07'],[' 0'],[' 3.62947e+10'],[' 0'],[' 0'],[' 781 '],[' 1373 '],[' 1812 '],[' 2310 '],[' 2854 '],[' 3557 '],[' 5 '],[' 1 ']
Solving...,TA52, , , , ,[' 1'],[' 1067+'],[' 540'],"[' 1000.807s (Solving', ' 998.80s 1st Model', ' 1.27s Unsat', ' 0.00s)']",[' 999.313s'], ,[' 97781474'],"[' 47790363 (Analyzed', ' 47748861)']","[' 81598    (Average', ' 585.17 Last', ' 453169)']",[' 1592.7  '],"[' 540      (Average Length', ' 342.36 Splits', ' 0)']","[' 47748861 (Deleted', ' 47317134)']","[' 10       (Ratio', '   0.00%)']","[' 5430     (Ratio', '   0.01%)']","[' 47748861 (Average Length', '   14.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 47748861 (Average', '  2.01 Max', ' 2267 Sum', ' 95842098)']","[' 47748251 (Average', '  2.00 Max', ' 2165 Sum', ' 95598369 Ratio', '  99.75%)']","[' 610      (Average', ' 399.56 Max', ' 513 Sum', ' 243729 Ratio', '   0.25%)']", ,[' 68556   '],[' 3164    '],[' 62984   '],[' 23996   '],"[' 64944    (Atom=Atom', ' 18327 Body=Body', ' 11692 Other', ' 34925)']",[' Yes'],"[' 4169     (Eliminated', '    0 Frozen', ' 4169)']","[' 926      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.370094'],[' 0'], ,[' 672.152'],[' 0'],[' 17.4164'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.36757e+08'],[' 1.22042e+08'],[' 0'],[' 4.29799e+10'],[' 0'],[' 0'],[' 996 '],[' 1512 '],[' 2015 '],[' 2576 '],[' 3194 '],[' 3535 '],[' 6 '],[' 0 ']
Solving...,TA53, , , , ,[' 1'],[' 1217+'],[' 615'],"[' 836.671s (Solving', ' 834.44s 1st Model', ' 1.32s Unsat', ' 0.52s)']",[' 835.719s'], ,[' 65866063'],"[' 43166731 (Analyzed', ' 43128742)']","[' 80247    (Average', ' 537.45 Last', ' 493056)']",[' 1609.0  '],"[' 615      (Average Length', ' 372.43 Splits', ' 0)']","[' 43128742 (Deleted', ' 42570333)']","[' 4        (Ratio', '   0.00%)']","[' 2268     (Ratio', '   0.01%)']","[' 43128742 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 43128742 (Average', '  1.49 Max', ' 2267 Sum', ' 64143139)']","[' 43128246 (Average', '  1.48 Max', ' 2267 Sum', ' 63948241 Ratio', '  99.70%)']","[' 496      (Average', ' 392.94 Max', ' 542 Sum', ' 194898 Ratio', '   0.30%)']", ,[' 67904   '],[' 3002    '],[' 62397   '],[' 23523   '],"[' 62680    (Atom=Atom', ' 17754 Body=Body', ' 11206 Other', ' 33720)']",[' Yes'],"[' 4076     (Eliminated', '    0 Frozen', ' 4076)']","[' 384      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.434006'],[' 0'], ,[' 527.328'],[' 0'],[' 13.6787'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.72523e+08'],[' 7.48413e+07'],[' 0'],[' 3.49271e+10'],[' 0'],[' 0'],[' 712 '],[' 1298 '],[' 1659 '],[' 2133 '],[' 2679 '],[' 3206 '],[' 5 '],[' 1 ']
Solving...,TA54, , , , ,[' 1'],[' 1267+'],[' 640'],"[' 671.787s (Solving', ' 669.29s 1st Model', ' 1.46s Unsat', ' 0.89s)']",[' 670.359s'], ,[' 58943537'],"[' 31430247 (Analyzed', ' 31401416)']","[' 54788    (Average', ' 573.14 Last', ' 11665)']",[' 1764.5  '],"[' 640      (Average Length', ' 382.21 Splits', ' 0)']","[' 31401416 (Deleted', ' 31038263)']","[' 11       (Ratio', '   0.00%)']","[' 3536     (Ratio', '   0.01%)']","[' 31401416 (Average Length', '   13.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 31401416 (Average', '  1.82 Max', ' 2254 Sum', ' 57288947)']","[' 31400891 (Average', '  1.82 Max', ' 2254 Sum', ' 57096454 Ratio', '  99.66%)']","[' 525      (Average', ' 366.65 Max', ' 511 Sum', ' 192493 Ratio', '   0.34%)']", ,[' 68163   '],[' 3093    '],[' 62802   '],[' 23728   '],"[' 64201    (Atom=Atom', ' 18143 Body=Body', ' 11479 Other', ' 34579)']",[' Yes'],"[' 4199     (Eliminated', '    0 Frozen', ' 4199)']","[' 605      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.509606'],[' 0'], ,[' 450.139'],[' 0'],[' 12.6815'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.47953e+08'],[' 7.42969e+07'],[' 0'],[' 2.93097e+10'],[' 0'],[' 0'],[' 704 '],[' 1428 '],[' 1962 '],[' 2211 '],[' 2926 '],[' 3378 '],[' 4 '],[' 2 ']
Solving...,TA55, , , , ,[' 1'],[' 1235+'],[' 624'],"[' 836.840s (Solving', ' 834.48s 1st Model', ' 1.55s Unsat', ' 0.47s)']",[' 835.984s'], ,[' 70490670'],"[' 40454567 (Analyzed', ' 40417474)']","[' 72478    (Average', ' 557.65 Last', ' 34178)']",[' 1716.2  '],"[' 624      (Average Length', ' 376.80 Splits', ' 0)']","[' 40417474 (Deleted', ' 40013808)']","[' 10       (Ratio', '   0.00%)']","[' 3809     (Ratio', '   0.01%)']","[' 40417474 (Average Length', '   13.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 40417474 (Average', '  1.70 Max', ' 2560 Sum', ' 68613134)']","[' 40416962 (Average', '  1.69 Max', ' 2246 Sum', ' 68411705 Ratio', '  99.71%)']","[' 512      (Average', ' 393.42 Max', ' 528 Sum', ' 201429 Ratio', '   0.29%)']", ,[' 68654   '],[' 3110    '],[' 63084   '],[' 24003   '],"[' 64354    (Atom=Atom', ' 18195 Body=Body', ' 11530 Other', ' 34629)']",[' Yes'],"[' 4210     (Eliminated', '    0 Frozen', ' 4210)']","[' 728      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.456545'],[' 0'], ,[' 563.555'],[' 0'],[' 15.1088'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.79042e+08'],[' 8.49785e+07'],[' 0'],[' 3.69087e+10'],[' 0'],[' 0'],[' 739 '],[' 1268 '],[' 2000 '],[' 2414 '],[' 3006 '],[' 3371 '],[' 5 '],[' 1 ']
Solving...,TA56, , , , ,[' 1'],[' 1323+'],[' 668'],"[' 782.277s (Solving', ' 779.72s 1st Model', ' 1.68s Unsat', ' 111.99s)']",[' 781.141s'], ,[' 73450682'],"[' 40007472 (Analyzed', ' 39972746)']","[' 72146    (Average', ' 554.05 Last', ' 331870)']",[' 1734.7  '],"[' 668      (Average Length', ' 405.09 Splits', ' 0)']","[' 39972746 (Deleted', ' 39496745)']","[' 23       (Ratio', '   0.00%)']","[' 3029     (Ratio', '   0.01%)']","[' 39972746 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 39972746 (Average', '  1.79 Max', ' 2306 Sum', ' 71644148)']","[' 39972231 (Average', '  1.79 Max', ' 2171 Sum', ' 71429658 Ratio', '  99.70%)']","[' 515      (Average', ' 416.49 Max', ' 562 Sum', ' 214490 Ratio', '   0.30%)']", ,[' 67287   '],[' 2967    '],[' 61978   '],[' 23189   '],"[' 62359    (Atom=Atom', ' 17667 Body=Body', ' 11101 Other', ' 33591)']",[' Yes'],"[' 4103     (Eliminated', '    0 Frozen', ' 4103)']","[' 458      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.493026'],[' 0'], ,[' 509.385'],[' 0'],[' 11.5203'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.78896e+08'],[' 8.46099e+07'],[' 0'],[' 3.27548e+10'],[' 0'],[' 0'],[' 777 '],[' 1622 '],[' 1998 '],[' 2412 '],[' 2999 '],[' 3346 '],[' 4 '],[' 2 ']
Solving...,TA57, , , , , ,[' 1307'],[' 660'],"[' 839.662s (Solving', ' 837.20s 1st Model', ' 1.60s Unsat', ' 2.99s)']",[' 838.063s'], ,[' 75650554'],"[' 46132505 (Analyzed', ' 46098933)']","[' 83901    (Average', ' 549.44 Last', ' 891)']",[' 1768.3  '],"[' 660      (Average Length', ' 397.90 Splits', ' 0)']","[' 46098933 (Deleted', ' 45545801)']","[' 21       (Ratio', '   0.00%)']","[' 2697     (Ratio', '   0.01%)']","[' 46098933 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 46098933 (Average', '  1.60 Max', ' 2516 Sum', ' 73649816)']","[' 46098526 (Average', '  1.59 Max', ' 2269 Sum', ' 73482559 Ratio', '  99.77%)']","[' 407      (Average', ' 410.95 Max', ' 542 Sum', ' 167257 Ratio', '   0.23%)']", ,[' 67944   '],[' 2982    '],[' 62438   '],[' 23520   '],"[' 62529    (Atom=Atom', ' 17719 Body=Body', ' 11146 Other', ' 33664)']",[' Yes'],"[' 4108     (Eliminated', '    0 Frozen', ' 4108)']","[' 450      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.485278'],[' 0'], ,[' 514.8'],[' 0'],[' 12.3861'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.94312e+08'],[' 8.78378e+07'],[' 0'],[' 3.19424e+10'],[' 0'],[' 0'],[' 709 '],[' 1367 '],[' 2035 '],[' 2635 '],[' 3008 '],[' 3397 '],[' 5 '],[' 1 ']
Solving...,TA58, , , , ,[' 1'],[' 1147+'],[' 580'],"[' 912.731s (Solving', ' 910.64s 1st Model', ' 1.30s Unsat', ' 76.91s)']",[' 912.344s'], ,[' 76262104'],"[' 52017695 (Analyzed', ' 51973139)']","[' 95303    (Average', ' 545.35 Last', ' 139630)']",[' 1642.5  '],"[' 580      (Average Length', ' 356.57 Splits', ' 0)']","[' 51973139 (Deleted', ' 51360745)']","[' 5        (Ratio', '   0.00%)']","[' 2401     (Ratio', '   0.00%)']","[' 51973139 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 51973139 (Average', '  1.43 Max', ' 2557 Sum', ' 74288584)']","[' 51972630 (Average', '  1.43 Max', ' 2235 Sum', ' 74084082 Ratio', '  99.72%)']","[' 509      (Average', ' 401.77 Max', ' 535 Sum', ' 204502 Ratio', '   0.28%)']", ,[' 67519   '],[' 3016    '],[' 62163   '],[' 23319   '],"[' 62824    (Atom=Atom', ' 17775 Body=Body', ' 11248 Other', ' 33801)']",[' Yes'],"[' 4077     (Eliminated', '    0 Frozen', ' 4077)']","[' 436      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.396565'],[' 0'], ,[' 573.23'],[' 0'],[' 11.5772'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.95733e+08'],[' 7.5269e+07'],[' 0'],[' 3.69883e+10'],[' 0'],[' 0'],[' 731 '],[' 1354 '],[' 1813 '],[' 2589 '],[' 3082 '],[' 3562 '],[' 5 '],[' 1 ']
Solving...,TA59, , , , ,[' 1'],[' 1177+'],[' 595'],"[' 676.417s (Solving', ' 674.20s 1st Model', ' 1.36s Unsat', ' 3.84s)']",[' 676.031s'], ,[' 60584102'],"[' 37507762 (Analyzed', ' 37473290)']","[' 65109    (Average', ' 575.55 Last', ' 138792)']",[' 1714.4  '],"[' 595      (Average Length', ' 374.05 Splits', ' 0)']","[' 37473290 (Deleted', ' 37073707)']","[' 12       (Ratio', '   0.00%)']","[' 3601     (Ratio', '   0.01%)']","[' 37473290 (Average Length', '   13.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 37473290 (Average', '  1.57 Max', ' 2455 Sum', ' 58808568)']","[' 37472836 (Average', '  1.57 Max', ' 2251 Sum', ' 58646506 Ratio', '  99.72%)']","[' 454      (Average', ' 356.96 Max', ' 515 Sum', ' 162062 Ratio', '   0.28%)']", ,[' 68444   '],[' 3075    '],[' 62826   '],[' 23902   '],"[' 63774    (Atom=Atom', ' 18026 Body=Body', ' 11425 Other', ' 34323)']",[' Yes'],"[' 4134     (Eliminated', '    0 Frozen', ' 4134)']","[' 447      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.429123'],[' 0'], ,[' 439.101'],[' 0'],[' 12.6671'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.53696e+08'],[' 6.54267e+07'],[' 0'],[' 3.01003e+10'],[' 0'],[' 0'],[' 675 '],[' 1352 '],[' 1803 '],[' 2162 '],[' 2613 '],[' 3502 '],[' 4 '],[' 2 ']
Solving...,TA60, , , , ,[' 1'],[' 1217+'],[' 615'],"[' 1000.797s (Solving', ' 998.63s 1st Model', ' 1.41s Unsat', ' 0.00s)']",[' 1000.484s'], ,[' 98273528'],"[' 47717516 (Analyzed', ' 47697252)']","[' 83320    (Average', ' 572.46 Last', ' 391523)']",[' 1552.8  '],"[' 615      (Average Length', ' 370.69 Splits', ' 0)']","[' 47697252 (Deleted', ' 47231940)']","[' 19       (Ratio', '   0.00%)']","[' 6197     (Ratio', '   0.01%)']","[' 47697252 (Average Length', '   15.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 47697252 (Average', '  2.02 Max', ' 2295 Sum', ' 96211038)']","[' 47696775 (Average', '  2.01 Max', ' 2139 Sum', ' 96003201 Ratio', '  99.78%)']","[' 477      (Average', ' 435.72 Max', ' 565 Sum', ' 207837 Ratio', '   0.22%)']", ,[' 68712   '],[' 3123    '],[' 63088   '],[' 24104   '],"[' 64624    (Atom=Atom', ' 18238 Body=Body', ' 11569 Other', ' 34817)']",[' Yes'],"[' 4212     (Eliminated', '    0 Frozen', ' 4212)']","[' 1211     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.41611'],[' 0'], ,[' 681.79'],[' 0'],[' 18.7298'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.50355e+08'],[' 1.26463e+08'],[' 0'],[' 4.71493e+10'],[' 0'],[' 0'],[' 676 '],[' 1545 '],[' 1743 '],[' 2316 '],[' 3104 '],[' 3543 '],[' 6 '],[' 0 ']
