Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , , ,[' 1'],[' 741+'],[' 378'],"[' 692.729s (Solving', ' 690.98s 1st Model', ' 0.92s Unsat', ' 116.40s)']",[' 692.266s'], ,[' 59801090'],"[' 38138973 (Analyzed', ' 38123705)']","[' 69797    (Average', ' 546.21 Last', ' 227051)']",[' 1384.6  '],"[' 378      (Average Length', ' 261.59 Splits', ' 0)']","[' 38123705 (Deleted', ' 37661172)']","[' 2        (Ratio', '   0.00%)']","[' 2771     (Ratio', '   0.01%)']","[' 38123705 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 38123705 (Average', '  1.53 Max', ' 1972 Sum', ' 58389195)']","[' 38123291 (Average', '  1.53 Max', ' 1972 Sum', ' 58277853 Ratio', '  99.81%)']","[' 414      (Average', ' 268.94 Max', ' 360 Sum', ' 111342 Ratio', '   0.19%)']", ,[' 64877   '],[' 2654    '],[' 59619   '],[' 21407   '],"[' 56694    (Atom=Atom', ' 16285 Body=Body', ' 10212 Other', ' 30197)']",[' Yes'],"[' 3559     (Eliminated', '    0 Frozen', ' 3559)']","[' 312      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.310082'],[' 0'], ,[' 425.47'],[' 0'],[' 8.7359'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.5665e+08'],[' 6.80703e+07'],[' 0'],[' 2.55382e+10'],[' 0'],[' 0'],[' 751 '],[' 1251 '],[' 1742 '],[' 2175 '],[' 2513 '],[' 2972 '],[' 3633 '],[' 4 '],[' 3 ']
Solving...,TA52, , , , ,[' 1'],[' 695+'],[' 355'],"[' 859.525s (Solving', ' 857.93s 1st Model', ' 0.71s Unsat', ' 0.01s)']",[' 857.891s'], ,[' 73584257'],"[' 46881932 (Analyzed', ' 46867955)']","[' 84284    (Average', ' 556.07 Last', ' 162693)']",[' 1238.4  '],"[' 355      (Average Length', ' 248.70 Splits', ' 0)']","[' 46867955 (Deleted', ' 46347303)']","[' 2        (Ratio', '   0.00%)']","[' 3480     (Ratio', '   0.01%)']","[' 46867955 (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 46867955 (Average', '  1.54 Max', ' 1996 Sum', ' 71960748)']","[' 46867426 (Average', '  1.53 Max', ' 1817 Sum', ' 71803046 Ratio', '  99.78%)']","[' 529      (Average', ' 298.11 Max', ' 378 Sum', ' 157702 Ratio', '   0.22%)']", ,[' 64868   '],[' 2697    '],[' 59629   '],[' 21438   '],"[' 57250    (Atom=Atom', ' 16434 Body=Body', ' 10341 Other', ' 30475)']",[' Yes'],"[' 3577     (Eliminated', '    0 Frozen', ' 3577)']","[' 618      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.251367'],[' 0'], ,[' 530.255'],[' 0'],[' 11.7356'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.82523e+08'],[' 7.54236e+07'],[' 0'],[' 3.14054e+10'],[' 0'],[' 0'],[' 784 '],[' 1512 '],[' 1807 '],[' 2278 '],[' 2795 '],[' 3094 '],[' 3551 '],[' 6 '],[' 1 ']
Solving...,TA53, , , , ,[' 1'],[' 1121+'],[' 568'],"[' 463.500s (Solving', ' 461.22s 1st Model', ' 1.18s Unsat', ' 28.94s)']",[' 462.281s'], ,[' 26197056'],"[' 16350419 (Analyzed', ' 16316164)']","[' 31141    (Average', ' 523.94 Last', ' 35666)']",[' 1494.9  '],"[' 568      (Average Length', ' 343.34 Splits', ' 0)']","[' 16316164 (Deleted', ' 16104028)']","[' 16       (Ratio', '   0.00%)']","[' 1812     (Ratio', '   0.01%)']","[' 16316164 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16316164 (Average', '  1.55 Max', ' 2245 Sum', ' 25218370)']","[' 16315761 (Average', '  1.54 Max', ' 2002 Sum', ' 25058989 Ratio', '  99.37%)']","[' 403      (Average', ' 395.49 Max', ' 508 Sum', ' 159381 Ratio', '   0.63%)']", ,[' 64542   '],[' 2591    '],[' 59505   '],[' 21291   '],"[' 56277    (Atom=Atom', ' 16223 Body=Body', ' 10023 Other', ' 30031)']",[' Yes'],"[' 3670     (Eliminated', '    0 Frozen', ' 3670)']","[' 230      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.428467'],[' 0'], ,[' 331.744'],[' 0'],[' 8.52918'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.5536e+07'],[' 2.80798e+07'],[' 0'],[' 1.99309e+10'],[' 0'],[' 0'],[' 596 '],[' 1039 '],[' 1626 '],[' 1941 '],[' 2388 '],[' 2953 '],[' 3352 '],[' 3 '],[' 4 ']
Solving...,TA54, , , , ,[' 1'],[' 973+'],[' 494'],"[' 769.499s (Solving', ' 767.40s 1st Model', ' 0.96s Unsat', ' 52.38s)']",[' 767.203s'], ,[' 50615355'],"[' 32068941 (Analyzed', ' 32047688)']","[' 59721    (Average', ' 536.62 Last', ' 13274)']",[' 1412.2  '],"[' 494      (Average Length', ' 300.04 Splits', ' 0)']","[' 32047688 (Deleted', ' 31715071)']","[' 26       (Ratio', '   0.00%)']","[' 2648     (Ratio', '   0.01%)']","[' 32047688 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 32047688 (Average', '  1.54 Max', ' 2383 Sum', ' 49355779)']","[' 32047250 (Average', '  1.54 Max', ' 1994 Sum', ' 49206037 Ratio', '  99.70%)']","[' 438      (Average', ' 341.88 Max', ' 477 Sum', ' 149742 Ratio', '   0.30%)']", ,[' 64785   '],[' 2623    '],[' 59615   '],[' 21405   '],"[' 56625    (Atom=Atom', ' 16277 Body=Body', ' 10119 Other', ' 30229)']",[' Yes'],"[' 3634     (Eliminated', '    0 Frozen', ' 3634)']","[' 409      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.366345'],[' 0'], ,[' 511.199'],[' 0'],[' 12.1151'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.27286e+08'],[' 5.22322e+07'],[' 0'],[' 2.86067e+10'],[' 0'],[' 0'],[' 587 '],[' 1220 '],[' 1609 '],[' 2070 '],[' 2477 '],[' 3002 '],[' 3311 '],[' 5 '],[' 2 ']
Solving...,TA55, , , , ,[' 1'],[' 953+'],[' 484'],"[' 734.778s (Solving', ' 732.83s 1st Model', ' 0.96s Unsat', ' 16.84s)']",[' 734.375s'], ,[' 65465191'],"[' 43194740 (Analyzed', ' 43177658)']","[' 77766    (Average', ' 555.23 Last', ' 187683)']",[' 1427.7  '],"[' 484      (Average Length', ' 313.27 Splits', ' 0)']","[' 43177658 (Deleted', ' 42677712)']","[' 12       (Ratio', '   0.00%)']","[' 2668     (Ratio', '   0.01%)']","[' 43177658 (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 43177658 (Average', '  1.48 Max', ' 2200 Sum', ' 63994928)']","[' 43177137 (Average', '  1.48 Max', ' 1846 Sum', ' 63828639 Ratio', '  99.74%)']","[' 521      (Average', ' 319.17 Max', ' 452 Sum', ' 166289 Ratio', '   0.26%)']", ,[' 64907   '],[' 2671    '],[' 59831   '],[' 21457   '],"[' 57228    (Atom=Atom', ' 16459 Body=Body', ' 10263 Other', ' 30506)']",[' Yes'],"[' 3673     (Eliminated', '    0 Frozen', ' 3673)']","[' 505      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.361008'],[' 0'], ,[' 445.107'],[' 0'],[' 10.0997'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.67335e+08'],[' 6.94424e+07'],[' 0'],[' 2.84094e+10'],[' 0'],[' 0'],[' 646 '],[' 1207 '],[' 1760 '],[' 2163 '],[' 2545 '],[' 3086 '],[' 3493 '],[' 5 '],[' 2 ']
Solving...,TA56, , , , , ,[' 757'],[' 386'],"[' 652.011s (Solving', ' 650.46s 1st Model', ' 0.73s Unsat', ' 77.26s)']",[' 651.750s'], ,[' 50144141'],"[' 34458538 (Analyzed', ' 34443616)']","[' 65935    (Average', ' 522.39 Last', ' 120896)']",[' 1275.5  '],"[' 386      (Average Length', ' 253.09 Splits', ' 0)']","[' 34443616 (Deleted', ' 34009235)']","[' 43       (Ratio', '   0.00%)']","[' 2453     (Ratio', '   0.01%)']","[' 34443616 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 34443616 (Average', '  1.42 Max', ' 1796 Sum', ' 48968128)']","[' 34443040 (Average', '  1.42 Max', ' 1796 Sum', ' 48806266 Ratio', '  99.67%)']","[' 576      (Average', ' 281.01 Max', ' 371 Sum', ' 161862 Ratio', '   0.33%)']", ,[' 64132   '],[' 2605    '],[' 59050   '],[' 20970   '],"[' 55980    (Atom=Atom', ' 16097 Body=Body', ' 10065 Other', ' 29818)']",[' Yes'],"[' 3514     (Eliminated', '    0 Frozen', ' 3514)']","[' 343      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.259996'],[' 0'], ,[' 430.557'],[' 0'],[' 9.83269'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.29581e+08'],[' 4.9653e+07'],[' 0'],[' 2.85097e+10'],[' 0'],[' 0'],[' 695 '],[' 1433 '],[' 1806 '],[' 2348 '],[' 2918 '],[' 3098 '],[' 3348 '],[' 4 '],[' 3 ']
Solving...,TA57, , , , ,[' 1'],[' 825+'],[' 420'],"[' 861.150s (Solving', ' 859.56s 1st Model', ' 0.80s Unsat', ' 144.83s)']",[' 860.859s'], ,[' 62489188'],"[' 44692016 (Analyzed', ' 44673287)']","[' 85561    (Average', ' 522.12 Last', ' 497930)']",[' 1320.3  '],"[' 420      (Average Length', ' 273.76 Splits', ' 0)']","[' 44673287 (Deleted', ' 44129963)']","[' 14       (Ratio', '   0.00%)']","[' 2405     (Ratio', '   0.01%)']","[' 44673287 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 44673287 (Average', '  1.36 Max', ' 1951 Sum', ' 60970600)']","[' 44672843 (Average', '  1.36 Max', ' 1920 Sum', ' 60828334 Ratio', '  99.77%)']","[' 444      (Average', ' 320.42 Max', ' 439 Sum', ' 142266 Ratio', '   0.23%)']", ,[' 63699   '],[' 2578    '],[' 58796   '],[' 20697   '],"[' 55609    (Atom=Atom', ' 16018 Body=Body', ' 9982 Other', ' 29609)']",[' Yes'],"[' 3527     (Eliminated', '    0 Frozen', ' 3527)']","[' 392      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.271536'],[' 0'], ,[' 565.506'],[' 0'],[' 12.6749'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.60177e+08'],[' 6.00396e+07'],[' 0'],[' 3.79951e+10'],[' 0'],[' 0'],[' 685 '],[' 1220 '],[' 1794 '],[' 2360 '],[' 2935 '],[' 3173 '],[' 3515 '],[' 5 '],[' 2 ']
Solving...,TA58, , , , , ,[' 1079'],[' 547'],"[' 735.765s (Solving', ' 733.85s 1st Model', ' 1.01s Unsat', ' 302.40s)']",[' 735.516s'], ,[' 57818954'],"[' 41500845 (Analyzed', ' 41477634)']","[' 77686    (Average', ' 533.91 Last', ' 19002)']",[' 1466.2  '],"[' 547      (Average Length', ' 338.12 Splits', ' 0)']","[' 41477634 (Deleted', ' 40971276)']","[' 39       (Ratio', '   0.00%)']","[' 2305     (Ratio', '   0.01%)']","[' 41477634 (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 41477634 (Average', '  1.36 Max', ' 2155 Sum', ' 56364444)']","[' 41477179 (Average', '  1.36 Max', ' 1974 Sum', ' 56204844 Ratio', '  99.72%)']","[' 455      (Average', ' 350.77 Max', ' 486 Sum', ' 159600 Ratio', '   0.28%)']", ,[' 64934   '],[' 2658    '],[' 59906   '],[' 21511   '],"[' 57245    (Atom=Atom', ' 16470 Body=Body', ' 10224 Other', ' 30551)']",[' Yes'],"[' 3722     (Eliminated', '    0 Frozen', ' 3722)']","[' 356      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.35386'],[' 0'], ,[' 452.66'],[' 0'],[' 9.65137'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.56377e+08'],[' 6.05055e+07'],[' 0'],[' 2.9068e+10'],[' 0'],[' 0'],[' 636 '],[' 1226 '],[' 1658 '],[' 2302 '],[' 2695 '],[' 3179 '],[' 3606 '],[' 3 '],[' 4 ']
Solving...,TA59, , , , ,[' 1'],[' 697+'],[' 356'],"[' 717.471s (Solving', ' 715.97s 1st Model', ' 0.66s Unsat', ' 0.22s)']",[' 717.250s'], ,[' 60930528'],"[' 40993495 (Analyzed', ' 40981483)']","[' 71141    (Average', ' 576.06 Last', ' 63100)']",[' 1427.2  '],"[' 356      (Average Length', ' 253.12 Splits', ' 0)']","[' 40981483 (Deleted', ' 40556899)']","[' 9        (Ratio', '   0.00%)']","[' 2623     (Ratio', '   0.01%)']","[' 40981483 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 40981483 (Average', '  1.45 Max', ' 2254 Sum', ' 59506940)']","[' 40981066 (Average', '  1.45 Max', ' 1970 Sum', ' 59403443 Ratio', '  99.83%)']","[' 417      (Average', ' 248.19 Max', ' 358 Sum', ' 103497 Ratio', '   0.17%)']", ,[' 64133   '],[' 2601    '],[' 59049   '],[' 20929   '],"[' 55821    (Atom=Atom', ' 16051 Body=Body', ' 10053 Other', ' 29717)']",[' Yes'],"[' 3482     (Eliminated', '    0 Frozen', ' 3482)']","[' 421      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.254052'],[' 0'], ,[' 465.094'],[' 0'],[' 13.9004'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.57032e+08'],[' 6.40864e+07'],[' 0'],[' 3.14556e+10'],[' 0'],[' 0'],[' 675 '],[' 1348 '],[' 1659 '],[' 1891 '],[' 2353 '],[' 2679 '],[' 3367 '],[' 5 '],[' 2 ']
Solving...,TA60, , , , , ,[' 961'],[' 488'],"[' 577.498s (Solving', ' 575.45s 1st Model', ' 1.15s Unsat', ' 1.18s)']",[' 576.969s'], ,[' 55044429'],"[' 31414052 (Analyzed', ' 31397520)']","[' 55501    (Average', ' 565.71 Last', ' 526474)']",[' 1453.7  '],"[' 488      (Average Length', ' 303.73 Splits', ' 0)']","[' 31397520 (Deleted', ' 31051861)']","[' 15       (Ratio', '   0.00%)']","[' 2638     (Ratio', '   0.01%)']","[' 31397520 (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 31397520 (Average', '  1.71 Max', ' 2013 Sum', ' 53824221)']","[' 31397046 (Average', '  1.71 Max', ' 1948 Sum', ' 53673173 Ratio', '  99.72%)']","[' 474      (Average', ' 318.67 Max', ' 461 Sum', ' 151048 Ratio', '   0.28%)']", ,[' 65045   '],[' 2712    '],[' 59947   '],[' 21615   '],"[' 57934    (Atom=Atom', ' 16627 Body=Body', ' 10386 Other', ' 30921)']",[' Yes'],"[' 3718     (Eliminated', '    0 Frozen', ' 3718)']","[' 490      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.375314'],[' 0'], ,[' 366.756'],[' 0'],[' 8.47432'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.42181e+08'],[' 6.92856e+07'],[' 0'],[' 2.35651e+10'],[' 0'],[' 0'],[' 676 '],[' 1208 '],[' 1666 '],[' 2125 '],[' 2475 '],[' 3007 '],[' 3247 '],[' 4 '],[' 3 ']
