Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , , ,[' 1639'],[' 827'],"[' 692.674s (Solving', ' 688.96s 1st Model', ' 1.97s Unsat', ' 252.54s)']",[' 692.375s'], ,[' 55425523'],"[' 37877567 (Analyzed', ' 37841088)']","[' 70331    (Average', ' 538.04 Last', ' 142584)']",[' 2072.0  '],"[' 827      (Average Length', ' 490.90 Splits', ' 0)']","[' 37841088 (Deleted', ' 37341132)']","[' 15       (Ratio', '   0.00%)']","[' 1902     (Ratio', '   0.01%)']","[' 37841088 (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 37841088 (Average', '  1.41 Max', ' 2827 Sum', ' 53468719)']","[' 37840512 (Average', '  1.41 Max', ' 2618 Sum', ' 53197193 Ratio', '  99.49%)']","[' 576      (Average', ' 471.40 Max', ' 705 Sum', ' 271526 Ratio', '   0.51%)']", ,[' 85788   '],[' 3425    '],[' 79226   '],[' 28223   '],"[' 74685    (Atom=Atom', ' 21543 Body=Body', ' 13255 Other', ' 39887)']",[' Yes'],"[' 4916     (Eliminated', '    0 Frozen', ' 4916)']","[' 311      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.748885'],[' 0'], ,[' 429.89'],[' 0'],[' 8.44833'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.5241e+08'],[' 6.19285e+07'],[' 0'],[' 2.80423e+10'],[' 0'],[' 0'],[' 699 '],[' 1264 '],[' 1837 '],[' 2201 '],[' 2597 '],[' 3064 '],[' 3598 '],[' 3 '],[' 4 ']
Solving...,TA62, , , , ,[' 1'],[' 1731+'],[' 873'],"[' 444.538s (Solving', ' 440.78s 1st Model', ' 2.25s Unsat', ' 144.94s)']",[' 443.891s'], ,[' 27322618'],"[' 15591781 (Analyzed', ' 15538792)']","[' 30546    (Average', ' 508.70 Last', ' 219252)']",[' 2074.2  '],"[' 873      (Average Length', ' 513.59 Splits', ' 0)']","[' 15538792 (Deleted', ' 15316819)']","[' 17       (Ratio', '   0.00%)']","[' 2183     (Ratio', '   0.01%)']","[' 15538792 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15538792 (Average', '  1.66 Max', ' 3055 Sum', ' 25771897)']","[' 15538256 (Average', '  1.64 Max', ' 2659 Sum', ' 25497901 Ratio', '  98.94%)']","[' 536      (Average', ' 511.19 Max', ' 738 Sum', ' 273996 Ratio', '   1.06%)']", ,[' 86445   '],[' 3472    '],[' 79834   '],[' 28610   '],"[' 75501    (Atom=Atom', ' 21777 Body=Body', ' 13396 Other', ' 40328)']",[' Yes'],"[' 4994     (Eliminated', '    0 Frozen', ' 4994)']","[' 285      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.745087'],[' 0'], ,[' 320.687'],[' 0'],[' 8.12361'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.88107e+07'],[' 3.29022e+07'],[' 0'],[' 2.18265e+10'],[' 0'],[' 0'],[' 732 '],[' 1285 '],[' 1823 '],[' 2324 '],[' 2690 '],[' 3183 '],[' 3695 '],[' 2 '],[' 5 ']
Solving...,TA63, , , , , ,[' 1587'],[' 801'],"[' 466.272s (Solving', ' 462.82s 1st Model', ' 1.93s Unsat', ' 25.72s)']",[' 465.984s'], ,[' 37400106'],"[' 21007514 (Analyzed', ' 20957084)']","[' 39853    (Average', ' 525.86 Last', ' 214412)']",[' 1953.1  '],"[' 801      (Average Length', ' 459.26 Splits', ' 0)']","[' 20957084 (Deleted', ' 20745688)']","[' 17       (Ratio', '   0.00%)']","[' 2673     (Ratio', '   0.01%)']","[' 20957084 (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20957084 (Average', '  1.71 Max', ' 3168 Sum', ' 35797903)']","[' 20956512 (Average', '  1.69 Max', ' 2680 Sum', ' 35508316 Ratio', '  99.19%)']","[' 572      (Average', ' 506.27 Max', ' 683 Sum', ' 289587 Ratio', '   0.81%)']", ,[' 85662   '],[' 3476    '],[' 79233   '],[' 28215   '],"[' 75353    (Atom=Atom', ' 21721 Body=Body', ' 13408 Other', ' 40224)']",[' Yes'],"[' 4924     (Eliminated', '    0 Frozen', ' 4924)']","[' 464      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.68643'],[' 0'], ,[' 323.758'],[' 0'],[' 7.73586'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.33173e+07'],[' 4.29306e+07'],[' 0'],[' 2.20281e+10'],[' 0'],[' 0'],[' 811 '],[' 1284 '],[' 1618 '],[' 2307 '],[' 2723 '],[' 3149 '],[' 3378 '],[' 3 '],[' 4 ']
Solving...,TA64, , , , ,[' 1'],[' 1445+'],[' 730'],"[' 746.889s (Solving', ' 743.58s 1st Model', ' 1.85s Unsat', ' 26.67s)']",[' 746.453s'], ,[' 53108916'],"[' 31408207 (Analyzed', ' 31361835)']","[' 58306    (Average', ' 537.88 Last', ' 213163)']",[' 2004.0  '],"[' 730      (Average Length', ' 441.45 Splits', ' 0)']","[' 31361835 (Deleted', ' 30958860)']","[' 12       (Ratio', '   0.00%)']","[' 2844     (Ratio', '   0.01%)']","[' 31361835 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 31361835 (Average', '  1.64 Max', ' 2591 Sum', ' 51391836)']","[' 31361193 (Average', '  1.63 Max', ' 2502 Sum', ' 51104388 Ratio', '  99.44%)']","[' 642      (Average', ' 447.74 Max', ' 593 Sum', ' 287448 Ratio', '   0.56%)']", ,[' 84974   '],[' 3411    '],[' 78544   '],[' 27766   '],"[' 74135    (Atom=Atom', ' 21390 Body=Body', ' 13213 Other', ' 39532)']",[' Yes'],"[' 4796     (Eliminated', '    0 Frozen', ' 4796)']","[' 457      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.671832'],[' 0'], ,[' 522.405'],[' 0'],[' 12.8013'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.43687e+08'],[' 6.78996e+07'],[' 0'],[' 3.49696e+10'],[' 0'],[' 0'],[' 890 '],[' 1324 '],[' 1852 '],[' 2278 '],[' 2680 '],[' 3072 '],[' 3354 '],[' 5 '],[' 2 ']
Solving...,TA65, , , , ,[' 1'],[' 1685+'],[' 850'],"[' 638.155s (Solving', ' 634.67s 1st Model', ' 2.11s Unsat', ' 58.52s)']",[' 635.609s'], ,[' 40604318'],"[' 23620538 (Analyzed', ' 23559050)']","[' 46394    (Average', ' 507.80 Last', ' 63559)']",[' 1953.9  '],"[' 850      (Average Length', ' 508.92 Splits', ' 0)']","[' 23559050 (Deleted', ' 23253523)']","[' 24       (Ratio', '   0.00%)']","[' 2774     (Ratio', '   0.01%)']","[' 23559050 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23559050 (Average', '  1.65 Max', ' 3090 Sum', ' 38928634)']","[' 23558529 (Average', '  1.64 Max', ' 2687 Sum', ' 38650980 Ratio', '  99.29%)']","[' 521      (Average', ' 532.93 Max', ' 774 Sum', ' 277654 Ratio', '   0.71%)']", ,[' 86783   '],[' 3500    '],[' 80058   '],[' 28797   '],"[' 75898    (Atom=Atom', ' 21866 Body=Body', ' 13480 Other', ' 40552)']",[' Yes'],"[' 5001     (Eliminated', '    0 Frozen', ' 5001)']","[' 355      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.703805'],[' 0'], ,[' 460.744'],[' 0'],[' 12.1592'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.04805e+08'],[' 4.89937e+07'],[' 0'],[' 2.92977e+10'],[' 0'],[' 0'],[' 657 '],[' 1153 '],[' 1602 '],[' 2147 '],[' 2652 '],[' 3036 '],[' 3602 '],[' 4 '],[' 3 ']
Solving...,TA66, , , , , ,[' 1697'],[' 856'],"[' 753.052s (Solving', ' 748.93s 1st Model', ' 2.42s Unsat', ' 31.26s)']",[' 751.281s'], ,[' 47298905'],"[' 29157904 (Analyzed', ' 29115181)']","[' 55731    (Average', ' 522.42 Last', ' 119041)']",[' 2011.9  '],"[' 856      (Average Length', ' 510.47 Splits', ' 0)']","[' 29115181 (Deleted', ' 28788416)']","[' 33       (Ratio', '   0.00%)']","[' 2788     (Ratio', '   0.01%)']","[' 29115181 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 29115181 (Average', '  1.56 Max', ' 3300 Sum', ' 45561701)']","[' 29114636 (Average', '  1.56 Max', ' 2632 Sum', ' 45284572 Ratio', '  99.39%)']","[' 545      (Average', ' 508.49 Max', ' 754 Sum', ' 277129 Ratio', '   0.61%)']", ,[' 86147   '],[' 3453    '],[' 79576   '],[' 28453   '],"[' 75159    (Atom=Atom', ' 21684 Body=Body', ' 13339 Other', ' 40136)']",[' Yes'],"[' 4976     (Eliminated', '    0 Frozen', ' 4976)']","[' 481      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.834486'],[' 0'], ,[' 520.249'],[' 0'],[' 12.5437'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.26537e+08'],[' 6.01729e+07'],[' 0'],[' 3.13886e+10'],[' 0'],[' 0'],[' 662 '],[' 1187 '],[' 1564 '],[' 2100 '],[' 2582 '],[' 3070 '],[' 3514 '],[' 5 '],[' 2 ']
Solving...,TA67, , , , ,[' 1'],[' 1403+'],[' 709'],"[' 583.904s (Solving', ' 579.61s 1st Model', ' 2.34s Unsat', ' 2.19s)']",[' 574.797s'], ,[' 38645307'],"[' 21094057 (Analyzed', ' 21047275)']","[' 40617    (Average', ' 518.19 Last', ' 34367)']",[' 1773.4  '],"[' 708      (Average Length', ' 443.68 Splits', ' 0)']","[' 21047275 (Deleted', ' 20758107)']","[' 3        (Ratio', '   0.00%)']","[' 2170     (Ratio', '   0.01%)']","[' 21047275 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21047275 (Average', '  1.78 Max', ' 2861 Sum', ' 37437801)']","[' 21046613 (Average', '  1.76 Max', ' 2515 Sum', ' 37105793 Ratio', '  99.11%)']","[' 662      (Average', ' 501.52 Max', ' 709 Sum', ' 332008 Ratio', '   0.89%)']", ,[' 85445   '],[' 3433    '],[' 78891   '],[' 28019   '],"[' 74410    (Atom=Atom', ' 21457 Body=Body', ' 13279 Other', ' 39674)']",[' Yes'],"[' 4816     (Eliminated', '    0 Frozen', ' 4816)']","[' 423      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.835159'],[' 0'], ,[' 381.202'],[' 0'],[' 7.82419'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.05908e+08'],[' 5.1639e+07'],[' 0'],[' 1.91685e+10'],[' 0'],[' 0'],[' 885 '],[' 1403 '],[' 1711 '],[' 2388 '],[' 2747 '],[' 3404 '],[' 3884 '],[' 5 '],[' 2 ']
Solving...,TA68, , , , , ,[' 1801'],[' 908'],"[' 560.587s (Solving', ' 556.43s 1st Model', ' 2.57s Unsat', ' 118.18s)']",[' 558.828s'], ,[' 40826022'],"[' 24063623 (Analyzed', ' 24007623)']","[' 46915    (Average', ' 511.73 Last', ' 7649)']",[' 2085.8  '],"[' 908      (Average Length', ' 521.29 Splits', ' 0)']","[' 24007623 (Deleted', ' 23711162)']","[' 34       (Ratio', '   0.00%)']","[' 2561     (Ratio', '   0.01%)']","[' 24007623 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24007623 (Average', '  1.62 Max', ' 3169 Sum', ' 38957288)']","[' 24007102 (Average', '  1.61 Max', ' 2679 Sum', ' 38712006 Ratio', '  99.37%)']","[' 521      (Average', ' 470.79 Max', ' 749 Sum', ' 245282 Ratio', '   0.63%)']", ,[' 85704   '],[' 3419    '],[' 79351   '],[' 28178   '],"[' 74825    (Atom=Atom', ' 21600 Body=Body', ' 13237 Other', ' 39988)']",[' Yes'],"[' 4973     (Eliminated', '    0 Frozen', ' 4973)']","[' 416      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.857027'],[' 0'], ,[' 367.234'],[' 0'],[' 9.07864'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.03559e+08'],[' 4.8409e+07'],[' 0'],[' 2.1522e+10'],[' 0'],[' 0'],[' 714 '],[' 1303 '],[' 1598 '],[' 2118 '],[' 2487 '],[' 3030 '],[' 3378 '],[' 3 '],[' 4 ']
Solving...,TA69, , , , , ,[' 1629'],[' 822'],"[' 552.529s (Solving', ' 548.45s 1st Model', ' 2.77s Unsat', ' 110.45s)']",[' 551.578s'], ,[' 38298975'],"[' 21254597 (Analyzed', ' 21208332)']","[' 40297    (Average', ' 526.30 Last', ' 122479)']",[' 2067.4  '],"[' 822      (Average Length', ' 483.60 Splits', ' 0)']","[' 21208332 (Deleted', ' 20972456)']","[' 35       (Ratio', '   0.00%)']","[' 2617     (Ratio', '   0.01%)']","[' 21208332 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21208332 (Average', '  1.73 Max', ' 2824 Sum', ' 36705051)']","[' 21207698 (Average', '  1.72 Max', ' 2671 Sum', ' 36399194 Ratio', '  99.17%)']","[' 634      (Average', ' 482.42 Max', ' 677 Sum', ' 305857 Ratio', '   0.83%)']", ,[' 86433   '],[' 3538    '],[' 79940   '],[' 28624   '],"[' 76439    (Atom=Atom', ' 21990 Body=Body', ' 13594 Other', ' 40855)']",[' Yes'],"[' 5033     (Eliminated', '    0 Frozen', ' 5033)']","[' 385      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.821818'],[' 0'], ,[' 374.295'],[' 0'],[' 8.9992'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.75099e+07'],[' 4.60308e+07'],[' 0'],[' 2.25067e+10'],[' 0'],[' 0'],[' 781 '],[' 1388 '],[' 1847 '],[' 2298 '],[' 2943 '],[' 3247 '],[' 3706 '],[' 3 '],[' 4 ']
Solving...,TA70, , , , ,[' 1'],[' 1429+'],[' 722'],"[' 723.902s (Solving', ' 720.48s 1st Model', ' 1.99s Unsat', ' 3.81s)']",[' 720.000s'], ,[' 51994034'],"[' 24453941 (Analyzed', ' 24401035)']","[' 46436    (Average', ' 525.48 Last', ' 11377)']",[' 1958.9  '],"[' 722      (Average Length', ' 445.78 Splits', ' 0)']","[' 24401035 (Deleted', ' 24137484)']","[' 17       (Ratio', '   0.00%)']","[' 4265     (Ratio', '   0.02%)']","[' 24401035 (Average Length', '   14.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24401035 (Average', '  2.06 Max', ' 2931 Sum', ' 50385984)']","[' 24400420 (Average', '  2.05 Max', ' 2650 Sum', ' 50055037 Ratio', '  99.34%)']","[' 615      (Average', ' 538.13 Max', ' 658 Sum', ' 330947 Ratio', '   0.66%)']", ,[' 87134   '],[' 3651    '],[' 80343   '],[' 29164   '],"[' 77778    (Atom=Atom', ' 22342 Body=Body', ' 13933 Other', ' 41503)']",[' Yes'],"[' 5058     (Eliminated', '    0 Frozen', ' 5058)']","[' 642      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.680126'],[' 0'], ,[' 525.183'],[' 0'],[' 13.7118'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.21064e+08'],[' 6.5131e+07'],[' 0'],[' 3.17328e+10'],[' 0'],[' 0'],[' 581 '],[' 1160 '],[' 1842 '],[' 2529 '],[' 2961 '],[' 3562 '],[' 3884 '],[' 5 '],[' 2 ']
