Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , , ,[' 1'],[' 651+'],[' 334'],"[' 731.854s (Solving', ' 730.30s 1st Model', ' 0.67s Unsat', ' 106.69s)']",[' 728.484s'], ,[' 46370066'],"[' 31299279 (Analyzed', ' 31283091)']","[' 60818    (Average', ' 514.37 Last', ' 46554)']",[' 1130.8  '],"[' 334      (Average Length', ' 231.44 Splits', ' 0)']","[' 31283091 (Deleted', ' 30863906)']","[' 3        (Ratio', '   0.00%)']","[' 2643     (Ratio', '   0.01%)']","[' 31283091 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 31283091 (Average', '  1.45 Max', ' 1748 Sum', ' 45319044)']","[' 31282734 (Average', '  1.45 Max', ' 1746 Sum', ' 45224304 Ratio', '  99.79%)']","[' 357      (Average', ' 265.38 Max', ' 348 Sum', '  94740 Ratio', '   0.21%)']", ,[' 62296   '],[' 2333    '],[' 57432   '],[' 19689   '],"[' 51555    (Atom=Atom', ' 15026 Body=Body', ' 9266 Other', ' 27263)']",[' Yes'],"[' 3215     (Eliminated', '    0 Frozen', ' 3215)']","[' 331      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.271768'],[' 0'], ,[' 466.781'],[' 0'],[' 11.1284'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.20949e+08'],[' 5.02977e+07'],[' 0'],[' 2.49281e+10'],[' 0'],[' 0'],[' 693 '],[' 1042 '],[' 1576 '],[' 1881 '],[' 2388 '],[' 2669 '],[' 3078 '],[' 3602 '],[' 5 '],[' 3 ']
Solving...,TA52, , , , ,[' 1'],[' 597+'],[' 307'],"[' 522.610s (Solving', ' 521.43s 1st Model', ' 0.47s Unsat', ' 19.43s)']",[' 521.438s'], ,[' 39688049'],"[' 27288353 (Analyzed', ' 27277459)']","[' 51208    (Average', ' 532.68 Last', ' 14077)']",[' 1081.0  '],"[' 307      (Average Length', ' 213.27 Splits', ' 0)']","[' 27277459 (Deleted', ' 26966001)']","[' 27       (Ratio', '   0.00%)']","[' 2424     (Ratio', '   0.01%)']","[' 27277459 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27277459 (Average', '  1.42 Max', ' 2006 Sum', ' 38777738)']","[' 27277085 (Average', '  1.42 Max', ' 1716 Sum', ' 38685867 Ratio', '  99.76%)']","[' 374      (Average', ' 245.64 Max', ' 336 Sum', '  91871 Ratio', '   0.24%)']", ,[' 61896   '],[' 2296    '],[' 57068   '],[' 19382   '],"[' 50874    (Atom=Atom', ' 14845 Body=Body', ' 9153 Other', ' 26876)']",[' Yes'],"[' 3152     (Eliminated', '    0 Frozen', ' 3152)']","[' 292      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.184416'],[' 0'], ,[' 340.231'],[' 0'],[' 7.98278'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.01977e+08'],[' 3.86234e+07'],[' 0'],[' 2.18346e+10'],[' 0'],[' 0'],[' 543 '],[' 1229 '],[' 1596 '],[' 2129 '],[' 2271 '],[' 2741 '],[' 3086 '],[' 3517 '],[' 4 '],[' 4 ']
Solving...,TA53, , , , , ,[' 713'],[' 365'],"[' 256.113s (Solving', ' 254.83s 1st Model', ' 0.49s Unsat', ' 1.92s)']",[' 255.703s'], ,[' 16496449'],"[' 12084259 (Analyzed', ' 12047403)']","[' 23107    (Average', ' 521.37 Last', ' 15513)']",[' 1140.7  '],"[' 365      (Average Length', ' 240.49 Splits', ' 0)']","[' 12047403 (Deleted', ' 11888518)']","[' 25       (Ratio', '   0.00%)']","[' 1116     (Ratio', '   0.01%)']","[' 12047403 (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12047403 (Average', '  1.33 Max', ' 1997 Sum', ' 15963254)']","[' 12047086 (Average', '  1.32 Max', ' 1789 Sum', ' 15882817 Ratio', '  99.50%)']","[' 317      (Average', ' 253.74 Max', ' 379 Sum', '  80437 Ratio', '   0.50%)']", ,[' 61242   '],[' 2212    '],[' 56624   '],[' 18998   '],"[' 49758    (Atom=Atom', ' 14573 Body=Body', ' 8903 Other', ' 26282)']",[' Yes'],"[' 3126     (Eliminated', '    0 Frozen', ' 3126)']","[' 130      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.217492'],[' 0'], ,[' 161.648'],[' 0'],[' 3.33732'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.43137e+07'],[' 1.64725e+07'],[' 0'],[' 9.99361e+09'],[' 0'],[' 0'],[' 596 '],[' 999 '],[' 1359 '],[' 1739 '],[' 2094 '],[' 2613 '],[' 2949 '],[' 3325 '],[' 2 '],[' 6 ']
Solving...,TA54, , , , , ,[' 689'],[' 353'],"[' 201.728s (Solving', ' 200.40s 1st Model', ' 0.55s Unsat', ' 71.45s)']",[' 201.500s'], ,[' 20268912'],"[' 13807795 (Analyzed', ' 13802820)']","[' 25405    (Average', ' 543.31 Last', ' 13247)']",[' 1166.2  '],"[' 353      (Average Length', ' 225.22 Splits', ' 0)']","[' 13802820 (Deleted', ' 13643909)']","[' 24       (Ratio', '   0.00%)']","[' 1551     (Ratio', '   0.01%)']","[' 13802820 (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13802820 (Average', '  1.42 Max', ' 1826 Sum', ' 19662333)']","[' 13802424 (Average', '  1.42 Max', ' 1684 Sum', ' 19569641 Ratio', '  99.53%)']","[' 396      (Average', ' 234.07 Max', ' 368 Sum', '  92692 Ratio', '   0.47%)']", ,[' 61540   '],[' 2269    '],[' 56871   '],[' 19201   '],"[' 50683    (Atom=Atom', ' 14789 Body=Body', ' 9074 Other', ' 26820)']",[' Yes'],"[' 3172     (Eliminated', '    0 Frozen', ' 3172)']","[' 145      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.221589'],[' 0'], ,[' 116.4'],[' 0'],[' 2.95801'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.07042e+07'],[' 1.84643e+07'],[' 0'],[' 7.73524e+09'],[' 0'],[' 0'],[' 566 '],[' 1166 '],[' 1455 '],[' 1836 '],[' 2303 '],[' 2595 '],[' 3001 '],[' 3349 '],[' 1 '],[' 7 ']
Solving...,TA55, , , , , ,[' 621'],[' 319'],"[' 331.908s (Solving', ' 330.29s 1st Model', ' 0.71s Unsat', ' 76.23s)']",[' 331.000s'], ,[' 23161274'],"[' 15376018 (Analyzed', ' 15348335)']","[' 29330    (Average', ' 523.30 Last', ' 51348)']",[' 1124.5  '],"[' 319      (Average Length', ' 218.64 Splits', ' 0)']","[' 15348335 (Deleted', ' 15173422)']","[' 38       (Ratio', '   0.00%)']","[' 2101     (Ratio', '   0.01%)']","[' 15348335 (Average Length', '   13.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15348335 (Average', '  1.47 Max', ' 1829 Sum', ' 22520587)']","[' 15347931 (Average', '  1.46 Max', ' 1721 Sum', ' 22419177 Ratio', '  99.55%)']","[' 404      (Average', ' 251.01 Max', ' 355 Sum', ' 101410 Ratio', '   0.45%)']", ,[' 61707   '],[' 2287    '],[' 56962   '],[' 19286   '],"[' 50744    (Atom=Atom', ' 14827 Body=Body', ' 9128 Other', ' 26789)']",[' Yes'],"[' 3154     (Eliminated', '    0 Frozen', ' 3154)']","[' 244      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.261207'],[' 0'], ,[' 224.165'],[' 0'],[' 3.70814'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.70053e+07'],[' 2.18698e+07'],[' 0'],[' 1.27572e+10'],[' 0'],[' 0'],[' 583 '],[' 948 '],[' 1537 '],[' 2020 '],[' 2229 '],[' 2833 '],[' 3230 '],[' 3415 '],[' 2 '],[' 6 ']
Solving...,TA56, , , , ,[' 1'],[' 537+'],[' 277'],"[' 540.481s (Solving', ' 539.19s 1st Model', ' 0.64s Unsat', ' 37.41s)']",[' 538.172s'], ,[' 37348995'],"[' 24860133 (Analyzed', ' 24853227)']","[' 50273    (Average', ' 494.37 Last', ' 21892)']",[' 1115.4  '],"[' 277      (Average Length', ' 192.18 Splits', ' 0)']","[' 24853227 (Deleted', ' 24552295)']","[' 16       (Ratio', '   0.00%)']","[' 2558     (Ratio', '   0.01%)']","[' 24853227 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24853227 (Average', '  1.47 Max', ' 1594 Sum', ' 36461720)']","[' 24852787 (Average', '  1.46 Max', ' 1594 Sum', ' 36365733 Ratio', '  99.74%)']","[' 440      (Average', ' 218.15 Max', ' 305 Sum', '  95987 Ratio', '   0.26%)']", ,[' 61189   '],[' 2304    '],[' 56608   '],[' 19022   '],"[' 50897    (Atom=Atom', ' 14853 Body=Body', ' 9179 Other', ' 26865)']",[' Yes'],"[' 3136     (Eliminated', '    0 Frozen', ' 3136)']","[' 280      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.204063'],[' 0'], ,[' 367.421'],[' 0'],[' 9.65849'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.52419e+07'],[' 3.89665e+07'],[' 0'],[' 2.23897e+10'],[' 0'],[' 0'],[' 693 '],[' 1383 '],[' 1727 '],[' 2140 '],[' 2373 '],[' 2789 '],[' 3224 '],[' 3381 '],[' 4 '],[' 4 ']
Solving...,TA57, , , , ,[' 1'],[' 667+'],[' 342'],"[' 441.301s (Solving', ' 439.85s 1st Model', ' 0.56s Unsat', ' 61.85s)']",[' 438.906s'], ,[' 28136565'],"[' 19694950 (Analyzed', ' 19669458)']","[' 39105    (Average', ' 502.99 Last', ' 4561)']",[' 1117.8  '],"[' 342      (Average Length', ' 233.28 Splits', ' 0)']","[' 19669458 (Deleted', ' 19424136)']","[' 17       (Ratio', '   0.00%)']","[' 1742     (Ratio', '   0.01%)']","[' 19669458 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19669458 (Average', '  1.39 Max', ' 1727 Sum', ' 27423235)']","[' 19669065 (Average', '  1.39 Max', ' 1655 Sum', ' 27318349 Ratio', '  99.62%)']","[' 393      (Average', ' 266.89 Max', ' 368 Sum', ' 104886 Ratio', '   0.38%)']", ,[' 61189   '],[' 2245    '],[' 56632   '],[' 18939   '],"[' 50196    (Atom=Atom', ' 14682 Body=Body', ' 9002 Other', ' 26512)']",[' Yes'],"[' 3140     (Eliminated', '    0 Frozen', ' 3140)']","[' 181      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.243665'],[' 0'], ,[' 283.901'],[' 0'],[' 7.76102'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.34364e+07'],[' 2.85831e+07'],[' 0'],[' 1.65796e+10'],[' 0'],[' 0'],[' 603 '],[' 1119 '],[' 1701 '],[' 2035 '],[' 2458 '],[' 2886 '],[' 3206 '],[' 3503 '],[' 3 '],[' 5 ']
Solving...,TA58, , , , ,[' 1'],[' 575+'],[' 296'],"[' 627.462s (Solving', ' 626.01s 1st Model', ' 0.60s Unsat', ' 0.06s)']",[' 623.375s'], ,[' 39758011'],"[' 26883891 (Analyzed', ' 26866894)']","[' 52852    (Average', ' 508.34 Last', ' 162016)']",[' 1294.0  '],"[' 295      (Average Length', ' 219.60 Splits', ' 0)']","[' 26866894 (Deleted', ' 26547854)']","[' 2        (Ratio', '   0.00%)']","[' 1932     (Ratio', '   0.01%)']","[' 26866894 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26866894 (Average', '  1.44 Max', ' 1780 Sum', ' 38728189)']","[' 26866482 (Average', '  1.44 Max', ' 1686 Sum', ' 38646297 Ratio', '  99.79%)']","[' 412      (Average', ' 198.77 Max', ' 298 Sum', '  81892 Ratio', '   0.21%)']", ,[' 61651   '],[' 2309    '],[' 56959   '],[' 19270   '],"[' 51029    (Atom=Atom', ' 14892 Body=Body', ' 9194 Other', ' 26943)']",[' Yes'],"[' 3156     (Eliminated', '    0 Frozen', ' 3156)']","[' 382      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.249707'],[' 0'], ,[' 414.417'],[' 0'],[' 9.84388'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.89073e+07'],[' 3.8455e+07'],[' 0'],[' 2.33424e+10'],[' 0'],[' 0'],[' 1343 '],[' 1246 '],[' 1571 '],[' 1834 '],[' 2258 '],[' 2882 '],[' 3215 '],[' 3650 '],[' 6 '],[' 2 ']
Solving...,TA59, , , , ,[' 1'],[' 561+'],[' 289'],"[' 547.961s (Solving', ' 546.53s 1st Model', ' 0.52s Unsat', ' 44.91s)']",[' 544.563s'], ,[' 36766740'],"[' 25684051 (Analyzed', ' 25673839)']","[' 49883    (Average', ' 514.68 Last', ' 2407)']",[' 1150.9  '],"[' 289      (Average Length', ' 207.28 Splits', ' 0)']","[' 25673839 (Deleted', ' 25317549)']","[' 1        (Ratio', '   0.00%)']","[' 2089     (Ratio', '   0.01%)']","[' 25673839 (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25673839 (Average', '  1.40 Max', ' 1914 Sum', ' 35883939)']","[' 25673493 (Average', '  1.39 Max', ' 1719 Sum', ' 35810774 Ratio', '  99.80%)']","[' 346      (Average', ' 211.46 Max', ' 322 Sum', '  73165 Ratio', '   0.20%)']", ,[' 61096   '],[' 2238    '],[' 56477   '],[' 18918   '],"[' 49944    (Atom=Atom', ' 14601 Body=Body', ' 8981 Other', ' 26362)']",[' Yes'],"[' 3079     (Eliminated', '    0 Frozen', ' 3079)']","[' 247      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.227644'],[' 0'], ,[' 333.682'],[' 0'],[' 9.26501'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.00026e+08'],[' 4.1383e+07'],[' 0'],[' 1.77631e+10'],[' 0'],[' 0'],[' 617 '],[' 1149 '],[' 1542 '],[' 1645 '],[' 2090 '],[' 2519 '],[' 2890 '],[' 3386 '],[' 4 '],[' 4 ']
Solving...,TA60, , , , , ,[' 827'],[' 422'],"[' 758.957s (Solving', ' 757.15s 1st Model', ' 0.78s Unsat', ' 5.32s)']",[' 754.938s'], ,[' 54964392'],"[' 39028725 (Analyzed', ' 39013670)']","[' 75250    (Average', ' 518.45 Last', ' 18546)']",[' 1160.1  '],"[' 422      (Average Length', ' 260.69 Splits', ' 0)']","[' 39013670 (Deleted', ' 38561086)']","[' 20       (Ratio', '   0.00%)']","[' 2823     (Ratio', '   0.01%)']","[' 39013670 (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 39013670 (Average', '  1.37 Max', ' 1759 Sum', ' 53641159)']","[' 39013227 (Average', '  1.37 Max', ' 1602 Sum', ' 53513034 Ratio', '  99.76%)']","[' 443      (Average', ' 289.22 Max', ' 397 Sum', ' 128125 Ratio', '   0.24%)']", ,[' 62084   '],[' 2316    '],[' 57354   '],[' 19582   '],"[' 51537    (Atom=Atom', ' 15046 Body=Body', ' 9215 Other', ' 27276)']",[' Yes'],"[' 3286     (Eliminated', '    0 Frozen', ' 3286)']","[' 535      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.320931'],[' 0'], ,[' 453.474'],[' 0'],[' 10.4444'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.46978e+08'],[' 5.8579e+07'],[' 0'],[' 2.38036e+10'],[' 0'],[' 0'],[' 555 '],[' 1035 '],[' 1404 '],[' 1971 '],[' 2466 '],[' 2732 '],[' 3071 '],[' 3232 '],[' 6 '],[' 2 ']
