Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , , ,[' 1'],[' 525+'],[' 272'],"[' 353.752s (Solving', ' 352.76s 1st Model', ' 0.35s Unsat', ' 17.30s)']",[' 353.234s'], ,[' 28755688'],"[' 20350286 (Analyzed', ' 20344323)']","[' 39333    (Average', ' 517.23 Last', ' 110587)']",[' 1037.2  '],"[' 272      (Average Length', ' 188.51 Splits', ' 0)']","[' 20344323 (Deleted', ' 20054321)']","[' 14       (Ratio', '   0.00%)']","[' 1658     (Ratio', '   0.01%)']","[' 20344323 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20344323 (Average', '  1.38 Max', ' 1607 Sum', ' 28078382)']","[' 20343981 (Average', '  1.38 Max', ' 1607 Sum', ' 28009080 Ratio', '  99.75%)']","[' 342      (Average', ' 202.64 Max', ' 306 Sum', '  69302 Ratio', '   0.25%)']", ,[' 60098   '],[' 2105    '],[' 55732   '],[' 18116   '],"[' 47930    (Atom=Atom', ' 14142 Body=Body', ' 8618 Other', ' 25170)']",[' Yes'],"[' 2946     (Eliminated', '    0 Frozen', ' 2946)']","[' 190      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.155095'],[' 0'], ,[' 225.391'],[' 0'],[' 4.21571'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.63232e+07'],[' 3.07252e+07'],[' 0'],[' 1.53389e+10'],[' 0'],[' 0'],[' 609 '],[' 1136 '],[' 1362 '],[' 1755 '],[' 2055 '],[' 2486 '],[' 2666 '],[' 3154 '],[' 3616 '],[' 3 '],[' 6 ']
Solving...,TA52, , , , ,[' 1'],[' 517+'],[' 268'],"[' 669.247s (Solving', ' 668.06s 1st Model', ' 0.41s Unsat', ' 0.13s)']",[' 661.078s'], ,[' 42101507'],"[' 30234968 (Analyzed', ' 30228359)']","[' 59599    (Average', ' 507.20 Last', ' 69117)']",[' 1002.8  '],"[' 268      (Average Length', ' 184.75 Splits', ' 0)']","[' 30228359 (Deleted', ' 29855179)']","[' 10       (Ratio', '   0.00%)']","[' 2556     (Ratio', '   0.01%)']","[' 30228359 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 30228359 (Average', '  1.36 Max', ' 1784 Sum', ' 41055377)']","[' 30227973 (Average', '  1.36 Max', ' 1536 Sum', ' 40972274 Ratio', '  99.80%)']","[' 386      (Average', ' 215.29 Max', ' 278 Sum', '  83103 Ratio', '   0.20%)']", ,[' 60334   '],[' 2138    '],[' 55927   '],[' 18236   '],"[' 48432    (Atom=Atom', ' 14270 Body=Body', ' 8716 Other', ' 25446)']",[' Yes'],"[' 2979     (Eliminated', '    0 Frozen', ' 2979)']","[' 427      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.177412'],[' 0'], ,[' 449.6'],[' 0'],[' 11.2224'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.07531e+08'],[' 3.92745e+07'],[' 0'],[' 2.72663e+10'],[' 0'],[' 0'],[' 520 '],[' 1268 '],[' 1764 '],[' 1844 '],[' 2123 '],[' 2745 '],[' 2895 '],[' 3026 '],[' 3418 '],[' 6 '],[' 3 ']
Solving...,TA53, , , , , ,[' 533'],[' 276'],"[' 227.782s (Solving', ' 226.57s 1st Model', ' 0.41s Unsat', ' 1.79s)']",[' 226.984s'], ,[' 17747108'],"[' 12508896 (Analyzed', ' 12484038)']","[' 25061    (Average', ' 498.15 Last', ' 37085)']",[' 972.1   '],"[' 276      (Average Length', ' 194.49 Splits', ' 0)']","[' 12484038 (Deleted', ' 12328237)']","[' 22       (Ratio', '   0.00%)']","[' 1200     (Ratio', '   0.01%)']","[' 12484038 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12484038 (Average', '  1.39 Max', ' 1699 Sum', ' 17293882)']","[' 12483626 (Average', '  1.38 Max', ' 1477 Sum', ' 17214031 Ratio', '  99.54%)']","[' 412      (Average', ' 193.81 Max', ' 309 Sum', '  79851 Ratio', '   0.46%)']", ,[' 59173   '],[' 1991    '],[' 54949   '],[' 17523   '],"[' 46204    (Atom=Atom', ' 13697 Body=Body', ' 8277 Other', ' 24230)']",[' Yes'],"[' 2840     (Eliminated', '    0 Frozen', ' 2840)']","[' 140      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.192079'],[' 0'], ,[' 128.957'],[' 0'],[' 2.27959'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.59984e+07'],[' 1.69943e+07'],[' 0'],[' 7.25413e+09'],[' 0'],[' 0'],[' 596 '],[' 1044 '],[' 1320 '],[' 1660 '],[' 1885 '],[' 2209 '],[' 2648 '],[' 3012 '],[' 3326 '],[' 2 '],[' 7 ']
Solving...,TA54, , , , , ,[' 555'],[' 287'],"[' 227.742s (Solving', ' 226.38s 1st Model', ' 0.47s Unsat', ' 0.75s)']",[' 226.344s'], ,[' 16437907'],"[' 10568176 (Analyzed', ' 10552310)']","[' 20890    (Average', ' 505.14 Last', ' 24029)']",[' 1064.6  '],"[' 287      (Average Length', ' 194.31 Splits', ' 0)']","[' 10552310 (Deleted', ' 10421197)']","[' 30       (Ratio', '   0.00%)']","[' 1210     (Ratio', '   0.01%)']","[' 10552310 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10552310 (Average', '  1.51 Max', ' 1577 Sum', ' 15941541)']","[' 10551954 (Average', '  1.50 Max', ' 1445 Sum', ' 15868707 Ratio', '  99.54%)']","[' 356      (Average', ' 204.59 Max', ' 315 Sum', '  72834 Ratio', '   0.46%)']", ,[' 59817   '],[' 2042    '],[' 55453   '],[' 17916   '],"[' 47092    (Atom=Atom', ' 13912 Body=Body', ' 8430 Other', ' 24750)']",[' Yes'],"[' 2901     (Eliminated', '    0 Frozen', ' 2901)']","[' 195      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.224772'],[' 0'], ,[' 142.819'],[' 0'],[' 3.62087'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.01716e+07'],[' 1.5977e+07'],[' 0'],[' 7.58334e+09'],[' 0'],[' 0'],[' 533 '],[' 1011 '],[' 1355 '],[' 1560 '],[' 1851 '],[' 2230 '],[' 2830 '],[' 3106 '],[' 3301 '],[' 2 '],[' 7 ']
Solving...,TA55, , , , , ,[' 603'],[' 311'],"[' 231.449s (Solving', ' 230.01s 1st Model', ' 0.49s Unsat', ' 4.93s)']",[' 230.359s'], ,[' 17554630'],"[' 12029232 (Analyzed', ' 12020801)']","[' 22843    (Average', ' 526.24 Last', ' 1303)']",[' 1060.4  '],"[' 311      (Average Length', ' 211.41 Splits', ' 0)']","[' 12020801 (Deleted', ' 11878609)']","[' 38       (Ratio', '   0.00%)']","[' 1678     (Ratio', '   0.01%)']","[' 12020801 (Average Length', '   13.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12020801 (Average', '  1.42 Max', ' 1705 Sum', ' 17020746)']","[' 12020421 (Average', '  1.41 Max', ' 1584 Sum', ' 16940461 Ratio', '  99.53%)']","[' 380      (Average', ' 211.28 Max', ' 334 Sum', '  80285 Ratio', '   0.47%)']", ,[' 59808   '],[' 2049    '],[' 55474   '],[' 17939   '],"[' 47178    (Atom=Atom', ' 13964 Body=Body', ' 8451 Other', ' 24763)']",[' Yes'],"[' 2936     (Eliminated', '    0 Frozen', ' 2936)']","[' 169      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.231176'],[' 0'], ,[' 146.753'],[' 0'],[' 2.71129'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.36965e+07'],[' 1.61421e+07'],[' 0'],[' 8.5587e+09'],[' 0'],[' 0'],[' 513 '],[' 961 '],[' 1243 '],[' 1871 '],[' 2145 '],[' 2392 '],[' 2797 '],[' 3126 '],[' 3414 '],[' 2 '],[' 7 ']
Solving...,TA56, , , , ,[' 1'],[' 299+'],[' 159'],"[' 470.729s (Solving', ' 469.87s 1st Model', ' 0.31s Unsat', ' 24.57s)']",[' 468.875s'], ,[' 32161025'],"[' 24255274 (Analyzed', ' 24248690)']","[' 48236    (Average', ' 502.71 Last', ' 6661)']",[' 961.2   '],"[' 159      (Average Length', ' 130.14 Splits', ' 0)']","[' 24248690 (Deleted', ' 23924626)']","[' 18       (Ratio', '   0.00%)']","[' 1606     (Ratio', '   0.01%)']","[' 24248690 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24248690 (Average', '  1.30 Max', ' 1416 Sum', ' 31471822)']","[' 24248287 (Average', '  1.30 Max', ' 1416 Sum', ' 31414309 Ratio', '  99.82%)']","[' 403      (Average', ' 142.71 Max', ' 194 Sum', '  57513 Ratio', '   0.18%)']", ,[' 58593   '],[' 1991    '],[' 54405   '],[' 17163   '],"[' 45863    (Atom=Atom', ' 13580 Body=Body', ' 8277 Other', ' 24006)']",[' Yes'],"[' 2728     (Eliminated', '    0 Frozen', ' 2728)']","[' 152      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.121892'],[' 0'], ,[' 303.456'],[' 0'],[' 7.73158'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.58216e+07'],[' 3.18888e+07'],[' 0'],[' 1.83681e+10'],[' 0'],[' 0'],[' 693 '],[' 1313 '],[' 1655 '],[' 2053 '],[' 2298 '],[' 2781 '],[' 2935 '],[' 3186 '],[' 3484 '],[' 4 '],[' 5 ']
Solving...,TA57, , , , , ,[' 591'],[' 305'],"[' 545.429s (Solving', ' 544.17s 1st Model', ' 0.44s Unsat', ' 97.68s)']",[' 543.313s'], ,[' 41867739'],"[' 31484980 (Analyzed', ' 31473631)']","[' 62484    (Average', ' 503.71 Last', ' 107582)']",[' 982.4   '],"[' 305      (Average Length', ' 208.24 Splits', ' 0)']","[' 31473631 (Deleted', ' 31065642)']","[' 28       (Ratio', '   0.00%)']","[' 1813     (Ratio', '   0.01%)']","[' 31473631 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 31473631 (Average', '  1.30 Max', ' 1594 Sum', ' 40952439)']","[' 31473282 (Average', '  1.30 Max', ' 1481 Sum', ' 40871886 Ratio', '  99.80%)']","[' 349      (Average', ' 230.81 Max', ' 314 Sum', '  80553 Ratio', '   0.20%)']", ,[' 59393   '],[' 2006    '],[' 55130   '],[' 17660   '],"[' 46541    (Atom=Atom', ' 13786 Body=Body', ' 8322 Other', ' 24433)']",[' Yes'],"[' 2881     (Eliminated', '    0 Frozen', ' 2881)']","[' 240      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.200066'],[' 0'], ,[' 321.352'],[' 0'],[' 6.20535'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.08401e+08'],[' 3.68199e+07'],[' 0'],[' 1.87992e+10'],[' 0'],[' 0'],[' 603 '],[' 1030 '],[' 1387 '],[' 1816 '],[' 2329 '],[' 2785 '],[' 2945 '],[' 3180 '],[' 3496 '],[' 4 '],[' 5 ']
Solving...,TA58, , , , , ,[' 463'],[' 241'],"[' 396.384s (Solving', ' 395.22s 1st Model', ' 0.37s Unsat', ' 59.90s)']",[' 395.453s'], ,[' 34222606'],"[' 22947076 (Analyzed', ' 22934375)']","[' 43847    (Average', ' 523.05 Last', ' 56440)']",[' 954.1   '],"[' 241      (Average Length', ' 170.63 Splits', ' 0)']","[' 22934375 (Deleted', ' 22687623)']","[' 25       (Ratio', '   0.00%)']","[' 2093     (Ratio', '   0.01%)']","[' 22934375 (Average Length', '   13.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22934375 (Average', '  1.46 Max', ' 1566 Sum', ' 33457174)']","[' 22934029 (Average', '  1.46 Max', ' 1455 Sum', ' 33392178 Ratio', '  99.81%)']","[' 346      (Average', ' 187.85 Max', ' 268 Sum', '  64996 Ratio', '   0.19%)']", ,[' 59854   '],[' 2059    '],[' 55432   '],[' 17949   '],"[' 47157    (Atom=Atom', ' 13934 Body=Body', ' 8481 Other', ' 24742)']",[' Yes'],"[' 2876     (Eliminated', '    0 Frozen', ' 2876)']","[' 324      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.171066'],[' 0'], ,[' 233.361'],[' 0'],[' 5.50529'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.98005e+07'],[' 3.73623e+07'],[' 0'],[' 1.35604e+10'],[' 0'],[' 0'],[' 546 '],[' 1187 '],[' 1413 '],[' 1751 '],[' 2093 '],[' 2441 '],[' 2914 '],[' 3253 '],[' 3509 '],[' 3 '],[' 6 ']
Solving...,TA59, , , , , ,[' 493'],[' 256'],"[' 243.651s (Solving', ' 242.55s 1st Model', ' 0.37s Unsat', ' 18.17s)']",[' 243.234s'], ,[' 18809159'],"[' 14099510 (Analyzed', ' 14092775)']","[' 28308    (Average', ' 497.84 Last', ' 77328)']",[' 993.8   '],"[' 256      (Average Length', ' 188.80 Splits', ' 0)']","[' 14092775 (Deleted', ' 13894035)']","[' 27       (Ratio', '   0.00%)']","[' 1436     (Ratio', '   0.01%)']","[' 14092775 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14092775 (Average', '  1.30 Max', ' 1553 Sum', ' 18301184)']","[' 14092420 (Average', '  1.29 Max', ' 1553 Sum', ' 18236728 Ratio', '  99.65%)']","[' 355      (Average', ' 181.57 Max', ' 293 Sum', '  64456 Ratio', '   0.35%)']", ,[' 59350   '],[' 2023    '],[' 55090   '],[' 17638   '],"[' 46640    (Atom=Atom', ' 13805 Body=Body', ' 8373 Other', ' 24462)']",[' Yes'],"[' 2853     (Eliminated', '    0 Frozen', ' 2853)']","[' 172      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.167365'],[' 0'], ,[' 139.523'],[' 0'],[' 3.23727'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.97941e+07'],[' 1.82617e+07'],[' 0'],[' 7.99345e+09'],[' 0'],[' 0'],[' 493 '],[' 967 '],[' 1273 '],[' 1588 '],[' 1934 '],[' 2304 '],[' 2496 '],[' 2842 '],[' 3273 '],[' 2 '],[' 7 ']
Solving...,TA60, , , , , ,[' 617'],[' 318'],"[' 378.217s (Solving', ' 376.94s 1st Model', ' 0.47s Unsat', ' 40.82s)']",[' 376.922s'], ,[' 31233654'],"[' 20508620 (Analyzed', ' 20496866)']","[' 39277    (Average', ' 521.85 Last', ' 48946)']",[' 1000.5  '],"[' 318      (Average Length', ' 215.91 Splits', ' 0)']","[' 20496866 (Deleted', ' 20230749)']","[' 14       (Ratio', '   0.00%)']","[' 1951     (Ratio', '   0.01%)']","[' 20496866 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20496866 (Average', '  1.49 Max', ' 1441 Sum', ' 30517267)']","[' 20496521 (Average', '  1.48 Max', ' 1441 Sum', ' 30429461 Ratio', '  99.71%)']","[' 345      (Average', ' 254.51 Max', ' 394 Sum', '  87806 Ratio', '   0.29%)']", ,[' 59982   '],[' 2077    '],[' 55653   '],[' 18057   '],"[' 47619    (Atom=Atom', ' 14083 Body=Body', ' 8535 Other', ' 25001)']",[' Yes'],"[' 2968     (Eliminated', '    0 Frozen', ' 2968)']","[' 236      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.202731'],[' 0'], ,[' 231.426'],[' 0'],[' 5.26015'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.38513e+07'],[' 3.66071e+07'],[' 0'],[' 1.17925e+10'],[' 0'],[' 0'],[' 555 '],[' 918 '],[' 1297 '],[' 1564 '],[' 2007 '],[' 2394 '],[' 2785 '],[' 3244 '],[' 3431 '],[' 3 '],[' 6 ']
