Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , , ,[' 1'],[' 407+'],[' 214'],"[' 184.329s (Solving', ' 163.51s 1st Model', ' 0.22s Unsat', ' 61.67s)']",[' 164.031s'], ,[' 13950125'],"[' 10233347 (Analyzed', ' 10226851)']","[' 20612    (Average', ' 496.16 Last', ' 143115)']",[' 842.5   '],"[' 214      (Average Length', ' 159.84 Splits', ' 0)']","[' 10226851 (Deleted', ' 10080631)']","[' 13       (Ratio', '   0.00%)']","[' 1458     (Ratio', '   0.01%)']","[' 10226851 (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10226851 (Average', '  1.33 Max', ' 1449 Sum', ' 13583463)']","[' 10226531 (Average', '  1.32 Max', ' 1449 Sum', ' 13529699 Ratio', '  99.60%)']","[' 320      (Average', ' 168.01 Max', ' 260 Sum', '  53764 Ratio', '   0.40%)']", ,[' 57929   '],[' 1883    '],[' 54045   '],[' 16619   '],"[' 44233    (Atom=Atom', ' 13214 Body=Body', ' 7956 Other', ' 23063)']",[' Yes'],"[' 2679     (Eliminated', '    0 Frozen', ' 2679)']","[' 39       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.109585'],[' 0'], ,[' 109.031'],[' 0'],[' 1.25902'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.50536e+07'],[' 1.2288e+07'],[' 0'],[' 7.95315e+09'],[' 0'],[' 0'],[' 609 '],[' 948 '],[' 1298 '],[' 1624 '],[' 1872 '],[' 2296 '],[' 2489 '],[' 2815 '],[' 3162 '],[' 3624 '],[' 1 '],[' 9 ']
Solving...,TA52, , , , ,[' 1'],[' 393+'],[' 207'],"[' 317.824s (Solving', ' 317.07s 1st Model', ' 0.23s Unsat', ' 15.48s)']",[' 317.406s'], ,[' 28650955'],"[' 21768139 (Analyzed', ' 21753414)']","[' 41383    (Average', ' 525.66 Last', ' 395305)']",[' 807.4   '],"[' 207      (Average Length', ' 153.27 Splits', ' 0)']","[' 21753414 (Deleted', ' 21473352)']","[' 16       (Ratio', '   0.00%)']","[' 1526     (Ratio', '   0.01%)']","[' 21753414 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21753414 (Average', '  1.29 Max', ' 1453 Sum', ' 28015436)']","[' 21753107 (Average', '  1.29 Max', ' 1453 Sum', ' 27962141 Ratio', '  99.81%)']","[' 307      (Average', ' 173.60 Max', ' 243 Sum', '  53295 Ratio', '   0.19%)']", ,[' 58374   '],[' 1904    '],[' 54294   '],[' 16882   '],"[' 44610    (Atom=Atom', ' 13300 Body=Body', ' 8022 Other', ' 23288)']",[' Yes'],"[' 2695     (Eliminated', '    0 Frozen', ' 2695)']","[' 123      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.102466'],[' 0'], ,[' 195.477'],[' 0'],[' 3.53741'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.59323e+07'],[' 2.73667e+07'],[' 0'],[' 1.44325e+10'],[' 0'],[' 0'],[' 482 '],[' 1064 '],[' 1275 '],[' 1666 '],[' 1957 '],[' 2273 '],[' 2674 '],[' 3034 '],[' 3236 '],[' 3593 '],[' 3 '],[' 7 ']
Solving...,TA53, , , , , ,[' 311'],[' 166'],"[' 123.422s (Solving', ' 102.74s 1st Model', ' 0.17s Unsat', ' 1.49s)']",[' 103.234s'], ,[' 9557552 '],"[' 7459836  (Analyzed', ' 7458496)']","[' 14821    (Average', ' 503.24 Last', ' 14889)']",[' 725.6   '],"[' 166      (Average Length', ' 128.21 Splits', ' 0)']","[' 7458496  (Deleted', ' 7348411)']","[' 23       (Ratio', '   0.00%)']","[' 864      (Ratio', '   0.01%)']","[' 7458496  (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7458496  (Average', '  1.25 Max', ' 1363 Sum', ' 9354603)']","[' 7458135  (Average', '  1.25 Max', ' 1363 Sum', ' 9305224 Ratio', '  99.47%)']","[' 361      (Average', ' 136.78 Max', ' 204 Sum', '  49379 Ratio', '   0.53%)']", ,[' 57267   '],[' 1763    '],[' 53287   '],[' 16158   '],"[' 42321    (Atom=Atom', ' 12695 Body=Body', ' 7599 Other', ' 22027)']",[' Yes'],"[' 2516     (Eliminated', '    0 Frozen', ' 2516)']","[' 75       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.0847619'],[' 0'], ,[' 53.7157'],[' 0'],[' 1.12921'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.72829e+07'],[' 1.08002e+07'],[' 0'],[' 3.63373e+09'],[' 0'],[' 0'],[' 520 '],[' 939 '],[' 1296 '],[' 1450 '],[' 1723 '],[' 1973 '],[' 2438 '],[' 2814 '],[' 2985 '],[' 3299 '],[' 1 '],[' 9 ']
Solving...,TA54, , , , , ,[' 343'],[' 182'],"[' 302.044s (Solving', ' 301.30s 1st Model', ' 0.19s Unsat', ' 0.09s)']",[' 301.656s'], ,[' 27392115'],"[' 19935811 (Analyzed', ' 19929029)']","[' 36588    (Average', ' 544.69 Last', ' 291)']",[' 865.9   '],"[' 182      (Average Length', ' 134.40 Splits', ' 0)']","[' 19929029 (Deleted', ' 19694228)']","[' 18       (Ratio', '   0.00%)']","[' 1017     (Ratio', '   0.01%)']","[' 19929029 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19929029 (Average', '  1.34 Max', ' 1438 Sum', ' 26793686)']","[' 19928723 (Average', '  1.34 Max', ' 1416 Sum', ' 26745254 Ratio', '  99.82%)']","[' 306      (Average', ' 158.27 Max', ' 218 Sum', '  48432 Ratio', '   0.18%)']", ,[' 57821   '],[' 1833    '],[' 53810   '],[' 16509   '],"[' 43497    (Atom=Atom', ' 12991 Body=Body', ' 7809 Other', ' 22697)']",[' Yes'],"[' 2603     (Eliminated', '    0 Frozen', ' 2603)']","[' 154      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.100413'],[' 0'], ,[' 186.622'],[' 0'],[' 4.2544'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.93997e+07'],[' 2.37214e+07'],[' 0'],[' 1.35947e+10'],[' 0'],[' 0'],[' 473 '],[' 999 '],[' 1231 '],[' 1576 '],[' 1801 '],[' 2156 '],[' 2497 '],[' 2855 '],[' 3131 '],[' 3326 '],[' 3 '],[' 7 ']
Solving...,TA55, , , , , ,[' 495'],[' 258'],"[' 304.117s (Solving', ' 303.24s 1st Model', ' 0.27s Unsat', ' 1.38s)']",[' 303.813s'], ,[' 27153709'],"[' 19921527 (Analyzed', ' 19910778)']","[' 39652    (Average', ' 502.14 Last', ' 5956)']",[' 855.7   '],"[' 258      (Average Length', ' 175.56 Splits', ' 0)']","[' 19910778 (Deleted', ' 19658420)']","[' 19       (Ratio', '   0.00%)']","[' 1317     (Ratio', '   0.01%)']","[' 19910778 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19910778 (Average', '  1.33 Max', ' 1452 Sum', ' 26476721)']","[' 19910441 (Average', '  1.33 Max', ' 1407 Sum', ' 26406518 Ratio', '  99.73%)']","[' 337      (Average', ' 208.32 Max', ' 280 Sum', '  70203 Ratio', '   0.27%)']", ,[' 57953   '],[' 1870    '],[' 54064   '],[' 16643   '],"[' 44190    (Atom=Atom', ' 13215 Body=Body', ' 7920 Other', ' 23055)']",[' Yes'],"[' 2714     (Eliminated', '    0 Frozen', ' 2714)']","[' 241      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.131076'],[' 0'], ,[' 190.751'],[' 0'],[' 3.31409'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.84752e+07'],[' 2.38014e+07'],[' 0'],[' 1.40334e+10'],[' 0'],[' 0'],[' 427 '],[' 814 '],[' 1163 '],[' 1921 '],[' 2048 '],[' 2242 '],[' 2603 '],[' 2902 '],[' 3093 '],[' 3403 '],[' 3 '],[' 7 ']
Solving...,TA56, , , , , ,[' 451'],[' 236'],"[' 115.279s (Solving', ' 114.36s 1st Model', ' 0.29s Unsat', ' 111.87s)']",[' 114.891s'], ,[' 8256845 '],"[' 5720886  (Analyzed', ' 5711118)']","[' 11813    (Average', ' 483.46 Last', ' 153743)']",[' 980.5   '],"[' 236      (Average Length', ' 168.42 Splits', ' 0)']","[' 5711118  (Deleted', ' 5617523)']","[' 25       (Ratio', '   0.00%)']","[' 976      (Ratio', '   0.02%)']","[' 5711118  (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5711118  (Average', '  1.40 Max', ' 1417 Sum', ' 8001356)']","[' 5710737  (Average', '  1.39 Max', ' 1417 Sum', ' 7942490 Ratio', '  99.26%)']","[' 381      (Average', ' 154.50 Max', ' 254 Sum', '  58866 Ratio', '   0.74%)']", ,[' 57302   '],[' 1824    '],[' 53551   '],[' 16252   '],"[' 43393    (Atom=Atom', ' 13000 Body=Body', ' 7779 Other', ' 22614)']",[' Yes'],"[' 2646     (Eliminated', '    0 Frozen', ' 2646)']","[' 66       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.145521'],[' 0'], ,[' 77.3429'],[' 0'],[' 2.35838'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.2489e+07'],[' 9.61347e+06'],[' 0'],[' 5.96404e+09'],[' 0'],[' 0'],[' 641 '],[' 1219 '],[' 1432 '],[' 1688 '],[' 2026 '],[' 2302 '],[' 2602 '],[' 2782 '],[' 3152 '],[' 3356 '],[' 0 '],[' 10 ']
Solving...,TA57, , , , , ,[' 413'],[' 217'],"[' 12.055s (Solving', ' 11.26s 1st Model', ' 0.21s Unsat', ' 9.33s)']",[' 12.016s'], ,[' 686945  '],"[' 256478   (Analyzed', ' 247991)']","[' 826      (Average', ' 300.23 Last', ' 227)']",[' 821.9   '],"[' 217      (Average Length', ' 153.55 Splits', ' 0)']","[' 247991   (Deleted', ' 229295)']","[' 22       (Ratio', '   0.01%)']","[' 585      (Ratio', '   0.24%)']","[' 247991   (Average Length', '    9.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 247991   (Average', '  2.39 Max', ' 1508 Sum', ' 591857)']","[' 247653   (Average', '  2.16 Max', ' 1440 Sum', ' 535153 Ratio', '  90.42%)']","[' 338      (Average', ' 167.76 Max', ' 258 Sum', '  56704 Ratio', '   9.58%)']", ,[' 57580   '],[' 1810    '],[' 53681   '],[' 16344   '],"[' 43153    (Atom=Atom', ' 12921 Body=Body', ' 7734 Other', ' 22498)']",[' Yes'],"[' 2613     (Eliminated', '    0 Frozen', ' 2613)']","[' 25       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.112757'],[' 0'], ,[' 7.90056'],[' 0'],[' 0.258016'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.61015e+06'],[' 928211'],[' 0'],[' 6.12366e+08'],[' 0'],[' 0'],[' 591 '],[' 947 '],[' 1280 '],[' 1706 '],[' 2040 '],[' 2401 '],[' 2656 '],[' 2867 '],[' 3186 '],[' 3476 '],[' 0 '],[' 10 ']
Solving...,TA58, , , , , ,[' 387'],[' 204'],"[' 133.947s (Solving', ' 133.15s 1st Model', ' 0.22s Unsat', ' 31.33s)']",[' 133.469s'], ,[' 16232501'],"[' 10985212 (Analyzed', ' 10979249)']","[' 21965    (Average', ' 499.85 Last', ' 4346)']",[' 856.2   '],"[' 204      (Average Length', ' 148.14 Splits', ' 0)']","[' 10979249 (Deleted', ' 10833857)']","[' 21       (Ratio', '   0.00%)']","[' 1273     (Ratio', '   0.01%)']","[' 10979249 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10979249 (Average', '  1.44 Max', ' 1342 Sum', ' 15838952)']","[' 10978907 (Average', '  1.44 Max', ' 1342 Sum', ' 15788204 Ratio', '  99.68%)']","[' 342      (Average', ' 148.39 Max', ' 229 Sum', '  50748 Ratio', '   0.32%)']", ,[' 57401   '],[' 1827    '],[' 53569   '],[' 16283   '],"[' 43412    (Atom=Atom', ' 12983 Body=Body', ' 7789 Other', ' 22640)']",[' Yes'],"[' 2619     (Eliminated', '    0 Frozen', ' 2619)']","[' 141      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.113443'],[' 0'], ,[' 68.8205'],[' 0'],[' 2.00197'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.22682e+07'],[' 1.72394e+07'],[' 0'],[' 4.60981e+09'],[' 0'],[' 0'],[' 532 '],[' 1020 '],[' 1309 '],[' 1727 '],[' 1893 '],[' 2193 '],[' 2706 '],[' 2922 '],[' 3260 '],[' 3533 '],[' 1 '],[' 9 ']
Solving...,TA59, , , , , ,[' 383'],[' 202'],"[' 75.953s (Solving', ' 55.06s 1st Model', ' 0.23s Unsat', ' 53.14s)']",[' 55.703s'], ,[' 4602807 '],"[' 3433186  (Analyzed', ' 3425621)']","[' 7836     (Average', ' 437.16 Last', ' 2515)']",[' 800.0   '],"[' 202      (Average Length', ' 150.51 Splits', ' 0)']","[' 3425621  (Deleted', ' 3356662)']","[' 19       (Ratio', '   0.00%)']","[' 946      (Ratio', '   0.03%)']","[' 3425621  (Average Length', '   11.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3425621  (Average', '  1.30 Max', ' 1556 Sum', ' 4443651)']","[' 3425348  (Average', '  1.28 Max', ' 1399 Sum', ' 4398883 Ratio', '  98.99%)']","[' 273      (Average', ' 163.99 Max', ' 251 Sum', '  44768 Ratio', '   1.01%)']", ,[' 57278   '],[' 1780    '],[' 53422   '],[' 16165   '],"[' 42673    (Atom=Atom', ' 12797 Body=Body', ' 7649 Other', ' 22227)']",[' Yes'],"[' 2570     (Eliminated', '    0 Frozen', ' 2570)']","[' 58       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.116707'],[' 0'], ,[' 32.9931'],[' 0'],[' 0.811872'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.21379e+07'],[' 4.39441e+06'],[' 0'],[' 2.32119e+09'],[' 0'],[' 0'],[' 440 '],[' 876 '],[' 1179 '],[' 1462 '],[' 1813 '],[' 2025 '],[' 2313 '],[' 2523 '],[' 2920 '],[' 3388 '],[' 0 '],[' 10 ']
Solving...,TA60, , , , ,[' 1'],[' 385+'],[' 203'],"[' 463.431s (Solving', ' 462.63s 1st Model', ' 0.25s Unsat', ' 61.68s)']",[' 462.375s'], ,[' 36898928'],"[' 26240282 (Analyzed', ' 26216812)']","[' 52175    (Average', ' 502.48 Last', ' 1130)']",[' 798.8   '],"[' 203      (Average Length', ' 147.52 Splits', ' 0)']","[' 26216812 (Deleted', ' 25886175)']","[' 21       (Ratio', '   0.00%)']","[' 2244     (Ratio', '   0.01%)']","[' 26216812 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26216812 (Average', '  1.38 Max', ' 1303 Sum', ' 36095790)']","[' 26216488 (Average', '  1.37 Max', ' 1253 Sum', ' 36039287 Ratio', '  99.84%)']","[' 324      (Average', ' 174.39 Max', ' 234 Sum', '  56503 Ratio', '   0.16%)']", ,[' 58057   '],[' 1887    '],[' 54114   '],[' 16669   '],"[' 44249    (Atom=Atom', ' 13221 Body=Body', ' 7968 Other', ' 23060)']",[' Yes'],"[' 2679     (Eliminated', '    0 Frozen', ' 2679)']","[' 303      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.109109'],[' 0'], ,[' 305.577'],[' 0'],[' 8.01377'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.51861e+07'],[' 3.65309e+07'],[' 0'],[' 2.19162e+10'],[' 0'],[' 0'],[' 501 '],[' 864 '],[' 1312 '],[' 1530 '],[' 2041 '],[' 2273 '],[' 2729 '],[' 2964 '],[' 3270 '],[' 3575 '],[' 4 '],[' 6 ']
