Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , , ,[' 731'],[' 376'],"[' 254.668s (Solving', ' 232.91s 1st Model', ' 0.58s Unsat', ' 28.24s)']",[' 233.609s'], ,[' 21565059'],"[' 14622937 (Analyzed', ' 14602724)']","[' 29185    (Average', ' 500.35 Last', ' 4731)']",[' 1197.8  '],"[' 376      (Average Length', ' 252.30 Splits', ' 0)']","[' 14602724 (Deleted', ' 14390033)']","[' 14       (Ratio', '   0.00%)']","[' 1540     (Ratio', '   0.01%)']","[' 14602724 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14602724 (Average', '  1.43 Max', ' 1972 Sum', ' 20926680)']","[' 14602277 (Average', '  1.43 Max', ' 1791 Sum', ' 20815808 Ratio', '  99.47%)']","[' 447      (Average', ' 248.04 Max', ' 416 Sum', ' 110872 Ratio', '   0.53%)']", ,[' 76602   '],[' 2378    '],[' 71488   '],[' 21725   '],"[' 57308    (Atom=Atom', ' 17183 Body=Body', ' 10210 Other', ' 29915)']",[' Yes'],"[' 3535     (Eliminated', '    0 Frozen', ' 3535)']","[' 205      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.281413'],[' 0'], ,[' 136.607'],[' 0'],[' 3.55716'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.66428e+07'],[' 2.39523e+07'],[' 0'],[' 8.9297e+09'],[' 0'],[' 0'],[' 477 '],[' 988 '],[' 1372 '],[' 1794 '],[' 2119 '],[' 2394 '],[' 2641 '],[' 2872 '],[' 3424 '],[' 3644 '],[' 2 '],[' 8 ']
Solving...,TA62, , , , , ,[' 1023'],[' 522'],"[' 132.617s (Solving', ' 110.43s 1st Model', ' 0.89s Unsat', ' 3.65s)']",[' 112.469s'], ,[' 6509841 '],"[' 4184470  (Analyzed', ' 4177827)']","[' 8725     (Average', ' 478.83 Last', ' 119359)']",[' 1421.7  '],"[' 522      (Average Length', ' 325.26 Splits', ' 0)']","[' 4177827  (Deleted', ' 4095530)']","[' 18       (Ratio', '   0.00%)']","[' 837      (Ratio', '   0.02%)']","[' 4177827  (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4177827  (Average', '  1.43 Max', ' 1956 Sum', ' 5960006)']","[' 4177433  (Average', '  1.40 Max', ' 1917 Sum', ' 5839150 Ratio', '  97.97%)']","[' 394      (Average', ' 306.74 Max', ' 494 Sum', ' 120856 Ratio', '   2.03%)']", ,[' 77489   '],[' 2419    '],[' 72320   '],[' 22327   '],"[' 58401    (Atom=Atom', ' 17496 Body=Body', ' 10334 Other', ' 30571)']",[' Yes'],"[' 3713     (Eliminated', '    0 Frozen', ' 3713)']","[' 109      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.418128'],[' 0'], ,[' 76.7605'],[' 0'],[' 1.57741'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.68649e+07'],[' 7.09204e+06'],[' 0'],[' 5.37201e+09'],[' 0'],[' 0'],[' 592 '],[' 959 '],[' 1300 '],[' 1661 '],[' 1918 '],[' 2333 '],[' 2674 '],[' 2918 '],[' 3414 '],[' 3582 '],[' 1 '],[' 9 ']
Solving...,TA63, , , , , ,[' 835'],[' 428'],"[' 154.454s (Solving', ' 132.69s 1st Model', ' 0.62s Unsat', ' 27.14s)']",[' 134.156s'], ,[' 8459489 '],"[' 5950996  (Analyzed', ' 5946779)']","[' 12417    (Average', ' 478.92 Last', ' 15351)']",[' 1245.8  '],"[' 428      (Average Length', ' 279.63 Splits', ' 0)']","[' 5946779  (Deleted', ' 5843694)']","[' 14       (Ratio', '   0.00%)']","[' 659      (Ratio', '   0.01%)']","[' 5946779  (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5946779  (Average', '  1.35 Max', ' 2170 Sum', ' 8009918)']","[' 5946402  (Average', '  1.33 Max', ' 1798 Sum', ' 7900801 Ratio', '  98.64%)']","[' 377      (Average', ' 289.44 Max', ' 452 Sum', ' 109117 Ratio', '   1.36%)']", ,[' 76967   '],[' 2428    '],[' 71939   '],[' 21989   '],"[' 58166    (Atom=Atom', ' 17434 Body=Body', ' 10359 Other', ' 30373)']",[' Yes'],"[' 3637     (Eliminated', '    0 Frozen', ' 3637)']","[' 107      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.304376'],[' 0'], ,[' 88.5491'],[' 0'],[' 1.78533'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.14072e+07'],[' 7.93697e+06'],[' 0'],[' 5.72012e+09'],[' 0'],[' 0'],[' 534 '],[' 935 '],[' 1250 '],[' 1508 '],[' 2056 '],[' 2281 '],[' 2545 '],[' 2799 '],[' 3132 '],[' 3353 '],[' 1 '],[' 9 ']
Solving...,TA64, , , , , ,[' 857'],[' 439'],"[' 426.031s (Solving', ' 404.14s 1st Model', ' 0.69s Unsat', ' 0.22s)']",[' 405.391s'], ,[' 34577572'],"[' 24176087 (Analyzed', ' 24160601)']","[' 46242    (Average', ' 522.48 Last', ' 420631)']",[' 1265.2  '],"[' 439      (Average Length', ' 288.21 Splits', ' 0)']","[' 24160601 (Deleted', ' 23828106)']","[' 10       (Ratio', '   0.00%)']","[' 1611     (Ratio', '   0.01%)']","[' 24160601 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24160601 (Average', '  1.39 Max', ' 1997 Sum', ' 33661794)']","[' 24160106 (Average', '  1.39 Max', ' 1794 Sum', ' 33518588 Ratio', '  99.57%)']","[' 495      (Average', ' 289.31 Max', ' 435 Sum', ' 143206 Ratio', '   0.43%)']", ,[' 77311   '],[' 2474    '],[' 72247   '],[' 22217   '],"[' 58937    (Atom=Atom', ' 17628 Body=Body', ' 10489 Other', ' 30820)']",[' Yes'],"[' 3685     (Eliminated', '    0 Frozen', ' 3685)']","[' 235      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.324799'],[' 0'], ,[' 241.285'],[' 0'],[' 5.96716'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.63678e+07'],[' 4.11272e+07'],[' 0'],[' 1.59602e+10'],[' 0'],[' 0'],[' 782 '],[' 1142 '],[' 1351 '],[' 1690 '],[' 1982 '],[' 2340 '],[' 2679 '],[' 2925 '],[' 3187 '],[' 3379 '],[' 4 '],[' 6 ']
Solving...,TA65, , , , , ,[' 777'],[' 399'],"[' 246.083s (Solving', ' 244.42s 1st Model', ' 0.61s Unsat', ' 238.93s)']",[' 244.469s'], ,[' 17481971'],"[' 12510717 (Analyzed', ' 12502726)']","[' 26727    (Average', ' 467.79 Last', ' 26824)']",[' 1218.2  '],"[' 399      (Average Length', ' 271.85 Splits', ' 0)']","[' 12502726 (Deleted', ' 12316650)']","[' 30       (Ratio', '   0.00%)']","[' 1600     (Ratio', '   0.01%)']","[' 12502726 (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12502726 (Average', '  1.36 Max', ' 1849 Sum', ' 16963331)']","[' 12502266 (Average', '  1.35 Max', ' 1849 Sum', ' 16841305 Ratio', '  99.28%)']","[' 460      (Average', ' 265.27 Max', ' 444 Sum', ' 122026 Ratio', '   0.72%)']", ,[' 77400   '],[' 2410    '],[' 72088   '],[' 22205   '],"[' 57848    (Atom=Atom', ' 17346 Body=Body', ' 10310 Other', ' 30192)']",[' Yes'],"[' 3587     (Eliminated', '    0 Frozen', ' 3587)']","[' 157      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.287311'],[' 0'], ,[' 158.357'],[' 0'],[' 2.52105'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.65927e+07'],[' 1.814e+07'],[' 0'],[' 1.07933e+10'],[' 0'],[' 0'],[' 546 '],[' 993 '],[' 1330 '],[' 1463 '],[' 1782 '],[' 2217 '],[' 2500 '],[' 2764 '],[' 3232 '],[' 3610 '],[' 0 '],[' 10 ']
Solving...,TA66, , , , , ,[' 629'],[' 325'],"[' 121.529s (Solving', ' 120.08s 1st Model', ' 0.47s Unsat', ' 16.39s)']",[' 121.016s'], ,[' 8011953 '],"[' 5093979  (Analyzed', ' 5083684)']","[' 10757    (Average', ' 472.59 Last', ' 71714)']",[' 1135.3  '],"[' 325      (Average Length', ' 230.35 Splits', ' 0)']","[' 5083684  (Deleted', ' 5004475)']","[' 22       (Ratio', '   0.00%)']","[' 1218     (Ratio', '   0.02%)']","[' 5083684  (Average Length', '   13.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5083684  (Average', '  1.51 Max', ' 2068 Sum', ' 7657874)']","[' 5083274  (Average', '  1.49 Max', ' 2032 Sum', ' 7558255 Ratio', '  98.70%)']","[' 410      (Average', ' 242.97 Max', ' 374 Sum', '  99619 Ratio', '   1.30%)']", ,[' 77467   '],[' 2443    '],[' 72093   '],[' 22282   '],"[' 58124    (Atom=Atom', ' 17402 Body=Body', ' 10408 Other', ' 30314)']",[' Yes'],"[' 3548     (Eliminated', '    0 Frozen', ' 3548)']","[' 124      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.223865'],[' 0'], ,[' 88.0411'],[' 0'],[' 1.26259'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.92723e+07'],[' 7.63339e+06'],[' 0'],[' 5.98735e+09'],[' 0'],[' 0'],[' 546 '],[' 912 '],[' 1264 '],[' 1541 '],[' 1804 '],[' 2104 '],[' 2621 '],[' 2852 '],[' 3390 '],[' 3552 '],[' 1 '],[' 9 ']
Solving...,TA67, , , , , ,[' 821'],[' 421'],"[' 253.013s (Solving', ' 231.13s 1st Model', ' 0.72s Unsat', ' 25.91s)']",[' 231.594s'], ,[' 19715876'],"[' 13129912 (Analyzed', ' 13119321)']","[' 26444    (Average', ' 496.12 Last', ' 136274)']",[' 1222.3  '],"[' 421      (Average Length', ' 272.01 Splits', ' 0)']","[' 13119321 (Deleted', ' 12906995)']","[' 13       (Ratio', '   0.00%)']","[' 1412     (Ratio', '   0.01%)']","[' 13119321 (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13119321 (Average', '  1.46 Max', ' 1826 Sum', ' 19144466)']","[' 13118858 (Average', '  1.45 Max', ' 1826 Sum', ' 19023898 Ratio', '  99.37%)']","[' 463      (Average', ' 260.41 Max', ' 417 Sum', ' 120568 Ratio', '   0.63%)']", ,[' 76898   '],[' 2420    '],[' 71842   '],[' 21954   '],"[' 58056    (Atom=Atom', ' 17406 Body=Body', ' 10339 Other', ' 30311)']",[' Yes'],"[' 3616     (Eliminated', '    0 Frozen', ' 3616)']","[' 249      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.3133'],[' 0'], ,[' 136.087'],[' 0'],[' 3.59153'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.59229e+07'],[' 2.48579e+07'],[' 0'],[' 8.39772e+09'],[' 0'],[' 0'],[' 783 '],[' 1207 '],[' 1294 '],[' 1558 '],[' 1972 '],[' 2366 '],[' 2738 '],[' 3014 '],[' 3307 '],[' 3511 '],[' 2 '],[' 8 ']
Solving...,TA68, , , , , ,[' 949'],[' 485'],"[' 209.759s (Solving', ' 207.84s 1st Model', ' 0.68s Unsat', ' 1.67s)']",[' 208.547s'], ,[' 13258159'],"[' 8504433  (Analyzed', ' 8397787)']","[' 16947    (Average', ' 495.53 Last', ' 203812)']",[' 1299.1  '],"[' 485      (Average Length', ' 307.40 Splits', ' 0)']","[' 8397787  (Deleted', ' 8280409)']","[' 17       (Ratio', '   0.00%)']","[' 1212     (Ratio', '   0.01%)']","[' 8397787  (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8397787  (Average', '  1.50 Max', ' 2260 Sum', ' 12567148)']","[' 8397388  (Average', '  1.48 Max', ' 1869 Sum', ' 12444339 Ratio', '  99.02%)']","[' 399      (Average', ' 307.79 Max', ' 500 Sum', ' 122809 Ratio', '   0.98%)']", ,[' 76776   '],[' 2391    '],[' 71808   '],[' 21924   '],"[' 57842    (Atom=Atom', ' 17348 Body=Body', ' 10251 Other', ' 30243)']",[' Yes'],"[' 3656     (Eliminated', '    0 Frozen', ' 3656)']","[' 127      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.353799'],[' 0'], ,[' 151.859'],[' 0'],[' 2.74177'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.39494e+07'],[' 1.36644e+07'],[' 0'],[' 1.06252e+10'],[' 0'],[' 0'],[' 492 '],[' 1000 '],[' 1220 '],[' 1564 '],[' 1775 '],[' 2170 '],[' 2466 '],[' 2739 '],[' 3242 '],[' 3454 '],[' 2 '],[' 8 ']
Solving...,TA69, , , , , ,[' 763'],[' 392'],"[' 62.047s (Solving', ' 60.40s 1st Model', ' 0.56s Unsat', ' 55.00s)']",[' 61.859s'], ,[' 5085972 '],"[' 3386772  (Analyzed', ' 3367442)']","[' 7667     (Average', ' 439.21 Last', ' 554)']",[' 1294.0  '],"[' 392      (Average Length', ' 255.30 Splits', ' 0)']","[' 3367442  (Deleted', ' 3304385)']","[' 24       (Ratio', '   0.00%)']","[' 742      (Ratio', '   0.02%)']","[' 3367442  (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3367442  (Average', '  1.40 Max', ' 2073 Sum', ' 4705853)']","[' 3367033  (Average', '  1.37 Max', ' 1925 Sum', ' 4598824 Ratio', '  97.73%)']","[' 409      (Average', ' 261.68 Max', ' 393 Sum', ' 107029 Ratio', '   2.27%)']", ,[' 77218   '],[' 2415    '],[' 72007   '],[' 22100   '],"[' 57975    (Atom=Atom', ' 17359 Body=Body', ' 10325 Other', ' 30291)']",[' Yes'],"[' 3588     (Eliminated', '    0 Frozen', ' 3588)']","[' 24       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.291421'],[' 0'], ,[' 35.4116'],[' 0'],[' 0.898129'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.31852e+07'],[' 5.39735e+06'],[' 0'],[' 2.62941e+09'],[' 0'],[' 0'],[' 574 '],[' 1135 '],[' 1388 '],[' 1660 '],[' 2096 '],[' 2498 '],[' 2709 '],[' 3009 '],[' 3450 '],[' 3699 '],[' 0 '],[' 10 ']
Solving...,TA70, , , , , ,[' 629'],[' 325'],"[' 389.251s (Solving', ' 387.94s 1st Model', ' 0.46s Unsat', ' 85.12s)']",[' 388.297s'], ,[' 27776542'],"[' 20700239 (Analyzed', ' 20685676)']","[' 42352    (Average', ' 488.42 Last', ' 68850)']",[' 1021.1  '],"[' 325      (Average Length', ' 223.98 Splits', ' 0)']","[' 20685676 (Deleted', ' 20395805)']","[' 7        (Ratio', '   0.00%)']","[' 1192     (Ratio', '   0.01%)']","[' 20685676 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20685676 (Average', '  1.31 Max', ' 1909 Sum', ' 27115797)']","[' 20685233 (Average', '  1.30 Max', ' 1810 Sum', ' 26988640 Ratio', '  99.53%)']","[' 443      (Average', ' 287.04 Max', ' 399 Sum', ' 127157 Ratio', '   0.47%)']", ,[' 77381   '],[' 2471    '],[' 72078   '],[' 22243   '],"[' 58514    (Atom=Atom', ' 17508 Body=Body', ' 10489 Other', ' 30517)']",[' Yes'],"[' 3579     (Eliminated', '    0 Frozen', ' 3579)']","[' 220      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.199062'],[' 0'], ,[' 257.097'],[' 0'],[' 4.18685'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.28539e+07'],[' 2.6658e+07'],[' 0'],[' 1.81222e+10'],[' 0'],[' 0'],[' 481 '],[' 810 '],[' 1426 '],[' 1613 '],[' 2137 '],[' 2516 '],[' 2725 '],[' 3153 '],[' 3689 '],[' 3782 '],[' 3 '],[' 7 ']
