Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , ,[' 1'],[' 5619+'],[' 2813'],"[' 1004.608s (Solving', ' 986.40s 1st Model', ' 839.61s Unsat', ' 0.00s)']",[' 999.875s'], ,[' 417712968'],"[' 6374554  (Analyzed', ' 5724452)']","[' 16538    (Average', ' 346.14 Last', ' 453971)']",[' 4929.6  '],"[' 2813     (Average Length', ' 1429.46 Splits', ' 0)']","[' 5724452  (Deleted', ' 5657126)']","[' 328      (Ratio', '   0.01%)']","[' 41558    (Ratio', '   0.73%)']","[' 5724452  (Average Length', '   15.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5724452  (Average', ' 71.20 Max', ' 4593 Sum', ' 407577784)']","[' 5723766  (Average', ' 71.03 Max', ' 4551 Sum', ' 406599372 Ratio', '  99.76%)']","[' 686      (Average', ' 1426.26 Max', ' 1664 Sum', ' 978412 Ratio', '   0.24%)']", ,[' 123602  '],[' 7957    '],[' 115610  '],[' 52447   '],"[' 154317   (Atom=Atom', ' 40324 Body=Body', ' 26580 Other', ' 87413)']",[' Yes'],"[' 10802    (Eliminated', '    0 Frozen', ' 10802)']","[' 6098     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.9903'],[' 0'], ,[' 406.444'],[' 0'],[' 30.1428'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.41235e+09'],[' 1.20017e+09'],[' 0'],[' 1.54668e+10'],[' 0'],[' 0'],[' 1159 '],[' 2270 '],[' 3193 '],[' 3 '],[' 0 ']
Solving...,TA62, , , , ,[' 1'],[' 5125+'],[' 2566'],"[' 231486.948s (Solving', ' 231464.99s 1st Model', ' 766.27s Unsat', ' 0.00s)']",[' 982.813s'], ,[' 372171790'],"[' 5994335  (Analyzed', ' 5333867)']","[' 15889    (Average', ' 335.70 Last', ' 417700)']",[' 4831.7  '],"[' 2566     (Average Length', ' 1331.96 Splits', ' 0)']","[' 5333867  (Deleted', ' 5272065)']","[' 371      (Ratio', '   0.01%)']","[' 41312    (Ratio', '   0.77%)']","[' 5333867  (Average Length', '   15.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5333867  (Average', ' 68.04 Max', ' 4589 Sum', ' 362895277)']","[' 5333200  (Average', ' 67.86 Max', ' 4589 Sum', ' 361940792 Ratio', '  99.74%)']","[' 667      (Average', ' 1431.01 Max', ' 1646 Sum', ' 954485 Ratio', '   0.26%)']", ,[' 123495  '],[' 7960    '],[' 115292  '],[' 52253   '],"[' 153632   (Atom=Atom', ' 40089 Body=Body', ' 26589 Other', ' 86954)']",[' Yes'],"[' 10610    (Eliminated', '    0 Frozen', ' 10610)']","[' 5972     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.74645'],[' 0'], ,[' 414.231'],[' 0'],[' 28.8187'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.20959e+09'],[' 1.02907e+09'],[' 0'],[' 1.30629e+10'],[' 0'],[' 0'],[' 1170 '],[' 2370 '],[' 3353 '],[' 3 '],[' 0 ']
Solving...,TA63, , , , ,[' 1'],[' 5653+'],[' 2830'],"[' 1004.777s (Solving', ' 986.78s 1st Model', ' 800.35s Unsat', ' 0.00s)']",[' 999.313s'], ,[' 433494866'],"[' 8107084  (Analyzed', ' 7318068)']","[' 20096    (Average', ' 364.16 Last', ' 686197)']",[' 4942.9  '],"[' 2830     (Average Length', ' 1433.78 Splits', ' 0)']","[' 7318068  (Deleted', ' 7248134)']","[' 416      (Ratio', '   0.01%)']","[' 40056    (Ratio', '   0.55%)']","[' 7318068  (Average Length', '   14.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7318068  (Average', ' 57.81 Max', ' 4995 Sum', ' 423028220)']","[' 7317461  (Average', ' 57.67 Max', ' 4620 Sum', ' 422054806 Ratio', '  99.77%)']","[' 607      (Average', ' 1603.65 Max', ' 1802 Sum', ' 973414 Ratio', '   0.23%)']", ,[' 123488  '],[' 7945    '],[' 115467  '],[' 52399   '],"[' 154168   (Atom=Atom', ' 40293 Body=Body', ' 26544 Other', ' 87331)']",[' Yes'],"[' 10760    (Eliminated', '    0 Frozen', ' 10760)']","[' 5524     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.91251'],[' 0'], ,[' 430.361'],[' 0'],[' 30.5237'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.38342e+09'],[' 1.15979e+09'],[' 0'],[' 1.73321e+10'],[' 0'],[' 0'],[' 1192 '],[' 2198 '],[' 3090 '],[' 3 '],[' 0 ']
Solving...,TA64, , , , ,[' 1'],[' 5177+'],[' 2592'],"[' 1004.108s (Solving', ' 988.20s 1st Model', ' 618.48s Unsat', ' 0.00s)']",[' 970.031s'], ,[' 399019864'],"[' 8786443  (Analyzed', ' 7922868)']","[' 19663    (Average', ' 402.93 Last', ' 344152)']",[' 4961.7  '],"[' 2592     (Average Length', ' 1319.25 Splits', ' 0)']","[' 7922868  (Deleted', ' 7834616)']","[' 383      (Ratio', '   0.00%)']","[' 40664    (Ratio', '   0.51%)']","[' 7922868  (Average Length', '   15.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7922868  (Average', ' 49.08 Max', ' 4666 Sum', ' 388891135)']","[' 7922225  (Average', ' 48.97 Max', ' 4632 Sum', ' 387967257 Ratio', '  99.76%)']","[' 643      (Average', ' 1436.82 Max', ' 1616 Sum', ' 923878 Ratio', '   0.24%)']", ,[' 123278  '],[' 7996    '],[' 114999  '],[' 52350   '],"[' 154206   (Atom=Atom', ' 40259 Body=Body', ' 26697 Other', ' 87250)']",[' Yes'],"[' 10571    (Eliminated', '    0 Frozen', ' 10571)']","[' 5580     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.53664'],[' 0'], ,[' 448.314'],[' 0'],[' 30.0966'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.23695e+09'],[' 1.03818e+09'],[' 0'],[' 1.76601e+10'],[' 0'],[' 0'],[' 1311 '],[' 2273 '],[' 3124 '],[' 3 '],[' 0 ']
Solving...,TA65, , , , ,[' 1'],[' 5397+'],[' 2702'],"[' 1004.421s (Solving', ' 987.52s 1st Model', ' 794.07s Unsat', ' 0.00s)']",[' 1001.078s'], ,[' 437991900'],"[' 7346202  (Analyzed', ' 6663051)']","[' 18858    (Average', ' 353.33 Last', ' 552401)']",[' 4894.3  '],"[' 2702     (Average Length', ' 1382.93 Splits', ' 0)']","[' 6663051  (Deleted', ' 6591661)']","[' 366      (Ratio', '   0.01%)']","[' 41658    (Ratio', '   0.63%)']","[' 6663051  (Average Length', '   14.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6663051  (Average', ' 64.26 Max', ' 4584 Sum', ' 428179275)']","[' 6662336  (Average', ' 64.11 Max', ' 4584 Sum', ' 427141953 Ratio', '  99.76%)']","[' 715      (Average', ' 1450.80 Max', ' 1668 Sum', ' 1037322 Ratio', '   0.24%)']", ,[' 123639  '],[' 7980    '],[' 115556  '],[' 52402   '],"[' 154322   (Atom=Atom', ' 40305 Body=Body', ' 26649 Other', ' 87368)']",[' Yes'],"[' 10718    (Eliminated', '    0 Frozen', ' 10718)']","[' 6263     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.68913'],[' 0'], ,[' 433.958'],[' 0'],[' 30.8411'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.44135e+09'],[' 1.22507e+09'],[' 0'],[' 1.89627e+10'],[' 0'],[' 0'],[' 1107 '],[' 2142 '],[' 3118 '],[' 3 '],[' 0 ']
Solving...,TA66, , , , ,[' 1'],[' 5623+'],[' 2815'],"[' 1004.098s (Solving', ' 987.40s 1st Model', ' 855.13s Unsat', ' 0.00s)']",[' 1001.547s'], ,[' 447155197'],"[' 8069631  (Analyzed', ' 7262593)']","[' 20786    (Average', ' 349.40 Last', ' 443177)']",[' 4951.4  '],"[' 2815     (Average Length', ' 1437.81 Splits', ' 0)']","[' 7262593  (Deleted', ' 7193915)']","[' 371      (Ratio', '   0.01%)']","[' 39581    (Ratio', '   0.54%)']","[' 7262593  (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7262593  (Average', ' 60.15 Max', ' 4730 Sum', ' 436861573)']","[' 7261848  (Average', ' 59.99 Max', ' 4620 Sum', ' 435700110 Ratio', '  99.73%)']","[' 745      (Average', ' 1559.01 Max', ' 2479 Sum', ' 1161463 Ratio', '   0.27%)']", ,[' 124238  '],[' 8035    '],[' 116226  '],[' 52804   '],"[' 155479   (Atom=Atom', ' 40638 Body=Body', ' 26814 Other', ' 88027)']",[' Yes'],"[' 10874    (Eliminated', '    0 Frozen', ' 10874)']","[' 5949     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.6529'],[' 0'], ,[' 441.77'],[' 0'],[' 30.8589'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.4402e+09'],[' 1.21007e+09'],[' 0'],[' 1.95459e+10'],[' 0'],[' 0'],[' 1153 '],[' 2154 '],[' 3147 '],[' 3 '],[' 0 ']
Solving...,TA67, , , , ,[' 1'],[' 5541+'],[' 2774'],"[' 1004.250s (Solving', ' 987.45s 1st Model', ' 603.61s Unsat', ' 0.00s)']",[' 1000.938s'], ,[' 431574066'],"[' 9679412  (Analyzed', ' 8782099)']","[' 21041    (Average', ' 417.38 Last', ' 215081)']",[' 5068.1  '],"[' 2774     (Average Length', ' 1411.57 Splits', ' 0)']","[' 8782099  (Deleted', ' 8684342)']","[' 423      (Ratio', '   0.00%)']","[' 40898    (Ratio', '   0.47%)']","[' 8782099  (Average Length', '   16.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8782099  (Average', ' 47.89 Max', ' 4848 Sum', ' 420575221)']","[' 8781415  (Average', ' 47.78 Max', ' 4536 Sum', ' 419570239 Ratio', '  99.76%)']","[' 684      (Average', ' 1469.27 Max', ' 1683 Sum', ' 1004982 Ratio', '   0.24%)']", ,[' 123693  '],[' 8007    '],[' 115608  '],[' 52635   '],"[' 154960   (Atom=Atom', ' 40485 Body=Body', ' 26730 Other', ' 87745)']",[' Yes'],"[' 10792    (Eliminated', '    0 Frozen', ' 10792)']","[' 5803     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.64823'],[' 0'], ,[' 452.456'],[' 0'],[' 30.2595'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.34673e+09'],[' 1.12915e+09'],[' 0'],[' 1.99337e+10'],[' 0'],[' 0'],[' 1300 '],[' 2392 '],[' 3241 '],[' 3 '],[' 0 ']
Solving...,TA68, , , , ,[' 1'],[' 5375+'],[' 2691'],"[' 1003.974s (Solving', ' 988.52s 1st Model', ' 823.89s Unsat', ' 0.00s)']",[' 1001.250s'], ,[' 472332522'],"[' 8724893  (Analyzed', ' 7980967)']","[' 21728    (Average', ' 367.31 Last', ' 455501)']",[' 4869.5  '],"[' 2691     (Average Length', ' 1367.90 Splits', ' 0)']","[' 7980967  (Deleted', ' 7897323)']","[' 394      (Ratio', '   0.00%)']","[' 40387    (Ratio', '   0.51%)']","[' 7980967  (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7980967  (Average', ' 57.94 Max', ' 4685 Sum', ' 462389498)']","[' 7980343  (Average', ' 57.82 Max', ' 4685 Sum', ' 461437040 Ratio', '  99.79%)']","[' 624      (Average', ' 1526.38 Max', ' 1707 Sum', ' 952458 Ratio', '   0.21%)']", ,[' 123477  '],[' 7949    '],[' 115348  '],[' 52290   '],"[' 153797   (Atom=Atom', ' 40170 Body=Body', ' 26556 Other', ' 87071)']",[' Yes'],"[' 10654    (Eliminated', '    0 Frozen', ' 10654)']","[' 5447     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.39623'],[' 0'], ,[' 432.647'],[' 0'],[' 31.6725'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.50688e+09'],[' 1.26162e+09'],[' 0'],[' 1.83684e+10'],[' 0'],[' 0'],[' 1119 '],[' 2119 '],[' 3095 '],[' 3 '],[' 0 ']
Solving...,TA69, , , , ,[' 1'],[' 5085+'],[' 2546'],"[' 1003.895s (Solving', ' 988.36s 1st Model', ' 625.00s Unsat', ' 0.00s)']",[' 1000.875s'], ,[' 429873373'],"[' 8268413  (Analyzed', ' 7588354)']","[' 18998    (Average', ' 399.43 Last', ' 309942)']",[' 4859.0  '],"[' 2546     (Average Length', ' 1319.85 Splits', ' 0)']","[' 7588354  (Deleted', ' 7510340)']","[' 418      (Ratio', '   0.01%)']","[' 43470    (Ratio', '   0.57%)']","[' 7588354  (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7588354  (Average', ' 55.40 Max', ' 4668 Sum', ' 420362855)']","[' 7587708  (Average', ' 55.28 Max', ' 4636 Sum', ' 419467275 Ratio', '  99.79%)']","[' 646      (Average', ' 1386.35 Max', ' 1631 Sum', ' 895580 Ratio', '   0.21%)']", ,[' 123677  '],[' 8014    '],[' 115427  '],[' 52432   '],"[' 154340   (Atom=Atom', ' 40285 Body=Body', ' 26751 Other', ' 87304)']",[' Yes'],"[' 10619    (Eliminated', '    0 Frozen', ' 10619)']","[' 6320     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.43544'],[' 0'], ,[' 439.552'],[' 0'],[' 29.9254'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.44819e+09'],[' 1.22641e+09'],[' 0'],[' 1.96013e+10'],[' 0'],[' 0'],[' 1369 '],[' 2443 '],[' 3404 '],[' 3 '],[' 0 ']
Solving...,TA70, , , , ,[' 1'],[' 5187+'],[' 2597'],"[' 1003.792s (Solving', ' 988.79s 1st Model', ' 419.37s Unsat', ' 0.00s)']",[' 1000.781s'], ,[' 386189309'],"[' 10539633 (Analyzed', ' 9871842)']","[' 23595    (Average', ' 418.39 Last', ' 325454)']",[' 4837.1  '],"[' 2597     (Average Length', ' 1338.19 Splits', ' 0)']","[' 9871842  (Deleted', ' 9764726)']","[' 451      (Ratio', '   0.00%)']","[' 37069    (Ratio', '   0.38%)']","[' 9871842  (Average Length', '   14.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9871842  (Average', ' 38.15 Max', ' 4642 Sum', ' 376585761)']","[' 9871252  (Average', ' 38.06 Max', ' 4642 Sum', ' 375700231 Ratio', '  99.76%)']","[' 590      (Average', ' 1500.90 Max', ' 1667 Sum', ' 885530 Ratio', '   0.24%)']", ,[' 123460  '],[' 7984    '],[' 115280  '],[' 52382   '],"[' 154057   (Atom=Atom', ' 40216 Body=Body', ' 26661 Other', ' 87180)']",[' Yes'],"[' 10679    (Eliminated', '    0 Frozen', ' 10679)']","[' 5689     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.30208'],[' 0'], ,[' 516.062'],[' 0'],[' 28.8533'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.20301e+09'],[' 1.01539e+09'],[' 0'],[' 2.56972e+10'],[' 0'],[' 0'],[' 1202 '],[' 2491 '],[' 3476 '],[' 3 '],[' 0 ']
