Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , , ,[' 1'],[' 2825+'],[' 1417'],"[' 1001.747s (Solving', ' 995.62s 1st Model', ' 22.37s Unsat', ' 0.00s)']",[' 994.703s'], ,[' 149468723'],"[' 31404323 (Analyzed', ' 31218502)']","[' 56804    (Average', ' 549.58 Last', ' 249785)']",[' 2534.4  '],"[' 1417     (Average Length', ' 758.72 Splits', ' 0)']","[' 31218502 (Deleted', ' 30880505)']","[' 163      (Ratio', '   0.00%)']","[' 15776    (Ratio', '   0.05%)']","[' 31218502 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 31218502 (Average', '  4.68 Max', ' 3199 Sum', ' 146156603)']","[' 31218006 (Average', '  4.67 Max', ' 3199 Sum', ' 145756408 Ratio', '  99.73%)']","[' 496      (Average', ' 806.84 Max', ' 1006 Sum', ' 400195 Ratio', '   0.27%)']", ,[' 80949   '],[' 4471    '],[' 74620   '],[' 31904   '],"[' 88667    (Atom=Atom', ' 24000 Body=Body', ' 15523 Other', ' 49144)']",[' Yes'],"[' 6121     (Eliminated', '    0 Frozen', ' 6121)']","[' 2742     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.29966'],[' 0'], ,[' 652.858'],[' 0'],[' 20.9539'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.15725e+08'],[' 2.84968e+08'],[' 0'],[' 3.61317e+10'],[' 0'],[' 0'],[' 948 '],[' 1614 '],[' 2368 '],[' 2976 '],[' 4 '],[' 0 ']
Solving...,TA52, , , , ,[' 1'],[' 2675+'],[' 1342'],"[' 1001.604s (Solving', ' 995.90s 1st Model', ' 7.22s Unsat', ' 0.00s)']",[' 995.797s'], ,[' 166209777'],"[' 27821362 (Analyzed', ' 27690967)']","[' 48197    (Average', ' 574.54 Last', ' 60580)']",[' 2455.1  '],"[' 1342     (Average Length', ' 722.40 Splits', ' 0)']","[' 27690967 (Deleted', ' 27451871)']","[' 203      (Ratio', '   0.00%)']","[' 16441    (Ratio', '   0.06%)']","[' 27690967 (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27690967 (Average', '  5.89 Max', ' 2830 Sum', ' 163112393)']","[' 27690429 (Average', '  5.88 Max', ' 2830 Sum', ' 162688965 Ratio', '  99.74%)']","[' 538      (Average', ' 787.04 Max', ' 950 Sum', ' 423428 Ratio', '   0.26%)']", ,[' 80600   '],[' 4483    '],[' 74208   '],[' 31818   '],"[' 88687    (Atom=Atom', ' 23973 Body=Body', ' 15559 Other', ' 49155)']",[' Yes'],"[' 6050     (Eliminated', '    0 Frozen', ' 6050)']","[' 3166     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.24379'],[' 0'], ,[' 659.149'],[' 0'],[' 22.5446'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.85988e+08'],[' 3.49434e+08'],[' 0'],[' 4.06636e+10'],[' 0'],[' 0'],[' 921 '],[' 1794 '],[' 2534 '],[' 3145 '],[' 4 '],[' 0 ']
Solving...,TA53, , , , , ,[' 2941'],[' 1475'],"[' 814.288s (Solving', ' 808.39s 1st Model', ' 13.91s Unsat', ' 49.02s)']",[' 811.594s'], ,[' 121525975'],"[' 33795427 (Analyzed', ' 33613235)']","[' 61717    (Average', ' 544.63 Last', ' 61380)']",[' 2548.0  '],"[' 1475     (Average Length', ' 781.95 Splits', ' 0)']","[' 33613235 (Deleted', ' 33208421)']","[' 135      (Ratio', '   0.00%)']","[' 14900    (Ratio', '   0.04%)']","[' 33613235 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 33613235 (Average', '  3.52 Max', ' 2639 Sum', ' 118185580)']","[' 33612654 (Average', '  3.50 Max', ' 2639 Sum', ' 117719509 Ratio', '  99.61%)']","[' 581      (Average', ' 802.19 Max', ' 1003 Sum', ' 466071 Ratio', '   0.39%)']", ,[' 81022   '],[' 4456    '],[' 74659   '],[' 31992   '],"[' 88639    (Atom=Atom', ' 23998 Body=Body', ' 15478 Other', ' 49163)']",[' Yes'],"[' 6158     (Eliminated', '    0 Frozen', ' 6158)']","[' 2759     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.2896'],[' 0'], ,[' 517.407'],[' 0'],[' 16.5841'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.09213e+08'],[' 1.98508e+08'],[' 0'],[' 3.18498e+10'],[' 0'],[' 0'],[' 870 '],[' 1597 '],[' 2304 '],[' 2905 '],[' 3 '],[' 1 ']
Solving...,TA54, , , , ,[' 1'],[' 2661+'],[' 1335'],"[' 863.269s (Solving', ' 857.84s 1st Model', ' 8.93s Unsat', ' 345.81s)']",[' 859.734s'], ,[' 103574248'],"[' 35735955 (Analyzed', ' 35555484)']","[' 65089    (Average', ' 546.26 Last', ' 134288)']",[' 2559.9  '],"[' 1335     (Average Length', ' 721.03 Splits', ' 0)']","[' 35555484 (Deleted', ' 35107867)']","[' 80       (Ratio', '   0.00%)']","[' 12270    (Ratio', '   0.03%)']","[' 35555484 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 35555484 (Average', '  2.82 Max', ' 3125 Sum', ' 100393692)']","[' 35554892 (Average', '  2.81 Max', ' 2751 Sum', ' 99938942 Ratio', '  99.55%)']","[' 592      (Average', ' 768.16 Max', ' 923 Sum', ' 454750 Ratio', '   0.45%)']", ,[' 80423   '],[' 4463    '],[' 74141   '],[' 31623   '],"[' 88283    (Atom=Atom', ' 23886 Body=Body', ' 15499 Other', ' 48898)']",[' Yes'],"[' 6028     (Eliminated', '    0 Frozen', ' 6028)']","[' 2254     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.15214'],[' 0'], ,[' 567.419'],[' 0'],[' 16.0204'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.53186e+08'],[' 1.50088e+08'],[' 0'],[' 3.62393e+10'],[' 0'],[' 0'],[' 971 '],[' 1668 '],[' 2305 '],[' 2916 '],[' 2 '],[' 2 ']
Solving...,TA55, , , , ,[' 1'],[' 2827+'],[' 1418'],"[' 1001.731s (Solving', ' 995.78s 1st Model', ' 13.22s Unsat', ' 0.00s)']",[' 998.578s'], ,[' 204445219'],"[' 27025696 (Analyzed', ' 26902262)']","[' 48167    (Average', ' 558.52 Last', ' 328750)']",[' 2386.2  '],"[' 1418     (Average Length', ' 756.04 Splits', ' 0)']","[' 26902262 (Deleted', ' 26628981)']","[' 315      (Ratio', '   0.00%)']","[' 20625    (Ratio', '   0.08%)']","[' 26902262 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26902262 (Average', '  7.49 Max', ' 2191 Sum', ' 201419452)']","[' 26901697 (Average', '  7.47 Max', ' 2191 Sum', ' 200961905 Ratio', '  99.77%)']","[' 565      (Average', ' 809.82 Max', ' 975 Sum', ' 457547 Ratio', '   0.23%)']", ,[' 80961   '],[' 4436    '],[' 74509   '],[' 31911   '],"[' 88134    (Atom=Atom', ' 23861 Body=Body', ' 15418 Other', ' 48855)']",[' Yes'],"[' 6077     (Eliminated', '    0 Frozen', ' 6077)']","[' 3362     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.26597'],[' 0'], ,[' 625.516'],[' 0'],[' 22.8387'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.42535e+08'],[' 4.76126e+08'],[' 0'],[' 3.54768e+10'],[' 0'],[' 0'],[' 849 '],[' 1568 '],[' 2341 '],[' 2942 '],[' 4 '],[' 0 ']
Solving...,TA56, , , , ,[' 1'],[' 2389+'],[' 1199'],"[' 1001.448s (Solving', ' 996.49s 1st Model', ' 10.03s Unsat', ' 0.00s)']",[' 998.297s'], ,[' 149253993'],"[' 40596176 (Analyzed', ' 40464112)']","[' 71425    (Average', ' 566.53 Last', ' 222050)']",[' 2554.4  '],"[' 1199     (Average Length', ' 659.14 Splits', ' 0)']","[' 40464112 (Deleted', ' 40017931)']","[' 139      (Ratio', '   0.00%)']","[' 14145    (Ratio', '   0.03%)']","[' 40464112 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 40464112 (Average', '  3.61 Max', ' 2989 Sum', ' 146020372)']","[' 40463539 (Average', '  3.60 Max', ' 2989 Sum', ' 145619497 Ratio', '  99.73%)']","[' 573      (Average', ' 699.61 Max', ' 836 Sum', ' 400875 Ratio', '   0.27%)']", ,[' 80094   '],[' 4426    '],[' 73652   '],[' 31402   '],"[' 87335    (Atom=Atom', ' 23602 Body=Body', ' 15388 Other', ' 48345)']",[' Yes'],"[' 5888     (Eliminated', '    0 Frozen', ' 5888)']","[' 2077     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.08228'],[' 0'], ,[' 659.008'],[' 0'],[' 18.5105'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.59887e+08'],[' 2.30699e+08'],[' 0'],[' 4.07835e+10'],[' 0'],[' 0'],[' 951 '],[' 1800 '],[' 2474 '],[' 3070 '],[' 4 '],[' 0 ']
Solving...,TA57, , , , ,[' 1'],[' 2491+'],[' 1250'],"[' 1001.642s (Solving', ' 996.20s 1st Model', ' 11.45s Unsat', ' 0.00s)']",[' 996.578s'], ,[' 182883404'],"[' 31802307 (Analyzed', ' 31629690)']","[' 56324    (Average', ' 561.57 Last', ' 73986)']",[' 2444.2  '],"[' 1250     (Average Length', ' 685.53 Splits', ' 0)']","[' 31629690 (Deleted', ' 31303177)']","[' 189      (Ratio', '   0.00%)']","[' 17000    (Ratio', '   0.05%)']","[' 31629690 (Average Length', '   13.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 31629690 (Average', '  5.68 Max', ' 3151 Sum', ' 179680169)']","[' 31629199 (Average', '  5.67 Max', ' 2451 Sum', ' 179322658 Ratio', '  99.80%)']","[' 491      (Average', ' 728.13 Max', ' 879 Sum', ' 357511 Ratio', '   0.20%)']", ,[' 80303   '],[' 4450    '],[' 73948   '],[' 31497   '],"[' 87888    (Atom=Atom', ' 23749 Body=Body', ' 15460 Other', ' 48679)']",[' Yes'],"[' 5945     (Eliminated', '    0 Frozen', ' 5945)']","[' 3187     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.20339'],[' 0'], ,[' 627.113'],[' 0'],[' 21.0809'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.17912e+08'],[' 3.6892e+08'],[' 0'],[' 3.45255e+10'],[' 0'],[' 0'],[' 1052 '],[' 1829 '],[' 2571 '],[' 3173 '],[' 4 '],[' 0 ']
Solving...,TA58, , , , ,[' 1'],[' 2553+'],[' 1281'],"[' 1001.723s (Solving', ' 996.13s 1st Model', ' 7.64s Unsat', ' 0.00s)']",[' 994.047s'], ,[' 140881152'],"[' 38049815 (Analyzed', ' 37856692)']","[' 64006    (Average', ' 591.46 Last', ' 23838)']",[' 2597.9  '],"[' 1281     (Average Length', ' 698.27 Splits', ' 0)']","[' 37856692 (Deleted', ' 37490104)']","[' 125      (Ratio', '   0.00%)']","[' 13463    (Ratio', '   0.04%)']","[' 37856692 (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 37856692 (Average', '  3.63 Max', ' 3138 Sum', ' 137499131)']","[' 37856152 (Average', '  3.62 Max', ' 3138 Sum', ' 137097858 Ratio', '  99.71%)']","[' 540      (Average', ' 743.10 Max', ' 897 Sum', ' 401273 Ratio', '   0.29%)']", ,[' 80677   '],[' 4474    '],[' 74294   '],[' 31732   '],"[' 88288    (Atom=Atom', ' 23876 Body=Body', ' 15532 Other', ' 48880)']",[' Yes'],"[' 5997     (Eliminated', '    0 Frozen', ' 5997)']","[' 2038     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.16974'],[' 0'], ,[' 632.695'],[' 0'],[' 16.8068'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.50372e+08'],[' 2.23759e+08'],[' 0'],[' 3.60747e+10'],[' 0'],[' 0'],[' 960 '],[' 1674 '],[' 2567 '],[' 3169 '],[' 4 '],[' 0 ']
Solving...,TA59, , , , ,[' 1'],[' 2825+'],[' 1417'],"[' 1001.693s (Solving', ' 995.81s 1st Model', ' 46.23s Unsat', ' 0.00s)']",[' 997.953s'], ,[' 156866944'],"[' 32222737 (Analyzed', ' 32069685)']","[' 58415    (Average', ' 549.00 Last', ' 400352)']",[' 2441.0  '],"[' 1417     (Average Length', ' 771.87 Splits', ' 0)']","[' 32069685 (Deleted', ' 31700187)']","[' 177      (Ratio', '   0.00%)']","[' 16788    (Ratio', '   0.05%)']","[' 32069685 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 32069685 (Average', '  4.80 Max', ' 2870 Sum', ' 153809841)']","[' 32069155 (Average', '  4.78 Max', ' 2870 Sum', ' 153381213 Ratio', '  99.72%)']","[' 530      (Average', ' 808.73 Max', ' 1029 Sum', ' 428628 Ratio', '   0.28%)']", ,[' 80407   '],[' 4393    '],[' 74122   '],[' 31560   '],"[' 87466    (Atom=Atom', ' 23688 Body=Body', ' 15289 Other', ' 48489)']",[' Yes'],"[' 6062     (Eliminated', '    0 Frozen', ' 6062)']","[' 2995     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.24509'],[' 0'], ,[' 661.268'],[' 0'],[' 22.6143'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.48912e+08'],[' 3.06142e+08'],[' 0'],[' 3.92386e+10'],[' 0'],[' 0'],[' 819 '],[' 1461 '],[' 2274 '],[' 2924 '],[' 4 '],[' 0 ']
Solving...,TA60, , , , ,[' 1'],[' 2605+'],[' 1307'],"[' 1001.579s (Solving', ' 996.29s 1st Model', ' 7.59s Unsat', ' 0.00s)']",[' 999.000s'], ,[' 172219842'],"[' 31063086 (Analyzed', ' 30944438)']","[' 54458    (Average', ' 568.23 Last', ' 94743)']",[' 2354.7  '],"[' 1307     (Average Length', ' 706.59 Splits', ' 0)']","[' 30944438 (Deleted', ' 30649334)']","[' 242      (Ratio', '   0.00%)']","[' 18149    (Ratio', '   0.06%)']","[' 30944438 (Average Length', '   14.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 30944438 (Average', '  5.47 Max', ' 2780 Sum', ' 169216585)']","[' 30943914 (Average', '  5.45 Max', ' 2780 Sum', ' 168796358 Ratio', '  99.75%)']","[' 524      (Average', ' 801.96 Max', ' 950 Sum', ' 420227 Ratio', '   0.25%)']", ,[' 80713   '],[' 4450    '],[' 74223   '],[' 31765   '],"[' 88041    (Atom=Atom', ' 23806 Body=Body', ' 15460 Other', ' 48775)']",[' Yes'],"[' 5994     (Eliminated', '    0 Frozen', ' 5994)']","[' 3344     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.10213'],[' 0'], ,[' 658.553'],[' 0'],[' 21.893'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.85638e+08'],[' 3.41738e+08'],[' 0'],[' 3.96285e+10'],[' 0'],[' 0'],[' 887 '],[' 1728 '],[' 2464 '],[' 3035 '],[' 4 '],[' 0 ']
