Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , , ,[' 3375'],[' 1693'],"[' 666.629s (Solving', ' 658.86s 1st Model', ' 9.79s Unsat', ' 41.77s)']",[' 664.891s'], ,[' 65780189'],"[' 27807889 (Analyzed', ' 27628903)']","[' 51058    (Average', ' 541.13 Last', ' 67511)']",[' 2945.4  '],"[' 1693     (Average Length', ' 904.47 Splits', ' 0)']","[' 27628903 (Deleted', ' 27261679)']","[' 64       (Ratio', '   0.00%)']","[' 7021     (Ratio', '   0.03%)']","[' 27628903 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27628903 (Average', '  2.24 Max', ' 3454 Sum', ' 62000514)']","[' 27628310 (Average', '  2.23 Max', ' 3255 Sum', ' 61483961 Ratio', '  99.17%)']","[' 593      (Average', ' 871.08 Max', ' 1201 Sum', ' 516553 Ratio', '   0.83%)']", ,[' 97849   '],[' 4656    '],[' 90050   '],[' 36141   '],"[' 96632    (Atom=Atom', ' 26929 Body=Body', ' 16848 Other', ' 52855)']",[' Yes'],"[' 6765     (Eliminated', '    0 Frozen', ' 6765)']","[' 1186     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.73666'],[' 0'], ,[' 421.473'],[' 0'],[' 11.0921'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.68465e+08'],[' 9.07046e+07'],[' 0'],[' 2.50723e+10'],[' 0'],[' 0'],[' 754 '],[' 1419 '],[' 2106 '],[' 2724 '],[' 3196 '],[' 3 '],[' 2 ']
Solving...,TA62, , , , , ,[' 3237'],[' 1624'],"[' 647.490s (Solving', ' 640.43s 1st Model', ' 10.94s Unsat', ' 224.75s)']",[' 645.781s'], ,[' 120699542'],"[' 18742501 (Analyzed', ' 18552080)']","[' 35023    (Average', ' 529.71 Last', ' 106384)']",[' 2919.4  '],"[' 1624     (Average Length', ' 854.77 Splits', ' 0)']","[' 18552080 (Deleted', ' 18325141)']","[' 167      (Ratio', '   0.00%)']","[' 9812     (Ratio', '   0.05%)']","[' 18552080 (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18552080 (Average', '  6.31 Max', ' 3623 Sum', ' 117100532)']","[' 18551454 (Average', '  6.28 Max', ' 3097 Sum', ' 116559231 Ratio', '  99.54%)']","[' 626      (Average', ' 864.70 Max', ' 1145 Sum', ' 541301 Ratio', '   0.46%)']", ,[' 97454   '],[' 4656    '],[' 89705   '],[' 35875   '],"[' 96430    (Atom=Atom', ' 26860 Body=Body', ' 16848 Other', ' 52722)']",[' Yes'],"[' 6665     (Eliminated', '    0 Frozen', ' 6665)']","[' 1821     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.55903'],[' 0'], ,[' 425.72'],[' 0'],[' 14.2386'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.16632e+08'],[' 2.23421e+08'],[' 0'],[' 2.65129e+10'],[' 0'],[' 0'],[' 831 '],[' 1555 '],[' 2133 '],[' 2781 '],[' 3289 '],[' 2 '],[' 3 ']
Solving...,TA63, , , , , ,[' 3593'],[' 1802'],"[' 330.533s (Solving', ' 322.22s 1st Model', ' 11.29s Unsat', ' 87.55s)']",[' 328.938s'], ,[' 45749314'],"[' 15242538 (Analyzed', ' 15038256)']","[' 28245    (Average', ' 532.42 Last', ' 121024)']",[' 3008.3  '],"[' 1802     (Average Length', ' 935.91 Splits', ' 0)']","[' 15038256 (Deleted', ' 14816312)']","[' 81       (Ratio', '   0.00%)']","[' 7273     (Ratio', '   0.05%)']","[' 15038256 (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15038256 (Average', '  2.79 Max', ' 4167 Sum', ' 41919619)']","[' 15037653 (Average', '  2.75 Max', ' 4167 Sum', ' 41379511 Ratio', '  98.71%)']","[' 603      (Average', ' 895.70 Max', ' 1192 Sum', ' 540108 Ratio', '   1.29%)']", ,[' 97958   '],[' 4650    '],[' 90252   '],[' 36232   '],"[' 96878    (Atom=Atom', ' 27014 Body=Body', ' 16830 Other', ' 53034)']",[' Yes'],"[' 6826     (Eliminated', '    0 Frozen', ' 6826)']","[' 1392     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.78687'],[' 0'], ,[' 178.885'],[' 0'],[' 5.73716'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.25604e+08'],[' 7.44481e+07'],[' 0'],[' 1.06125e+10'],[' 0'],[' 0'],[' 779 '],[' 1353 '],[' 1921 '],[' 2486 '],[' 2999 '],[' 1 '],[' 4 ']
Solving...,TA64, , , , , ,[' 2955'],[' 1483'],"[' 668.560s (Solving', ' 661.79s 1st Model', ' 7.90s Unsat', ' 44.77s)']",[' 666.703s'], ,[' 76712141'],"[' 32835098 (Analyzed', ' 32617598)']","[' 57317    (Average', ' 569.07 Last', ' 248076)']",[' 3130.1  '],"[' 1483     (Average Length', ' 803.67 Splits', ' 0)']","[' 32617598 (Deleted', ' 32168682)']","[' 45       (Ratio', '   0.00%)']","[' 5030     (Ratio', '   0.02%)']","[' 32617598 (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 32617598 (Average', '  2.23 Max', ' 4316 Sum', ' 72694874)']","[' 32616975 (Average', '  2.21 Max', ' 3508 Sum', ' 72237539 Ratio', '  99.37%)']","[' 623      (Average', ' 734.09 Max', ' 1047 Sum', ' 457335 Ratio', '   0.63%)']", ,[' 96962   '],[' 4690    '],[' 89316   '],[' 35569   '],"[' 96515    (Atom=Atom', ' 26855 Body=Body', ' 16950 Other', ' 52710)']",[' Yes'],"[' 6563     (Eliminated', '    0 Frozen', ' 6563)']","[' 747      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.50808'],[' 0'], ,[' 415.279'],[' 0'],[' 9.7094'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.90282e+08'],[' 9.90898e+07'],[' 0'],[' 2.73616e+10'],[' 0'],[' 0'],[' 1092 '],[' 1690 '],[' 2147 '],[' 2702 '],[' 3138 '],[' 3 '],[' 2 ']
Solving...,TA65, , , , ,[' 1'],[' 3173+'],[' 1592'],"[' 731.349s (Solving', ' 724.37s 1st Model', ' 10.12s Unsat', ' 113.29s)']",[' 729.750s'], ,[' 83928942'],"[' 26270200 (Analyzed', ' 26109268)']","[' 48959    (Average', ' 533.29 Last', ' 25020)']",[' 2916.3  '],"[' 1592     (Average Length', ' 854.75 Splits', ' 0)']","[' 26109268 (Deleted', ' 25758556)']","[' 86       (Ratio', '   0.00%)']","[' 8489     (Ratio', '   0.03%)']","[' 26109268 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26109268 (Average', '  3.07 Max', ' 3965 Sum', ' 80270281)']","[' 26108730 (Average', '  3.06 Max', ' 3414 Sum', ' 79792634 Ratio', '  99.40%)']","[' 538      (Average', ' 887.82 Max', ' 1173 Sum', ' 477647 Ratio', '   0.60%)']", ,[' 97699   '],[' 4704    '],[' 89942   '],[' 36055   '],"[' 97018    (Atom=Atom', ' 27020 Body=Body', ' 16992 Other', ' 53006)']",[' Yes'],"[' 6708     (Eliminated', '    0 Frozen', ' 6708)']","[' 1555     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.52684'],[' 0'], ,[' 503.065'],[' 0'],[' 13.0332'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.12632e+08'],[' 1.31559e+08'],[' 0'],[' 3.24594e+10'],[' 0'],[' 0'],[' 750 '],[' 1333 '],[' 1930 '],[' 2675 '],[' 3147 '],[' 3 '],[' 2 ']
Solving...,TA66, , , , , ,[' 3309'],[' 1660'],"[' 385.785s (Solving', ' 378.78s 1st Model', ' 9.61s Unsat', ' 152.17s)']",[' 384.328s'], ,[' 44568520'],"[' 13556758 (Analyzed', ' 13341289)']","[' 26169    (Average', ' 509.81 Last', ' 56098)']",[' 2999.0  '],"[' 1660     (Average Length', ' 873.74 Splits', ' 0)']","[' 13341289 (Deleted', ' 13174893)']","[' 58       (Ratio', '   0.00%)']","[' 5147     (Ratio', '   0.04%)']","[' 13341289 (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13341289 (Average', '  3.07 Max', ' 4332 Sum', ' 40996030)']","[' 13340718 (Average', '  3.03 Max', ' 3817 Sum', ' 40464060 Ratio', '  98.70%)']","[' 571      (Average', ' 931.65 Max', ' 1193 Sum', ' 531970 Ratio', '   1.30%)']", ,[' 97382   '],[' 4651    '],[' 89695   '],[' 35860   '],"[' 96451    (Atom=Atom', ' 26876 Body=Body', ' 16833 Other', ' 52742)']",[' Yes'],"[' 6685     (Eliminated', '    0 Frozen', ' 6685)']","[' 974      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.53572'],[' 0'], ,[' 257.06'],[' 0'],[' 6.04008'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.04134e+08'],[' 6.35969e+07'],[' 0'],[' 1.6771e+10'],[' 0'],[' 0'],[' 812 '],[' 1423 '],[' 1978 '],[' 2667 '],[' 3177 '],[' 1 '],[' 4 ']
Solving...,TA67, , , , , ,[' 3639'],[' 1825'],"[' 550.499s (Solving', ' 542.17s 1st Model', ' 9.91s Unsat', ' 118.99s)']",[' 548.563s'], ,[' 70919329'],"[' 22689828 (Analyzed', ' 22486229)']","[' 40944    (Average', ' 549.19 Last', ' 15295)']",[' 2981.1  '],"[' 1825     (Average Length', ' 949.62 Splits', ' 0)']","[' 22486229 (Deleted', ' 22198640)']","[' 104      (Ratio', '   0.00%)']","[' 8211     (Ratio', '   0.04%)']","[' 22486229 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22486229 (Average', '  2.98 Max', ' 4130 Sum', ' 67004806)']","[' 22485580 (Average', '  2.95 Max', ' 4130 Sum', ' 66428215 Ratio', '  99.14%)']","[' 649      (Average', ' 888.43 Max', ' 1265 Sum', ' 576591 Ratio', '   0.86%)']", ,[' 98002   '],[' 4741    '],[' 90504   '],[' 36360   '],"[' 98253    (Atom=Atom', ' 27401 Body=Body', ' 17103 Other', ' 53749)']",[' Yes'],"[' 6930     (Eliminated', '    0 Frozen', ' 6930)']","[' 1666     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.8456'],[' 0'], ,[' 341.624'],[' 0'],[' 9.29772'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.7587e+08'],[' 1.06236e+08'],[' 0'],[' 2.00691e+10'],[' 0'],[' 0'],[' 876 '],[' 1473 '],[' 2119 '],[' 2685 '],[' 3222 '],[' 2 '],[' 3 ']
Solving...,TA68, , , , , ,[' 3347'],[' 1679'],"[' 377.067s (Solving', ' 369.75s 1st Model', ' 30.78s Unsat', ' 117.64s)']",[' 375.922s'], ,[' 45004595'],"[' 15165204 (Analyzed', ' 14915292)']","[' 28820    (Average', ' 517.53 Last', ' 137554)']",[' 2937.3  '],"[' 1679     (Average Length', ' 883.11 Splits', ' 0)']","[' 14915292 (Deleted', ' 14663670)']","[' 82       (Ratio', '   0.00%)']","[' 7505     (Ratio', '   0.05%)']","[' 14915292 (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14915292 (Average', '  2.78 Max', ' 3233 Sum', ' 41455919)']","[' 14914678 (Average', '  2.74 Max', ' 3139 Sum', ' 40913750 Ratio', '  98.69%)']","[' 614      (Average', ' 883.01 Max', ' 1203 Sum', ' 542169 Ratio', '   1.31%)']", ,[' 97177   '],[' 4623    '],[' 89503   '],[' 35744   '],"[' 96054    (Atom=Atom', ' 26783 Body=Body', ' 16749 Other', ' 52522)']",[' Yes'],"[' 6668     (Eliminated', '    0 Frozen', ' 6668)']","[' 1332     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.59342'],[' 0'], ,[' 233.272'],[' 0'],[' 7.70015'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.10207e+08'],[' 6.55035e+07'],[' 0'],[' 1.4226e+10'],[' 0'],[' 0'],[' 781 '],[' 1348 '],[' 1928 '],[' 2484 '],[' 3046 '],[' 1 '],[' 4 ']
Solving...,TA69, , , , ,[' 1'],[' 3239+'],[' 1625'],"[' 810.142s (Solving', ' 803.15s 1st Model', ' 7.06s Unsat', ' 1.29s)']",[' 808.938s'], ,[' 84411023'],"[' 28763426 (Analyzed', ' 28606961)']","[' 51523    (Average', ' 555.23 Last', ' 71933)']",[' 2913.5  '],"[' 1625     (Average Length', ' 866.73 Splits', ' 0)']","[' 28606961 (Deleted', ' 28266224)']","[' 92       (Ratio', '   0.00%)']","[' 7620     (Ratio', '   0.03%)']","[' 28606961 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 28606961 (Average', '  2.82 Max', ' 4049 Sum', ' 80717230)']","[' 28606363 (Average', '  2.80 Max', ' 4049 Sum', ' 80161110 Ratio', '  99.31%)']","[' 598      (Average', ' 929.97 Max', ' 1171 Sum', ' 556120 Ratio', '   0.69%)']", ,[' 97092   '],[' 4725    '],[' 89673   '],[' 35790   '],"[' 97453    (Atom=Atom', ' 27137 Body=Body', ' 17055 Other', ' 53261)']",[' Yes'],"[' 6742     (Eliminated', '    0 Frozen', ' 6742)']","[' 1358     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.57147'],[' 0'], ,[' 568.769'],[' 0'],[' 16.6743'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.14374e+08'],[' 1.28937e+08'],[' 0'],[' 3.71964e+10'],[' 0'],[' 0'],[' 978 '],[' 1720 '],[' 2254 '],[' 2904 '],[' 3427 '],[' 4 '],[' 1 ']
Solving...,TA70, , , , , ,[' 3151'],[' 1581'],"[' 637.028s (Solving', ' 630.27s 1st Model', ' 7.97s Unsat', ' 16.10s)']",[' 635.141s'], ,[' 82466203'],"[' 23981674 (Analyzed', ' 23747208)']","[' 42449    (Average', ' 559.43 Last', ' 27165)']",[' 2865.9  '],"[' 1581     (Average Length', ' 860.42 Splits', ' 0)']","[' 23747208 (Deleted', ' 23450094)']","[' 89       (Ratio', '   0.00%)']","[' 7509     (Ratio', '   0.03%)']","[' 23747208 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23747208 (Average', '  3.33 Max', ' 4068 Sum', ' 79000485)']","[' 23746587 (Average', '  3.30 Max', ' 3257 Sum', ' 78425916 Ratio', '  99.27%)']","[' 621      (Average', ' 925.23 Max', ' 1159 Sum', ' 574569 Ratio', '   0.73%)']", ,[' 96699   '],[' 4712    '],[' 89106   '],[' 35768   '],"[' 97158    (Atom=Atom', ' 27041 Body=Body', ' 17016 Other', ' 53101)']",[' Yes'],"[' 6724     (Eliminated', '    0 Frozen', ' 6724)']","[' 1483     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.48942'],[' 0'], ,[' 421.157'],[' 0'],[' 11.8274'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.09564e+08'],[' 1.32886e+08'],[' 0'],[' 2.5239e+10'],[' 0'],[' 0'],[' 880 '],[' 1536 '],[' 2396 '],[' 3133 '],[' 3537 '],[' 3 '],[' 2 ']
