Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , , , ,[' 1675'],[' 844'],"[' 345.462s (Solving', ' 342.73s 1st Model', ' 1.92s Unsat', ' 2.58s)']",[' 340.125s'], ,[' 35527416'],"[' 20083676 (Analyzed', ' 20038148)']","[' 37467    (Average', ' 534.82 Last', ' 1807)']",[' 1904.5  '],"[' 844      (Average Length', ' 478.80 Splits', ' 0)']","[' 20038148 (Deleted', ' 19690546)']","[' 23       (Ratio', '   0.00%)']","[' 1427     (Ratio', '   0.01%)']","[' 20038148 (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20038148 (Average', '  1.70 Max', ' 2805 Sum', ' 33990812)']","[' 20037746 (Average', '  1.69 Max', ' 2805 Sum', ' 33805965 Ratio', '  99.46%)']","[' 402      (Average', ' 459.82 Max', ' 661 Sum', ' 184847 Ratio', '   0.54%)']", ,[' 67110   '],[' 2877    '],[' 61883   '],[' 23101   '],"[' 61455    (Atom=Atom', ' 17483 Body=Body', ' 10831 Other', ' 33141)']",[' Yes'],"[' 4145     (Eliminated', '    0 Frozen', ' 4145)']","[' 176      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.576425'],[' 0'], ,[' 191.438'],[' 0'],[' 4.32684'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.81048e+07'],[' 3.61359e+07'],[' 0'],[' 1.03966e+10'],[' 0'],[' 0'],[' 761 '],[' 1328 '],[' 1728 '],[' 2260 '],[' 2714 '],[' 3058 '],[' 2 '],[' 4 ']
Solving...,TA52, , , , ,[' 1'],[' 1615+'],[' 814'],"[' 792.001s (Solving', ' 789.09s 1st Model', ' 1.80s Unsat', ' 120.25s)']",[' 786.328s'], ,[' 60036886'],"[' 35737924 (Analyzed', ' 35694613)']","[' 66777    (Average', ' 534.53 Last', ' 2879)']",[' 1761.0  '],"[' 814      (Average Length', ' 473.37 Splits', ' 0)']","[' 35694613 (Deleted', ' 35232928)']","[' 11       (Ratio', '   0.00%)']","[' 2632     (Ratio', '   0.01%)']","[' 35694613 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 35694613 (Average', '  1.63 Max', ' 2726 Sum', ' 58357767)']","[' 35694144 (Average', '  1.63 Max', ' 2128 Sum', ' 58130482 Ratio', '  99.61%)']","[' 469      (Average', ' 484.62 Max', ' 664 Sum', ' 227285 Ratio', '   0.39%)']", ,[' 67476   '],[' 2928    '],[' 62197   '],[' 23311   '],"[' 62126    (Atom=Atom', ' 17657 Body=Body', ' 10984 Other', ' 33485)']",[' Yes'],"[' 4180     (Eliminated', '    0 Frozen', ' 4180)']","[' 482      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.570786'],[' 0'], ,[' 530.732'],[' 0'],[' 13.8635'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.57614e+08'],[' 7.2179e+07'],[' 0'],[' 3.49308e+10'],[' 0'],[' 0'],[' 758 '],[' 1271 '],[' 1840 '],[' 2320 '],[' 2846 '],[' 3124 '],[' 4 '],[' 2 ']
Solving...,TA53, , , , ,[' 1'],[' 1793+'],[' 903'],"[' 521.569s (Solving', ' 518.67s 1st Model', ' 2.04s Unsat', ' 179.87s)']",[' 520.922s'], ,[' 41873566'],"[' 25214004 (Analyzed', ' 25151971)']","[' 47934    (Average', ' 524.72 Last', ' 1498)']",[' 1888.1  '],"[' 903      (Average Length', ' 508.48 Splits', ' 0)']","[' 25151971 (Deleted', ' 24873053)']","[' 22       (Ratio', '   0.00%)']","[' 2328     (Ratio', '   0.01%)']","[' 25151971 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25151971 (Average', '  1.60 Max', ' 2597 Sum', ' 40187010)']","[' 25151585 (Average', '  1.59 Max', ' 2597 Sum', ' 39985650 Ratio', '  99.50%)']","[' 386      (Average', ' 521.66 Max', ' 705 Sum', ' 201360 Ratio', '   0.50%)']", ,[' 67995   '],[' 2928    '],[' 62668   '],[' 23597   '],"[' 62427    (Atom=Atom', ' 17746 Body=Body', ' 10984 Other', ' 33697)']",[' Yes'],"[' 4266     (Eliminated', '    0 Frozen', ' 4266)']","[' 350      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.583098'],[' 0'], ,[' 352.177'],[' 0'],[' 6.34464'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.09727e+08'],[' 4.91476e+07'],[' 0'],[' 2.43747e+10'],[' 0'],[' 0'],[' 644 '],[' 1137 '],[' 1562 '],[' 2085 '],[' 2568 '],[' 2979 '],[' 2 '],[' 4 ']
Solving...,TA54, , , , , ,[' 1927'],[' 970'],"[' 45.201s (Solving', ' 42.18s 1st Model', ' 2.67s Unsat', ' 29.38s)']",[' 44.891s'], ,[' 6631012 '],"[' 2357712  (Analyzed', ' 2285116)']","[' 5133     (Average', ' 445.18 Last', ' 19942)']",[' 2077.2  '],"[' 970      (Average Length', ' 540.93 Splits', ' 0)']","[' 2285116  (Deleted', ' 2237531)']","[' 21       (Ratio', '   0.00%)']","[' 1148     (Ratio', '   0.05%)']","[' 2285116  (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2285116  (Average', '  2.25 Max', ' 2908 Sum', ' 5150796)']","[' 2284850  (Average', '  2.20 Max', ' 2509 Sum', ' 5026451 Ratio', '  97.59%)']","[' 266      (Average', ' 467.46 Max', ' 769 Sum', ' 124345 Ratio', '   2.41%)']", ,[' 67846   '],[' 2937    '],[' 62668   '],[' 23554   '],"[' 62753    (Atom=Atom', ' 17849 Body=Body', ' 11011 Other', ' 33893)']",[' Yes'],"[' 4323     (Eliminated', '    0 Frozen', ' 4323)']","[' 59       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.648986'],[' 0'], ,[' 18.5921'],[' 0'],[' 0.549754'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.45601e+07'],[' 8.42398e+06'],[' 0'],[' 1.18795e+09'],[' 0'],[' 0'],[' 729 '],[' 1178 '],[' 1650 '],[' 2084 '],[' 2501 '],[' 2914 '],[' 0 '],[' 6 ']
Solving...,TA55, , , , , ,[' 1823'],[' 918'],"[' 295.585s (Solving', ' 292.72s 1st Model', ' 1.93s Unsat', ' 116.11s)']",[' 295.000s'], ,[' 40640893'],"[' 20461105 (Analyzed', ' 20402668)']","[' 37391    (Average', ' 545.66 Last', ' 153726)']",[' 1753.0  '],"[' 918      (Average Length', ' 517.72 Splits', ' 0)']","[' 20402668 (Deleted', ' 20083015)']","[' 29       (Ratio', '   0.00%)']","[' 2448     (Ratio', '   0.01%)']","[' 20402668 (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20402668 (Average', '  1.92 Max', ' 2666 Sum', ' 39258111)']","[' 20402168 (Average', '  1.91 Max', ' 2294 Sum', ' 39002249 Ratio', '  99.35%)']","[' 500      (Average', ' 511.72 Max', ' 746 Sum', ' 255862 Ratio', '   0.65%)']", ,[' 67373   '],[' 2895    '],[' 62153   '],[' 23325   '],"[' 61989    (Atom=Atom', ' 17629 Body=Body', ' 10885 Other', ' 33475)']",[' Yes'],"[' 4237     (Eliminated', '    0 Frozen', ' 4237)']","[' 409      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.579475'],[' 0'], ,[' 154.778'],[' 0'],[' 4.79087'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.89043e+07'],[' 5.08954e+07'],[' 0'],[' 9.59454e+09'],[' 0'],[' 0'],[' 657 '],[' 1230 '],[' 1663 '],[' 2204 '],[' 2661 '],[' 3060 '],[' 1 '],[' 5 ']
Solving...,TA56, , , , , ,[' 1337'],[' 675'],"[' 381.175s (Solving', ' 379.02s 1st Model', ' 1.42s Unsat', ' 40.13s)']",[' 380.344s'], ,[' 34234132'],"[' 21153185 (Analyzed', ' 21109765)']","[' 39117    (Average', ' 539.66 Last', ' 5875)']",[' 1762.7  '],"[' 675      (Average Length', ' 398.02 Splits', ' 0)']","[' 21109765 (Deleted', ' 20866900)']","[' 33       (Ratio', '   0.00%)']","[' 1766     (Ratio', '   0.01%)']","[' 21109765 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21109765 (Average', '  1.56 Max', ' 2397 Sum', ' 32902207)']","[' 21109361 (Average', '  1.55 Max', ' 2304 Sum', ' 32742692 Ratio', '  99.52%)']","[' 404      (Average', ' 394.84 Max', ' 548 Sum', ' 159515 Ratio', '   0.48%)']", ,[' 67017   '],[' 2880    '],[' 61618   '],[' 22992   '],"[' 61009    (Atom=Atom', ' 17326 Body=Body', ' 10840 Other', ' 32843)']",[' Yes'],"[' 4011     (Eliminated', '    0 Frozen', ' 4011)']","[' 215      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.426856'],[' 0'], ,[' 240.253'],[' 0'],[' 5.9673'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.13824e+07'],[' 4.12942e+07'],[' 0'],[' 1.67737e+10'],[' 0'],[' 0'],[' 708 '],[' 1386 '],[' 1722 '],[' 2307 '],[' 2774 '],[' 3153 '],[' 2 '],[' 4 ']
Solving...,TA57, , , , , ,[' 1549'],[' 781'],"[' 200.538s (Solving', ' 197.99s 1st Model', ' 1.73s Unsat', ' 23.96s)']",[' 200.078s'], ,[' 16224869'],"[' 10498915 (Analyzed', ' 10439347)']","[' 20725    (Average', ' 503.71 Last', ' 160226)']",[' 1884.5  '],"[' 781      (Average Length', ' 461.57 Splits', ' 0)']","[' 10439347 (Deleted', ' 10298086)']","[' 26       (Ratio', '   0.00%)']","[' 1470     (Ratio', '   0.01%)']","[' 10439347 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10439347 (Average', '  1.43 Max', ' 2833 Sum', ' 14973954)']","[' 10438924 (Average', '  1.42 Max', ' 2530 Sum', ' 14789893 Ratio', '  98.77%)']","[' 423      (Average', ' 435.13 Max', ' 637 Sum', ' 184061 Ratio', '   1.23%)']", ,[' 67408   '],[' 2927    '],[' 62099   '],[' 23281   '],"[' 62011    (Atom=Atom', ' 17620 Body=Body', ' 10981 Other', ' 33410)']",[' Yes'],"[' 4158     (Eliminated', '    0 Frozen', ' 4158)']","[' 141      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.507902'],[' 0'], ,[' 128.199'],[' 0'],[' 1.97988'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.15541e+07'],[' 1.75485e+07'],[' 0'],[' 8.95387e+09'],[' 0'],[' 0'],[' 765 '],[' 1289 '],[' 1773 '],[' 2386 '],[' 2881 '],[' 3219 '],[' 1 '],[' 5 ']
Solving...,TA58, , , , , ,[' 1649'],[' 831'],"[' 179.140s (Solving', ' 176.50s 1st Model', ' 1.77s Unsat', ' 0.74s)']",[' 178.906s'], ,[' 23952433'],"[' 14275048 (Analyzed', ' 14222617)']","[' 24942    (Average', ' 570.23 Last', ' 736)']",[' 1888.8  '],"[' 831      (Average Length', ' 485.55 Splits', ' 0)']","[' 14222617 (Deleted', ' 14011344)']","[' 18       (Ratio', '   0.00%)']","[' 1257     (Ratio', '   0.01%)']","[' 14222617 (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14222617 (Average', '  1.59 Max', ' 2972 Sum', ' 22551471)']","[' 14222288 (Average', '  1.57 Max', ' 2396 Sum', ' 22395961 Ratio', '  99.31%)']","[' 329      (Average', ' 472.67 Max', ' 688 Sum', ' 155510 Ratio', '   0.69%)']", ,[' 67731   '],[' 2908    '],[' 62360   '],[' 23431   '],"[' 61910    (Atom=Atom', ' 17594 Body=Body', ' 10924 Other', ' 33392)']",[' Yes'],"[' 4182     (Eliminated', '    0 Frozen', ' 4182)']","[' 166      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.527402'],[' 0'], ,[' 78.8474'],[' 0'],[' 2.36197'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.70484e+07'],[' 3.24074e+07'],[' 0'],[' 3.95085e+09'],[' 0'],[' 0'],[' 645 '],[' 1141 '],[' 1679 '],[' 2233 '],[' 2761 '],[' 3171 '],[' 1 '],[' 5 ']
Solving...,TA59, , , , , ,[' 1923'],[' 968'],"[' 135.378s (Solving', ' 132.30s 1st Model', ' 2.21s Unsat', ' 120.14s)']",[' 135.234s'], ,[' 17580211'],"[' 8874219  (Analyzed', ' 8827772)']","[' 16930    (Average', ' 521.43 Last', ' 13269)']",[' 1909.8  '],"[' 968      (Average Length', ' 541.24 Splits', ' 0)']","[' 8827772  (Deleted', ' 8691326)']","[' 40       (Ratio', '   0.00%)']","[' 1762     (Ratio', '   0.02%)']","[' 8827772  (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8827772  (Average', '  1.84 Max', ' 2630 Sum', ' 16227559)']","[' 8827326  (Average', '  1.82 Max', ' 2201 Sum', ' 16023797 Ratio', '  98.74%)']","[' 446      (Average', ' 456.87 Max', ' 745 Sum', ' 203762 Ratio', '   1.26%)']", ,[' 67229   '],[' 2858    '],[' 62084   '],[' 23198   '],"[' 61559    (Atom=Atom', ' 17531 Body=Body', ' 10774 Other', ' 33254)']",[' Yes'],"[' 4240     (Eliminated', '    0 Frozen', ' 4240)']","[' 280      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.639092'],[' 0'], ,[' 64.3141'],[' 0'],[' 2.29838'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.75543e+07'],[' 2.5078e+07'],[' 0'],[' 3.25497e+09'],[' 0'],[' 0'],[' 614 '],[' 1086 '],[' 1563 '],[' 2041 '],[' 2517 '],[' 2935 '],[' 0 '],[' 6 ']
Solving...,TA60, , , , , ,[' 1721'],[' 867'],"[' 81.204s (Solving', ' 78.58s 1st Model', ' 1.79s Unsat', ' 68.52s)']",[' 80.844s'], ,[' 8174118 '],"[' 3702619  (Analyzed', ' 3629817)']","[' 8434     (Average', ' 430.38 Last', ' 36926)']",[' 1702.4  '],"[' 867      (Average Length', ' 491.78 Splits', ' 0)']","[' 3629817  (Deleted', ' 3557965)']","[' 29       (Ratio', '   0.00%)']","[' 1985     (Ratio', '   0.05%)']","[' 3629817  (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3629817  (Average', '  1.99 Max', ' 2791 Sum', ' 7228493)']","[' 3629337  (Average', '  1.92 Max', ' 2212 Sum', ' 6969891 Ratio', '  96.42%)']","[' 480      (Average', ' 538.75 Max', ' 731 Sum', ' 258602 Ratio', '   3.58%)']", ,[' 67827   '],[' 2923    '],[' 62458   '],[' 23531   '],"[' 62248    (Atom=Atom', ' 17690 Body=Body', ' 10969 Other', ' 33589)']",[' Yes'],"[' 4228     (Eliminated', '    0 Frozen', ' 4228)']","[' 280      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.521917'],[' 0'], ,[' 48.971'],[' 0'],[' 1.15882'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.98629e+07'],[' 1.05554e+07'],[' 0'],[' 3.29727e+09'],[' 0'],[' 0'],[' 683 '],[' 1172 '],[' 1697 '],[' 2232 '],[' 2689 '],[' 3019 '],[' 0 '],[' 6 ']
