Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , , ,[' 2051'],[' 1033'],"[' 26.743s (Solving', ' 22.85s 1st Model', ' 2.50s Unsat', ' 6.78s)']",[' 26.578s'], ,[' 4481872 '],"[' 672070   (Analyzed', ' 614950)']","[' 1792     (Average', ' 343.16 Last', ' 454)']",[' 2158.0  '],"[' 1033     (Average Length', ' 582.35 Splits', ' 0)']","[' 614950   (Deleted', ' 590932)']","[' 30       (Ratio', '   0.00%)']","[' 1123     (Ratio', '   0.18%)']","[' 614950   (Average Length', '   10.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 614950   (Average', '  4.86 Max', ' 3170 Sum', ' 2985824)']","[' 614565   (Average', '  4.54 Max', ' 3170 Sum', ' 2793905 Ratio', '  93.57%)']","[' 385      (Average', ' 498.49 Max', ' 834 Sum', ' 191919 Ratio', '   6.43%)']", ,[' 85253   '],[' 3261    '],[' 78766   '],[' 27923   '],"[' 72787    (Atom=Atom', ' 21093 Body=Body', ' 12763 Other', ' 38931)']",[' Yes'],"[' 4922     (Eliminated', '    0 Frozen', ' 4922)']","[' 114      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.82277'],[' 0'], ,[' 5.45629'],[' 0'],[' 0.301339'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.96351e+06'],[' 6.52896e+06'],[' 0'],[' 2.54381e+08'],[' 0'],[' 0'],[' 587 '],[' 1091 '],[' 1577 '],[' 2063 '],[' 2491 '],[' 2920 '],[' 3265 '],[' 0 '],[' 7 ']
Solving...,TA62, , , , , ,[' 2259'],[' 1137'],"[' 166.421s (Solving', ' 162.21s 1st Model', ' 3.17s Unsat', ' 2.39s)']",[' 165.922s'], ,[' 20356489'],"[' 8633501  (Analyzed', ' 8478741)']","[' 15850    (Average', ' 534.94 Last', ' 9199)']",[' 2220.8  '],"[' 1137     (Average Length', ' 622.68 Splits', ' 0)']","[' 8478741  (Deleted', ' 8377139)']","[' 40       (Ratio', '   0.00%)']","[' 2047     (Ratio', '   0.02%)']","[' 8478741  (Average Length', '   13.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8478741  (Average', '  2.17 Max', ' 3549 Sum', ' 18429502)']","[' 8478358  (Average', '  2.15 Max', ' 2714 Sum', ' 18211560 Ratio', '  98.82%)']","[' 383      (Average', ' 569.04 Max', ' 883 Sum', ' 217942 Ratio', '   1.18%)']", ,[' 85199   '],[' 3293    '],[' 78958   '],[' 27930   '],"[' 73622    (Atom=Atom', ' 21325 Body=Body', ' 12859 Other', ' 39438)']",[' Yes'],"[' 5032     (Eliminated', '    0 Frozen', ' 5032)']","[' 308      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.913378'],[' 0'], ,[' 90.961'],[' 0'],[' 3.1245'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.4691e+07'],[' 3.17014e+07'],[' 0'],[' 6.13216e+09'],[' 0'],[' 0'],[' 650 '],[' 1122 '],[' 1664 '],[' 2153 '],[' 2579 '],[' 3025 '],[' 3355 '],[' 1 '],[' 6 ']
Solving...,TA63, , , , , ,[' 2163'],[' 1089'],"[' 21.476s (Solving', ' 17.37s 1st Model', ' 2.74s Unsat', ' 0.18s)']",[' 21.422s'], ,[' 3666827 '],"[' 100711   (Analyzed', ' 24966)']","[' 357      (Average', ' 69.93 Last', ' 2961)']",[' 2208.4  '],"[' 1089     (Average Length', ' 597.76 Splits', ' 0)']","[' 24966    (Deleted', ' 9423)']","[' 17       (Ratio', '   0.07%)']","[' 548      (Ratio', '   2.19%)']","[' 24966    (Average Length', '    8.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24966    (Average', ' 80.94 Max', ' 3231 Sum', ' 2020710)']","[' 24663    (Average', ' 73.97 Max', ' 2766 Sum', ' 1846814 Ratio', '  91.39%)']","[' 303      (Average', ' 573.91 Max', ' 856 Sum', ' 173896 Ratio', '   8.61%)']", ,[' 85236   '],[' 3250    '],[' 78811   '],[' 27923   '],"[' 72762    (Atom=Atom', ' 21105 Body=Body', ' 12730 Other', ' 38927)']",[' Yes'],"[' 4947     (Eliminated', '    0 Frozen', ' 4947)']","[' 19       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.864944'],[' 0'], ,[' 2.12365'],[' 0'],[' 0.190932'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.37775e+06'],[' 5.33681e+06'],[' 0'],[' 5.70717e+07'],[' 0'],[' 0'],[' 670 '],[' 1109 '],[' 1531 '],[' 1929 '],[' 2462 '],[' 2843 '],[' 3175 '],[' 0 '],[' 7 ']
Solving...,TA64, , , , , ,[' 2235'],[' 1125'],"[' 72.296s (Solving', ' 67.81s 1st Model', ' 2.93s Unsat', ' 49.63s)']",[' 72.219s'], ,[' 9561286 '],"[' 4135813  (Analyzed', ' 4083814)']","[' 8662     (Average', ' 471.46 Last', ' 20076)']",[' 2269.5  '],"[' 1125     (Average Length', ' 609.65 Splits', ' 0)']","[' 4083814  (Deleted', ' 3993155)']","[' 33       (Ratio', '   0.00%)']","[' 1159     (Ratio', '   0.03%)']","[' 4083814  (Average Length', '   10.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4083814  (Average', '  1.91 Max', ' 3134 Sum', ' 7785643)']","[' 4083377  (Average', '  1.85 Max', ' 2758 Sum', ' 7568388 Ratio', '  97.21%)']","[' 437      (Average', ' 497.15 Max', ' 846 Sum', ' 217255 Ratio', '   2.79%)']", ,[' 85175   '],[' 3274    '],[' 78884   '],[' 27892   '],"[' 73264    (Atom=Atom', ' 21237 Body=Body', ' 12802 Other', ' 39225)']",[' Yes'],"[' 4981     (Eliminated', '    0 Frozen', ' 4981)']","[' 118      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.951405'],[' 0'], ,[' 27.4913'],[' 0'],[' 0.857912'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.46686e+07'],[' 1.37553e+07'],[' 0'],[' 1.32812e+09'],[' 0'],[' 0'],[' 768 '],[' 1345 '],[' 1670 '],[' 2055 '],[' 2434 '],[' 2854 '],[' 3139 '],[' 0 '],[' 7 ']
Solving...,TA65, , , , , ,[' 2473'],[' 1244'],"[' 25.530s (Solving', ' 20.75s 1st Model', ' 3.41s Unsat', ' 0.32s)']",[' 25.000s'], ,[' 4529230 '],"[' 54402    (Analyzed', ' 29349)']","[' 214      (Average', ' 137.14 Last', ' 2072)']",[' 2377.7  '],"[' 1244     (Average Length', ' 674.96 Splits', ' 0)']","[' 29349    (Deleted', ' 10094)']","[' 30       (Ratio', '   0.10%)']","[' 834      (Ratio', '   2.84%)']","[' 29349    (Average Length', '    8.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 29349    (Average', ' 89.28 Max', ' 2972 Sum', ' 2620300)']","[' 28999    (Average', ' 81.65 Max', ' 2797 Sum', ' 2396230 Ratio', '  91.45%)']","[' 350      (Average', ' 640.20 Max', ' 953 Sum', ' 224070 Ratio', '   8.55%)']", ,[' 85457   '],[' 3274    '],[' 79225   '],[' 28091   '],"[' 73618    (Atom=Atom', ' 21356 Body=Body', ' 12802 Other', ' 39460)']",[' Yes'],"[' 5104     (Eliminated', '    0 Frozen', ' 5104)']","[' 74       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.06021'],[' 0'], ,[' 2.45028'],[' 0'],[' 0.238828'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.90023e+06'],[' 6.6527e+06'],[' 0'],[' 4.92997e+07'],[' 0'],[' 0'],[' 623 '],[' 1071 '],[' 1449 '],[' 1945 '],[' 2457 '],[' 2869 '],[' 3183 '],[' 0 '],[' 7 ']
Solving...,TA66, , , , , ,[' 2169'],[' 1092'],"[' 23.205s (Solving', ' 19.10s 1st Model', ' 2.52s Unsat', ' 1.93s)']",[' 22.891s'], ,[' 3475115 '],"[' 147493   (Analyzed', ' 74211)']","[' 558      (Average', ' 132.99 Last', ' 1115)']",[' 2096.1  '],"[' 1092     (Average Length', ' 602.66 Splits', ' 0)']","[' 74211    (Deleted', ' 54767)']","[' 23       (Ratio', '   0.03%)']","[' 876      (Ratio', '   1.18%)']","[' 74211    (Average Length', '    9.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 74211    (Average', ' 27.62 Max', ' 2886 Sum', ' 2049586)']","[' 73776    (Average', ' 23.97 Max', ' 2671 Sum', ' 1778559 Ratio', '  86.78%)']","[' 435      (Average', ' 623.05 Max', ' 906 Sum', ' 271027 Ratio', '  13.22%)']", ,[' 85023   '],[' 3266    '],[' 78765   '],[' 27787   '],"[' 73057    (Atom=Atom', ' 21172 Body=Body', ' 12778 Other', ' 39107)']",[' Yes'],"[' 4978     (Eliminated', '    0 Frozen', ' 4978)']","[' 68       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.880054'],[' 0'], ,[' 3.51971'],[' 0'],[' 0.221163'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.3441e+06'],[' 5.20862e+06'],[' 0'],[' 1.47485e+08'],[' 0'],[' 0'],[' 645 '],[' 1096 '],[' 1522 '],[' 2016 '],[' 2387 '],[' 2883 '],[' 3261 '],[' 0 '],[' 7 ']
Solving...,TA67, , , , , ,[' 2417'],[' 1216'],"[' 26.439s (Solving', ' 21.65s 1st Model', ' 3.31s Unsat', ' 1.13s)']",[' 26.063s'], ,[' 4279320 '],"[' 186369   (Analyzed', ' 76585)']","[' 574      (Average', ' 133.42 Last', ' 10911)']",[' 2303.2  '],"[' 1216     (Average Length', ' 664.29 Splits', ' 0)']","[' 76585    (Deleted', ' 62049)']","[' 26       (Ratio', '   0.03%)']","[' 798      (Ratio', '   1.04%)']","[' 76585    (Average Length', '    9.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 76585    (Average', ' 31.42 Max', ' 3434 Sum', ' 2406604)']","[' 76250    (Average', ' 28.52 Max', ' 2870 Sum', ' 2184469 Ratio', '  90.77%)']","[' 335      (Average', ' 663.09 Max', ' 971 Sum', ' 222135 Ratio', '   9.23%)']", ,[' 85379   '],[' 3309    '],[' 79201   '],[' 28074   '],"[' 74030    (Atom=Atom', ' 21468 Body=Body', ' 12907 Other', ' 39655)']",[' Yes'],"[' 5109     (Eliminated', '    0 Frozen', ' 5109)']","[' 41       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.03699'],[' 0'], ,[' 3.19873'],[' 0'],[' 0.248053'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.53092e+06'],[' 6.24935e+06'],[' 0'],[' 1.02868e+08'],[' 0'],[' 0'],[' 706 '],[' 1132 '],[' 1574 '],[' 2075 '],[' 2509 '],[' 2940 '],[' 3256 '],[' 0 '],[' 7 ']
Solving...,TA68, , , , , ,[' 1949'],[' 982'],"[' 20.994s (Solving', ' 17.11s 1st Model', ' 2.49s Unsat', ' 0.97s)']",[' 20.813s'], ,[' 3404424 '],"[' 102506   (Analyzed', ' 42310)']","[' 358      (Average', ' 118.18 Last', ' 829)']",[' 2184.6  '],"[' 982      (Average Length', ' 551.50 Splits', ' 0)']","[' 42310    (Deleted', ' 27528)']","[' 24       (Ratio', '   0.06%)']","[' 590      (Ratio', '   1.39%)']","[' 42310    (Average Length', '    9.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 42310    (Average', ' 45.59 Max', ' 3320 Sum', ' 1928706)']","[' 41972    (Average', ' 41.38 Max', ' 2817 Sum', ' 1750663 Ratio', '  90.77%)']","[' 338      (Average', ' 526.75 Max', ' 794 Sum', ' 178043 Ratio', '   9.23%)']", ,[' 84816   '],[' 3236    '],[' 78420   '],[' 27603   '],"[' 72224    (Atom=Atom', ' 20942 Body=Body', ' 12688 Other', ' 38594)']",[' Yes'],"[' 4843     (Eliminated', '    0 Frozen', ' 4843)']","[' 41       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.823723'],[' 0'], ,[' 2.55363'],[' 0'],[' 0.192652'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.91815e+06'],[' 4.94961e+06'],[' 0'],[' 8.65222e+07'],[' 0'],[' 0'],[' 583 '],[' 1040 '],[' 1455 '],[' 1937 '],[' 2333 '],[' 2793 '],[' 3177 '],[' 0 '],[' 7 ']
Solving...,TA69, , , , , ,[' 2661'],[' 1338'],"[' 176.031s (Solving', ' 170.26s 1st Model', ' 4.34s Unsat', ' 4.10s)']",[' 175.219s'], ,[' 20734088'],"[' 10531599 (Analyzed', ' 10429028)']","[' 18084    (Average', ' 576.70 Last', ' 5923)']",[' 2227.1  '],"[' 1338     (Average Length', ' 711.49 Splits', ' 0)']","[' 10429028 (Deleted', ' 10251513)']","[' 34       (Ratio', '   0.00%)']","[' 1894     (Ratio', '   0.02%)']","[' 10429028 (Average Length', '   11.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10429028 (Average', '  1.79 Max', ' 3443 Sum', ' 18645169)']","[' 10428633 (Average', '  1.76 Max', ' 2710 Sum', ' 18385908 Ratio', '  98.61%)']","[' 395      (Average', ' 656.36 Max', ' 1031 Sum', ' 259261 Ratio', '   1.39%)']", ,[' 85140   '],[' 3308    '],[' 79164   '],[' 28005   '],"[' 74421    (Atom=Atom', ' 21586 Body=Body', ' 12904 Other', ' 39931)']",[' Yes'],"[' 5179     (Eliminated', '    0 Frozen', ' 5179)']","[' 278      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.22527'],[' 0'], ,[' 76.1878'],[' 0'],[' 2.73015'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.24903e+07'],[' 3.52422e+07'],[' 0'],[' 3.87348e+09'],[' 0'],[' 0'],[' 760 '],[' 1244 '],[' 1658 '],[' 2130 '],[' 2538 '],[' 2949 '],[' 3322 '],[' 1 '],[' 6 ']
Solving...,TA70, , , , , ,[' 2019'],[' 1017'],"[' 162.769s (Solving', ' 158.60s 1st Model', ' 2.70s Unsat', ' 1.50s)']",[' 161.734s'], ,[' 12742769'],"[' 5268957  (Analyzed', ' 5188188)']","[' 9169     (Average', ' 565.84 Last', ' 4709)']",[' 2092.4  '],"[' 1017     (Average Length', ' 583.56 Splits', ' 0)']","[' 5188188  (Deleted', ' 5132312)']","[' 10       (Ratio', '   0.00%)']","[' 1381     (Ratio', '   0.03%)']","[' 5188188  (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5188188  (Average', '  2.18 Max', ' 2956 Sum', ' 11331741)']","[' 5187653  (Average', '  2.12 Max', ' 2640 Sum', ' 10994144 Ratio', '  97.02%)']","[' 535      (Average', ' 631.02 Max', ' 865 Sum', ' 337597 Ratio', '   2.98%)']", ,[' 83696   '],[' 3289    '],[' 77837   '],[' 27103   '],"[' 73152    (Atom=Atom', ' 21189 Body=Body', ' 12847 Other', ' 39116)']",[' Yes'],"[' 4928     (Eliminated', '    0 Frozen', ' 4928)']","[' 190      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.874741'],[' 0'], ,[' 108.573'],[' 0'],[' 2.30395'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.85057e+07'],[' 1.47178e+07'],[' 0'],[' 6.6099e+09'],[' 0'],[' 0'],[' 700 '],[' 1195 '],[' 1849 '],[' 2412 '],[' 2940 '],[' 3162 '],[' 3521 '],[' 1 '],[' 6 ']
