Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , , ,[' 1'],[' 5129+'],[' 2573'],"[' 1007.683s (Solving', ' 982.41s 1st Model', ' 35.20s Unsat', ' 0.00s)']",[' 1003.375s'], ,[' 173051126'],"[' 20513305 (Analyzed', ' 20192523)']","[' 39428    (Average', ' 512.14 Last', ' 29889)']",[' 5678.5  '],"[' 2573     (Average Length', ' 1334.85 Splits', ' 0)']","[' 20192523 (Deleted', ' 19970216)']","[' 64       (Ratio', '   0.00%)']","[' 23091    (Ratio', '   0.11%)']","[' 20192523 (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20192523 (Average', '  8.10 Max', ' 8800 Sum', ' 163510053)']","[' 20190404 (Average', '  7.96 Max', ' 7482 Sum', ' 160670001 Ratio', '  98.26%)']","[' 2119     (Average', ' 1340.28 Max', ' 2005 Sum', ' 2840052 Ratio', '   1.74%)']", ,[' 278342  '],[' 12001   '],[' 254880  '],[' 89504   '],"[' 231984   (Atom=Atom', ' 64836 Body=Body', ' 41893 Other', ' 125255)']",[' Yes'],"[' 15709    (Eliminated', '    0 Frozen', ' 15709)']","[' 4816     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.99308'],[' 0'], ,[' 677.558'],[' 0'],[' 19.7448'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.22411e+08'],[' 2.43311e+08'],[' 0'],[' 4.17778e+10'],[' 0'],[' 0'],[' 1187 '],[' 1982 '],[' 2734 '],[' 3358 '],[' 4113 '],[' 4669 '],[' 5362 '],[' 5916 '],[' 8 '],[' 0 ']
Solving...,TA72, , , , ,[' 1'],[' 4685+'],[' 2351'],"[' 1007.466s (Solving', ' 983.75s 1st Model', ' 27.45s Unsat', ' 0.00s)']",[' 1003.594s'], ,[' 124813215'],"[' 26724111 (Analyzed', ' 26466566)']","[' 51985    (Average', ' 509.12 Last', ' 293737)']",[' 6033.5  '],"[' 2351     (Average Length', ' 1239.25 Splits', ' 0)']","[' 26466566 (Deleted', ' 26168523)']","[' 42       (Ratio', '   0.00%)']","[' 13786    (Ratio', '   0.05%)']","[' 26466566 (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26466566 (Average', '  4.33 Max', ' 9674 Sum', ' 114630392)']","[' 26464740 (Average', '  4.25 Max', ' 8341 Sum', ' 112358223 Ratio', '  98.02%)']","[' 1826     (Average', ' 1244.34 Max', ' 1834 Sum', ' 2272169 Ratio', '   1.98%)']", ,[' 280125  '],[' 11798   '],[' 254992  '],[' 90277   '],"[' 228169   (Atom=Atom', ' 63802 Body=Body', ' 41284 Other', ' 123083)']",[' Yes'],"[' 15381    (Eliminated', '    0 Frozen', ' 15381)']","[' 2516     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.67391'],[' 0'], ,[' 696.706'],[' 0'],[' 15.4036'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.30727e+08'],[' 1.54587e+08'],[' 0'],[' 4.30261e+10'],[' 0'],[' 0'],[' 944 '],[' 1607 '],[' 2262 '],[' 2982 '],[' 3583 '],[' 4261 '],[' 4959 '],[' 5510 '],[' 8 '],[' 0 ']
Solving...,TA73, , , , ,[' 1'],[' 5043+'],[' 2530'],"[' 1007.950s (Solving', ' 982.09s 1st Model', ' 28.16s Unsat', ' 0.00s)']",[' 1001.422s'], ,[' 113069820'],"[' 25755935 (Analyzed', ' 25384335)']","[' 50073    (Average', ' 506.95 Last', ' 21303)']",[' 5968.0  '],"[' 2530     (Average Length', ' 1325.06 Splits', ' 0)']","[' 25384335 (Deleted', ' 25100659)']","[' 19       (Ratio', '   0.00%)']","[' 11354    (Ratio', '   0.04%)']","[' 25384335 (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25384335 (Average', '  4.06 Max', ' 8745 Sum', ' 103184102)']","[' 25382098 (Average', '  3.94 Max', ' 8745 Sum', ' 100048981 Ratio', '  96.96%)']","[' 2237     (Average', ' 1401.48 Max', ' 1995 Sum', ' 3135121 Ratio', '   3.04%)']", ,[' 278757  '],[' 11905   '],[' 254742  '],[' 89695   '],"[' 230328   (Atom=Atom', ' 64409 Body=Body', ' 41605 Other', ' 124314)']",[' Yes'],"[' 15601    (Eliminated', '    0 Frozen', ' 15601)']","[' 2322     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.12751'],[' 0'], ,[' 694.323'],[' 0'],[' 15.7411'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.10915e+08'],[' 1.35841e+08'],[' 0'],[' 4.26812e+10'],[' 0'],[' 0'],[' 1126 '],[' 1817 '],[' 2611 '],[' 3254 '],[' 3944 '],[' 4651 '],[' 5264 '],[' 5828 '],[' 8 '],[' 0 ']
Solving...,TA74, , , , ,[' 1'],[' 4667+'],[' 2342'],"[' 1007.425s (Solving', ' 984.11s 1st Model', ' 26.37s Unsat', ' 0.00s)']",[' 1003.391s'], ,[' 117091012'],"[' 24296339 (Analyzed', ' 23998933)']","[' 46878    (Average', ' 511.94 Last', ' 105609)']",[' 5617.7  '],"[' 2342     (Average Length', ' 1245.43 Splits', ' 0)']","[' 23998933 (Deleted', ' 23712010)']","[' 46       (Ratio', '   0.00%)']","[' 14373    (Ratio', '   0.06%)']","[' 23998933 (Average Length', '   14.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23998933 (Average', '  4.51 Max', ' 9787 Sum', ' 108266530)']","[' 23996856 (Average', '  4.40 Max', ' 8306 Sum', ' 105667062 Ratio', '  97.60%)']","[' 2077     (Average', ' 1251.55 Max', ' 1867 Sum', ' 2599468 Ratio', '   2.40%)']", ,[' 281003  '],[' 11901   '],[' 255746  '],[' 90822   '],"[' 229676   (Atom=Atom', ' 64205 Body=Body', ' 41593 Other', ' 123878)']",[' Yes'],"[' 15492    (Eliminated', '    0 Frozen', ' 15492)']","[' 2948     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.50886'],[' 0'], ,[' 707.261'],[' 0'],[' 16.9419'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.27614e+08'],[' 1.54873e+08'],[' 0'],[' 4.33902e+10'],[' 0'],[' 0'],[' 1026 '],[' 1683 '],[' 2246 '],[' 3008 '],[' 3763 '],[' 4413 '],[' 5157 '],[' 5696 '],[' 8 '],[' 0 ']
Solving...,TA75, , , , ,[' 1'],[' 5467+'],[' 2742'],"[' 1009.409s (Solving', ' 978.65s 1st Model', ' 129.05s Unsat', ' 0.00s)']",[' 1001.328s'], ,[' 172279883'],"[' 19305026 (Analyzed', ' 19021796)']","[' 39173    (Average', ' 485.58 Last', ' 255062)']",[' 5072.3  '],"[' 2742     (Average Length', ' 1420.81 Splits', ' 0)']","[' 19021796 (Deleted', ' 18772629)']","[' 133      (Ratio', '   0.00%)']","[' 29116    (Ratio', '   0.15%)']","[' 19021796 (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19021796 (Average', '  8.64 Max', ' 7655 Sum', ' 164382001)']","[' 19019811 (Average', '  8.47 Max', ' 7655 Sum', ' 161168541 Ratio', '  98.05%)']","[' 1985     (Average', ' 1618.87 Max', ' 2162 Sum', ' 3213460 Ratio', '   1.95%)']", ,[' 280177  '],[' 11964   '],[' 255895  '],[' 90644   '],"[' 231876   (Atom=Atom', ' 64857 Body=Body', ' 41782 Other', ' 125237)']",[' Yes'],"[' 15835    (Eliminated', '    0 Frozen', ' 15835)']","[' 6058     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.10638'],[' 0'], ,[' 624.123'],[' 0'],[' 19.0031'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.07246e+08'],[' 3.09825e+08'],[' 0'],[' 3.27111e+10'],[' 0'],[' 0'],[' 993 '],[' 1679 '],[' 2361 '],[' 3093 '],[' 3800 '],[' 4481 '],[' 5138 '],[' 5699 '],[' 8 '],[' 0 ']
Solving...,TA76, , , , ,[' 1'],[' 5519+'],[' 2768'],"[' 1008.549s (Solving', ' 980.65s 1st Model', ' 32.72s Unsat', ' 0.00s)']",[' 1002.531s'], ,[' 140976498'],"[' 22064253 (Analyzed', ' 21687218)']","[' 43052    (Average', ' 503.74 Last', ' 16877)']",[' 5829.6  '],"[' 2768     (Average Length', ' 1399.33 Splits', ' 0)']","[' 21687218 (Deleted', ' 21417734)']","[' 29       (Ratio', '   0.00%)']","[' 16306    (Ratio', '   0.08%)']","[' 21687218 (Average Length', '   13.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21687218 (Average', '  6.02 Max', ' 9528 Sum', ' 130645851)']","[' 21685068 (Average', '  5.88 Max', ' 7874 Sum', ' 127605496 Ratio', '  97.67%)']","[' 2150     (Average', ' 1414.12 Max', ' 2104 Sum', ' 3040355 Ratio', '   2.33%)']", ,[' 280272  '],[' 11781   '],[' 255511  '],[' 90491   '],"[' 229154   (Atom=Atom', ' 64151 Body=Body', ' 41233 Other', ' 123770)']",[' Yes'],"[' 15616    (Eliminated', '    0 Frozen', ' 15616)']","[' 3326     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.54156'],[' 0'], ,[' 671.761'],[' 0'],[' 17.9117'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.50983e+08'],[' 1.81896e+08'],[' 0'],[' 3.98096e+10'],[' 0'],[' 0'],[' 1016 '],[' 1740 '],[' 2342 '],[' 3017 '],[' 3637 '],[' 4338 '],[' 5027 '],[' 5660 '],[' 8 '],[' 0 ']
Solving...,TA77, , , , ,[' 1'],[' 4829+'],[' 2423'],"[' 60880.997s (Solving', ' 60855.72s 1st Model', ' 29.19s Unsat', ' 0.00s)']",[' 999.578s'], ,[' 107924500'],"[' 23171871 (Analyzed', ' 22850449)']","[' 45971    (Average', ' 497.06 Last', ' 256626)']",[' 6263.2  '],"[' 2423     (Average Length', ' 1273.05 Splits', ' 0)']","[' 22850449 (Deleted', ' 22581659)']","[' 14       (Ratio', '   0.00%)']","[' 10190    (Ratio', '   0.04%)']","[' 22850449 (Average Length', '   14.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22850449 (Average', '  4.26 Max', ' 8864 Sum', ' 97323473)']","[' 22848440 (Average', '  4.14 Max', ' 8561 Sum', ' 94659458 Ratio', '  97.26%)']","[' 2009     (Average', ' 1326.04 Max', ' 1916 Sum', ' 2664015 Ratio', '   2.74%)']", ,[' 278968  '],[' 11785   '],[' 254517  '],[' 89609   '],"[' 228244   (Atom=Atom', ' 63822 Body=Body', ' 41245 Other', ' 123177)']",[' Yes'],"[' 15421    (Eliminated', '    0 Frozen', ' 15421)']","[' 2039     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.97183'],[' 0'], ,[' 705.863'],[' 0'],[' 17.6553'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.92297e+08'],[' 1.27466e+08'],[' 0'],[' 4.24029e+10'],[' 0'],[' 0'],[' 1147 '],[' 1856 '],[' 2433 '],[' 3060 '],[' 3734 '],[' 4456 '],[' 5243 '],[' 5734 '],[' 8 '],[' 0 ']
Solving...,TA78, , , , ,[' 1'],[' 4221+'],[' 2119'],"[' 826.873s (Solving', ' 802.48s 1st Model', ' 33.09s Unsat', ' 48.09s)']",[' 823.203s'], ,[' 80761030'],"[' 15214291 (Analyzed', ' 14463540)']","[' 31187    (Average', ' 463.77 Last', ' 74346)']",[' 6799.4  '],"[' 2118     (Average Length', ' 1184.00 Splits', ' 0)']","[' 14463540 (Deleted', ' 14288215)']","[' 25       (Ratio', '   0.00%)']","[' 7638     (Ratio', '   0.05%)']","[' 14463540 (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14463540 (Average', '  4.83 Max', ' 9482 Sum', ' 69829051)']","[' 14461469 (Average', '  4.68 Max', ' 9482 Sum', ' 67658424 Ratio', '  96.89%)']","[' 2071     (Average', ' 1048.11 Max', ' 1681 Sum', ' 2170627 Ratio', '   3.11%)']", ,[' 278503  '],[' 11913   '],[' 254085  '],[' 89365   '],"[' 229193   (Atom=Atom', ' 64030 Body=Body', ' 41629 Other', ' 123534)']",[' Yes'],"[' 15258    (Eliminated', '    0 Frozen', ' 15258)']","[' 1532     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.88807'],[' 0'], ,[' 587.54'],[' 0'],[' 13.4511'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.37717e+08'],[' 9.63932e+07'],[' 0'],[' 3.60051e+10'],[' 0'],[' 0'],[' 4016 '],[' 1994 '],[' 2537 '],[' 3138 '],[' 3841 '],[' 4505 '],[' 5177 '],[' 5772 '],[' 7 '],[' 1 ']
Solving...,TA79, , , , ,[' 1'],[' 4771+'],[' 2394'],"[' 1007.362s (Solving', ' 983.46s 1st Model', ' 25.58s Unsat', ' 0.00s)']",[' 1001.719s'], ,[' 130593397'],"[' 22894905 (Analyzed', ' 22681694)']","[' 44881    (Average', ' 505.37 Last', ' 64736)']",[' 5606.5  '],"[' 2394     (Average Length', ' 1260.88 Splits', ' 0)']","[' 22681694 (Deleted', ' 22430760)']","[' 40       (Ratio', '   0.00%)']","[' 19546    (Ratio', '   0.09%)']","[' 22681694 (Average Length', '   15.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22681694 (Average', '  5.36 Max', ' 8774 Sum', ' 121665265)']","[' 22679699 (Average', '  5.25 Max', ' 7911 Sum', ' 119042567 Ratio', '  97.84%)']","[' 1995     (Average', ' 1314.64 Max', ' 1857 Sum', ' 2622698 Ratio', '   2.16%)']", ,[' 280817  '],[' 11967   '],[' 255991  '],[' 90692   '],"[' 230871   (Atom=Atom', ' 64521 Body=Body', ' 41791 Other', ' 124559)']",[' Yes'],"[' 15620    (Eliminated', '    0 Frozen', ' 15620)']","[' 4069     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.68892'],[' 0'], ,[' 699.248'],[' 0'],[' 16.801'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.72712e+08'],[' 1.93937e+08'],[' 0'],[' 4.35518e+10'],[' 0'],[' 0'],[' 954 '],[' 1704 '],[' 2285 '],[' 3025 '],[' 3795 '],[' 4475 '],[' 5092 '],[' 5660 '],[' 8 '],[' 0 ']
Solving...,TA80, , , , ,[' 1'],[' 4843+'],[' 2430'],"[' 1007.502s (Solving', ' 983.20s 1st Model', ' 33.62s Unsat', ' 0.00s)']",[' 1004.250s'], ,[' 145783296'],"[' 19406600 (Analyzed', ' 19218050)']","[' 38485    (Average', ' 499.36 Last', ' 112529)']",[' 5676.2  '],"[' 2430     (Average Length', ' 1283.85 Splits', ' 0)']","[' 19218050 (Deleted', ' 19003600)']","[' 74       (Ratio', '   0.00%)']","[' 20429    (Ratio', '   0.11%)']","[' 19218050 (Average Length', '   16.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19218050 (Average', '  7.13 Max', ' 7715 Sum', ' 137065257)']","[' 19215836 (Average', '  6.98 Max', ' 7715 Sum', ' 134074523 Ratio', '  97.82%)']","[' 2214     (Average', ' 1350.83 Max', ' 1904 Sum', ' 2990734 Ratio', '   2.18%)']", ,[' 278043  '],[' 11980   '],[' 254489  '],[' 89290   '],"[' 231256   (Atom=Atom', ' 64609 Body=Body', ' 41830 Other', ' 124817)']",[' Yes'],"[' 15634    (Eliminated', '    0 Frozen', ' 15634)']","[' 4074     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.84857'],[' 0'], ,[' 690.798'],[' 0'],[' 18.6501'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.18664e+08'],[' 2.36534e+08'],[' 0'],[' 4.23032e+10'],[' 0'],[' 0'],[' 932 '],[' 1833 '],[' 2565 '],[' 3098 '],[' 3797 '],[' 4359 '],[' 5072 '],[' 5574 '],[' 8 '],[' 0 ']
