Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , , ,[' 1867'],[' 942'],"[' 18.321s (Solving', ' 14.69s 1st Model', ' 2.00s Unsat', ' 0.10s)']",[' 18.000s'], ,[' 2584633 '],"[' 48854    (Analyzed', ' 11742)']","[' 197      (Average', ' 59.60 Last', ' 320)']",[' 1901.0  '],"[' 942      (Average Length', ' 535.81 Splits', ' 0)']","[' 11742    (Deleted', ' 0)']","[' 31       (Ratio', '   0.26%)']","[' 385      (Ratio', '   3.28%)']","[' 11742    (Average Length', '    7.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11742    (Average', ' 121.97 Max', ' 3157 Sum', ' 1432204)']","[' 11424    (Average', ' 108.32 Max', ' 2419 Sum', ' 1271920 Ratio', '  88.81%)']","[' 318      (Average', ' 504.04 Max', ' 810 Sum', ' 160284 Ratio', '  11.19%)']", ,[' 80844   '],[' 2782    '],[' 75211   '],[' 24944   '],"[' 65137    (Atom=Atom', ' 19204 Body=Body', ' 11361 Other', ' 34572)']",[' Yes'],"[' 4398     (Eliminated', '    0 Frozen', ' 4398)']","[' 15       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.756248'],[' 0'], ,[' 1.50945'],[' 0'],[' 0.144559'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.87009e+06'],[' 4.07848e+06'],[' 0'],[' 2.81681e+07'],[' 0'],[' 0'],[' 542 '],[' 981 '],[' 1388 '],[' 1923 '],[' 2314 '],[' 2679 '],[' 3069 '],[' 3361 '],[' 0 '],[' 8 ']
Solving...,TA62, , , , , ,[' 1853'],[' 935'],"[' 18.794s (Solving', ' 15.28s 1st Model', ' 1.82s Unsat', ' 1.03s)']",[' 18.344s'], ,[' 2536252 '],"[' 115859   (Analyzed', ' 71923)']","[' 354      (Average', ' 203.17 Last', ' 3342)']",[' 1871.5  '],"[' 935      (Average Length', ' 526.80 Splits', ' 0)']","[' 71923    (Deleted', ' 52693)']","[' 21       (Ratio', '   0.03%)']","[' 639      (Ratio', '   0.89%)']","[' 71923    (Average Length', '   10.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 71923    (Average', ' 19.42 Max', ' 2983 Sum', ' 1396481)']","[' 71609    (Average', ' 17.28 Max', ' 2437 Sum', ' 1243030 Ratio', '  89.01%)']","[' 314      (Average', ' 488.70 Max', ' 781 Sum', ' 153451 Ratio', '  10.99%)']", ,[' 81336   '],[' 2810    '],[' 75571   '],[' 25236   '],"[' 65564    (Atom=Atom', ' 19309 Body=Body', ' 11445 Other', ' 34810)']",[' Yes'],"[' 4436     (Eliminated', '    0 Frozen', ' 4436)']","[' 43       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.737859'],[' 0'], ,[' 2.09859'],[' 0'],[' 0.151971'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.90697e+06'],[' 3.99992e+06'],[' 0'],[' 7.42959e+07'],[' 0'],[' 0'],[' 628 '],[' 1029 '],[' 1536 '],[' 1901 '],[' 2265 '],[' 2658 '],[' 3056 '],[' 3358 '],[' 0 '],[' 8 ']
Solving...,TA63, , , , , ,[' 1787'],[' 902'],"[' 140.317s (Solving', ' 136.96s 1st Model', ' 1.88s Unsat', ' 0.13s)']",[' 139.469s'], ,[' 14256860'],"[' 6926089  (Analyzed', ' 6830100)']","[' 12537    (Average', ' 544.80 Last', ' 9387)']",[' 1914.5  '],"[' 902      (Average Length', ' 513.72 Splits', ' 0)']","[' 6830100  (Deleted', ' 6764413)']","[' 45       (Ratio', '   0.00%)']","[' 928      (Ratio', '   0.01%)']","[' 6830100  (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6830100  (Average', '  1.89 Max', ' 3054 Sum', ' 12894518)']","[' 6829811  (Average', '  1.87 Max', ' 2514 Sum', ' 12768869 Ratio', '  99.03%)']","[' 289      (Average', ' 434.77 Max', ' 761 Sum', ' 125649 Ratio', '   0.97%)']", ,[' 81488   '],[' 2852    '],[' 75703   '],[' 25358   '],"[' 66054    (Atom=Atom', ' 19444 Body=Body', ' 11571 Other', ' 35039)']",[' Yes'],"[' 4428     (Eliminated', '    0 Frozen', ' 4428)']","[' 130      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.703536'],[' 0'], ,[' 79.0014'],[' 0'],[' 1.78492'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.61281e+07'],[' 1.89623e+07'],[' 0'],[' 5.23638e+09'],[' 0'],[' 0'],[' 652 '],[' 1031 '],[' 1458 '],[' 1747 '],[' 2117 '],[' 2481 '],[' 2839 '],[' 3135 '],[' 1 '],[' 7 ']
Solving...,TA64, , , , , ,[' 1561'],[' 789'],"[' 81.500s (Solving', ' 78.40s 1st Model', ' 1.48s Unsat', ' 65.96s)']",[' 81.047s'], ,[' 7691626 '],"[' 4339575  (Analyzed', ' 4271893)']","[' 8525     (Average', ' 501.10 Last', ' 206228)']",[' 1823.1  '],"[' 789      (Average Length', ' 459.70 Splits', ' 0)']","[' 4271893  (Deleted', ' 4215377)']","[' 28       (Ratio', '   0.00%)']","[' 679      (Ratio', '   0.02%)']","[' 4271893  (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4271893  (Average', '  1.56 Max', ' 2902 Sum', ' 6655467)']","[' 4271422  (Average', '  1.51 Max', ' 2574 Sum', ' 6463557 Ratio', '  97.12%)']","[' 471      (Average', ' 407.45 Max', ' 674 Sum', ' 191910 Ratio', '   2.88%)']", ,[' 80987   '],[' 2854    '],[' 75266   '],[' 25013   '],"[' 65773    (Atom=Atom', ' 19337 Body=Body', ' 11576 Other', ' 34860)']",[' Yes'],"[' 4330     (Eliminated', '    0 Frozen', ' 4330)']","[' 68       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.639203'],[' 0'], ,[' 40.42'],[' 0'],[' 1.16654'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.89066e+07'],[' 8.6267e+06'],[' 0'],[' 2.5935e+09'],[' 0'],[' 0'],[' 656 '],[' 1171 '],[' 1567 '],[' 1866 '],[' 2249 '],[' 2605 '],[' 2948 '],[' 3209 '],[' 0 '],[' 8 ']
Solving...,TA65, , , , , ,[' 1925'],[' 971'],"[' 143.257s (Solving', ' 139.60s 1st Model', ' 2.03s Unsat', ' 0.55s)']",[' 142.953s'], ,[' 11245490'],"[' 5781304  (Analyzed', ' 5743250)']","[' 11448    (Average', ' 501.68 Last', ' 798)']",[' 1900.0  '],"[' 971      (Average Length', ' 538.12 Splits', ' 0)']","[' 5743250  (Deleted', ' 5671085)']","[' 19       (Ratio', '   0.00%)']","[' 884      (Ratio', '   0.02%)']","[' 5743250  (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5743250  (Average', '  1.73 Max', ' 3076 Sum', ' 9950591)']","[' 5742838  (Average', '  1.70 Max', ' 2349 Sum', ' 9746695 Ratio', '  97.95%)']","[' 412      (Average', ' 494.89 Max', ' 783 Sum', ' 203896 Ratio', '   2.05%)']", ,[' 81385   '],[' 2846    '],[' 75701   '],[' 25311   '],"[' 66214    (Atom=Atom', ' 19489 Body=Body', ' 11553 Other', ' 35172)']",[' Yes'],"[' 4479     (Eliminated', '    0 Frozen', ' 4479)']","[' 77       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.771636'],[' 0'], ,[' 90.8219'],[' 0'],[' 1.69872'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.67048e+07'],[' 1.26687e+07'],[' 0'],[' 6.06465e+09'],[' 0'],[' 0'],[' 506 '],[' 1008 '],[' 1356 '],[' 1688 '],[' 2267 '],[' 2495 '],[' 2866 '],[' 3146 '],[' 1 '],[' 7 ']
Solving...,TA66, , , , , ,[' 2107'],[' 1062'],"[' 21.307s (Solving', ' 17.40s 1st Model', ' 2.24s Unsat', ' 0.46s)']",[' 21.016s'], ,[' 2849820 '],"[' 67456    (Analyzed', ' 31871)']","[' 302      (Average', ' 105.53 Last', ' 873)']",[' 1931.3  '],"[' 1062     (Average Length', ' 574.91 Splits', ' 0)']","[' 31871    (Deleted', ' 21607)']","[' 8        (Ratio', '   0.03%)']","[' 471      (Ratio', '   1.48%)']","[' 31871    (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 31871    (Average', ' 47.99 Max', ' 3076 Sum', ' 1529611)']","[' 31609    (Average', ' 43.39 Max', ' 3038 Sum', ' 1382885 Ratio', '  90.41%)']","[' 262      (Average', ' 560.02 Max', ' 873 Sum', ' 146726 Ratio', '   9.59%)']", ,[' 81377   '],[' 2827    '],[' 75721   '],[' 25357   '],"[' 66170    (Atom=Atom', ' 19504 Body=Body', ' 11496 Other', ' 35170)']",[' Yes'],"[' 4517     (Eliminated', '    0 Frozen', ' 4517)']","[' 33       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.857236'],[' 0'], ,[' 1.92336'],[' 0'],[' 0.169502'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.34154e+06'],[' 4.43787e+06'],[' 0'],[' 4.46354e+07'],[' 0'],[' 0'],[' 600 '],[' 1025 '],[' 1316 '],[' 1745 '],[' 2070 '],[' 2540 '],[' 2953 '],[' 3256 '],[' 0 '],[' 8 ']
Solving...,TA67, , , , , ,[' 1895'],[' 956'],"[' 19.598s (Solving', ' 15.81s 1st Model', ' 2.07s Unsat', ' 0.08s)']",[' 19.141s'], ,[' 2698980 '],"[' 121060   (Analyzed', ' 11169)']","[' 354      (Average', ' 31.55 Last', ' 1036)']",[' 1948.6  '],"[' 956      (Average Length', ' 537.89 Splits', ' 0)']","[' 11169    (Deleted', ' 0)']","[' 20       (Ratio', '   0.18%)']","[' 341      (Ratio', '   3.05%)']","[' 11169    (Average Length', '    7.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11169    (Average', ' 125.61 Max', ' 2981 Sum', ' 1402945)']","[' 10857    (Average', ' 112.05 Max', ' 2506 Sum', ' 1251515 Ratio', '  89.21%)']","[' 312      (Average', ' 485.35 Max', ' 799 Sum', ' 151430 Ratio', '  10.79%)']", ,[' 81469   '],[' 2851    '],[' 75737   '],[' 25356   '],"[' 66222    (Atom=Atom', ' 19492 Body=Body', ' 11567 Other', ' 35163)']",[' Yes'],"[' 4471     (Eliminated', '    0 Frozen', ' 4471)']","[' 10       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.788713'],[' 0'], ,[' 1.92579'],[' 0'],[' 0.150709'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.02927e+06'],[' 4.17114e+06'],[' 0'],[' 6.13243e+07'],[' 0'],[' 0'],[' 622 '],[' 1046 '],[' 1449 '],[' 1969 '],[' 2217 '],[' 2578 '],[' 2907 '],[' 3224 '],[' 0 '],[' 8 ']
Solving...,TA68, , , , , ,[' 2031'],[' 1024'],"[' 20.428s (Solving', ' 16.48s 1st Model', ' 2.30s Unsat', ' 0.09s)']",[' 20.141s'], ,[' 2931158 '],"[' 23500    (Analyzed', ' 11480)']","[' 73       (Average', ' 157.26 Last', ' 296)']",[' 1980.8  '],"[' 1024     (Average Length', ' 578.37 Splits', ' 0)']","[' 11480    (Deleted', ' 0)']","[' 31       (Ratio', '   0.27%)']","[' 435      (Ratio', '   3.79%)']","[' 11480    (Average Length', '    7.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11480    (Average', ' 144.70 Max', ' 3233 Sum', ' 1661186)']","[' 11144    (Average', ' 130.14 Max', ' 2885 Sum', ' 1494001 Ratio', '  89.94%)']","[' 336      (Average', ' 497.57 Max', ' 855 Sum', ' 167185 Ratio', '  10.06%)']", ,[' 81367   '],[' 2820    '],[' 75709   '],[' 25311   '],"[' 65988    (Atom=Atom', ' 19438 Body=Body', ' 11475 Other', ' 35075)']",[' Yes'],"[' 4506     (Eliminated', '    0 Frozen', ' 4506)']","[' 38       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.850954'],[' 0'], ,[' 1.58589'],[' 0'],[' 0.163294'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.41977e+06'],[' 4.57822e+06'],[' 0'],[' 2.15314e+07'],[' 0'],[' 0'],[' 519 '],[' 971 '],[' 1344 '],[' 1753 '],[' 2096 '],[' 2430 '],[' 2820 '],[' 3138 '],[' 0 '],[' 8 ']
Solving...,TA69, , , , ,[' 1'],[' 2027+'],[' 1022'],"[' 148.507s (Solving', ' 144.85s 1st Model', ' 2.23s Unsat', ' 7.33s)']",[' 147.672s'], ,[' 6283099 '],"[' 2666459  (Analyzed', ' 2604396)']","[' 6135     (Average', ' 424.51 Last', ' 11804)']",[' 1894.6  '],"[' 1022     (Average Length', ' 572.67 Splits', ' 0)']","[' 2604396  (Deleted', ' 2547053)']","[' 38       (Ratio', '   0.00%)']","[' 1129     (Ratio', '   0.04%)']","[' 2604396  (Average Length', '   10.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2604396  (Average', '  1.93 Max', ' 2882 Sum', ' 5036225)']","[' 2603988  (Average', '  1.85 Max', ' 2882 Sum', ' 4810627 Ratio', '  95.52%)']","[' 408      (Average', ' 552.94 Max', ' 872 Sum', ' 225598 Ratio', '   4.48%)']", ,[' 80898   '],[' 2876    '],[' 75536   '],[' 25085   '],"[' 66818    (Atom=Atom', ' 19660 Body=Body', ' 11643 Other', ' 35515)']",[' Yes'],"[' 4554     (Eliminated', '    0 Frozen', ' 4554)']","[' 62       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.760407'],[' 0'], ,[' 112.012'],[' 0'],[' 3.54611'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.50192e+07'],[' 8.21708e+06'],[' 0'],[' 8.06508e+09'],[' 0'],[' 0'],[' 696 '],[' 1189 '],[' 1630 '],[' 2027 '],[' 2402 '],[' 2751 '],[' 3115 '],[' 3423 '],[' 1 '],[' 7 ']
Solving...,TA70, , , , , ,[' 1781'],[' 899'],"[' 27.314s (Solving', ' 24.03s 1st Model', ' 1.87s Unsat', ' 10.54s)']",[' 26.984s'], ,[' 3303759 '],"[' 615493   (Analyzed', ' 562971)']","[' 1658     (Average', ' 339.55 Last', ' 1985)']",[' 1813.8  '],"[' 899      (Average Length', ' 521.42 Splits', ' 0)']","[' 562971   (Deleted', ' 545383)']","[' 13       (Ratio', '   0.00%)']","[' 736      (Ratio', '   0.13%)']","[' 562971   (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 562971   (Average', '  4.19 Max', ' 2773 Sum', ' 2357742)']","[' 562468   (Average', '  3.70 Max', ' 2326 Sum', ' 2084270 Ratio', '  88.40%)']","[' 503      (Average', ' 543.68 Max', ' 808 Sum', ' 273472 Ratio', '  11.60%)']", ,[' 80291   '],[' 2873    '],[' 74978   '],[' 24712   '],"[' 66382    (Atom=Atom', ' 19525 Body=Body', ' 11634 Other', ' 35223)']",[' Yes'],"[' 4449     (Eliminated', '    0 Frozen', ' 4449)']","[' 58       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.683076'],[' 0'], ,[' 8.49708'],[' 0'],[' 0.27182'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.02844e+06'],[' 4.9343e+06'],[' 0'],[' 4.67207e+08'],[' 0'],[' 0'],[' 700 '],[' 1076 '],[' 1652 '],[' 2186 '],[' 2500 '],[' 2963 '],[' 3301 '],[' 3537 '],[' 0 '],[' 8 ']
