Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , , ,[' 1'],[' 3715+'],[' 1868'],"[' 916.183s (Solving', ' 900.35s 1st Model', ' 13.07s Unsat', ' 0.60s)']",[' 913.875s'], ,[' 82139064'],"[' 29094799 (Analyzed', ' 28953600)']","[' 58965    (Average', ' 491.03 Last', ' 72498)']",[' 4618.3  '],"[' 1868     (Average Length', ' 1012.17 Splits', ' 0)']","[' 28953600 (Deleted', ' 28597170)']","[' 12       (Ratio', '   0.00%)']","[' 8013     (Ratio', '   0.03%)']","[' 28953600 (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 28953600 (Average', '  2.63 Max', ' 7662 Sum', ' 76223554)']","[' 28951858 (Average', '  2.57 Max', ' 6787 Sum', ' 74338359 Ratio', '  97.53%)']","[' 1742     (Average', ' 1082.20 Max', ' 1624 Sum', ' 1885195 Ratio', '   2.47%)']", ,[' 255548  '],[' 9466    '],[' 235551  '],[' 74533   '],"[' 190467   (Atom=Atom', ' 54339 Body=Body', ' 34378 Other', ' 101750)']",[' Yes'],"[' 12765    (Eliminated', '    0 Frozen', ' 12765)']","[' 1485     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.06696'],[' 0'], ,[' 647.668'],[' 0'],[' 11.6686'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.77727e+08'],[' 1.01519e+08'],[' 0'],[' 4.20102e+10'],[' 0'],[' 0'],[' 917 '],[' 1688 '],[' 2237 '],[' 2814 '],[' 3333 '],[' 3838 '],[' 4418 '],[' 4987 '],[' 5554 '],[' 5980 '],[' 9 '],[' 1 ']
Solving...,TA72, , , , ,[' 1'],[' 3661+'],[' 1841'],"[' 1005.388s (Solving', ' 988.80s 1st Model', ' 14.85s Unsat', ' 0.00s)']",[' 1001.016s'], ,[' 80024272'],"[' 30697635 (Analyzed', ' 30569894)']","[' 63213    (Average', ' 483.60 Last', ' 22317)']",[' 4882.5  '],"[' 1841     (Average Length', ' 1022.52 Splits', ' 0)']","[' 30569894 (Deleted', ' 30202912)']","[' 12       (Ratio', '   0.00%)']","[' 6367     (Ratio', '   0.02%)']","[' 30569894 (Average Length', '   13.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 30569894 (Average', '  2.40 Max', ' 8094 Sum', ' 73438721)']","[' 30568236 (Average', '  2.35 Max', ' 8094 Sum', ' 71805569 Ratio', '  97.78%)']","[' 1658     (Average', ' 985.01 Max', ' 1588 Sum', ' 1633152 Ratio', '   2.22%)']", ,[' 255801  '],[' 9326    '],[' 235281  '],[' 74596   '],"[' 188202   (Atom=Atom', ' 53752 Body=Body', ' 33958 Other', ' 100492)']",[' Yes'],"[' 12627    (Eliminated', '    0 Frozen', ' 12627)']","[' 1213     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.3302'],[' 0'], ,[' 720.279'],[' 0'],[' 14.2784'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.66543e+08'],[' 9.27913e+07'],[' 0'],[' 4.57993e+10'],[' 0'],[' 0'],[' 805 '],[' 1362 '],[' 1878 '],[' 2394 '],[' 2906 '],[' 3457 '],[' 4028 '],[' 4616 '],[' 5130 '],[' 5536 '],[' 10 '],[' 0 ']
Solving...,TA73, , , , ,[' 1'],[' 4221+'],[' 2121'],"[' 1005.823s (Solving', ' 986.67s 1st Model', ' 17.44s Unsat', ' 0.00s)']",[' 1001.313s'], ,[' 74797558'],"[' 28824064 (Analyzed', ' 28602915)']","[' 57111    (Average', ' 500.83 Last', ' 232423)']",[' 4926.7  '],"[' 2121     (Average Length', ' 1142.07 Splits', ' 0)']","[' 28602915 (Deleted', ' 28239853)']","[' 20       (Ratio', '   0.00%)']","[' 6189     (Ratio', '   0.02%)']","[' 28602915 (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 28602915 (Average', '  2.37 Max', ' 7232 Sum', ' 67776078)']","[' 28601127 (Average', '  2.30 Max', ' 7232 Sum', ' 65724331 Ratio', '  96.97%)']","[' 1788     (Average', ' 1147.51 Max', ' 1782 Sum', ' 2051747 Ratio', '   3.03%)']", ,[' 254451  '],[' 9409    '],[' 235027  '],[' 74064   '],"[' 190277   (Atom=Atom', ' 54364 Body=Body', ' 34207 Other', ' 101706)']",[' Yes'],"[' 12892    (Eliminated', '    0 Frozen', ' 12892)']","[' 1316     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.91127'],[' 0'], ,[' 704.377'],[' 0'],[' 13.5715'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.60688e+08'],[' 8.80987e+07'],[' 0'],[' 4.25822e+10'],[' 0'],[' 0'],[' 1051 '],[' 1632 '],[' 2208 '],[' 2703 '],[' 3237 '],[' 3832 '],[' 4281 '],[' 4894 '],[' 5347 '],[' 5817 '],[' 10 '],[' 0 ']
Solving...,TA74, , , , , ,[' 3713'],[' 1867'],"[' 994.469s (Solving', ' 976.96s 1st Model', ' 25.19s Unsat', ' 70.93s)']",[' 975.797s'], ,[' 66570265'],"[' 27109299 (Analyzed', ' 26909879)']","[' 56701    (Average', ' 474.59 Last', ' 237926)']",[' 5022.5  '],"[' 1867     (Average Length', ' 1013.08 Splits', ' 0)']","[' 26909879 (Deleted', ' 26533460)']","[' 18       (Ratio', '   0.00%)']","[' 4699     (Ratio', '   0.02%)']","[' 26909879 (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26909879 (Average', '  2.21 Max', ' 7832 Sum', ' 59584269)']","[' 26908450 (Average', '  2.16 Max', ' 7832 Sum', ' 58142416 Ratio', '  97.58%)']","[' 1429     (Average', ' 1008.99 Max', ' 1571 Sum', ' 1441853 Ratio', '   2.42%)']", ,[' 256346  '],[' 9357    '],[' 235679  '],[' 74931   '],"[' 188723   (Atom=Atom', ' 53902 Body=Body', ' 34051 Other', ' 100770)']",[' Yes'],"[' 12673    (Eliminated', '    0 Frozen', ' 12673)']","[' 856      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.50319'],[' 0'], ,[' 695.614'],[' 0'],[' 12.1349'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.45182e+08'],[' 7.94788e+07'],[' 0'],[' 3.86933e+10'],[' 0'],[' 0'],[' 882 '],[' 1411 '],[' 1910 '],[' 2437 '],[' 3089 '],[' 3563 '],[' 4304 '],[' 4850 '],[' 5316 '],[' 5664 '],[' 9 '],[' 1 ']
Solving...,TA75, , , , ,[' 1'],[' 4113+'],[' 2067'],"[' 915.430s (Solving', ' 897.34s 1st Model', ' 16.85s Unsat', ' 0.66s)']",[' 912.844s'], ,[' 72253281'],"[' 27870390 (Analyzed', ' 27706972)']","[' 56023    (Average', ' 494.56 Last', ' 105831)']",[' 4736.4  '],"[' 2067     (Average Length', ' 1100.06 Splits', ' 0)']","[' 27706972 (Deleted', ' 27364188)']","[' 28       (Ratio', '   0.00%)']","[' 7815     (Ratio', '   0.03%)']","[' 27706972 (Average Length', '   13.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27706972 (Average', '  2.38 Max', ' 7650 Sum', ' 65843512)']","[' 27705179 (Average', '  2.30 Max', ' 7650 Sum', ' 63845331 Ratio', '  96.97%)']","[' 1793     (Average', ' 1114.43 Max', ' 1722 Sum', ' 1998181 Ratio', '   3.03%)']", ,[' 256662  '],[' 9507    '],[' 236520  '],[' 75231   '],"[' 191617   (Atom=Atom', ' 54702 Body=Body', ' 34501 Other', ' 102414)']",[' Yes'],"[' 12956    (Eliminated', '    0 Frozen', ' 12956)']","[' 1516     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.55214'],[' 0'], ,[' 628.884'],[' 0'],[' 10.6353'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.59026e+08'],[' 8.95921e+07'],[' 0'],[' 3.97742e+10'],[' 0'],[' 0'],[' 871 '],[' 1505 '],[' 1991 '],[' 2702 '],[' 3230 '],[' 3708 '],[' 4254 '],[' 4796 '],[' 5293 '],[' 5721 '],[' 9 '],[' 1 ']
Solving...,TA76, , , , ,[' 1'],[' 3549+'],[' 1785'],"[' 49602.640s (Solving', ' 49587.07s 1st Model', ' 14.46s Unsat', ' 347.76s)']",[' 785.344s'], ,[' 56259387'],"[' 21955035 (Analyzed', ' 21821816)']","[' 44801    (Average', ' 487.08 Last', ' 231185)']",[' 4888.7  '],"[' 1785     (Average Length', ' 976.81 Splits', ' 0)']","[' 21821816 (Deleted', ' 21517258)']","[' 6        (Ratio', '   0.00%)']","[' 4454     (Ratio', '   0.02%)']","[' 21821816 (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21821816 (Average', '  2.29 Max', ' 8496 Sum', ' 49950706)']","[' 21820379 (Average', '  2.22 Max', ' 8496 Sum', ' 48505125 Ratio', '  97.11%)']","[' 1437     (Average', ' 1005.97 Max', ' 1542 Sum', ' 1445581 Ratio', '   2.89%)']", ,[' 256221  '],[' 9286    '],[' 235282  '],[' 74786   '],"[' 187400   (Atom=Atom', ' 53536 Body=Body', ' 33838 Other', ' 100026)']",[' Yes'],"[' 12520    (Eliminated', '    0 Frozen', ' 12520)']","[' 738      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.05018'],[' 0'], ,[' 49370.7'],[' 0'],[' 10.2126'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.15423e+08'],[' 6.23727e+07'],[' 0'],[' 3.42011e+10'],[' 0'],[' 0'],[' 821 '],[' 1424 '],[' 2042 '],[' 2491 '],[' 3030 '],[' 3602 '],[' 4166 '],[' 4729 '],[' 5271 '],[' 5700 '],[' 7 '],[' 3 ']
Solving...,TA77, , , , ,[' 1'],[' 3357+'],[' 1689'],"[' 1303.456s (Solving', ' 1289.02s 1st Model', ' 12.31s Unsat', ' 0.00s)']",[' 999.125s'], ,[' 74071780'],"[' 33410480 (Analyzed', ' 33287508)']","[' 68418    (Average', ' 486.53 Last', ' 140670)']",[' 4972.7  '],"[' 1689     (Average Length', ' 938.46 Splits', ' 0)']","[' 33287508 (Deleted', ' 32866335)']","[' 8        (Ratio', '   0.00%)']","[' 4305     (Ratio', '   0.01%)']","[' 33287508 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 33287508 (Average', '  2.03 Max', ' 7554 Sum', ' 67548188)']","[' 33286075 (Average', '  1.99 Max', ' 7405 Sum', ' 66169036 Ratio', '  97.96%)']","[' 1433     (Average', ' 962.42 Max', ' 1487 Sum', ' 1379152 Ratio', '   2.04%)']", ,[' 255854  '],[' 9369    '],[' 235234  '],[' 74579   '],"[' 188405   (Atom=Atom', ' 53772 Body=Body', ' 34087 Other', ' 100546)']",[' Yes'],"[' 12532    (Eliminated', '    0 Frozen', ' 12532)']","[' 716      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.88736'],[' 0'], ,[' 1031.45'],[' 0'],[' 14.0134'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.63059e+08'],[' 8.13233e+07'],[' 0'],[' 4.75775e+10'],[' 0'],[' 0'],[' 840 '],[' 1577 '],[' 2194 '],[' 2523 '],[' 3055 '],[' 3617 '],[' 4221 '],[' 4794 '],[' 5329 '],[' 5757 '],[' 10 '],[' 0 ']
Solving...,TA78, , , , ,[' 1'],[' 3633+'],[' 1827'],"[' 828.803s (Solving', ' 812.35s 1st Model', ' 14.56s Unsat', ' 1.69s)']",[' 823.719s'], ,[' 68481506'],"[' 23620436 (Analyzed', ' 23387536)']","[' 47489    (Average', ' 492.48 Last', ' 101742)']",[' 4763.1  '],"[' 1827     (Average Length', ' 997.22 Splits', ' 0)']","[' 23387536 (Deleted', ' 23087234)']","[' 12       (Ratio', '   0.00%)']","[' 5881     (Ratio', '   0.03%)']","[' 23387536 (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23387536 (Average', '  2.66 Max', ' 7459 Sum', ' 62200874)']","[' 23386059 (Average', '  2.59 Max', ' 7180 Sum', ' 60643110 Ratio', '  97.50%)']","[' 1477     (Average', ' 1054.68 Max', ' 1612 Sum', ' 1557764 Ratio', '   2.50%)']", ,[' 255277  '],[' 9392    '],[' 235080  '],[' 74367   '],"[' 189163   (Atom=Atom', ' 54002 Body=Body', ' 34156 Other', ' 101005)']",[' Yes'],"[' 12658    (Eliminated', '    0 Frozen', ' 12658)']","[' 1069     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.29029'],[' 0'], ,[' 569.863'],[' 0'],[' 12.1561'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.42819e+08'],[' 8.15223e+07'],[' 0'],[' 3.36708e+10'],[' 0'],[' 0'],[' 898 '],[' 1463 '],[' 2121 '],[' 2636 '],[' 3184 '],[' 3733 '],[' 4267 '],[' 4771 '],[' 5296 '],[' 5704 '],[' 8 '],[' 2 ']
Solving...,TA79, , , , , ,[' 3667'],[' 1844'],"[' 915.126s (Solving', ' 896.74s 1st Model', ' 16.70s Unsat', ' 80.56s)']",[' 914.344s'], ,[' 67083717'],"[' 26052226 (Analyzed', ' 25890180)']","[' 53627    (Average', ' 482.78 Last', ' 75723)']",[' 4833.0  '],"[' 1844     (Average Length', ' 1005.38 Splits', ' 0)']","[' 25890180 (Deleted', ' 25547670)']","[' 21       (Ratio', '   0.00%)']","[' 6633     (Ratio', '   0.03%)']","[' 25890180 (Average Length', '   13.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25890180 (Average', '  2.34 Max', ' 7768 Sum', ' 60473520)']","[' 25888758 (Average', '  2.28 Max', ' 7768 Sum', ' 59069525 Ratio', '  97.68%)']","[' 1422     (Average', ' 987.34 Max', ' 1580 Sum', ' 1403995 Ratio', '   2.32%)']", ,[' 257537  '],[' 9489    '],[' 236654  '],[' 75631   '],"[' 190704   (Atom=Atom', ' 54407 Body=Body', ' 34447 Other', ' 101850)']",[' Yes'],"[' 12776    (Eliminated', '    0 Frozen', ' 12776)']","[' 1271     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.76979'],[' 0'], ,[' 622.749'],[' 0'],[' 10.7632'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.43672e+08'],[' 7.78198e+07'],[' 0'],[' 3.43344e+10'],[' 0'],[' 0'],[' 837 '],[' 1440 '],[' 2042 '],[' 2500 '],[' 2978 '],[' 3698 '],[' 4150 '],[' 4675 '],[' 5212 '],[' 5660 '],[' 8 '],[' 2 ']
Solving...,TA80, , , , ,[' 1'],[' 3645+'],[' 1833'],"[' 975.490s (Solving', ' 958.70s 1st Model', ' 16.32s Unsat', ' 63.70s)']",[' 971.750s'], ,[' 74229156'],"[' 24213008 (Analyzed', ' 24052802)']","[' 50568    (Average', ' 475.65 Last', ' 40554)']",[' 4621.0  '],"[' 1833     (Average Length', ' 1004.70 Splits', ' 0)']","[' 24052802 (Deleted', ' 23718155)']","[' 34       (Ratio', '   0.00%)']","[' 8562     (Ratio', '   0.04%)']","[' 24052802 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24052802 (Average', '  2.84 Max', ' 7315 Sum', ' 68380356)']","[' 24051321 (Average', '  2.77 Max', ' 7315 Sum', ' 66708855 Ratio', '  97.56%)']","[' 1481     (Average', ' 1128.63 Max', ' 1617 Sum', ' 1671501 Ratio', '   2.44%)']", ,[' 256747  '],[' 9496    '],[' 236242  '],[' 75188   '],"[' 190833   (Atom=Atom', ' 54424 Body=Body', ' 34468 Other', ' 101941)']",[' Yes'],"[' 12793    (Eliminated', '    0 Frozen', ' 12793)']","[' 1760     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.30292'],[' 0'], ,[' 692.79'],[' 0'],[' 13.5091'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.7879e+08'],[' 1.07483e+08'],[' 0'],[' 3.82301e+10'],[' 0'],[' 0'],[' 786 '],[' 1372 '],[' 2110 '],[' 2580 '],[' 3068 '],[' 3609 '],[' 4113 '],[' 4643 '],[' 5200 '],[' 5565 '],[' 9 '],[' 1 ']
