Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , , ,[' 1281'],[' 651'],"[' 13.710s (Solving', ' 10.94s 1st Model', ' 1.13s Unsat', ' 0.08s)']",[' 13.422s'], ,[' 1262530 '],"[' 12979    (Analyzed', ' 6891)']","[' 42       (Average', ' 164.07 Last', ' 71)']",[' 1413.9  '],"[' 651      (Average Length', ' 382.07 Splits', ' 0)']","[' 6891     (Deleted', ' 0)']","[' 30       (Ratio', '   0.44%)']","[' 217      (Ratio', '   3.15%)']","[' 6891     (Average Length', '    7.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6891     (Average', ' 103.52 Max', ' 2405 Sum', ' 713385)']","[' 6583     (Average', ' 86.31 Max', ' 1863 Sum', ' 594776 Ratio', '  83.37%)']","[' 308      (Average', ' 385.09 Max', ' 595 Sum', ' 118609 Ratio', '  16.63%)']", ,[' 75279   '],[' 2180    '],[' 70626   '],[' 20973   '],"[' 55099    (Atom=Atom', ' 16670 Body=Body', ' 9617 Other', ' 28812)']",[' Yes'],"[' 3580     (Eliminated', '    0 Frozen', ' 3580)']","[' 4        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.573687'],[' 0'], ,[' 0.908331'],[' 0'],[' 0.085946'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.69255e+06'],[' 2.23226e+06'],[' 0'],[' 9.65941e+06'],[' 0'],[' 0'],[' 542 '],[' 804 '],[' 1150 '],[' 1497 '],[' 2019 '],[' 2334 '],[' 2599 '],[' 2874 '],[' 3129 '],[' 3345 '],[' 0 '],[' 10 ']
Solving...,TA62, , , , , ,[' 1209'],[' 615'],"[' 14.529s (Solving', ' 11.64s 1st Model', ' 1.16s Unsat', ' 0.23s)']",[' 14.313s'], ,[' 1241453 '],"[' 44588    (Analyzed', ' 13347)']","[' 128      (Average', ' 104.27 Last', ' 357)']",[' 1374.8  '],"[' 615      (Average Length', ' 372.96 Splits', ' 0)']","[' 13347    (Deleted', ' 2840)']","[' 24       (Ratio', '   0.18%)']","[' 274      (Ratio', '   2.05%)']","[' 13347    (Average Length', '    8.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13347    (Average', ' 53.28 Max', ' 2339 Sum', ' 711188)']","[' 13036    (Average', ' 45.12 Max', ' 2074 Sum', ' 602184 Ratio', '  84.67%)']","[' 311      (Average', ' 350.50 Max', ' 583 Sum', ' 109004 Ratio', '  15.33%)']", ,[' 75755   '],[' 2204    '],[' 70917   '],[' 21264   '],"[' 55392    (Atom=Atom', ' 16738 Body=Body', ' 9692 Other', ' 28962)']",[' Yes'],"[' 3581     (Eliminated', '    0 Frozen', ' 3581)']","[' 19       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.591387'],[' 0'], ,[' 1.21147'],[' 0'],[' 0.0896645'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.63256e+06'],[' 2.15688e+06'],[' 0'],[' 2.68394e+07'],[' 0'],[' 0'],[' 583 '],[' 948 '],[' 1234 '],[' 1611 '],[' 1940 '],[' 2253 '],[' 2554 '],[' 2896 '],[' 3203 '],[' 3445 '],[' 0 '],[' 10 ']
Solving...,TA63, , , , , ,[' 1327'],[' 674'],"[' 19.527s (Solving', ' 16.47s 1st Model', ' 1.23s Unsat', ' 4.03s)']",[' 19.125s'], ,[' 1345778 '],"[' 137833   (Analyzed', ' 131446)']","[' 434      (Average', ' 302.87 Last', ' 806)']",[' 1345.7  '],"[' 674      (Average Length', ' 397.72 Splits', ' 0)']","[' 131446   (Deleted', ' 114936)']","[' 21       (Ratio', '   0.02%)']","[' 390      (Ratio', '   0.30%)']","[' 131446   (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 131446   (Average', '  6.36 Max', ' 2178 Sum', ' 835461)']","[' 131103   (Average', '  5.38 Max', ' 1857 Sum', ' 706711 Ratio', '  84.59%)']","[' 343      (Average', ' 375.36 Max', ' 659 Sum', ' 128750 Ratio', '  15.41%)']", ,[' 75899   '],[' 2226    '],[' 71129   '],[' 21411   '],"[' 55857    (Atom=Atom', ' 16883 Body=Body', ' 9757 Other', ' 29217)']",[' Yes'],"[' 3658     (Eliminated', '    0 Frozen', ' 3658)']","[' 58       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.609294'],[' 0'], ,[' 3.85797'],[' 0'],[' 0.13051'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.05918e+06'],[' 2.31967e+06'],[' 0'],[' 1.49082e+08'],[' 0'],[' 0'],[' 602 '],[' 920 '],[' 1179 '],[' 1510 '],[' 1774 '],[' 2052 '],[' 2371 '],[' 2844 '],[' 3103 '],[' 3238 '],[' 0 '],[' 10 ']
Solving...,TA64, , , , , ,[' 1259'],[' 640'],"[' 13.942s (Solving', ' 11.19s 1st Model', ' 1.20s Unsat', ' 0.26s)']",[' 13.938s'], ,[' 1296223 '],"[' 27323    (Analyzed', ' 20070)']","[' 119      (Average', ' 168.66 Last', ' 303)']",[' 1394.0  '],"[' 640      (Average Length', ' 376.56 Splits', ' 0)']","[' 20070    (Deleted', ' 11074)']","[' 10       (Ratio', '   0.05%)']","[' 310      (Ratio', '   1.54%)']","[' 20070    (Average Length', '    9.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20070    (Average', ' 37.46 Max', ' 2250 Sum', ' 751736)']","[' 19778    (Average', ' 32.25 Max', ' 1867 Sum', ' 647263 Ratio', '  86.10%)']","[' 292      (Average', ' 357.78 Max', ' 606 Sum', ' 104473 Ratio', '  13.90%)']", ,[' 75620   '],[' 2218    '],[' 70925   '],[' 21193   '],"[' 55694    (Atom=Atom', ' 16817 Body=Body', ' 9733 Other', ' 29144)']",[' Yes'],"[' 3617     (Eliminated', '    0 Frozen', ' 3617)']","[' 11       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.552799'],[' 0'], ,[' 1.09563'],[' 0'],[' 0.0900878'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.78635e+06'],[' 2.29127e+06'],[' 0'],[' 1.94222e+07'],[' 0'],[' 0'],[' 515 '],[' 1092 '],[' 1360 '],[' 1660 '],[' 1898 '],[' 2258 '],[' 2416 '],[' 2712 '],[' 2982 '],[' 3154 '],[' 0 '],[' 10 ']
Solving...,TA65, , , , , ,[' 1245'],[' 633'],"[' 15.741s (Solving', ' 12.79s 1st Model', ' 1.27s Unsat', ' 0.66s)']",[' 15.563s'], ,[' 1346306 '],"[' 48072    (Analyzed', ' 25717)']","[' 192      (Average', ' 133.94 Last', ' 972)']",[' 1416.8  '],"[' 633      (Average Length', ' 377.70 Splits', ' 0)']","[' 25717    (Deleted', ' 14350)']","[' 36       (Ratio', '   0.14%)']","[' 379      (Ratio', '   1.47%)']","[' 25717    (Average Length', '    9.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25717    (Average', ' 31.11 Max', ' 2399 Sum', ' 799936)']","[' 25345    (Average', ' 26.29 Max', ' 1869 Sum', ' 675974 Ratio', '  84.50%)']","[' 372      (Average', ' 333.23 Max', ' 577 Sum', ' 123962 Ratio', '  15.50%)']", ,[' 76002   '],[' 2222    '],[' 71123   '],[' 21420   '],"[' 55721    (Atom=Atom', ' 16823 Body=Body', ' 9744 Other', ' 29154)']",[' Yes'],"[' 3615     (Eliminated', '    0 Frozen', ' 3615)']","[' 10       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.601168'],[' 0'], ,[' 1.57633'],[' 0'],[' 0.107656'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.90451e+06'],[' 2.3792e+06'],[' 0'],[' 3.81261e+07'],[' 0'],[' 0'],[' 463 '],[' 833 '],[' 1200 '],[' 1474 '],[' 1762 '],[' 2105 '],[' 2409 '],[' 2710 '],[' 3059 '],[' 3232 '],[' 0 '],[' 10 ']
Solving...,TA66, , , , , ,[' 1613'],[' 817'],"[' 18.174s (Solving', ' 14.64s 1st Model', ' 1.50s Unsat', ' 0.04s)']",[' 18.000s'], ,[' 1516205 '],"[' 13126    (Analyzed', ' 4641)']","[' 18       (Average', ' 257.83 Last', ' 78)']",[' 1500.6  '],"[' 817      (Average Length', ' 454.77 Splits', ' 0)']","[' 4641     (Deleted', ' 0)']","[' 16       (Ratio', '   0.34%)']","[' 189      (Ratio', '   4.07%)']","[' 4641     (Average Length', '    6.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4641     (Average', ' 166.98 Max', ' 2371 Sum', ' 774968)']","[' 4362     (Average', ' 142.96 Max', ' 1900 Sum', ' 663492 Ratio', '  85.62%)']","[' 279      (Average', ' 399.56 Max', ' 732 Sum', ' 111476 Ratio', '  14.38%)']", ,[' 75772   '],[' 2189    '],[' 71136   '],[' 21360   '],"[' 55751    (Atom=Atom', ' 16880 Body=Body', ' 9647 Other', ' 29224)']",[' Yes'],"[' 3743     (Eliminated', '    0 Frozen', ' 3743)']","[' 17       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.726675'],[' 0'], ,[' 1.15731'],[' 0'],[' 0.10676'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.31143e+06'],[' 2.74215e+06'],[' 0'],[' 1.03592e+07'],[' 0'],[' 0'],[' 554 '],[' 864 '],[' 1200 '],[' 1466 '],[' 1771 '],[' 2080 '],[' 2400 '],[' 2700 '],[' 3011 '],[' 3244 '],[' 0 '],[' 10 ']
Solving...,TA67, , , , , ,[' 1339'],[' 680'],"[' 17.008s (Solving', ' 13.84s 1st Model', ' 1.29s Unsat', ' 1.50s)']",[' 16.750s'], ,[' 1372549 '],"[' 102158   (Analyzed', ' 79560)']","[' 378      (Average', ' 210.48 Last', ' 806)']",[' 1363.6  '],"[' 680      (Average Length', ' 399.44 Splits', ' 0)']","[' 79560    (Deleted', ' 69996)']","[' 16       (Ratio', '   0.02%)']","[' 386      (Ratio', '   0.49%)']","[' 79560    (Average Length', '    8.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 79560    (Average', ' 10.79 Max', ' 2339 Sum', ' 858437)']","[' 79171    (Average', '  8.82 Max', ' 1827 Sum', ' 701626 Ratio', '  81.73%)']","[' 389      (Average', ' 403.11 Max', ' 633 Sum', ' 156811 Ratio', '  18.27%)']", ,[' 76037   '],[' 2249    '],[' 71252   '],[' 21488   '],"[' 56264    (Atom=Atom', ' 16978 Body=Body', ' 9826 Other', ' 29460)']",[' Yes'],"[' 3677     (Eliminated', '    0 Frozen', ' 3677)']","[' 9        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.608033'],[' 0'], ,[' 1.7473'],[' 0'],[' 0.114238'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.08812e+06'],[' 2.43496e+06'],[' 0'],[' 3.34741e+07'],[' 0'],[' 0'],[' 541 '],[' 949 '],[' 1336 '],[' 1568 '],[' 1989 '],[' 2267 '],[' 2527 '],[' 2802 '],[' 3150 '],[' 3338 '],[' 0 '],[' 10 ']
Solving...,TA68, , , , , ,[' 1297'],[' 659'],"[' 14.611s (Solving', ' 11.63s 1st Model', ' 1.17s Unsat', ' 0.08s)']",[' 14.203s'], ,[' 1265011 '],"[' 13620    (Analyzed', ' 7268)']","[' 43       (Average', ' 169.02 Last', ' 423)']",[' 1412.9  '],"[' 659      (Average Length', ' 388.36 Splits', ' 0)']","[' 7268     (Deleted', ' 0)']","[' 25       (Ratio', '   0.34%)']","[' 134      (Ratio', '   1.84%)']","[' 7268     (Average Length', '    7.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7268     (Average', ' 96.33 Max', ' 2331 Sum', ' 700130)']","[' 6969     (Average', ' 81.66 Max', ' 2052 Sum', ' 593479 Ratio', '  84.77%)']","[' 299      (Average', ' 356.69 Max', ' 611 Sum', ' 106651 Ratio', '  15.23%)']", ,[' 75858   '],[' 2184    '],[' 71008   '],[' 21343   '],"[' 55214    (Atom=Atom', ' 16700 Body=Body', ' 9631 Other', ' 28883)']",[' Yes'],"[' 3598     (Eliminated', '    0 Frozen', ' 3598)']","[' 15       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.601703'],[' 0'], ,[' 0.955345'],[' 0'],[' 0.0871723'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.7126e+06'],[' 2.24888e+06'],[' 0'],[' 1.01562e+07'],[' 0'],[' 0'],[' 450 '],[' 904 '],[' 1153 '],[' 1471 '],[' 1781 '],[' 2062 '],[' 2317 '],[' 2694 '],[' 2994 '],[' 3219 '],[' 0 '],[' 10 ']
Solving...,TA69, , , , , ,[' 1507'],[' 764'],"[' 18.253s (Solving', ' 14.77s 1st Model', ' 1.45s Unsat', ' 0.37s)']",[' 17.969s'], ,[' 1529484 '],"[' 110818   (Analyzed', ' 31677)']","[' 399      (Average', ' 79.39 Last', ' 75)']",[' 1473.5  '],"[' 764      (Average Length', ' 437.47 Splits', ' 0)']","[' 31677    (Deleted', ' 22419)']","[' 30       (Ratio', '   0.09%)']","[' 396      (Ratio', '   1.25%)']","[' 31677    (Average Length', '    8.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 31677    (Average', ' 25.75 Max', ' 2275 Sum', ' 815644)']","[' 31299    (Average', ' 21.09 Max', ' 1831 Sum', ' 668035 Ratio', '  81.90%)']","[' 378      (Average', ' 390.50 Max', ' 681 Sum', ' 147609 Ratio', '  18.10%)']", ,[' 75714   '],[' 2248    '],[' 71157   '],[' 21338   '],"[' 56514    (Atom=Atom', ' 17063 Body=Body', ' 9824 Other', ' 29627)']",[' Yes'],"[' 3736     (Eliminated', '    0 Frozen', ' 3736)']","[' 19       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.726416'],[' 0'], ,[' 1.68072'],[' 0'],[' 0.110596'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.46806e+06'],[' 2.79165e+06'],[' 0'],[' 4.67833e+07'],[' 0'],[' 0'],[' 662 '],[' 1106 '],[' 1511 '],[' 1739 '],[' 1964 '],[' 2341 '],[' 2611 '],[' 2939 '],[' 3216 '],[' 3465 '],[' 0 '],[' 10 ']
Solving...,TA70, , , , , ,[' 1567'],[' 794'],"[' 15.951s (Solving', ' 12.83s 1st Model', ' 1.29s Unsat', ' 0.29s)']",[' 15.672s'], ,[' 1528629 '],"[' 65945    (Analyzed', ' 20424)']","[' 284      (Average', ' 71.92 Last', ' 168)']",[' 1437.4  '],"[' 794      (Average Length', ' 455.61 Splits', ' 0)']","[' 20424    (Deleted', ' 11794)']","[' 22       (Ratio', '   0.11%)']","[' 332      (Ratio', '   1.63%)']","[' 20424    (Average Length', '    8.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20424    (Average', ' 45.78 Max', ' 2383 Sum', ' 934994)']","[' 19964    (Average', ' 34.88 Max', ' 1766 Sum', ' 712300 Ratio', '  76.18%)']","[' 460      (Average', ' 484.12 Max', ' 745 Sum', ' 222694 Ratio', '  23.82%)']", ,[' 75081   '],[' 2288    '],[' 70878   '],[' 20995   '],"[' 57171    (Atom=Atom', ' 17251 Body=Body', ' 9943 Other', ' 29977)']",[' Yes'],"[' 3814     (Eliminated', '    0 Frozen', ' 3814)']","[' 19       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.624789'],[' 0'], ,[' 1.27431'],[' 0'],[' 0.0993854'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.29742e+06'],[' 2.70875e+06'],[' 0'],[' 3.00043e+07'],[' 0'],[' 0'],[' 623 '],[' 1006 '],[' 1457 '],[' 1811 '],[' 2079 '],[' 2480 '],[' 2868 '],[' 3060 '],[' 3369 '],[' 3577 '],[' 0 '],[' 10 ']
