Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , ,[' 1'],[' 4617+'],[' 2310'],"[' 607.515s (Solving', ' 587.33s 1st Model', ' 499.14s Unsat', ' 0.00s)']",[' 590.078s'], ,[' 235626387'],"[' 2316253  (Analyzed', ' 1140524)']","[' 4706     (Average', ' 242.36 Last', ' 314814)']",[' 6414.4  '],"[' 2310     (Average Length', ' 1137.22 Splits', ' 0)']","[' 1140524  (Deleted', ' 1080934)']","[' 230      (Ratio', '   0.02%)']","[' 49441    (Ratio', '   4.33%)']","[' 1140524  (Average Length', '   24.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1140524  (Average', ' 194.77 Max', ' 7339 Sum', ' 222136726)']","[' 1140439  (Average', ' 194.68 Max', ' 6328 Sum', ' 222034046 Ratio', '  99.95%)']","[' 85       (Average', ' 1208.00 Max', ' 1208 Sum', ' 102680 Ratio', '   0.05%)']", ,[' 111924  '],[' 9312    '],[' 109460  '],[' 51134   '],"[' 183450   (Atom=Atom', ' 52007 Body=Body', ' 29841 Other', ' 101602)']",[' Yes'],"[' 11503    (Eliminated', '    0 Frozen', ' 11503)']","[' 751      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.77889'],[' 0'], ,[' 196.695'],[' 0'],[' 18.7703'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.58885e+08'],[' 5.92737e+08'],[' 0'],[' 4.43133e+09'],[' 0'],[' 0'],[' 1692 '],[' 3430 '],[' 2 '],[' 0 ']
Solving...,TA52, , , ,[' 1'],[' 4081+'],[' 2043'],"[' 604.346s (Solving', ' 588.68s 1st Model', ' 134.78s Unsat', ' 0.00s)']",[' 599.906s'], ,[' 246600958'],"[' 3091504  (Analyzed', ' 1542574)']","[' 4831     (Average', ' 319.31 Last', ' 43891)']",[' 6410.3  '],"[' 2043     (Average Length', ' 1005.59 Splits', ' 0)']","[' 1542574  (Deleted', ' 1475843)']","[' 262      (Ratio', '   0.02%)']","[' 52510    (Ratio', '   3.40%)']","[' 1542574  (Average Length', '   27.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1542574  (Average', ' 151.90 Max', ' 7110 Sum', ' 234321674)']","[' 1542060  (Average', ' 151.56 Max', ' 6173 Sum', ' 233788656 Ratio', '  99.77%)']","[' 514      (Average', ' 1037.00 Max', ' 1037 Sum', ' 533018 Ratio', '   0.23%)']", ,[' 112059  '],[' 9374    '],[' 109333  '],[' 51176   '],"[' 183514   (Atom=Atom', ' 51925 Body=Body', ' 30027 Other', ' 101562)']",[' Yes'],"[' 11334    (Eliminated', '    0 Frozen', ' 11334)']","[' 5483     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.3129'],[' 0'], ,[' 214.247'],[' 0'],[' 19.0992'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.85373e+08'],[' 6.13052e+08'],[' 0'],[' 5.82288e+09'],[' 0'],[' 0'],[' 1867 '],[' 3615 '],[' 2 '],[' 0 ']
Solving...,TA53, , , ,[' 1'],[' 4035+'],[' 2020'],"[' 604.167s (Solving', ' 587.83s 1st Model', ' 266.63s Unsat', ' 0.00s)']",[' 599.172s'], ,[' 250003969'],"[' 2566295  (Analyzed', ' 1275281)']","[' 4431     (Average', ' 287.81 Last', ' 216092)']",[' 6173.0  '],"[' 2020     (Average Length', ' 997.00 Splits', ' 0)']","[' 1275281  (Deleted', ' 1213611)']","[' 250      (Ratio', '   0.02%)']","[' 49571    (Ratio', '   3.89%)']","[' 1275281  (Average Length', '   23.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1275281  (Average', ' 187.10 Max', ' 6923 Sum', ' 238603277)']","[' 1274784  (Average', ' 186.67 Max', ' 5825 Sum', ' 238057571 Ratio', '  99.77%)']","[' 497      (Average', ' 1098.00 Max', ' 1098 Sum', ' 545706 Ratio', '   0.23%)']", ,[' 110450  '],[' 9130    '],[' 107832  '],[' 49933   '],"[' 180029   (Atom=Atom', ' 51170 Body=Body', ' 29295 Other', ' 99564)']",[' Yes'],"[' 11076    (Eliminated', '    0 Frozen', ' 11076)']","[' 5453     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.32875'],[' 0'], ,[' 202.851'],[' 0'],[' 18.9037'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.49735e+08'],[' 6.74291e+08'],[' 0'],[' 4.9642e+09'],[' 0'],[' 0'],[' 1514 '],[' 3358 '],[' 2 '],[' 0 ']
Solving...,TA54, , , ,[' 1'],[' 4301+'],[' 2153'],"[' 604.814s (Solving', ' 587.09s 1st Model', ' 474.05s Unsat', ' 0.00s)']",[' 600.203s'], ,[' 241795450'],"[' 2603564  (Analyzed', ' 1190714)']","[' 4643     (Average', ' 256.45 Last', ' 292821)']",[' 6242.7  '],"[' 2153     (Average Length', ' 1052.22 Splits', ' 0)']","[' 1190714  (Deleted', ' 1124640)']","[' 203      (Ratio', '   0.02%)']","[' 52470    (Ratio', '   4.41%)']","[' 1190714  (Average Length', '   23.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1190714  (Average', ' 192.82 Max', ' 6834 Sum', ' 229591762)']","[' 1190174  (Average', ' 192.32 Max', ' 5730 Sum', ' 228996299 Ratio', '  99.74%)']","[' 540      (Average', ' 1102.71 Max', ' 1104 Sum', ' 595463 Ratio', '   0.26%)']", ,[' 111441  '],[' 9262    '],[' 108864  '],[' 50726   '],"[' 182276   (Atom=Atom', ' 51699 Body=Body', ' 29691 Other', ' 100886)']",[' Yes'],"[' 11315    (Eliminated', '    0 Frozen', ' 11315)']","[' 5807     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.71526'],[' 0'], ,[' 201.848'],[' 0'],[' 18.6129'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.16481e+08'],[' 6.44714e+08'],[' 0'],[' 5.09172e+09'],[' 0'],[' 0'],[' 1625 '],[' 3220 '],[' 2 '],[' 0 ']
Solving...,TA55, , , ,[' 1'],[' 4351+'],[' 2178'],"[' 604.806s (Solving', ' 586.97s 1st Model', ' 341.77s Unsat', ' 0.00s)']",[' 599.984s'], ,[' 235607365'],"[' 2696612  (Analyzed', ' 1234845)']","[' 4882     (Average', ' 252.94 Last', ' 158487)']",[' 6362.2  '],"[' 2178     (Average Length', ' 1065.53 Splits', ' 0)']","[' 1234845  (Deleted', ' 1173085)']","[' 277      (Ratio', '   0.02%)']","[' 51379    (Ratio', '   4.16%)']","[' 1234845  (Average Length', '   23.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1234845  (Average', ' 180.48 Max', ' 7014 Sum', ' 222862041)']","[' 1234317  (Average', ' 180.00 Max', ' 6248 Sum', ' 222273321 Ratio', '  99.74%)']","[' 528      (Average', ' 1115.00 Max', ' 1115 Sum', ' 588720 Ratio', '   0.26%)']", ,[' 111557  '],[' 9276    '],[' 108981  '],[' 50821   '],"[' 182546   (Atom=Atom', ' 51766 Body=Body', ' 29733 Other', ' 101047)']",[' Yes'],"[' 11337    (Eliminated', '    0 Frozen', ' 11337)']","[' 5781     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.60941'],[' 0'], ,[' 205.551'],[' 0'],[' 18.3332'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.86506e+08'],[' 6.14371e+08'],[' 0'],[' 5.11662e+09'],[' 0'],[' 0'],[' 1762 '],[' 3365 '],[' 2 '],[' 0 ']
Solving...,TA56, , , ,[' 1'],[' 4355+'],[' 2180'],"[' 604.695s (Solving', ' 586.63s 1st Model', ' 223.21s Unsat', ' 0.00s)']",[' 598.844s'], ,[' 232374645'],"[' 4077746  (Analyzed', ' 1986002)']","[' 5839     (Average', ' 340.13 Last', ' 40044)']",[' 6591.4  '],"[' 2180     (Average Length', ' 1066.30 Splits', ' 0)']","[' 1986002  (Deleted', ' 1925146)']","[' 304      (Ratio', '   0.02%)']","[' 46606    (Ratio', '   2.35%)']","[' 1986002  (Average Length', '   24.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1986002  (Average', ' 109.90 Max', ' 6997 Sum', ' 218254832)']","[' 1985547  (Average', ' 109.69 Max', ' 6108 Sum', ' 217850337 Ratio', '  99.81%)']","[' 455      (Average', ' 889.00 Max', ' 889 Sum', ' 404495 Ratio', '   0.19%)']", ,[' 110753  '],[' 9152    '],[' 108256  '],[' 50203   '],"[' 180817   (Atom=Atom', ' 51396 Body=Body', ' 29361 Other', ' 100060)']",[' Yes'],"[' 11230    (Eliminated', '    0 Frozen', ' 11230)']","[' 5342     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.7347'],[' 0'], ,[' 229.601'],[' 0'],[' 18.4837'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.00022e+08'],[' 5.28048e+08'],[' 0'],[' 6.37492e+09'],[' 0'],[' 0'],[' 1903 '],[' 3502 '],[' 2 '],[' 0 ']
Solving...,TA57, , , ,[' 1'],[' 4501+'],[' 2253'],"[' 605.334s (Solving', ' 585.21s 1st Model', ' 75.24s Unsat', ' 0.00s)']",[' 600.781s'], ,[' 237153837'],"[' 3121146  (Analyzed', ' 1453640)']","[' 4613     (Average', ' 315.12 Last', ' 38981)']",[' 6493.4  '],"[' 2253     (Average Length', ' 1108.49 Splits', ' 0)']","[' 1453640  (Deleted', ' 1385904)']","[' 278      (Ratio', '   0.02%)']","[' 49669    (Ratio', '   3.42%)']","[' 1453640  (Average Length', '   25.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1453640  (Average', ' 153.85 Max', ' 7112 Sum', ' 223636069)']","[' 1453072  (Average', ' 153.42 Max', ' 6015 Sum', ' 223012973 Ratio', '  99.72%)']","[' 568      (Average', ' 1097.00 Max', ' 1097 Sum', ' 623096 Ratio', '   0.28%)']", ,[' 111450  '],[' 9248    '],[' 108986  '],[' 50756   '],"[' 182380   (Atom=Atom', ' 51757 Body=Body', ' 29649 Other', ' 100974)']",[' Yes'],"[' 11407    (Eliminated', '    0 Frozen', ' 11407)']","[' 5937     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.1774'],[' 0'], ,[' 212.205'],[' 0'],[' 18.3435'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.51754e+08'],[' 5.85841e+08'],[' 0'],[' 5.8487e+09'],[' 0'],[' 0'],[' 1981 '],[' 3556 '],[' 2 '],[' 0 ']
Solving...,TA58, , , ,[' 1'],[' 4441+'],[' 2223'],"[' 605.164s (Solving', ' 586.28s 1st Model', ' 183.21s Unsat', ' 0.00s)']",[' 603.063s'], ,[' 242103815'],"[' 3099713  (Analyzed', ' 1284999)']","[' 4558     (Average', ' 281.92 Last', ' 122328)']",[' 6409.1  '],"[' 2223     (Average Length', ' 1091.11 Splits', ' 0)']","[' 1284999  (Deleted', ' 1223159)']","[' 309      (Ratio', '   0.02%)']","[' 51820    (Ratio', '   4.03%)']","[' 1284999  (Average Length', '   25.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1284999  (Average', ' 178.08 Max', ' 7005 Sum', ' 228837586)']","[' 1284468  (Average', ' 177.64 Max', ' 6632 Sum', ' 228268885 Ratio', '  99.75%)']","[' 531      (Average', ' 1071.00 Max', ' 1071 Sum', ' 568701 Ratio', '   0.25%)']", ,[' 111992  '],[' 9336    '],[' 109449  '],[' 51166   '],"[' 183521   (Atom=Atom', ' 51991 Body=Body', ' 29913 Other', ' 101617)']",[' Yes'],"[' 11460    (Eliminated', '    0 Frozen', ' 11460)']","[' 6072     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.83357'],[' 0'], ,[' 205.452'],[' 0'],[' 18.4637'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.93906e+08'],[' 6.23413e+08'],[' 0'],[' 5.50991e+09'],[' 0'],[' 0'],[' 1830 '],[' 3674 '],[' 2 '],[' 0 ']
Solving...,TA59, , , ,[' 1'],[' 4675+'],[' 2340'],"[' 605.481s (Solving', ' 584.79s 1st Model', ' 300.83s Unsat', ' 0.00s)']",[' 597.063s'], ,[' 224195375'],"[' 2611181  (Analyzed', ' 1106994)']","[' 4398     (Average', ' 251.70 Last', ' 105868)']",[' 6405.0  '],"[' 2340     (Average Length', ' 1143.34 Splits', ' 0)']","[' 1106994  (Deleted', ' 1044053)']","[' 240      (Ratio', '   0.02%)']","[' 50009    (Ratio', '   4.52%)']","[' 1106994  (Average Length', '   23.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1106994  (Average', ' 190.38 Max', ' 6936 Sum', ' 210744663)']","[' 1106422  (Average', ' 189.82 Max', ' 6132 Sum', ' 210134099 Ratio', '  99.71%)']","[' 572      (Average', ' 1067.42 Max', ' 1069 Sum', ' 610564 Ratio', '   0.29%)']", ,[' 111147  '],[' 9188    '],[' 108748  '],[' 50543   '],"[' 181801   (Atom=Atom', ' 51664 Body=Body', ' 29469 Other', ' 100668)']",[' Yes'],"[' 11382    (Eliminated', '    0 Frozen', ' 11382)']","[' 5865     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.21425'],[' 0'], ,[' 203.552'],[' 0'],[' 17.9379'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.33823e+08'],[' 5.70246e+08'],[' 0'],[' 4.71398e+09'],[' 0'],[' 0'],[' 1642 '],[' 3290 '],[' 2 '],[' 0 ']
Solving...,TA60, , , ,[' 1'],[' 4403+'],[' 2204'],"[' 604.933s (Solving', ' 586.58s 1st Model', ' 485.68s Unsat', ' 0.00s)']",[' 601.984s'], ,[' 245950328'],"[' 2611282  (Analyzed', ' 1187313)']","[' 4799     (Average', ' 247.41 Last', ' 223800)']",[' 6328.4  '],"[' 2204     (Average Length', ' 1079.13 Splits', ' 0)']","[' 1187313  (Deleted', ' 1125322)']","[' 200      (Ratio', '   0.02%)']","[' 51103    (Ratio', '   4.30%)']","[' 1187313  (Average Length', '   22.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1187313  (Average', ' 196.48 Max', ' 6958 Sum', ' 233281359)']","[' 1186791  (Average', ' 196.00 Max', ' 5870 Sum', ' 232713423 Ratio', '  99.76%)']","[' 522      (Average', ' 1088.00 Max', ' 1088 Sum', ' 567936 Ratio', '   0.24%)']", ,[' 110907  '],[' 9172    '],[' 108427  '],[' 50327   '],"[' 181169   (Atom=Atom', ' 51480 Body=Body', ' 29421 Other', ' 100268)']",[' Yes'],"[' 11277    (Eliminated', '    0 Frozen', ' 11277)']","[' 5523     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.82731'],[' 0'], ,[' 201.437'],[' 0'],[' 18.6027'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.40267e+08'],[' 6.6424e+08'],[' 0'],[' 5.09251e+09'],[' 0'],[' 0'],[' 1637 '],[' 3247 '],[' 2 '],[' 0 ']
