Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , ,[' 1'],[' 2907+'],[' 1457'],"[' 602.048s (Solving', ' 594.85s 1st Model', ' 11.81s Unsat', ' 0.00s)']",[' 600.531s'], ,[' 165021888'],"[' 11184473 (Analyzed', ' 10965854)']","[' 21795    (Average', ' 503.14 Last', ' 13200)']",[' 3510.2  '],"[' 1457     (Average Length', ' 773.28 Splits', ' 0)']","[' 10965854 (Deleted', ' 10854951)']","[' 163      (Ratio', '   0.00%)']","[' 27542    (Ratio', '   0.25%)']","[' 10965854 (Average Length', '   22.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10965854 (Average', ' 14.64 Max', ' 3660 Sum', ' 160542696)']","[' 10965259 (Average', ' 14.59 Max', ' 3660 Sum', ' 160029521 Ratio', '  99.68%)']","[' 595      (Average', ' 862.48 Max', ' 925 Sum', ' 513175 Ratio', '   0.32%)']", ,[' 92882   '],[' 6133    '],[' 86270   '],[' 39477   '],"[' 116327   (Atom=Atom', ' 30248 Body=Body', ' 20429 Other', ' 65650)']",[' Yes'],"[' 7736     (Eliminated', '    0 Frozen', ' 7736)']","[' 4637     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.4517'],[' 0'], ,[' 370.131'],[' 0'],[' 15.7041'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.3304e+08'],[' 3.50903e+08'],[' 0'],[' 2.30684e+10'],[' 0'],[' 0'],[' 1230 '],[' 2553 '],[' 3626 '],[' 3 '],[' 0 ']
Solving...,TA52, , , ,[' 1'],[' 2721+'],[' 1364'],"[' 601.644s (Solving', ' 595.18s 1st Model', ' 14.32s Unsat', ' 0.00s)']",[' 600.422s'], ,[' 180187104'],"[' 12045620 (Analyzed', ' 11776005)']","[' 21617    (Average', ' 544.76 Last', ' 14467)']",[' 3400.0  '],"[' 1364     (Average Length', ' 733.69 Splits', ' 0)']","[' 11776005 (Deleted', ' 11659893)']","[' 232      (Ratio', '   0.00%)']","[' 31529    (Ratio', '   0.27%)']","[' 11776005 (Average Length', '   19.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11776005 (Average', ' 14.95 Max', ' 3508 Sum', ' 176059518)']","[' 11775453 (Average', ' 14.91 Max', ' 3508 Sum', ' 175600950 Ratio', '  99.74%)']","[' 552      (Average', ' 830.74 Max', ' 884 Sum', ' 458568 Ratio', '   0.26%)']", ,[' 93357   '],[' 6171    '],[' 86695   '],[' 39558   '],"[' 116606   (Atom=Atom', ' 30307 Body=Body', ' 20543 Other', ' 65756)']",[' Yes'],"[' 7708     (Eliminated', '    0 Frozen', ' 7708)']","[' 4453     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.32885'],[' 0'], ,[' 358.859'],[' 0'],[' 17.077'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.63098e+08'],[' 3.72609e+08'],[' 0'],[' 2.1606e+10'],[' 0'],[' 0'],[' 1242 '],[' 2389 '],[' 3588 '],[' 3 '],[' 0 ']
Solving...,TA53, , , ,[' 1'],[' 2857+'],[' 1432'],"[' 601.501s (Solving', ' 594.75s 1st Model', ' 12.52s Unsat', ' 0.00s)']",[' 596.531s'], ,[' 155435028'],"[' 12342813 (Analyzed', ' 11991752)']","[' 22091    (Average', ' 542.83 Last', ' 360253)']",[' 3646.3  '],"[' 1432     (Average Length', ' 774.64 Splits', ' 0)']","[' 11991752 (Deleted', ' 11873234)']","[' 182      (Ratio', '   0.00%)']","[' 24599    (Ratio', '   0.21%)']","[' 11991752 (Average Length', '   19.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11991752 (Average', ' 12.56 Max', ' 3605 Sum', ' 150632150)']","[' 11991166 (Average', ' 12.52 Max', ' 3605 Sum', ' 150164868 Ratio', '  99.69%)']","[' 586      (Average', ' 797.41 Max', ' 887 Sum', ' 467282 Ratio', '   0.31%)']", ,[' 92591   '],[' 6067    '],[' 86027   '],[' 39116   '],"[' 115262   (Atom=Atom', ' 29959 Body=Body', ' 20231 Other', ' 65072)']",[' Yes'],"[' 7661     (Eliminated', '    0 Frozen', ' 7661)']","[' 4517     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.48286'],[' 0'], ,[' 380.166'],[' 0'],[' 16.0809'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.62509e+08'],[' 2.86241e+08'],[' 0'],[' 2.24954e+10'],[' 0'],[' 0'],[' 1155 '],[' 2335 '],[' 3287 '],[' 3 '],[' 0 ']
Solving...,TA54, , , ,[' 1'],[' 2939+'],[' 1473'],"[' 601.953s (Solving', ' 594.74s 1st Model', ' 11.31s Unsat', ' 0.00s)']",[' 600.297s'], ,[' 180982569'],"[' 11380558 (Analyzed', ' 11027730)']","[' 19810    (Average', ' 556.67 Last', ' 4844)']",[' 3561.7  '],"[' 1473     (Average Length', ' 804.53 Splits', ' 0)']","[' 11027730 (Deleted', ' 10918198)']","[' 265      (Ratio', '   0.00%)']","[' 32299    (Ratio', '   0.29%)']","[' 11027730 (Average Length', '   20.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11027730 (Average', ' 15.99 Max', ' 3342 Sum', ' 176309929)']","[' 11027151 (Average', ' 15.95 Max', ' 3342 Sum', ' 175844248 Ratio', '  99.74%)']","[' 579      (Average', ' 804.28 Max', ' 949 Sum', ' 465681 Ratio', '   0.26%)']", ,[' 93113   '],[' 6157    '],[' 86517   '],[' 39574   '],"[' 116620   (Atom=Atom', ' 30360 Body=Body', ' 20501 Other', ' 65759)']",[' Yes'],"[' 7770     (Eliminated', '    0 Frozen', ' 7770)']","[' 5193     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.56285'],[' 0'], ,[' 356.681'],[' 0'],[' 15.9648'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.81217e+08'],[' 3.92526e+08'],[' 0'],[' 2.05773e+10'],[' 0'],[' 0'],[' 1228 '],[' 2257 '],[' 3320 '],[' 3 '],[' 0 ']
Solving...,TA55, , , ,[' 1'],[' 3177+'],[' 1592'],"[' 601.981s (Solving', ' 594.39s 1st Model', ' 13.83s Unsat', ' 0.00s)']",[' 601.172s'], ,[' 187972961'],"[' 8779046  (Analyzed', ' 8536384)']","[' 16627    (Average', ' 513.40 Last', ' 9019)']",[' 3493.2  '],"[' 1592     (Average Length', ' 842.96 Splits', ' 0)']","[' 8536384  (Deleted', ' 8444274)']","[' 282      (Ratio', '   0.00%)']","[' 34358    (Ratio', '   0.40%)']","[' 8536384  (Average Length', '   19.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8536384  (Average', ' 21.49 Max', ' 3676 Sum', ' 183469249)']","[' 8535828  (Average', ' 21.43 Max', ' 3676 Sum', ' 182915131 Ratio', '  99.70%)']","[' 556      (Average', ' 996.62 Max', ' 1075 Sum', ' 554118 Ratio', '   0.30%)']", ,[' 93631   '],[' 6181    '],[' 87115   '],[' 39931   '],"[' 117504   (Atom=Atom', ' 30575 Body=Body', ' 20573 Other', ' 66356)']",[' Yes'],"[' 7924     (Eliminated', '    0 Frozen', ' 7924)']","[' 4450     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.68521'],[' 0'], ,[' 326.202'],[' 0'],[' 16.4149'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.48579e+08'],[' 4.59149e+08'],[' 0'],[' 1.60253e+10'],[' 0'],[' 0'],[' 1088 '],[' 2346 '],[' 3611 '],[' 3 '],[' 0 ']
Solving...,TA56, , , ,[' 1'],[' 3083+'],[' 1545'],"[' 601.881s (Solving', ' 594.08s 1st Model', ' 12.59s Unsat', ' 0.00s)']",[' 600.125s'], ,[' 198267176'],"[' 11760795 (Analyzed', ' 11424658)']","[' 21004    (Average', ' 543.93 Last', ' 8703)']",[' 3655.3  '],"[' 1545     (Average Length', ' 816.20 Splits', ' 0)']","[' 11424658 (Deleted', ' 11303512)']","[' 266      (Ratio', '   0.00%)']","[' 30946    (Ratio', '   0.27%)']","[' 11424658 (Average Length', '   19.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11424658 (Average', ' 16.92 Max', ' 3556 Sum', ' 193281435)']","[' 11424075 (Average', ' 16.88 Max', ' 3556 Sum', ' 192811298 Ratio', '  99.76%)']","[' 583      (Average', ' 806.41 Max', ' 895 Sum', ' 470137 Ratio', '   0.24%)']", ,[' 92426   '],[' 6062    '],[' 85935   '],[' 39183   '],"[' 115471   (Atom=Atom', ' 30052 Body=Body', ' 20216 Other', ' 65203)']",[' Yes'],"[' 7743     (Eliminated', '    0 Frozen', ' 7743)']","[' 4609     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.68812'],[' 0'], ,[' 337.896'],[' 0'],[' 16.3007'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.09652e+08'],[' 4.13672e+08'],[' 0'],[' 1.81125e+10'],[' 0'],[' 0'],[' 1361 '],[' 2352 '],[' 3372 '],[' 3 '],[' 0 ']
Solving...,TA57, , , ,[' 1'],[' 2919+'],[' 1463'],"[' 602.213s (Solving', ' 595.00s 1st Model', ' 15.22s Unsat', ' 0.00s)']",[' 601.438s'], ,[' 184886157'],"[' 11353573 (Analyzed', ' 10945218)']","[' 20368    (Average', ' 537.37 Last', ' 13751)']",[' 3595.1  '],"[' 1463     (Average Length', ' 804.87 Splits', ' 0)']","[' 10945218 (Deleted', ' 10827618)']","[' 221      (Ratio', '   0.00%)']","[' 30067    (Ratio', '   0.27%)']","[' 10945218 (Average Length', '   19.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10945218 (Average', ' 16.45 Max', ' 3376 Sum', ' 180083712)']","[' 10944692 (Average', ' 16.41 Max', ' 3376 Sum', ' 179655146 Ratio', '  99.76%)']","[' 526      (Average', ' 814.76 Max', ' 964 Sum', ' 428566 Ratio', '   0.24%)']", ,[' 92941   '],[' 6121    '],[' 86328   '],[' 39455   '],"[' 116141   (Atom=Atom', ' 30206 Body=Body', ' 20393 Other', ' 65542)']",[' Yes'],"[' 7724     (Eliminated', '    0 Frozen', ' 7724)']","[' 4825     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.49943'],[' 0'], ,[' 340.562'],[' 0'],[' 15.9792'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.39517e+08'],[' 4.39865e+08'],[' 0'],[' 1.88513e+10'],[' 0'],[' 0'],[' 1392 '],[' 2318 '],[' 3555 '],[' 3 '],[' 0 ']
Solving...,TA58, , , ,[' 1'],[' 2953+'],[' 1480'],"[' 602.090s (Solving', ' 594.65s 1st Model', ' 11.69s Unsat', ' 0.00s)']",[' 600.484s'], ,[' 184578280'],"[' 11212293 (Analyzed', ' 10864566)']","[' 20059    (Average', ' 541.63 Last', ' 40650)']",[' 3546.9  '],"[' 1480     (Average Length', ' 802.25 Splits', ' 0)']","[' 10864566 (Deleted', ' 10740387)']","[' 253      (Ratio', '   0.00%)']","[' 31565    (Ratio', '   0.29%)']","[' 10864566 (Average Length', '   19.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10864566 (Average', ' 16.56 Max', ' 3327 Sum', ' 179955518)']","[' 10863976 (Average', ' 16.52 Max', ' 3271 Sum', ' 179483216 Ratio', '  99.74%)']","[' 590      (Average', ' 800.51 Max', ' 907 Sum', ' 472302 Ratio', '   0.26%)']", ,[' 92927   '],[' 6109    '],[' 86375   '],[' 39386   '],"[' 115984   (Atom=Atom', ' 30175 Body=Body', ' 20357 Other', ' 65452)']",[' Yes'],"[' 7748     (Eliminated', '    0 Frozen', ' 7748)']","[' 4975     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.63554'],[' 0'], ,[' 351.677'],[' 0'],[' 16.1119'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.95779e+08'],[' 4.0262e+08'],[' 0'],[' 1.9651e+10'],[' 0'],[' 0'],[' 1256 '],[' 2318 '],[' 3533 '],[' 3 '],[' 0 ']
Solving...,TA59, , , ,[' 1'],[' 2727+'],[' 1367'],"[' 601.560s (Solving', ' 595.35s 1st Model', ' 11.47s Unsat', ' 0.00s)']",[' 600.000s'], ,[' 165569487'],"[' 12556926 (Analyzed', ' 12276657)']","[' 21950    (Average', ' 559.30 Last', ' 208527)']",[' 3611.9  '],"[' 1367     (Average Length', ' 744.21 Splits', ' 0)']","[' 12276657 (Deleted', ' 12158044)']","[' 205      (Ratio', '   0.00%)']","[' 27389    (Ratio', '   0.22%)']","[' 12276657 (Average Length', '   21.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12276657 (Average', ' 13.12 Max', ' 3747 Sum', ' 161074237)']","[' 12276069 (Average', ' 13.08 Max', ' 3747 Sum', ' 160616956 Ratio', '  99.72%)']","[' 588      (Average', ' 777.69 Max', ' 858 Sum', ' 457281 Ratio', '   0.28%)']", ,[' 92921   '],[' 6142    '],[' 86246   '],[' 39438   '],"[' 116231   (Atom=Atom', ' 30194 Body=Body', ' 20456 Other', ' 65581)']",[' Yes'],"[' 7679     (Eliminated', '    0 Frozen', ' 7679)']","[' 4122     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.3776'],[' 0'], ,[' 381.777'],[' 0'],[' 15.847'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.77988e+08'],[' 3.00331e+08'],[' 0'],[' 2.22143e+10'],[' 0'],[' 0'],[' 1166 '],[' 2335 '],[' 3551 '],[' 3 '],[' 0 ']
Solving...,TA60, , , ,[' 1'],[' 3241+'],[' 1624'],"[' 602.185s (Solving', ' 593.69s 1st Model', ' 18.65s Unsat', ' 0.00s)']",[' 601.234s'], ,[' 209571892'],"[' 9772079  (Analyzed', ' 9404073)']","[' 17545    (Average', ' 536.00 Last', ' 10848)']",[' 3528.4  '],"[' 1624     (Average Length', ' 884.00 Splits', ' 0)']","[' 9404073  (Deleted', ' 9300302)']","[' 266      (Ratio', '   0.00%)']","[' 35496    (Ratio', '   0.38%)']","[' 9404073  (Average Length', '   18.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9404073  (Average', ' 21.78 Max', ' 3275 Sum', ' 204784275)']","[' 9403560  (Average', ' 21.73 Max', ' 3275 Sum', ' 204337179 Ratio', '  99.78%)']","[' 513      (Average', ' 871.53 Max', ' 1064 Sum', ' 447096 Ratio', '   0.22%)']", ,[' 93175   '],[' 6145    '],[' 86725   '],[' 39653   '],"[' 116969   (Atom=Atom', ' 30463 Body=Body', ' 20465 Other', ' 66041)']",[' Yes'],"[' 7883     (Eliminated', '    0 Frozen', ' 7883)']","[' 5513     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.7261'],[' 0'], ,[' 313.121'],[' 0'],[' 16.7276'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.44151e+08'],[' 5.35461e+08'],[' 0'],[' 1.64373e+10'],[' 0'],[' 0'],[' 1136 '],[' 2128 '],[' 3298 '],[' 3 '],[' 0 ']
