Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , , ,[' 8629+'],[' 4319'],"[' 623.431s (Solving', ' 548.36s 1st Model', ' 141.84s Unsat', ' 0.00s)']",[' 618.203s'], ,[' 290939416'],"[' 3338475  (Analyzed', ' 538572)']","[' 3209     (Average', ' 167.83 Last', ' 9692)']",[' 13751.4 '],"[' 4320     (Average Length', ' 2245.46 Splits', ' 0)']","[' 538572   (Deleted', ' 478771)']","[' 60       (Ratio', '   0.01%)']","[' 34328    (Ratio', '   6.37%)']","[' 538572   (Average Length', '   31.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 538572   (Average', ' 458.00 Max', ' 16890 Sum', ' 246668031)']","[' 534889   (Average', ' 442.25 Max', ' 16890 Sum', ' 238182839 Ratio', '  96.56%)']","[' 3683     (Average', ' 2303.88 Max', ' 2797 Sum', ' 8485192 Ratio', '   3.44%)']", ,[' 395760  '],[' 25173   '],[' 358366  '],[' 162823  '],"[' 449240   (Atom=Atom', ' 117523 Body=Body', ' 81079 Other', ' 250638)']",[' Yes'],"[' 30036    (Eliminated', '    0 Frozen', ' 30036)']","[' 7188     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.5751'],[' 0'], ,[' 156.396'],[' 0'],[' 16.8269'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.65644e+08'],[' 4.22049e+08'],[' 0'],[' 5.66869e+09'],[' 0'],[' 0'],[' 1977 '],[' 3452 '],[' 5640 '],[' 7438 '],[' 4 '],[' 0 ']
Solving...,TA72, , , , ,[' 8811+'],[' 4410'],"[' 624.581s (Solving', ' 549.34s 1st Model', ' 239.22s Unsat', ' 0.00s)']",[' 620.828s'], ,[' 305834491'],"[' 2689197  (Analyzed', ' 365248)']","[' 3177     (Average', ' 114.97 Last', ' 33242)']",[' 12917.5 '],"[' 4411     (Average Length', ' 2271.37 Splits', ' 0)']","[' 365248   (Deleted', ' 308415)']","[' 52       (Ratio', '   0.01%)']","[' 36157    (Ratio', '   9.90%)']","[' 365248   (Average Length', '   25.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 365248   (Average', ' 723.64 Max', ' 17064 Sum', ' 264307866)']","[' 361921   (Average', ' 701.92 Max', ' 16109 Sum', ' 256375649 Ratio', '  97.00%)']","[' 3327     (Average', ' 2384.20 Max', ' 2929 Sum', ' 7932217 Ratio', '   3.00%)']", ,[' 393154  '],[' 24611   '],[' 355781  '],[' 160512  '],"[' 441079   (Atom=Atom', ' 115366 Body=Body', ' 79393 Other', ' 246320)']",[' Yes'],"[' 29432    (Eliminated', '    0 Frozen', ' 29432)']","[' 7694     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.4259'],[' 0'], ,[' 133.919'],[' 0'],[' 17.1436'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.00902e+08'],[' 4.56251e+08'],[' 0'],[' 4.34507e+09'],[' 0'],[' 0'],[' 1637 '],[' 3245 '],[' 4739 '],[' 6790 '],[' 4 '],[' 0 ']
Solving...,TA73, , , ,[' 1'],[' 8407+'],[' 4206'],"[' 628.374s (Solving', ' 543.70s 1st Model', ' 146.19s Unsat', ' 0.00s)']",[' 619.156s'], ,[' 204868942'],"[' 3599829  (Analyzed', ' 369618)']","[' 2798     (Average', ' 132.10 Last', ' 3167)']",[' 14689.6 '],"[' 4206     (Average Length', ' 2151.09 Splits', ' 0)']","[' 369618   (Deleted', ' 331380)']","[' 44       (Ratio', '   0.01%)']","[' 13555    (Ratio', '   3.67%)']","[' 369618   (Average Length', '   32.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 369618   (Average', ' 420.87 Max', ' 19797 Sum', ' 155559773)']","[' 366474   (Average', ' 402.10 Max', ' 19797 Sum', ' 148622198 Ratio', '  95.54%)']","[' 3144     (Average', ' 2206.61 Max', ' 3963 Sum', ' 6937575 Ratio', '   4.46%)']", ,[' 392490  '],[' 24875   '],[' 355310  '],[' 160874  '],"[' 444640   (Atom=Atom', ' 116221 Body=Body', ' 80185 Other', ' 248234)']",[' Yes'],"[' 29461    (Eliminated', '    0 Frozen', ' 29461)']","[' 2753     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.2639'],[' 0'], ,[' 148.765'],[' 0'],[' 13.6152'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.74453e+08'],[' 2.48343e+08'],[' 0'],[' 5.04674e+09'],[' 0'],[' 0'],[' 2099 '],[' 4464 '],[' 4985 '],[' 6595 '],[' 4 '],[' 0 ']
Solving...,TA74, , , ,[' 1'],[' 8299+'],[' 4153'],"[' 625.609s (Solving', ' 542.53s 1st Model', ' 218.59s Unsat', ' 0.00s)']",[' 619.688s'], ,[' 239772178'],"[' 2342516  (Analyzed', ' 238136)']","[' 2758     (Average', ' 86.34 Last', ' 42107)']",[' 13489.3 '],"[' 4153     (Average Length', ' 2197.92 Splits', ' 0)']","[' 238136   (Deleted', ' 194724)']","[' 41       (Ratio', '   0.02%)']","[' 25135    (Ratio', '  10.55%)']","[' 238136   (Average Length', '   24.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 238136   (Average', ' 832.56 Max', ' 17756 Sum', ' 198261497)']","[' 234772   (Average', ' 800.79 Max', ' 17756 Sum', ' 190697063 Ratio', '  96.18%)']","[' 3364     (Average', ' 2248.64 Max', ' 2845 Sum', ' 7564434 Ratio', '   3.82%)']", ,[' 392682  '],[' 24672   '],[' 354913  '],[' 160695  '],"[' 441385   (Atom=Atom', ' 115355 Body=Body', ' 79576 Other', ' 246454)']",[' Yes'],"[' 29367    (Eliminated', '    0 Frozen', ' 29367)']","[' 5306     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.1364'],[' 0'], ,[' 127.378'],[' 0'],[' 15.0371'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.98102e+08'],[' 3.63146e+08'],[' 0'],[' 3.52991e+09'],[' 0'],[' 0'],[' 1654 '],[' 3415 '],[' 4973 '],[' 6461 '],[' 4 '],[' 0 ']
Solving...,TA75, , , , ,[' 8055+'],[' 4030'],"[' 632.743s (Solving', ' 540.68s 1st Model', ' 135.39s Unsat', ' 0.00s)']",[' 622.344s'], ,[' 194051041'],"[' 2648866  (Analyzed', ' 312348)']","[' 2520     (Average', ' 123.95 Last', ' 2955)']",[' 13539.4 '],"[' 4031     (Average Length', ' 2112.87 Splits', ' 0)']","[' 312348   (Deleted', ' 280669)']","[' 50       (Ratio', '   0.02%)']","[' 19465    (Ratio', '   6.23%)']","[' 312348   (Average Length', '   27.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 312348   (Average', ' 487.04 Max', ' 21010 Sum', ' 152126463)']","[' 309535   (Average', ' 465.68 Max', ' 19436 Sum', ' 145454350 Ratio', '  95.61%)']","[' 2813     (Average', ' 2371.89 Max', ' 2854 Sum', ' 6672113 Ratio', '   4.39%)']", ,[' 394298  '],[' 24926   '],[' 356179  '],[' 161917  '],"[' 444960   (Atom=Atom', ' 116248 Body=Body', ' 80338 Other', ' 248374)']",[' Yes'],"[' 29471    (Eliminated', '    0 Frozen', ' 29471)']","[' 4113     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.7724'],[' 0'], ,[' 134.897'],[' 0'],[' 13.0493'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.99718e+08'],[' 2.69894e+08'],[' 0'],[' 3.798e+09'],[' 0'],[' 0'],[' 1824 '],[' 4352 '],[' 5490 '],[' 7927 '],[' 4 '],[' 0 ']
Solving...,TA76, , , ,[' 1'],[' 8731+'],[' 4370'],"[' 618.550s (Solving', ' 551.53s 1st Model', ' 244.70s Unsat', ' 0.00s)']",[' 615.750s'], ,[' 302822558'],"[' 3280711  (Analyzed', ' 347995)']","[' 3298     (Average', ' 105.52 Last', ' 46126)']",[' 13206.0 '],"[' 4370     (Average Length', ' 2247.80 Splits', ' 0)']","[' 347995   (Deleted', ' 299408)']","[' 56       (Ratio', '   0.02%)']","[' 32319    (Ratio', '   9.29%)']","[' 347995   (Average Length', '   25.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 347995   (Average', ' 747.18 Max', ' 17753 Sum', ' 260014337)']","[' 344655   (Average', ' 723.59 Max', ' 16831 Sum', ' 251807242 Ratio', '  96.84%)']","[' 3340     (Average', ' 2457.21 Max', ' 2899 Sum', ' 8207095 Ratio', '   3.16%)']", ,[' 394045  '],[' 24610   '],[' 356281  '],[' 160898  '],"[' 440895   (Atom=Atom', ' 115323 Body=Body', ' 79390 Other', ' 246182)']",[' Yes'],"[' 29347    (Eliminated', '    0 Frozen', ' 29347)']","[' 6646     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.0297'],[' 0'], ,[' 142.158'],[' 0'],[' 17.0215'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.78987e+08'],[' 4.36594e+08'],[' 0'],[' 4.99512e+09'],[' 0'],[' 0'],[' 1762 '],[' 3166 '],[' 4720 '],[' 6374 '],[' 4 '],[' 0 ']
Solving...,TA77, , , , ,[' 8883+'],[' 4446'],"[' 622.644s (Solving', ' 550.92s 1st Model', ' 187.19s Unsat', ' 0.00s)']",[' 620.563s'], ,[' 304740130'],"[' 3609486  (Analyzed', ' 533057)']","[' 3519     (Average', ' 151.48 Last', ' 11504)']",[' 13740.7 '],"[' 4447     (Average Length', ' 2327.15 Splits', ' 0)']","[' 533057   (Deleted', ' 477825)']","[' 45       (Ratio', '   0.01%)']","[' 31125    (Ratio', '   5.84%)']","[' 533057   (Average Length', '   26.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 533057   (Average', ' 481.37 Max', ' 17706 Sum', ' 256596118)']","[' 530406   (Average', ' 469.53 Max', ' 17706 Sum', ' 250286911 Ratio', '  97.54%)']","[' 2651     (Average', ' 2379.93 Max', ' 3059 Sum', ' 6309207 Ratio', '   2.46%)']", ,[' 393897  '],[' 24630   '],[' 356383  '],[' 160923  '],"[' 441487   (Atom=Atom', ' 115478 Body=Body', ' 79450 Other', ' 246559)']",[' Yes'],"[' 29567    (Eliminated', '    0 Frozen', ' 29567)']","[' 5920     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.0281'],[' 0'], ,[' 145.632'],[' 0'],[' 16.9819'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.67501e+08'],[' 4.22947e+08'],[' 0'],[' 5.42138e+09'],[' 0'],[' 0'],[' 1711 '],[' 3253 '],[' 4587 '],[' 6280 '],[' 4 '],[' 0 ']
Solving...,TA78, , , , ,[' 9465+'],[' 4737'],"[' 623.689s (Solving', ' 547.04s 1st Model', ' 167.67s Unsat', ' 0.00s)']",[' 621.031s'], ,[' 287515564'],"[' 3132913  (Analyzed', ' 497227)']","[' 3345     (Average', ' 148.65 Last', ' 26192)']",[' 13506.7 '],"[' 4738     (Average Length', ' 2425.66 Splits', ' 0)']","[' 497227   (Deleted', ' 445377)']","[' 56       (Ratio', '   0.01%)']","[' 31462    (Ratio', '   6.33%)']","[' 497227   (Average Length', '   26.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 497227   (Average', ' 484.22 Max', ' 17104 Sum', ' 240768595)']","[' 493841   (Average', ' 466.85 Max', ' 17104 Sum', ' 232131192 Ratio', '  96.41%)']","[' 3386     (Average', ' 2550.92 Max', ' 3186 Sum', ' 8637403 Ratio', '   3.59%)']", ,[' 394937  '],[' 24796   '],[' 357146  '],[' 162330  '],"[' 444898   (Atom=Atom', ' 116433 Body=Body', ' 79948 Other', ' 248517)']",[' Yes'],"[' 29845    (Eliminated', '    0 Frozen', ' 29845)']","[' 6692     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.1655'],[' 0'], ,[' 135.626'],[' 0'],[' 16.064'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.54181e+08'],[' 4.10986e+08'],[' 0'],[' 4.81601e+09'],[' 0'],[' 0'],[' 1801 '],[' 3281 '],[' 4826 '],[' 6826 '],[' 4 '],[' 0 ']
Solving...,TA79, , , ,[' 1'],[' 9101+'],[' 4555'],"[' 619.226s (Solving', ' 549.38s 1st Model', ' 206.71s Unsat', ' 0.00s)']",[' 616.625s'], ,[' 294785258'],"[' 3068380  (Analyzed', ' 320292)']","[' 3191     (Average', ' 100.37 Last', ' 42567)']",[' 13462.1 '],"[' 4555     (Average Length', ' 2338.10 Splits', ' 0)']","[' 320292   (Deleted', ' 271410)']","[' 50       (Ratio', '   0.02%)']","[' 30869    (Ratio', '   9.64%)']","[' 320292   (Average Length', '   25.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 320292   (Average', ' 774.31 Max', ' 17699 Sum', ' 248006150)']","[' 317415   (Average', ' 753.07 Max', ' 17699 Sum', ' 241203304 Ratio', '  97.26%)']","[' 2877     (Average', ' 2364.56 Max', ' 3088 Sum', ' 6802846 Ratio', '   2.74%)']", ,[' 394765  '],[' 24761   '],[' 357163  '],[' 161591  '],"[' 443919   (Atom=Atom', ' 116112 Body=Body', ' 79843 Other', ' 247964)']",[' Yes'],"[' 29617    (Eliminated', '    0 Frozen', ' 29617)']","[' 5752     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.5259'],[' 0'], ,[' 137.186'],[' 0'],[' 16.7514'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.67423e+08'],[' 4.26081e+08'],[' 0'],[' 4.66841e+09'],[' 0'],[' 0'],[' 1730 '],[' 3190 '],[' 4633 '],[' 6146 '],[' 4 '],[' 0 ']
Solving...,TA80, , , ,[' 1'],[' 8287+'],[' 4148'],"[' 619.870s (Solving', ' 547.56s 1st Model', ' 171.51s Unsat', ' 0.00s)']",[' 618.484s'], ,[' 270280375'],"[' 2889085  (Analyzed', ' 421498)']","[' 3118     (Average', ' 135.18 Last', ' 13899)']",[' 13637.6 '],"[' 4148     (Average Length', ' 2176.47 Splits', ' 0)']","[' 421498   (Deleted', ' 373637)']","[' 52       (Ratio', '   0.01%)']","[' 30686    (Ratio', '   7.28%)']","[' 421498   (Average Length', '   26.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 421498   (Average', ' 539.04 Max', ' 17425 Sum', ' 227202637)']","[' 418101   (Average', ' 521.66 Max', ' 17425 Sum', ' 219878207 Ratio', '  96.78%)']","[' 3397     (Average', ' 2156.15 Max', ' 2787 Sum', ' 7324430 Ratio', '   3.22%)']", ,[' 395536  '],[' 24988   '],[' 357752  '],[' 162165  '],"[' 446024   (Atom=Atom', ' 116613 Body=Body', ' 80524 Other', ' 248887)']",[' Yes'],"[' 29622    (Eliminated', '    0 Frozen', ' 29622)']","[' 6427     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.9598'],[' 0'], ,[' 139.047'],[' 0'],[' 16.6071'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.31878e+08'],[' 3.91103e+08'],[' 0'],[' 4.29604e+09'],[' 0'],[' 0'],[' 1800 '],[' 3164 '],[' 4620 '],[' 6858 '],[' 4 '],[' 0 ']
