Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , ,[' 1'],[' 1997+'],[' 1005'],"[' 454.829s (Solving', ' 450.07s 1st Model', ' 3.52s Unsat', ' 46.50s)']",[' 453.234s'], ,[' 38188683'],"[' 18354085 (Analyzed', ' 18248136)']","[' 35876    (Average', ' 508.64 Last', ' 257617)']",[' 2556.6  '],"[' 1005     (Average Length', ' 577.31 Splits', ' 0)']","[' 18248136 (Deleted', ' 18012397)']","[' 8        (Ratio', '   0.00%)']","[' 3050     (Ratio', '   0.02%)']","[' 18248136 (Average Length', '   13.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18248136 (Average', '  1.96 Max', ' 3525 Sum', ' 35814536)']","[' 18247561 (Average', '  1.95 Max', ' 3202 Sum', ' 35497642 Ratio', '  99.12%)']","[' 575      (Average', ' 551.12 Max', ' 767 Sum', ' 316894 Ratio', '   0.88%)']", ,[' 91410   '],[' 4047    '],[' 84054   '],[' 31891   '],"[' 84833    (Atom=Atom', ' 24049 Body=Body', ' 15080 Other', ' 45704)']",[' Yes'],"[' 5642     (Eliminated', '    0 Frozen', ' 5642)']","[' 497      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.02164'],[' 0'], ,[' 317.849'],[' 0'],[' 7.95912'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.97267e+07'],[' 4.48553e+07'],[' 0'],[' 1.93265e+10'],[' 0'],[' 0'],[' 832 '],[' 1351 '],[' 2103 '],[' 2553 '],[' 3064 '],[' 3575 '],[' 4 '],[' 2 ']
Solving...,TA62, , , , ,[' 2615'],[' 1314'],"[' 519.769s (Solving', ' 513.34s 1st Model', ' 5.78s Unsat', ' 6.22s)']",[' 516.781s'], ,[' 42827995'],"[' 22662872 (Analyzed', ' 22504187)']","[' 44686    (Average', ' 503.61 Last', ' 94303)']",[' 2847.3  '],"[' 1314     (Average Length', ' 701.89 Splits', ' 0)']","[' 22504187 (Deleted', ' 22200110)']","[' 43       (Ratio', '   0.00%)']","[' 3454     (Ratio', '   0.02%)']","[' 22504187 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22504187 (Average', '  1.76 Max', ' 3638 Sum', ' 39572668)']","[' 22503594 (Average', '  1.74 Max', ' 3319 Sum', ' 39186986 Ratio', '  99.03%)']","[' 593      (Average', ' 650.39 Max', ' 895 Sum', ' 385682 Ratio', '   0.97%)']", ,[' 92839   '],[' 4170    '],[' 85599   '],[' 32875   '],"[' 87796    (Atom=Atom', ' 24850 Body=Body', ' 15449 Other', ' 47497)']",[' Yes'],"[' 6013     (Eliminated', '    0 Frozen', ' 6013)']","[' 574      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.45937'],[' 0'], ,[' 338.076'],[' 0'],[' 7.56379'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.03818e+08'],[' 5.03294e+07'],[' 0'],[' 1.92254e+10'],[' 0'],[' 0'],[' 835 '],[' 1424 '],[' 1851 '],[' 2410 '],[' 3035 '],[' 3532 '],[' 5 '],[' 1 ']
Solving...,TA63, , , ,[' 1'],[' 2155+'],[' 1084'],"[' 452.858s (Solving', ' 447.65s 1st Model', ' 3.76s Unsat', ' 138.65s)']",[' 450.719s'], ,[' 35451543'],"[' 17490818 (Analyzed', ' 17376532)']","[' 33138    (Average', ' 524.37 Last', ' 6562)']",[' 2721.9  '],"[' 1084     (Average Length', ' 619.36 Splits', ' 0)']","[' 17376532 (Deleted', ' 17162518)']","[' 6        (Ratio', '   0.00%)']","[' 3183     (Ratio', '   0.02%)']","[' 17376532 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17376532 (Average', '  1.89 Max', ' 3627 Sum', ' 32887340)']","[' 17376009 (Average', '  1.87 Max', ' 3344 Sum', ' 32577420 Ratio', '  99.06%)']","[' 523      (Average', ' 592.58 Max', ' 828 Sum', ' 309920 Ratio', '   0.94%)']", ,[' 91790   '],[' 4106    '],[' 84578   '],[' 32158   '],"[' 86004    (Atom=Atom', ' 24364 Body=Body', ' 15257 Other', ' 46383)']",[' Yes'],"[' 5772     (Eliminated', '    0 Frozen', ' 5772)']","[' 466      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.13662'],[' 0'], ,[' 308.689'],[' 0'],[' 8.10356'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.55779e+07'],[' 4.29083e+07'],[' 0'],[' 1.81055e+10'],[' 0'],[' 0'],[' 863 '],[' 1365 '],[' 1740 '],[' 2250 '],[' 3014 '],[' 3729 '],[' 3 '],[' 3 ']
Solving...,TA64, , , ,[' 1'],[' 2219+'],[' 1116'],"[' 505.206s (Solving', ' 499.77s 1st Model', ' 3.84s Unsat', ' 0.01s)']",[' 502.094s'], ,[' 37158904'],"[' 18343106 (Analyzed', ' 18229441)']","[' 36012    (Average', ' 506.20 Last', ' 14392)']",[' 2632.1  '],"[' 1116     (Average Length', ' 641.95 Splits', ' 0)']","[' 18229441 (Deleted', ' 18000662)']","[' 17       (Ratio', '   0.00%)']","[' 3174     (Ratio', '   0.02%)']","[' 18229441 (Average Length', '   13.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18229441 (Average', '  1.90 Max', ' 3250 Sum', ' 34687820)']","[' 18228732 (Average', '  1.88 Max', ' 3032 Sum', ' 34254057 Ratio', '  98.75%)']","[' 709      (Average', ' 611.80 Max', ' 839 Sum', ' 433763 Ratio', '   1.25%)']", ,[' 91514   '],[' 4041    '],[' 84279   '],[' 31985   '],"[' 85069    (Atom=Atom', ' 24136 Body=Body', ' 15062 Other', ' 45871)']",[' Yes'],"[' 5735     (Eliminated', '    0 Frozen', ' 5735)']","[' 576      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.20966'],[' 0'], ,[' 355.801'],[' 0'],[' 8.5743'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.2145e+07'],[' 4.64418e+07'],[' 0'],[' 2.16765e+10'],[' 0'],[' 0'],[' 874 '],[' 1313 '],[' 1945 '],[' 2241 '],[' 2967 '],[' 3459 '],[' 5 '],[' 1 ']
Solving...,TA65, , , , ,[' 2131'],[' 1072'],"[' 425.171s (Solving', ' 419.73s 1st Model', ' 4.74s Unsat', ' 12.43s)']",[' 422.047s'], ,[' 28285503'],"[' 15215370 (Analyzed', ' 15106503)']","[' 31396    (Average', ' 481.16 Last', ' 59032)']",[' 2646.1  '],"[' 1072     (Average Length', ' 612.15 Splits', ' 0)']","[' 15106503 (Deleted', ' 14907249)']","[' 39       (Ratio', '   0.00%)']","[' 2116     (Ratio', '   0.01%)']","[' 15106503 (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15106503 (Average', '  1.72 Max', ' 3914 Sum', ' 25975956)']","[' 15105918 (Average', '  1.70 Max', ' 3330 Sum', ' 25615307 Ratio', '  98.61%)']","[' 585      (Average', ' 616.49 Max', ' 827 Sum', ' 360649 Ratio', '   1.39%)']", ,[' 92148   '],[' 4115    '],[' 84725   '],[' 32439   '],"[' 86103    (Atom=Atom', ' 24388 Body=Body', ' 15284 Other', ' 46431)']",[' Yes'],"[' 5791     (Eliminated', '    0 Frozen', ' 5791)']","[' 354      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.18529'],[' 0'], ,[' 292.464'],[' 0'],[' 6.79754'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.073e+07'],[' 3.43713e+07'],[' 0'],[' 1.69239e+10'],[' 0'],[' 0'],[' 610 '],[' 1181 '],[' 1818 '],[' 2423 '],[' 2992 '],[' 3444 '],[' 4 '],[' 2 ']
Solving...,TA66, , , ,[' 1'],[' 2217+'],[' 1115'],"[' 533.129s (Solving', ' 528.14s 1st Model', ' 3.73s Unsat', ' 29.51s)']",[' 530.750s'], ,[' 42981038'],"[' 18585671 (Analyzed', ' 18448247)']","[' 37129    (Average', ' 496.87 Last', ' 36465)']",[' 2464.6  '],"[' 1115     (Average Length', ' 635.78 Splits', ' 0)']","[' 18448247 (Deleted', ' 18228884)']","[' 34       (Ratio', '   0.00%)']","[' 4853     (Ratio', '   0.03%)']","[' 18448247 (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18448247 (Average', '  2.20 Max', ' 3419 Sum', ' 40615256)']","[' 18447720 (Average', '  2.18 Max', ' 3151 Sum', ' 40260070 Ratio', '  99.13%)']","[' 527      (Average', ' 673.98 Max', ' 926 Sum', ' 355186 Ratio', '   0.87%)']", ,[' 92170   '],[' 4116    '],[' 84775   '],[' 32424   '],"[' 86322    (Atom=Atom', ' 24435 Body=Body', ' 15287 Other', ' 46600)']",[' Yes'],"[' 5815     (Eliminated', '    0 Frozen', ' 5815)']","[' 931      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.05681'],[' 0'], ,[' 382.397'],[' 0'],[' 9.07102'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.00504e+08'],[' 5.49506e+07'],[' 0'],[' 2.32459e+10'],[' 0'],[' 0'],[' 675 '],[' 1213 '],[' 1772 '],[' 2430 '],[' 2883 '],[' 3622 '],[' 5 '],[' 1 ']
Solving...,TA67, , , ,[' 1'],[' 2011+'],[' 1012'],"[' 601.625s (Solving', ' 596.70s 1st Model', ' 3.37s Unsat', ' 0.00s)']",[' 598.688s'], ,[' 49187612'],"[' 22418371 (Analyzed', ' 22327983)']","[' 42720    (Average', ' 522.66 Last', ' 86832)']",[' 2525.0  '],"[' 1012     (Average Length', ' 592.78 Splits', ' 0)']","[' 22327983 (Deleted', ' 22101318)']","[' 7        (Ratio', '   0.00%)']","[' 4523     (Ratio', '   0.02%)']","[' 22327983 (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22327983 (Average', '  2.10 Max', ' 3367 Sum', ' 46820712)']","[' 22327238 (Average', '  2.08 Max', ' 3039 Sum', ' 46390079 Ratio', '  99.08%)']","[' 745      (Average', ' 578.03 Max', ' 756 Sum', ' 430633 Ratio', '   0.92%)']", ,[' 91493   '],[' 4141    '],[' 84325   '],[' 32039   '],"[' 86301    (Atom=Atom', ' 24432 Body=Body', ' 15362 Other', ' 46507)']",[' Yes'],"[' 5754     (Eliminated', '    0 Frozen', ' 5754)']","[' 878      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.05413'],[' 0'], ,[' 427.228'],[' 0'],[' 10.4117'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.18946e+08'],[' 6.06395e+07'],[' 0'],[' 2.55783e+10'],[' 0'],[' 0'],[' 904 '],[' 1667 '],[' 1946 '],[' 2697 '],[' 3087 '],[' 3707 '],[' 6 '],[' 0 ']
Solving...,TA68, , , ,[' 1'],[' 2151+'],[' 1082'],"[' 444.377s (Solving', ' 439.48s 1st Model', ' 3.48s Unsat', ' 37.46s)']",[' 442.797s'], ,[' 29152466'],"[' 15842687 (Analyzed', ' 15744027)']","[' 32194    (Average', ' 489.04 Last', ' 118097)']",[' 2555.0  '],"[' 1082     (Average Length', ' 609.43 Splits', ' 0)']","[' 15744027 (Deleted', ' 15528306)']","[' 17       (Ratio', '   0.00%)']","[' 2502     (Ratio', '   0.02%)']","[' 15744027 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15744027 (Average', '  1.71 Max', ' 3235 Sum', ' 26896669)']","[' 15743445 (Average', '  1.68 Max', ' 3221 Sum', ' 26499653 Ratio', '  98.52%)']","[' 582      (Average', ' 682.16 Max', ' 866 Sum', ' 397016 Ratio', '   1.48%)']", ,[' 91936   '],[' 4073    '],[' 84538   '],[' 32278   '],"[' 85542    (Atom=Atom', ' 24230 Body=Body', ' 15158 Other', ' 46154)']",[' Yes'],"[' 5754     (Eliminated', '    0 Frozen', ' 5754)']","[' 398      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.04643'],[' 0'], ,[' 316.467'],[' 0'],[' 6.87705'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.99414e+07'],[' 3.24623e+07'],[' 0'],[' 1.99459e+10'],[' 0'],[' 0'],[' 592 '],[' 1348 '],[' 1921 '],[' 2338 '],[' 3002 '],[' 3579 '],[' 4 '],[' 2 ']
Solving...,TA69, , , ,[' 1'],[' 2059+'],[' 1036'],"[' 507.250s (Solving', ' 502.09s 1st Model', ' 3.48s Unsat', ' 0.39s)']",[' 504.734s'], ,[' 35056945'],"[' 20372349 (Analyzed', ' 20237156)']","[' 41176    (Average', ' 491.48 Last', ' 104139)']",[' 2569.8  '],"[' 1036     (Average Length', ' 599.07 Splits', ' 0)']","[' 20237156 (Deleted', ' 19966431)']","[' 6        (Ratio', '   0.00%)']","[' 2415     (Ratio', '   0.01%)']","[' 20237156 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20237156 (Average', '  1.61 Max', ' 3448 Sum', ' 32634721)']","[' 20236599 (Average', '  1.60 Max', ' 3222 Sum', ' 32296483 Ratio', '  98.96%)']","[' 557      (Average', ' 607.25 Max', ' 781 Sum', ' 338238 Ratio', '   1.04%)']", ,[' 91427   '],[' 4067    '],[' 84143   '],[' 31980   '],"[' 85371    (Atom=Atom', ' 24160 Body=Body', ' 15140 Other', ' 46071)']",[' Yes'],"[' 5708     (Eliminated', '    0 Frozen', ' 5708)']","[' 378      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.12806'],[' 0'], ,[' 346.932'],[' 0'],[' 8.73025'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.72643e+07'],[' 3.87938e+07'],[' 0'],[' 2.02929e+10'],[' 0'],[' 0'],[' 789 '],[' 1412 '],[' 2180 '],[' 2691 '],[' 3065 '],[' 3794 '],[' 5 '],[' 1 ']
Solving...,TA70, , , ,[' 1'],[' 1711+'],[' 862'],"[' 505.440s (Solving', ' 501.32s 1st Model', ' 3.57s Unsat', ' 0.05s)']",[' 503.953s'], ,[' 41066612'],"[' 20684777 (Analyzed', ' 20610232)']","[' 39432    (Average', ' 522.68 Last', ' 18064)']",[' 2365.8  '],"[' 862      (Average Length', ' 520.43 Splits', ' 0)']","[' 20610232 (Deleted', ' 20373275)']","[' 9        (Ratio', '   0.00%)']","[' 3573     (Ratio', '   0.02%)']","[' 20610232 (Average Length', '   14.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20610232 (Average', '  1.90 Max', ' 3046 Sum', ' 39066054)']","[' 20609528 (Average', '  1.88 Max', ' 3046 Sum', ' 38697554 Ratio', '  99.06%)']","[' 704      (Average', ' 523.44 Max', ' 716 Sum', ' 368500 Ratio', '   0.94%)']", ,[' 91720   '],[' 4107    '],[' 84149   '],[' 32140   '],"[' 85442    (Atom=Atom', ' 24146 Body=Body', ' 15260 Other', ' 46036)']",[' Yes'],"[' 5593     (Eliminated', '    0 Frozen', ' 5593)']","[' 557      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.879931'],[' 0'], ,[' 354.707'],[' 0'],[' 8.78664'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.76621e+07'],[' 4.83522e+07'],[' 0'],[' 2.17018e+10'],[' 0'],[' 0'],[' 660 '],[' 1301 '],[' 2215 '],[' 2569 '],[' 3244 '],[' 3802 '],[' 5 '],[' 1 ']
