Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , ,[' 1'],[' 865+'],[' 440'],"[' 379.576s (Solving', ' 377.69s 1st Model', ' 0.94s Unsat', ' 32.26s)']",[' 378.750s'], ,[' 34427262'],"[' 21172244 (Analyzed', ' 21156376)']","[' 41927    (Average', ' 504.60 Last', ' 99782)']",[' 1539.9  '],"[' 440      (Average Length', ' 289.35 Splits', ' 0)']","[' 21156376 (Deleted', ' 20901790)']","[' 4        (Ratio', '   0.00%)']","[' 2958     (Ratio', '   0.01%)']","[' 21156376 (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21156376 (Average', '  1.57 Max', ' 2067 Sum', ' 33313260)']","[' 21155917 (Average', '  1.57 Max', ' 1917 Sum', ' 33188249 Ratio', '  99.62%)']","[' 459      (Average', ' 272.36 Max', ' 383 Sum', ' 125011 Ratio', '   0.38%)']", ,[' 64922   '],[' 2614    '],[' 59670   '],[' 21403   '],"[' 56275    (Atom=Atom', ' 16187 Body=Body', ' 10092 Other', ' 29996)']",[' Yes'],"[' 3576     (Eliminated', '    0 Frozen', ' 3576)']","[' 436      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.352592'],[' 0'], ,[' 241.382'],[' 0'],[' 7.03659'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.46694e+07'],[' 3.6037e+07'],[' 0'],[' 1.55798e+10'],[' 0'],[' 0'],[' 647 '],[' 1219 '],[' 1529 '],[' 2290 '],[' 2578 '],[' 2869 '],[' 3545 '],[' 4 '],[' 3 ']
Solving...,TA52, , , ,[' 1'],[' 901+'],[' 458'],"[' 516.737s (Solving', ' 514.74s 1st Model', ' 1.11s Unsat', ' 0.47s)']",[' 514.563s'], ,[' 44052622'],"[' 27681103 (Analyzed', ' 27665690)']","[' 54266    (Average', ' 509.82 Last', ' 10918)']",[' 1614.9  '],"[' 458      (Average Length', ' 299.43 Splits', ' 0)']","[' 27665690 (Deleted', ' 27331806)']","[' 9        (Ratio', '   0.00%)']","[' 3099     (Ratio', '   0.01%)']","[' 27665690 (Average Length', '   13.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27665690 (Average', '  1.54 Max', ' 1923 Sum', ' 42692719)']","[' 27665232 (Average', '  1.54 Max', ' 1923 Sum', ' 42566274 Ratio', '  99.70%)']","[' 458      (Average', ' 276.08 Max', ' 397 Sum', ' 126445 Ratio', '   0.30%)']", ,[' 65019   '],[' 2675    '],[' 59856   '],[' 21508   '],"[' 57298    (Atom=Atom', ' 16449 Body=Body', ' 10275 Other', ' 30574)']",[' Yes'],"[' 3651     (Eliminated', '    0 Frozen', ' 3651)']","[' 446      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.386002'],[' 0'], ,[' 333.998'],[' 0'],[' 8.13642'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.0938e+08'],[' 4.64949e+07'],[' 0'],[' 2.05786e+10'],[' 0'],[' 0'],[' 655 '],[' 1267 '],[' 1760 '],[' 2046 '],[' 2561 '],[' 3018 '],[' 3423 '],[' 6 '],[' 1 ']
Solving...,TA53, , , , ,[' 981'],[' 498'],"[' 298.760s (Solving', ' 296.77s 1st Model', ' 1.64s Unsat', ' 35.79s)']",[' 297.516s'], ,[' 24268752'],"[' 14775759 (Analyzed', ' 14752373)']","[' 31134    (Average', ' 473.83 Last', ' 22936)']",[' 1611.9  '],"[' 498      (Average Length', ' 315.05 Splits', ' 0)']","[' 14752373 (Deleted', ' 14516273)']","[' 28       (Ratio', '   0.00%)']","[' 1780     (Ratio', '   0.01%)']","[' 14752373 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14752373 (Average', '  1.58 Max', ' 2225 Sum', ' 23324348)']","[' 14751973 (Average', '  1.57 Max', ' 2019 Sum', ' 23215096 Ratio', '  99.53%)']","[' 400      (Average', ' 273.13 Max', ' 426 Sum', ' 109252 Ratio', '   0.47%)']", ,[' 64721   '],[' 2584    '],[' 59524   '],[' 21363   '],"[' 55952    (Atom=Atom', ' 16125 Body=Body', ' 10002 Other', ' 29825)']",[' Yes'],"[' 3609     (Eliminated', '    0 Frozen', ' 3609)']","[' 279      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.378286'],[' 0'], ,[' 192.378'],[' 0'],[' 5.07214'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.07675e+07'],[' 2.57622e+07'],[' 0'],[' 1.24153e+10'],[' 0'],[' 0'],[' 612 '],[' 1072 '],[' 1453 '],[' 1858 '],[' 2278 '],[' 2887 '],[' 3356 '],[' 3 '],[' 4 ']
Solving...,TA54, , , , ,[' 1003'],[' 509'],"[' 267.978s (Solving', ' 266.07s 1st Model', ' 0.94s Unsat', ' 4.76s)']",[' 267.297s'], ,[' 24758740'],"[' 14871558 (Analyzed', ' 14841770)']","[' 30054    (Average', ' 493.84 Last', ' 3176)']",[' 1470.4  '],"[' 509      (Average Length', ' 320.05 Splits', ' 0)']","[' 14841770 (Deleted', ' 14657943)']","[' 39       (Ratio', '   0.00%)']","[' 2105     (Ratio', '   0.01%)']","[' 14841770 (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14841770 (Average', '  1.61 Max', ' 2187 Sum', ' 23858922)']","[' 14841321 (Average', '  1.60 Max', ' 2035 Sum', ' 23710789 Ratio', '  99.38%)']","[' 449      (Average', ' 329.92 Max', ' 496 Sum', ' 148133 Ratio', '   0.62%)']", ,[' 65096   '],[' 2626    '],[' 59868   '],[' 21576   '],"[' 56677    (Atom=Atom', ' 16304 Body=Body', ' 10128 Other', ' 30245)']",[' Yes'],"[' 3655     (Eliminated', '    0 Frozen', ' 3655)']","[' 311      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.342357'],[' 0'], ,[' 165.163'],[' 0'],[' 3.9223'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.06657e+07'],[' 2.56078e+07'],[' 0'],[' 1.04877e+10'],[' 0'],[' 0'],[' 541 '],[' 1061 '],[' 1556 '],[' 1886 '],[' 2253 '],[' 3035 '],[' 3503 '],[' 3 '],[' 4 ']
Solving...,TA55, , , ,[' 1'],[' 959+'],[' 487'],"[' 432.044s (Solving', ' 430.11s 1st Model', ' 1.03s Unsat', ' 0.07s)']",[' 430.453s'], ,[' 35759937'],"[' 22184342 (Analyzed', ' 22155978)']","[' 43131    (Average', ' 513.69 Last', ' 52949)']",[' 1532.6  '],"[' 487      (Average Length', ' 318.44 Splits', ' 0)']","[' 22155978 (Deleted', ' 21896904)']","[' 7        (Ratio', '   0.00%)']","[' 2242     (Ratio', '   0.01%)']","[' 22155978 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22155978 (Average', '  1.56 Max', ' 2353 Sum', ' 34645831)']","[' 22155488 (Average', '  1.56 Max', ' 1956 Sum', ' 34487676 Ratio', '  99.54%)']","[' 490      (Average', ' 322.77 Max', ' 462 Sum', ' 158155 Ratio', '   0.46%)']", ,[' 65112   '],[' 2664    '],[' 59963   '],[' 21557   '],"[' 57165    (Atom=Atom', ' 16434 Body=Body', ' 10242 Other', ' 30489)']",[' Yes'],"[' 3668     (Eliminated', '    0 Frozen', ' 3668)']","[' 399      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.360381'],[' 0'], ,[' 282.805'],[' 0'],[' 7.2161'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.73995e+07'],[' 3.63287e+07'],[' 0'],[' 1.73169e+10'],[' 0'],[' 0'],[' 769 '],[' 1207 '],[' 1617 '],[' 2154 '],[' 2420 '],[' 2868 '],[' 3415 '],[' 5 '],[' 2 ']
Solving...,TA56, , , ,[' 1'],[' 863+'],[' 439'],"[' 246.969s (Solving', ' 245.11s 1st Model', ' 1.01s Unsat', ' 69.66s)']",[' 246.156s'], ,[' 20024694'],"[' 12944876 (Analyzed', ' 12922942)']","[' 26186    (Average', ' 493.51 Last', ' 98069)']",[' 1642.1  '],"[' 439      (Average Length', ' 291.24 Splits', ' 0)']","[' 12922942 (Deleted', ' 12733612)']","[' 2        (Ratio', '   0.00%)']","[' 1871     (Ratio', '   0.01%)']","[' 12922942 (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12922942 (Average', '  1.48 Max', ' 2117 Sum', ' 19149258)']","[' 12922545 (Average', '  1.47 Max', ' 2117 Sum', ' 19045178 Ratio', '  99.46%)']","[' 397      (Average', ' 262.17 Max', ' 401 Sum', ' 104080 Ratio', '   0.54%)']", ,[' 64797   '],[' 2662    '],[' 59704   '],[' 21385   '],"[' 57011    (Atom=Atom', ' 16378 Body=Body', ' 10236 Other', ' 30397)']",[' Yes'],"[' 3625     (Eliminated', '    0 Frozen', ' 3625)']","[' 152      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.348569'],[' 0'], ,[' 158.049'],[' 0'],[' 4.48191'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.15151e+07'],[' 2.23614e+07'],[' 0'],[' 9.40877e+09'],[' 0'],[' 0'],[' 865 '],[' 1323 '],[' 1678 '],[' 2060 '],[' 2423 '],[' 2839 '],[' 3366 '],[' 2 '],[' 5 ']
Solving...,TA57, , , , ,[' 827'],[' 421'],"[' 467.096s (Solving', ' 465.27s 1st Model', ' 0.98s Unsat', ' 34.83s)']",[' 466.016s'], ,[' 42651853'],"[' 27490901 (Analyzed', ' 27472066)']","[' 55248    (Average', ' 497.25 Last', ' 108340)']",[' 1555.3  '],"[' 421      (Average Length', ' 285.40 Splits', ' 0)']","[' 27472066 (Deleted', ' 27124563)']","[' 12       (Ratio', '   0.00%)']","[' 2228     (Ratio', '   0.01%)']","[' 27472066 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27472066 (Average', '  1.51 Max', ' 2183 Sum', ' 41454695)']","[' 27471662 (Average', '  1.51 Max', ' 1938 Sum', ' 41351902 Ratio', '  99.75%)']","[' 404      (Average', ' 254.44 Max', ' 389 Sum', ' 102793 Ratio', '   0.25%)']", ,[' 64624   '],[' 2632    '],[' 59464   '],[' 21257   '],"[' 56448    (Atom=Atom', ' 16231 Body=Body', ' 10144 Other', ' 30073)']",[' Yes'],"[' 3579     (Eliminated', '    0 Frozen', ' 3579)']","[' 396      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.335501'],[' 0'], ,[' 279.347'],[' 0'],[' 6.22109'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.07249e+08'],[' 4.2239e+07'],[' 0'],[' 1.65886e+10'],[' 0'],[' 0'],[' 628 '],[' 1246 '],[' 1680 '],[' 2094 '],[' 2611 '],[' 3039 '],[' 3466 '],[' 5 '],[' 2 ']
Solving...,TA58, , , , ,[' 971'],[' 493'],"[' 355.982s (Solving', ' 353.91s 1st Model', ' 1.50s Unsat', ' 6.62s)']",[' 353.438s'], ,[' 28985019'],"[' 21417706 (Analyzed', ' 21402379)']","[' 43658    (Average', ' 490.23 Last', ' 42192)']",[' 1556.9  '],"[' 493      (Average Length', ' 307.22 Splits', ' 0)']","[' 21402379 (Deleted', ' 21108241)']","[' 14       (Ratio', '   0.00%)']","[' 1573     (Ratio', '   0.01%)']","[' 21402379 (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21402379 (Average', '  1.30 Max', ' 2100 Sum', ' 27919950)']","[' 21402001 (Average', '  1.30 Max', ' 2004 Sum', ' 27808568 Ratio', '  99.60%)']","[' 378      (Average', ' 294.66 Max', ' 447 Sum', ' 111382 Ratio', '   0.40%)']", ,[' 65074   '],[' 2606    '],[' 59802   '],[' 21518   '],"[' 56297    (Atom=Atom', ' 16208 Body=Body', ' 10068 Other', ' 30021)']",[' Yes'],"[' 3620     (Eliminated', '    0 Frozen', ' 3620)']","[' 236      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.384721'],[' 0'], ,[' 202.548'],[' 0'],[' 4.40039'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.47608e+07'],[' 2.64352e+07'],[' 0'],[' 1.14733e+10'],[' 0'],[' 0'],[' 586 '],[' 1143 '],[' 1556 '],[' 2089 '],[' 2502 '],[' 3177 '],[' 3531 '],[' 4 '],[' 3 ']
Solving...,TA59, , , ,[' 1'],[' 795+'],[' 405'],"[' 488.469s (Solving', ' 486.61s 1st Model', ' 1.02s Unsat', ' 142.50s)']",[' 485.469s'], ,[' 34649032'],"[' 22207037 (Analyzed', ' 22186768)']","[' 45531    (Average', ' 487.29 Last', ' 106908)']",[' 1489.9  '],"[' 405      (Average Length', ' 266.09 Splits', ' 0)']","[' 22186768 (Deleted', ' 21864139)']","[' 16       (Ratio', '   0.00%)']","[' 2385     (Ratio', '   0.01%)']","[' 22186768 (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22186768 (Average', '  1.52 Max', ' 1996 Sum', ' 33686061)']","[' 22186359 (Average', '  1.51 Max', ' 1996 Sum', ' 33567726 Ratio', '  99.65%)']","[' 409      (Average', ' 289.33 Max', ' 392 Sum', ' 118335 Ratio', '   0.35%)']", ,[' 64235   '],[' 2606    '],[' 59107   '],[' 21097   '],"[' 56001    (Atom=Atom', ' 16120 Body=Body', ' 10068 Other', ' 29813)']",[' Yes'],"[' 3538     (Eliminated', '    0 Frozen', ' 3538)']","[' 309      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.331332'],[' 0'], ,[' 315.545'],[' 0'],[' 7.71904'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.91129e+07'],[' 3.88422e+07'],[' 0'],[' 1.76645e+10'],[' 0'],[' 0'],[' 514 '],[' 1024 '],[' 1501 '],[' 2045 '],[' 2489 '],[' 2992 '],[' 3301 '],[' 4 '],[' 3 ']
Solving...,TA60, , , , ,[' 1001'],[' 508'],"[' 301.499s (Solving', ' 299.29s 1st Model', ' 1.19s Unsat', ' 37.21s)']",[' 300.453s'], ,[' 25631649'],"[' 16389739 (Analyzed', ' 16361481)']","[' 32168    (Average', ' 508.63 Last', ' 246442)']",[' 1652.9  '],"[' 508      (Average Length', ' 321.29 Splits', ' 0)']","[' 16361481 (Deleted', ' 16145264)']","[' 18       (Ratio', '   0.00%)']","[' 1914     (Ratio', '   0.01%)']","[' 16361481 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16361481 (Average', '  1.51 Max', ' 2319 Sum', ' 24640561)']","[' 16361012 (Average', '  1.50 Max', ' 2319 Sum', ' 24497289 Ratio', '  99.42%)']","[' 469      (Average', ' 305.48 Max', ' 459 Sum', ' 143272 Ratio', '   0.58%)']", ,[' 65171   '],[' 2656    '],[' 59981   '],[' 21610   '],"[' 57106    (Atom=Atom', ' 16423 Body=Body', ' 10218 Other', ' 30465)']",[' Yes'],"[' 3688     (Eliminated', '    0 Frozen', ' 3688)']","[' 277      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.415239'],[' 0'], ,[' 183.773'],[' 0'],[' 4.30626'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.44494e+07'],[' 2.74085e+07'],[' 0'],[' 1.05335e+10'],[' 0'],[' 0'],[' 647 '],[' 1094 '],[' 1539 '],[' 1950 '],[' 2359 '],[' 2893 '],[' 3311 '],[' 3 '],[' 4 ']
