Optimal Found Or Timeout,Instances,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , ,[' 1563'],[' 789'],"[' 502.532s (Solving', ' 498.64s 1st Model', ' 3.20s Unsat', ' 65.36s)']",[' 500.813s'], ,[' 36014749'],"[' 20321176 (Analyzed', ' 20264351)']","[' 39584    (Average', ' 511.93 Last', ' 131987)']",[' 2194.6  '],"[' 789      (Average Length', ' 480.54 Splits', ' 0)']","[' 20264351 (Deleted', ' 20000424)']","[' 17       (Ratio', '   0.00%)']","[' 2849     (Ratio', '   0.01%)']","[' 20264351 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20264351 (Average', '  1.69 Max', ' 3348 Sum', ' 34260388)']","[' 20263847 (Average', '  1.68 Max', ' 2742 Sum', ' 34042533 Ratio', '  99.36%)']","[' 504      (Average', ' 432.25 Max', ' 643 Sum', ' 217855 Ratio', '   0.64%)']", ,[' 86263   '],[' 3495    '],[' 79684   '],[' 28481   '],"[' 75625    (Atom=Atom', ' 21785 Body=Body', ' 13465 Other', ' 40375)']",[' Yes'],"[' 4957     (Eliminated', '    0 Frozen', ' 4957)']","[' 496      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.817647'],[' 0'], ,[' 345.511'],[' 0'],[' 9.16303'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.26263e+07'],[' 4.49008e+07'],[' 0'],[' 2.01563e+10'],[' 0'],[' 0'],[' 666 '],[' 1173 '],[' 1798 '],[' 2182 '],[' 2687 '],[' 3083 '],[' 3554 '],[' 5 '],[' 2 ']
Solving...,TA62, , , ,[' 1'],[' 2063+'],[' 1039'],"[' 459.321s (Solving', ' 454.22s 1st Model', ' 3.14s Unsat', ' 20.89s)']",[' 456.922s'], ,[' 33273072'],"[' 18068292 (Analyzed', ' 18012159)']","[' 36483    (Average', ' 493.71 Last', ' 9476)']",[' 2341.1  '],"[' 1039     (Average Length', ' 593.38 Splits', ' 0)']","[' 18012159 (Deleted', ' 17775841)']","[' 5        (Ratio', '   0.00%)']","[' 2920     (Ratio', '   0.02%)']","[' 18012159 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18012159 (Average', '  1.73 Max', ' 3328 Sum', ' 31171533)']","[' 18011632 (Average', '  1.71 Max', ' 2759 Sum', ' 30885579 Ratio', '  99.08%)']","[' 527      (Average', ' 542.61 Max', ' 812 Sum', ' 285954 Ratio', '   0.92%)']", ,[' 87285   '],[' 3531    '],[' 80685   '],[' 29147   '],"[' 77030    (Atom=Atom', ' 22179 Body=Body', ' 13573 Other', ' 41278)']",[' Yes'],"[' 5198     (Eliminated', '    0 Frozen', ' 5198)']","[' 531      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.08598'],[' 0'], ,[' 309.091'],[' 0'],[' 8.13147'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.28716e+07'],[' 3.99729e+07'],[' 0'],[' 1.78649e+10'],[' 0'],[' 0'],[' 751 '],[' 1378 '],[' 1738 '],[' 2157 '],[' 2626 '],[' 3127 '],[' 3731 '],[' 5 '],[' 2 ']
Solving...,TA63, , , , ,[' 1633'],[' 824'],"[' 251.082s (Solving', ' 246.86s 1st Model', ' 2.53s Unsat', ' 62.93s)']",[' 249.766s'], ,[' 19931241'],"[' 11305177 (Analyzed', ' 11240438)']","[' 22457    (Average', ' 500.53 Last', ' 3128)']",[' 2109.4  '],"[' 824      (Average Length', ' 485.45 Splits', ' 0)']","[' 11240438 (Deleted', ' 11078924)']","[' 22       (Ratio', '   0.00%)']","[' 2013     (Ratio', '   0.02%)']","[' 11240438 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11240438 (Average', '  1.64 Max', ' 3352 Sum', ' 18441311)']","[' 11239903 (Average', '  1.62 Max', ' 2842 Sum', ' 18194441 Ratio', '  98.66%)']","[' 535      (Average', ' 461.44 Max', ' 702 Sum', ' 246870 Ratio', '   1.34%)']", ,[' 86330   '],[' 3474    '],[' 79731   '],[' 28484   '],"[' 75379    (Atom=Atom', ' 21731 Body=Body', ' 13390 Other', ' 40258)']",[' Yes'],"[' 4954     (Eliminated', '    0 Frozen', ' 4954)']","[' 230      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.863474'],[' 0'], ,[' 157.908'],[' 0'],[' 3.81508'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.92529e+07'],[' 2.32205e+07'],[' 0'],[' 8.63215e+09'],[' 0'],[' 0'],[' 833 '],[' 1170 '],[' 1614 '],[' 2133 '],[' 2459 '],[' 3063 '],[' 3542 '],[' 2 '],[' 5 ']
Solving...,TA64, , , , ,[' 1801'],[' 908'],"[' 363.688s (Solving', ' 359.05s 1st Model', ' 2.87s Unsat', ' 6.49s)']",[' 362.250s'], ,[' 28649999'],"[' 17846114 (Analyzed', ' 17800393)']","[' 35762    (Average', ' 497.75 Last', ' 37565)']",[' 2388.6  '],"[' 908      (Average Length', ' 521.05 Splits', ' 0)']","[' 17800393 (Deleted', ' 17571994)']","[' 10       (Ratio', '   0.00%)']","[' 2000     (Ratio', '   0.01%)']","[' 17800393 (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17800393 (Average', '  1.50 Max', ' 3225 Sum', ' 26643942)']","[' 17799912 (Average', '  1.49 Max', ' 2787 Sum', ' 26435837 Ratio', '  99.22%)']","[' 481      (Average', ' 432.65 Max', ' 643 Sum', ' 208105 Ratio', '   0.78%)']", ,[' 86628   '],[' 3467    '],[' 79964   '],[' 28737   '],"[' 75564    (Atom=Atom', ' 21792 Body=Body', ' 13381 Other', ' 40391)']",[' Yes'],"[' 5027     (Eliminated', '    0 Frozen', ' 5027)']","[' 351      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.00172'],[' 0'], ,[' 215.471'],[' 0'],[' 4.98593'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.30054e+07'],[' 3.13756e+07'],[' 0'],[' 1.20985e+10'],[' 0'],[' 0'],[' 731 '],[' 1275 '],[' 1714 '],[' 2018 '],[' 2497 '],[' 2997 '],[' 3365 '],[' 4 '],[' 3 ']
Solving...,TA65, , , ,[' 1'],[' 1899+'],[' 957'],"[' 391.689s (Solving', ' 387.26s 1st Model', ' 2.78s Unsat', ' 40.57s)']",[' 390.828s'], ,[' 22648864'],"[' 12732521 (Analyzed', ' 12659071)']","[' 26154    (Average', ' 484.02 Last', ' 16754)']",[' 2245.5  '],"[' 957      (Average Length', ' 549.89 Splits', ' 0)']","[' 12659071 (Deleted', ' 12488544)']","[' 15       (Ratio', '   0.00%)']","[' 2568     (Ratio', '   0.02%)']","[' 12659071 (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12659071 (Average', '  1.65 Max', ' 3462 Sum', ' 20897625)']","[' 12658588 (Average', '  1.63 Max', ' 2803 Sum', ' 20618943 Ratio', '  98.67%)']","[' 483      (Average', ' 576.98 Max', ' 771 Sum', ' 278682 Ratio', '   1.33%)']", ,[' 86677   '],[' 3505    '],[' 80184   '],[' 28791   '],"[' 76252    (Atom=Atom', ' 21991 Body=Body', ' 13494 Other', ' 40767)']",[' Yes'],"[' 5116     (Eliminated', '    0 Frozen', ' 5116)']","[' 324      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.948311'],[' 0'], ,[' 283.852'],[' 0'],[' 6.44406'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.64205e+07'],[' 2.62779e+07'],[' 0'],[' 1.72944e+10'],[' 0'],[' 0'],[' 592 '],[' 1075 '],[' 1476 '],[' 2086 '],[' 2599 '],[' 2966 '],[' 3453 '],[' 4 '],[' 3 ']
Solving...,TA66, , , , ,[' 1469'],[' 742'],"[' 331.942s (Solving', ' 328.63s 1st Model', ' 2.08s Unsat', ' 63.64s)']",[' 330.547s'], ,[' 29031020'],"[' 17498226 (Analyzed', ' 17444817)']","[' 33855    (Average', ' 515.28 Last', ' 437)']",[' 2142.5  '],"[' 742      (Average Length', ' 457.30 Splits', ' 0)']","[' 17444817 (Deleted', ' 17236234)']","[' 44       (Ratio', '   0.00%)']","[' 2380     (Ratio', '   0.01%)']","[' 17444817 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17444817 (Average', '  1.57 Max', ' 2913 Sum', ' 27472210)']","[' 17444314 (Average', '  1.56 Max', ' 2775 Sum', ' 27249467 Ratio', '  99.19%)']","[' 503      (Average', ' 442.83 Max', ' 645 Sum', ' 222743 Ratio', '   0.81%)']", ,[' 86305   '],[' 3464    '],[' 79506   '],[' 28489   '],"[' 75041    (Atom=Atom', ' 21614 Body=Body', ' 13372 Other', ' 40055)']",[' Yes'],"[' 4886     (Eliminated', '    0 Frozen', ' 4886)']","[' 306      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.679842'],[' 0'], ,[' 207.992'],[' 0'],[' 4.76122'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.27144e+07'],[' 3.25803e+07'],[' 0'],[' 1.27863e+10'],[' 0'],[' 0'],[' 675 '],[' 1145 '],[' 1740 '],[' 2125 '],[' 2685 '],[' 3054 '],[' 3666 '],[' 3 '],[' 4 ']
Solving...,TA67, , , ,[' 1'],[' 1521+'],[' 768'],"[' 547.579s (Solving', ' 544.02s 1st Model', ' 2.20s Unsat', ' 29.01s)']",[' 545.938s'], ,[' 37467746'],"[' 24874966 (Analyzed', ' 24817479)']","[' 50503    (Average', ' 491.41 Last', ' 33357)']",[' 2230.9  '],"[' 768      (Average Length', ' 469.26 Splits', ' 0)']","[' 24817479 (Deleted', ' 24485713)']","[' 5        (Ratio', '   0.00%)']","[' 2206     (Ratio', '   0.01%)']","[' 24817479 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24817479 (Average', '  1.44 Max', ' 2988 Sum', ' 35678500)']","[' 24816953 (Average', '  1.43 Max', ' 2786 Sum', ' 35418685 Ratio', '  99.27%)']","[' 526      (Average', ' 493.94 Max', ' 629 Sum', ' 259815 Ratio', '   0.73%)']", ,[' 85991   '],[' 3506    '],[' 79494   '],[' 28353   '],"[' 75734    (Atom=Atom', ' 21808 Body=Body', ' 13498 Other', ' 40428)']",[' Yes'],"[' 4945     (Eliminated', '    0 Frozen', ' 4945)']","[' 260      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.745335'],[' 0'], ,[' 365.292'],[' 0'],[' 8.54482'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.64725e+07'],[' 3.90351e+07'],[' 0'],[' 2.24594e+10'],[' 0'],[' 0'],[' 719 '],[' 1263 '],[' 1864 '],[' 2328 '],[' 2765 '],[' 3196 '],[' 3601 '],[' 6 '],[' 1 ']
Solving...,TA68, , , ,[' 1'],[' 1521+'],[' 768'],"[' 518.489s (Solving', ' 514.82s 1st Model', ' 2.13s Unsat', ' 0.36s)']",[' 517.391s'], ,[' 35600277'],"[' 23318726 (Analyzed', ' 23278194)']","[' 47496    (Average', ' 490.11 Last', ' 72760)']",[' 2119.3  '],"[' 768      (Average Length', ' 457.56 Splits', ' 0)']","[' 23278194 (Deleted', ' 22978650)']","[' 12       (Ratio', '   0.00%)']","[' 2290     (Ratio', '   0.01%)']","[' 23278194 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23278194 (Average', '  1.45 Max', ' 3197 Sum', ' 33869694)']","[' 23277717 (Average', '  1.45 Max', ' 2656 Sum', ' 33646372 Ratio', '  99.34%)']","[' 477      (Average', ' 468.18 Max', ' 638 Sum', ' 223322 Ratio', '   0.66%)']", ,[' 85572   '],[' 3408    '],[' 78991   '],[' 28107   '],"[' 74238    (Atom=Atom', ' 21416 Body=Body', ' 13204 Other', ' 39618)']",[' Yes'],"[' 4856     (Eliminated', '    0 Frozen', ' 4856)']","[' 376      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.762178'],[' 0'], ,[' 351.762'],[' 0'],[' 8.0654'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.28256e+07'],[' 3.86672e+07'],[' 0'],[' 2.16917e+10'],[' 0'],[' 0'],[' 500 '],[' 1216 '],[' 1688 '],[' 2041 '],[' 2552 '],[' 3046 '],[' 3504 '],[' 6 '],[' 1 ']
Solving...,TA69, , , ,[' 1'],[' 1611+'],[' 813'],"[' 436.447s (Solving', ' 432.71s 1st Model', ' 2.34s Unsat', ' 0.03s)']",[' 435.172s'], ,[' 30100480'],"[' 19190033 (Analyzed', ' 19145215)']","[' 38910    (Average', ' 492.04 Last', ' 9688)']",[' 2184.6  '],"[' 813      (Average Length', ' 482.41 Splits', ' 0)']","[' 19145215 (Deleted', ' 18893573)']","[' 11       (Ratio', '   0.00%)']","[' 2196     (Ratio', '   0.01%)']","[' 19145215 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19145215 (Average', '  1.48 Max', ' 3084 Sum', ' 28350678)']","[' 19144735 (Average', '  1.47 Max', ' 2802 Sum', ' 28124916 Ratio', '  99.20%)']","[' 480      (Average', ' 470.34 Max', ' 629 Sum', ' 225762 Ratio', '   0.80%)']", ,[' 86628   '],[' 3491    '],[' 79886   '],[' 28745   '],"[' 75687    (Atom=Atom', ' 21793 Body=Body', ' 13453 Other', ' 40441)']",[' Yes'],"[' 4966     (Eliminated', '    0 Frozen', ' 4966)']","[' 340      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.786771'],[' 0'], ,[' 296.354'],[' 0'],[' 7.27327'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.64128e+07'],[' 3.17528e+07'],[' 0'],[' 1.78284e+10'],[' 0'],[' 0'],[' 711 '],[' 1337 '],[' 1736 '],[' 2205 '],[' 2769 '],[' 3142 '],[' 3790 '],[' 5 '],[' 2 ']
Solving...,TA70, , , ,[' 1'],[' 1381+'],[' 698'],"[' 435.983s (Solving', ' 432.81s 1st Model', ' 2.06s Unsat', ' 1.71s)']",[' 434.750s'], ,[' 35885246'],"[' 20928210 (Analyzed', ' 20880862)']","[' 40622    (Average', ' 514.03 Last', ' 240011)']",[' 2111.5  '],"[' 698      (Average Length', ' 433.75 Splits', ' 0)']","[' 20880862 (Deleted', ' 20607310)']","[' 5        (Ratio', '   0.00%)']","[' 2273     (Ratio', '   0.01%)']","[' 20880862 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20880862 (Average', '  1.64 Max', ' 3122 Sum', ' 34345146)']","[' 20880322 (Average', '  1.63 Max', ' 2719 Sum', ' 34096361 Ratio', '  99.28%)']","[' 540      (Average', ' 460.71 Max', ' 620 Sum', ' 248785 Ratio', '   0.72%)']", ,[' 85913   '],[' 3512    '],[' 79355   '],[' 28354   '],"[' 75679    (Atom=Atom', ' 21762 Body=Body', ' 13516 Other', ' 40401)']",[' Yes'],"[' 4898     (Eliminated', '    0 Frozen', ' 4898)']","[' 333      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.647138'],[' 0'], ,[' 285.633'],[' 0'],[' 7.15529'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.95245e+07'],[' 4.07186e+07'],[' 0'],[' 1.76541e+10'],[' 0'],[' 0'],[' 592 '],[' 1137 '],[' 1706 '],[' 2396 '],[' 2837 '],[' 3208 '],[' 3804 '],[' 5 '],[' 2 ']
