Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , ,[' 1'],[' 3253+'],[' 1635'],"[' 606.785s (Solving', ' 586.71s 1st Model', ' 20.55s Unsat', ' 0.00s)']",[' 602.922s'], ,[' 91307052'],"[' 13289709 (Analyzed', ' 13075142)']","[' 27050    (Average', ' 483.37 Last', ' 24698)']",[' 6764.7  '],"[' 1635     (Average Length', ' 954.21 Splits', ' 0)']","[' 13075142 (Deleted', ' 12924966)']","[' 13       (Ratio', '   0.00%)']","[' 10829    (Ratio', '   0.08%)']","[' 13075142 (Average Length', '   18.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13075142 (Average', '  6.36 Max', ' 9107 Sum', ' 83152402)']","[' 13072743 (Average', '  6.19 Max', ' 9107 Sum', ' 80966356 Ratio', '  97.37%)']","[' 2399     (Average', ' 911.23 Max', ' 1268 Sum', ' 2186046 Ratio', '   2.63%)']", ,[' 280725  '],[' 12450   '],[' 255808  '],[' 91081   '],"[' 236267   (Atom=Atom', ' 65694 Body=Body', ' 43240 Other', ' 127333)']",[' Yes'],"[' 15481    (Eliminated', '    0 Frozen', ' 15481)']","[' 2047     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.82202'],[' 0'], ,[' 402.062'],[' 0'],[' 11.5523'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.481e+08'],[' 1.06651e+08'],[' 0'],[' 2.35606e+10'],[' 0'],[' 0'],[' 1067 '],[' 2037 '],[' 2908 '],[' 3679 '],[' 4352 '],[' 5387 '],[' 6213 '],[' 6379 '],[' 8 '],[' 0 ']
Solving...,TA72, , , ,[' 1'],[' 3629+'],[' 1823'],"[' 606.620s (Solving', ' 585.51s 1st Model', ' 22.41s Unsat', ' 0.00s)']",[' 604.109s'], ,[' 90357245'],"[' 13615404 (Analyzed', ' 13351848)']","[' 27333    (Average', ' 488.49 Last', ' 30280)']",[' 6970.0  '],"[' 1823     (Average Length', ' 1036.56 Splits', ' 0)']","[' 13351848 (Deleted', ' 13211906)']","[' 10       (Ratio', '   0.00%)']","[' 10772    (Ratio', '   0.08%)']","[' 13351848 (Average Length', '   18.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13351848 (Average', '  6.06 Max', ' 9234 Sum', ' 80848315)']","[' 13349592 (Average', '  5.89 Max', ' 9234 Sum', ' 78658258 Ratio', '  97.29%)']","[' 2256     (Average', ' 970.77 Max', ' 1314 Sum', ' 2190057 Ratio', '   2.71%)']", ,[' 282026  '],[' 12400   '],[' 256819  '],[' 91753   '],"[' 235836   (Atom=Atom', ' 65682 Body=Body', ' 43090 Other', ' 127064)']",[' Yes'],"[' 15636    (Eliminated', '    0 Frozen', ' 15636)']","[' 1966     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.15668'],[' 0'], ,[' 398.511'],[' 0'],[' 11.1458'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.50286e+08'],[' 1.10433e+08'],[' 0'],[' 2.39895e+10'],[' 0'],[' 0'],[' 883 '],[' 1672 '],[' 2410 '],[' 3286 '],[' 4021 '],[' 4744 '],[' 5386 '],[' 6094 '],[' 8 '],[' 0 ']
Solving...,TA73, , , ,[' 1'],[' 3475+'],[' 1746'],"[' 606.111s (Solving', ' 587.53s 1st Model', ' 18.86s Unsat', ' 0.00s)']",[' 603.688s'], ,[' 92523048'],"[' 15046198 (Analyzed', ' 14741162)']","[' 30123    (Average', ' 489.37 Last', ' 21667)']",[' 6439.4  '],"[' 1746     (Average Length', ' 1012.34 Splits', ' 0)']","[' 14741162 (Deleted', ' 14574756)']","[' 25       (Ratio', '   0.00%)']","[' 9533     (Ratio', '   0.06%)']","[' 14741162 (Average Length', '   18.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14741162 (Average', '  5.74 Max', ' 9897 Sum', ' 84552561)']","[' 14738887 (Average', '  5.57 Max', ' 9276 Sum', ' 82039960 Ratio', '  97.03%)']","[' 2275     (Average', ' 1104.44 Max', ' 1485 Sum', ' 2512601 Ratio', '   2.97%)']", ,[' 279739  '],[' 12487   '],[' 255881  '],[' 90333   '],"[' 236954   (Atom=Atom', ' 65953 Body=Body', ' 43351 Other', ' 127650)']",[' Yes'],"[' 15629    (Eliminated', '    0 Frozen', ' 15629)']","[' 1728     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.64499'],[' 0'], ,[' 406.702'],[' 0'],[' 10.7737'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.48886e+08'],[' 1.04066e+08'],[' 0'],[' 2.47574e+10'],[' 0'],[' 0'],[' 1084 '],[' 2099 '],[' 2963 '],[' 3593 '],[' 4222 '],[' 5097 '],[' 5826 '],[' 6475 '],[' 8 '],[' 0 ']
Solving...,TA74, , , ,[' 1'],[' 4241+'],[' 2129'],"[' 607.369s (Solving', ' 583.13s 1st Model', ' 25.05s Unsat', ' 0.00s)']",[' 605.141s'], ,[' 85629775'],"[' 12943585 (Analyzed', ' 12591962)']","[' 26300    (Average', ' 478.78 Last', ' 19788)']",[' 6974.6  '],"[' 2129     (Average Length', ' 1177.00 Splits', ' 0)']","[' 12591962 (Deleted', ' 12437115)']","[' 19       (Ratio', '   0.00%)']","[' 10513    (Ratio', '   0.08%)']","[' 12591962 (Average Length', '   17.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12591962 (Average', '  5.93 Max', ' 9285 Sum', ' 74698903)']","[' 12589806 (Average', '  5.75 Max', ' 9108 Sum', ' 72361101 Ratio', '  96.87%)']","[' 2156     (Average', ' 1084.32 Max', ' 1593 Sum', ' 2337802 Ratio', '   3.13%)']", ,[' 282038  '],[' 12315   '],[' 257054  '],[' 91744   '],"[' 235420   (Atom=Atom', ' 65648 Body=Body', ' 42835 Other', ' 126937)']",[' Yes'],"[' 15781    (Eliminated', '    0 Frozen', ' 15781)']","[' 2061     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.79456'],[' 0'], ,[' 388.098'],[' 0'],[' 10.8554'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.46524e+08'],[' 1.07944e+08'],[' 0'],[' 2.26786e+10'],[' 0'],[' 0'],[' 957 '],[' 1790 '],[' 2682 '],[' 3345 '],[' 4083 '],[' 4750 '],[' 5349 '],[' 5974 '],[' 8 '],[' 0 ']
Solving...,TA75, , , ,[' 1'],[' 3275+'],[' 1646'],"[' 606.193s (Solving', ' 587.18s 1st Model', ' 20.83s Unsat', ' 0.00s)']",[' 604.297s'], ,[' 91042837'],"[' 15849970 (Analyzed', ' 15622485)']","[' 33005    (Average', ' 473.34 Last', ' 10002)']",[' 6975.4  '],"[' 1646     (Average Length', ' 945.02 Splits', ' 0)']","[' 15622485 (Deleted', ' 15442749)']","[' 12       (Ratio', '   0.00%)']","[' 9095     (Ratio', '   0.06%)']","[' 15622485 (Average Length', '   17.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15622485 (Average', '  5.25 Max', ' 9567 Sum', ' 82064011)']","[' 15620314 (Average', '  5.13 Max', ' 9567 Sum', ' 80199986 Ratio', '  97.73%)']","[' 2171     (Average', ' 858.60 Max', ' 1298 Sum', ' 1864025 Ratio', '   2.27%)']", ,[' 283423  '],[' 12569   '],[' 257968  '],[' 92357   '],"[' 237706   (Atom=Atom', ' 66181 Body=Body', ' 43597 Other', ' 127928)']",[' Yes'],"[' 15623    (Eliminated', '    0 Frozen', ' 15623)']","[' 1585     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.6977'],[' 0'], ,[' 400.239'],[' 0'],[' 9.74402'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.48587e+08'],[' 1.03957e+08'],[' 0'],[' 2.4396e+10'],[' 0'],[' 0'],[' 1175 '],[' 1824 '],[' 2758 '],[' 3449 '],[' 3969 '],[' 4753 '],[' 5641 '],[' 6457 '],[' 8 '],[' 0 ']
Solving...,TA76, , , ,[' 1'],[' 3837+'],[' 1927'],"[' 606.757s (Solving', ' 585.37s 1st Model', ' 20.59s Unsat', ' 0.00s)']",[' 604.125s'], ,[' 80766020'],"[' 13139769 (Analyzed', ' 12827102)']","[' 26379    (Average', ' 486.26 Last', ' 89527)']",[' 6611.1  '],"[' 1927     (Average Length', ' 1079.09 Splits', ' 0)']","[' 12827102 (Deleted', ' 12676847)']","[' 13       (Ratio', '   0.00%)']","[' 9001     (Ratio', '   0.07%)']","[' 12827102 (Average Length', '   16.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12827102 (Average', '  5.57 Max', ' 9112 Sum', ' 71488676)']","[' 12824891 (Average', '  5.40 Max', ' 9112 Sum', ' 69233474 Ratio', '  96.85%)']","[' 2211     (Average', ' 1019.99 Max', ' 1538 Sum', ' 2255202 Ratio', '   3.15%)']", ,[' 280859  '],[' 12171   '],[' 255854  '],[' 90794   '],"[' 232629   (Atom=Atom', ' 64870 Body=Body', ' 42403 Other', ' 125356)']",[' Yes'],"[' 15437    (Eliminated', '    0 Frozen', ' 15437)']","[' 1756     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.22837'],[' 0'], ,[' 400.581'],[' 0'],[' 10.543'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.36007e+08'],[' 9.81368e+07'],[' 0'],[' 2.31918e+10'],[' 0'],[' 0'],[' 1151 '],[' 1886 '],[' 2631 '],[' 3243 '],[' 3823 '],[' 4613 '],[' 5509 '],[' 6282 '],[' 8 '],[' 0 ']
Solving...,TA77, , , ,[' 1'],[' 3699+'],[' 1858'],"[' 606.522s (Solving', ' 586.13s 1st Model', ' 24.08s Unsat', ' 0.00s)']",[' 604.531s'], ,[' 94216942'],"[' 16209000 (Analyzed', ' 15966483)']","[' 32305    (Average', ' 494.24 Last', ' 113660)']",[' 6852.4  '],"[' 1858     (Average Length', ' 1060.73 Splits', ' 0)']","[' 15966483 (Deleted', ' 15771271)']","[' 11       (Ratio', '   0.00%)']","[' 9011     (Ratio', '   0.06%)']","[' 15966483 (Average Length', '   17.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15966483 (Average', '  5.29 Max', ' 9617 Sum', ' 84417689)']","[' 15964585 (Average', '  5.17 Max', ' 9617 Sum', ' 82538923 Ratio', '  97.77%)']","[' 1898     (Average', ' 989.87 Max', ' 1500 Sum', ' 1878766 Ratio', '   2.23%)']", ,[' 281762  '],[' 12335   '],[' 256856  '],[' 91359   '],"[' 234846   (Atom=Atom', ' 65457 Body=Body', ' 42895 Other', ' 126494)']",[' Yes'],"[' 15570    (Eliminated', '    0 Frozen', ' 15570)']","[' 1422     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.03876'],[' 0'], ,[' 389.714'],[' 0'],[' 9.89834'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.53286e+08'],[' 1.07033e+08'],[' 0'],[' 2.36524e+10'],[' 0'],[' 0'],[' 1116 '],[' 1960 '],[' 2664 '],[' 3125 '],[' 3959 '],[' 4596 '],[' 5331 '],[' 6182 '],[' 8 '],[' 0 ']
Solving...,TA78, , , ,[' 1'],[' 3513+'],[' 1765'],"[' 606.567s (Solving', ' 586.29s 1st Model', ' 20.90s Unsat', ' 0.00s)']",[' 604.125s'], ,[' 86380558'],"[' 14515401 (Analyzed', ' 14228546)']","[' 29012    (Average', ' 490.44 Last', ' 97559)']",[' 6853.6  '],"[' 1765     (Average Length', ' 1021.91 Splits', ' 0)']","[' 14228546 (Deleted', ' 14061864)']","[' 16       (Ratio', '   0.00%)']","[' 9517     (Ratio', '   0.07%)']","[' 14228546 (Average Length', '   18.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14228546 (Average', '  5.44 Max', ' 9127 Sum', ' 77362786)']","[' 14226266 (Average', '  5.28 Max', ' 9127 Sum', ' 75142734 Ratio', '  97.13%)']","[' 2280     (Average', ' 973.71 Max', ' 1356 Sum', ' 2220052 Ratio', '   2.87%)']", ,[' 280268  '],[' 12376   '],[' 255729  '],[' 90733   '],"[' 235260   (Atom=Atom', ' 65528 Body=Body', ' 43018 Other', ' 126714)']",[' Yes'],"[' 15539    (Eliminated', '    0 Frozen', ' 15539)']","[' 1852     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.9581'],[' 0'], ,[' 402.558'],[' 0'],[' 10.285'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.42975e+08'],[' 1.00507e+08'],[' 0'],[' 2.38111e+10'],[' 0'],[' 0'],[' 1090 '],[' 1821 '],[' 2592 '],[' 3447 '],[' 3977 '],[' 4763 '],[' 5592 '],[' 6356 '],[' 8 '],[' 0 ']
Solving...,TA79, , , ,[' 1'],[' 3681+'],[' 1849'],"[' 606.624s (Solving', ' 585.95s 1st Model', ' 22.34s Unsat', ' 0.00s)']",[' 604.531s'], ,[' 85466513'],"[' 13648609 (Analyzed', ' 13329265)']","[' 26867    (Average', ' 496.12 Last', ' 203235)']",[' 6761.0  '],"[' 1849     (Average Length', ' 1046.04 Splits', ' 0)']","[' 13329265 (Deleted', ' 13166112)']","[' 12       (Ratio', '   0.00%)']","[' 9184     (Ratio', '   0.07%)']","[' 13329265 (Average Length', '   17.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13329265 (Average', '  5.71 Max', ' 9412 Sum', ' 76071445)']","[' 13327257 (Average', '  5.55 Max', ' 9412 Sum', ' 74014015 Ratio', '  97.30%)']","[' 2008     (Average', ' 1024.62 Max', ' 1464 Sum', ' 2057430 Ratio', '   2.70%)']", ,[' 281806  '],[' 12382   '],[' 256845  '],[' 91423   '],"[' 235683   (Atom=Atom', ' 65636 Body=Body', ' 43036 Other', ' 127011)']",[' Yes'],"[' 15598    (Eliminated', '    0 Frozen', ' 15598)']","[' 1701     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.09918'],[' 0'], ,[' 399.848'],[' 0'],[' 10.7781'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.41139e+08'],[' 1.00881e+08'],[' 0'],[' 2.32097e+10'],[' 0'],[' 0'],[' 906 '],[' 1822 '],[' 2514 '],[' 3205 '],[' 3978 '],[' 4685 '],[' 5393 '],[' 5972 '],[' 8 '],[' 0 ']
Solving...,TA80, , , ,[' 1'],[' 3535+'],[' 1776'],"[' 606.555s (Solving', ' 585.84s 1st Model', ' 22.96s Unsat', ' 0.00s)']",[' 605.578s'], ,[' 91407259'],"[' 13734407 (Analyzed', ' 13449369)']","[' 27656    (Average', ' 486.31 Last', ' 70711)']",[' 6689.2  '],"[' 1776     (Average Length', ' 1000.54 Splits', ' 0)']","[' 13449369 (Deleted', ' 13306719)']","[' 21       (Ratio', '   0.00%)']","[' 10639    (Ratio', '   0.08%)']","[' 13449369 (Average Length', '   19.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13449369 (Average', '  6.15 Max', ' 8883 Sum', ' 82719484)']","[' 13446772 (Average', '  5.97 Max', ' 8883 Sum', ' 80334532 Ratio', '  97.12%)']","[' 2597     (Average', ' 918.35 Max', ' 1346 Sum', ' 2384952 Ratio', '   2.88%)']", ,[' 281151  '],[' 12579   '],[' 256798  '],[' 91390   '],"[' 238256   (Atom=Atom', ' 66351 Body=Body', ' 43627 Other', ' 128278)']",[' Yes'],"[' 15745    (Eliminated', '    0 Frozen', ' 15745)']","[' 1807     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.03014'],[' 0'], ,[' 403.558'],[' 0'],[' 11.1552'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.505e+08'],[' 1.09521e+08'],[' 0'],[' 2.44434e+10'],[' 0'],[' 0'],[' 1189 '],[' 2024 '],[' 2726 '],[' 3445 '],[' 4058 '],[' 4559 '],[' 5431 '],[' 5934 '],[' 8 '],[' 0 ']
