Optimal Found Or Timeout,Instances,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , , ,[' 513'],[' 266'],"[' 176.026s (Solving', ' 175.02s 1st Model', ' 0.40s Unsat', ' 39.26s)']",[' 175.547s'], ,[' 17911963'],"[' 11105147 (Analyzed', ' 11090271)']","[' 22400    (Average', ' 495.10 Last', ' 70245)']",[' 1188.1  '],"[' 266      (Average Length', ' 187.92 Splits', ' 0)']","[' 11090271 (Deleted', ' 10935462)']","[' 27       (Ratio', '   0.00%)']","[' 2080     (Ratio', '   0.02%)']","[' 11090271 (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11090271 (Average', '  1.56 Max', ' 1589 Sum', ' 17326694)']","[' 11089921 (Average', '  1.56 Max', ' 1552 Sum', ' 17265745 Ratio', '  99.65%)']","[' 350      (Average', ' 174.14 Max', ' 270 Sum', '  60949 Ratio', '   0.35%)']", ,[' 59957   '],[' 2077    '],[' 55570   '],[' 18047   '],"[' 47480    (Atom=Atom', ' 14029 Body=Body', ' 8534 Other', ' 24917)']",[' Yes'],"[' 2921     (Eliminated', '    0 Frozen', ' 2921)']","[' 301      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.178524'],[' 0'], ,[' 116.576'],[' 0'],[' 2.14565'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.22048e+07'],[' 1.6917e+07'],[' 0'],[' 8.68719e+09'],[' 0'],[' 0'],[' 494 '],[' 908 '],[' 1236 '],[' 1576 '],[' 2256 '],[' 2537 '],[' 2855 '],[' 3324 '],[' 3602 '],[' 2 '],[' 7 ']
Solving...,TA52, , , , ,[' 355'],[' 187'],"[' 146.309s (Solving', ' 145.45s 1st Model', ' 0.28s Unsat', ' 10.61s)']",[' 145.766s'], ,[' 11806659'],"[' 8151198  (Analyzed', ' 8132986)']","[' 16965    (Average', ' 479.40 Last', ' 41929)']",[' 1280.7  '],"[' 187      (Average Length', ' 155.18 Splits', ' 0)']","[' 8132986  (Deleted', ' 8006632)']","[' 26       (Ratio', '   0.00%)']","[' 1370     (Ratio', '   0.02%)']","[' 8132986  (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8132986  (Average', '  1.40 Max', ' 1584 Sum', ' 11408907)']","[' 8132677  (Average', '  1.40 Max', ' 1584 Sum', ' 11370136 Ratio', '  99.66%)']","[' 309      (Average', ' 125.47 Max', ' 211 Sum', '  38771 Ratio', '   0.34%)']", ,[' 59988   '],[' 2040    '],[' 55374   '],[' 17960   '],"[' 46733    (Atom=Atom', ' 13799 Body=Body', ' 8422 Other', ' 24512)']",[' Yes'],"[' 2804     (Eliminated', '    0 Frozen', ' 2804)']","[' 145      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.137134'],[' 0'], ,[' 98.2326'],[' 0'],[' 1.9903'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.03692e+07'],[' 1.20673e+07'],[' 0'],[' 7.14958e+09'],[' 0'],[' 0'],[' 557 '],[' 1011 '],[' 1296 '],[' 1761 '],[' 2071 '],[' 2512 '],[' 2727 '],[' 3323 '],[' 3430 '],[' 2 '],[' 7 ']
Solving...,TA53, , , , ,[' 463'],[' 241'],"[' 203.907s (Solving', ' 202.93s 1st Model', ' 0.33s Unsat', ' 0.70s)']",[' 203.422s'], ,[' 20767931'],"[' 14791469 (Analyzed', ' 14776921)']","[' 29175    (Average', ' 506.49 Last', ' 5542)']",[' 1139.2  '],"[' 241      (Average Length', ' 171.91 Splits', ' 0)']","[' 14776921 (Deleted', ' 14591777)']","[' 23       (Ratio', '   0.00%)']","[' 1518     (Ratio', '   0.01%)']","[' 14776921 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14776921 (Average', '  1.36 Max', ' 1463 Sum', ' 20170186)']","[' 14776565 (Average', '  1.36 Max', ' 1463 Sum', ' 20115689 Ratio', '  99.73%)']","[' 356      (Average', ' 153.08 Max', ' 232 Sum', '  54497 Ratio', '   0.27%)']", ,[' 59137   '],[' 1949    '],[' 54754   '],[' 17486   '],"[' 45466    (Atom=Atom', ' 13494 Body=Body', ' 8151 Other', ' 23821)']",[' Yes'],"[' 2767     (Eliminated', '    0 Frozen', ' 2767)']","[' 230      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.159719'],[' 0'], ,[' 122.841'],[' 0'],[' 2.62773'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.2393e+07'],[' 1.94528e+07'],[' 0'],[' 9.21018e+09'],[' 0'],[' 0'],[' 423 '],[' 1114 '],[' 1219 '],[' 1521 '],[' 1918 '],[' 2273 '],[' 2576 '],[' 2909 '],[' 3342 '],[' 3 '],[' 6 ']
Solving...,TA54, , , , ,[' 451'],[' 235'],"[' 152.646s (Solving', ' 151.73s 1st Model', ' 0.30s Unsat', ' 16.15s)']",[' 152.156s'], ,[' 14182757'],"[' 10385176 (Analyzed', ' 10350577)']","[' 21814    (Average', ' 474.49 Last', ' 50295)']",[' 1053.1  '],"[' 235      (Average Length', ' 169.71 Splits', ' 0)']","[' 10350577 (Deleted', ' 10215263)']","[' 21       (Ratio', '   0.00%)']","[' 1265     (Ratio', '   0.01%)']","[' 10350577 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10350577 (Average', '  1.33 Max', ' 1509 Sum', ' 13731986)']","[' 10350197 (Average', '  1.32 Max', ' 1509 Sum', ' 13662739 Ratio', '  99.50%)']","[' 380      (Average', ' 182.23 Max', ' 256 Sum', '  69247 Ratio', '   0.50%)']", ,[' 59701   '],[' 2062    '],[' 55352   '],[' 17849   '],"[' 47214    (Atom=Atom', ' 13938 Body=Body', ' 8489 Other', ' 24787)']",[' Yes'],"[' 2874     (Eliminated', '    0 Frozen', ' 2874)']","[' 139      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.14354'],[' 0'], ,[' 95.9019'],[' 0'],[' 1.98873'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.62891e+07'],[' 1.29621e+07'],[' 0'],[' 6.89507e+09'],[' 0'],[' 0'],[' 485 '],[' 862 '],[' 1228 '],[' 1675 '],[' 2020 '],[' 2280 '],[' 2835 '],[' 3242 '],[' 3444 '],[' 2 '],[' 7 ']
Solving...,TA55, , , , ,[' 485'],[' 252'],"[' 187.436s (Solving', ' 186.45s 1st Model', ' 0.36s Unsat', ' 50.54s)']",[' 186.719s'], ,[' 19785647'],"[' 14245505 (Analyzed', ' 14236993)']","[' 28514    (Average', ' 499.30 Last', ' 744)']",[' 1146.0  '],"[' 252      (Average Length', ' 190.16 Splits', ' 0)']","[' 14236993 (Deleted', ' 14045746)']","[' 10       (Ratio', '   0.00%)']","[' 1573     (Ratio', '   0.01%)']","[' 14236993 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14236993 (Average', '  1.35 Max', ' 1746 Sum', ' 19220421)']","[' 14236606 (Average', '  1.35 Max', ' 1548 Sum', ' 19150141 Ratio', '  99.63%)']","[' 387      (Average', ' 181.60 Max', ' 288 Sum', '  70280 Ratio', '   0.37%)']", ,[' 59630   '],[' 2085    '],[' 55335   '],[' 17840   '],"[' 47553    (Atom=Atom', ' 14047 Body=Body', ' 8558 Other', ' 24948)']",[' Yes'],"[' 2915     (Eliminated', '    0 Frozen', ' 2915)']","[' 222      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.163127'],[' 0'], ,[' 110.556'],[' 0'],[' 2.6413'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.98449e+07'],[' 1.81889e+07'],[' 0'],[' 7.58216e+09'],[' 0'],[' 0'],[' 682 '],[' 955 '],[' 1351 '],[' 1757 '],[' 2125 '],[' 2451 '],[' 2755 '],[' 3278 '],[' 3489 '],[' 2 '],[' 7 ']
Solving...,TA56, , , ,[' 1'],[' 453+'],[' 236'],"[' 171.683s (Solving', ' 170.69s 1st Model', ' 0.34s Unsat', ' 35.31s)']",[' 171.016s'], ,[' 15814386'],"[' 11752576 (Analyzed', ' 11745366)']","[' 24942    (Average', ' 470.91 Last', ' 42160)']",[' 1176.2  '],"[' 236      (Average Length', ' 178.05 Splits', ' 0)']","[' 11745366 (Deleted', ' 11562420)']","[' 3        (Ratio', '   0.00%)']","[' 1360     (Ratio', '   0.01%)']","[' 11745366 (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11745366 (Average', '  1.30 Max', ' 1550 Sum', ' 15306077)']","[' 11744971 (Average', '  1.30 Max', ' 1550 Sum', ' 15242983 Ratio', '  99.59%)']","[' 395      (Average', ' 159.73 Max', ' 260 Sum', '  63094 Ratio', '   0.41%)']", ,[' 59163   '],[' 2037    '],[' 54915   '],[' 17564   '],"[' 46759    (Atom=Atom', ' 13834 Body=Body', ' 8407 Other', ' 24518)']",[' Yes'],"[' 2850     (Eliminated', '    0 Frozen', ' 2850)']","[' 79       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.160711'],[' 0'], ,[' 104.553'],[' 0'],[' 3.13795'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.08076e+07'],[' 1.47399e+07'],[' 0'],[' 7.68002e+09'],[' 0'],[' 0'],[' 748 '],[' 1157 '],[' 1432 '],[' 1784 '],[' 2162 '],[' 2434 '],[' 2772 '],[' 3123 '],[' 3429 '],[' 2 '],[' 7 ']
Solving...,TA57, , , , ,[' 383'],[' 201'],"[' 236.633s (Solving', ' 235.74s 1st Model', ' 0.33s Unsat', ' 33.98s)']",[' 236.125s'], ,[' 21149055'],"[' 14956485 (Analyzed', ' 14951374)']","[' 31914    (Average', ' 468.49 Last', ' 2747)']",[' 1188.6  '],"[' 201      (Average Length', ' 146.46 Splits', ' 0)']","[' 14951374 (Deleted', ' 14735233)']","[' 37       (Ratio', '   0.00%)']","[' 2113     (Ratio', '   0.01%)']","[' 14951374 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14951374 (Average', '  1.38 Max', ' 1527 Sum', ' 20567819)']","[' 14950997 (Average', '  1.37 Max', ' 1527 Sum', ' 20519614 Ratio', '  99.77%)']","[' 377      (Average', ' 127.86 Max', ' 211 Sum', '  48205 Ratio', '   0.23%)']", ,[' 59680   '],[' 2041    '],[' 55211   '],[' 17821   '],"[' 46776    (Atom=Atom', ' 13822 Body=Body', ' 8427 Other', ' 24527)']",[' Yes'],"[' 2819     (Eliminated', '    0 Frozen', ' 2819)']","[' 275      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.146417'],[' 0'], ,[' 153.979'],[' 0'],[' 3.60815'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.61729e+07'],[' 2.23152e+07'],[' 0'],[' 1.13172e+10'],[' 0'],[' 0'],[' 522 '],[' 1084 '],[' 1406 '],[' 1807 '],[' 2228 '],[' 2410 '],[' 2819 '],[' 3306 '],[' 3556 '],[' 3 '],[' 6 ']
Solving...,TA58, , , , ,[' 631'],[' 325'],"[' 51.035s (Solving', ' 49.85s 1st Model', ' 0.46s Unsat', ' 45.86s)']",[' 50.719s'], ,[' 4615457 '],"[' 3040316  (Analyzed', ' 3017294)']","[' 7065     (Average', ' 427.08 Last', ' 372)']",[' 1290.3  '],"[' 325      (Average Length', ' 225.41 Splits', ' 0)']","[' 3017294  (Deleted', ' 2960399)']","[' 29       (Ratio', '   0.00%)']","[' 744      (Ratio', '   0.02%)']","[' 3017294  (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3017294  (Average', '  1.41 Max', ' 1703 Sum', ' 4256572)']","[' 3016957  (Average', '  1.39 Max', ' 1703 Sum', ' 4194371 Ratio', '  98.54%)']","[' 337      (Average', ' 184.57 Max', ' 321 Sum', '  62201 Ratio', '   1.46%)']", ,[' 60009   '],[' 2086    '],[' 55700   '],[' 18116   '],"[' 47771    (Atom=Atom', ' 14117 Body=Body', ' 8559 Other', ' 25095)']",[' Yes'],"[' 2985     (Eliminated', '    0 Frozen', ' 2985)']","[' 13       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.215864'],[' 0'], ,[' 29.4019'],[' 0'],[' 0.583208'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.16883e+07'],[' 4.58784e+06'],[' 0'],[' 2.04696e+09'],[' 0'],[' 0'],[' 555 '],[' 933 '],[' 1291 '],[' 1641 '],[' 2010 '],[' 2316 '],[' 2805 '],[' 3209 '],[' 3551 '],[' 0 '],[' 9 ']
Solving...,TA59, , , ,[' 1'],[' 455+'],[' 237'],"[' 401.555s (Solving', ' 400.58s 1st Model', ' 0.33s Unsat', ' 0.31s)']",[' 400.313s'], ,[' 32936852'],"[' 23823973 (Analyzed', ' 23809318)']","[' 49008    (Average', ' 485.83 Last', ' 146049)']",[' 1137.9  '],"[' 237      (Average Length', ' 172.26 Splits', ' 0)']","[' 23809318 (Deleted', ' 23501592)']","[' 15       (Ratio', '   0.00%)']","[' 2381     (Ratio', '   0.01%)']","[' 23809318 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23809318 (Average', '  1.35 Max', ' 1574 Sum', ' 32077472)']","[' 23808990 (Average', '  1.35 Max', ' 1448 Sum', ' 32023766 Ratio', '  99.83%)']","[' 328      (Average', ' 163.74 Max', ' 249 Sum', '  53706 Ratio', '   0.17%)']", ,[' 59288   '],[' 2001    '],[' 54961   '],[' 17566   '],"[' 46278    (Atom=Atom', ' 13698 Body=Body', ' 8307 Other', ' 24273)']",[' Yes'],"[' 2814     (Eliminated', '    0 Frozen', ' 2814)']","[' 398      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.160973'],[' 0'], ,[' 266.688'],[' 0'],[' 5.84266'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.66282e+07'],[' 3.34548e+07'],[' 0'],[' 2.0148e+10'],[' 0'],[' 0'],[' 470 '],[' 980 '],[' 1178 '],[' 1543 '],[' 1874 '],[' 2418 '],[' 2595 '],[' 3121 '],[' 3422 '],[' 6 '],[' 3 ']
Solving...,TA60, , , , ,[' 597'],[' 308'],"[' 183.256s (Solving', ' 182.12s 1st Model', ' 0.48s Unsat', ' 45.73s)']",[' 182.594s'], ,[' 17501222'],"[' 11541462 (Analyzed', ' 11526466)']","[' 23550    (Average', ' 489.45 Last', ' 50033)']",[' 1222.6  '],"[' 308      (Average Length', ' 208.66 Splits', ' 0)']","[' 11526466 (Deleted', ' 11341043)']","[' 15       (Ratio', '   0.00%)']","[' 1564     (Ratio', '   0.01%)']","[' 11526466 (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11526466 (Average', '  1.47 Max', ' 1761 Sum', ' 16979573)']","[' 11526181 (Average', '  1.47 Max', ' 1761 Sum', ' 16927040 Ratio', '  99.69%)']","[' 285      (Average', ' 184.33 Max', ' 315 Sum', '  52533 Ratio', '   0.31%)']", ,[' 60279   '],[' 2063    '],[' 55808   '],[' 18174   '],"[' 47434    (Atom=Atom', ' 14017 Body=Body', ' 8493 Other', ' 24924)']",[' Yes'],"[' 2943     (Eliminated', '    0 Frozen', ' 2943)']","[' 198      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.197666'],[' 0'], ,[' 110.554'],[' 0'],[' 2.83843'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.9681e+07'],[' 2.35453e+07'],[' 0'],[' 8.00956e+09'],[' 0'],[' 0'],[' 452 '],[' 808 '],[' 1290 '],[' 1588 '],[' 1914 '],[' 2166 '],[' 2496 '],[' 2963 '],[' 3270 '],[' 2 '],[' 7 ']
