Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , ,[' 1'],[' 2187+'],[' 1104'],"[' 604.384s (Solving', ' 591.50s 1st Model', ' 11.50s Unsat', ' 0.00s)']",[' 600.813s'], ,[' 61007992'],"[' 16025434 (Analyzed', ' 15930741)']","[' 32622    (Average', ' 488.34 Last', ' 119919)']",[' 5523.5  '],"[' 1104     (Average Length', ' 670.91 Splits', ' 0)']","[' 15930741 (Deleted', ' 15726131)']","[' 10       (Ratio', '   0.00%)']","[' 8301     (Ratio', '   0.05%)']","[' 15930741 (Average Length', '   16.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15930741 (Average', '  3.52 Max', ' 7370 Sum', ' 56093798)']","[' 15928880 (Average', '  3.44 Max', ' 7370 Sum', ' 54880744 Ratio', '  97.84%)']","[' 1861     (Average', ' 651.83 Max', ' 876 Sum', ' 1213054 Ratio', '   2.16%)']", ,[' 256206  '],[' 10029   '],[' 236118  '],[' 75107   '],"[' 196929   (Atom=Atom', ' 55827 Body=Body', ' 36067 Other', ' 105035)']",[' Yes'],"[' 12690    (Eliminated', '    0 Frozen', ' 12690)']","[' 1643     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.61011'],[' 0'], ,[' 429.623'],[' 0'],[' 9.90674'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.13e+08'],[' 7.03723e+07'],[' 0'],[' 2.47933e+10'],[' 0'],[' 0'],[' 906 '],[' 1755 '],[' 2667 '],[' 3413 '],[' 3495 '],[' 4197 '],[' 4897 '],[' 5818 '],[' 6049 '],[' 6369 '],[' 10 '],[' 0 ']
Solving...,TA72, , , ,[' 1'],[' 2203+'],[' 1112'],"[' 585.375s (Solving', ' 573.96s 1st Model', ' 11.32s Unsat', ' 34.18s)']",[' 584.688s'], ,[' 55333671'],"[' 16865209 (Analyzed', ' 16767334)']","[' 35390    (Average', ' 473.79 Last', ' 146987)']",[' 5213.4  '],"[' 1112     (Average Length', ' 687.35 Splits', ' 0)']","[' 16767334 (Deleted', ' 16549471)']","[' 12       (Ratio', '   0.00%)']","[' 6723     (Ratio', '   0.04%)']","[' 16767334 (Average Length', '   15.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16767334 (Average', '  3.02 Max', ' 7702 Sum', ' 50705498)']","[' 16765613 (Average', '  2.95 Max', ' 7553 Sum', ' 49546407 Ratio', '  97.71%)']","[' 1721     (Average', ' 673.50 Max', ' 951 Sum', ' 1159091 Ratio', '   2.29%)']", ,[' 257662  '],[' 9895    '],[' 236685  '],[' 75853   '],"[' 194685   (Atom=Atom', ' 55299 Body=Body', ' 35665 Other', ' 103721)']",[' Yes'],"[' 12581    (Eliminated', '    0 Frozen', ' 12581)']","[' 1152     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.25137'],[' 0'], ,[' 420.499'],[' 0'],[' 9.06563'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.04868e+08'],[' 6.23854e+07'],[' 0'],[' 2.51825e+10'],[' 0'],[' 0'],[' 690 '],[' 1430 '],[' 1982 '],[' 2588 '],[' 3512 '],[' 3755 '],[' 4495 '],[' 4900 '],[' 5550 '],[' 6199 '],[' 9 '],[' 1 ']
Solving...,TA73, , , ,[' 1'],[' 2387+'],[' 1204'],"[' 604.089s (Solving', ' 592.05s 1st Model', ' 10.23s Unsat', ' 0.00s)']",[' 603.000s'], ,[' 61035698'],"[' 18848105 (Analyzed', ' 18747591)']","[' 39049    (Average', ' 480.10 Last', ' 52287)']",[' 5268.4  '],"[' 1204     (Average Length', ' 732.47 Splits', ' 0)']","[' 18747591 (Deleted', ' 18518009)']","[' 13       (Ratio', '   0.00%)']","[' 6848     (Ratio', '   0.04%)']","[' 18747591 (Average Length', '   15.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18747591 (Average', '  2.98 Max', ' 8213 Sum', ' 55935408)']","[' 18745943 (Average', '  2.92 Max', ' 7608 Sum', ' 54738923 Ratio', '  97.86%)']","[' 1648     (Average', ' 726.02 Max', ' 1085 Sum', ' 1196485 Ratio', '   2.14%)']", ,[' 256169  '],[' 9891    '],[' 236027  '],[' 74961   '],"[' 194980   (Atom=Atom', ' 55375 Body=Body', ' 35653 Other', ' 103952)']",[' Yes'],"[' 12648    (Eliminated', '    0 Frozen', ' 12648)']","[' 1283     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.43755'],[' 0'], ,[' 426.737'],[' 0'],[' 8.46782'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.16488e+08'],[' 6.82556e+07'],[' 0'],[' 2.61461e+10'],[' 0'],[' 0'],[' 1054 '],[' 1763 '],[' 2394 '],[' 2964 '],[' 3467 '],[' 4000 '],[' 4812 '],[' 5151 '],[' 5870 '],[' 6439 '],[' 10 '],[' 0 ']
Solving...,TA74, , , , ,[' 2311'],[' 1166'],"[' 566.695s (Solving', ' 553.78s 1st Model', ' 11.85s Unsat', ' 0.84s)']",[' 565.516s'], ,[' 57218522'],"[' 17199854 (Analyzed', ' 17092962)']","[' 33708    (Average', ' 507.09 Last', ' 421064)']",[' 5605.2  '],"[' 1166     (Average Length', ' 711.16 Splits', ' 0)']","[' 17092962 (Deleted', ' 16899161)']","[' 19       (Ratio', '   0.00%)']","[' 7548     (Ratio', '   0.04%)']","[' 17092962 (Average Length', '   16.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17092962 (Average', '  3.03 Max', ' 7307 Sum', ' 51870475)']","[' 17091192 (Average', '  2.97 Max', ' 7307 Sum', ' 50742752 Ratio', '  97.83%)']","[' 1770     (Average', ' 637.13 Max', ' 938 Sum', ' 1127723 Ratio', '   2.17%)']", ,[' 259427  '],[' 9939    '],[' 237952  '],[' 76734   '],"[' 195564   (Atom=Atom', ' 55529 Body=Body', ' 35797 Other', ' 104238)']",[' Yes'],"[' 12660    (Eliminated', '    0 Frozen', ' 12660)']","[' 1431     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.62215'],[' 0'], ,[' 393.609'],[' 0'],[' 8.78151'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.11364e+08'],[' 6.8446e+07'],[' 0'],[' 2.41333e+10'],[' 0'],[' 0'],[' 885 '],[' 1483 '],[' 2121 '],[' 2706 '],[' 3312 '],[' 3791 '],[' 4575 '],[' 4998 '],[' 5568 '],[' 6028 '],[' 9 '],[' 1 ']
Solving...,TA75, , , ,[' 1'],[' 2199+'],[' 1110'],"[' 604.076s (Solving', ' 592.75s 1st Model', ' 9.22s Unsat', ' 0.00s)']",[' 602.297s'], ,[' 60131569'],"[' 18512264 (Analyzed', ' 18352278)']","[' 38449    (Average', ' 477.31 Last', ' 69606)']",[' 5273.7  '],"[' 1110     (Average Length', ' 676.88 Splits', ' 0)']","[' 18352278 (Deleted', ' 18124978)']","[' 14       (Ratio', '   0.00%)']","[' 7542     (Ratio', '   0.04%)']","[' 18352278 (Average Length', '   16.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18352278 (Average', '  3.01 Max', ' 7838 Sum', ' 55196322)']","[' 18350699 (Average', '  2.95 Max', ' 7838 Sum', ' 54132711 Ratio', '  98.07%)']","[' 1579     (Average', ' 673.60 Max', ' 976 Sum', ' 1063611 Ratio', '   1.93%)']", ,[' 259783  '],[' 10125   '],[' 238578  '],[' 77041   '],"[' 198095   (Atom=Atom', ' 56217 Body=Body', ' 36355 Other', ' 105523)']",[' Yes'],"[' 12787    (Eliminated', '    0 Frozen', ' 12787)']","[' 1202     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.28341'],[' 0'], ,[' 430.525'],[' 0'],[' 8.52391'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.15264e+08'],[' 6.7463e+07'],[' 0'],[' 2.64087e+10'],[' 0'],[' 0'],[' 904 '],[' 1440 '],[' 2150 '],[' 2957 '],[' 3297 '],[' 3857 '],[' 4440 '],[' 5025 '],[' 5977 '],[' 6628 '],[' 10 '],[' 0 ']
Solving...,TA76, , , ,[' 1'],[' 2709+'],[' 1365'],"[' 599.670s (Solving', ' 586.33s 1st Model', ' 11.67s Unsat', ' 48.20s)']",[' 597.938s'], ,[' 61183716'],"[' 17296728 (Analyzed', ' 17193483)']","[' 35510    (Average', ' 484.19 Last', ' 64296)']",[' 5199.4  '],"[' 1365     (Average Length', ' 807.45 Splits', ' 0)']","[' 17193483 (Deleted', ' 16979986)']","[' 14       (Ratio', '   0.00%)']","[' 7269     (Ratio', '   0.04%)']","[' 17193483 (Average Length', '   15.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17193483 (Average', '  3.24 Max', ' 7928 Sum', ' 55658469)']","[' 17191886 (Average', '  3.17 Max', ' 7462 Sum', ' 54423420 Ratio', '  97.78%)']","[' 1597     (Average', ' 773.36 Max', ' 1189 Sum', ' 1235049 Ratio', '   2.22%)']", ,[' 258565  '],[' 9838    '],[' 237353  '],[' 76439   '],"[' 194509   (Atom=Atom', ' 55324 Body=Body', ' 35494 Other', ' 103691)']",[' Yes'],"[' 12738    (Eliminated', '    0 Frozen', ' 12738)']","[' 1206     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.72459'],[' 0'], ,[' 418.215'],[' 0'],[' 9.22014'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.15248e+08'],[' 7.10334e+07'],[' 0'],[' 2.55895e+10'],[' 0'],[' 0'],[' 799 '],[' 1514 '],[' 2075 '],[' 2669 '],[' 3203 '],[' 3787 '],[' 4310 '],[' 4952 '],[' 5587 '],[' 6277 '],[' 9 '],[' 1 ']
Solving...,TA77, , , ,[' 1'],[' 2347+'],[' 1184'],"[' 604.185s (Solving', ' 592.05s 1st Model', ' 10.45s Unsat', ' 0.00s)']",[' 603.109s'], ,[' 55467672'],"[' 19086855 (Analyzed', ' 18962334)']","[' 39223    (Average', ' 483.45 Last', ' 62077)']",[' 5405.8  '],"[' 1184     (Average Length', ' 726.87 Splits', ' 0)']","[' 18962334 (Deleted', ' 18736415)']","[' 18       (Ratio', '   0.00%)']","[' 6359     (Ratio', '   0.03%)']","[' 18962334 (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18962334 (Average', '  2.65 Max', ' 7613 Sum', ' 50231252)']","[' 18960725 (Average', '  2.59 Max', ' 7582 Sum', ' 49124863 Ratio', '  97.80%)']","[' 1609     (Average', ' 687.63 Max', ' 1011 Sum', ' 1106389 Ratio', '   2.20%)']", ,[' 258069  '],[' 9892    '],[' 237268  '],[' 75914   '],"[' 194806   (Atom=Atom', ' 55359 Body=Body', ' 35656 Other', ' 103791)']",[' Yes'],"[' 12638    (Eliminated', '    0 Frozen', ' 12638)']","[' 1065     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.42902'],[' 0'], ,[' 424.482'],[' 0'],[' 8.75193'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.10219e+08'],[' 6.27277e+07'],[' 0'],[' 2.61754e+10'],[' 0'],[' 0'],[' 892 '],[' 1509 '],[' 2170 '],[' 2963 '],[' 3225 '],[' 3896 '],[' 4386 '],[' 5038 '],[' 5527 '],[' 6176 '],[' 10 '],[' 0 ']
Solving...,TA78, , , ,[' 1'],[' 2147+'],[' 1084'],"[' 604.124s (Solving', ' 592.51s 1st Model', ' 9.79s Unsat', ' 0.00s)']",[' 602.500s'], ,[' 52480998'],"[' 17888651 (Analyzed', ' 17777285)']","[' 37608    (Average', ' 472.70 Last', ' 168786)']",[' 5407.6  '],"[' 1084     (Average Length', ' 659.96 Splits', ' 0)']","[' 17777285 (Deleted', ' 17548067)']","[' 9        (Ratio', '   0.00%)']","[' 5851     (Ratio', '   0.03%)']","[' 17777285 (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17777285 (Average', '  2.68 Max', ' 7472 Sum', ' 47714071)']","[' 17775519 (Average', '  2.62 Max', ' 7472 Sum', ' 46562645 Ratio', '  97.59%)']","[' 1766     (Average', ' 652.00 Max', ' 891 Sum', ' 1151426 Ratio', '   2.41%)']", ,[' 256964  '],[' 9843    '],[' 236168  '],[' 75361   '],"[' 193859   (Atom=Atom', ' 55063 Body=Body', ' 35509 Other', ' 103287)']",[' Yes'],"[' 12494    (Eliminated', '    0 Frozen', ' 12494)']","[' 999      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.31527'],[' 0'], ,[' 433.925'],[' 0'],[' 9.55932'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.02409e+08'],[' 5.78729e+07'],[' 0'],[' 2.65948e+10'],[' 0'],[' 0'],[' 779 '],[' 1565 '],[' 2477 '],[' 2878 '],[' 3492 '],[' 3852 '],[' 4562 '],[' 5147 '],[' 5542 '],[' 6204 '],[' 10 '],[' 0 ']
Solving...,TA79, , , ,[' 1'],[' 2561+'],[' 1291'],"[' 604.560s (Solving', ' 590.97s 1st Model', ' 12.06s Unsat', ' 0.00s)']",[' 602.969s'], ,[' 57917315'],"[' 15784247 (Analyzed', ' 15673298)']","[' 32654    (Average', ' 479.98 Last', ' 117027)']",[' 5509.2  '],"[' 1291     (Average Length', ' 764.36 Splits', ' 0)']","[' 15673298 (Deleted', ' 15476289)']","[' 11       (Ratio', '   0.00%)']","[' 7988     (Ratio', '   0.05%)']","[' 15673298 (Average Length', '   15.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15673298 (Average', '  3.33 Max', ' 7554 Sum', ' 52136978)']","[' 15671752 (Average', '  3.26 Max', ' 7554 Sum', ' 51060204 Ratio', '  97.93%)']","[' 1546     (Average', ' 696.49 Max', ' 1091 Sum', ' 1076774 Ratio', '   2.07%)']", ,[' 259582  '],[' 9936    '],[' 238124  '],[' 76963   '],"[' 195838   (Atom=Atom', ' 55642 Body=Body', ' 35788 Other', ' 104408)']",[' Yes'],"[' 12777    (Eliminated', '    0 Frozen', ' 12777)']","[' 1435     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.76411'],[' 0'], ,[' 430.084'],[' 0'],[' 10.4751'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.10346e+08'],[' 6.96613e+07'],[' 0'],[' 2.55983e+10'],[' 0'],[' 0'],[' 797 '],[' 1483 '],[' 2017 '],[' 2856 '],[' 3115 '],[' 3692 '],[' 4092 '],[' 4730 '],[' 5401 '],[' 5844 '],[' 10 '],[' 0 ']
Solving...,TA80, , , ,[' 1'],[' 2421+'],[' 1221'],"[' 604.595s (Solving', ' 590.97s 1st Model', ' 12.39s Unsat', ' 0.00s)']",[' 602.219s'], ,[' 58498127'],"[' 17499235 (Analyzed', ' 17366712)']","[' 36329    (Average', ' 478.04 Last', ' 48252)']",[' 5488.6  '],"[' 1221     (Average Length', ' 738.53 Splits', ' 0)']","[' 17366712 (Deleted', ' 17165428)']","[' 17       (Ratio', '   0.00%)']","[' 7807     (Ratio', '   0.04%)']","[' 17366712 (Average Length', '   15.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17366712 (Average', '  3.06 Max', ' 8005 Sum', ' 53160605)']","[' 17364762 (Average', '  2.99 Max', ' 7366 Sum', ' 51865855 Ratio', '  97.56%)']","[' 1950     (Average', ' 663.97 Max', ' 1014 Sum', ' 1294750 Ratio', '   2.44%)']", ,[' 258278  '],[' 10099   '],[' 237722  '],[' 76338   '],"[' 198087   (Atom=Atom', ' 56224 Body=Body', ' 36277 Other', ' 105586)']",[' Yes'],"[' 12876    (Eliminated', '    0 Frozen', ' 12876)']","[' 1505     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.75368'],[' 0'], ,[' 422.609'],[' 0'],[' 8.55303'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.12642e+08'],[' 6.75959e+07'],[' 0'],[' 2.50958e+10'],[' 0'],[' 0'],[' 1014 '],[' 1595 '],[' 2246 '],[' 2910 '],[' 3381 '],[' 3826 '],[' 4500 '],[' 4944 '],[' 5375 '],[' 5949 '],[' 10 '],[' 0 ']
