Optimal Found Or Timeout,Instances,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , ,[' 547'],[' 284'],"[' 147.238s (Solving', ' 145.73s 1st Model', ' 0.56s Unsat', ' 81.54s)']",[' 146.703s'], ,[' 10007577'],"[' 6680771  (Analyzed', ' 6641898)']","[' 14306    (Average', ' 464.27 Last', ' 65116)']",[' 1340.5  '],"[' 284      (Average Length', ' 206.87 Splits', ' 0)']","[' 6641898  (Deleted', ' 6534016)']","[' 29       (Ratio', '   0.00%)']","[' 1387     (Ratio', '   0.02%)']","[' 6641898  (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6641898  (Average', '  1.44 Max', ' 1930 Sum', ' 9567137)']","[' 6641494  (Average', '  1.43 Max', ' 1815 Sum', ' 9486605 Ratio', '  99.16%)']","[' 404      (Average', ' 199.34 Max', ' 296 Sum', '  80532 Ratio', '   0.84%)']", ,[' 76820   '],[' 2379    '],[' 71490   '],[' 21825   '],"[' 57087    (Atom=Atom', ' 17107 Body=Body', ' 10217 Other', ' 29763)']",[' Yes'],"[' 3449     (Eliminated', '    0 Frozen', ' 3449)']","[' 85       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.246125'],[' 0'], ,[' 100.905'],[' 0'],[' 1.92848'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.51782e+07'],[' 9.88808e+06'],[' 0'],[' 6.48628e+09'],[' 0'],[' 0'],[' 525 '],[' 867 '],[' 1229 '],[' 1677 '],[' 2087 '],[' 2265 '],[' 2857 '],[' 2898 '],[' 3391 '],[' 3691 '],[' 1 '],[' 9 ']
Solving...,TA62, , , , ,[' 987'],[' 504'],"[' 183.360s (Solving', ' 181.18s 1st Model', ' 1.00s Unsat', ' 54.97s)']",[' 182.891s'], ,[' 13341802'],"[' 7812113  (Analyzed', ' 7769882)']","[' 16863    (Average', ' 460.77 Last', ' 48855)']",[' 1565.8  '],"[' 504      (Average Length', ' 315.53 Splits', ' 0)']","[' 7769882  (Deleted', ' 7634560)']","[' 18       (Ratio', '   0.00%)']","[' 1554     (Ratio', '   0.02%)']","[' 7769882  (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7769882  (Average', '  1.62 Max', ' 2152 Sum', ' 12575640)']","[' 7769532  (Average', '  1.61 Max', ' 1999 Sum', ' 12478064 Ratio', '  99.22%)']","[' 350      (Average', ' 278.79 Max', ' 460 Sum', '  97576 Ratio', '   0.78%)']", ,[' 78329   '],[' 2498    '],[' 72933   '],[' 22882   '],"[' 59557    (Atom=Atom', ' 17799 Body=Body', ' 10572 Other', ' 31186)']",[' Yes'],"[' 3778     (Eliminated', '    0 Frozen', ' 3778)']","[' 193      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.428955'],[' 0'], ,[' 124.793'],[' 0'],[' 2.67088'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.51523e+07'],[' 1.74412e+07'],[' 0'],[' 8.19888e+09'],[' 0'],[' 0'],[' 526 '],[' 906 '],[' 1311 '],[' 1683 '],[' 1877 '],[' 2201 '],[' 2540 '],[' 3017 '],[' 3408 '],[' 3682 '],[' 2 '],[' 8 ']
Solving...,TA63, , , , ,[' 827'],[' 424'],"[' 134.999s (Solving', ' 132.99s 1st Model', ' 0.80s Unsat', ' 7.77s)']",[' 134.484s'], ,[' 7887907 '],"[' 4782883  (Analyzed', ' 4771090)']","[' 10823    (Average', ' 440.83 Last', ' 2278)']",[' 1506.9  '],"[' 424      (Average Length', ' 283.93 Splits', ' 0)']","[' 4771090  (Deleted', ' 4689040)']","[' 24       (Ratio', '   0.00%)']","[' 1305     (Ratio', '   0.03%)']","[' 4771090  (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4771090  (Average', '  1.54 Max', ' 2156 Sum', ' 7339171)']","[' 4770676  (Average', '  1.52 Max', ' 1996 Sum', ' 7232989 Ratio', '  98.55%)']","[' 414      (Average', ' 256.48 Max', ' 417 Sum', ' 106182 Ratio', '   1.45%)']", ,[' 77845   '],[' 2486    '],[' 72580   '],[' 22557   '],"[' 59106    (Atom=Atom', ' 17671 Body=Body', ' 10536 Other', ' 30899)']",[' Yes'],"[' 3692     (Eliminated', '    0 Frozen', ' 3692)']","[' 160      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.377509'],[' 0'], ,[' 97.677'],[' 0'],[' 2.00065'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.90758e+07'],[' 8.27256e+06'],[' 0'],[' 6.30656e+09'],[' 0'],[' 0'],[' 574 '],[' 913 '],[' 1380 '],[' 1504 '],[' 1788 '],[' 2134 '],[' 2474 '],[' 3074 '],[' 3474 '],[' 3633 '],[' 2 '],[' 8 ']
Solving...,TA64, , , , ,[' 957'],[' 489'],"[' 133.882s (Solving', ' 131.58s 1st Model', ' 0.90s Unsat', ' 64.16s)']",[' 133.125s'], ,[' 11048900'],"[' 7843487  (Analyzed', ' 7824597)']","[' 16286    (Average', ' 480.45 Last', ' 157257)']",[' 1649.3  '],"[' 489      (Average Length', ' 306.82 Splits', ' 0)']","[' 7824597  (Deleted', ' 7713646)']","[' 28       (Ratio', '   0.00%)']","[' 1094     (Ratio', '   0.01%)']","[' 7824597  (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7824597  (Average', '  1.32 Max', ' 2106 Sum', ' 10298409)']","[' 7824207  (Average', '  1.30 Max', ' 1914 Sum', ' 10208147 Ratio', '  99.12%)']","[' 390      (Average', ' 231.44 Max', ' 399 Sum', '  90262 Ratio', '   0.88%)']", ,[' 77484   '],[' 2412    '],[' 72283   '],[' 22278   '],"[' 58183    (Atom=Atom', ' 17438 Body=Body', ' 10313 Other', ' 30432)']",[' Yes'],"[' 3675     (Eliminated', '    0 Frozen', ' 3675)']","[' 112      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.461001'],[' 0'], ,[' 77.6364'],[' 0'],[' 1.4837'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.93668e+07'],[' 1.15158e+07'],[' 0'],[' 4.94346e+09'],[' 0'],[' 0'],[' 556 '],[' 942 '],[' 1301 '],[' 1636 '],[' 1831 '],[' 2092 '],[' 2338 '],[' 2869 '],[' 3071 '],[' 3346 '],[' 1 '],[' 9 ']
Solving...,TA65, , , , ,[' 811'],[' 416'],"[' 111.223s (Solving', ' 109.40s 1st Model', ' 0.71s Unsat', ' 102.89s)']",[' 111.016s'], ,[' 6589915 '],"[' 4398744  (Analyzed', ' 4348059)']","[' 9560     (Average', ' 454.82 Last', ' 72981)']",[' 1409.2  '],"[' 416      (Average Length', ' 281.39 Splits', ' 0)']","[' 4348059  (Deleted', ' 4272001)']","[' 17       (Ratio', '   0.00%)']","[' 837      (Ratio', '   0.02%)']","[' 4348059  (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4348059  (Average', '  1.40 Max', ' 2096 Sum', ' 6104761)']","[' 4347674  (Average', '  1.38 Max', ' 1836 Sum', ' 6003548 Ratio', '  98.34%)']","[' 385      (Average', ' 262.89 Max', ' 404 Sum', ' 101213 Ratio', '   1.66%)']", ,[' 77161   '],[' 2384    '],[' 71930   '],[' 22073   '],"[' 57501    (Atom=Atom', ' 17257 Body=Body', ' 10231 Other', ' 30013)']",[' Yes'],"[' 3587     (Eliminated', '    0 Frozen', ' 3587)']","[' 79       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.339021'],[' 0'], ,[' 75.0416'],[' 0'],[' 1.20941'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.74093e+07'],[' 7.19233e+06'],[' 0'],[' 4.8465e+09'],[' 0'],[' 0'],[' 467 '],[' 775 '],[' 1045 '],[' 1420 '],[' 1777 '],[' 2247 '],[' 2570 '],[' 2801 '],[' 3298 '],[' 3581 '],[' 0 '],[' 10 ']
Solving...,TA66, , , , ,[' 907'],[' 464'],"[' 217.655s (Solving', ' 215.63s 1st Model', ' 0.77s Unsat', ' 148.96s)']",[' 216.922s'], ,[' 13779244'],"[' 10177293 (Analyzed', ' 10142652)']","[' 22528    (Average', ' 450.22 Last', ' 89209)']",[' 1471.1  '],"[' 464      (Average Length', ' 296.88 Splits', ' 0)']","[' 10142652 (Deleted', ' 9984180)']","[' 24       (Ratio', '   0.00%)']","[' 1127     (Ratio', '   0.01%)']","[' 10142652 (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10142652 (Average', '  1.29 Max', ' 2101 Sum', ' 13077747)']","[' 10142293 (Average', '  1.28 Max', ' 1983 Sum', ' 12976925 Ratio', '  99.23%)']","[' 359      (Average', ' 280.84 Max', ' 431 Sum', ' 100822 Ratio', '   0.77%)']", ,[' 77758   '],[' 2439    '],[' 72435   '],[' 22484   '],"[' 58535    (Atom=Atom', ' 17527 Body=Body', ' 10397 Other', ' 30611)']",[' Yes'],"[' 3684     (Eliminated', '    0 Frozen', ' 3684)']","[' 131      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.388084'],[' 0'], ,[' 143.277'],[' 0'],[' 2.49964'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.67135e+07'],[' 1.35439e+07'],[' 0'],[' 9.43305e+09'],[' 0'],[' 0'],[' 454 '],[' 822 '],[' 1081 '],[' 1504 '],[' 1840 '],[' 2300 '],[' 2465 '],[' 2833 '],[' 3343 '],[' 3598 '],[' 1 '],[' 9 ']
Solving...,TA67, , , , ,[' 827'],[' 424'],"[' 191.708s (Solving', ' 189.66s 1st Model', ' 0.84s Unsat', ' 3.53s)']",[' 191.078s'], ,[' 16298072'],"[' 11564984 (Analyzed', ' 11553017)']","[' 22910    (Average', ' 504.28 Last', ' 142886)']",[' 1532.2  '],"[' 424      (Average Length', ' 276.83 Splits', ' 0)']","[' 11553017 (Deleted', ' 11384739)']","[' 10       (Ratio', '   0.00%)']","[' 1276     (Ratio', '   0.01%)']","[' 11553017 (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11553017 (Average', '  1.35 Max', ' 2016 Sum', ' 15560329)']","[' 11552551 (Average', '  1.34 Max', ' 1895 Sum', ' 15444297 Ratio', '  99.25%)']","[' 466      (Average', ' 249.00 Max', ' 376 Sum', ' 116032 Ratio', '   0.75%)']", ,[' 77452   '],[' 2468    '],[' 72278   '],[' 22280   '],"[' 58829    (Atom=Atom', ' 17593 Body=Body', ' 10474 Other', ' 30762)']",[' Yes'],"[' 3670     (Eliminated', '    0 Frozen', ' 3670)']","[' 151      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.397034'],[' 0'], ,[' 114.119'],[' 0'],[' 3.03787'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.21554e+07'],[' 1.62385e+07'],[' 0'],[' 6.95178e+09'],[' 0'],[' 0'],[' 683 '],[' 1014 '],[' 1459 '],[' 1645 '],[' 1943 '],[' 2367 '],[' 2793 '],[' 3073 '],[' 3195 '],[' 3579 '],[' 3 '],[' 7 ']
Solving...,TA68, , , , ,[' 863'],[' 442'],"[' 31.892s (Solving', ' 29.72s 1st Model', ' 0.85s Unsat', ' 21.70s)']",[' 31.828s'], ,[' 2449384 '],"[' 1039860  (Analyzed', ' 987094)']","[' 2414     (Average', ' 408.90 Last', ' 1691)']",[' 1672.8  '],"[' 442      (Average Length', ' 285.07 Splits', ' 0)']","[' 987094   (Deleted', ' 952495)']","[' 30       (Ratio', '   0.00%)']","[' 553      (Ratio', '   0.06%)']","[' 987094   (Average Length', '   11.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 987094   (Average', '  1.88 Max', ' 2123 Sum', ' 1858559)']","[' 986726   (Average', '  1.80 Max', ' 1988 Sum', ' 1777977 Ratio', '  95.66%)']","[' 368      (Average', ' 218.97 Max', ' 355 Sum', '  80582 Ratio', '   4.34%)']", ,[' 77203   '],[' 2371    '],[' 71942   '],[' 22121   '],"[' 57413    (Atom=Atom', ' 17233 Body=Body', ' 10193 Other', ' 29987)']",[' Yes'],"[' 3594     (Eliminated', '    0 Frozen', ' 3594)']","[' 39       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.421535'],[' 0'], ,[' 15.9672'],[' 0'],[' 0.323053'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.04792e+06'],[' 3.37495e+06'],[' 0'],[' 1.04671e+09'],[' 0'],[' 0'],[' 412 '],[' 824 '],[' 1221 '],[' 1560 '],[' 1861 '],[' 2098 '],[' 2521 '],[' 2872 '],[' 3119 '],[' 3464 '],[' 0 '],[' 10 ']
Solving...,TA69, , , , ,[' 693'],[' 357'],"[' 68.843s (Solving', ' 67.13s 1st Model', ' 0.63s Unsat', ' 1.85s)']",[' 68.375s'], ,[' 4257743 '],"[' 2657011  (Analyzed', ' 2623203)']","[' 5943     (Average', ' 441.39 Last', ' 354)']",[' 1423.3  '],"[' 357      (Average Length', ' 240.08 Splits', ' 0)']","[' 2623203  (Deleted', ' 2565057)']","[' 30       (Ratio', '   0.00%)']","[' 967      (Ratio', '   0.04%)']","[' 2623203  (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2623203  (Average', '  1.46 Max', ' 2052 Sum', ' 3827938)']","[' 2622785  (Average', '  1.43 Max', ' 1931 Sum', ' 3743370 Ratio', '  97.79%)']","[' 418      (Average', ' 202.32 Max', ' 346 Sum', '  84568 Ratio', '   2.21%)']", ,[' 77119   '],[' 2384    '],[' 71837   '],[' 22034   '],"[' 57309    (Atom=Atom', ' 17194 Body=Body', ' 10229 Other', ' 29886)']",[' Yes'],"[' 3528     (Eliminated', '    0 Frozen', ' 3528)']","[' 81       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.310984'],[' 0'], ,[' 44.9655'],[' 0'],[' 0.999852'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.10681e+07'],[' 4.86318e+06'],[' 0'],[' 2.9952e+09'],[' 0'],[' 0'],[' 548 '],[' 905 '],[' 1337 '],[' 1666 '],[' 1977 '],[' 2350 '],[' 2666 '],[' 2868 '],[' 3413 '],[' 3690 '],[' 1 '],[' 9 ']
Solving...,TA70, , , ,[' 1'],[' 607+'],[' 314'],"[' 250.270s (Solving', ' 248.69s 1st Model', ' 0.61s Unsat', ' 65.97s)']",[' 249.391s'], ,[' 17624640'],"[' 12194008 (Analyzed', ' 12169088)']","[' 25485    (Average', ' 477.50 Last', ' 30871)']",[' 1324.6  '],"[' 314      (Average Length', ' 219.81 Splits', ' 0)']","[' 12169088 (Deleted', ' 12003687)']","[' 28       (Ratio', '   0.00%)']","[' 1992     (Ratio', '   0.02%)']","[' 12169088 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12169088 (Average', '  1.40 Max', ' 2004 Sum', ' 17003465)']","[' 12168651 (Average', '  1.39 Max', ' 1945 Sum', ' 16907261 Ratio', '  99.43%)']","[' 437      (Average', ' 220.15 Max', ' 313 Sum', '  96204 Ratio', '   0.57%)']", ,[' 77479   '],[' 2531    '],[' 72315   '],[' 22326   '],"[' 59491    (Atom=Atom', ' 17745 Body=Body', ' 10673 Other', ' 31073)']",[' Yes'],"[' 3624     (Eliminated', '    0 Frozen', ' 3624)']","[' 179      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.270987'],[' 0'], ,[' 172.112'],[' 0'],[' 3.90556'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.50825e+07'],[' 1.71818e+07'],[' 0'],[' 1.16339e+10'],[' 0'],[' 0'],[' 499 '],[' 1033 '],[' 1069 '],[' 1593 '],[' 2181 '],[' 2416 '],[' 2796 '],[' 3187 '],[' 3269 '],[' 3880 '],[' 3 '],[' 7 ']
