Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , ,[' 1'],[' 5165+'],[' 2585'],"[' 604.544s (Solving', ' 586.61s 1st Model', ' 447.89s Unsat', ' 0.00s)']",[' 601.734s'], ,[' 330650267'],"[' 2027513  (Analyzed', ' 1331907)']","[' 5486     (Average', ' 242.78 Last', ' 314814)']",[' 7276.5  '],"[' 2585     (Average Length', ' 1272.76 Splits', ' 0)']","[' 1331907  (Deleted', ' 1262066)']","[' 295      (Ratio', '   0.02%)']","[' 61661    (Ratio', '   4.63%)']","[' 1331907  (Average Length', '   24.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1331907  (Average', ' 236.26 Max', ' 8385 Sum', ' 314670630)']","[' 1331461  (Average', ' 235.85 Max', ' 7906 Sum', ' 314130524 Ratio', '  99.83%)']","[' 446      (Average', ' 1211.00 Max', ' 1211 Sum', ' 540106 Ratio', '   0.17%)']", ,[' 122447  '],[' 11099   '],[' 121955  '],[' 63594   '],"[' 217691   (Atom=Atom', ' 60292 Body=Body', ' 38074 Other', ' 119325)']",[' Yes'],"[' 13547    (Eliminated', '    0 Frozen', ' 13547)']","[' 6113     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.54702'],[' 0'], ,[' 181.734'],[' 0'],[' 19.7009'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.04752e+09'],[' 9.54003e+08'],[' 0'],[' 4.64652e+09'],[' 0'],[' 0'],[' 1687 '],[' 3368 '],[' 2 '],[' 0 ']
Solving...,TA52, , , ,[' 1'],[' 5125+'],[' 2565'],"[' 603.953s (Solving', ' 585.91s 1st Model', ' 231.84s Unsat', ' 0.00s)']",[' 601.547s'], ,[' 315125730'],"[' 2964210  (Analyzed', ' 1822195)']","[' 5768     (Average', ' 315.91 Last', ' 98117)']",[' 7625.2  '],"[' 2565     (Average Length', ' 1253.95 Splits', ' 0)']","[' 1822195  (Deleted', ' 1744513)']","[' 307      (Ratio', '   0.02%)']","[' 60455    (Ratio', '   3.32%)']","[' 1822195  (Average Length', '   27.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1822195  (Average', ' 163.42 Max', ' 7705 Sum', ' 297776625)']","[' 1821747  (Average', ' 163.16 Max', ' 7591 Sum', ' 297312049 Ratio', '  99.84%)']","[' 448      (Average', ' 1037.00 Max', ' 1037 Sum', ' 464576 Ratio', '   0.16%)']", ,[' 122627  '],[' 11130   '],[' 122106  '],[' 63697   '],"[' 217827   (Atom=Atom', ' 60262 Body=Body', ' 38066 Other', ' 119499)']",[' Yes'],"[' 13566    (Eliminated', '    0 Frozen', ' 13566)']","[' 5647     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.69027'],[' 0'], ,[' 195.618'],[' 0'],[' 19.3899'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.00528e+08'],[' 8.09356e+08'],[' 0'],[' 5.6559e+09'],[' 0'],[' 0'],[' 1867 '],[' 3403 '],[' 2 '],[' 0 ']
Solving...,TA53, , , ,[' 1'],[' 2485+'],[' 1245'],"[' 309.619s (Solving', ' 303.68s 1st Model', ' 242.93s Unsat', ' 0.00s)']",[' 307.516s'], ,[' 159931851'],"[' 1041819  (Analyzed', ' 966401)']","[' 2877     (Average', ' 335.91 Last', ' 216092)']",[' 5382.2  '],"[' 1244     (Average Length', ' 621.39 Splits', ' 0)']","[' 966401   (Deleted', ' 930915)']","[' 162      (Ratio', '   0.02%)']","[' 29436    (Ratio', '   3.05%)']","[' 966401   (Average Length', '   21.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 966401   (Average', ' 159.70 Max', ' 8122 Sum', ' 154329686)']","[' 965923   (Average', ' 159.15 Max', ' 8058 Sum', ' 153804364 Ratio', '  99.66%)']","[' 478      (Average', ' 1099.00 Max', ' 1099 Sum', ' 525322 Ratio', '   0.34%)']", ,[' 120281  '],[' 10975   '],[' 118625  '],[' 61650   '],"[' 211767   (Atom=Atom', ' 58488 Body=Body', ' 37608 Other', ' 115671)']",[' Yes'],"[' 12217    (Eliminated', '    0 Frozen', ' 12217)']","[' 5585     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.23792'],[' 0'], ,[' 92.8855'],[' 0'],[' 9.95132'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.75962e+08'],[' 5.15719e+08'],[' 0'],[' 2.02695e+09'],[' 0'],[' 0'],[' 1513 '],[' 12542 '],[' 2 '],[' 0 ']
Solving...,TA54, , , ,[' 1'],[' 5245+'],[' 2625'],"[' 605.231s (Solving', ' 585.60s 1st Model', ' 394.61s Unsat', ' 0.00s)']",[' 596.578s'], ,[' 304148277'],"[' 1768294  (Analyzed', ' 1195196)']","[' 5103     (Average', ' 234.21 Last', ' 124915)']",[' 7528.5  '],"[' 2625     (Average Length', ' 1279.90 Splits', ' 0)']","[' 1195196  (Deleted', ' 1128834)']","[' 218      (Ratio', '   0.02%)']","[' 58063    (Ratio', '   4.86%)']","[' 1195196  (Average Length', '   24.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1195196  (Average', ' 240.55 Max', ' 8735 Sum', ' 287504131)']","[' 1194677  (Average', ' 240.07 Max', ' 8236 Sum', ' 286926484 Ratio', '  99.80%)']","[' 519      (Average', ' 1113.00 Max', ' 1113 Sum', ' 577647 Ratio', '   0.20%)']", ,[' 122311  '],[' 11075   '],[' 121839  '],[' 63503   '],"[' 217558   (Atom=Atom', ' 60307 Body=Body', ' 38052 Other', ' 119199)']",[' Yes'],"[' 13551    (Eliminated', '    0 Frozen', ' 13551)']","[' 6441     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.05493'],[' 0'], ,[' 182.882'],[' 0'],[' 19.6529'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.15439e+08'],[' 8.31901e+08'],[' 0'],[' 4.04902e+09'],[' 0'],[' 0'],[' 1608 '],[' 3356 '],[' 2 '],[' 0 ']
Solving...,TA55, , , ,[' 1'],[' 5111+'],[' 2558'],"[' 606.195s (Solving', ' 583.60s 1st Model', ' 335.05s Unsat', ' 0.00s)']",[' 599.922s'], ,[' 309639147'],"[' 1678296  (Analyzed', ' 1408104)']","[' 5098     (Average', ' 276.21 Last', ' 138212)']",[' 7207.4  '],"[' 2558     (Average Length', ' 1242.14 Splits', ' 0)']","[' 1408104  (Deleted', ' 1337692)']","[' 317      (Ratio', '   0.02%)']","[' 60026    (Ratio', '   4.26%)']","[' 1408104  (Average Length', '   25.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1408104  (Average', ' 209.09 Max', ' 8006 Sum', ' 294415330)']","[' 1407636  (Average', ' 208.72 Max', ' 7336 Sum', ' 293893510 Ratio', '  99.82%)']","[' 468      (Average', ' 1115.00 Max', ' 1115 Sum', ' 521820 Ratio', '   0.18%)']", ,[' 122278  '],[' 11078   '],[' 121736  '],[' 63467   '],"[' 217411   (Atom=Atom', ' 60247 Body=Body', ' 38057 Other', ' 119107)']",[' Yes'],"[' 13471    (Eliminated', '    0 Frozen', ' 13471)']","[' 6111     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.68368'],[' 0'], ,[' 178.347'],[' 0'],[' 19.9058'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.39284e+08'],[' 8.517e+08'],[' 0'],[' 4.16597e+09'],[' 0'],[' 0'],[' 1762 '],[' 3337 '],[' 2 '],[' 0 ']
Solving...,TA56, , , ,[' 1'],[' 4393+'],[' 2199'],"[' 603.751s (Solving', ' 588.03s 1st Model', ' 254.48s Unsat', ' 0.00s)']",[' 595.922s'], ,[' 314594028'],"[' 3839769  (Analyzed', ' 2485085)']","[' 6824     (Average', ' 364.17 Last', ' 63393)']",[' 7565.5  '],"[' 2199     (Average Length', ' 1082.55 Splits', ' 0)']","[' 2485085  (Deleted', ' 2404971)']","[' 356      (Ratio', '   0.01%)']","[' 56756    (Ratio', '   2.28%)']","[' 2485085  (Average Length', '   25.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2485085  (Average', ' 120.33 Max', ' 8015 Sum', ' 299024619)']","[' 2484604  (Average', ' 120.16 Max', ' 7997 Sum', ' 298597010 Ratio', '  99.86%)']","[' 481      (Average', ' 889.00 Max', ' 889 Sum', ' 427609 Ratio', '   0.14%)']", ,[' 121420  '],[' 11004   '],[' 120628  '],[' 62746   '],"[' 215172   (Atom=Atom', ' 59599 Body=Body', ' 37762 Other', ' 117811)']",[' Yes'],"[' 13128    (Eliminated', '    0 Frozen', ' 13128)']","[' 5682     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.30358'],[' 0'], ,[' 213.343'],[' 0'],[' 20.314'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.72678e+08'],[' 7.7922e+08'],[' 0'],[' 6.56513e+09'],[' 0'],[' 0'],[' 1903 '],[' 3328 '],[' 2 '],[' 0 ']
Solving...,TA57, , , ,[' 1'],[' 4831+'],[' 2418'],"[' 604.640s (Solving', ' 587.55s 1st Model', ' 257.69s Unsat', ' 0.00s)']",[' 599.188s'], ,[' 308882482'],"[' 2335384  (Analyzed', ' 1716422)']","[' 5131     (Average', ' 334.52 Last', ' 126041)']",[' 7367.1  '],"[' 2418     (Average Length', ' 1184.81 Splits', ' 0)']","[' 1716422  (Deleted', ' 1637812)']","[' 335      (Ratio', '   0.02%)']","[' 58562    (Ratio', '   3.41%)']","[' 1716422  (Average Length', '   26.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1716422  (Average', ' 171.03 Max', ' 8044 Sum', ' 293564369)']","[' 1715950  (Average', ' 170.73 Max', ' 7679 Sum', ' 293046585 Ratio', '  99.82%)']","[' 472      (Average', ' 1097.00 Max', ' 1097 Sum', ' 517784 Ratio', '   0.18%)']", ,[' 121800  '],[' 11027   '],[' 121180  '],[' 63035   '],"[' 216000   (Atom=Atom', ' 59834 Body=Body', ' 37783 Other', ' 118383)']",[' Yes'],"[' 13323    (Eliminated', '    0 Frozen', ' 13323)']","[' 6248     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.48752'],[' 0'], ,[' 190.978'],[' 0'],[' 19.8817'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.15626e+08'],[' 8.28741e+08'],[' 0'],[' 4.86755e+09'],[' 0'],[' 0'],[' 1981 '],[' 3421 '],[' 2 '],[' 0 ']
Solving...,TA58, , , ,[' 1'],[' 4819+'],[' 2412'],"[' 604.367s (Solving', ' 586.33s 1st Model', ' 315.11s Unsat', ' 0.00s)']",[' 600.266s'], ,[' 317808489'],"[' 2479660  (Analyzed', ' 1460570)']","[' 5208     (Average', ' 280.45 Last', ' 203358)']",[' 7414.3  '],"[' 2412     (Average Length', ' 1187.84 Splits', ' 0)']","[' 1460570  (Deleted', ' 1388333)']","[' 352      (Ratio', '   0.02%)']","[' 60783    (Ratio', '   4.16%)']","[' 1460570  (Average Length', '   25.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1460570  (Average', ' 206.77 Max', ' 8518 Sum', ' 302008620)']","[' 1460053  (Average', ' 206.40 Max', ' 7845 Sum', ' 301454913 Ratio', '  99.82%)']","[' 517      (Average', ' 1071.00 Max', ' 1071 Sum', ' 553707 Ratio', '   0.18%)']", ,[' 122434  '],[' 11124   '],[' 121806  '],[' 63540   '],"[' 217244   (Atom=Atom', ' 60058 Body=Body', ' 38011 Other', ' 119175)']",[' Yes'],"[' 13451    (Eliminated', '    0 Frozen', ' 13451)']","[' 6145     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.6844'],[' 0'], ,[' 186.308'],[' 0'],[' 19.5491'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.54285e+08'],[' 8.64743e+08'],[' 0'],[' 4.99631e+09'],[' 0'],[' 0'],[' 1830 '],[' 3568 '],[' 2 '],[' 0 ']
Solving...,TA59, , , ,[' 1'],[' 4633+'],[' 2319'],"[' 604.004s (Solving', ' 587.56s 1st Model', ' 290.13s Unsat', ' 0.00s)']",[' 599.594s'], ,[' 314546522'],"[' 2250157  (Analyzed', ' 1451842)']","[' 5045     (Average', ' 287.78 Last', ' 40129)']",[' 7118.4  '],"[' 2319     (Average Length', ' 1141.10 Splits', ' 0)']","[' 1451842  (Deleted', ' 1378197)']","[' 282      (Ratio', '   0.02%)']","[' 60799    (Ratio', '   4.19%)']","[' 1451842  (Average Length', '   25.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1451842  (Average', ' 206.75 Max', ' 7554 Sum', ' 300169849)']","[' 1451314  (Average', ' 206.36 Max', ' 7478 Sum', ' 299605417 Ratio', '  99.81%)']","[' 528      (Average', ' 1069.00 Max', ' 1069 Sum', ' 564432 Ratio', '   0.19%)']", ,[' 121476  '],[' 10994   '],[' 120769  '],[' 62778   '],"[' 215268   (Atom=Atom', ' 59646 Body=Body', ' 37695 Other', ' 117927)']",[' Yes'],"[' 13197    (Eliminated', '    0 Frozen', ' 13197)']","[' 6501     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.35402'],[' 0'], ,[' 186.557'],[' 0'],[' 19.8901'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.56194e+08'],[' 8.69683e+08'],[' 0'],[' 4.73332e+09'],[' 0'],[' 0'],[' 1642 '],[' 3269 '],[' 2 '],[' 0 ']
Solving...,TA60, , , ,[' 1'],[' 5121+'],[' 2563'],"[' 604.787s (Solving', ' 586.19s 1st Model', ' 487.29s Unsat', ' 0.00s)']",[' 599.188s'], ,[' 316009715'],"[' 1855430  (Analyzed', ' 1249336)']","[' 5197     (Average', ' 240.40 Last', ' 223800)']",[' 7410.6  '],"[' 2563     (Average Length', ' 1258.75 Splits', ' 0)']","[' 1249336  (Deleted', ' 1181381)']","[' 226      (Ratio', '   0.02%)']","[' 57925    (Ratio', '   4.64%)']","[' 1249336  (Average Length', '   23.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1249336  (Average', ' 240.04 Max', ' 7838 Sum', ' 299888196)']","[' 1248876  (Average', ' 239.64 Max', ' 7838 Sum', ' 299386796 Ratio', '  99.83%)']","[' 460      (Average', ' 1090.00 Max', ' 1090 Sum', ' 501400 Ratio', '   0.17%)']", ,[' 121914  '],[' 11027   '],[' 121412  '],[' 63195   '],"[' 216480   (Atom=Atom', ' 59994 Body=Body', ' 37799 Other', ' 118687)']",[' Yes'],"[' 13472    (Eliminated', '    0 Frozen', ' 13472)']","[' 6102     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.85413'],[' 0'], ,[' 180.049'],[' 0'],[' 19.7018'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.7568e+08'],[' 8.85739e+08'],[' 0'],[' 4.25863e+09'],[' 0'],[' 0'],[' 1635 '],[' 3219 '],[' 2 '],[' 0 ']
