Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , ,[' 1'],[' 8915+'],[' 4463'],"[' 624.964s (Solving', ' 543.41s 1st Model', ' 156.07s Unsat', ' 0.00s)']",[' 615.141s'], ,[' 234734608'],"[' 2648153  (Analyzed', ' 2254684)']","[' 6376     (Average', ' 353.62 Last', ' 4545)']",[' 12997.6 '],"[' 4463     (Average Length', ' 2400.79 Splits', ' 0)']","[' 2254684  (Deleted', ' 2196132)']","[' 1118     (Ratio', '   0.05%)']","[' 20462    (Ratio', '   0.91%)']","[' 2254684  (Average Length', '   30.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2254684  (Average', ' 86.37 Max', ' 18488 Sum', ' 194746612)']","[' 2250477  (Average', ' 82.88 Max', ' 18488 Sum', ' 186863789 Ratio', '  95.95%)']","[' 4207     (Average', ' 1873.74 Max', ' 3480 Sum', ' 7882823 Ratio', '   4.05%)']", ,[' 408691  '],[' 25898   '],[' 374762  '],[' 194402  '],"[' 469119   (Atom=Atom', ' 127999 Body=Body', ' 91746 Other', ' 249374)']",[' Yes'],"[' 30616    (Eliminated', '    0 Frozen', ' 30616)']","[' 3323     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.1682'],[' 0'], ,[' 154.935'],[' 0'],[' 16.6728'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.35662e+08'],[' 3.03229e+08'],[' 0'],[' 4.19244e+09'],[' 0'],[' 0'],[' 1516 '],[' 2712 '],[' 3407 '],[' 4927 '],[' 5591 '],[' 8490 '],[' 6 '],[' 0 ']
Solving...,TA72, , , ,[' 1'],[' 5891+'],[' 2950'],"[' 636.444s (Solving', ' 542.01s 1st Model', ' 152.46s Unsat', ' 0.00s)']",[' 626.469s'], ,[' 135364547'],"[' 3944992  (Analyzed', ' 3230439)']","[' 7932     (Average', ' 407.27 Last', ' 8404)']",[' 10798.7 '],"[' 2950     (Average Length', ' 1776.11 Splits', ' 0)']","[' 3230439  (Deleted', ' 3171080)']","[' 497      (Ratio', '   0.02%)']","[' 13718    (Ratio', '   0.42%)']","[' 3230439  (Average Length', '   20.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3230439  (Average', ' 35.49 Max', ' 18832 Sum', ' 114660027)']","[' 3227017  (Average', ' 33.38 Max', ' 18832 Sum', ' 107837608 Ratio', '  94.05%)']","[' 3422     (Average', ' 1993.69 Max', ' 2734 Sum', ' 6822419 Ratio', '   5.95%)']", ,[' 400427  '],[' 25073   '],[' 365492  '],[' 187340  '],"[' 457697   (Atom=Atom', ' 124656 Body=Body', ' 90283 Other', ' 242758)']",[' Yes'],"[' 29051    (Eliminated', '    0 Frozen', ' 29051)']","[' 2345     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.8667'],[' 0'], ,[' 141.453'],[' 0'],[' 14.1839'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.97969e+08'],[' 1.73345e+08'],[' 0'],[' 3.73484e+09'],[' 0'],[' 0'],[' 1283 '],[' 2220 '],[' 6924 '],[' 10006 '],[' 9548 '],[' 9649 '],[' 6 '],[' 0 ']
Solving...,TA73, , , ,[' 1'],[' 10159+'],[' 5086'],"[' 623.448s (Solving', ' 542.00s 1st Model', ' 157.46s Unsat', ' 0.00s)']",[' 619.344s'], ,[' 229069892'],"[' 1722695  (Analyzed', ' 1157750)']","[' 4537     (Average', ' 255.18 Last', ' 7027)']",[' 13318.8 '],"[' 5086     (Average Length', ' 2655.69 Splits', ' 0)']","[' 1157750  (Deleted', ' 1099335)']","[' 799      (Ratio', '   0.07%)']","[' 20409    (Ratio', '   1.76%)']","[' 1157750  (Average Length', '   27.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1157750  (Average', ' 156.59 Max', ' 18870 Sum', ' 181296136)']","[' 1154307  (Average', ' 150.46 Max', ' 18870 Sum', ' 174197856 Ratio', '  96.08%)']","[' 3443     (Average', ' 2061.66 Max', ' 3903 Sum', ' 7098280 Ratio', '   3.92%)']", ,[' 405112  '],[' 25331   '],[' 371411  '],[' 191248  '],"[' 468167   (Atom=Atom', ' 127902 Body=Body', ' 91114 Other', ' 249151)']",[' Yes'],"[' 30829    (Eliminated', '    0 Frozen', ' 30829)']","[' 3850     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.8732'],[' 0'], ,[' 140.756'],[' 0'],[' 15.3673'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.35631e+08'],[' 3.07975e+08'],[' 0'],[' 2.59265e+09'],[' 0'],[' 0'],[' 1570 '],[' 2608 '],[' 3375 '],[' 4554 '],[' 5816 '],[' 6707 '],[' 6 '],[' 0 ']
Solving...,TA74, , , , ,[' 10041+'],[' 5026'],"[' 627.267s (Solving', ' 545.46s 1st Model', ' 166.38s Unsat', ' 0.00s)']",[' 623.594s'], ,[' 260785531'],"[' 2948311  (Analyzed', ' 2466789)']","[' 7305     (Average', ' 337.69 Last', ' 48367)']",[' 12082.3 '],"[' 5027     (Average Length', ' 2648.83 Splits', ' 0)']","[' 2466789  (Deleted', ' 2387411)']","[' 1057     (Ratio', '   0.04%)']","[' 35223    (Ratio', '   1.43%)']","[' 2466789  (Average Length', '   21.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2466789  (Average', ' 89.54 Max', ' 17025 Sum', ' 220885288)']","[' 2462998  (Average', ' 86.20 Max', ' 17025 Sum', ' 212648928 Ratio', '  96.27%)']","[' 3791     (Average', ' 2172.61 Max', ' 3878 Sum', ' 8236360 Ratio', '   3.73%)']", ,[' 401900  '],[' 24913   '],[' 368446  '],[' 188755  '],"[' 463365   (Atom=Atom', ' 126666 Body=Body', ' 90193 Other', ' 246506)']",[' Yes'],"[' 30683    (Eliminated', '    0 Frozen', ' 30683)']","[' 6626     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.8201'],[' 0'], ,[' 140.297'],[' 0'],[' 15.3729'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.74462e+08'],[' 4.21162e+08'],[' 0'],[' 4.20215e+09'],[' 0'],[' 0'],[' 1108 '],[' 2067 '],[' 3399 '],[' 4088 '],[' 5800 '],[' 8832 '],[' 6 '],[' 0 ']
Solving...,TA75, , , , ,[' 10267+'],[' 5139'],"[' 627.897s (Solving', ' 544.41s 1st Model', ' 170.31s Unsat', ' 0.00s)']",[' 624.281s'], ,[' 249304309'],"[' 4568206  (Analyzed', ' 3588723)']","[' 8996     (Average', ' 398.92 Last', ' 34222)']",[' 13029.6 '],"[' 5140     (Average Length', ' 2681.93 Splits', ' 0)']","[' 3588723  (Deleted', ' 3508208)']","[' 773      (Ratio', '   0.02%)']","[' 26743    (Ratio', '   0.75%)']","[' 3588723  (Average Length', '   22.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3588723  (Average', ' 56.17 Max', ' 18834 Sum', ' 201582631)']","[' 3585583  (Average', ' 54.30 Max', ' 18834 Sum', ' 194854773 Ratio', '  96.66%)']","[' 3140     (Average', ' 2142.63 Max', ' 3962 Sum', ' 6727858 Ratio', '   3.34%)']", ,[' 407823  '],[' 25623   '],[' 373760  '],[' 193424  '],"[' 472852   (Atom=Atom', ' 129145 Body=Body', ' 92063 Other', ' 251644)']",[' Yes'],"[' 31178    (Eliminated', '    0 Frozen', ' 31178)']","[' 4586     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.1955'],[' 0'], ,[' 150.296'],[' 0'],[' 15.079'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.993e+08'],[' 3.57118e+08'],[' 0'],[' 5.18574e+09'],[' 0'],[' 0'],[' 1261 '],[' 2290 '],[' 3364 '],[' 5043 '],[' 5472 '],[' 6597 '],[' 6 '],[' 0 ']
Solving...,TA76, , , , ,[' 10211+'],[' 5110'],"[' 630.931s (Solving', ' 543.53s 1st Model', ' 144.19s Unsat', ' 0.00s)']",[' 627.281s'], ,[' 247850197'],"[' 3983272  (Analyzed', ' 3142977)']","[' 8138     (Average', ' 386.21 Last', ' 12467)']",[' 12625.6 '],"[' 5111     (Average Length', ' 2690.14 Splits', ' 0)']","[' 3142977  (Deleted', ' 3054864)']","[' 769      (Ratio', '   0.02%)']","[' 31196    (Ratio', '   0.99%)']","[' 3142977  (Average Length', '   21.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3142977  (Average', ' 64.34 Max', ' 17991 Sum', ' 202225357)']","[' 3139921  (Average', ' 62.34 Max', ' 17991 Sum', ' 195946470 Ratio', '  96.90%)']","[' 3056     (Average', ' 2054.61 Max', ' 3989 Sum', ' 6278887 Ratio', '   3.10%)']", ,[' 404807  '],[' 25227   '],[' 371235  '],[' 191038  '],"[' 466302   (Atom=Atom', ' 127438 Body=Body', ' 90725 Other', ' 248139)']",[' Yes'],"[' 30841    (Eliminated', '    0 Frozen', ' 30841)']","[' 5723     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.3302'],[' 0'], ,[' 143.194'],[' 0'],[' 14.7691'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.22313e+08'],[' 3.75687e+08'],[' 0'],[' 4.49584e+09'],[' 0'],[' 0'],[' 1287 '],[' 2330 '],[' 3158 '],[' 4382 '],[' 6724 '],[' 7194 '],[' 6 '],[' 0 ']
Solving...,TA77, , , , ,[' 10383+'],[' 5197'],"[' 628.156s (Solving', ' 544.43s 1st Model', ' 140.22s Unsat', ' 0.00s)']",[' 624.141s'], ,[' 259482007'],"[' 5333913  (Analyzed', ' 4644605)']","[' 10858    (Average', ' 427.76 Last', ' 25894)']",[' 13210.3 '],"[' 5198     (Average Length', ' 2683.20 Splits', ' 0)']","[' 4644605  (Deleted', ' 4561150)']","[' 719      (Ratio', '   0.02%)']","[' 22735    (Ratio', '   0.49%)']","[' 4644605  (Average Length', '   23.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4644605  (Average', ' 45.35 Max', ' 18620 Sum', ' 210641139)']","[' 4641410  (Average', ' 43.88 Max', ' 18620 Sum', ' 203794974 Ratio', '  96.75%)']","[' 3195     (Average', ' 2142.77 Max', ' 10355 Sum', ' 6846165 Ratio', '   3.25%)']", ,[' 402506  '],[' 24996   '],[' 369361  '],[' 189327  '],"[' 462572   (Atom=Atom', ' 126493 Body=Body', ' 89885 Other', ' 246194)']",[' Yes'],"[' 30611    (Eliminated', '    0 Frozen', ' 30611)']","[' 4193     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.1407'],[' 0'], ,[' 153.028'],[' 0'],[' 15.1975'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.77986e+08'],[' 3.32986e+08'],[' 0'],[' 5.71701e+09'],[' 0'],[' 0'],[' 1332 '],[' 2332 '],[' 3133 '],[' 4076 '],[' 6230 '],[' 7179 '],[' 6 '],[' 0 ']
Solving...,TA78, , , , ,[' 8395+'],[' 4203'],"[' 624.907s (Solving', ' 552.66s 1st Model', ' 123.93s Unsat', ' 0.00s)']",[' 621.781s'], ,[' 276781305'],"[' 5691180  (Analyzed', ' 5331744)']","[' 12121    (Average', ' 439.88 Last', ' 39805)']",[' 13046.7 '],"[' 4204     (Average Length', ' 2272.04 Splits', ' 0)']","[' 5331744  (Deleted', ' 5230220)']","[' 894      (Ratio', '   0.02%)']","[' 28320    (Ratio', '   0.53%)']","[' 5331744  (Average Length', '   20.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5331744  (Average', ' 44.38 Max', ' 18020 Sum', ' 236630401)']","[' 5328243  (Average', ' 43.29 Max', ' 18020 Sum', ' 230801128 Ratio', '  97.54%)']","[' 3501     (Average', ' 1665.03 Max', ' 3196 Sum', ' 5829273 Ratio', '   2.46%)']", ,[' 402302  '],[' 25054   '],[' 368321  '],[' 188658  '],"[' 462240   (Atom=Atom', ' 126142 Body=Body', ' 90511 Other', ' 245587)']",[' Yes'],"[' 30104    (Eliminated', '    0 Frozen', ' 30104)']","[' 5393     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.197'],[' 0'], ,[' 183.235'],[' 0'],[' 16.8896'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.23929e+08'],[' 3.77292e+08'],[' 0'],[' 7.16353e+09'],[' 0'],[' 0'],[' 1324 '],[' 2278 '],[' 3271 '],[' 4461 '],[' 5532 '],[' 7120 '],[' 6 '],[' 0 ']
Solving...,TA79, , , ,[' 1'],[' 10929+'],[' 5469'],"[' 628.398s (Solving', ' 541.65s 1st Model', ' 165.39s Unsat', ' 0.00s)']",[' 626.172s'], ,[' 250353135'],"[' 2770630  (Analyzed', ' 2127277)']","[' 6746     (Average', ' 315.34 Last', ' 17434)']",[' 12151.6 '],"[' 5469     (Average Length', ' 2824.78 Splits', ' 0)']","[' 2127277  (Deleted', ' 2048666)']","[' 623      (Ratio', '   0.03%)']","[' 34035    (Ratio', '   1.60%)']","[' 2127277  (Average Length', '   19.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2127277  (Average', ' 96.76 Max', ' 17469 Sum', ' 205836509)']","[' 2124297  (Average', ' 93.31 Max', ' 17469 Sum', ' 198485745 Ratio', '  96.43%)']","[' 2980     (Average', ' 2466.70 Max', ' 4227 Sum', ' 7350764 Ratio', '   3.57%)']", ,[' 403980  '],[' 25114   '],[' 370815  '],[' 190299  '],"[' 467604   (Atom=Atom', ' 127866 Body=Body', ' 90803 Other', ' 248935)']",[' Yes'],"[' 31110    (Eliminated', '    0 Frozen', ' 31110)']","[' 6248     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.8385'],[' 0'], ,[' 126.406'],[' 0'],[' 14.6138'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.60434e+08'],[' 4.10327e+08'],[' 0'],[' 3.36574e+09'],[' 0'],[' 0'],[' 1089 '],[' 2168 '],[' 3055 '],[' 4512 '],[' 7207 '],[' 8873 '],[' 6 '],[' 0 ']
Solving...,TA80, , , , ,[' 10385+'],[' 5198'],"[' 628.621s (Solving', ' 542.36s 1st Model', ' 142.80s Unsat', ' 0.00s)']",[' 625.313s'], ,[' 249953887'],"[' 3325592  (Analyzed', ' 2826969)']","[' 7081     (Average', ' 399.23 Last', ' 1803)']",[' 12779.9 '],"[' 5199     (Average Length', ' 2723.66 Splits', ' 0)']","[' 2826969  (Deleted', ' 2751517)']","[' 917      (Ratio', '   0.03%)']","[' 30375    (Ratio', '   1.07%)']","[' 2826969  (Average Length', '   27.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2826969  (Average', ' 72.82 Max', ' 17713 Sum', ' 205853184)']","[' 2823034  (Average', ' 69.66 Max', ' 17713 Sum', ' 196925251 Ratio', '  95.66%)']","[' 3935     (Average', ' 2268.85 Max', ' 3991 Sum', ' 8927933 Ratio', '   4.34%)']", ,[' 402076  '],[' 25114   '],[' 369302  '],[' 188806  '],"[' 466872   (Atom=Atom', ' 127518 Body=Body', ' 90752 Other', ' 248602)']",[' Yes'],"[' 30951    (Eliminated', '    0 Frozen', ' 30951)']","[' 5417     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.6954'],[' 0'], ,[' 142.388'],[' 0'],[' 14.8632'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.15158e+08'],[' 3.7044e+08'],[' 0'],[' 4.55401e+09'],[' 0'],[' 0'],[' 1440 '],[' 2322 '],[' 3071 '],[' 4236 '],[' 6386 '],[' 7965 '],[' 6 '],[' 0 ']
