Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , ,[' 1'],[' 5597+'],[' 2806'],"[' 611.399s (Solving', ' 572.12s 1st Model', ' 59.22s Unsat', ' 0.00s)']",[' 604.906s'], ,[' 161728726'],"[' 6424272  (Analyzed', ' 5917344)']","[' 13124    (Average', ' 450.88 Last', ' 55852)']",[' 9013.9  '],"[' 2806     (Average Length', ' 1512.00 Splits', ' 0)']","[' 5917344  (Deleted', ' 5822614)']","[' 224      (Ratio', '   0.00%)']","[' 21996    (Ratio', '   0.37%)']","[' 5917344  (Average Length', '   24.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5917344  (Average', ' 24.30 Max', ' 12020 Sum', ' 143766133)']","[' 5914410  (Average', ' 23.62 Max', ' 12020 Sum', ' 139767765 Ratio', '  97.22%)']","[' 2934     (Average', ' 1362.77 Max', ' 2031 Sum', ' 3998368 Ratio', '   2.78%)']", ,[' 327032  '],[' 16869   '],[' 297975  '],[' 126811  '],"[' 317041   (Atom=Atom', ' 87217 Body=Body', ' 59644 Other', ' 170180)']",[' Yes'],"[' 20869    (Eliminated', '    0 Frozen', ' 20869)']","[' 3869     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.55862'],[' 0'], ,[' 300.82'],[' 0'],[' 14.9091'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.48217e+08'],[' 2.14374e+08'],[' 0'],[' 1.40423e+10'],[' 0'],[' 0'],[' 1148 '],[' 2554 '],[' 3061 '],[' 3794 '],[' 5028 '],[' 5641 '],[' 6334 '],[' 7 '],[' 0 ']
Solving...,TA72, , , ,[' 1'],[' 6335+'],[' 3175'],"[' 612.545s (Solving', ' 570.83s 1st Model', ' 56.08s Unsat', ' 0.00s)']",[' 607.969s'], ,[' 164209155'],"[' 9195384  (Analyzed', ' 8633674)']","[' 18546    (Average', ' 465.53 Last', ' 63901)']",[' 8926.3  '],"[' 3175     (Average Length', ' 1676.19 Splits', ' 0)']","[' 8633674  (Deleted', ' 8520023)']","[' 401      (Ratio', '   0.00%)']","[' 18485    (Ratio', '   0.21%)']","[' 8633674  (Average Length', '   19.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8633674  (Average', ' 16.76 Max', ' 11514 Sum', ' 144708899)']","[' 8630421  (Average', ' 16.23 Max', ' 11514 Sum', ' 140136294 Ratio', '  96.84%)']","[' 3253     (Average', ' 1405.66 Max', ' 2346 Sum', ' 4572605 Ratio', '   3.16%)']", ,[' 325900  '],[' 16670   '],[' 297461  '],[' 125720  '],"[' 314551   (Atom=Atom', ' 86681 Body=Body', ' 58871 Other', ' 168999)']",[' Yes'],"[' 20958    (Eliminated', '    0 Frozen', ' 20958)']","[' 3815     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.93608'],[' 0'], ,[' 298.093'],[' 0'],[' 13.8671'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.44886e+08'],[' 2.04449e+08'],[' 0'],[' 1.57774e+10'],[' 0'],[' 0'],[' 957 '],[' 1986 '],[' 2670 '],[' 3530 '],[' 4492 '],[' 5151 '],[' 6177 '],[' 7 '],[' 0 ']
Solving...,TA73, , , ,[' 1'],[' 5691+'],[' 2853'],"[' 611.487s (Solving', ' 574.22s 1st Model', ' 52.50s Unsat', ' 0.00s)']",[' 607.656s'], ,[' 178057911'],"[' 9429579  (Analyzed', ' 9064694)']","[' 18861    (Average', ' 480.61 Last', ' 55774)']",[' 8919.0  '],"[' 2853     (Average Length', ' 1549.81 Splits', ' 0)']","[' 9064694  (Deleted', ' 8951517)']","[' 241      (Ratio', '   0.00%)']","[' 17046    (Ratio', '   0.19%)']","[' 9064694  (Average Length', '   22.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9064694  (Average', ' 17.69 Max', ' 11986 Sum', ' 160378859)']","[' 9061655  (Average', ' 17.22 Max', ' 11986 Sum', ' 156107347 Ratio', '  97.34%)']","[' 3039     (Average', ' 1405.56 Max', ' 2151 Sum', ' 4271512 Ratio', '   2.66%)']", ,[' 325807  '],[' 16587   '],[' 296934  '],[' 125574  '],"[' 311762   (Atom=Atom', ' 85881 Body=Body', ' 58588 Other', ' 167293)']",[' Yes'],"[' 20561    (Eliminated', '    0 Frozen', ' 20561)']","[' 2773     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.05496'],[' 0'], ,[' 315.301'],[' 0'],[' 14.4676'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.54395e+08'],[' 2.10078e+08'],[' 0'],[' 1.78292e+10'],[' 0'],[' 0'],[' 1319 '],[' 2317 '],[' 3040 '],[' 3889 '],[' 4519 '],[' 5558 '],[' 6465 '],[' 7 '],[' 0 ']
Solving...,TA74, , , ,[' 1'],[' 6395+'],[' 3205'],"[' 610.808s (Solving', ' 571.59s 1st Model', ' 52.79s Unsat', ' 0.00s)']",[' 609.328s'], ,[' 156571244'],"[' 8886233  (Analyzed', ' 8318027)']","[' 18252    (Average', ' 455.73 Last', ' 13126)']",[' 8971.3  '],"[' 3205     (Average Length', ' 1688.14 Splits', ' 0)']","[' 8318027  (Deleted', ' 8206027)']","[' 249      (Ratio', '   0.00%)']","[' 17723    (Ratio', '   0.21%)']","[' 8318027  (Average Length', '   19.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8318027  (Average', ' 16.38 Max', ' 13064 Sum', ' 136223803)']","[' 8315329  (Average', ' 15.89 Max', ' 13064 Sum', ' 132211557 Ratio', '  97.05%)']","[' 2698     (Average', ' 1487.12 Max', ' 2286 Sum', ' 4012246 Ratio', '   2.95%)']", ,[' 324743  '],[' 16318   '],[' 295747  '],[' 124759  '],"[' 309574   (Atom=Atom', ' 85410 Body=Body', ' 57908 Other', ' 166256)']",[' Yes'],"[' 20684    (Eliminated', '    0 Frozen', ' 20684)']","[' 3401     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.62294'],[' 0'], ,[' 313.712'],[' 0'],[' 13.6717'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.39839e+08'],[' 1.99645e+08'],[' 0'],[' 1.68721e+10'],[' 0'],[' 0'],[' 997 '],[' 1892 '],[' 2781 '],[' 3639 '],[' 4756 '],[' 5302 '],[' 5961 '],[' 7 '],[' 0 ']
Solving...,TA75, , , ,[' 1'],[' 5581+'],[' 2798'],"[' 550.985s (Solving', ' 514.88s 1st Model', ' 46.75s Unsat', ' 0.00s)']",[' 547.313s'], ,[' 147790141'],"[' 8358102  (Analyzed', ' 7686341)']","[' 16430    (Average', ' 467.82 Last', ' 33327)']",[' 8898.0  '],"[' 2797     (Average Length', ' 1507.96 Splits', ' 0)']","[' 7686341  (Deleted', ' 7586013)']","[' 270      (Ratio', '   0.00%)']","[' 15782    (Ratio', '   0.21%)']","[' 7686341  (Average Length', '   21.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7686341  (Average', ' 16.89 Max', ' 12432 Sum', ' 129824328)']","[' 7683598  (Average', ' 16.39 Max', ' 12432 Sum', ' 125981959 Ratio', '  97.04%)']","[' 2743     (Average', ' 1400.79 Max', ' 2252 Sum', ' 3842369 Ratio', '   2.96%)']", ,[' 328737  '],[' 16797   '],[' 299220  '],[' 127491  '],"[' 314063   (Atom=Atom', ' 86507 Body=Body', ' 59087 Other', ' 168469)']",[' Yes'],"[' 20701    (Eliminated', '    0 Frozen', ' 20701)']","[' 2711     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.85397'],[' 0'], ,[' 275.186'],[' 0'],[' 12.3021'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.17523e+08'],[' 1.80184e+08'],[' 0'],[' 1.47721e+10'],[' 0'],[' 0'],[' 1175 '],[' 1999 '],[' 3052 '],[' 3694 '],[' 4561 '],[' 5681 '],[' 6322 '],[' 7 '],[' 0 ']
Solving...,TA76, , , ,[' 1'],[' 6373+'],[' 3194'],"[' 612.819s (Solving', ' 570.38s 1st Model', ' 53.07s Unsat', ' 0.00s)']",[' 606.844s'], ,[' 152261963'],"[' 8709118  (Analyzed', ' 8242965)']","[' 17369    (Average', ' 474.58 Last', ' 111816)']",[' 8692.2  '],"[' 3194     (Average Length', ' 1676.69 Splits', ' 0)']","[' 8242965  (Deleted', ' 8134371)']","[' 325      (Ratio', '   0.00%)']","[' 18348    (Ratio', '   0.22%)']","[' 8242965  (Average Length', '   19.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8242965  (Average', ' 16.14 Max', ' 11450 Sum', ' 133029748)']","[' 8240065  (Average', ' 15.64 Max', ' 11450 Sum', ' 128927369 Ratio', '  96.92%)']","[' 2900     (Average', ' 1414.61 Max', ' 2341 Sum', ' 4102379 Ratio', '   3.08%)']", ,[' 324677  '],[' 16387   '],[' 296014  '],[' 124797  '],"[' 310555   (Atom=Atom', ' 85640 Body=Body', ' 58127 Other', ' 166788)']",[' Yes'],"[' 20720    (Eliminated', '    0 Frozen', ' 20720)']","[' 3534     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.99349'],[' 0'], ,[' 297.469'],[' 0'],[' 13.4443'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.33264e+08'],[' 1.93754e+08'],[' 0'],[' 1.50392e+10'],[' 0'],[' 0'],[' 1151 '],[' 2018 '],[' 2741 '],[' 3509 '],[' 4426 '],[' 5275 '],[' 6149 '],[' 7 '],[' 0 ']
Solving...,TA77, , , ,[' 1'],[' 6137+'],[' 3076'],"[' 612.387s (Solving', ' 570.90s 1st Model', ' 54.35s Unsat', ' 0.00s)']",[' 607.234s'], ,[' 154761458'],"[' 8864721  (Analyzed', ' 8246767)']","[' 17989    (Average', ' 458.43 Last', ' 11357)']",[' 9216.9  '],"[' 3076     (Average Length', ' 1637.78 Splits', ' 0)']","[' 8246767  (Deleted', ' 8137745)']","[' 362      (Ratio', '   0.00%)']","[' 16235    (Ratio', '   0.20%)']","[' 8246767  (Average Length', '   20.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8246767  (Average', ' 16.30 Max', ' 12112 Sum', ' 134431919)']","[' 8243869  (Average', ' 15.81 Max', ' 12112 Sum', ' 130370635 Ratio', '  96.98%)']","[' 2898     (Average', ' 1401.41 Max', ' 2327 Sum', ' 4061284 Ratio', '   3.02%)']", ,[' 324763  '],[' 16358   '],[' 295944  '],[' 124756  '],"[' 309221   (Atom=Atom', ' 85274 Body=Body', ' 57954 Other', ' 165993)']",[' Yes'],"[' 20592    (Eliminated', '    0 Frozen', ' 20592)']","[' 2602     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.97644'],[' 0'], ,[' 300.393'],[' 0'],[' 13.509'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.26551e+08'],[' 1.88537e+08'],[' 0'],[' 1.51672e+10'],[' 0'],[' 0'],[' 1227 '],[' 1927 '],[' 2916 '],[' 3607 '],[' 4319 '],[' 5267 '],[' 6115 '],[' 7 '],[' 0 ']
Solving...,TA78, , , ,[' 1'],[' 6517+'],[' 3266'],"[' 612.014s (Solving', ' 570.09s 1st Model', ' 55.83s Unsat', ' 0.00s)']",[' 609.906s'], ,[' 163973075'],"[' 8958290  (Analyzed', ' 8592632)']","[' 18801    (Average', ' 457.03 Last', ' 8521)']",[' 9256.0  '],"[' 3266     (Average Length', ' 1743.27 Splits', ' 0)']","[' 8592632  (Deleted', ' 8469820)']","[' 358      (Ratio', '   0.00%)']","[' 19205    (Ratio', '   0.22%)']","[' 8592632  (Average Length', '   18.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8592632  (Average', ' 16.68 Max', ' 11298 Sum', ' 143352312)']","[' 8589329  (Average', ' 16.13 Max', ' 11298 Sum', ' 138602160 Ratio', '  96.69%)']","[' 3303     (Average', ' 1438.13 Max', ' 2426 Sum', ' 4750152 Ratio', '   3.31%)']", ,[' 326188  '],[' 16475   '],[' 297431  '],[' 125843  '],"[' 311027   (Atom=Atom', ' 85749 Body=Body', ' 58151 Other', ' 167127)']",[' Yes'],"[' 20869    (Eliminated', '    0 Frozen', ' 20869)']","[' 3445     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.1989'],[' 0'], ,[' 297.127'],[' 0'],[' 14.1576'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.44615e+08'],[' 2.05284e+08'],[' 0'],[' 1.61171e+10'],[' 0'],[' 0'],[' 1110 '],[' 2002 '],[' 2969 '],[' 3598 '],[' 4586 '],[' 5294 '],[' 6097 '],[' 7 '],[' 0 ']
Solving...,TA79, , , ,[' 1'],[' 6311+'],[' 3163'],"[' 610.409s (Solving', ' 574.16s 1st Model', ' 49.82s Unsat', ' 0.00s)']",[' 609.234s'], ,[' 147837898'],"[' 9172824  (Analyzed', ' 8785516)']","[' 18922    (Average', ' 464.30 Last', ' 89465)']",[' 8449.3  '],"[' 3163     (Average Length', ' 1664.48 Splits', ' 0)']","[' 8785516  (Deleted', ' 8665781)']","[' 294      (Ratio', '   0.00%)']","[' 18489    (Ratio', '   0.21%)']","[' 8785516  (Average Length', '   18.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8785516  (Average', ' 14.82 Max', ' 11287 Sum', ' 130238457)']","[' 8782382  (Average', ' 14.29 Max', ' 11287 Sum', ' 125516975 Ratio', '  96.37%)']","[' 3134     (Average', ' 1506.54 Max', ' 2366 Sum', ' 4721482 Ratio', '   3.63%)']", ,[' 325560  '],[' 16395   '],[' 296572  '],[' 125187  '],"[' 310649   (Atom=Atom', ' 85659 Body=Body', ' 58158 Other', ' 166832)']",[' Yes'],"[' 20663    (Eliminated', '    0 Frozen', ' 20663)']","[' 3690     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.11799'],[' 0'], ,[' 324.561'],[' 0'],[' 13.2049'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.30759e+08'],[' 1.89943e+08'],[' 0'],[' 1.82651e+10'],[' 0'],[' 0'],[' 976 '],[' 1888 '],[' 2765 '],[' 3478 '],[' 4253 '],[' 5203 '],[' 5992 '],[' 7 '],[' 0 ']
Solving...,TA80, , , ,[' 1'],[' 6169+'],[' 3092'],"[' 611.090s (Solving', ' 571.85s 1st Model', ' 61.28s Unsat', ' 0.00s)']",[' 609.781s'], ,[' 178713996'],"[' 8554589  (Analyzed', ' 8004507)']","[' 17102    (Average', ' 468.05 Last', ' 33096)']",[' 9318.0  '],"[' 3092     (Average Length', ' 1614.11 Splits', ' 0)']","[' 8004507  (Deleted', ' 7889329)']","[' 309      (Ratio', '   0.00%)']","[' 20424    (Ratio', '   0.26%)']","[' 8004507  (Average Length', '   22.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8004507  (Average', ' 19.80 Max', ' 12949 Sum', ' 158513246)']","[' 8001248  (Average', ' 19.22 Max', ' 12949 Sum', ' 153845499 Ratio', '  97.06%)']","[' 3259     (Average', ' 1432.26 Max', ' 2186 Sum', ' 4667747 Ratio', '   2.94%)']", ,[' 326347  '],[' 16772   '],[' 297777  '],[' 126218  '],"[' 315452   (Atom=Atom', ' 86869 Body=Body', ' 59186 Other', ' 169397)']",[' Yes'],"[' 20924    (Eliminated', '    0 Frozen', ' 20924)']","[' 3436     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.58496'],[' 0'], ,[' 309.682'],[' 0'],[' 14.4024'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.6399e+08'],[' 2.22853e+08'],[' 0'],[' 1.68069e+10'],[' 0'],[' 0'],[' 1264 '],[' 2160 '],[' 2869 '],[' 3651 '],[' 4532 '],[' 5173 '],[' 5869 '],[' 7 '],[' 0 ']
