Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , , ,[' 7699+'],[' 3857'],"[' 620.249s (Solving', ' 557.47s 1st Model', ' 81.62s Unsat', ' 0.00s)']",[' 616.734s'], ,[' 197988465'],"[' 5677096  (Analyzed', ' 5313984)']","[' 11813    (Average', ' 449.84 Last', ' 15108)']",[' 10607.2 '],"[' 3858     (Average Length', ' 2015.22 Splits', ' 0)']","[' 5313984  (Deleted', ' 5231930)']","[' 620      (Ratio', '   0.01%)']","[' 23456    (Ratio', '   0.44%)']","[' 5313984  (Average Length', '   25.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5313984  (Average', ' 31.94 Max', ' 13479 Sum', ' 169729780)']","[' 5310346  (Average', ' 30.88 Max', ' 13479 Sum', ' 164093760 Ratio', '  96.68%)']","[' 3638     (Average', ' 1549.21 Max', ' 2789 Sum', ' 5636020 Ratio', '   3.32%)']", ,[' 354137  '],[' 19706   '],[' 324528  '],[' 150851  '],"[' 367704   (Atom=Atom', ' 101320 Body=Body', ' 70468 Other', ' 195916)']",[' Yes'],"[' 24384    (Eliminated', '    0 Frozen', ' 24384)']","[' 4032     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.5534'],[' 0'], ,[' 234.561'],[' 0'],[' 15.1249'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.04033e+08'],[' 2.6506e+08'],[' 0'],[' 1.07687e+10'],[' 0'],[' 0'],[' 1148 '],[' 2554 '],[' 3061 '],[' 3848 '],[' 4997 '],[' 5648 '],[' 6826 '],[' 7 '],[' 0 ']
Solving...,TA72, , , ,[' 1'],[' 7633+'],[' 3824'],"[' 616.471s (Solving', ' 559.33s 1st Model', ' 81.57s Unsat', ' 0.00s)']",[' 613.172s'], ,[' 197814906'],"[' 8256352  (Analyzed', ' 7796202)']","[' 16225    (Average', ' 480.51 Last', ' 335946)']",[' 10413.7 '],"[' 3824     (Average Length', ' 1985.92 Splits', ' 0)']","[' 7796202  (Deleted', ' 7684903)']","[' 652      (Ratio', '   0.01%)']","[' 21680    (Ratio', '   0.28%)']","[' 7796202  (Average Length', '   19.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7796202  (Average', ' 21.84 Max', ' 13406 Sum', ' 170291443)']","[' 7792600  (Average', ' 21.13 Max', ' 13406 Sum', ' 164706678 Ratio', '  96.72%)']","[' 3602     (Average', ' 1550.46 Max', ' 2775 Sum', ' 5584765 Ratio', '   3.28%)']", ,[' 351121  '],[' 19243   '],[' 321283  '],[' 148198  '],"[' 362646   (Atom=Atom', ' 99998 Body=Body', ' 69423 Other', ' 193225)']",[' Yes'],"[' 24034    (Eliminated', '    0 Frozen', ' 24034)']","[' 4048     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.3513'],[' 0'], ,[' 237.103'],[' 0'],[' 14.4047'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.96363e+08'],[' 2.54569e+08'],[' 0'],[' 1.13738e+10'],[' 0'],[' 0'],[' 957 '],[' 1986 '],[' 2696 '],[' 3525 '],[' 4449 '],[' 5213 '],[' 5987 '],[' 7 '],[' 0 ']
Solving...,TA73, , , ,[' 1'],[' 8255+'],[' 4135'],"[' 617.597s (Solving', ' 556.22s 1st Model', ' 94.94s Unsat', ' 0.00s)']",[' 615.328s'], ,[' 208865125'],"[' 6627574  (Analyzed', ' 6243837)']","[' 13940    (Average', ' 447.91 Last', ' 4815)']",[' 10853.1 '],"[' 4135     (Average Length', ' 2142.15 Splits', ' 0)']","[' 6243837  (Deleted', ' 6147551)']","[' 605      (Ratio', '   0.01%)']","[' 19873    (Ratio', '   0.32%)']","[' 6243837  (Average Length', '   24.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6243837  (Average', ' 28.52 Max', ' 13604 Sum', ' 178063286)']","[' 6240412  (Average', ' 27.56 Max', ' 13604 Sum', ' 172078715 Ratio', '  96.64%)']","[' 3425     (Average', ' 1747.32 Max', ' 3074 Sum', ' 5984571 Ratio', '   3.36%)']", ,[' 352262  '],[' 19372   '],[' 322764  '],[' 149396  '],"[' 364159   (Atom=Atom', ' 100506 Body=Body', ' 69666 Other', ' 193987)']",[' Yes'],"[' 24255    (Eliminated', '    0 Frozen', ' 24255)']","[' 3797     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.0371'],[' 0'], ,[' 222.941'],[' 0'],[' 14.8667'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.98937e+08'],[' 2.59459e+08'],[' 0'],[' 1.00993e+10'],[' 0'],[' 0'],[' 1319 '],[' 2317 '],[' 3031 '],[' 3880 '],[' 4521 '],[' 5466 '],[' 6332 '],[' 7 '],[' 0 ']
Solving...,TA74, , , ,[' 1'],[' 8485+'],[' 4249'],"[' 622.877s (Solving', ' 549.74s 1st Model', ' 100.59s Unsat', ' 0.00s)']",[' 613.703s'], ,[' 173127723'],"[' 5149598  (Analyzed', ' 4695752)']","[' 10934    (Average', ' 429.46 Last', ' 40940)']",[' 9944.1  '],"[' 4249     (Average Length', ' 2192.81 Splits', ' 0)']","[' 4695752  (Deleted', ' 4600363)']","[' 534      (Ratio', '   0.01%)']","[' 22948    (Ratio', '   0.49%)']","[' 4695752  (Average Length', '   18.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4695752  (Average', ' 30.81 Max', ' 13209 Sum', ' 144680203)']","[' 4692861  (Average', ' 29.70 Max', ' 13209 Sum', ' 139479289 Ratio', '  96.41%)']","[' 2891     (Average', ' 1799.00 Max', ' 3198 Sum', ' 5200914 Ratio', '   3.59%)']", ,[' 350021  '],[' 18960   '],[' 320386  '],[' 147405  '],"[' 359778   (Atom=Atom', ' 99378 Body=Body', ' 68650 Other', ' 191750)']",[' Yes'],"[' 24137    (Eliminated', '    0 Frozen', ' 24137)']","[' 4398     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.7078'],[' 0'], ,[' 185.299'],[' 0'],[' 13.7991'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.83829e+08'],[' 2.46636e+08'],[' 0'],[' 6.50667e+09'],[' 0'],[' 0'],[' 997 '],[' 1884 '],[' 2676 '],[' 3588 '],[' 4753 '],[' 5324 '],[' 6503 '],[' 7 '],[' 0 ']
Solving...,TA75, , , ,[' 1'],[' 8217+'],[' 4116'],"[' 619.386s (Solving', ' 552.55s 1st Model', ' 90.52s Unsat', ' 0.00s)']",[' 612.656s'], ,[' 171971472'],"[' 5455305  (Analyzed', ' 4863291)']","[' 10776    (Average', ' 451.31 Last', ' 11860)']",[' 11065.1 '],"[' 4116     (Average Length', ' 2116.43 Splits', ' 0)']","[' 4863291  (Deleted', ' 4779168)']","[' 514      (Ratio', '   0.01%)']","[' 16973    (Ratio', '   0.35%)']","[' 4863291  (Average Length', '   22.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4863291  (Average', ' 28.91 Max', ' 13768 Sum', ' 140586730)']","[' 4859775  (Average', ' 27.61 Max', ' 13768 Sum', ' 134267992 Ratio', '  95.51%)']","[' 3516     (Average', ' 1797.14 Max', ' 3000 Sum', ' 6318738 Ratio', '   4.49%)']", ,[' 353342  '],[' 19419   '],[' 323395  '],[' 149849  '],"[' 367288   (Atom=Atom', ' 101343 Body=Body', ' 70342 Other', ' 195603)']",[' Yes'],"[' 24459    (Eliminated', '    0 Frozen', ' 24459)']","[' 3684     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.0818'],[' 0'], ,[' 208.372'],[' 0'],[' 13.9532'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.51542e+08'],[' 2.18873e+08'],[' 0'],[' 8.00325e+09'],[' 0'],[' 0'],[' 1175 '],[' 1999 '],[' 3152 '],[' 3685 '],[' 4588 '],[' 5643 '],[' 6638 '],[' 7 '],[' 0 ']
Solving...,TA76, , , ,[' 1'],[' 8001+'],[' 4008'],"[' 616.074s (Solving', ' 560.58s 1st Model', ' 75.79s Unsat', ' 0.00s)']",[' 613.781s'], ,[' 209877191'],"[' 6840896  (Analyzed', ' 6380809)']","[' 13924    (Average', ' 458.26 Last', ' 38485)']",[' 9830.2  '],"[' 4008     (Average Length', ' 2050.14 Splits', ' 0)']","[' 6380809  (Deleted', ' 6265861)']","[' 686      (Ratio', '   0.01%)']","[' 25844    (Ratio', '   0.41%)']","[' 6380809  (Average Length', '   20.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6380809  (Average', ' 28.86 Max', ' 12596 Sum', ' 184169720)']","[' 6377145  (Average', ' 27.88 Max', ' 12596 Sum', ' 177866824 Ratio', '  96.58%)']","[' 3664     (Average', ' 1720.22 Max', ' 2905 Sum', ' 6302896 Ratio', '   3.42%)']", ,[' 349810  '],[' 18979   '],[' 319977  '],[' 147104  '],"[' 361286   (Atom=Atom', ' 99707 Body=Body', ' 69176 Other', ' 192403)']",[' Yes'],"[' 23978    (Eliminated', '    0 Frozen', ' 23978)']","[' 5074     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.2197'],[' 0'], ,[' 237.529'],[' 0'],[' 14.9037'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.26989e+08'],[' 2.83459e+08'],[' 0'],[' 1.11828e+10'],[' 0'],[' 0'],[' 1151 '],[' 2012 '],[' 2742 '],[' 3511 '],[' 4389 '],[' 5328 '],[' 6223 '],[' 7 '],[' 0 ']
Solving...,TA77, , , , ,[' 7901+'],[' 3956'],"[' 628.724s (Solving', ' 547.88s 1st Model', ' 101.20s Unsat', ' 0.00s)']",[' 619.594s'], ,[' 153766182'],"[' 6158605  (Analyzed', ' 5605214)']","[' 12692    (Average', ' 441.63 Last', ' 5794)']",[' 10755.5 '],"[' 3957     (Average Length', ' 2083.11 Splits', ' 0)']","[' 5605214  (Deleted', ' 5525659)']","[' 450      (Ratio', '   0.01%)']","[' 13734    (Ratio', '   0.25%)']","[' 5605214  (Average Length', '   21.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5605214  (Average', ' 21.85 Max', ' 14814 Sum', ' 122475702)']","[' 5602685  (Average', ' 21.15 Max', ' 14814 Sum', ' 118572822 Ratio', '  96.81%)']","[' 2529     (Average', ' 1543.25 Max', ' 3074 Sum', ' 3902880 Ratio', '   3.19%)']", ,[' 348837  '],[' 18924   '],[' 319139  '],[' 146377  '],"[' 358512   (Atom=Atom', ' 98978 Body=Body', ' 68566 Other', ' 190968)']",[' Yes'],"[' 23891    (Eliminated', '    0 Frozen', ' 23891)']","[' 2429     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.1419'],[' 0'], ,[' 190.93'],[' 0'],[' 13.2899'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.23518e+08'],[' 1.91456e+08'],[' 0'],[' 8.09029e+09'],[' 0'],[' 0'],[' 1227 '],[' 1927 '],[' 2916 '],[' 3693 '],[' 4466 '],[' 5248 '],[' 6199 '],[' 7 '],[' 0 ']
Solving...,TA78, , , , ,[' 7227+'],[' 3621'],"[' 621.999s (Solving', ' 552.71s 1st Model', ' 96.95s Unsat', ' 0.00s)']",[' 615.516s'], ,[' 154135097'],"[' 7116144  (Analyzed', ' 6641192)']","[' 14562    (Average', ' 456.06 Last', ' 70325)']",[' 10185.0 '],"[' 3622     (Average Length', ' 1923.00 Splits', ' 0)']","[' 6641192  (Deleted', ' 6536921)']","[' 586      (Ratio', '   0.01%)']","[' 16016    (Ratio', '   0.24%)']","[' 6641192  (Average Length', '   18.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6641192  (Average', ' 19.35 Max', ' 13663 Sum', ' 128480927)']","[' 6637913  (Average', ' 18.58 Max', ' 13663 Sum', ' 123398437 Ratio', '  96.04%)']","[' 3279     (Average', ' 1550.01 Max', ' 2739 Sum', ' 5082490 Ratio', '   3.96%)']", ,[' 350160  '],[' 19101   '],[' 320123  '],[' 147445  '],"[' 359165   (Atom=Atom', ' 99031 Body=Body', ' 68912 Other', ' 191222)']",[' Yes'],"[' 23764    (Eliminated', '    0 Frozen', ' 23764)']","[' 3119     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.0404'],[' 0'], ,[' 209.482'],[' 0'],[' 13.7605'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.27221e+08'],[' 1.93578e+08'],[' 0'],[' 9.66562e+09'],[' 0'],[' 0'],[' 1110 '],[' 1965 '],[' 2946 '],[' 3559 '],[' 4545 '],[' 5452 '],[' 7790 '],[' 7 '],[' 0 ']
Solving...,TA79, , , , ,[' 8283+'],[' 4148'],"[' 626.694s (Solving', ' 546.22s 1st Model', ' 102.33s Unsat', ' 0.00s)']",[' 620.109s'], ,[' 158363644'],"[' 5634752  (Analyzed', ' 5115170)']","[' 11754    (Average', ' 435.19 Last', ' 4370)']",[' 9864.2  '],"[' 4149     (Average Length', ' 2137.69 Splits', ' 0)']","[' 5115170  (Deleted', ' 5029708)']","[' 651      (Ratio', '   0.01%)']","[' 19759    (Ratio', '   0.39%)']","[' 5115170  (Average Length', '   18.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5115170  (Average', ' 25.57 Max', ' 13297 Sum', ' 130815984)']","[' 5111952  (Average', ' 24.53 Max', ' 13297 Sum', ' 125496996 Ratio', '  95.93%)']","[' 3218     (Average', ' 1652.89 Max', ' 3182 Sum', ' 5318988 Ratio', '   4.07%)']", ,[' 349952  '],[' 18998   '],[' 320283  '],[' 147202  '],"[' 360949   (Atom=Atom', ' 99637 Body=Body', ' 68988 Other', ' 192324)']",[' Yes'],"[' 24085    (Eliminated', '    0 Frozen', ' 24085)']","[' 4010     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.6281'],[' 0'], ,[' 172.625'],[' 0'],[' 13.1507'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.51356e+08'],[' 2.15744e+08'],[' 0'],[' 6.7107e+09'],[' 0'],[' 0'],[' 976 '],[' 1888 '],[' 2687 '],[' 3413 '],[' 4422 '],[' 5667 '],[' 6404 '],[' 7 '],[' 0 ']
Solving...,TA80, , , , ,[' 7087+'],[' 3551'],"[' 621.880s (Solving', ' 553.23s 1st Model', ' 100.39s Unsat', ' 0.00s)']",[' 615.625s'], ,[' 168922264'],"[' 6214726  (Analyzed', ' 5938575)']","[' 13113    (Average', ' 452.88 Last', ' 16592)']",[' 10394.3 '],"[' 3552     (Average Length', ' 1871.62 Splits', ' 0)']","[' 5938575  (Deleted', ' 5846567)']","[' 571      (Ratio', '   0.01%)']","[' 16459    (Ratio', '   0.28%)']","[' 5938575  (Average Length', '   23.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5938575  (Average', ' 24.24 Max', ' 13991 Sum', ' 143958750)']","[' 5934973  (Average', ' 23.24 Max', ' 13991 Sum', ' 137993149 Ratio', '  95.86%)']","[' 3602     (Average', ' 1656.19 Max', ' 2673 Sum', ' 5965601 Ratio', '   4.14%)']", ,[' 352933  '],[' 19486   '],[' 322619  '],[' 149585  '],"[' 363675   (Atom=Atom', ' 100200 Body=Body', ' 69824 Other', ' 193651)']",[' Yes'],"[' 23955    (Eliminated', '    0 Frozen', ' 23955)']","[' 2933     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.923'],[' 0'], ,[' 209.245'],[' 0'],[' 14.2627'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.43171e+08'],[' 2.08456e+08'],[' 0'],[' 9.5728e+09'],[' 0'],[' 0'],[' 1264 '],[' 2160 '],[' 2869 '],[' 3651 '],[' 4572 '],[' 5311 '],[' 6830 '],[' 7 '],[' 0 ']
