Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , ,[' 1'],[' 6907+'],[' 3462'],"[' 613.292s (Solving', ' 565.71s 1st Model', ' 61.66s Unsat', ' 0.00s)']",[' 609.484s'], ,[' 170935428'],"[' 9025478  (Analyzed', ' 8795990)']","[' 18611    (Average', ' 472.62 Last', ' 53435)']",[' 9636.3  '],"[' 3462     (Average Length', ' 1826.89 Splits', ' 0)']","[' 8795990  (Deleted', ' 8681616)']","[' 539      (Ratio', '   0.01%)']","[' 18903    (Ratio', '   0.21%)']","[' 8795990  (Average Length', '   21.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8795990  (Average', ' 16.75 Max', ' 12212 Sum', ' 147344062)']","[' 8793009  (Average', ' 16.28 Max', ' 12212 Sum', ' 143182526 Ratio', '  97.18%)']","[' 2981     (Average', ' 1396.02 Max', ' 2555 Sum', ' 4161536 Ratio', '   2.82%)']", ,[' 335543  '],[' 17601   '],[' 307976  '],[' 138896  '],"[' 327548   (Atom=Atom', ' 91091 Body=Body', ' 62809 Other', ' 173648)']",[' Yes'],"[' 21692    (Eliminated', '    0 Frozen', ' 21692)']","[' 3360     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.83856'],[' 0'], ,[' 277.2'],[' 0'],[' 13.9291'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.6116e+08'],[' 2.20987e+08'],[' 0'],[' 1.49355e+10'],[' 0'],[' 0'],[' 1067 '],[' 2033 '],[' 2904 '],[' 3454 '],[' 4199 '],[' 5384 '],[' 5748 '],[' 6411 '],[' 8 '],[' 0 ']
Solving...,TA72, , , ,[' 1'],[' 6299+'],[' 3158'],"[' 611.467s (Solving', ' 571.29s 1st Model', ' 50.24s Unsat', ' 0.00s)']",[' 609.906s'], ,[' 163095962'],"[' 10231713 (Analyzed', ' 9959112)']","[' 21070    (Average', ' 472.67 Last', ' 19776)']",[' 9268.5  '],"[' 3158     (Average Length', ' 1695.84 Splits', ' 0)']","[' 9959112  (Deleted', ' 9841207)']","[' 530      (Ratio', '   0.01%)']","[' 16096    (Ratio', '   0.16%)']","[' 9959112  (Average Length', '   20.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9959112  (Average', ' 14.33 Max', ' 12098 Sum', ' 142754214)']","[' 9955982  (Average', ' 13.89 Max', ' 12098 Sum', ' 138372033 Ratio', '  96.93%)']","[' 3130     (Average', ' 1400.06 Max', ' 2343 Sum', ' 4382181 Ratio', '   3.07%)']", ,[' 329720  '],[' 16819   '],[' 302163  '],[' 133281  '],"[' 322010   (Atom=Atom', ' 89602 Body=Body', ' 61833 Other', ' 170575)']",[' Yes'],"[' 21248    (Eliminated', '    0 Frozen', ' 21248)']","[' 2606     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.4479'],[' 0'], ,[' 310.491'],[' 0'],[' 13.6401'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.45166e+08'],[' 2.04091e+08'],[' 0'],[' 1.77969e+10'],[' 0'],[' 0'],[' 883 '],[' 1655 '],[' 2410 '],[' 3242 '],[' 3968 '],[' 4824 '],[' 5382 '],[' 6022 '],[' 8 '],[' 0 ']
Solving...,TA73, , , ,[' 1'],[' 7469+'],[' 3743'],"[' 613.413s (Solving', ' 565.55s 1st Model', ' 65.61s Unsat', ' 0.00s)']",[' 611.734s'], ,[' 187374656'],"[' 9474706  (Analyzed', ' 9049894)']","[' 19730    (Average', ' 458.69 Last', ' 2858)']",[' 9596.6  '],"[' 3743     (Average Length', ' 1908.82 Splits', ' 0)']","[' 9049894  (Deleted', ' 8929308)']","[' 532      (Ratio', '   0.01%)']","[' 20413    (Ratio', '   0.23%)']","[' 9049894  (Average Length', '   21.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9049894  (Average', ' 17.90 Max', ' 12055 Sum', ' 162038216)']","[' 9047049  (Average', ' 17.42 Max', ' 12055 Sum', ' 157625819 Ratio', '  97.28%)']","[' 2845     (Average', ' 1550.93 Max', ' 2656 Sum', ' 4412397 Ratio', '   2.72%)']", ,[' 332601  '],[' 17216   '],[' 305673  '],[' 136021  '],"[' 326809   (Atom=Atom', ' 91020 Body=Body', ' 62442 Other', ' 173347)']",[' Yes'],"[' 21818    (Eliminated', '    0 Frozen', ' 21818)']","[' 3944     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.89221'],[' 0'], ,[' 268.237'],[' 0'],[' 13.8315'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.80816e+08'],[' 2.35968e+08'],[' 0'],[' 1.44985e+10'],[' 0'],[' 0'],[' 1084 '],[' 2099 '],[' 2871 '],[' 3320 '],[' 4220 '],[' 4856 '],[' 5745 '],[' 6444 '],[' 8 '],[' 0 ']
Solving...,TA74, , , ,[' 1'],[' 7263+'],[' 3640'],"[' 613.826s (Solving', ' 562.67s 1st Model', ' 71.60s Unsat', ' 0.00s)']",[' 610.781s'], ,[' 153860989'],"[' 8509897  (Analyzed', ' 8222414)']","[' 17851    (Average', ' 460.61 Last', ' 2304)']",[' 9480.9  '],"[' 3640     (Average Length', ' 1867.34 Splits', ' 0)']","[' 8222414  (Deleted', ' 8104913)']","[' 606      (Ratio', '   0.01%)']","[' 17147    (Ratio', '   0.21%)']","[' 8222414  (Average Length', '   19.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8222414  (Average', ' 15.81 Max', ' 11880 Sum', ' 130027956)']","[' 8219279  (Average', ' 15.26 Max', ' 11880 Sum', ' 125438197 Ratio', '  96.47%)']","[' 3135     (Average', ' 1464.04 Max', ' 2618 Sum', ' 4589759 Ratio', '   3.53%)']", ,[' 329020  '],[' 16719   '],[' 301850  '],[' 132924  '],"[' 322817   (Atom=Atom', ' 89929 Body=Body', ' 61726 Other', ' 171162)']",[' Yes'],"[' 21480    (Eliminated', '    0 Frozen', ' 21480)']","[' 3207     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.80611'],[' 0'], ,[' 259.774'],[' 0'],[' 12.9887'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.35032e+08'],[' 1.97306e+08'],[' 0'],[' 1.27639e+10'],[' 0'],[' 0'],[' 957 '],[' 1721 '],[' 2426 '],[' 3393 '],[' 3942 '],[' 4618 '],[' 5239 '],[' 5902 '],[' 8 '],[' 0 ']
Solving...,TA75, , , ,[' 1'],[' 6623+'],[' 3320'],"[' 612.821s (Solving', ' 566.86s 1st Model', ' 61.31s Unsat', ' 0.00s)']",[' 608.656s'], ,[' 163820940'],"[' 10017830 (Analyzed', ' 9723690)']","[' 20608    (Average', ' 471.84 Last', ' 7616)']",[' 9485.1  '],"[' 3320     (Average Length', ' 1763.55 Splits', ' 0)']","[' 9723690  (Deleted', ' 9600438)']","[' 590      (Ratio', '   0.01%)']","[' 18083    (Ratio', '   0.19%)']","[' 9723690  (Average Length', '   21.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9723690  (Average', ' 14.53 Max', ' 12362 Sum', ' 141311848)']","[' 9720579  (Average', ' 14.12 Max', ' 12362 Sum', ' 137322155 Ratio', '  97.18%)']","[' 3111     (Average', ' 1282.45 Max', ' 2516 Sum', ' 3989693 Ratio', '   2.82%)']", ,[' 334127  '],[' 17409   '],[' 306796  '],[' 137017  '],"[' 326673   (Atom=Atom', ' 90890 Body=Body', ' 62776 Other', ' 173007)']",[' Yes'],"[' 21603    (Eliminated', '    0 Frozen', ' 21603)']","[' 2722     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.62696'],[' 0'], ,[' 282.304'],[' 0'],[' 12.755'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.50743e+08'],[' 2.06766e+08'],[' 0'],[' 1.51094e+10'],[' 0'],[' 0'],[' 1175 '],[' 1824 '],[' 2806 '],[' 3471 '],[' 4134 '],[' 4723 '],[' 5622 '],[' 6288 '],[' 8 '],[' 0 ']
Solving...,TA76, , , ,[' 1'],[' 6823+'],[' 3420'],"[' 612.352s (Solving', ' 570.35s 1st Model', ' 54.62s Unsat', ' 0.00s)']",[' 609.188s'], ,[' 149936235'],"[' 10473200 (Analyzed', ' 10048385)']","[' 21386    (Average', ' 469.86 Last', ' 43259)']",[' 9002.6  '],"[' 3420     (Average Length', ' 1777.09 Splits', ' 0)']","[' 10048385 (Deleted', ' 9914625)']","[' 612      (Ratio', '   0.01%)']","[' 16142    (Ratio', '   0.16%)']","[' 10048385 (Average Length', '   19.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10048385 (Average', ' 12.83 Max', ' 11972 Sum', ' 128889789)']","[' 10045221 (Average', ' 12.37 Max', ' 11972 Sum', ' 124256127 Ratio', '  96.40%)']","[' 3164     (Average', ' 1464.49 Max', ' 2567 Sum', ' 4633662 Ratio', '   3.60%)']", ,[' 328721  '],[' 16676   '],[' 301500  '],[' 132657  '],"[' 320337   (Atom=Atom', ' 89233 Body=Body', ' 61392 Other', ' 169712)']",[' Yes'],"[' 21144    (Eliminated', '    0 Frozen', ' 21144)']","[' 2804     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.9495'],[' 0'], ,[' 302.16'],[' 0'],[' 12.7016'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.28927e+08'],[' 1.88429e+08'],[' 0'],[' 1.74344e+10'],[' 0'],[' 0'],[' 1151 '],[' 1801 '],[' 2601 '],[' 3120 '],[' 3870 '],[' 4624 '],[' 5404 '],[' 6102 '],[' 8 '],[' 0 ']
Solving...,TA77, , , ,[' 1'],[' 7565+'],[' 3791'],"[' 614.929s (Solving', ' 565.03s 1st Model', ' 71.65s Unsat', ' 0.00s)']",[' 610.203s'], ,[' 150076468'],"[' 11327053 (Analyzed', ' 10936232)']","[' 22235    (Average', ' 491.85 Last', ' 175549)']",[' 9567.9  '],"[' 3791     (Average Length', ' 1937.78 Splits', ' 0)']","[' 10936232 (Deleted', ' 10813133)']","[' 619      (Ratio', '   0.01%)']","[' 14870    (Ratio', '   0.14%)']","[' 10936232 (Average Length', '   20.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10936232 (Average', ' 11.44 Max', ' 12199 Sum', ' 125120037)']","[' 10932995 (Average', ' 10.99 Max', ' 12199 Sum', ' 120215215 Ratio', '  96.08%)']","[' 3237     (Average', ' 1515.24 Max', ' 2890 Sum', ' 4904822 Ratio', '   3.92%)']", ,[' 329725  '],[' 16640   '],[' 302394  '],[' 133131  '],"[' 321149   (Atom=Atom', ' 89510 Body=Body', ' 61270 Other', ' 170369)']",[' Yes'],"[' 21481    (Eliminated', '    0 Frozen', ' 21481)']","[' 2698     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.28518'],[' 0'], ,[' 268.994'],[' 0'],[' 11.6335'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.31622e+08'],[' 1.85636e+08'],[' 0'],[' 1.52083e+10'],[' 0'],[' 0'],[' 1116 '],[' 1711 '],[' 2593 '],[' 3125 '],[' 4018 '],[' 4536 '],[' 5379 '],[' 6168 '],[' 8 '],[' 0 ']
Solving...,TA78, , , ,[' 1'],[' 6325+'],[' 3171'],"[' 612.695s (Solving', ' 568.09s 1st Model', ' 58.45s Unsat', ' 0.00s)']",[' 609.188s'], ,[' 137951120'],"[' 10478915 (Analyzed', ' 10170391)']","[' 21138    (Average', ' 481.14 Last', ' 87950)']",[' 9618.0  '],"[' 3171     (Average Length', ' 1683.10 Splits', ' 0)']","[' 10170391 (Deleted', ' 10053786)']","[' 362      (Ratio', '   0.00%)']","[' 13261    (Ratio', '   0.13%)']","[' 10170391 (Average Length', '   20.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10170391 (Average', ' 11.37 Max', ' 12743 Sum', ' 115672767)']","[' 10167788 (Average', ' 11.01 Max', ' 12743 Sum', ' 111953579 Ratio', '  96.78%)']","[' 2603     (Average', ' 1428.81 Max', ' 2311 Sum', ' 3719188 Ratio', '   3.22%)']", ,[' 331236  '],[' 16994   '],[' 303724  '],[' 134643  '],"[' 320449   (Atom=Atom', ' 89184 Body=Body', ' 61485 Other', ' 169780)']",[' Yes'],"[' 21123    (Eliminated', '    0 Frozen', ' 21123)']","[' 2169     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.46641'],[' 0'], ,[' 298.605'],[' 0'],[' 12.7065'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.07922e+08'],[' 1.67326e+08'],[' 0'],[' 1.65266e+10'],[' 0'],[' 0'],[' 1090 '],[' 1821 '],[' 2594 '],[' 3275 '],[' 3915 '],[' 4701 '],[' 5529 '],[' 6152 '],[' 8 '],[' 0 ']
Solving...,TA79, , , ,[' 1'],[' 7321+'],[' 3669'],"[' 614.084s (Solving', ' 567.04s 1st Model', ' 59.97s Unsat', ' 0.00s)']",[' 612.047s'], ,[' 150612215'],"[' 8653868  (Analyzed', ' 8309044)']","[' 17822    (Average', ' 466.22 Last', ' 96474)']",[' 9539.7  '],"[' 3669     (Average Length', ' 1886.07 Splits', ' 0)']","[' 8309044  (Deleted', ' 8187723)']","[' 526      (Ratio', '   0.01%)']","[' 16484    (Ratio', '   0.20%)']","[' 8309044  (Average Length', '   18.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8309044  (Average', ' 15.16 Max', ' 12326 Sum', ' 125991632)']","[' 8306232  (Average', ' 14.66 Max', ' 12326 Sum', ' 121769978 Ratio', '  96.65%)']","[' 2812     (Average', ' 1501.30 Max', ' 2755 Sum', ' 4221654 Ratio', '   3.35%)']", ,[' 328115  '],[' 16635   '],[' 301218  '],[' 131992  '],"[' 321895   (Atom=Atom', ' 89656 Body=Body', ' 61436 Other', ' 170803)']",[' Yes'],"[' 21433    (Eliminated', '    0 Frozen', ' 21433)']","[' 3092     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.92594'],[' 0'], ,[' 281.921'],[' 0'],[' 12.612'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.26634e+08'],[' 1.8969e+08'],[' 0'],[' 1.41603e+10'],[' 0'],[' 0'],[' 906 '],[' 1822 '],[' 2396 '],[' 3190 '],[' 3799 '],[' 4461 '],[' 5286 '],[' 5954 '],[' 8 '],[' 0 ']
Solving...,TA80, , , ,[' 1'],[' 6871+'],[' 3444'],"[' 612.496s (Solving', ' 569.34s 1st Model', ' 57.59s Unsat', ' 0.00s)']",[' 610.156s'], ,[' 155602144'],"[' 9918621  (Analyzed', ' 9614569)']","[' 20804    (Average', ' 462.15 Last', ' 35156)']",[' 9241.2  '],"[' 3444     (Average Length', ' 1780.09 Splits', ' 0)']","[' 9614569  (Deleted', ' 9483398)']","[' 678      (Ratio', '   0.01%)']","[' 17685    (Ratio', '   0.18%)']","[' 9614569  (Average Length', '   20.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9614569  (Average', ' 13.86 Max', ' 12016 Sum', ' 133256993)']","[' 9611290  (Average', ' 13.42 Max', ' 12016 Sum', ' 129055070 Ratio', '  96.85%)']","[' 3279     (Average', ' 1281.46 Max', ' 2498 Sum', ' 4201923 Ratio', '   3.15%)']", ,[' 330219  '],[' 17124   '],[' 303653  '],[' 134264  '],"[' 325120   (Atom=Atom', ' 90479 Body=Body', ' 62345 Other', ' 172296)']",[' Yes'],"[' 21516    (Eliminated', '    0 Frozen', ' 21516)']","[' 3219     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.23808'],[' 0'], ,[' 302.099'],[' 0'],[' 13.2262'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.37538e+08'],[' 1.96444e+08'],[' 0'],[' 1.74427e+10'],[' 0'],[' 0'],[' 1189 '],[' 1800 '],[' 2581 '],[' 3208 '],[' 3847 '],[' 4495 '],[' 5465 '],[' 5843 '],[' 8 '],[' 0 ']
