Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , , ,[' 7763+'],[' 3890'],"[' 619.149s (Solving', ' 559.40s 1st Model', ' 82.45s Unsat', ' 0.00s)']",[' 615.422s'], ,[' 183154009'],"[' 7654865  (Analyzed', ' 7334208)']","[' 16051    (Average', ' 456.93 Last', ' 143228)']",[' 10694.0 '],"[' 3891     (Average Length', ' 2064.26 Splits', ' 0)']","[' 7334208  (Deleted', ' 7228265)']","[' 806      (Ratio', '   0.01%)']","[' 20177    (Ratio', '   0.28%)']","[' 7334208  (Average Length', '   21.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7334208  (Average', ' 20.97 Max', ' 13878 Sum', ' 153831903)']","[' 7330929  (Average', ' 20.30 Max', ' 13878 Sum', ' 148858196 Ratio', '  96.77%)']","[' 3279     (Average', ' 1516.84 Max', ' 2968 Sum', ' 4973707 Ratio', '   3.23%)']", ,[' 356181  '],[' 19743   '],[' 327485  '],[' 157127  '],"[' 369816   (Atom=Atom', ' 102818 Body=Body', ' 72156 Other', ' 194842)']",[' Yes'],"[' 24371    (Eliminated', '    0 Frozen', ' 24371)']","[' 3812     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.94503'],[' 0'], ,[' 239.873'],[' 0'],[' 14.2776'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.73671e+08'],[' 2.36166e+08'],[' 0'],[' 1.15237e+10'],[' 0'],[' 0'],[' 1067 '],[' 2033 '],[' 2904 '],[' 3454 '],[' 4162 '],[' 5351 '],[' 5715 '],[' 7102 '],[' 8 '],[' 0 ']
Solving...,TA72, , , , ,[' 9283+'],[' 4650'],"[' 621.638s (Solving', ' 552.46s 1st Model', ' 81.38s Unsat', ' 0.00s)']",[' 618.297s'], ,[' 169352800'],"[' 6634498  (Analyzed', ' 6337922)']","[' 14441    (Average', ' 438.88 Last', ' 9080)']",[' 10284.1 '],"[' 4651     (Average Length', ' 2336.96 Splits', ' 0)']","[' 6337922  (Deleted', ' 6233843)']","[' 775      (Ratio', '   0.01%)']","[' 20517    (Ratio', '   0.32%)']","[' 6337922  (Average Length', '   19.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6337922  (Average', ' 21.76 Max', ' 13413 Sum', ' 137919309)']","[' 6334567  (Average', ' 20.79 Max', ' 13413 Sum', ' 131758111 Ratio', '  95.53%)']","[' 3355     (Average', ' 1836.42 Max', ' 3397 Sum', ' 6161198 Ratio', '   4.47%)']", ,[' 353485  '],[' 19259   '],[' 325522  '],[' 154764  '],"[' 367440   (Atom=Atom', ' 102378 Body=Body', ' 71186 Other', ' 193876)']",[' Yes'],"[' 24594    (Eliminated', '    0 Frozen', ' 24594)']","[' 4130     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.9286'],[' 0'], ,[' 214.354'],[' 0'],[' 13.2258'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.66955e+08'],[' 2.30244e+08'],[' 0'],[' 9.55547e+09'],[' 0'],[' 0'],[' 883 '],[' 1655 '],[' 2410 '],[' 3169 '],[' 3849 '],[' 4731 '],[' 5289 '],[' 7008 '],[' 8 '],[' 0 ']
Solving...,TA73, , , , ,[' 8223+'],[' 4120'],"[' 620.683s (Solving', ' 556.52s 1st Model', ' 77.50s Unsat', ' 0.00s)']",[' 617.172s'], ,[' 191429802'],"[' 7343011  (Analyzed', ' 6995470)']","[' 15290    (Average', ' 457.52 Last', ' 15866)']",[' 10492.2 '],"[' 4121     (Average Length', ' 2133.40 Splits', ' 0)']","[' 6995470  (Deleted', ' 6888742)']","[' 873      (Ratio', '   0.01%)']","[' 21080    (Ratio', '   0.30%)']","[' 6995470  (Average Length', '   21.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6995470  (Average', ' 23.27 Max', ' 13192 Sum', ' 162754327)']","[' 6991689  (Average', ' 22.33 Max', ' 13192 Sum', ' 156224674 Ratio', '  95.99%)']","[' 3781     (Average', ' 1726.96 Max', ' 3068 Sum', ' 6529653 Ratio', '   4.01%)']", ,[' 356339  '],[' 19724   '],[' 327919  '],[' 157151  '],"[' 369727   (Atom=Atom', ' 102911 Body=Body', ' 71965 Other', ' 194851)']",[' Yes'],"[' 24485    (Eliminated', '    0 Frozen', ' 24485)']","[' 4035     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.6788'],[' 0'], ,[' 224.608'],[' 0'],[' 13.9624'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.86016e+08'],[' 2.46685e+08'],[' 0'],[' 1.0364e+10'],[' 0'],[' 0'],[' 1084 '],[' 2099 '],[' 2878 '],[' 3327 '],[' 4227 '],[' 4924 '],[' 5720 '],[' 7031 '],[' 8 '],[' 0 ']
Solving...,TA74, , , , ,[' 8675+'],[' 4346'],"[' 622.527s (Solving', ' 551.70s 1st Model', ' 87.25s Unsat', ' 0.00s)']",[' 620.328s'], ,[' 160209843'],"[' 5861385  (Analyzed', ' 5547216)']","[' 12699    (Average', ' 436.82 Last', ' 12864)']",[' 9887.2  '],"[' 4347     (Average Length', ' 2207.10 Splits', ' 0)']","[' 5547216  (Deleted', ' 5447923)']","[' 947      (Ratio', '   0.02%)']","[' 20259    (Ratio', '   0.37%)']","[' 5547216  (Average Length', '   18.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5547216  (Average', ' 23.84 Max', ' 13166 Sum', ' 132220923)']","[' 5543704  (Average', ' 22.76 Max', ' 13166 Sum', ' 126238305 Ratio', '  95.48%)']","[' 3512     (Average', ' 1703.48 Max', ' 3222 Sum', ' 5982618 Ratio', '   4.52%)']", ,[' 351840  '],[' 19062   '],[' 323677  '],[' 153240  '],"[' 365493   (Atom=Atom', ' 101809 Body=Body', ' 70994 Other', ' 192690)']",[' Yes'],"[' 24311    (Eliminated', '    0 Frozen', ' 24311)']","[' 3661     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.2386'],[' 0'], ,[' 194.854'],[' 0'],[' 13.1454'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.55393e+08'],[' 2.21002e+08'],[' 0'],[' 7.24516e+09'],[' 0'],[' 0'],[' 957 '],[' 1691 '],[' 2422 '],[' 3215 '],[' 3846 '],[' 4629 '],[' 5188 '],[' 7478 '],[' 8 '],[' 0 ']
Solving...,TA75, , , ,[' 1'],[' 8077+'],[' 4047'],"[' 618.130s (Solving', ' 556.87s 1st Model', ' 96.15s Unsat', ' 0.00s)']",[' 616.531s'], ,[' 179583938'],"[' 6024334  (Analyzed', ' 5600389)']","[' 12635    (Average', ' 443.24 Last', ' 22691)']",[' 10361.9 '],"[' 4047     (Average Length', ' 2072.59 Splits', ' 0)']","[' 5600389  (Deleted', ' 5501313)']","[' 874      (Ratio', '   0.02%)']","[' 21126    (Ratio', '   0.38%)']","[' 5600389  (Average Length', '   22.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5600389  (Average', ' 26.78 Max', ' 14131 Sum', ' 149983102)']","[' 5597242  (Average', ' 25.94 Max', ' 14131 Sum', ' 145287933 Ratio', '  96.87%)']","[' 3147     (Average', ' 1491.95 Max', ' 3056 Sum', ' 4695169 Ratio', '   3.13%)']", ,[' 358716  '],[' 19897   '],[' 329718  '],[' 158683  '],"[' 371248   (Atom=Atom', ' 103312 Body=Body', ' 72420 Other', ' 195516)']",[' Yes'],"[' 24441    (Eliminated', '    0 Frozen', ' 24441)']","[' 3074     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.0816'],[' 0'], ,[' 214.107'],[' 0'],[' 14.1006'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.64848e+08'],[' 2.30726e+08'],[' 0'],[' 8.66478e+09'],[' 0'],[' 0'],[' 1175 '],[' 1824 '],[' 2764 '],[' 3466 '],[' 3968 '],[' 4799 '],[' 5698 '],[' 6308 '],[' 8 '],[' 0 ']
Solving...,TA76, , , ,[' 1'],[' 8617+'],[' 4317'],"[' 617.149s (Solving', ' 557.66s 1st Model', ' 80.64s Unsat', ' 0.00s)']",[' 615.422s'], ,[' 195376825'],"[' 7496157  (Analyzed', ' 7133898)']","[' 15756    (Average', ' 452.77 Last', ' 34269)']",[' 10068.5 '],"[' 4317     (Average Length', ' 2197.04 Splits', ' 0)']","[' 7133898  (Deleted', ' 7023216)']","[' 818      (Ratio', '   0.01%)']","[' 26361    (Ratio', '   0.37%)']","[' 7133898  (Average Length', '   20.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7133898  (Average', ' 23.26 Max', ' 13008 Sum', ' 165949443)']","[' 7130671  (Average', ' 22.52 Max', ' 13008 Sum', ' 160633326 Ratio', '  96.80%)']","[' 3227     (Average', ' 1647.39 Max', ' 3179 Sum', ' 5316117 Ratio', '   3.20%)']", ,[' 353650  '],[' 19237   '],[' 325215  '],[' 154940  '],"[' 365228   (Atom=Atom', ' 101765 Body=Body', ' 71015 Other', ' 192448)']",[' Yes'],"[' 24262    (Eliminated', '    0 Frozen', ' 24262)']","[' 5188     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.7775'],[' 0'], ,[' 220.773'],[' 0'],[' 13.8105'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.23868e+08'],[' 2.79605e+08'],[' 0'],[' 1.05658e+10'],[' 0'],[' 0'],[' 1151 '],[' 1777 '],[' 2563 '],[' 3095 '],[' 3799 '],[' 4614 '],[' 5377 '],[' 6268 '],[' 8 '],[' 0 ']
Solving...,TA77, , , ,[' 1'],[' 9139+'],[' 4577'],"[' 620.147s (Solving', ' 555.93s 1st Model', ' 84.53s Unsat', ' 0.00s)']",[' 618.297s'], ,[' 193218325'],"[' 9217674  (Analyzed', ' 8902050)']","[' 18350    (Average', ' 485.13 Last', ' 214677)']",[' 10640.2 '],"[' 4577     (Average Length', ' 2287.64 Splits', ' 0)']","[' 8902050  (Deleted', ' 8784590)']","[' 860      (Ratio', '   0.01%)']","[' 18683    (Ratio', '   0.21%)']","[' 8902050  (Average Length', '   20.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8902050  (Average', ' 17.88 Max', ' 14146 Sum', ' 159134859)']","[' 8898951  (Average', ' 17.33 Max', ' 14146 Sum', ' 154230459 Ratio', '  96.92%)']","[' 3099     (Average', ' 1582.58 Max', ' 3386 Sum', ' 4904400 Ratio', '   3.08%)']", ,[' 352324  '],[' 19164   '],[' 324375  '],[' 153798  '],"[' 366314   (Atom=Atom', ' 102107 Body=Body', ' 71004 Other', ' 193203)']",[' Yes'],"[' 24452    (Eliminated', '    0 Frozen', ' 24452)']","[' 3267     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.086'],[' 0'], ,[' 217.112'],[' 0'],[' 13.0264'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.9074e+08'],[' 2.4595e+08'],[' 0'],[' 1.09997e+10'],[' 0'],[' 0'],[' 1116 '],[' 1711 '],[' 2593 '],[' 3230 '],[' 3854 '],[' 4471 '],[' 5288 '],[' 6116 '],[' 8 '],[' 0 ']
Solving...,TA78, , , , ,[' 8493+'],[' 4255'],"[' 620.051s (Solving', ' 558.44s 1st Model', ' 75.99s Unsat', ' 0.00s)']",[' 618.219s'], ,[' 180694616'],"[' 9182660  (Analyzed', ' 8812197)']","[' 18690    (Average', ' 471.49 Last', ' 74713)']",[' 10863.4 '],"[' 4256     (Average Length', ' 2194.69 Splits', ' 0)']","[' 8812197  (Deleted', ' 8701766)']","[' 778      (Ratio', '   0.01%)']","[' 16529    (Ratio', '   0.19%)']","[' 8812197  (Average Length', '   20.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8812197  (Average', ' 16.86 Max', ' 14214 Sum', ' 148617699)']","[' 8808887  (Average', ' 16.22 Max', ' 14214 Sum', ' 142964722 Ratio', '  96.20%)']","[' 3310     (Average', ' 1707.85 Max', ' 3162 Sum', ' 5652977 Ratio', '   3.80%)']", ,[' 356526  '],[' 19575   '],[' 327733  '],[' 157424  '],"[' 365566   (Atom=Atom', ' 101807 Body=Body', ' 71040 Other', ' 192719)']",[' Yes'],"[' 24322    (Eliminated', '    0 Frozen', ' 24322)']","[' 3089     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.5491'],[' 0'], ,[' 239.081'],[' 0'],[' 13.0291'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.66537e+08'],[' 2.25497e+08'],[' 0'],[' 1.22846e+10'],[' 0'],[' 0'],[' 1090 '],[' 1821 '],[' 2543 '],[' 3247 '],[' 3919 '],[' 4677 '],[' 5472 '],[' 6479 '],[' 8 '],[' 0 ']
Solving...,TA79, , , ,[' 1'],[' 8347+'],[' 4182'],"[' 615.157s (Solving', ' 560.33s 1st Model', ' 81.78s Unsat', ' 0.00s)']",[' 613.094s'], ,[' 204024631'],"[' 7726365  (Analyzed', ' 7452220)']","[' 16095    (Average', ' 463.01 Last', ' 16083)']",[' 10095.4 '],"[' 4182     (Average Length', ' 2142.74 Splits', ' 0)']","[' 7452220  (Deleted', ' 7335785)']","[' 775      (Ratio', '   0.01%)']","[' 24828    (Ratio', '   0.33%)']","[' 7452220  (Average Length', '   18.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7452220  (Average', ' 23.58 Max', ' 13239 Sum', ' 175703695)']","[' 7448937  (Average', ' 22.82 Max', ' 13239 Sum', ' 170096754 Ratio', '  96.81%)']","[' 3283     (Average', ' 1707.87 Max', ' 3099 Sum', ' 5606941 Ratio', '   3.19%)']", ,[' 351628  '],[' 19117   '],[' 323244  '],[' 153034  '],"[' 365594   (Atom=Atom', ' 101784 Body=Body', ' 71057 Other', ' 192753)']",[' Yes'],"[' 24157    (Eliminated', '    0 Frozen', ' 24157)']","[' 4403     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.0244'],[' 0'], ,[' 233.537'],[' 0'],[' 14.2705'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.13132e+08'],[' 2.70161e+08'],[' 0'],[' 1.10901e+10'],[' 0'],[' 0'],[' 906 '],[' 1822 '],[' 2396 '],[' 3200 '],[' 3832 '],[' 4470 '],[' 5265 '],[' 5965 '],[' 8 '],[' 0 ']
Solving...,TA80, , , , ,[' 8923+'],[' 4470'],"[' 619.896s (Solving', ' 556.65s 1st Model', ' 90.03s Unsat', ' 0.00s)']",[' 618.063s'], ,[' 195082631'],"[' 7145409  (Analyzed', ' 6852431)']","[' 15409    (Average', ' 444.70 Last', ' 14205)']",[' 10053.8 '],"[' 4471     (Average Length', ' 2247.56 Splits', ' 0)']","[' 6852431  (Deleted', ' 6733497)']","[' 848      (Ratio', '   0.01%)']","[' 24867    (Ratio', '   0.36%)']","[' 6852431  (Average Length', '   21.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6852431  (Average', ' 24.11 Max', ' 12945 Sum', ' 165206163)']","[' 6849017  (Average', ' 23.27 Max', ' 12945 Sum', ' 159480759 Ratio', '  96.53%)']","[' 3414     (Average', ' 1677.04 Max', ' 3260 Sum', ' 5725404 Ratio', '   3.47%)']", ,[' 352372  '],[' 19307   '],[' 324518  '],[' 153890  '],"[' 368235   (Atom=Atom', ' 102559 Body=Body', ' 71440 Other', ' 194236)']",[' Yes'],"[' 24479    (Eliminated', '    0 Frozen', ' 24479)']","[' 4653     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.9451'],[' 0'], ,[' 218.409'],[' 0'],[' 13.8373'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.08689e+08'],[' 2.66384e+08'],[' 0'],[' 1.04662e+10'],[' 0'],[' 0'],[' 1189 '],[' 1800 '],[' 2448 '],[' 3091 '],[' 3848 '],[' 4450 '],[' 5184 '],[' 5933 '],[' 8 '],[' 0 ']
