Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , ,[' 1'],[' 4065+'],[' 2042'],"[' 607.805s (Solving', ' 582.97s 1st Model', ' 26.92s Unsat', ' 0.01s)']",[' 605.016s'], ,[' 99342619'],"[' 11775778 (Analyzed', ' 11602504)']","[' 24439    (Average', ' 474.75 Last', ' 86942)']",[' 6924.7  '],"[' 2042     (Average Length', ' 1148.11 Splits', ' 0)']","[' 11602504 (Deleted', ' 11472742)']","[' 193      (Ratio', '   0.00%)']","[' 12101    (Ratio', '   0.10%)']","[' 11602504 (Average Length', '   18.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11602504 (Average', '  7.72 Max', ' 9626 Sum', ' 89566907)']","[' 11599961 (Average', '  7.48 Max', ' 9265 Sum', ' 86785240 Ratio', '  96.89%)']","[' 2543     (Average', ' 1093.85 Max', ' 1611 Sum', ' 2781667 Ratio', '   3.11%)']", ,[' 292179  '],[' 13244   '],[' 268927  '],[' 103741  '],"[' 254713   (Atom=Atom', ' 71461 Body=Body', ' 47954 Other', ' 135298)']",[' Yes'],"[' 16634    (Eliminated', '    0 Frozen', ' 16634)']","[' 1933     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.79525'],[' 0'], ,[' 375.645'],[' 0'],[' 11.6042'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.64757e+08'],[' 1.24633e+08'],[' 0'],[' 2.04231e+10'],[' 0'],[' 0'],[' 1001 '],[' 1809 '],[' 2815 '],[' 3256 '],[' 3754 '],[' 4962 '],[' 5444 '],[' 5849 '],[' 6424 '],[' 9 '],[' 0 ']
Solving...,TA72, , , ,[' 1'],[' 4793+'],[' 2406'],"[' 608.680s (Solving', ' 579.60s 1st Model', ' 29.15s Unsat', ' 0.00s)']",[' 607.016s'], ,[' 82938286'],"[' 11806619 (Analyzed', ' 11619250)']","[' 24100    (Average', ' 482.13 Last', ' 79323)']",[' 7189.7  '],"[' 2406     (Average Length', ' 1305.18 Splits', ' 0)']","[' 11619250 (Deleted', ' 11477961)']","[' 231      (Ratio', '   0.00%)']","[' 10022    (Ratio', '   0.09%)']","[' 11619250 (Average Length', '   17.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11619250 (Average', '  6.09 Max', ' 9910 Sum', ' 70706267)']","[' 11616933 (Average', '  5.86 Max', ' 9594 Sum', ' 68097112 Ratio', '  96.31%)']","[' 2317     (Average', ' 1126.09 Max', ' 2242 Sum', ' 2609155 Ratio', '   3.69%)']", ,[' 293289  '],[' 12956   '],[' 269322  '],[' 103839  '],"[' 252691   (Atom=Atom', ' 71057 Body=Body', ' 47344 Other', ' 134290)']",[' Yes'],"[' 16759    (Eliminated', '    0 Frozen', ' 16759)']","[' 1720     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.63085'],[' 0'], ,[' 368.742'],[' 0'],[' 11.1729'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.38802e+08'],[' 1.03082e+08'],[' 0'],[' 2.01395e+10'],[' 0'],[' 0'],[' 711 '],[' 1653 '],[' 2231 '],[' 2899 '],[' 3468 '],[' 4138 '],[' 4817 '],[' 5337 '],[' 6054 '],[' 9 '],[' 0 ']
Solving...,TA73, , , ,[' 1'],[' 3893+'],[' 1956'],"[' 607.830s (Solving', ' 582.09s 1st Model', ' 28.07s Unsat', ' 0.00s)']",[' 601.766s'], ,[' 96059790'],"[' 13080539 (Analyzed', ' 12988188)']","[' 27044    (Average', ' 480.26 Last', ' 81805)']",[' 7413.1  '],"[' 1956     (Average Length', ' 1110.24 Splits', ' 0)']","[' 12988188 (Deleted', ' 12838321)']","[' 165      (Ratio', '   0.00%)']","[' 10857    (Ratio', '   0.08%)']","[' 12988188 (Average Length', '   19.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12988188 (Average', '  6.54 Max', ' 10115 Sum', ' 84888249)']","[' 12986230 (Average', '  6.39 Max', ' 10115 Sum', ' 82979439 Ratio', '  97.75%)']","[' 1958     (Average', ' 974.88 Max', ' 1570 Sum', ' 1908810 Ratio', '   2.25%)']", ,[' 293444  '],[' 13245   '],[' 269749  '],[' 104400  '],"[' 253788   (Atom=Atom', ' 71233 Body=Body', ' 47875 Other', ' 134680)']",[' Yes'],"[' 16527    (Eliminated', '    0 Frozen', ' 16527)']","[' 1871     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.09582'],[' 0'], ,[' 374.438'],[' 0'],[' 11.7146'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.54984e+08'],[' 1.13889e+08'],[' 0'],[' 2.06012e+10'],[' 0'],[' 0'],[' 1054 '],[' 1926 '],[' 2566 '],[' 3144 '],[' 3908 '],[' 4485 '],[' 5211 '],[' 5874 '],[' 6483 '],[' 9 '],[' 0 ']
Solving...,TA74, , , ,[' 1'],[' 4613+'],[' 2316'],"[' 609.478s (Solving', ' 579.82s 1st Model', ' 31.86s Unsat', ' 0.00s)']",[' 606.766s'], ,[' 85014572'],"[' 12514277 (Analyzed', ' 12215399)']","[' 25320    (Average', ' 482.44 Last', ' 175618)']",[' 7487.9  '],"[' 2316     (Average Length', ' 1262.64 Splits', ' 0)']","[' 12215399 (Deleted', ' 12064017)']","[' 168      (Ratio', '   0.00%)']","[' 10301    (Ratio', '   0.08%)']","[' 12215399 (Average Length', '   16.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12215399 (Average', '  5.90 Max', ' 9695 Sum', ' 72069379)']","[' 12213339 (Average', '  5.71 Max', ' 9695 Sum', ' 69763446 Ratio', '  96.80%)']","[' 2060     (Average', ' 1119.38 Max', ' 1782 Sum', ' 2305933 Ratio', '   3.20%)']", ,[' 293445  '],[' 12929   '],[' 269332  '],[' 103840  '],"[' 251768   (Atom=Atom', ' 70738 Body=Body', ' 47187 Other', ' 133843)']",[' Yes'],"[' 16653    (Eliminated', '    0 Frozen', ' 16653)']","[' 1666     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.85433'],[' 0'], ,[' 355.897'],[' 0'],[' 10.5454'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.42666e+08'],[' 1.05197e+08'],[' 0'],[' 1.87546e+10'],[' 0'],[' 0'],[' 885 '],[' 1641 '],[' 2293 '],[' 2795 '],[' 3485 '],[' 4246 '],[' 4833 '],[' 5518 '],[' 6005 '],[' 9 '],[' 0 ']
Solving...,TA75, , , ,[' 1'],[' 4165+'],[' 2092'],"[' 607.524s (Solving', ' 584.27s 1st Model', ' 23.53s Unsat', ' 0.00s)']",[' 606.313s'], ,[' 90415576'],"[' 12846136 (Analyzed', ' 12616960)']","[' 26193    (Average', ' 481.69 Last', ' 91598)']",[' 7028.0  '],"[' 2092     (Average Length', ' 1163.19 Splits', ' 0)']","[' 12616960 (Deleted', ' 12473661)']","[' 186      (Ratio', '   0.00%)']","[' 10731    (Ratio', '   0.09%)']","[' 12616960 (Average Length', '   18.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12616960 (Average', '  6.31 Max', ' 10798 Sum', ' 79593479)']","[' 12614745 (Average', '  6.13 Max', ' 10798 Sum', ' 77302274 Ratio', '  97.12%)']","[' 2215     (Average', ' 1034.40 Max', ' 1677 Sum', ' 2291205 Ratio', '   2.88%)']", ,[' 295058  '],[' 13228   '],[' 270761  '],[' 104866  '],"[' 256292   (Atom=Atom', ' 71949 Body=Body', ' 48316 Other', ' 136027)']",[' Yes'],"[' 16813    (Eliminated', '    0 Frozen', ' 16813)']","[' 1866     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.46621'],[' 0'], ,[' 391.111'],[' 0'],[' 11.0782'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.50795e+08'],[' 1.11072e+08'],[' 0'],[' 2.32585e+10'],[' 0'],[' 0'],[' 994 '],[' 1460 '],[' 2342 '],[' 3198 '],[' 3721 '],[' 4297 '],[' 5016 '],[' 5741 '],[' 6383 '],[' 9 '],[' 0 ']
Solving...,TA76, , , ,[' 1'],[' 4073+'],[' 2046'],"[' 607.399s (Solving', ' 583.69s 1st Model', ' 27.15s Unsat', ' 0.00s)']",[' 604.719s'], ,[' 88048293'],"[' 13763090 (Analyzed', ' 13547728)']","[' 27252    (Average', ' 497.13 Last', ' 21356)']",[' 6942.5  '],"[' 2046     (Average Length', ' 1135.48 Splits', ' 0)']","[' 13547728 (Deleted', ' 13386370)']","[' 235      (Ratio', '   0.00%)']","[' 9945     (Ratio', '   0.07%)']","[' 13547728 (Average Length', '   18.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13547728 (Average', '  5.73 Max', ' 10835 Sum', ' 77620468)']","[' 13545411 (Average', '  5.56 Max', ' 10835 Sum', ' 75346709 Ratio', '  97.07%)']","[' 2317     (Average', ' 981.34 Max', ' 1615 Sum', ' 2273759 Ratio', '   2.93%)']", ,[' 292917  '],[' 12894   '],[' 268467  '],[' 103369  '],"[' 251015   (Atom=Atom', ' 70530 Body=Body', ' 47242 Other', ' 133243)']",[' Yes'],"[' 16416    (Eliminated', '    0 Frozen', ' 16416)']","[' 1545     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.75869'],[' 0'], ,[' 382.484'],[' 0'],[' 10.3578'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.46732e+08'],[' 1.06377e+08'],[' 0'],[' 2.2033e+10'],[' 0'],[' 0'],[' 1052 '],[' 1625 '],[' 2408 '],[' 2861 '],[' 3431 '],[' 4334 '],[' 4705 '],[' 5457 '],[' 6143 '],[' 9 '],[' 0 ']
Solving...,TA77, , , ,[' 1'],[' 4527+'],[' 2273'],"[' 608.028s (Solving', ' 582.63s 1st Model', ' 26.98s Unsat', ' 0.00s)']",[' 606.266s'], ,[' 88269783'],"[' 13764441 (Analyzed', ' 13517061)']","[' 28143    (Average', ' 480.30 Last', ' 91359)']",[' 7064.7  '],"[' 2273     (Average Length', ' 1248.44 Splits', ' 0)']","[' 13517061 (Deleted', ' 13361425)']","[' 198      (Ratio', '   0.00%)']","[' 11638    (Ratio', '   0.09%)']","[' 13517061 (Average Length', '   17.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13517061 (Average', '  5.64 Max', ' 11401 Sum', ' 76266141)']","[' 13515059 (Average', '  5.49 Max', ' 9879 Sum', ' 74175210 Ratio', '  97.26%)']","[' 2002     (Average', ' 1044.42 Max', ' 1830 Sum', ' 2090931 Ratio', '   2.74%)']", ,[' 292650  '],[' 12829   '],[' 268504  '],[' 103242  '],"[' 250014   (Atom=Atom', ' 70299 Body=Body', ' 46883 Other', ' 132832)']",[' Yes'],"[' 16452    (Eliminated', '    0 Frozen', ' 16452)']","[' 2077     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.01565'],[' 0'], ,[' 377.537'],[' 0'],[' 10.2334'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.52387e+08'],[' 1.09546e+08'],[' 0'],[' 2.15092e+10'],[' 0'],[' 0'],[' 941 '],[' 1686 '],[' 2344 '],[' 3034 '],[' 3700 '],[' 4070 '],[' 4755 '],[' 5431 '],[' 6047 '],[' 9 '],[' 0 ']
Solving...,TA78, , , ,[' 1'],[' 3715+'],[' 1867'],"[' 607.064s (Solving', ' 586.21s 1st Model', ' 22.01s Unsat', ' 0.00s)']",[' 605.781s'], ,[' 83072242'],"[' 13872980 (Analyzed', ' 13710910)']","[' 28916    (Average', ' 474.16 Last', ' 29394)']",[' 6965.5  '],"[' 1867     (Average Length', ' 1060.05 Splits', ' 0)']","[' 13710910 (Deleted', ' 13547595)']","[' 188      (Ratio', '   0.00%)']","[' 10273    (Ratio', '   0.07%)']","[' 13710910 (Average Length', '   17.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13710910 (Average', '  5.33 Max', ' 9920 Sum', ' 73093240)']","[' 13708935 (Average', '  5.20 Max', ' 9920 Sum', ' 71257227 Ratio', '  97.49%)']","[' 1975     (Average', ' 929.63 Max', ' 1519 Sum', ' 1836013 Ratio', '   2.51%)']", ,[' 292372  '],[' 12891   '],[' 268028  '],[' 102987  '],"[' 249789   (Atom=Atom', ' 70156 Body=Body', ' 47099 Other', ' 132534)']",[' Yes'],"[' 16229    (Eliminated', '    0 Frozen', ' 16229)']","[' 1643     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.09037'],[' 0'], ,[' 399.824'],[' 0'],[' 10.7158'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.41431e+08'],[' 1.01193e+08'],[' 0'],[' 2.34128e+10'],[' 0'],[' 0'],[' 913 '],[' 1721 '],[' 2352 '],[' 3030 '],[' 3521 '],[' 4395 '],[' 4899 '],[' 5582 '],[' 6138 '],[' 9 '],[' 0 ']
Solving...,TA79, , , ,[' 1'],[' 4393+'],[' 2206'],"[' 607.352s (Solving', ' 583.08s 1st Model', ' 25.14s Unsat', ' 0.00s)']",[' 605.313s'], ,[' 91634956'],"[' 12899730 (Analyzed', ' 12715162)']","[' 26947    (Average', ' 471.86 Last', ' 15135)']",[' 7323.8  '],"[' 2206     (Average Length', ' 1218.88 Splits', ' 0)']","[' 12715162 (Deleted', ' 12556409)']","[' 231      (Ratio', '   0.00%)']","[' 10568    (Ratio', '   0.08%)']","[' 12715162 (Average Length', '   17.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12715162 (Average', '  6.24 Max', ' 9925 Sum', ' 79359920)']","[' 12713180 (Average', '  6.09 Max', ' 9925 Sum', ' 77399516 Ratio', '  97.53%)']","[' 1982     (Average', ' 989.10 Max', ' 1740 Sum', ' 1960404 Ratio', '   2.47%)']", ,[' 292756  '],[' 12888   '],[' 268702  '],[' 103228  '],"[' 251503   (Atom=Atom', ' 70657 Body=Body', ' 47182 Other', ' 133664)']",[' Yes'],"[' 16559    (Eliminated', '    0 Frozen', ' 16559)']","[' 1763     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.87444'],[' 0'], ,[' 388.333'],[' 0'],[' 11.1766'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.50253e+08'],[' 1.11243e+08'],[' 0'],[' 2.25396e+10'],[' 0'],[' 0'],[' 830 '],[' 1780 '],[' 2161 '],[' 2907 '],[' 3561 '],[' 4053 '],[' 4625 '],[' 5315 '],[' 6023 '],[' 9 '],[' 0 ']
Solving...,TA80, , , ,[' 1'],[' 4845+'],[' 2432'],"[' 607.812s (Solving', ' 580.32s 1st Model', ' 30.25s Unsat', ' 0.00s)']",[' 605.313s'], ,[' 102373789'],"[' 12569913 (Analyzed', ' 12418019)']","[' 26174    (Average', ' 474.44 Last', ' 11521)']",[' 7107.4  '],"[' 2432     (Average Length', ' 1289.11 Splits', ' 0)']","[' 12418019 (Deleted', ' 12275976)']","[' 259      (Ratio', '   0.00%)']","[' 12297    (Ratio', '   0.10%)']","[' 12418019 (Average Length', '   18.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12418019 (Average', '  7.26 Max', ' 9622 Sum', ' 90209911)']","[' 12415552 (Average', '  7.04 Max', ' 9622 Sum', ' 87454410 Ratio', '  96.95%)']","[' 2467     (Average', ' 1116.94 Max', ' 1828 Sum', ' 2755501 Ratio', '   3.05%)']", ,[' 294096  '],[' 13301   '],[' 270729  '],[' 104657  '],"[' 257967   (Atom=Atom', ' 72453 Body=Body', ' 48436 Other', ' 137078)']",[' Yes'],"[' 17063    (Eliminated', '    0 Frozen', ' 17063)']","[' 2039     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.49027'],[' 0'], ,[' 363.37'],[' 0'],[' 10.5701'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.67043e+08'],[' 1.25971e+08'],[' 0'],[' 2.04706e+10'],[' 0'],[' 0'],[' 1061 '],[' 1662 '],[' 2318 '],[' 2936 '],[' 3508 '],[' 4280 '],[' 4701 '],[' 5466 '],[' 5882 '],[' 9 '],[' 0 ']
