Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , ,[' 1'],[' 3295+'],[' 1658'],"[' 606.598s (Solving', ' 586.96s 1st Model', ' 18.08s Unsat', ' 0.00s)']",[' 601.188s'], ,[' 86721966'],"[' 15788473 (Analyzed', ' 15604273)']","[' 31492    (Average', ' 495.50 Last', ' 120921)']",[' 6626.7  '],"[' 1658     (Average Length', ' 964.04 Splits', ' 0)']","[' 15604273 (Deleted', ' 15418233)']","[' 169      (Ratio', '   0.00%)']","[' 10087    (Ratio', '   0.06%)']","[' 15604273 (Average Length', '   17.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15604273 (Average', '  5.01 Max', ' 8914 Sum', ' 78165295)']","[' 15602219 (Average', '  4.90 Max', ' 8914 Sum', ' 76458727 Ratio', '  97.82%)']","[' 2054     (Average', ' 830.85 Max', ' 1291 Sum', ' 1706568 Ratio', '   2.18%)']", ,[' 281463  '],[' 11995   '],[' 259837  '],[' 96143   '],"[' 234124   (Atom=Atom', ' 66166 Body=Body', ' 44163 Other', ' 123795)']",[' Yes'],"[' 15155    (Eliminated', '    0 Frozen', ' 15155)']","[' 1732     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.00314'],[' 0'], ,[' 395.927'],[' 0'],[' 10.6687'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.48932e+08'],[' 1.04186e+08'],[' 0'],[' 2.31801e+10'],[' 0'],[' 0'],[' 906 '],[' 1738 '],[' 2647 '],[' 3038 '],[' 3440 '],[' 4078 '],[' 4936 '],[' 5497 '],[' 5837 '],[' 6343 '],[' 10 '],[' 0 ']
Solving...,TA72, , , ,[' 1'],[' 3637+'],[' 1829'],"[' 606.620s (Solving', ' 585.56s 1st Model', ' 20.94s Unsat', ' 0.00s)']",[' 602.250s'], ,[' 71779302'],"[' 13715596 (Analyzed', ' 13531884)']","[' 29335    (Average', ' 461.29 Last', ' 54991)']",[' 6676.8  '],"[' 1829     (Average Length', ' 1032.39 Splits', ' 0)']","[' 13531884 (Deleted', ' 13358918)']","[' 152      (Ratio', '   0.00%)']","[' 9211     (Ratio', '   0.07%)']","[' 13531884 (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13531884 (Average', '  4.60 Max', ' 8964 Sum', ' 62312127)']","[' 13530053 (Average', '  4.48 Max', ' 8964 Sum', ' 60684815 Ratio', '  97.39%)']","[' 1831     (Average', ' 888.76 Max', ' 1388 Sum', ' 1627312 Ratio', '   2.61%)']", ,[' 281237  '],[' 11666   '],[' 258877  '],[' 95534   '],"[' 230774   (Atom=Atom', ' 65371 Body=Body', ' 43395 Other', ' 122008)']",[' Yes'],"[' 15084    (Eliminated', '    0 Frozen', ' 15084)']","[' 1390     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.18614'],[' 0'], ,[' 398.49'],[' 0'],[' 10.9667'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.25981e+08'],[' 8.86673e+07'],[' 0'],[' 2.21254e+10'],[' 0'],[' 0'],[' 690 '],[' 1430 '],[' 1982 '],[' 2587 '],[' 3434 '],[' 3702 '],[' 4447 '],[' 4889 '],[' 5514 '],[' 5938 '],[' 10 '],[' 0 ']
Solving...,TA73, , , ,[' 1'],[' 3427+'],[' 1724'],"[' 606.723s (Solving', ' 585.53s 1st Model', ' 19.45s Unsat', ' 0.00s)']",[' 601.781s'], ,[' 74966877'],"[' 13842365 (Analyzed', ' 13698136)']","[' 28630    (Average', ' 478.45 Last', ' 87047)']",[' 6550.6  '],"[' 1724     (Average Length', ' 996.79 Splits', ' 0)']","[' 13698136 (Deleted', ' 13527461)']","[' 213      (Ratio', '   0.00%)']","[' 9642     (Ratio', '   0.07%)']","[' 13698136 (Average Length', '   17.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13698136 (Average', '  4.84 Max', ' 9070 Sum', ' 66300403)']","[' 13696177 (Average', '  4.72 Max', ' 8873 Sum', ' 64611991 Ratio', '  97.45%)']","[' 1959     (Average', ' 861.87 Max', ' 1406 Sum', ' 1688412 Ratio', '   2.55%)']", ,[' 280907  '],[' 11821   '],[' 259167  '],[' 95578   '],"[' 231084   (Atom=Atom', ' 65400 Body=Body', ' 43544 Other', ' 122140)']",[' Yes'],"[' 15028    (Eliminated', '    0 Frozen', ' 15028)']","[' 1582     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.03935'],[' 0'], ,[' 395.704'],[' 0'],[' 10.0317'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.32613e+08'],[' 9.27772e+07'],[' 0'],[' 2.16423e+10'],[' 0'],[' 0'],[' 1054 '],[' 1763 '],[' 2317 '],[' 2982 '],[' 3376 '],[' 4044 '],[' 4526 '],[' 5145 '],[' 5840 '],[' 6419 '],[' 10 '],[' 0 ']
Solving...,TA74, , , ,[' 1'],[' 3409+'],[' 1715'],"[' 606.678s (Solving', ' 585.36s 1st Model', ' 19.56s Unsat', ' 0.00s)']",[' 604.641s'], ,[' 70355270'],"[' 14409039 (Analyzed', ' 14255364)']","[' 29383    (Average', ' 485.16 Last', ' 101286)']",[' 6718.7  '],"[' 1715     (Average Length', ' 993.59 Splits', ' 0)']","[' 14255364 (Deleted', ' 14083074)']","[' 177      (Ratio', '   0.00%)']","[' 9680     (Ratio', '   0.07%)']","[' 14255364 (Average Length', '   16.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14255364 (Average', '  4.30 Max', ' 9236 Sum', ' 61232899)']","[' 14253478 (Average', '  4.19 Max', ' 8928 Sum', ' 59788434 Ratio', '  97.64%)']","[' 1886     (Average', ' 765.89 Max', ' 1338 Sum', ' 1444465 Ratio', '   2.36%)']", ,[' 280691  '],[' 11690   '],[' 258615  '],[' 95107   '],"[' 230659   (Atom=Atom', ' 65283 Body=Body', ' 43447 Other', ' 121929)']",[' Yes'],"[' 14986    (Eliminated', '    0 Frozen', ' 14986)']","[' 1591     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.19581'],[' 0'], ,[' 394.39'],[' 0'],[' 10.8347'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.28745e+08'],[' 8.88029e+07'],[' 0'],[' 2.20821e+10'],[' 0'],[' 0'],[' 885 '],[' 1483 '],[' 2121 '],[' 2685 '],[' 3528 '],[' 3880 '],[' 4537 '],[' 4936 '],[' 5516 '],[' 6100 '],[' 10 '],[' 0 ']
Solving...,TA75, , , ,[' 1'],[' 3535+'],[' 1778'],"[' 606.913s (Solving', ' 585.19s 1st Model', ' 23.18s Unsat', ' 0.00s)']",[' 605.047s'], ,[' 77185590'],"[' 15009358 (Analyzed', ' 14786815)']","[' 31534    (Average', ' 468.92 Last', ' 13328)']",[' 6477.1  '],"[' 1778     (Average Length', ' 1010.62 Splits', ' 0)']","[' 14786815 (Deleted', ' 14604094)']","[' 183      (Ratio', '   0.00%)']","[' 10573    (Ratio', '   0.07%)']","[' 14786815 (Average Length', '   17.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14786815 (Average', '  4.62 Max', ' 8873 Sum', ' 68322451)']","[' 14784838 (Average', '  4.50 Max', ' 8873 Sum', ' 66568825 Ratio', '  97.43%)']","[' 1977     (Average', ' 887.01 Max', ' 1433 Sum', ' 1753626 Ratio', '   2.57%)']", ,[' 283278  '],[' 11936   '],[' 260796  '],[' 96905   '],"[' 234329   (Atom=Atom', ' 66300 Body=Body', ' 44171 Other', ' 123858)']",[' Yes'],"[' 15273    (Eliminated', '    0 Frozen', ' 15273)']","[' 1598     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.18773'],[' 0'], ,[' 389.952'],[' 0'],[' 9.89417'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.35815e+08'],[' 9.30873e+07'],[' 0'],[' 2.197e+10'],[' 0'],[' 0'],[' 904 '],[' 1352 '],[' 2114 '],[' 2948 '],[' 3420 '],[' 3923 '],[' 4357 '],[' 5025 '],[' 5906 '],[' 6300 '],[' 10 '],[' 0 ']
Solving...,TA76, , , ,[' 1'],[' 3691+'],[' 1856'],"[' 607.066s (Solving', ' 585.64s 1st Model', ' 21.26s Unsat', ' 0.00s)']",[' 604.953s'], ,[' 66589542'],"[' 13826161 (Analyzed', ' 13651719)']","[' 29255    (Average', ' 466.65 Last', ' 20679)']",[' 6441.6  '],"[' 1856     (Average Length', ' 1051.08 Splits', ' 0)']","[' 13651719 (Deleted', ' 13481079)']","[' 141      (Ratio', '   0.00%)']","[' 7766     (Ratio', '   0.06%)']","[' 13651719 (Average Length', '   15.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13651719 (Average', '  4.21 Max', ' 10008 Sum', ' 57489990)']","[' 13650054 (Average', '  4.09 Max', ' 9167 Sum', ' 55845515 Ratio', '  97.14%)']","[' 1665     (Average', ' 987.67 Max', ' 1584 Sum', ' 1644475 Ratio', '   2.86%)']", ,[' 281193  '],[' 11599   '],[' 258712  '],[' 95367   '],"[' 230266   (Atom=Atom', ' 65255 Body=Body', ' 43309 Other', ' 121702)']",[' Yes'],"[' 15062    (Eliminated', '    0 Frozen', ' 15062)']","[' 1083     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.11396'],[' 0'], ,[' 398.052'],[' 0'],[' 10.6135'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.14868e+08'],[' 7.77861e+07'],[' 0'],[' 2.21314e+10'],[' 0'],[' 0'],[' 799 '],[' 1418 '],[' 2121 '],[' 2669 '],[' 3169 '],[' 3742 '],[' 4356 '],[' 4843 '],[' 5672 '],[' 6127 '],[' 10 '],[' 0 ']
Solving...,TA77, , , ,[' 1'],[' 3831+'],[' 1926'],"[' 606.923s (Solving', ' 584.39s 1st Model', ' 22.09s Unsat', ' 0.00s)']",[' 604.797s'], ,[' 78464166'],"[' 15372532 (Analyzed', ' 15228125)']","[' 31481    (Average', ' 483.72 Last', ' 224327)']",[' 6423.4  '],"[' 1926     (Average Length', ' 1077.21 Splits', ' 0)']","[' 15228125 (Deleted', ' 15035114)']","[' 192      (Ratio', '   0.00%)']","[' 9138     (Ratio', '   0.06%)']","[' 15228125 (Average Length', '   17.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15228125 (Average', '  4.53 Max', ' 9831 Sum', ' 68956060)']","[' 15226379 (Average', '  4.42 Max', ' 9831 Sum', ' 67372653 Ratio', '  97.70%)']","[' 1746     (Average', ' 906.88 Max', ' 1566 Sum', ' 1583407 Ratio', '   2.30%)']", ,[' 280746  '],[' 11666   '],[' 258843  '],[' 95323   '],"[' 230567   (Atom=Atom', ' 65331 Body=Body', ' 43322 Other', ' 121914)']",[' Yes'],"[' 15106    (Eliminated', '    0 Frozen', ' 15106)']","[' 1306     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.42682'],[' 0'], ,[' 381.995'],[' 0'],[' 9.44878'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.37387e+08'],[' 9.45882e+07'],[' 0'],[' 2.1305e+10'],[' 0'],[' 0'],[' 892 '],[' 1509 '],[' 2170 '],[' 2696 '],[' 3136 '],[' 3893 '],[' 4283 '],[' 5059 '],[' 5486 '],[' 6146 '],[' 10 '],[' 0 ']
Solving...,TA78, , , ,[' 1'],[' 3407+'],[' 1714'],"[' 606.547s (Solving', ' 586.78s 1st Model', ' 19.87s Unsat', ' 0.00s)']",[' 603.766s'], ,[' 71785833'],"[' 14435359 (Analyzed', ' 14264469)']","[' 31986    (Average', ' 445.96 Last', ' 45908)']",[' 6217.4  '],"[' 1714     (Average Length', ' 979.88 Splits', ' 0)']","[' 14264469 (Deleted', ' 14071472)']","[' 188      (Ratio', '   0.00%)']","[' 7993     (Ratio', '   0.06%)']","[' 14264469 (Average Length', '   15.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14264469 (Average', '  4.48 Max', ' 8949 Sum', ' 63840432)']","[' 14262558 (Average', '  4.35 Max', ' 8949 Sum', ' 62019612 Ratio', '  97.15%)']","[' 1911     (Average', ' 952.81 Max', ' 1441 Sum', ' 1820820 Ratio', '   2.85%)']", ,[' 279455  '],[' 11623   '],[' 257641  '],[' 94456   '],"[' 229411   (Atom=Atom', ' 64968 Body=Body', ' 43182 Other', ' 121261)']",[' Yes'],"[' 14902    (Eliminated', '    0 Frozen', ' 14902)']","[' 1209     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.80694'],[' 0'], ,[' 398.913'],[' 0'],[' 10.0908'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.22868e+08'],[' 8.29472e+07'],[' 0'],[' 2.16792e+10'],[' 0'],[' 0'],[' 779 '],[' 1565 '],[' 2443 '],[' 2767 '],[' 3320 '],[' 3774 '],[' 4568 '],[' 4974 '],[' 5630 '],[' 6176 '],[' 10 '],[' 0 ']
Solving...,TA79, , , ,[' 1'],[' 4047+'],[' 2034'],"[' 604.498s (Solving', ' 571.64s 1st Model', ' 28.83s Unsat', ' 0.00s)']",[' 592.359s'], ,[' 70959960'],"[' 12422030 (Analyzed', ' 12290233)']","[' 26258    (Average', ' 468.06 Last', ' 5359)']",[' 6733.5  '],"[' 2034     (Average Length', ' 1115.51 Splits', ' 0)']","[' 12290233 (Deleted', ' 12137268)']","[' 184      (Ratio', '   0.00%)']","[' 9207     (Ratio', '   0.07%)']","[' 12290233 (Average Length', '   16.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12290233 (Average', '  4.92 Max', ' 9119 Sum', ' 60417415)']","[' 12288560 (Average', '  4.79 Max', ' 9119 Sum', ' 58871651 Ratio', '  97.44%)']","[' 1673     (Average', ' 923.95 Max', ' 1592 Sum', ' 1545764 Ratio', '   2.56%)']", ,[' 281745  '],[' 11715   '],[' 259590  '],[' 95930   '],"[' 231469   (Atom=Atom', ' 65575 Body=Body', ' 43424 Other', ' 122470)']",[' Yes'],"[' 15245    (Eliminated', '    0 Frozen', ' 15245)']","[' 1463     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.083'],[' 0'], ,[' 352.329'],[' 0'],[' 10.8052'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.2245e+08'],[' 8.69144e+07'],[' 0'],[' 1.97464e+10'],[' 0'],[' 0'],[' 797 '],[' 1483 '],[' 2017 '],[' 2426 '],[' 3137 '],[' 3577 '],[' 4109 '],[' 4762 '],[' 5433 '],[' 6046 '],[' 10 '],[' 0 ']
Solving...,TA80, , , ,[' 1'],[' 3531+'],[' 1776'],"[' 602.507s (Solving', ' 572.82s 1st Model', ' 27.83s Unsat', ' 0.00s)']",[' 594.266s'], ,[' 71742756'],"[' 13686741 (Analyzed', ' 13553511)']","[' 28652    (Average', ' 473.04 Last', ' 2766)']",[' 6801.4  '],"[' 1776     (Average Length', ' 1000.82 Splits', ' 0)']","[' 13553511 (Deleted', ' 13393874)']","[' 232      (Ratio', '   0.00%)']","[' 9486     (Ratio', '   0.07%)']","[' 13553511 (Average Length', '   17.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13553511 (Average', '  4.61 Max', ' 8762 Sum', ' 62454689)']","[' 13551294 (Average', '  4.48 Max', ' 8762 Sum', ' 60712573 Ratio', '  97.21%)']","[' 2217     (Average', ' 785.80 Max', ' 1365 Sum', ' 1742116 Ratio', '   2.79%)']", ,[' 281962  '],[' 11874   '],[' 259862  '],[' 96133   '],"[' 233696   (Atom=Atom', ' 66099 Body=Body', ' 44055 Other', ' 123542)']",[' Yes'],"[' 15213    (Eliminated', '    0 Frozen', ' 15213)']","[' 1747     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.72004'],[' 0'], ,[' 363.669'],[' 0'],[' 10.2151'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.27578e+08'],[' 8.97699e+07'],[' 0'],[' 2.13725e+10'],[' 0'],[' 0'],[' 1014 '],[' 1562 '],[' 2208 '],[' 2645 '],[' 3211 '],[' 3726 '],[' 4480 '],[' 4810 '],[' 5386 '],[' 5882 '],[' 10 '],[' 0 ']
