Optimal Found Or Timeout,Instances,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
UNKNOWN,TA61,[' 5635+'],[' 2821'],"[' 604.305s (Solving', ' 587.98s 1st Model', ' 513.61s Unsat', ' 0.00s)']",[' 602.969s'], ,[' 294012551'],"[' 4756919  (Analyzed', ' 3987449)']","[' 12218    (Average', ' 326.36 Last', ' 602079)']",[' 4996.0  '],"[' 2821     (Average Length', ' 1434.14 Splits', ' 0)']","[' 3987449  (Deleted', ' 3927957)']","[' 329      (Ratio', '   0.01%)']","[' 36963    (Ratio', '   0.93%)']","[' 3987449  (Average Length', '   15.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3987449  (Average', ' 71.15 Max', ' 4624 Sum', ' 283713943)']","[' 3986800  (Average', ' 70.91 Max', ' 4624 Sum', ' 282741226 Ratio', '  99.66%)']","[' 649      (Average', ' 1498.79 Max', ' 3470 Sum', ' 972717 Ratio', '   0.34%)']", ,[' 123722  '],[' 7970    '],[' 115695  '],[' 52522   '],"[' 154553   (Atom=Atom', ' 40384 Body=Body', ' 26619 Other', ' 87550)']",[' Yes'],"[' 10786    (Eliminated', '    0 Frozen', ' 10786)']","[' 5433     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.522'],[' 0'], ,[' 246.532'],[' 0'],[' 18.4921'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.82901e+08'],[' 7.42755e+08'],[' 0'],[' 1.07826e+10'],[' 0'],[' 0'],[' 1135 '],[' 2222 '],[' 3248 '],[' 3 '],[' 0 ']
UNKNOWN,TA62,[' 5173+'],[' 2590'],"[' 604.318s (Solving', ' 588.48s 1st Model', ' 329.92s Unsat', ' 0.00s)']",[' 603.109s'], ,[' 288535438'],"[' 5105257  (Analyzed', ' 4288578)']","[' 11807    (Average', ' 363.22 Last', ' 287686)']",[' 4984.9  '],"[' 2590     (Average Length', ' 1339.72 Splits', ' 0)']","[' 4288578  (Deleted', ' 4223102)']","[' 284      (Ratio', '   0.01%)']","[' 38868    (Ratio', '   0.91%)']","[' 4288578  (Average Length', '   17.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4288578  (Average', ' 65.02 Max', ' 4673 Sum', ' 278843519)']","[' 4287848  (Average', ' 64.79 Max', ' 4673 Sum', ' 277871173 Ratio', '  99.65%)']","[' 730      (Average', ' 1331.98 Max', ' 1543 Sum', ' 972346 Ratio', '   0.35%)']", ,[' 124022  '],[' 8062    '],[' 115846  '],[' 52685   '],"[' 155228   (Atom=Atom', ' 40521 Body=Body', ' 26895 Other', ' 87812)']",[' Yes'],"[' 10748    (Eliminated', '    0 Frozen', ' 10748)']","[' 6218     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.33237'],[' 0'], ,[' 252.171'],[' 0'],[' 18.4507'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.66433e+08'],[' 7.34809e+08'],[' 0'],[' 1.17406e+10'],[' 0'],[' 0'],[' 1239 '],[' 2407 '],[' 3410 '],[' 3 '],[' 0 ']
UNKNOWN,TA63,[' 5583+'],[' 2795'],"[' 604.194s (Solving', ' 587.64s 1st Model', ' 500.10s Unsat', ' 0.00s)']",[' 602.672s'], ,[' 303855816'],"[' 4665383  (Analyzed', ' 4044904)']","[' 13241    (Average', ' 305.48 Last', ' 187731)']",[' 5022.5  '],"[' 2795     (Average Length', ' 1428.59 Splits', ' 0)']","[' 4044904  (Deleted', ' 3989846)']","[' 305      (Ratio', '   0.01%)']","[' 36002    (Ratio', '   0.89%)']","[' 4044904  (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4044904  (Average', ' 72.61 Max', ' 4753 Sum', ' 293690069)']","[' 4044275  (Average', ' 72.38 Max', ' 4709 Sum', ' 292760513 Ratio', '  99.68%)']","[' 629      (Average', ' 1477.83 Max', ' 1685 Sum', ' 929556 Ratio', '   0.32%)']", ,[' 123842  '],[' 7995    '],[' 115876  '],[' 52567   '],"[' 154823   (Atom=Atom', ' 40458 Body=Body', ' 26694 Other', ' 87671)']",[' Yes'],"[' 10856    (Eliminated', '    0 Frozen', ' 10856)']","[' 5212     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.65722'],[' 0'], ,[' 243.884'],[' 0'],[' 19.1734'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.97114e+08'],[' 7.53355e+08'],[' 0'],[' 1.05903e+10'],[' 0'],[' 0'],[' 1130 '],[' 2063 '],[' 3037 '],[' 3 '],[' 0 ']
UNKNOWN,TA64,[' 5115+'],[' 2561'],"[' 604.450s (Solving', ' 588.47s 1st Model', ' 334.32s Unsat', ' 0.00s)']",[' 602.422s'], ,[' 279169809'],"[' 5887073  (Analyzed', ' 5120815)']","[' 12865    (Average', ' 398.04 Last', ' 205260)']",[' 4926.6  '],"[' 2561     (Average Length', ' 1320.41 Splits', ' 0)']","[' 5120815  (Deleted', ' 5049525)']","[' 321      (Ratio', '   0.01%)']","[' 37285    (Ratio', '   0.73%)']","[' 5120815  (Average Length', '   16.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5120815  (Average', ' 52.66 Max', ' 4606 Sum', ' 269676078)']","[' 5120106  (Average', ' 52.48 Max', ' 4524 Sum', ' 268738338 Ratio', '  99.65%)']","[' 709      (Average', ' 1322.62 Max', ' 1530 Sum', ' 937740 Ratio', '   0.35%)']", ,[' 123413  '],[' 7989    '],[' 115187  '],[' 52319   '],"[' 154021   (Atom=Atom', ' 40200 Body=Body', ' 26676 Other', ' 87145)']",[' Yes'],"[' 10613    (Eliminated', '    0 Frozen', ' 10613)']","[' 5957     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.44515'],[' 0'], ,[' 261.716'],[' 0'],[' 18.277'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.00422e+08'],[' 6.69103e+08'],[' 0'],[' 1.18888e+10'],[' 0'],[' 0'],[' 1228 '],[' 2190 '],[' 3148 '],[' 3 '],[' 0 ']
UNKNOWN,TA65,[' 5017+'],[' 2512'],"[' 604.208s (Solving', ' 589.78s 1st Model', ' 477.35s Unsat', ' 0.00s)']",[' 602.984s'], ,[' 302857022'],"[' 4163550  (Analyzed', ' 3521409)']","[' 11530    (Average', ' 305.41 Last', ' 193484)']",[' 4824.5  '],"[' 2512     (Average Length', ' 1314.18 Splits', ' 0)']","[' 3521409  (Deleted', ' 3459078)']","[' 272      (Ratio', '   0.01%)']","[' 38802    (Ratio', '   1.10%)']","[' 3521409  (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3521409  (Average', ' 83.46 Max', ' 4666 Sum', ' 293907027)']","[' 3520702  (Average', ' 83.19 Max', ' 4666 Sum', ' 292938722 Ratio', '  99.67%)']","[' 707      (Average', ' 1369.60 Max', ' 1606 Sum', ' 968305 Ratio', '   0.33%)']", ,[' 123331  '],[' 7974    '],[' 115083  '],[' 52204   '],"[' 153662   (Atom=Atom', ' 40091 Body=Body', ' 26631 Other', ' 86940)']",[' Yes'],"[' 10564    (Eliminated', '    0 Frozen', ' 10564)']","[' 5665     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.1189'],[' 0'], ,[' 236.699'],[' 0'],[' 18.8047'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.66328e+08'],[' 8.23532e+08'],[' 0'],[' 9.91037e+09'],[' 0'],[' 0'],[' 1063 '],[' 2128 '],[' 3140 '],[' 3 '],[' 0 ']
UNKNOWN,TA66,[' 5033+'],[' 2520'],"[' 603.799s (Solving', ' 588.82s 1st Model', ' 498.83s Unsat', ' 0.00s)']",[' 602.609s'], ,[' 294216778'],"[' 4227142  (Analyzed', ' 3735069)']","[' 12143    (Average', ' 307.59 Last', ' 194592)']",[' 4822.4  '],"[' 2520     (Average Length', ' 1281.45 Splits', ' 0)']","[' 3735069  (Deleted', ' 3678297)']","[' 298      (Ratio', '   0.01%)']","[' 38117    (Ratio', '   1.02%)']","[' 3735069  (Average Length', '   15.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3735069  (Average', ' 76.38 Max', ' 4577 Sum', ' 285293286)']","[' 3734353  (Average', ' 76.13 Max', ' 4577 Sum', ' 284352828 Ratio', '  99.67%)']","[' 716      (Average', ' 1313.49 Max', ' 1454 Sum', ' 940458 Ratio', '   0.33%)']", ,[' 124024  '],[' 8061    '],[' 115768  '],[' 52618   '],"[' 155004   (Atom=Atom', ' 40447 Body=Body', ' 26892 Other', ' 87665)']",[' Yes'],"[' 10666    (Eliminated', '    0 Frozen', ' 10666)']","[' 6098     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.23801'],[' 0'], ,[' 242.72'],[' 0'],[' 18.5934'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.23877e+08'],[' 7.84956e+08'],[' 0'],[' 1.05668e+10'],[' 0'],[' 0'],[' 1073 '],[' 2175 '],[' 3179 '],[' 3 '],[' 0 ']
UNKNOWN,TA67,[' 4577+'],[' 2292'],"[' 603.508s (Solving', ' 590.44s 1st Model', ' 520.29s Unsat', ' 0.00s)']",[' 602.000s'], ,[' 296788016'],"[' 5088584  (Analyzed', ' 4467390)']","[' 13617    (Average', ' 328.07 Last', ' 332787)']",[' 4725.6  '],"[' 2292     (Average Length', ' 1208.14 Splits', ' 0)']","[' 4467390  (Deleted', ' 4405999)']","[' 310      (Ratio', '   0.01%)']","[' 36514    (Ratio', '   0.82%)']","[' 4467390  (Average Length', '   15.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4467390  (Average', ' 64.58 Max', ' 4756 Sum', ' 288507708)']","[' 4466718  (Average', ' 64.38 Max', ' 4756 Sum', ' 287630954 Ratio', '  99.70%)']","[' 672      (Average', ' 1304.69 Max', ' 1475 Sum', ' 876754 Ratio', '   0.30%)']", ,[' 123406  '],[' 8026    '],[' 115001  '],[' 52212   '],"[' 153782   (Atom=Atom', ' 40079 Body=Body', ' 26787 Other', ' 86916)']",[' Yes'],"[' 10475    (Eliminated', '    0 Frozen', ' 10475)']","[' 5582     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.85294'],[' 0'], ,[' 256.448'],[' 0'],[' 19.1923'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.7299e+08'],[' 7.32762e+08'],[' 0'],[' 1.15139e+10'],[' 0'],[' 0'],[' 1179 '],[' 2248 '],[' 3199 '],[' 3 '],[' 0 ']
UNKNOWN,TA68,[' 5059+'],[' 2533'],"[' 603.866s (Solving', ' 588.68s 1st Model', ' 397.08s Unsat', ' 0.00s)']",[' 602.078s'], ,[' 285458633'],"[' 6743995  (Analyzed', ' 5984186)']","[' 15682    (Average', ' 381.60 Last', ' 387065)']",[' 4956.6  '],"[' 2533     (Average Length', ' 1302.10 Splits', ' 0)']","[' 5984186  (Deleted', ' 5902312)']","[' 296      (Ratio', '   0.00%)']","[' 35695    (Ratio', '   0.60%)']","[' 5984186  (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5984186  (Average', ' 46.10 Max', ' 4777 Sum', ' 275851580)']","[' 5983496  (Average', ' 45.94 Max', ' 4777 Sum', ' 274933206 Ratio', '  99.67%)']","[' 690      (Average', ' 1330.98 Max', ' 1502 Sum', ' 918374 Ratio', '   0.33%)']", ,[' 123307  '],[' 7951    '],[' 115113  '],[' 52145   '],"[' 153381   (Atom=Atom', ' 40020 Body=Body', ' 26562 Other', ' 86799)']",[' Yes'],"[' 10595    (Eliminated', '    0 Frozen', ' 10595)']","[' 5157     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.24469'],[' 0'], ,[' 263.425'],[' 0'],[' 18.4223'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.14768e+08'],[' 6.78981e+08'],[' 0'],[' 1.18728e+10'],[' 0'],[' 0'],[' 1079 '],[' 2094 '],[' 3133 '],[' 3 '],[' 0 ']
UNKNOWN,TA69,[' 5241+'],[' 2624'],"[' 435.855s (Solving', ' 420.93s 1st Model', ' 203.27s Unsat', ' 0.00s)']",[' 434.969s'], ,[' 206335733'],"[' 4040599  (Analyzed', ' 3234361)']","[' 8912     (Average', ' 362.92 Last', ' 170842)']",[' 5376.2  '],"[' 2623     (Average Length', ' 1345.82 Splits', ' 0)']","[' 3234361  (Deleted', ' 3177534)']","[' 233      (Ratio', '   0.01%)']","[' 27478    (Ratio', '   0.85%)']","[' 3234361  (Average Length', '   16.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3234361  (Average', ' 60.34 Max', ' 5931 Sum', ' 195176554)']","[' 3233894  (Average', ' 60.15 Max', ' 5931 Sum', ' 194541841 Ratio', '  99.67%)']","[' 467      (Average', ' 1359.13 Max', ' 1664 Sum', ' 634713 Ratio', '   0.33%)']", ,[' 123683  '],[' 8010    '],[' 115477  '],[' 52488   '],"[' 154522   (Atom=Atom', ' 40347 Body=Body', ' 26739 Other', ' 87436)']",[' Yes'],"[' 10662    (Eliminated', '    0 Frozen', ' 10662)']","[' 3213     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.27552'],[' 0'], ,[' 176.184'],[' 0'],[' 13.5888'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.86414e+08'],[' 4.96543e+08'],[' 0'],[' 7.83723e+09'],[' 0'],[' 0'],[' 1287 '],[' 2459 '],[' 3377 '],[' 3 '],[' 0 ']
UNKNOWN,TA70,[' 5303+'],[' 2655'],"[' 603.871s (Solving', ' 588.36s 1st Model', ' 393.85s Unsat', ' 0.00s)']",[' 602.000s'], ,[' 279460363'],"[' 5625391  (Analyzed', ' 4920451)']","[' 13833    (Average', ' 355.70 Last', ' 330233)']",[' 4988.8  '],"[' 2655     (Average Length', ' 1372.73 Splits', ' 0)']","[' 4920451  (Deleted', ' 4845606)']","[' 387      (Ratio', '   0.01%)']","[' 38594    (Ratio', '   0.78%)']","[' 4920451  (Average Length', '   16.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4920451  (Average', ' 54.79 Max', ' 4872 Sum', ' 269610777)']","[' 4919783  (Average', ' 54.60 Max', ' 4684 Sum', ' 268648425 Ratio', '  99.64%)']","[' 668      (Average', ' 1440.65 Max', ' 1662 Sum', ' 962352 Ratio', '   0.36%)']", ,[' 123588  '],[' 8016    '],[' 115425  '],[' 52567   '],"[' 154725   (Atom=Atom', ' 40402 Body=Body', ' 26757 Other', ' 87566)']",[' Yes'],"[' 10738    (Eliminated', '    0 Frozen', ' 10738)']","[' 5640     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.39352'],[' 0'], ,[' 258.643'],[' 0'],[' 18.2515'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.16314e+08'],[' 6.8705e+08'],[' 0'],[' 1.17448e+10'],[' 0'],[' 0'],[' 1283 '],[' 2511 '],[' 3420 '],[' 3 '],[' 0 ']
