Optimal Found Or Timeout,Instances,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
UNSATISFIABLE,TA61,[' 4005'],[' 2007'],"[' 502.998s (Solving', ' 492.86s 1st Model', ' 32.95s Unsat', ' 6.92s)']",[' 502.047s'], ,[' 105065880'],"[' 17789864 (Analyzed', ' 17407345)']","[' 34092    (Average', ' 510.60 Last', ' 42621)']",[' 3793.8  '],"[' 2007     (Average Length', ' 1060.47 Splits', ' 0)']","[' 17407345 (Deleted', ' 17212090)']","[' 98       (Ratio', '   0.00%)']","[' 15429    (Ratio', '   0.09%)']","[' 17407345 (Average Length', '   13.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17407345 (Average', '  5.70 Max', ' 4271 Sum', ' 99186417)']","[' 17406657 (Average', '  5.66 Max', ' 3744 Sum', ' 98506021 Ratio', '  99.31%)']","[' 688      (Average', ' 988.95 Max', ' 1284 Sum', ' 680396 Ratio', '   0.69%)']", ,[' 107947  '],[' 5922    '],[' 99521   '],[' 42602   '],"[' 117920   (Atom=Atom', ' 31958 Body=Body', ' 20576 Other', ' 65386)']",[' Yes'],"[' 8202     (Eliminated', '    0 Frozen', ' 8202)']","[' 2536     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.30207'],[' 0'], ,[' 315.408'],[' 0'],[' 10.7596'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.17073e+08'],[' 1.51951e+08'],[' 0'],[' 2.03129e+10'],[' 0'],[' 0'],[' 936 '],[' 1818 '],[' 2587 '],[' 3274 '],[' 3 '],[' 1 ']
,TA62,[' 4027+'],[' 2018'],"[' 602.909s (Solving', ' 592.88s 1st Model', ' 65.83s Unsat', ' 0.00s)']",[' 601.750s'], ,[' 185345854'],"[' 14022902 (Analyzed', ' 13675172)']","[' 27869    (Average', ' 490.69 Last', ' 142781)']",[' 3519.0  '],"[' 2018     (Average Length', ' 1060.63 Splits', ' 0)']","[' 13675172 (Deleted', ' 13525106)']","[' 232      (Ratio', '   0.00%)']","[' 24058    (Ratio', '   0.18%)']","[' 13675172 (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13675172 (Average', ' 13.16 Max', ' 4537 Sum', ' 180012542)']","[' 13674572 (Average', ' 13.12 Max', ' 3535 Sum', ' 179391554 Ratio', '  99.66%)']","[' 600      (Average', ' 1034.98 Max', ' 1301 Sum', ' 620988 Ratio', '   0.34%)']", ,[' 108208  '],[' 5947    '],[' 99766   '],[' 42724   '],"[' 118375   (Atom=Atom', ' 32069 Body=Body', ' 20651 Other', ' 65655)']",[' Yes'],"[' 8242     (Eliminated', '    0 Frozen', ' 8242)']","[' 3790     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.22075'],[' 0'], ,[' 352.182'],[' 0'],[' 15.0375'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.81631e+08'],[' 3.68481e+08'],[' 0'],[' 2.09103e+10'],[' 0'],[' 0'],[' 942 '],[' 1837 '],[' 2543 '],[' 3287 '],[' 4 '],[' 0 ']
,TA63,[' 3861+'],[' 1935'],"[' 555.587s (Solving', ' 545.71s 1st Model', ' 160.90s Unsat', ' 85.02s)']",[' 554.344s'], ,[' 155150039'],"[' 12844040 (Analyzed', ' 12583053)']","[' 26736    (Average', ' 470.64 Last', ' 306246)']",[' 3550.3  '],"[' 1935     (Average Length', ' 1013.97 Splits', ' 0)']","[' 12583053 (Deleted', ' 12414989)']","[' 236      (Ratio', '   0.00%)']","[' 20599    (Ratio', '   0.16%)']","[' 12583053 (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12583053 (Average', ' 11.93 Max', ' 4302 Sum', ' 150058400)']","[' 12582437 (Average', ' 11.88 Max', ' 3581 Sum', ' 149469560 Ratio', '  99.61%)']","[' 616      (Average', ' 955.91 Max', ' 1627 Sum', ' 588840 Ratio', '   0.39%)']", ,[' 107818  '],[' 5868    '],[' 99248   '],[' 42402   '],"[' 116880   (Atom=Atom', ' 31670 Body=Body', ' 20414 Other', ' 64796)']",[' Yes'],"[' 8080     (Eliminated', '    0 Frozen', ' 8080)']","[' 3197     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.17919'],[' 0'], ,[' 331.4'],[' 0'],[' 14.3123'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.01671e+08'],[' 3.01313e+08'],[' 0'],[' 2.00355e+10'],[' 0'],[' 0'],[' 885 '],[' 1583 '],[' 2318 '],[' 3001 '],[' 3 '],[' 1 ']
UNSATISFIABLE,TA64,[' 4091'],[' 2050'],"[' 494.105s (Solving', ' 483.77s 1st Model', ' 138.95s Unsat', ' 0.95s)']",[' 492.563s'], ,[' 141370271'],"[' 14027859 (Analyzed', ' 13664797)']","[' 28160    (Average', ' 485.26 Last', ' 376213)']",[' 3591.1  '],"[' 2050     (Average Length', ' 1068.36 Splits', ' 0)']","[' 13664797 (Deleted', ' 13522969)']","[' 212      (Ratio', '   0.00%)']","[' 21102    (Ratio', '   0.15%)']","[' 13664797 (Average Length', '   13.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13664797 (Average', '  9.94 Max', ' 3391 Sum', ' 135850993)']","[' 13664134 (Average', '  9.89 Max', ' 3391 Sum', ' 135186065 Ratio', '  99.51%)']","[' 663      (Average', ' 1002.91 Max', ' 1303 Sum', ' 664928 Ratio', '   0.49%)']", ,[' 108589  '],[' 5958    '],[' 100049  '],[' 42928   '],"[' 118600   (Atom=Atom', ' 32145 Body=Body', ' 20684 Other', ' 65771)']",[' Yes'],"[' 8240     (Eliminated', '    0 Frozen', ' 8240)']","[' 3795     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.30424'],[' 0'], ,[' 272.905'],[' 0'],[' 11.3714'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.80354e+08'],[' 2.8318e+08'],[' 0'],[' 1.48497e+10'],[' 0'],[' 0'],[' 998 '],[' 1634 '],[' 2325 '],[' 3017 '],[' 3 '],[' 1 ']
,TA65,[' 4193+'],[' 2101'],"[' 602.349s (Solving', ' 592.76s 1st Model', ' 162.93s Unsat', ' 0.00s)']",[' 601.563s'], ,[' 185809304'],"[' 13612272 (Analyzed', ' 13341781)']","[' 27383    (Average', ' 487.23 Last', ' 193650)']",[' 3366.1  '],"[' 2101     (Average Length', ' 1094.32 Splits', ' 0)']","[' 13341781 (Deleted', ' 13176795)']","[' 212      (Ratio', '   0.00%)']","[' 22859    (Ratio', '   0.17%)']","[' 13341781 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13341781 (Average', ' 13.56 Max', ' 3382 Sum', ' 180921198)']","[' 13341136 (Average', ' 13.50 Max', ' 3382 Sum', ' 180169312 Ratio', '  99.58%)']","[' 645      (Average', ' 1165.71 Max', ' 1447 Sum', ' 751886 Ratio', '   0.42%)']", ,[' 108263  '],[' 5898    '],[' 99717   '],[' 42750   '],"[' 117851   (Atom=Atom', ' 31956 Body=Body', ' 20504 Other', ' 65391)']",[' Yes'],"[' 8201     (Eliminated', '    0 Frozen', ' 8201)']","[' 3789     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.19258'],[' 0'], ,[' 349.714'],[' 0'],[' 15.4305'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.00907e+08'],[' 3.85368e+08'],[' 0'],[' 2.04199e+10'],[' 0'],[' 0'],[' 820 '],[' 1560 '],[' 2323 '],[' 3040 '],[' 4 '],[' 0 ']
,TA66,[' 3949+'],[' 1979'],"[' 478.252s (Solving', ' 468.04s 1st Model', ' 103.05s Unsat', ' 9.80s)']",[' 477.328s'], ,[' 122167321'],"[' 9680551  (Analyzed', ' 9484437)']","[' 21306    (Average', ' 445.15 Last', ' 190173)']",[' 3639.0  '],"[' 1979     (Average Length', ' 1050.24 Splits', ' 0)']","[' 9484437  (Deleted', ' 9341868)']","[' 163      (Ratio', '   0.00%)']","[' 17908    (Ratio', '   0.19%)']","[' 9484437  (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9484437  (Average', ' 12.34 Max', ' 4832 Sum', ' 117037515)']","[' 9483831  (Average', ' 12.28 Max', ' 3758 Sum', ' 116442919 Ratio', '  99.49%)']","[' 606      (Average', ' 981.18 Max', ' 1726 Sum', ' 594596 Ratio', '   0.51%)']", ,[' 108278  '],[' 5955    '],[' 99841   '],[' 42725   '],"[' 118372   (Atom=Atom', ' 32062 Body=Body', ' 20675 Other', ' 65635)']",[' Yes'],"[' 8234     (Eliminated', '    0 Frozen', ' 8234)']","[' 2895     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.24032'],[' 0'], ,[' 279.138'],[' 0'],[' 11.2468'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.57682e+08'],[' 2.75576e+08'],[' 0'],[' 1.67207e+10'],[' 0'],[' 0'],[' 827 '],[' 1595 '],[' 2335 '],[' 3105 '],[' 3 '],[' 1 ']
UNSATISFIABLE,TA67,[' 3867'],[' 1938'],"[' 512.866s (Solving', ' 503.59s 1st Model', ' 147.33s Unsat', ' 31.33s)']",[' 511.672s'], ,[' 132864122'],"[' 13493991 (Analyzed', ' 13264059)']","[' 28513    (Average', ' 465.19 Last', ' 574867)']",[' 3466.0  '],"[' 1938     (Average Length', ' 1017.23 Splits', ' 0)']","[' 13264059 (Deleted', ' 13112082)']","[' 191      (Ratio', '   0.00%)']","[' 19119    (Ratio', '   0.14%)']","[' 13264059 (Average Length', '   13.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13264059 (Average', '  9.65 Max', ' 3813 Sum', ' 127992415)']","[' 13263342 (Average', '  9.59 Max', ' 3813 Sum', ' 127264237 Ratio', '  99.43%)']","[' 717      (Average', ' 1015.59 Max', ' 1215 Sum', ' 728178 Ratio', '   0.57%)']", ,[' 108298  '],[' 5980    '],[' 99774   '],[' 42808   '],"[' 118596   (Atom=Atom', ' 32121 Body=Body', ' 20750 Other', ' 65725)']",[' Yes'],"[' 8215     (Eliminated', '    0 Frozen', ' 8215)']","[' 3412     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.12533'],[' 0'], ,[' 306.837'],[' 0'],[' 12.0896'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.54094e+08'],[' 2.64462e+08'],[' 0'],[' 1.81166e+10'],[' 0'],[' 0'],[' 967 '],[' 1700 '],[' 2572 '],[' 3239 '],[' 3 '],[' 1 ']
UNSATISFIABLE,TA68,[' 3709'],[' 1859'],"[' 505.253s (Solving', ' 495.60s 1st Model', ' 33.56s Unsat', ' 9.76s)']",[' 504.172s'], ,[' 100447288'],"[' 19957487 (Analyzed', ' 19592592)']","[' 37592    (Average', ' 521.19 Last', ' 54235)']",[' 3795.8  '],"[' 1859     (Average Length', ' 990.30 Splits', ' 0)']","[' 19592592 (Deleted', ' 19376110)']","[' 137      (Ratio', '   0.00%)']","[' 13886    (Ratio', '   0.07%)']","[' 19592592 (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19592592 (Average', '  4.84 Max', ' 4786 Sum', ' 94904833)']","[' 19591805 (Average', '  4.81 Max', ' 3782 Sum', ' 94189139 Ratio', '  99.25%)']","[' 787      (Average', ' 909.40 Max', ' 1588 Sum', ' 715694 Ratio', '   0.75%)']", ,[' 107568  '],[' 5860    '],[' 98952   '],[' 42233   '],"[' 116539   (Atom=Atom', ' 31562 Body=Body', ' 20390 Other', ' 64587)']",[' Yes'],"[' 7989     (Eliminated', '    0 Frozen', ' 7989)']","[' 2201     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.13078'],[' 0'], ,[' 313.438'],[' 0'],[' 9.54976'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.10646e+08'],[' 1.43091e+08'],[' 0'],[' 1.99135e+10'],[' 0'],[' 0'],[' 865 '],[' 1693 '],[' 2455 '],[' 3159 '],[' 3 '],[' 1 ']
UNSATISFIABLE,TA69,[' 4269'],[' 2139'],"[' 563.397s (Solving', ' 552.87s 1st Model', ' 47.99s Unsat', ' 76.58s)']",[' 562.234s'], ,[' 127386365'],"[' 14829864 (Analyzed', ' 14442261)']","[' 29143    (Average', ' 495.57 Last', ' 75620)']",[' 3587.0  '],"[' 2139     (Average Length', ' 1116.97 Splits', ' 0)']","[' 14442261 (Deleted', ' 14248559)']","[' 234      (Ratio', '   0.00%)']","[' 18712    (Ratio', '   0.13%)']","[' 14442261 (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14442261 (Average', '  8.44 Max', ' 4115 Sum', ' 121821832)']","[' 14441603 (Average', '  8.39 Max', ' 4115 Sum', ' 121100671 Ratio', '  99.41%)']","[' 658      (Average', ' 1095.99 Max', ' 1442 Sum', ' 721161 Ratio', '   0.59%)']", ,[' 107991  '],[' 5928    '],[' 99735   '],[' 42671   '],"[' 118420   (Atom=Atom', ' 32114 Body=Body', ' 20594 Other', ' 65712)']",[' Yes'],"[' 8294     (Eliminated', '    0 Frozen', ' 8294)']","[' 3253     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.2932'],[' 0'], ,[' 353.779'],[' 0'],[' 13.1317'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.25606e+08'],[' 2.40941e+08'],[' 0'],[' 2.20693e+10'],[' 0'],[' 0'],[' 1048 '],[' 1859 '],[' 2571 '],[' 3337 '],[' 3 '],[' 1 ']
,TA70,[' 4163+'],[' 2086'],"[' 602.317s (Solving', ' 592.62s 1st Model', ' 152.61s Unsat', ' 0.00s)']",[' 600.953s'], ,[' 154074168'],"[' 13856256 (Analyzed', ' 13550113)']","[' 27910    (Average', ' 485.49 Last', ' 491170)']",[' 3616.6  '],"[' 2086     (Average Length', ' 1093.45 Splits', ' 0)']","[' 13550113 (Deleted', ' 13411019)']","[' 277      (Ratio', '   0.00%)']","[' 19437    (Ratio', '   0.14%)']","[' 13550113 (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13550113 (Average', ' 10.97 Max', ' 4927 Sum', ' 148616074)']","[' 13549488 (Average', ' 10.92 Max', ' 4497 Sum', ' 147907883 Ratio', '  99.52%)']","[' 625      (Average', ' 1133.11 Max', ' 1419 Sum', ' 708191 Ratio', '   0.48%)']", ,[' 108274  '],[' 6007    '],[' 99979   '],[' 42918   '],"[' 119447   (Atom=Atom', ' 32377 Body=Body', ' 20831 Other', ' 66239)']",[' Yes'],"[' 8338     (Eliminated', '    0 Frozen', ' 8338)']","[' 2953     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.20343'],[' 0'], ,[' 368.843'],[' 0'],[' 14.3755'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.13335e+08'],[' 3.12793e+08'],[' 0'],[' 2.14782e+10'],[' 0'],[' 0'],[' 1039 '],[' 1811 '],[' 2724 '],[' 3409 '],[' 4 '],[' 0 ']
