Optimal Found Or Timeout,Instances,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
UNSATISFIABLE,TA61,[' 2253'],[' 1133'],"[' 334.563s (Solving', ' 329.94s 1st Model', ' 3.33s Unsat', ' 22.55s)']",[' 334.047s'], ,[' 27769208'],"[' 14370889 (Analyzed', ' 14240023)']","[' 27773    (Average', ' 512.73 Last', ' 148294)']",[' 2589.8  '],"[' 1133     (Average Length', ' 649.14 Splits', ' 0)']","[' 14240023 (Deleted', ' 14056755)']","[' 27       (Ratio', '   0.00%)']","[' 2004     (Ratio', '   0.01%)']","[' 14240023 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14240023 (Average', '  1.79 Max', ' 3588 Sum', ' 25452507)']","[' 14239481 (Average', '  1.76 Max', ' 3237 Sum', ' 25094732 Ratio', '  98.59%)']","[' 542      (Average', ' 660.10 Max', ' 888 Sum', ' 357775 Ratio', '   1.41%)']", ,[' 90164   '],[' 3861    '],[' 83010   '],[' 31164   '],"[' 82392    (Atom=Atom', ' 23426 Body=Body', ' 14519 Other', ' 44447)']",[' Yes'],"[' 5571     (Eliminated', '    0 Frozen', ' 5571)']","[' 412      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.988042'],[' 0'], ,[' 227.535'],[' 0'],[' 4.7648'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.21589e+07'],[' 3.63883e+07'],[' 0'],[' 1.58353e+10'],[' 0'],[' 0'],[' 676 '],[' 1149 '],[' 1791 '],[' 2348 '],[' 2936 '],[' 3351 '],[' 3 '],[' 3 ']
UNSATISFIABLE,TA62,[' 2559'],[' 1286'],"[' 342.736s (Solving', ' 337.62s 1st Model', ' 8.39s Unsat', ' 27.02s)']",[' 341.625s'], ,[' 41425676'],"[' 13377336 (Analyzed', ' 13264054)']","[' 27644    (Average', ' 479.82 Last', ' 72212)']",[' 2519.1  '],"[' 1286     (Average Length', ' 710.73 Splits', ' 0)']","[' 13264054 (Deleted', ' 13098527)']","[' 69       (Ratio', '   0.00%)']","[' 4498     (Ratio', '   0.03%)']","[' 13264054 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13264054 (Average', '  2.94 Max', ' 3139 Sum', ' 39049171)']","[' 13263394 (Average', '  2.91 Max', ' 3139 Sum', ' 38596408 Ratio', '  98.84%)']","[' 660      (Average', ' 686.00 Max', ' 932 Sum', ' 452763 Ratio', '   1.16%)']", ,[' 90909   '],[' 3925    '],[' 83777   '],[' 31706   '],"[' 83875    (Atom=Atom', ' 23835 Body=Body', ' 14711 Other', ' 45329)']",[' Yes'],"[' 5790     (Eliminated', '    0 Frozen', ' 5790)']","[' 725      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.15468'],[' 0'], ,[' 224.234'],[' 0'],[' 5.35918'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.15147e+08'],[' 6.90321e+07'],[' 0'],[' 1.52534e+10'],[' 0'],[' 0'],[' 641 '],[' 1219 '],[' 1807 '],[' 2433 '],[' 2943 '],[' 3407 '],[' 3 '],[' 3 ']
UNSATISFIABLE,TA63,[' 2791'],[' 1402'],"[' 76.762s (Solving', ' 71.20s 1st Model', ' 5.27s Unsat', ' 46.28s)']",[' 76.375s'], ,[' 12794442'],"[' 3656541  (Analyzed', ' 3540390)']","[' 7921     (Average', ' 446.96 Last', ' 2520)']",[' 2708.1  '],"[' 1402     (Average Length', ' 750.54 Splits', ' 0)']","[' 3540390  (Deleted', ' 3453111)']","[' 59       (Ratio', '   0.00%)']","[' 1873     (Ratio', '   0.05%)']","[' 3540390  (Average Length', '   10.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3540390  (Average', '  2.85 Max', ' 3191 Sum', ' 10095567)']","[' 3539964  (Average', '  2.79 Max', ' 3191 Sum', ' 9861583 Ratio', '  97.68%)']","[' 426      (Average', ' 549.26 Max', ' 989 Sum', ' 233984 Ratio', '   2.32%)']", ,[' 90663   '],[' 3841    '],[' 83628   '],[' 31497   '],"[' 82935    (Atom=Atom', ' 23615 Body=Body', ' 14459 Other', ' 44861)']",[' Yes'],"[' 5761     (Eliminated', '    0 Frozen', ' 5761)']","[' 188      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.24137'],[' 0'], ,[' 29.392'],[' 0'],[' 1.28072'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.80484e+07'],[' 1.81958e+07'],[' 0'],[' 1.54186e+09'],[' 0'],[' 0'],[' 680 '],[' 1143 '],[' 1663 '],[' 2107 '],[' 2584 '],[' 3041 '],[' 0 '],[' 6 ']
UNSATISFIABLE,TA64,[' 2527'],[' 1270'],"[' 146.360s (Solving', ' 141.70s 1st Model', ' 4.62s Unsat', ' 23.31s)']",[' 146.000s'], ,[' 15026937'],"[' 5589724  (Analyzed', ' 5445983)']","[' 11846    (Average', ' 459.73 Last', ' 57793)']",[' 2770.1  '],"[' 1270     (Average Length', ' 712.82 Splits', ' 0)']","[' 5445983  (Deleted', ' 5361896)']","[' 36       (Ratio', '   0.00%)']","[' 1660     (Ratio', '   0.03%)']","[' 5445983  (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5445983  (Average', '  2.28 Max', ' 3923 Sum', ' 12398018)']","[' 5445597  (Average', '  2.23 Max', ' 3923 Sum', ' 12136178 Ratio', '  97.89%)']","[' 386      (Average', ' 678.34 Max', ' 977 Sum', ' 261840 Ratio', '   2.11%)']", ,[' 90579   '],[' 3895    '],[' 83556   '],[' 31458   '],"[' 83321    (Atom=Atom', ' 23699 Body=Body', ' 14621 Other', ' 45001)']",[' Yes'],"[' 5709     (Eliminated', '    0 Frozen', ' 5709)']","[' 170      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.11643'],[' 0'], ,[' 89.4153'],[' 0'],[' 1.99593'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.38709e+07'],[' 1.94965e+07'],[' 0'],[' 5.81947e+09'],[' 0'],[' 0'],[' 686 '],[' 1246 '],[' 1688 '],[' 2124 '],[' 2704 '],[' 3155 '],[' 1 '],[' 5 ']
UNSATISFIABLE,TA65,[' 2777'],[' 1395'],"[' 149.101s (Solving', ' 143.50s 1st Model', ' 4.32s Unsat', ' 23.40s)']",[' 148.672s'], ,[' 14550709'],"[' 5860098  (Analyzed', ' 5714612)']","[' 12555    (Average', ' 455.17 Last', ' 114997)']",[' 2744.0  '],"[' 1395     (Average Length', ' 757.39 Splits', ' 0)']","[' 5714612  (Deleted', ' 5620292)']","[' 54       (Ratio', '   0.00%)']","[' 1787     (Ratio', '   0.03%)']","[' 5714612  (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5714612  (Average', '  2.08 Max', ' 3458 Sum', ' 11911635)']","[' 5714054  (Average', '  2.02 Max', ' 3070 Sum', ' 11519916 Ratio', '  96.71%)']","[' 558      (Average', ' 702.01 Max', ' 1055 Sum', ' 391719 Ratio', '   3.29%)']", ,[' 91008   '],[' 3857    '],[' 83857   '],[' 31681   '],"[' 83145    (Atom=Atom', ' 23672 Body=Body', ' 14507 Other', ' 44966)']",[' Yes'],"[' 5753     (Eliminated', '    0 Frozen', ' 5753)']","[' 196      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.26089'],[' 0'], ,[' 85.7175'],[' 0'],[' 1.89162'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.26056e+07'],[' 1.80234e+07'],[' 0'],[' 5.7553e+09'],[' 0'],[' 0'],[' 608 '],[' 1099 '],[' 1575 '],[' 2087 '],[' 2550 '],[' 3035 '],[' 1 '],[' 5 ']
UNSATISFIABLE,TA66,[' 2739'],[' 1376'],"[' 129.292s (Solving', ' 123.60s 1st Model', ' 4.54s Unsat', ' 1.30s)']",[' 128.984s'], ,[' 19411620'],"[' 7052245  (Analyzed', ' 6906213)']","[' 12966    (Average', ' 532.64 Last', ' 644)']",[' 2733.2  '],"[' 1376     (Average Length', ' 747.50 Splits', ' 0)']","[' 6906213  (Deleted', ' 6804164)']","[' 34       (Ratio', '   0.00%)']","[' 1665     (Ratio', '   0.02%)']","[' 6906213  (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6906213  (Average', '  2.41 Max', ' 3991 Sum', ' 16650203)']","[' 6905710  (Average', '  2.37 Max', ' 3219 Sum', ' 16334622 Ratio', '  98.10%)']","[' 503      (Average', ' 627.40 Max', ' 1011 Sum', ' 315581 Ratio', '   1.90%)']", ,[' 91117   '],[' 3941    '],[' 84092   '],[' 31816   '],"[' 84354    (Atom=Atom', ' 23989 Body=Body', ' 14759 Other', ' 45606)']",[' Yes'],"[' 5847     (Eliminated', '    0 Frozen', ' 5847)']","[' 226      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.20301'],[' 0'], ,[' 62.8546'],[' 0'],[' 2.29729'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.5199e+07'],[' 2.74511e+07'],[' 0'],[' 3.22053e+09'],[' 0'],[' 0'],[' 740 '],[' 1173 '],[' 1718 '],[' 2228 '],[' 2764 '],[' 3235 '],[' 1 '],[' 5 ']
UNSATISFIABLE,TA67,[' 2599'],[' 1306'],"[' 156.104s (Solving', ' 151.32s 1st Model', ' 4.58s Unsat', ' 30.49s)']",[' 155.859s'], ,[' 19039737'],"[' 8337687  (Analyzed', ' 8221515)']","[' 16410    (Average', ' 501.01 Last', ' 11479)']",[' 2548.5  '],"[' 1306     (Average Length', ' 717.67 Splits', ' 0)']","[' 8221515  (Deleted', ' 8068897)']","[' 35       (Ratio', '   0.00%)']","[' 2298     (Ratio', '   0.03%)']","[' 8221515  (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8221515  (Average', '  2.03 Max', ' 3937 Sum', ' 16648697)']","[' 8220991  (Average', '  1.99 Max', ' 3186 Sum', ' 16326346 Ratio', '  98.06%)']","[' 524      (Average', ' 615.17 Max', ' 978 Sum', ' 322351 Ratio', '   1.94%)']", ,[' 91134   '],[' 3928    '],[' 83979   '],[' 31800   '],"[' 83918    (Atom=Atom', ' 23867 Body=Body', ' 14720 Other', ' 45331)']",[' Yes'],"[' 5769     (Eliminated', '    0 Frozen', ' 5769)']","[' 363      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.10525'],[' 0'], ,[' 81.9975'],[' 0'],[' 2.69365'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.56547e+07'],[' 2.49162e+07'],[' 0'],[' 4.63116e+09'],[' 0'],[' 0'],[' 712 '],[' 1216 '],[' 1781 '],[' 2387 '],[' 2870 '],[' 3329 '],[' 1 '],[' 5 ']
UNSATISFIABLE,TA68,[' 2243'],[' 1128'],"[' 142.537s (Solving', ' 137.91s 1st Model', ' 3.55s Unsat', ' 19.49s)']",[' 142.203s'], ,[' 20028078'],"[' 9651710  (Analyzed', ' 9568609)']","[' 19439    (Average', ' 492.24 Last', ' 3503)']",[' 2642.1  '],"[' 1128     (Average Length', ' 639.41 Splits', ' 0)']","[' 9568609  (Deleted', ' 9430377)']","[' 17       (Ratio', '   0.00%)']","[' 1690     (Ratio', '   0.02%)']","[' 9568609  (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9568609  (Average', '  1.84 Max', ' 3759 Sum', ' 17646792)']","[' 9568175  (Average', '  1.82 Max', ' 3213 Sum', ' 17436708 Ratio', '  98.81%)']","[' 434      (Average', ' 484.06 Max', ' 847 Sum', ' 210084 Ratio', '   1.19%)']", ,[' 90284   '],[' 3831    '],[' 83045   '],[' 31136   '],"[' 81928    (Atom=Atom', ' 23301 Body=Body', ' 14429 Other', ' 44198)']",[' Yes'],"[' 5509     (Eliminated', '    0 Frozen', ' 5509)']","[' 186      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.00831'],[' 0'], ,[' 65.7026'],[' 0'],[' 1.92395'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.90717e+07'],[' 2.56772e+07'],[' 0'],[' 3.82004e+09'],[' 0'],[' 0'],[' 601 '],[' 1131 '],[' 1745 '],[' 2196 '],[' 2698 '],[' 3179 '],[' 1 '],[' 5 ']
UNSATISFIABLE,TA69,[' 2653'],[' 1333'],"[' 241.859s (Solving', ' 236.11s 1st Model', ' 4.45s Unsat', ' 17.28s)']",[' 241.672s'], ,[' 28606614'],"[' 13933579 (Analyzed', ' 13805029)']","[' 25582    (Average', ' 539.64 Last', ' 29944)']",[' 2623.7  '],"[' 1333     (Average Length', ' 718.53 Splits', ' 0)']","[' 13805029 (Deleted', ' 13623387)']","[' 28       (Ratio', '   0.00%)']","[' 2656     (Ratio', '   0.02%)']","[' 13805029 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13805029 (Average', '  1.88 Max', ' 3661 Sum', ' 25938465)']","[' 13804447 (Average', '  1.85 Max', ' 3315 Sum', ' 25574238 Ratio', '  98.60%)']","[' 582      (Average', ' 625.82 Max', ' 953 Sum', ' 364227 Ratio', '   1.40%)']", ,[' 90192   '],[' 3897    '],[' 83364   '],[' 31263   '],"[' 83547    (Atom=Atom', ' 23770 Body=Body', ' 14627 Other', ' 45150)']",[' Yes'],"[' 5735     (Eliminated', '    0 Frozen', ' 5735)']","[' 491      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.20144'],[' 0'], ,[' 135.111'],[' 0'],[' 3.99328'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.23677e+07'],[' 3.82954e+07'],[' 0'],[' 8.34877e+09'],[' 0'],[' 0'],[' 915 '],[' 1410 '],[' 1943 '],[' 2342 '],[' 2819 '],[' 3312 '],[' 2 '],[' 4 ']
UNSATISFIABLE,TA70,[' 2687'],[' 1350'],"[' 231.816s (Solving', ' 226.50s 1st Model', ' 4.39s Unsat', ' 10.13s)']",[' 231.219s'], ,[' 32634715'],"[' 11888974 (Analyzed', ' 11775007)']","[' 22101    (Average', ' 532.78 Last', ' 136285)']",[' 2424.3  '],"[' 1350     (Average Length', ' 733.49 Splits', ' 0)']","[' 11775007 (Deleted', ' 11607319)']","[' 75       (Ratio', '   0.00%)']","[' 3632     (Ratio', '   0.03%)']","[' 11775007 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11775007 (Average', '  2.58 Max', ' 3712 Sum', ' 30390877)']","[' 11774378 (Average', '  2.54 Max', ' 3712 Sum', ' 29942201 Ratio', '  98.52%)']","[' 629      (Average', ' 713.32 Max', ' 1025 Sum', ' 448676 Ratio', '   1.48%)']", ,[' 90163   '],[' 3911    '],[' 83346   '],[' 31336   '],"[' 83798    (Atom=Atom', ' 23843 Body=Body', ' 14669 Other', ' 45286)']",[' Yes'],"[' 5787     (Eliminated', '    0 Frozen', ' 5787)']","[' 661      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.14464'],[' 0'], ,[' 118.761'],[' 0'],[' 3.7674'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.00606e+08'],[' 6.10649e+07'],[' 0'],[' 6.74308e+09'],[' 0'],[' 0'],[' 774 '],[' 1306 '],[' 1970 '],[' 2572 '],[' 3030 '],[' 3492 '],[' 2 '],[' 4 ']
