Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , ,[' 1229'],[' 623'],"[' 30.900s (Solving', ' 29.07s 1st Model', ' 1.22s Unsat', ' 21.56s)']",[' 30.813s'], ,[' 4335809 '],"[' 2306773  (Analyzed', ' 2283910)']","[' 4888     (Average', ' 467.25 Last', ' 11001)']",[' 1486.4  '],"[' 623      (Average Length', ' 371.01 Splits', ' 0)']","[' 2283910  (Deleted', ' 2242750)']","[' 24       (Ratio', '   0.00%)']","[' 736      (Ratio', '   0.03%)']","[' 2283910  (Average Length', '    9.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2283910  (Average', '  1.60 Max', ' 2306 Sum', ' 3650759)']","[' 2283693  (Average', '  1.57 Max', ' 1802 Sum', ' 3584920 Ratio', '  98.20%)']","[' 217      (Average', ' 303.41 Max', ' 526 Sum', '  65839 Ratio', '   1.80%)']", ,[' 61043   '],[' 2097    '],[' 56545   '],[' 18940   '],"[' 48761    (Atom=Atom', ' 14364 Body=Body', ' 8555 Other', ' 25842)']",[' Yes'],"[' 3241     (Eliminated', '    0 Frozen', ' 3241)']","[' 29       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.372711'],[' 0'], ,[' 10.4189'],[' 0'],[' 0.381533'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.11374e+07'],[' 5.49808e+06'],[' 0'],[' 5.18451e+08'],[' 0'],[' 0'],[' 553 '],[' 867 '],[' 1225 '],[' 1621 '],[' 2008 '],[' 2430 '],[' 2758 '],[' 3115 '],[' 0 '],[' 8 ']
Solving...,TA52, , ,[' 1213'],[' 615'],"[' 27.581s (Solving', ' 25.31s 1st Model', ' 1.28s Unsat', ' 18.02s)']",[' 27.391s'], ,[' 3957728 '],"[' 1862059  (Analyzed', ' 1840599)']","[' 4243     (Average', ' 433.80 Last', ' 18054)']",[' 1501.2  '],"[' 615      (Average Length', ' 362.45 Splits', ' 0)']","[' 1840599  (Deleted', ' 1790152)']","[' 31       (Ratio', '   0.00%)']","[' 637      (Ratio', '   0.03%)']","[' 1840599  (Average Length', '    9.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1840599  (Average', '  1.79 Max', ' 2166 Sum', ' 3294106)']","[' 1840297  (Average', '  1.74 Max', ' 1739 Sum', ' 3202543 Ratio', '  97.22%)']","[' 302      (Average', ' 303.19 Max', ' 512 Sum', '  91563 Ratio', '   2.78%)']", ,[' 60733   '],[' 2112    '],[' 56404   '],[' 18760   '],"[' 48953    (Atom=Atom', ' 14416 Body=Body', ' 8600 Other', ' 25937)']",[' Yes'],"[' 3257     (Eliminated', '    0 Frozen', ' 3257)']","[' 24       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.387427'],[' 0'], ,[' 9.04059'],[' 0'],[' 0.375438'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.70965e+06'],[' 5.06688e+06'],[' 0'],[' 4.35757e+08'],[' 0'],[' 0'],[' 578 '],[' 920 '],[' 1251 '],[' 1617 '],[' 2033 '],[' 2452 '],[' 2778 '],[' 3050 '],[' 0 '],[' 8 ']
Solving...,TA53, , ,[' 1197'],[' 607'],"[' 84.171s (Solving', ' 82.22s 1st Model', ' 0.97s Unsat', ' 0.71s)']",[' 83.922s'], ,[' 7184737 '],"[' 3801372  (Analyzed', ' 3759632)']","[' 8392     (Average', ' 448.00 Last', ' 1137)']",[' 1486.0  '],"[' 607      (Average Length', ' 356.41 Splits', ' 0)']","[' 3759632  (Deleted', ' 3705270)']","[' 18       (Ratio', '   0.00%)']","[' 817      (Ratio', '   0.02%)']","[' 3759632  (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3759632  (Average', '  1.72 Max', ' 2205 Sum', ' 6462531)']","[' 3759317  (Average', '  1.69 Max', ' 1786 Sum', ' 6355106 Ratio', '  98.34%)']","[' 315      (Average', ' 341.03 Max', ' 519 Sum', ' 107425 Ratio', '   1.66%)']", ,[' 61078   '],[' 2158    '],[' 56660   '],[' 19002   '],"[' 49663    (Atom=Atom', ' 14592 Body=Body', ' 8738 Other', ' 26333)']",[' Yes'],"[' 3292     (Eliminated', '    0 Frozen', ' 3292)']","[' 83       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.379683'],[' 0'], ,[' 53.8043'],[' 0'],[' 0.949118'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.71754e+07'],[' 7.94801e+06'],[' 0'],[' 3.73648e+09'],[' 0'],[' 0'],[' 502 '],[' 967 '],[' 1267 '],[' 1637 '],[' 1991 '],[' 2352 '],[' 2847 '],[' 3068 '],[' 1 '],[' 7 ']
Solving...,TA54, , ,[' 1195'],[' 606'],"[' 9.308s (Solving', ' 7.32s 1st Model', ' 0.72s Unsat', ' 0.76s)']",[' 9.172s'], ,[' 1329349 '],"[' 118012   (Analyzed', ' 87849)']","[' 419      (Average', ' 209.66 Last', ' 582)']",[' 1333.5  '],"[' 606      (Average Length', ' 356.46 Splits', ' 0)']","[' 87849    (Deleted', ' 75510)']","[' 26       (Ratio', '   0.03%)']","[' 472      (Ratio', '   0.54%)']","[' 87849    (Average Length', '    8.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 87849    (Average', '  9.33 Max', ' 1938 Sum', ' 819790)']","[' 87533    (Average', '  8.11 Max', ' 1792 Sum', ' 712521 Ratio', '  86.92%)']","[' 316      (Average', ' 339.46 Max', ' 534 Sum', ' 107269 Ratio', '  13.08%)']", ,[' 60783   '],[' 2162    '],[' 56533   '],[' 18798   '],"[' 49704    (Atom=Atom', ' 14607 Body=Body', ' 8750 Other', ' 26347)']",[' Yes'],"[' 3289     (Eliminated', '    0 Frozen', ' 3289)']","[' 24       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.338316'],[' 0'], ,[' 0.998397'],[' 0'],[' 0.0718928'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.61165e+06'],[' 2.04787e+06'],[' 0'],[' 3.18601e+07'],[' 0'],[' 0'],[' 629 '],[' 976 '],[' 1356 '],[' 1651 '],[' 1960 '],[' 2295 '],[' 2593 '],[' 3099 '],[' 0 '],[' 8 ']
Solving...,TA55, , ,[' 1147'],[' 582'],"[' 134.761s (Solving', ' 132.80s 1st Model', ' 0.82s Unsat', ' 51.95s)']",[' 134.484s'], ,[' 17874248'],"[' 10671853 (Analyzed', ' 10650336)']","[' 20771    (Average', ' 512.75 Last', ' 1560)']",[' 1331.8  '],"[' 582      (Average Length', ' 350.17 Splits', ' 0)']","[' 10650336 (Deleted', ' 10490886)']","[' 32       (Ratio', '   0.00%)']","[' 1230     (Ratio', '   0.01%)']","[' 10650336 (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10650336 (Average', '  1.61 Max', ' 2123 Sum', ' 17150634)']","[' 10649983 (Average', '  1.60 Max', ' 1706 Sum', ' 17041382 Ratio', '  99.36%)']","[' 353      (Average', ' 309.50 Max', ' 537 Sum', ' 109252 Ratio', '   0.64%)']", ,[' 60616   '],[' 2159    '],[' 56357   '],[' 18743   '],"[' 49612    (Atom=Atom', ' 14571 Body=Body', ' 8741 Other', ' 26300)']",[' Yes'],"[' 3273     (Eliminated', '    0 Frozen', ' 3273)']","[' 169      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.333731'],[' 0'], ,[' 65.7366'],[' 0'],[' 2.11479'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.86557e+07'],[' 2.3716e+07'],[' 0'],[' 3.94895e+09'],[' 0'],[' 0'],[' 463 '],[' 989 '],[' 1350 '],[' 1697 '],[' 2073 '],[' 2455 '],[' 2787 '],[' 3127 '],[' 1 '],[' 7 ']
Solving...,TA56, , ,[' 893'],[' 455'],"[' 8.932s (Solving', ' 7.40s 1st Model', ' 0.69s Unsat', ' 1.56s)']",[' 8.891s'], ,[' 1220872 '],"[' 140158   (Analyzed', ' 103057)']","[' 494      (Average', ' 208.62 Last', ' 2280)']",[' 1428.0  '],"[' 455      (Average Length', ' 293.73 Splits', ' 0)']","[' 103057   (Deleted', ' 86467)']","[' 34       (Ratio', '   0.03%)']","[' 696      (Ratio', '   0.68%)']","[' 103057   (Average Length', '    9.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 103057   (Average', '  7.33 Max', ' 1858 Sum', ' 755672)']","[' 102711   (Average', '  6.55 Max', ' 1724 Sum', ' 674515 Ratio', '  89.26%)']","[' 346      (Average', ' 234.56 Max', ' 394 Sum', '  81157 Ratio', '  10.74%)']", ,[' 60374   '],[' 2115    '],[' 55947   '],[' 18507   '],"[' 48551    (Atom=Atom', ' 14268 Body=Body', ' 8609 Other', ' 25674)']",[' Yes'],"[' 3119     (Eliminated', '    0 Frozen', ' 3119)']","[' 23       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.30631'],[' 0'], ,[' 1.60046'],[' 0'],[' 0.0787321'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.46759e+06'],[' 1.89268e+06'],[' 0'],[' 8.07383e+07'],[' 0'],[' 0'],[' 571 '],[' 1029 '],[' 1386 '],[' 1883 '],[' 2175 '],[' 2554 '],[' 2860 '],[' 3227 '],[' 0 '],[' 8 ']
Solving...,TA57, , ,[' 1043'],[' 530'],"[' 121.413s (Solving', ' 119.63s 1st Model', ' 0.69s Unsat', ' 38.89s)']",[' 120.906s'], ,[' 14291275'],"[' 10094312 (Analyzed', ' 10079162)']","[' 20604    (Average', ' 489.18 Last', ' 86361)']",[' 1416.4  '],"[' 530      (Average Length', ' 326.20 Splits', ' 0)']","[' 10079162 (Deleted', ' 9922859)']","[' 4        (Ratio', '   0.00%)']","[' 679      (Ratio', '   0.01%)']","[' 10079162 (Average Length', '   10.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10079162 (Average', '  1.34 Max', ' 2036 Sum', ' 13543447)']","[' 10078869 (Average', '  1.33 Max', ' 1746 Sum', ' 13453179 Ratio', '  99.33%)']","[' 293      (Average', ' 308.08 Max', ' 452 Sum', '  90268 Ratio', '   0.67%)']", ,[' 60901   '],[' 2134    '],[' 56424   '],[' 18828   '],"[' 49071    (Atom=Atom', ' 14419 Body=Body', ' 8666 Other', ' 25986)']",[' Yes'],"[' 3197     (Eliminated', '    0 Frozen', ' 3197)']","[' 75       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.320681'],[' 0'], ,[' 57.3091'],[' 0'],[' 1.56128'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.64473e+07'],[' 1.35009e+07'],[' 0'],[' 3.50157e+09'],[' 0'],[' 0'],[' 620 '],[' 1081 '],[' 1466 '],[' 1820 '],[' 2182 '],[' 2654 '],[' 2923 '],[' 3305 '],[' 1 '],[' 7 ']
Solving...,TA58, , ,[' 1219'],[' 618'],"[' 10.445s (Solving', ' 8.58s 1st Model', ' 0.99s Unsat', ' 0.79s)']",[' 10.188s'], ,[' 1583397 '],"[' 246150   (Analyzed', ' 79665)']","[' 645      (Average', ' 123.51 Last', ' 544)']",[' 1419.3  '],"[' 618      (Average Length', ' 377.51 Splits', ' 0)']","[' 79665    (Deleted', ' 63167)']","[' 30       (Ratio', '   0.04%)']","[' 617      (Ratio', '   0.77%)']","[' 79665    (Average Length', '    8.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 79665    (Average', ' 10.97 Max', ' 2224 Sum', ' 874040)']","[' 79378    (Average', '  9.78 Max', ' 1790 Sum', ' 778847 Ratio', '  89.11%)']","[' 287      (Average', ' 331.68 Max', ' 568 Sum', '  95193 Ratio', '  10.89%)']", ,[' 60588   '],[' 2130    '],[' 56356   '],[' 18710   '],"[' 49241    (Atom=Atom', ' 14489 Body=Body', ' 8653 Other', ' 26099)']",[' Yes'],"[' 3280     (Eliminated', '    0 Frozen', ' 3280)']","[' 35       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.373355'],[' 0'], ,[' 1.74435'],[' 0'],[' 0.0855357'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.10414e+06'],[' 2.36311e+06'],[' 0'],[' 9.6028e+07'],[' 0'],[' 0'],[' 573 '],[' 882 '],[' 1329 '],[' 1646 '],[' 2076 '],[' 2510 '],[' 2838 '],[' 3197 '],[' 0 '],[' 8 ']
Solving...,TA59, , ,[' 1209'],[' 613'],"[' 9.287s (Solving', ' 7.38s 1st Model', ' 0.96s Unsat', ' 0.38s)']",[' 9.266s'], ,[' 1409051 '],"[' 56234    (Analyzed', ' 36425)']","[' 261      (Average', ' 139.56 Last', ' 681)']",[' 1427.3  '],"[' 613      (Average Length', ' 372.71 Splits', ' 0)']","[' 36425    (Deleted', ' 23622)']","[' 23       (Ratio', '   0.06%)']","[' 529      (Ratio', '   1.45%)']","[' 36425    (Average Length', '    9.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 36425    (Average', ' 22.77 Max', ' 2190 Sum', ' 829237)']","[' 36173    (Average', ' 20.60 Max', ' 1806 Sum', ' 750431 Ratio', '  90.50%)']","[' 252      (Average', ' 312.72 Max', ' 557 Sum', '  78806 Ratio', '   9.50%)']", ,[' 60748   '],[' 2098    '],[' 56349   '],[' 18787   '],"[' 48763    (Atom=Atom', ' 14358 Body=Body', ' 8558 Other', ' 25847)']",[' Yes'],"[' 3246     (Eliminated', '    0 Frozen', ' 3246)']","[' 39       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.365681'],[' 0'], ,[' 0.898475'],[' 0'],[' 0.0723339'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.65709e+06'],[' 2.17938e+06'],[' 0'],[' 2.70794e+07'],[' 0'],[' 0'],[' 415 '],[' 799 '],[' 1103 '],[' 1450 '],[' 1946 '],[' 2295 '],[' 2629 '],[' 2993 '],[' 0 '],[' 8 ']
Solving...,TA60, , ,[' 1371'],[' 694'],"[' 10.876s (Solving', ' 8.79s 1st Model', ' 0.88s Unsat', ' 0.53s)']",[' 10.688s'], ,[' 1580910 '],"[' 112528   (Analyzed', ' 57726)']","[' 441      (Average', ' 130.90 Last', ' 249)']",[' 1533.4  '],"[' 694      (Average Length', ' 400.23 Splits', ' 0)']","[' 57726    (Deleted', ' 47340)']","[' 15       (Ratio', '   0.03%)']","[' 395      (Ratio', '   0.68%)']","[' 57726    (Average Length', '    8.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 57726    (Average', ' 14.15 Max', ' 2111 Sum', ' 817103)']","[' 57533    (Average', ' 12.93 Max', ' 1868 Sum', ' 746228 Ratio', '  91.33%)']","[' 193      (Average', ' 367.23 Max', ' 549 Sum', '  70875 Ratio', '   8.67%)']", ,[' 60909   '],[' 2107    '],[' 56594   '],[' 18898   '],"[' 49143    (Atom=Atom', ' 14475 Body=Body', ' 8585 Other', ' 26083)']",[' Yes'],"[' 3324     (Eliminated', '    0 Frozen', ' 3324)']","[' 12       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.428028'],[' 0'], ,[' 1.13321'],[' 0'],[' 0.0830087'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.06307e+06'],[' 2.4446e+06'],[' 0'],[' 3.66966e+07'],[' 0'],[' 0'],[' 535 '],[' 793 '],[' 1158 '],[' 1539 '],[' 1947 '],[' 2344 '],[' 2660 '],[' 3020 '],[' 0 '],[' 8 ']
