Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , ,[' 1'],[' 4043+'],[' 2031'],"[' 605.916s (Solving', ' 587.64s 1st Model', ' 24.22s Unsat', ' 0.01s)']",[' 604.734s'], ,[' 69622540'],"[' 17622241 (Analyzed', ' 17367675)']","[' 35720    (Average', ' 486.22 Last', ' 215679)']",[' 5829.6  '],"[' 2031     (Average Length', ' 1117.08 Splits', ' 0)']","[' 17367675 (Deleted', ' 17150241)']","[' 20       (Ratio', '   0.00%)']","[' 7383     (Ratio', '   0.04%)']","[' 17367675 (Average Length', '   14.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17367675 (Average', '  3.53 Max', ' 8173 Sum', ' 61234684)']","[' 17365731 (Average', '  3.41 Max', ' 7824 Sum', ' 59200737 Ratio', '  96.68%)']","[' 1944     (Average', ' 1046.27 Max', ' 1560 Sum', ' 2033947 Ratio', '   3.32%)']", ,[' 262757  '],[' 10556   '],[' 241990  '],[' 79767   '],"[' 207846   (Atom=Atom', ' 58709 Body=Body', ' 37608 Other', ' 111529)']",[' Yes'],"[' 13959    (Eliminated', '    0 Frozen', ' 13959)']","[' 1499     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.89555'],[' 0'], ,[' 398.289'],[' 0'],[' 8.77809'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.31931e+08'],[' 8.46795e+07'],[' 0'],[' 2.57562e+10'],[' 0'],[' 0'],[' 972 '],[' 1495 '],[' 2381 '],[' 3271 '],[' 3874 '],[' 4357 '],[' 4871 '],[' 5453 '],[' 6011 '],[' 9 '],[' 0 ']
Solving...,TA72, , , ,[' 4181'],[' 2100'],"[' 594.512s (Solving', ' 575.08s 1st Model', ' 19.40s Unsat', ' 26.79s)']",[' 593.484s'], ,[' 64364877'],"[' 19143479 (Analyzed', ' 18853869)']","[' 38967    (Average', ' 483.84 Last', ' 48369)']",[' 5859.9  '],"[' 2100     (Average Length', ' 1143.68 Splits', ' 0)']","[' 18853869 (Deleted', ' 18596032)']","[' 32       (Ratio', '   0.00%)']","[' 5825     (Ratio', '   0.03%)']","[' 18853869 (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18853869 (Average', '  2.96 Max', ' 8007 Sum', ' 55748749)']","[' 18851801 (Average', '  2.84 Max', ' 7683 Sum', ' 53550612 Ratio', '  96.06%)']","[' 2068     (Average', ' 1062.93 Max', ' 1617 Sum', ' 2198137 Ratio', '   3.94%)']", ,[' 266347  '],[' 10428   '],[' 243904  '],[' 81486   '],"[' 206095   (Atom=Atom', ' 58266 Body=Body', ' 37224 Other', ' 110605)']",[' Yes'],"[' 13910    (Eliminated', '    0 Frozen', ' 13910)']","[' 1116     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.02897'],[' 0'], ,[' 383.458'],[' 0'],[' 8.30137'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.21087e+08'],[' 7.32792e+07'],[' 0'],[' 2.60619e+10'],[' 0'],[' 0'],[' 735 '],[' 1432 '],[' 2042 '],[' 2672 '],[' 3304 '],[' 3826 '],[' 4419 '],[' 4957 '],[' 5552 '],[' 8 '],[' 1 ']
Solving...,TA73, , ,[' 1'],[' 4327+'],[' 2173'],"[' 605.963s (Solving', ' 585.50s 1st Model', ' 22.12s Unsat', ' 0.00s)']",[' 604.891s'], ,[' 70047151'],"[' 16936968 (Analyzed', ' 16693129)']","[' 34743    (Average', ' 480.47 Last', ' 50935)']",[' 6049.5  '],"[' 2173     (Average Length', ' 1170.04 Splits', ' 0)']","[' 16693129 (Deleted', ' 16494908)']","[' 14       (Ratio', '   0.00%)']","[' 7916     (Ratio', '   0.05%)']","[' 16693129 (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16693129 (Average', '  3.64 Max', ' 9145 Sum', ' 60693018)']","[' 16691164 (Average', '  3.51 Max', ' 7797 Sum', ' 58598619 Ratio', '  96.55%)']","[' 1965     (Average', ' 1065.85 Max', ' 1609 Sum', ' 2094399 Ratio', '   3.45%)']", ,[' 265416  '],[' 10535   '],[' 243789  '],[' 81080   '],"[' 207978   (Atom=Atom', ' 58767 Body=Body', ' 37545 Other', ' 111666)']",[' Yes'],"[' 14081    (Eliminated', '    0 Frozen', ' 14081)']","[' 1390     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.2908'],[' 0'], ,[' 393.506'],[' 0'],[' 9.17884'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.33948e+08'],[' 8.68482e+07'],[' 0'],[' 2.58233e+10'],[' 0'],[' 0'],[' 1006 '],[' 1673 '],[' 2304 '],[' 2826 '],[' 3451 '],[' 4068 '],[' 4757 '],[' 5321 '],[' 5889 '],[' 9 '],[' 0 ']
Solving...,TA74, , ,[' 1'],[' 4335+'],[' 2177'],"[' 577.980s (Solving', ' 557.74s 1st Model', ' 24.73s Unsat', ' 18.86s)']",[' 576.516s'], ,[' 73451020'],"[' 16023217 (Analyzed', ' 15790537)']","[' 33883    (Average', ' 466.03 Last', ' 51582)']",[' 5753.0  '],"[' 2177     (Average Length', ' 1156.19 Splits', ' 0)']","[' 15790537 (Deleted', ' 15583574)']","[' 16       (Ratio', '   0.00%)']","[' 10345    (Ratio', '   0.07%)']","[' 15790537 (Average Length', '   14.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15790537 (Average', '  4.08 Max', ' 8581 Sum', ' 64415610)']","[' 15788806 (Average', '  3.97 Max', ' 7568 Sum', ' 62663190 Ratio', '  97.28%)']","[' 1731     (Average', ' 1012.37 Max', ' 1635 Sum', ' 1752420 Ratio', '   2.72%)']", ,[' 268932  '],[' 10498   '],[' 245624  '],[' 82935   '],"[' 207365   (Atom=Atom', ' 58623 Body=Body', ' 37434 Other', ' 111308)']",[' Yes'],"[' 14027    (Eliminated', '    0 Frozen', ' 14027)']","[' 2060     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.19723'],[' 0'], ,[' 364.809'],[' 0'],[' 8.87772'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.39984e+08'],[' 9.34804e+07'],[' 0'],[' 2.38089e+10'],[' 0'],[' 0'],[' 860 '],[' 1422 '],[' 1989 '],[' 2604 '],[' 3155 '],[' 3766 '],[' 4381 '],[' 4968 '],[' 5557 '],[' 8 '],[' 1 ']
Solving...,TA75, , , ,[' 4735'],[' 2377'],"[' 499.748s (Solving', ' 480.11s 1st Model', ' 40.72s Unsat', ' 1.19s)']",[' 498.656s'], ,[' 89139854'],"[' 13281971 (Analyzed', ' 13041258)']","[' 27298    (Average', ' 477.74 Last', ' 163647)']",[' 4776.7  '],"[' 2376     (Average Length', ' 1235.65 Splits', ' 0)']","[' 13041258 (Deleted', ' 12871201)']","[' 77       (Ratio', '   0.00%)']","[' 15665    (Ratio', '   0.12%)']","[' 13041258 (Average Length', '   14.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13041258 (Average', '  6.34 Max', ' 7867 Sum', ' 82736311)']","[' 13039076 (Average', '  6.13 Max', ' 6755 Sum', ' 79975458 Ratio', '  96.66%)']","[' 2182     (Average', ' 1265.29 Max', ' 1985 Sum', ' 2760853 Ratio', '   3.34%)']", ,[' 267172  '],[' 10615   '],[' 245043  '],[' 82254   '],"[' 209742   (Atom=Atom', ' 59291 Body=Body', ' 37785 Other', ' 112666)']",[' Yes'],"[' 14241    (Eliminated', '    0 Frozen', ' 14241)']","[' 3218     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.98449'],[' 0'], ,[' 287.038'],[' 0'],[' 8.54225'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.83354e+08'],[' 1.32939e+08'],[' 0'],[' 1.87614e+10'],[' 0'],[' 0'],[' 915 '],[' 1533 '],[' 2109 '],[' 2693 '],[' 3288 '],[' 4059 '],[' 4683 '],[' 6150 '],[' 5883 '],[' 8 '],[' 1 ']
Solving...,TA76, , ,[' 1'],[' 4157+'],[' 2088'],"[' 606.124s (Solving', ' 585.92s 1st Model', ' 20.56s Unsat', ' 0.00s)']",[' 604.563s'], ,[' 61901677'],"[' 18526386 (Analyzed', ' 18264268)']","[' 38614    (Average', ' 473.00 Last', ' 206645)']",[' 5984.3  '],"[' 2088     (Average Length', ' 1137.45 Splits', ' 0)']","[' 18264268 (Deleted', ' 18019862)']","[' 9        (Ratio', '   0.00%)']","[' 5369     (Ratio', '   0.03%)']","[' 18264268 (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18264268 (Average', '  2.88 Max', ' 8911 Sum', ' 52567431)']","[' 18262684 (Average', '  2.79 Max', ' 8192 Sum', ' 50956343 Ratio', '  96.94%)']","[' 1584     (Average', ' 1017.10 Max', ' 1650 Sum', ' 1611088 Ratio', '   3.06%)']", ,[' 267344  '],[' 10454   '],[' 244449  '],[' 82094   '],"[' 206395   (Atom=Atom', ' 58358 Body=Body', ' 37302 Other', ' 110735)']",[' Yes'],"[' 13912    (Eliminated', '    0 Frozen', ' 13912)']","[' 1005     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.17948'],[' 0'], ,[' 384.148'],[' 0'],[' 8.37158'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.17928e+08'],[' 7.03437e+07'],[' 0'],[' 2.4961e+10'],[' 0'],[' 0'],[' 896 '],[' 1459 '],[' 2062 '],[' 2638 '],[' 3277 '],[' 3897 '],[' 4461 '],[' 5129 '],[' 5721 '],[' 9 '],[' 0 ']
Solving...,TA77, , , ,[' 4035'],[' 2027'],"[' 595.769s (Solving', ' 576.10s 1st Model', ' 21.34s Unsat', ' 26.58s)']",[' 594.813s'], ,[' 66048447'],"[' 17358999 (Analyzed', ' 17142317)']","[' 36422    (Average', ' 470.66 Last', ' 49146)']",[' 6122.2  '],"[' 2027     (Average Length', ' 1108.13 Splits', ' 0)']","[' 17142317 (Deleted', ' 16919958)']","[' 33       (Ratio', '   0.00%)']","[' 7076     (Ratio', '   0.04%)']","[' 17142317 (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17142317 (Average', '  3.32 Max', ' 7817 Sum', ' 56936248)']","[' 17140539 (Average', '  3.21 Max', ' 7817 Sum', ' 55081175 Ratio', '  96.74%)']","[' 1778     (Average', ' 1043.35 Max', ' 1572 Sum', ' 1855073 Ratio', '   3.26%)']", ,[' 267717  '],[' 10415   '],[' 244586  '],[' 82142   '],"[' 205694   (Atom=Atom', ' 58141 Body=Body', ' 37185 Other', ' 110368)']",[' Yes'],"[' 13835    (Eliminated', '    0 Frozen', ' 13835)']","[' 1380     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.04205'],[' 0'], ,[' 385.393'],[' 0'],[' 8.39128'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.26658e+08'],[' 7.94569e+07'],[' 0'],[' 2.49468e+10'],[' 0'],[' 0'],[' 806 '],[' 1541 '],[' 2013 '],[' 2666 '],[' 3269 '],[' 3874 '],[' 4457 '],[' 5047 '],[' 5592 '],[' 8 '],[' 1 ']
Solving...,TA78, , ,[' 1'],[' 3867+'],[' 1943'],"[' 605.757s (Solving', ' 587.00s 1st Model', ' 18.80s Unsat', ' 0.00s)']",[' 604.453s'], ,[' 67897142'],"[' 18531802 (Analyzed', ' 18322732)']","[' 38441    (Average', ' 476.65 Last', ' 67912)']",[' 6094.3  '],"[' 1943     (Average Length', ' 1075.17 Splits', ' 0)']","[' 18322732 (Deleted', ' 18097476)']","[' 14       (Ratio', '   0.00%)']","[' 7291     (Ratio', '   0.04%)']","[' 18322732 (Average Length', '   14.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18322732 (Average', '  3.22 Max', ' 9407 Sum', ' 59048434)']","[' 18320939 (Average', '  3.13 Max', ' 8001 Sum', ' 57295128 Ratio', '  97.03%)']","[' 1793     (Average', ' 977.86 Max', ' 1519 Sum', ' 1753306 Ratio', '   2.97%)']", ,[' 266772  '],[' 10542   '],[' 244176  '],[' 81793   '],"[' 207372   (Atom=Atom', ' 58565 Body=Body', ' 37566 Other', ' 111241)']",[' Yes'],"[' 13915    (Eliminated', '    0 Frozen', ' 13915)']","[' 1312     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.8708'],[' 0'], ,[' 396.524'],[' 0'],[' 8.36599'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.30252e+08'],[' 8.02493e+07'],[' 0'],[' 2.65001e+10'],[' 0'],[' 0'],[' 946 '],[' 1549 '],[' 2079 '],[' 2696 '],[' 3283 '],[' 3873 '],[' 4657 '],[' 5322 '],[' 5806 '],[' 9 '],[' 0 ']
Solving...,TA79, , ,[' 1'],[' 4617+'],[' 2318'],"[' 606.160s (Solving', ' 585.20s 1st Model', ' 22.19s Unsat', ' 0.00s)']",[' 605.219s'], ,[' 65716722'],"[' 17176750 (Analyzed', ' 16910229)']","[' 37089    (Average', ' 455.94 Last', ' 19167)']",[' 5916.7  '],"[' 2318     (Average Length', ' 1206.07 Splits', ' 0)']","[' 16910229 (Deleted', ' 16674636)']","[' 9        (Ratio', '   0.00%)']","[' 6776     (Ratio', '   0.04%)']","[' 16910229 (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16910229 (Average', '  3.29 Max', ' 8899 Sum', ' 55712585)']","[' 16908590 (Average', '  3.19 Max', ' 8899 Sum', ' 53982028 Ratio', '  96.89%)']","[' 1639     (Average', ' 1055.86 Max', ' 1752 Sum', ' 1730557 Ratio', '   3.11%)']", ,[' 268693  '],[' 10532   '],[' 245768  '],[' 82865   '],"[' 208328   (Atom=Atom', ' 58900 Body=Body', ' 37536 Other', ' 111892)']",[' Yes'],"[' 14147    (Eliminated', '    0 Frozen', ' 14147)']","[' 1322     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.32709'],[' 0'], ,[' 387.249'],[' 0'],[' 9.26064'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.25361e+08'],[' 7.95542e+07'],[' 0'],[' 2.61094e+10'],[' 0'],[' 0'],[' 870 '],[' 1459 '],[' 2040 '],[' 2576 '],[' 3122 '],[' 3791 '],[' 4380 '],[' 4940 '],[' 5500 '],[' 9 '],[' 0 ']
Solving...,TA80, , ,[' 1'],[' 4211+'],[' 2115'],"[' 606.272s (Solving', ' 586.77s 1st Model', ' 21.02s Unsat', ' 0.00s)']",[' 605.422s'], ,[' 70909187'],"[' 17295168 (Analyzed', ' 17097536)']","[' 35972    (Average', ' 475.30 Last', ' 150634)']",[' 5734.8  '],"[' 2115     (Average Length', ' 1145.69 Splits', ' 0)']","[' 17097536 (Deleted', ' 16868307)']","[' 19       (Ratio', '   0.00%)']","[' 9276     (Ratio', '   0.05%)']","[' 17097536 (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17097536 (Average', '  3.65 Max', ' 8588 Sum', ' 62430163)']","[' 17095655 (Average', '  3.53 Max', ' 8588 Sum', ' 60430455 Ratio', '  96.80%)']","[' 1881     (Average', ' 1063.11 Max', ' 1637 Sum', ' 1999708 Ratio', '   3.20%)']", ,[' 267266  '],[' 10590   '],[' 244698  '],[' 82220   '],"[' 208536   (Atom=Atom', ' 58929 Body=Body', ' 37710 Other', ' 111897)']",[' Yes'],"[' 14065    (Eliminated', '    0 Frozen', ' 14065)']","[' 1688     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.06796'],[' 0'], ,[' 392.113'],[' 0'],[' 9.18488'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.36107e+08'],[' 8.82922e+07'],[' 0'],[' 2.63606e+10'],[' 0'],[' 0'],[' 810 '],[' 1389 '],[' 2129 '],[' 2760 '],[' 3303 '],[' 3844 '],[' 4476 '],[' 5015 '],[' 5619 '],[' 9 '],[' 0 ']
