Optimal Found Or Timeout,Instances,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , ,[' 1271'],[' 646'],"[' 13.472s (Solving', ' 10.81s 1st Model', ' 1.31s Unsat', ' 0.09s)']",[' 13.281s'], ,[' 1320808 '],"[' 14978    (Analyzed', ' 6917)']","[' 56       (Average', ' 123.52 Last', ' 137)']",[' 1472.2  '],"[' 646      (Average Length', ' 388.94 Splits', ' 0)']","[' 6917     (Deleted', ' 0)']","[' 23       (Ratio', '   0.33%)']","[' 197      (Ratio', '   2.85%)']","[' 6917     (Average Length', '    7.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6917     (Average', ' 102.79 Max', ' 2305 Sum', ' 710991)']","[' 6653     (Average', ' 90.18 Max', ' 1923 Sum', ' 623746 Ratio', '  87.73%)']","[' 264      (Average', ' 330.47 Max', ' 583 Sum', '  87245 Ratio', '  12.27%)']", ,[' 76054   '],[' 2200    '],[' 71142   '],[' 21457   '],"[' 55420    (Atom=Atom', ' 16753 Body=Body', ' 9680 Other', ' 28987)']",[' Yes'],"[' 3608     (Eliminated', '    0 Frozen', ' 3608)']","[' 6        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.523275'],[' 0'], ,[' 0.910975'],[' 0'],[' 0.0834323'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.80531e+06'],[' 2.33052e+06'],[' 0'],[' 1.20066e+07'],[' 0'],[' 0'],[' 490 '],[' 821 '],[' 1157 '],[' 1481 '],[' 1803 '],[' 2114 '],[' 2406 '],[' 2776 '],[' 3127 '],[' 3382 '],[' 0 '],[' 10 ']
Solving...,TA62, , , ,[' 1751'],[' 886'],"[' 21.200s (Solving', ' 17.12s 1st Model', ' 1.88s Unsat', ' 0.22s)']",[' 21.094s'], ,[' 1898302 '],"[' 51995    (Analyzed', ' 22508)']","[' 241      (Average', ' 93.39 Last', ' 1244)']",[' 1644.2  '],"[' 886      (Average Length', ' 496.20 Splits', ' 0)']","[' 22508    (Deleted', ' 8609)']","[' 25       (Ratio', '   0.11%)']","[' 410      (Ratio', '   1.82%)']","[' 22508    (Average Length', '    7.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22508    (Average', ' 42.82 Max', ' 2624 Sum', ' 963715)']","[' 22258    (Average', ' 38.33 Max', ' 2624 Sum', ' 862802 Ratio', '  89.53%)']","[' 250      (Average', ' 403.65 Max', ' 772 Sum', ' 100913 Ratio', '  10.47%)']", ,[' 76777   '],[' 2243    '],[' 71970   '],[' 21983   '],"[' 56801    (Atom=Atom', ' 17163 Body=Body', ' 9808 Other', ' 29830)']",[' Yes'],"[' 3863     (Eliminated', '    0 Frozen', ' 3863)']","[' 15       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.784086'],[' 0'], ,[' 1.48733'],[' 0'],[' 0.127907'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.11419e+06'],[' 3.3791e+06'],[' 0'],[' 2.50148e+07'],[' 0'],[' 0'],[' 475 '],[' 800 '],[' 1095 '],[' 1495 '],[' 1838 '],[' 2147 '],[' 2373 '],[' 2720 '],[' 3088 '],[' 3455 '],[' 0 '],[' 10 ']
Solving...,TA63, , , ,[' 1359'],[' 690'],"[' 15.697s (Solving', ' 12.46s 1st Model', ' 1.29s Unsat', ' 0.07s)']",[' 15.484s'], ,[' 1363904 '],"[' 50859    (Analyzed', ' 7442)']","[' 242      (Average', ' 30.75 Last', ' 147)']",[' 1464.6  '],"[' 690      (Average Length', ' 405.52 Splits', ' 0)']","[' 7442     (Deleted', ' 2616)']","[' 20       (Ratio', '   0.27%)']","[' 201      (Ratio', '   2.70%)']","[' 7442     (Average Length', '    7.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7442     (Average', ' 97.93 Max', ' 2258 Sum', ' 728803)']","[' 7107     (Average', ' 80.66 Max', ' 1826 Sum', ' 600273 Ratio', '  82.36%)']","[' 335      (Average', ' 383.67 Max', ' 612 Sum', ' 128530 Ratio', '  17.64%)']", ,[' 75803   '],[' 2188    '],[' 70995   '],[' 21323   '],"[' 55378    (Atom=Atom', ' 16749 Body=Body', ' 9644 Other', ' 28985)']",[' Yes'],"[' 3626     (Eliminated', '    0 Frozen', ' 3626)']","[' 8        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.624619'],[' 0'], ,[' 1.1911'],[' 0'],[' 0.0932171'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.0198e+06'],[' 2.47559e+06'],[' 0'],[' 2.43415e+07'],[' 0'],[' 0'],[' 496 '],[' 854 '],[' 1134 '],[' 1436 '],[' 1745 '],[' 2032 '],[' 2466 '],[' 2668 '],[' 2916 '],[' 3288 '],[' 0 '],[' 10 ']
Solving...,TA64, , , ,[' 1405'],[' 713'],"[' 75.709s (Solving', ' 72.62s 1st Model', ' 1.34s Unsat', ' 0.08s)']",[' 74.922s'], ,[' 6465552 '],"[' 3380313  (Analyzed', ' 3364237)']","[' 7227     (Average', ' 465.51 Last', ' 4756)']",[' 1572.1  '],"[' 713      (Average Length', ' 413.20 Splits', ' 0)']","[' 3364237  (Deleted', ' 3312658)']","[' 17       (Ratio', '   0.00%)']","[' 546      (Ratio', '   0.02%)']","[' 3364237  (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3364237  (Average', '  1.67 Max', ' 2332 Sum', ' 5631665)']","[' 3363953  (Average', '  1.65 Max', ' 1870 Sum', ' 5540800 Ratio', '  98.39%)']","[' 284      (Average', ' 319.95 Max', ' 614 Sum', '  90865 Ratio', '   1.61%)']", ,[' 76024   '],[' 2226    '],[' 71227   '],[' 21494   '],"[' 56045    (Atom=Atom', ' 16922 Body=Body', ' 9757 Other', ' 29366)']",[' Yes'],"[' 3681     (Eliminated', '    0 Frozen', ' 3681)']","[' 78       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.645247'],[' 0'], ,[' 35.5191'],[' 0'],[' 1.03077'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.73182e+07'],[' 8.96008e+06'],[' 0'],[' 1.78015e+09'],[' 0'],[' 0'],[' 466 '],[' 918 '],[' 1227 '],[' 1478 '],[' 1741 '],[' 2012 '],[' 2302 '],[' 2626 '],[' 2911 '],[' 3170 '],[' 1 '],[' 9 ']
Solving...,TA65, , , ,[' 1385'],[' 703'],"[' 16.167s (Solving', ' 12.83s 1st Model', ' 1.36s Unsat', ' 0.07s)']",[' 15.891s'], ,[' 1460604 '],"[' 44814    (Analyzed', ' 9470)']","[' 199      (Average', ' 47.59 Last', ' 46)']",[' 1495.4  '],"[' 703      (Average Length', ' 410.07 Splits', ' 0)']","[' 9470     (Deleted', ' 2621)']","[' 15       (Ratio', '   0.16%)']","[' 222      (Ratio', '   2.34%)']","[' 9470     (Average Length', '    7.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9470     (Average', ' 81.08 Max', ' 2189 Sum', ' 767786)']","[' 9194     (Average', ' 71.08 Max', ' 1881 Sum', ' 673168 Ratio', '  87.68%)']","[' 276      (Average', ' 342.82 Max', ' 615 Sum', '  94618 Ratio', '  12.32%)']", ,[' 76104   '],[' 2203    '],[' 71243   '],[' 21515   '],"[' 55633    (Atom=Atom', ' 16822 Body=Body', ' 9689 Other', ' 29122)']",[' Yes'],"[' 3655     (Eliminated', '    0 Frozen', ' 3655)']","[' 7        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.650863'],[' 0'], ,[' 1.17075'],[' 0'],[' 0.0994817'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.17656e+06'],[' 2.61575e+06'],[' 0'],[' 2.01667e+07'],[' 0'],[' 0'],[' 448 '],[' 777 '],[' 1103 '],[' 1384 '],[' 1701 '],[' 1980 '],[' 2271 '],[' 2656 '],[' 2919 '],[' 3241 '],[' 0 '],[' 10 ']
Solving...,TA66, , , ,[' 1473'],[' 747'],"[' 17.396s (Solving', ' 14.35s 1st Model', ' 1.63s Unsat', ' 0.12s)']",[' 17.250s'], ,[' 1579208 '],"[' 17684    (Analyzed', ' 8631)']","[' 65       (Average', ' 132.78 Last', ' 171)']",[' 1587.0  '],"[' 747      (Average Length', ' 436.23 Splits', ' 0)']","[' 8631     (Deleted', ' 0)']","[' 17       (Ratio', '   0.20%)']","[' 224      (Ratio', '   2.60%)']","[' 8631     (Average Length', '    7.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8631     (Average', ' 96.83 Max', ' 2462 Sum', ' 835735)']","[' 8344     (Average', ' 83.65 Max', ' 2183 Sum', ' 721955 Ratio', '  86.39%)']","[' 287      (Average', ' 396.45 Max', ' 661 Sum', ' 113780 Ratio', '  13.61%)']", ,[' 76151   '],[' 2235    '],[' 71412   '],[' 21551   '],"[' 56224    (Atom=Atom', ' 16987 Body=Body', ' 9784 Other', ' 29453)']",[' Yes'],"[' 3731     (Eliminated', '    0 Frozen', ' 3731)']","[' 7        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.674901'],[' 0'], ,[' 1.14283'],[' 0'],[' 0.10588'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.34924e+06'],[' 2.78949e+06'],[' 0'],[' 1.37503e+07'],[' 0'],[' 0'],[' 452 '],[' 804 '],[' 1134 '],[' 1403 '],[' 1772 '],[' 2092 '],[' 2381 '],[' 2698 '],[' 2965 '],[' 3366 '],[' 0 '],[' 10 ']
Solving...,TA67, , , ,[' 1567'],[' 794'],"[' 21.109s (Solving', ' 17.91s 1st Model', ' 1.61s Unsat', ' 3.85s)']",[' 20.891s'], ,[' 2124144 '],"[' 370020   (Analyzed', ' 350415)']","[' 1103     (Average', ' 317.69 Last', ' 87)']",[' 1515.7  '],"[' 794      (Average Length', ' 457.41 Splits', ' 0)']","[' 350415   (Deleted', ' 335971)']","[' 17       (Ratio', '   0.00%)']","[' 462      (Ratio', '   0.13%)']","[' 350415   (Average Length', '    9.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 350415   (Average', '  4.16 Max', ' 2340 Sum', ' 1456405)']","[' 350005   (Average', '  3.61 Max', ' 1854 Sum', ' 1265305 Ratio', '  86.88%)']","[' 410      (Average', ' 466.10 Max', ' 729 Sum', ' 191100 Ratio', '  13.12%)']", ,[' 76119   '],[' 2303    '],[' 71558   '],[' 21598   '],"[' 57395    (Atom=Atom', ' 17302 Body=Body', ' 9985 Other', ' 30108)']",[' Yes'],"[' 3843     (Eliminated', '    0 Frozen', ' 3843)']","[' 22       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.68474'],[' 0'], ,[' 2.83609'],[' 0'],[' 0.166209'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.97224e+06'],[' 3.57922e+06'],[' 0'],[' 8.55841e+07'],[' 0'],[' 0'],[' 507 '],[' 922 '],[' 1239 '],[' 1584 '],[' 1829 '],[' 2135 '],[' 2551 '],[' 2854 '],[' 3115 '],[' 3370 '],[' 0 '],[' 10 ']
Solving...,TA68, , , ,[' 1211'],[' 616'],"[' 18.016s (Solving', ' 14.45s 1st Model', ' 1.21s Unsat', ' 1.61s)']",[' 17.656s'], ,[' 1453133 '],"[' 197276   (Analyzed', ' 143603)']","[' 708      (Average', ' 202.83 Last', ' 115)']",[' 1506.2  '],"[' 616      (Average Length', ' 378.81 Splits', ' 0)']","[' 143603   (Deleted', ' 134160)']","[' 19       (Ratio', '   0.01%)']","[' 404      (Ratio', '   0.28%)']","[' 143603   (Average Length', '    8.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 143603   (Average', '  5.59 Max', ' 2193 Sum', ' 803442)']","[' 143344   (Average', '  4.97 Max', ' 1870 Sum', ' 713697 Ratio', '  88.83%)']","[' 259      (Average', ' 346.51 Max', ' 555 Sum', '  89745 Ratio', '  11.17%)']", ,[' 75574   '],[' 2168    '],[' 70765   '],[' 21131   '],"[' 54823    (Atom=Atom', ' 16593 Body=Body', ' 9583 Other', ' 28647)']",[' Yes'],"[' 3560     (Eliminated', '    0 Frozen', ' 3560)']","[' 4        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.616202'],[' 0'], ,[' 1.93121'],[' 0'],[' 0.110587'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.33152e+06'],[' 2.5078e+06'],[' 0'],[' 5.18325e+07'],[' 0'],[' 0'],[' 424 '],[' 687 '],[' 1017 '],[' 1406 '],[' 1725 '],[' 2032 '],[' 2401 '],[' 2635 '],[' 2952 '],[' 3299 '],[' 0 '],[' 10 ']
Solving...,TA69, , , ,[' 1335'],[' 678'],"[' 65.996s (Solving', ' 63.08s 1st Model', ' 1.35s Unsat', ' 51.29s)']",[' 65.828s'], ,[' 6703235 '],"[' 4013578  (Analyzed', ' 3990529)']","[' 8292     (Average', ' 481.25 Last', ' 27741)']",[' 1481.3  '],"[' 678      (Average Length', ' 400.16 Splits', ' 0)']","[' 3990529  (Deleted', ' 3916373)']","[' 32       (Ratio', '   0.00%)']","[' 416      (Ratio', '   0.01%)']","[' 3990529  (Average Length', '    9.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3990529  (Average', '  1.51 Max', ' 2145 Sum', ' 6007155)']","[' 3990137  (Average', '  1.47 Max', ' 1824 Sum', ' 5871927 Ratio', '  97.75%)']","[' 392      (Average', ' 344.97 Max', ' 596 Sum', ' 135228 Ratio', '   2.25%)']", ,[' 75870   '],[' 2257    '],[' 71194   '],[' 21385   '],"[' 56363    (Atom=Atom', ' 17011 Body=Body', ' 9850 Other', ' 29502)']",[' Yes'],"[' 3696     (Eliminated', '    0 Frozen', ' 3696)']","[' 3        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.573569'],[' 0'], ,[' 24.8354'],[' 0'],[' 0.909936'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.83268e+07'],[' 8.4995e+06'],[' 0'],[' 1.02018e+09'],[' 0'],[' 0'],[' 648 '],[' 993 '],[' 1281 '],[' 1635 '],[' 1947 '],[' 2231 '],[' 2582 '],[' 2820 '],[' 3147 '],[' 3556 '],[' 0 '],[' 10 ']
Solving...,TA70, , , ,[' 1611'],[' 816'],"[' 18.313s (Solving', ' 14.76s 1st Model', ' 1.42s Unsat', ' 0.12s)']",[' 18.219s'], ,[' 1572850 '],"[' 97295    (Analyzed', ' 11332)']","[' 287      (Average', ' 39.48 Last', ' 514)']",[' 1524.9  '],"[' 816      (Average Length', ' 470.88 Splits', ' 0)']","[' 11332    (Deleted', ' 4624)']","[' 19       (Ratio', '   0.17%)']","[' 229      (Ratio', '   2.02%)']","[' 11332    (Average Length', '    7.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11332    (Average', ' 73.60 Max', ' 2547 Sum', ' 834011)']","[' 10916    (Average', ' 56.22 Max', ' 2211 Sum', ' 637056 Ratio', '  76.38%)']","[' 416      (Average', ' 473.45 Max', ' 780 Sum', ' 196955 Ratio', '  23.62%)']", ,[' 75953   '],[' 2303    '],[' 71456   '],[' 21526   '],"[' 57483    (Atom=Atom', ' 17331 Body=Body', ' 9987 Other', ' 30165)']",[' Yes'],"[' 3856     (Eliminated', '    0 Frozen', ' 3856)']","[' 17       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.701358'],[' 0'], ,[' 1.59283'],[' 0'],[' 0.104523'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.52502e+06'],[' 2.86272e+06'],[' 0'],[' 4.51619e+07'],[' 0'],[' 0'],[' 544 '],[' 915 '],[' 1253 '],[' 1606 '],[' 2009 '],[' 2332 '],[' 2709 '],[' 3038 '],[' 3296 '],[' 3549 '],[' 0 '],[' 10 ']
