Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , ,[' 1'],[' 4453+'],[' 2230'],"[' 602.958s (Solving', ' 591.60s 1st Model', ' 392.34s Unsat', ' 0.00s)']",[' 601.313s'], ,[' 292840007'],"[' 5766430  (Analyzed', ' 5574844)']","[' 14361    (Average', ' 388.19 Last', ' 147799)']",[' 4397.7  '],"[' 2230     (Average Length', ' 1198.48 Splits', ' 0)']","[' 5574844  (Deleted', ' 5492814)']","[' 417      (Ratio', '   0.01%)']","[' 46407    (Ratio', '   0.83%)']","[' 5574844  (Average Length', '   17.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5574844  (Average', ' 51.23 Max', ' 4265 Sum', ' 285586766)']","[' 5574292  (Average', ' 51.12 Max', ' 4265 Sum', ' 284970278 Ratio', '  99.78%)']","[' 552      (Average', ' 1116.83 Max', ' 1389 Sum', ' 616488 Ratio', '   0.22%)']", ,[' 104563  '],[' 7584    '],[' 99747   '],[' 51024   '],"[' 146644   (Atom=Atom', ' 38571 Body=Body', ' 26975 Other', ' 81098)']",[' Yes'],"[' 9932     (Eliminated', '    0 Frozen', ' 9932)']","[' 5998     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.40049'],[' 0'], ,[' 233.451'],[' 0'],[' 18.2487'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.02717e+09'],[' 8.84609e+08'],[' 0'],[' 9.37244e+09'],[' 0'],[' 0'],[' 1115 '],[' 2081 '],[' 2950 '],[' 3 '],[' 0 ']
Solving...,TA52, , ,[' 1'],[' 4125+'],[' 2066'],"[' 602.902s (Solving', ' 591.95s 1st Model', ' 309.69s Unsat', ' 0.00s)']",[' 601.781s'], ,[' 260218494'],"[' 8192175  (Analyzed', ' 7971531)']","[' 17323    (Average', ' 460.17 Last', ' 116880)']",[' 4467.2  '],"[' 2066     (Average Length', ' 1119.42 Splits', ' 0)']","[' 7971531  (Deleted', ' 7871146)']","[' 438      (Ratio', '   0.01%)']","[' 47590    (Ratio', '   0.60%)']","[' 7971531  (Average Length', '   18.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7971531  (Average', ' 31.74 Max', ' 4236 Sum', ' 252998581)']","[' 7970965  (Average', ' 31.67 Max', ' 4236 Sum', ' 252467963 Ratio', '  99.79%)']","[' 566      (Average', ' 937.49 Max', ' 1169 Sum', ' 530618 Ratio', '   0.21%)']", ,[' 104753  '],[' 7630    '],[' 99775   '],[' 51056   '],"[' 146853   (Atom=Atom', ' 38584 Body=Body', ' 27112 Other', ' 81157)']",[' Yes'],"[' 9845     (Eliminated', '    0 Frozen', ' 9845)']","[' 6181     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.25865'],[' 0'], ,[' 259.538'],[' 0'],[' 17.7809'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.88364e+08'],[' 7.59479e+08'],[' 0'],[' 1.15031e+10'],[' 0'],[' 0'],[' 1193 '],[' 2112 '],[' 3011 '],[' 3 '],[' 0 ']
Solving...,TA53, , ,[' 1'],[' 4419+'],[' 2213'],"[' 602.898s (Solving', ' 591.62s 1st Model', ' 318.27s Unsat', ' 0.00s)']",[' 601.406s'], ,[' 269021302'],"[' 8275436  (Analyzed', ' 7910715)']","[' 17892    (Average', ' 442.14 Last', ' 362741)']",[' 4476.2  '],"[' 2213     (Average Length', ' 1194.58 Splits', ' 0)']","[' 7910715  (Deleted', ' 7809451)']","[' 407      (Ratio', '   0.01%)']","[' 44354    (Ratio', '   0.56%)']","[' 7910715  (Average Length', '   15.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7910715  (Average', ' 33.05 Max', ' 4298 Sum', ' 261439037)']","[' 7910150  (Average', ' 32.97 Max', ' 4298 Sum', ' 260826284 Ratio', '  99.77%)']","[' 565      (Average', ' 1084.52 Max', ' 1405 Sum', ' 612753 Ratio', '   0.23%)']", ,[' 105152  '],[' 7644    '],[' 100284  '],[' 51382   '],"[' 147139   (Atom=Atom', ' 38679 Body=Body', ' 27081 Other', ' 81379)']",[' Yes'],"[' 9967     (Eliminated', '    0 Frozen', ' 9967)']","[' 5803     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.33963'],[' 0'], ,[' 255.649'],[' 0'],[' 17.5729'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.13395e+08'],[' 7.77603e+08'],[' 0'],[' 1.08844e+10'],[' 0'],[' 0'],[' 1069 '],[' 1967 '],[' 2886 '],[' 3 '],[' 0 ']
Solving...,TA54, , ,[' 1'],[' 4259+'],[' 2133'],"[' 602.880s (Solving', ' 591.89s 1st Model', ' 236.61s Unsat', ' 0.00s)']",[' 601.641s'], ,[' 282797083'],"[' 7888384  (Analyzed', ' 7572579)']","[' 15811    (Average', ' 478.94 Last', ' 199988)']",[' 4481.4  '],"[' 2133     (Average Length', ' 1149.50 Splits', ' 0)']","[' 7572579  (Deleted', ' 7458516)']","[' 435      (Ratio', '   0.01%)']","[' 48826    (Ratio', '   0.64%)']","[' 7572579  (Average Length', '   16.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7572579  (Average', ' 36.36 Max', ' 4360 Sum', ' 275370998)']","[' 7572046  (Average', ' 36.29 Max', ' 4360 Sum', ' 274831932 Ratio', '  99.80%)']","[' 533      (Average', ' 1011.38 Max', ' 1284 Sum', ' 539066 Ratio', '   0.20%)']", ,[' 104922  '],[' 7651    '],[' 100005  '],[' 51227   '],"[' 147351   (Atom=Atom', ' 38739 Body=Body', ' 27177 Other', ' 81435)']",[' Yes'],"[' 9895     (Eliminated', '    0 Frozen', ' 9895)']","[' 5930     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.27988'],[' 0'], ,[' 243.251'],[' 0'],[' 18.1373'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.71211e+08'],[' 8.34603e+08'],[' 0'],[' 1.0444e+10'],[' 0'],[' 0'],[' 1134 '],[' 1995 '],[' 2932 '],[' 3 '],[' 0 ']
Solving...,TA55, , ,[' 1'],[' 3941+'],[' 1974'],"[' 602.702s (Solving', ' 592.39s 1st Model', ' 359.26s Unsat', ' 0.00s)']",[' 601.484s'], ,[' 276705388'],"[' 7324389  (Analyzed', ' 7089459)']","[' 17240    (Average', ' 411.22 Last', ' 162281)']",[' 4259.4  '],"[' 1974     (Average Length', ' 1064.98 Splits', ' 0)']","[' 7089459  (Deleted', ' 6994144)']","[' 515      (Ratio', '   0.01%)']","[' 46706    (Ratio', '   0.66%)']","[' 7089459  (Average Length', '   17.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7089459  (Average', ' 38.10 Max', ' 4059 Sum', ' 270136826)']","[' 7088859  (Average', ' 38.02 Max', ' 4059 Sum', ' 269569896 Ratio', '  99.79%)']","[' 600      (Average', ' 944.88 Max', ' 1158 Sum', ' 566930 Ratio', '   0.21%)']", ,[' 105255  '],[' 7687    '],[' 100237  '],[' 51508   '],"[' 146690   (Atom=Atom', ' 38512 Body=Body', ' 27151 Other', ' 81027)']",[' Yes'],"[' 9766     (Eliminated', '    0 Frozen', ' 9766)']","[' 6115     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.11186'],[' 0'], ,[' 254.118'],[' 0'],[' 17.757'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.451e+08'],[' 8.0973e+08'],[' 0'],[' 1.08914e+10'],[' 0'],[' 0'],[' 1054 '],[' 2034 '],[' 2968 '],[' 3 '],[' 0 ']
Solving...,TA56, , ,[' 1'],[' 3793+'],[' 1900'],"[' 602.713s (Solving', ' 592.67s 1st Model', ' 200.77s Unsat', ' 0.00s)']",[' 600.828s'], ,[' 260798869'],"[' 10773654 (Analyzed', ' 10420540)']","[' 20492    (Average', ' 508.52 Last', ' 178280)']",[' 4574.3  '],"[' 1900     (Average Length', ' 1042.71 Splits', ' 0)']","[' 10420540 (Deleted', ' 10299325)']","[' 398      (Ratio', '   0.00%)']","[' 43638    (Ratio', '   0.42%)']","[' 10420540 (Average Length', '   18.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10420540 (Average', ' 24.33 Max', ' 4502 Sum', ' 253494863)']","[' 10419970 (Average', ' 24.28 Max', ' 4502 Sum', ' 253000039 Ratio', '  99.80%)']","[' 570      (Average', ' 868.11 Max', ' 1100 Sum', ' 494824 Ratio', '   0.20%)']", ,[' 104354  '],[' 7607    '],[' 99220   '],[' 50746   '],"[' 146003   (Atom=Atom', ' 38328 Body=Body', ' 27040 Other', ' 80635)']",[' Yes'],"[' 9657     (Eliminated', '    0 Frozen', ' 9657)']","[' 5323     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.10515'],[' 0'], ,[' 287.208'],[' 0'],[' 17.5942'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.79595e+08'],[' 6.58348e+08'],[' 0'],[' 1.38896e+10'],[' 0'],[' 0'],[' 1193 '],[' 2267 '],[' 3117 '],[' 3 '],[' 0 ']
Solving...,TA57, , ,[' 1'],[' 4391+'],[' 2199'],"[' 603.182s (Solving', ' 591.32s 1st Model', ' 331.43s Unsat', ' 0.00s)']",[' 601.859s'], ,[' 273768118'],"[' 7207540  (Analyzed', ' 6862269)']","[' 15935    (Average', ' 430.64 Last', ' 201305)']",[' 4579.5  '],"[' 2199     (Average Length', ' 1177.04 Splits', ' 0)']","[' 6862269  (Deleted', ' 6771363)']","[' 461      (Ratio', '   0.01%)']","[' 45100    (Ratio', '   0.66%)']","[' 6862269  (Average Length', '   18.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6862269  (Average', ' 38.75 Max', ' 4366 Sum', ' 265893905)']","[' 6861711  (Average', ' 38.67 Max', ' 4366 Sum', ' 265346786 Ratio', '  99.79%)']","[' 558      (Average', ' 980.50 Max', ' 1235 Sum', ' 547119 Ratio', '   0.21%)']", ,[' 104882  '],[' 7635    '],[' 100034  '],[' 51247   '],"[' 147340   (Atom=Atom', ' 38745 Body=Body', ' 27136 Other', ' 81459)']",[' Yes'],"[' 9960     (Eliminated', '    0 Frozen', ' 9960)']","[' 5814     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.43195'],[' 0'], ,[' 250.117'],[' 0'],[' 17.547'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.38599e+08'],[' 8.01647e+08'],[' 0'],[' 1.08953e+10'],[' 0'],[' 0'],[' 1264 '],[' 2228 '],[' 3154 '],[' 3 '],[' 0 ']
Solving...,TA58, , ,[' 1'],[' 4605+'],[' 2306'],"[' 603.097s (Solving', ' 591.03s 1st Model', ' 289.98s Unsat', ' 0.00s)']",[' 601.563s'], ,[' 273169852'],"[' 8508021  (Analyzed', ' 8064886)']","[' 16978    (Average', ' 475.02 Last', ' 140957)']",[' 4500.3  '],"[' 2306     (Average Length', ' 1235.20 Splits', ' 0)']","[' 8064886  (Deleted', ' 7954613)']","[' 407      (Ratio', '   0.01%)']","[' 48176    (Ratio', '   0.60%)']","[' 8064886  (Average Length', '   18.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8064886  (Average', ' 32.88 Max', ' 4261 Sum', ' 265182641)']","[' 8064305  (Average', ' 32.80 Max', ' 4261 Sum', ' 264539459 Ratio', '  99.76%)']","[' 581      (Average', ' 1107.03 Max', ' 1383 Sum', ' 643182 Ratio', '   0.24%)']", ,[' 105120  '],[' 7631    '],[' 100332  '],[' 51377   '],"[' 147547   (Atom=Atom', ' 38816 Body=Body', ' 27087 Other', ' 81644)']",[' Yes'],"[' 10033    (Eliminated', '    0 Frozen', ' 10033)']","[' 6283     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.52335'],[' 0'], ,[' 249.747'],[' 0'],[' 17.4593'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.32731e+08'],[' 8.0263e+08'],[' 0'],[' 1.09529e+10'],[' 0'],[' 0'],[' 1180 '],[' 2137 '],[' 3105 '],[' 3 '],[' 0 ']
Solving...,TA59, , ,[' 1'],[' 4279+'],[' 2143'],"[' 602.940s (Solving', ' 591.72s 1st Model', ' 334.15s Unsat', ' 0.00s)']",[' 601.531s'], ,[' 262092936'],"[' 8916740  (Analyzed', ' 8603007)']","[' 18283    (Average', ' 470.55 Last', ' 333094)']",[' 4548.7  '],"[' 2143     (Average Length', ' 1162.60 Splits', ' 0)']","[' 8603007  (Deleted', ' 8499953)']","[' 381      (Ratio', '   0.00%)']","[' 44827    (Ratio', '   0.52%)']","[' 8603007  (Average Length', '   17.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8603007  (Average', ' 29.58 Max', ' 4376 Sum', ' 254456821)']","[' 8602461  (Average', ' 29.51 Max', ' 4376 Sum', ' 253892938 Ratio', '  99.78%)']","[' 546      (Average', ' 1032.75 Max', ' 1271 Sum', ' 563883 Ratio', '   0.22%)']", ,[' 104703  '],[' 7619    '],[' 99848   '],[' 51077   '],"[' 146913   (Atom=Atom', ' 38615 Body=Body', ' 27061 Other', ' 81237)']",[' Yes'],"[' 9902     (Eliminated', '    0 Frozen', ' 9902)']","[' 5679     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.33733'],[' 0'], ,[' 263.746'],[' 0'],[' 17.626'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.71457e+08'],[' 7.4194e+08'],[' 0'],[' 1.16072e+10'],[' 0'],[' 0'],[' 1019 '],[' 2019 '],[' 2944 '],[' 3 '],[' 0 ']
Solving...,TA60, , ,[' 1'],[' 4977+'],[' 2492'],"[' 603.422s (Solving', ' 590.57s 1st Model', ' 367.61s Unsat', ' 0.00s)']",[' 601.953s'], ,[' 295771072'],"[' 4856774  (Analyzed', ' 4586070)']","[' 12497    (Average', ' 366.97 Last', ' 234784)']",[' 4442.3  '],"[' 2492     (Average Length', ' 1308.03 Splits', ' 0)']","[' 4586070  (Deleted', ' 4511919)']","[' 405      (Ratio', '   0.01%)']","[' 47681    (Ratio', '   1.04%)']","[' 4586070  (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4586070  (Average', ' 62.77 Max', ' 4148 Sum', ' 287858776)']","[' 4585533  (Average', ' 62.63 Max', ' 4148 Sum', ' 287222943 Ratio', '  99.78%)']","[' 537      (Average', ' 1184.05 Max', ' 2981 Sum', ' 635833 Ratio', '   0.22%)']", ,[' 104981  '],[' 7603    '],[' 100354  '],[' 51348   '],"[' 147727   (Atom=Atom', ' 38912 Body=Body', ' 27014 Other', ' 81801)']",[' Yes'],"[' 10167    (Eliminated', '    0 Frozen', ' 10167)']","[' 6219     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.65655'],[' 0'], ,[' 223.026'],[' 0'],[' 18.2872'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.06536e+09'],[' 9.19295e+08'],[' 0'],[' 8.72535e+09'],[' 0'],[' 0'],[' 1022 '],[' 1996 '],[' 2894 '],[' 3 '],[' 0 ']
