Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , ,[' 1'],[' 5449+'],[' 2729'],"[' 604.800s (Solving', ' 587.56s 1st Model', ' 172.59s Unsat', ' 0.00s)']",[' 603.359s'], ,[' 236153895'],"[' 11676825 (Analyzed', ' 11435965)']","[' 24048    (Average', ' 475.55 Last', ' 92135)']",[' 5157.9  '],"[' 2729     (Average Length', ' 1468.47 Splits', ' 0)']","[' 11435965 (Deleted', ' 11268836)']","[' 392      (Ratio', '   0.00%)']","[' 35970    (Ratio', '   0.31%)']","[' 11435965 (Average Length', '   13.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11435965 (Average', ' 19.78 Max', ' 5134 Sum', ' 226224728)']","[' 11435178 (Average', ' 19.70 Max', ' 5134 Sum', ' 225312056 Ratio', '  99.60%)']","[' 787      (Average', ' 1159.68 Max', ' 1706 Sum', ' 912672 Ratio', '   0.40%)']", ,[' 132099  '],[' 8728    '],[' 124477  '],[' 65047   '],"[' 172714   (Atom=Atom', ' 47000 Body=Body', ' 32662 Other', ' 93052)']",[' Yes'],"[' 11759    (Eliminated', '    0 Frozen', ' 11759)']","[' 5077     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.64735'],[' 0'], ,[' 285.088'],[' 0'],[' 17.1202'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.2321e+08'],[' 5.15199e+08'],[' 0'],[' 1.34311e+10'],[' 0'],[' 0'],[' 936 '],[' 1779 '],[' 2475 '],[' 3198 '],[' 4 '],[' 0 ']
Solving...,TA62, , ,[' 1'],[' 6915+'],[' 3462'],"[' 606.014s (Solving', ' 584.42s 1st Model', ' 366.93s Unsat', ' 0.00s)']",[' 604.234s'], ,[' 276525711'],"[' 7122408  (Analyzed', ' 6886873)']","[' 16841    (Average', ' 408.93 Last', ' 175144)']",[' 5320.6  '],"[' 3462     (Average Length', ' 1814.56 Splits', ' 0)']","[' 6886873  (Deleted', ' 6785817)']","[' 400      (Ratio', '   0.01%)']","[' 40059    (Ratio', '   0.58%)']","[' 6886873  (Average Length', '   15.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6886873  (Average', ' 38.46 Max', ' 4962 Sum', ' 264840925)']","[' 6886154  (Average', ' 38.28 Max', ' 4962 Sum', ' 263649231 Ratio', '  99.55%)']","[' 719      (Average', ' 1657.43 Max', ' 3535 Sum', ' 1191694 Ratio', '   0.45%)']", ,[' 133172  '],[' 8801    '],[' 126080  '],[' 66059   '],"[' 176757   (Atom=Atom', ' 48223 Body=Body', ' 33055 Other', ' 95479)']",[' Yes'],"[' 12435    (Eliminated', '    0 Frozen', ' 12435)']","[' 5755     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.58619'],[' 0'], ,[' 242.082'],[' 0'],[' 17.7227'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.936e+08'],[' 6.58897e+08'],[' 0'],[' 1.00578e+10'],[' 0'],[' 0'],[' 942 '],[' 1748 '],[' 2495 '],[' 3245 '],[' 4 '],[' 0 ']
Solving...,TA63, , ,[' 1'],[' 6005+'],[' 3007'],"[' 605.490s (Solving', ' 585.83s 1st Model', ' 330.83s Unsat', ' 0.00s)']",[' 602.734s'], ,[' 260715890'],"[' 7408224  (Analyzed', ' 7193828)']","[' 17693    (Average', ' 406.59 Last', ' 191213)']",[' 5122.1  '],"[' 3007     (Average Length', ' 1598.74 Splits', ' 0)']","[' 7193828  (Deleted', ' 7087652)']","[' 456      (Ratio', '   0.01%)']","[' 35326    (Ratio', '   0.49%)']","[' 7193828  (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7193828  (Average', ' 34.82 Max', ' 4981 Sum', ' 250478812)']","[' 7193050  (Average', ' 34.68 Max', ' 4981 Sum', ' 249452799 Ratio', '  99.59%)']","[' 778      (Average', ' 1318.78 Max', ' 1936 Sum', ' 1026013 Ratio', '   0.41%)']", ,[' 132006  '],[' 8673    '],[' 124551  '],[' 64981   '],"[' 173075   (Atom=Atom', ' 47162 Body=Body', ' 32587 Other', ' 93326)']",[' Yes'],"[' 11938    (Eliminated', '    0 Frozen', ' 11938)']","[' 5237     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.08692'],[' 0'], ,[' 253.64'],[' 0'],[' 17.914'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.36248e+08'],[' 6.09846e+08'],[' 0'],[' 1.02791e+10'],[' 0'],[' 0'],[' 885 '],[' 1589 '],[' 2328 '],[' 3026 '],[' 4 '],[' 0 ']
Solving...,TA64, , ,[' 1'],[' 6519+'],[' 3264'],"[' 605.548s (Solving', ' 585.17s 1st Model', ' 358.38s Unsat', ' 0.00s)']",[' 603.703s'], ,[' 256504915'],"[' 9699190  (Analyzed', ' 9156151)']","[' 21358    (Average', ' 428.70 Last', ' 142370)']",[' 5190.5  '],"[' 3264     (Average Length', ' 1715.63 Splits', ' 0)']","[' 9156151  (Deleted', ' 9036298)']","[' 385      (Ratio', '   0.00%)']","[' 38125    (Ratio', '   0.42%)']","[' 9156151  (Average Length', '   14.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9156151  (Average', ' 26.77 Max', ' 5025 Sum', ' 245080533)']","[' 9155426  (Average', ' 26.65 Max', ' 5025 Sum', ' 244030492 Ratio', '  99.57%)']","[' 725      (Average', ' 1448.33 Max', ' 3051 Sum', ' 1050041 Ratio', '   0.43%)']", ,[' 132910  '],[' 8761    '],[' 125598  '],[' 65766   '],"[' 174998   (Atom=Atom', ' 47689 Body=Body', ' 32840 Other', ' 94469)']",[' Yes'],"[' 12204    (Eliminated', '    0 Frozen', ' 12204)']","[' 5467     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.36155'],[' 0'], ,[' 255.854'],[' 0'],[' 16.9598'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.38721e+08'],[' 6.16523e+08'],[' 0'],[' 1.11586e+10'],[' 0'],[' 0'],[' 998 '],[' 1644 '],[' 2338 '],[' 3040 '],[' 4 '],[' 0 ']
Solving...,TA65, , ,[' 1'],[' 6355+'],[' 3182'],"[' 605.412s (Solving', ' 586.28s 1st Model', ' 369.02s Unsat', ' 0.00s)']",[' 604.000s'], ,[' 284298026'],"[' 6761108  (Analyzed', ' 6535438)']","[' 16210    (Average', ' 403.17 Last', ' 196590)']",[' 4893.0  '],"[' 3182     (Average Length', ' 1672.59 Splits', ' 0)']","[' 6535438  (Deleted', ' 6437694)']","[' 433      (Ratio', '   0.01%)']","[' 38648    (Ratio', '   0.59%)']","[' 6535438  (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6535438  (Average', ' 42.00 Max', ' 4859 Sum', ' 274462566)']","[' 6534674  (Average', ' 41.82 Max', ' 4859 Sum', ' 273337411 Ratio', '  99.59%)']","[' 764      (Average', ' 1472.72 Max', ' 2211 Sum', ' 1125155 Ratio', '   0.41%)']", ,[' 132923  '],[' 8715    '],[' 125483  '],[' 65764   '],"[' 173299   (Atom=Atom', ' 47217 Body=Body', ' 32552 Other', ' 93530)']",[' Yes'],"[' 12032    (Eliminated', '    0 Frozen', ' 12032)']","[' 5633     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.98294'],[' 0'], ,[' 241.009'],[' 0'],[' 18.3112'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.45171e+08'],[' 7.06524e+08'],[' 0'],[' 9.88176e+09'],[' 0'],[' 0'],[' 820 '],[' 1522 '],[' 2254 '],[' 2996 '],[' 4 '],[' 0 ']
Solving...,TA66, , ,[' 1'],[' 5883+'],[' 2946'],"[' 605.214s (Solving', ' 587.21s 1st Model', ' 373.15s Unsat', ' 0.00s)']",[' 603.469s'], ,[' 285199161'],"[' 5886919  (Analyzed', ' 5604922)']","[' 13993    (Average', ' 400.55 Last', ' 147588)']",[' 4979.7  '],"[' 2946     (Average Length', ' 1596.11 Splits', ' 0)']","[' 5604922  (Deleted', ' 5526332)']","[' 427      (Ratio', '   0.01%)']","[' 39557    (Ratio', '   0.71%)']","[' 5604922  (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5604922  (Average', ' 49.13 Max', ' 4799 Sum', ' 275375344)']","[' 5604260  (Average', ' 48.98 Max', ' 4799 Sum', ' 274509504 Ratio', '  99.69%)']","[' 662      (Average', ' 1307.92 Max', ' 2060 Sum', ' 865840 Ratio', '   0.31%)']", ,[' 133237  '],[' 8801    '],[' 125763  '],[' 65930   '],"[' 174405   (Atom=Atom', ' 47474 Body=Body', ' 32893 Other', ' 94038)']",[' Yes'],"[' 12045    (Eliminated', '    0 Frozen', ' 12045)']","[' 5354     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.81832'],[' 0'], ,[' 238.433'],[' 0'],[' 18.2766'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.75187e+08'],[' 7.34198e+08'],[' 0'],[' 9.58099e+09'],[' 0'],[' 0'],[' 827 '],[' 1554 '],[' 2310 '],[' 3109 '],[' 4 '],[' 0 ']
Solving...,TA67, , ,[' 1'],[' 5781+'],[' 2895'],"[' 605.036s (Solving', ' 586.74s 1st Model', ' 291.65s Unsat', ' 0.00s)']",[' 603.625s'], ,[' 248516151'],"[' 9280508  (Analyzed', ' 9044628)']","[' 20359    (Average', ' 444.26 Last', ' 207368)']",[' 5029.0  '],"[' 2895     (Average Length', ' 1539.48 Splits', ' 0)']","[' 9044628  (Deleted', ' 8926050)']","[' 523      (Ratio', '   0.01%)']","[' 37525    (Ratio', '   0.41%)']","[' 9044628  (Average Length', '   15.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9044628  (Average', ' 26.39 Max', ' 5125 Sum', ' 238678072)']","[' 9043813  (Average', ' 26.27 Max', ' 5125 Sum', ' 237624579 Ratio', '  99.56%)']","[' 815      (Average', ' 1292.63 Max', ' 2569 Sum', ' 1053493 Ratio', '   0.44%)']", ,[' 133595  '],[' 8849    '],[' 126004  '],[' 66291   '],"[' 173639   (Atom=Atom', ' 47258 Body=Body', ' 32736 Other', ' 93645)']",[' Yes'],"[' 11901    (Eliminated', '    0 Frozen', ' 11901)']","[' 5583     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.78108'],[' 0'], ,[' 278.268'],[' 0'],[' 17.1389'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.76997e+08'],[' 5.63809e+08'],[' 0'],[' 1.27144e+10'],[' 0'],[' 0'],[' 967 '],[' 1714 '],[' 2583 '],[' 3271 '],[' 4 '],[' 0 ']
Solving...,TA68, , ,[' 1'],[' 6193+'],[' 3101'],"[' 605.564s (Solving', ' 585.58s 1st Model', ' 244.26s Unsat', ' 0.00s)']",[' 603.953s'], ,[' 233846111'],"[' 12225131 (Analyzed', ' 11893646)']","[' 24571    (Average', ' 484.05 Last', ' 173634)']",[' 5398.5  '],"[' 3101     (Average Length', ' 1645.30 Splits', ' 0)']","[' 11893646 (Deleted', ' 11724729)']","[' 394      (Ratio', '   0.00%)']","[' 32922    (Ratio', '   0.28%)']","[' 11893646 (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11893646 (Average', ' 18.70 Max', ' 5098 Sum', ' 222456784)']","[' 11892822 (Average', ' 18.61 Max', ' 5098 Sum', ' 221362399 Ratio', '  99.51%)']","[' 824      (Average', ' 1328.14 Max', ' 2052 Sum', ' 1094385 Ratio', '   0.49%)']", ,[' 132251  '],[' 8685    '],[' 124899  '],[' 65238   '],"[' 173638   (Atom=Atom', ' 47334 Body=Body', ' 32622 Other', ' 93682)']",[' Yes'],"[' 11990    (Eliminated', '    0 Frozen', ' 11990)']","[' 4862     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.14261'],[' 0'], ,[' 279.419'],[' 0'],[' 16.7395'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.12546e+08'],[' 5.05408e+08'],[' 0'],[' 1.33107e+10'],[' 0'],[' 0'],[' 865 '],[' 1693 '],[' 2349 '],[' 3100 '],[' 4 '],[' 0 ']
Solving...,TA69, , ,[' 1'],[' 6329+'],[' 3169'],"[' 605.477s (Solving', ' 585.07s 1st Model', ' 349.57s Unsat', ' 0.00s)']",[' 603.875s'], ,[' 245935684'],"[' 9407788  (Analyzed', ' 9161178)']","[' 20321    (Average', ' 450.82 Last', ' 606999)']",[' 5141.9  '],"[' 3169     (Average Length', ' 1661.08 Splits', ' 0)']","[' 9161178  (Deleted', ' 9045230)']","[' 440      (Ratio', '   0.00%)']","[' 36766    (Ratio', '   0.40%)']","[' 9161178  (Average Length', '   14.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9161178  (Average', ' 25.68 Max', ' 4982 Sum', ' 235263033)']","[' 9160372  (Average', ' 25.56 Max', ' 4982 Sum', ' 234124876 Ratio', '  99.52%)']","[' 806      (Average', ' 1412.11 Max', ' 2108 Sum', ' 1138157 Ratio', '   0.48%)']", ,[' 132645  '],[' 8742    '],[' 125307  '],[' 65496   '],"[' 174754   (Atom=Atom', ' 47619 Body=Body', ' 32865 Other', ' 94270)']",[' Yes'],"[' 12128    (Eliminated', '    0 Frozen', ' 12128)']","[' 5417     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.12879'],[' 0'], ,[' 267.892'],[' 0'],[' 17.6286'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.91762e+08'],[' 5.76254e+08'],[' 0'],[' 1.17594e+10'],[' 0'],[' 0'],[' 1048 '],[' 1817 '],[' 2525 '],[' 3314 '],[' 4 '],[' 0 ']
Solving...,TA70, , ,[' 1'],[' 5917+'],[' 2963'],"[' 604.808s (Solving', ' 587.70s 1st Model', ' 325.10s Unsat', ' 0.00s)']",[' 603.563s'], ,[' 249603198'],"[' 8418838  (Analyzed', ' 8112993)']","[' 18240    (Average', ' 444.79 Last', ' 335386)']",[' 5017.9  '],"[' 2963     (Average Length', ' 1586.17 Splits', ' 0)']","[' 8112993  (Deleted', ' 8011313)']","[' 526      (Ratio', '   0.01%)']","[' 37252    (Ratio', '   0.46%)']","[' 8112993  (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8112993  (Average', ' 29.54 Max', ' 5132 Sum', ' 239641529)']","[' 8112284  (Average', ' 29.41 Max', ' 5132 Sum', ' 238623739 Ratio', '  99.58%)']","[' 709      (Average', ' 1435.53 Max', ' 2094 Sum', ' 1017790 Ratio', '   0.42%)']", ,[' 132386  '],[' 8745    '],[' 124955  '],[' 65263   '],"[' 173747   (Atom=Atom', ' 47289 Body=Body', ' 32753 Other', ' 93705)']",[' Yes'],"[' 11933    (Eliminated', '    0 Frozen', ' 11933)']","[' 4873     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.66142'],[' 0'], ,[' 268.196'],[' 0'],[' 16.9893'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.32022e+08'],[' 6.12304e+08'],[' 0'],[' 1.15755e+10'],[' 0'],[' 0'],[' 1039 '],[' 1777 '],[' 2607 '],[' 3323 '],[' 4 '],[' 0 ']
