Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , ,[' 1'],[' 5733+'],[' 2875'],"[' 610.834s (Solving', ' 575.59s 1st Model', ' 60.63s Unsat', ' 0.00s)']",[' 609.750s'], ,[' 134831068'],"[' 12259715 (Analyzed', ' 11777324)']","[' 23182    (Average', ' 508.04 Last', ' 602051)']",[' 7987.6  '],"[' 2875     (Average Length', ' 1518.71 Splits', ' 0)']","[' 11777324 (Deleted', ' 11641228)']","[' 202      (Ratio', '   0.00%)']","[' 19460    (Ratio', '   0.17%)']","[' 11777324 (Average Length', '   17.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11777324 (Average', ' 10.04 Max', ' 10620 Sum', ' 118186646)']","[' 11775088 (Average', '  9.78 Max', ' 10620 Sum', ' 115233824 Ratio', '  97.50%)']","[' 2236     (Average', ' 1320.58 Max', ' 2026 Sum', ' 2952822 Ratio', '   2.50%)']", ,[' 304872  '],[' 14225   '],[' 279442  '],[' 111898  '],"[' 273565   (Atom=Atom', ' 76317 Body=Body', ' 51152 Other', ' 146096)']",[' Yes'],"[' 18313    (Eliminated', '    0 Frozen', ' 18313)']","[' 3097     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.88108'],[' 0'], ,[' 325.017'],[' 0'],[' 11.9801'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.20778e+08'],[' 1.74342e+08'],[' 0'],[' 1.83097e+10'],[' 0'],[' 0'],[' 1040 '],[' 1819 '],[' 2672 '],[' 3289 '],[' 3902 '],[' 4590 '],[' 5227 '],[' 5850 '],[' 8 '],[' 0 ']
Solving...,TA72, , ,[' 1'],[' 6741+'],[' 3379'],"[' 611.463s (Solving', ' 570.77s 1st Model', ' 78.19s Unsat', ' 0.00s)']",[' 610.391s'], ,[' 136164878'],"[' 10592672 (Analyzed', ' 10191082)']","[' 23184    (Average', ' 439.57 Last', ' 139606)']",[' 7764.9  '],"[' 3379     (Average Length', ' 1704.79 Splits', ' 0)']","[' 10191082 (Deleted', ' 10039335)']","[' 316      (Ratio', '   0.00%)']","[' 20003    (Ratio', '   0.20%)']","[' 10191082 (Average Length', '   14.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10191082 (Average', ' 11.61 Max', ' 9330 Sum', ' 118338260)']","[' 10188559 (Average', ' 11.27 Max', ' 9330 Sum', ' 114834077 Ratio', '  97.04%)']","[' 2523     (Average', ' 1388.90 Max', ' 2315 Sum', ' 3504183 Ratio', '   2.96%)']", ,[' 305838  '],[' 13933   '],[' 279608  '],[' 112203  '],"[' 272407   (Atom=Atom', ' 76153 Body=Body', ' 50633 Other', ' 145621)']",[' Yes'],"[' 18505    (Eliminated', '    0 Frozen', ' 18505)']","[' 3749     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.14115'],[' 0'], ,[' 298.144'],[' 0'],[' 11.837'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.21864e+08'],[' 1.7871e+08'],[' 0'],[' 1.53532e+10'],[' 0'],[' 0'],[' 779 '],[' 1406 '],[' 2148 '],[' 2838 '],[' 3435 '],[' 4110 '],[' 4735 '],[' 5429 '],[' 8 '],[' 0 ']
Solving...,TA73, , ,[' 1'],[' 6243+'],[' 3130'],"[' 611.286s (Solving', ' 573.95s 1st Model', ' 65.90s Unsat', ' 0.00s)']",[' 609.266s'], ,[' 145620394'],"[' 10229369 (Analyzed', ' 9847681)']","[' 21507    (Average', ' 457.88 Last', ' 13898)']",[' 7459.6  '],"[' 3130     (Average Length', ' 1614.63 Splits', ' 0)']","[' 9847681  (Deleted', ' 9709163)']","[' 271      (Ratio', '   0.00%)']","[' 23326    (Ratio', '   0.24%)']","[' 9847681  (Average Length', '   17.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9847681  (Average', ' 13.14 Max', ' 11511 Sum', ' 129440447)']","[' 9845392  (Average', ' 12.84 Max', ' 11511 Sum', ' 126407844 Ratio', '  97.66%)']","[' 2289     (Average', ' 1324.86 Max', ' 2286 Sum', ' 3032603 Ratio', '   2.34%)']", ,[' 304692  '],[' 14172   '],[' 279457  '],[' 111908  '],"[' 273754   (Atom=Atom', ' 76441 Body=Body', ' 51041 Other', ' 146272)']",[' Yes'],"[' 18372    (Eliminated', '    0 Frozen', ' 18372)']","[' 4064     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.24848'],[' 0'], ,[' 311.336'],[' 0'],[' 12.6977'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.45163e+08'],[' 1.99046e+08'],[' 0'],[' 1.66975e+10'],[' 0'],[' 0'],[' 1089 '],[' 1858 '],[' 2446 '],[' 3274 '],[' 3818 '],[' 4565 '],[' 5258 '],[' 5867 '],[' 8 '],[' 0 ']
Solving...,TA74, , ,[' 1'],[' 6871+'],[' 3444'],"[' 612.823s (Solving', ' 571.86s 1st Model', ' 87.45s Unsat', ' 0.00s)']",[' 611.438s'], ,[' 141063911'],"[' 10642835 (Analyzed', ' 10133402)']","[' 22610    (Average', ' 448.18 Last', ' 101850)']",[' 7550.4  '],"[' 3444     (Average Length', ' 1727.96 Splits', ' 0)']","[' 10133402 (Deleted', ' 9988459)']","[' 255      (Ratio', '   0.00%)']","[' 23015    (Ratio', '   0.23%)']","[' 10133402 (Average Length', '   14.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10133402 (Average', ' 12.16 Max', ' 9623 Sum', ' 123184522)']","[' 10131200 (Average', ' 11.85 Max', ' 9623 Sum', ' 120056445 Ratio', '  97.46%)']","[' 2202     (Average', ' 1420.56 Max', ' 2496 Sum', ' 3128077 Ratio', '   2.54%)']", ,[' 305706  '],[' 13988   '],[' 279631  '],[' 112139  '],"[' 273387   (Atom=Atom', ' 76421 Body=Body', ' 50796 Other', ' 146170)']",[' Yes'],"[' 18555    (Eliminated', '    0 Frozen', ' 18555)']","[' 3939     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.16505'],[' 0'], ,[' 287.941'],[' 0'],[' 11.9949'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.55955e+08'],[' 2.0648e+08'],[' 0'],[' 1.50936e+10'],[' 0'],[' 0'],[' 928 '],[' 1546 '],[' 2153 '],[' 2914 '],[' 3580 '],[' 4304 '],[' 4952 '],[' 5580 '],[' 8 '],[' 0 ']
Solving...,TA75, , ,[' 1'],[' 7165+'],[' 3591'],"[' 611.469s (Solving', ' 570.50s 1st Model', ' 146.40s Unsat', ' 0.00s)']",[' 608.672s'], ,[' 161230244'],"[' 7957824  (Analyzed', ' 7602123)']","[' 17942    (Average', ' 423.71 Last', ' 271460)']",[' 6696.3  '],"[' 3591     (Average Length', ' 1780.93 Splits', ' 0)']","[' 7602123  (Deleted', ' 7481389)']","[' 303      (Ratio', '   0.00%)']","[' 33728    (Ratio', '   0.44%)']","[' 7602123  (Average Length', '   15.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7602123  (Average', ' 19.30 Max', ' 8639 Sum', ' 146724471)']","[' 7599621  (Average', ' 18.79 Max', ' 8639 Sum', ' 142836324 Ratio', '  97.35%)']","[' 2502     (Average', ' 1554.02 Max', ' 2612 Sum', ' 3888147 Ratio', '   2.65%)']", ,[' 306649  '],[' 14194   '],[' 281023  '],[' 113124  '],"[' 275989   (Atom=Atom', ' 77113 Body=Body', ' 51194 Other', ' 147682)']",[' Yes'],"[' 18760    (Eliminated', '    0 Frozen', ' 18760)']","[' 6146     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.35745'],[' 0'], ,[' 269.095'],[' 0'],[' 13.225'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.15368e+08'],[' 2.59674e+08'],[' 0'],[' 1.34749e+10'],[' 0'],[' 0'],[' 996 '],[' 1630 '],[' 2253 '],[' 2995 '],[' 3657 '],[' 4317 '],[' 5028 '],[' 5699 '],[' 8 '],[' 0 ']
Solving...,TA76, , ,[' 1'],[' 6777+'],[' 3397'],"[' 612.825s (Solving', ' 570.24s 1st Model', ' 74.46s Unsat', ' 0.00s)']",[' 609.422s'], ,[' 136310863'],"[' 9634372  (Analyzed', ' 9299943)']","[' 20708    (Average', ' 449.10 Last', ' 19534)']",[' 7038.2  '],"[' 3397     (Average Length', ' 1730.77 Splits', ' 0)']","[' 9299943  (Deleted', ' 9157230)']","[' 236      (Ratio', '   0.00%)']","[' 23869    (Ratio', '   0.26%)']","[' 9299943  (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9299943  (Average', ' 13.04 Max', ' 10398 Sum', ' 121301464)']","[' 9297389  (Average', ' 12.63 Max', ' 10398 Sum', ' 117496308 Ratio', '  96.86%)']","[' 2554     (Average', ' 1489.88 Max', ' 2502 Sum', ' 3805156 Ratio', '   3.14%)']", ,[' 305402  '],[' 13967   '],[' 279370  '],[' 111953  '],"[' 272639   (Atom=Atom', ' 76221 Body=Body', ' 50679 Other', ' 145739)']",[' Yes'],"[' 18521    (Eliminated', '    0 Frozen', ' 18521)']","[' 4519     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.27063'],[' 0'], ,[' 293.999'],[' 0'],[' 12.1244'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.39549e+08'],[' 1.94388e+08'],[' 0'],[' 1.50242e+10'],[' 0'],[' 0'],[' 905 '],[' 1593 '],[' 2310 '],[' 2934 '],[' 3584 '],[' 4259 '],[' 4888 '],[' 5558 '],[' 8 '],[' 0 ']
Solving...,TA77, , ,[' 1'],[' 7225+'],[' 3621'],"[' 613.974s (Solving', ' 567.97s 1st Model', ' 107.91s Unsat', ' 0.00s)']",[' 608.203s'], ,[' 140537389'],"[' 6783141  (Analyzed', ' 6203760)']","[' 14569    (Average', ' 425.82 Last', ' 41427)']",[' 7234.5  '],"[' 3621     (Average Length', ' 1810.30 Splits', ' 0)']","[' 6203760  (Deleted', ' 6081111)']","[' 233      (Ratio', '   0.00%)']","[' 26641    (Ratio', '   0.43%)']","[' 6203760  (Average Length', '   15.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6203760  (Average', ' 20.00 Max', ' 8609 Sum', ' 124062980)']","[' 6201333  (Average', ' 19.35 Max', ' 8609 Sum', ' 120015401 Ratio', '  96.74%)']","[' 2427     (Average', ' 1667.73 Max', ' 2687 Sum', ' 4047579 Ratio', '   3.26%)']", ,[' 306157  '],[' 13984   '],[' 280221  '],[' 112498  '],"[' 273684   (Atom=Atom', ' 76535 Body=Body', ' 50758 Other', ' 146391)']",[' Yes'],"[' 18569    (Eliminated', '    0 Frozen', ' 18569)']","[' 4722     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.08427'],[' 0'], ,[' 262.878'],[' 0'],[' 12.9814'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.43076e+08'],[' 2.01447e+08'],[' 0'],[' 1.13225e+10'],[' 0'],[' 0'],[' 878 '],[' 1470 '],[' 2258 '],[' 2921 '],[' 3595 '],[' 4227 '],[' 4945 '],[' 5585 '],[' 8 '],[' 0 ']
Solving...,TA78, , ,[' 1'],[' 6477+'],[' 3247'],"[' 613.610s (Solving', ' 565.37s 1st Model', ' 84.24s Unsat', ' 0.00s)']",[' 608.891s'], ,[' 112717213'],"[' 7642106  (Analyzed', ' 7271859)']","[' 16046    (Average', ' 453.19 Last', ' 73834)']",[' 7332.4  '],"[' 3247     (Average Length', ' 1652.38 Splits', ' 0)']","[' 7271859  (Deleted', ' 7160029)']","[' 301      (Ratio', '   0.00%)']","[' 19202    (Ratio', '   0.26%)']","[' 7271859  (Average Length', '   16.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7271859  (Average', ' 13.29 Max', ' 10490 Sum', ' 96677796)']","[' 7269434  (Average', ' 12.87 Max', ' 10490 Sum', ' 93568522 Ratio', '  96.78%)']","[' 2425     (Average', ' 1282.17 Max', ' 2365 Sum', ' 3109274 Ratio', '   3.22%)']", ,[' 306252  '],[' 14076   '],[' 280187  '],[' 112521  '],"[' 273343   (Atom=Atom', ' 76340 Body=Body', ' 50920 Other', ' 146083)']",[' Yes'],"[' 18417    (Eliminated', '    0 Frozen', ' 18417)']","[' 3615     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.37652'],[' 0'], ,[' 262.669'],[' 0'],[' 11.2219'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.88111e+08'],[' 1.51703e+08'],[' 0'],[' 1.11951e+10'],[' 0'],[' 0'],[' 1022 '],[' 1610 '],[' 2239 '],[' 2937 '],[' 3553 '],[' 4405 '],[' 4988 '],[' 5643 '],[' 8 '],[' 0 ']
Solving...,TA79, , ,[' 1'],[' 6453+'],[' 3235'],"[' 615.425s (Solving', ' 565.14s 1st Model', ' 112.15s Unsat', ' 0.00s)']",[' 610.203s'], ,[' 123772427'],"[' 6228473  (Analyzed', ' 5867650)']","[' 13551    (Average', ' 433.00 Last', ' 64512)']",[' 7122.2  '],"[' 3235     (Average Length', ' 1648.05 Splits', ' 0)']","[' 5867650  (Deleted', ' 5758654)']","[' 317      (Ratio', '   0.01%)']","[' 25354    (Ratio', '   0.43%)']","[' 5867650  (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5867650  (Average', ' 18.56 Max', ' 10422 Sum', ' 108883633)']","[' 5865093  (Average', ' 17.96 Max', ' 10422 Sum', ' 105404229 Ratio', '  96.80%)']","[' 2557     (Average', ' 1360.74 Max', ' 2362 Sum', ' 3479404 Ratio', '   3.20%)']", ,[' 306590  '],[' 14172   '],[' 280373  '],[' 112709  '],"[' 275501   (Atom=Atom', ' 76914 Body=Body', ' 51372 Other', ' 147215)']",[' Yes'],"[' 18589    (Eliminated', '    0 Frozen', ' 18589)']","[' 4538     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.61504'],[' 0'], ,[' 250.361'],[' 0'],[' 12.2461'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.13119e+08'],[' 1.76706e+08'],[' 0'],[' 9.74967e+09'],[' 0'],[' 0'],[' 952 '],[' 1640 '],[' 2205 '],[' 2852 '],[' 3445 '],[' 4159 '],[' 4870 '],[' 5504 '],[' 8 '],[' 0 ']
Solving...,TA80, , , ,[' 6523+'],[' 3270'],"[' 617.198s (Solving', ' 565.76s 1st Model', ' 93.93s Unsat', ' 0.00s)']",[' 613.328s'], ,[' 118745052'],"[' 7666631  (Analyzed', ' 7295543)']","[' 15891    (Average', ' 459.10 Last', ' 82210)']",[' 7734.8  '],"[' 3271     (Average Length', ' 1671.36 Splits', ' 0)']","[' 7295543  (Deleted', ' 7186515)']","[' 232      (Ratio', '   0.00%)']","[' 20825    (Ratio', '   0.29%)']","[' 7295543  (Average Length', '   17.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7295543  (Average', ' 13.93 Max', ' 9549 Sum', ' 101633637)']","[' 7293085  (Average', ' 13.46 Max', ' 9549 Sum', ' 98165086 Ratio', '  96.59%)']","[' 2458     (Average', ' 1411.13 Max', ' 2349 Sum', ' 3468551 Ratio', '   3.41%)']", ,[' 306342  '],[' 14218   '],[' 280482  '],[' 112825  '],"[' 276237   (Atom=Atom', ' 77124 Body=Body', ' 51492 Other', ' 147621)']",[' Yes'],"[' 18664    (Eliminated', '    0 Frozen', ' 18664)']","[' 3815     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.46641'],[' 0'], ,[' 264.839'],[' 0'],[' 11.6872'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.01326e+08'],[' 1.63405e+08'],[' 0'],[' 1.12855e+10'],[' 0'],[' 0'],[' 887 '],[' 1610 '],[' 2426 '],[' 2986 '],[' 3533 '],[' 4332 '],[' 4897 '],[' 5573 '],[' 8 '],[' 0 ']
