Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , ,[' 1'],[' 4987+'],[' 2504'],"[' 609.869s (Solving', ' 576.24s 1st Model', ' 35.35s Unsat', ' 0.00s)']",[' 604.734s'], ,[' 69337747'],"[' 13155395 (Analyzed', ' 12895129)']","[' 27052    (Average', ' 476.68 Last', ' 86273)']",[' 6256.1  '],"[' 2504     (Average Length', ' 1323.81 Splits', ' 0)']","[' 12895129 (Deleted', ' 12724254)']","[' 203      (Ratio', '   0.00%)']","[' 8444     (Ratio', '   0.07%)']","[' 12895129 (Average Length', '   15.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12895129 (Average', '  4.55 Max', ' 8826 Sum', ' 58650535)']","[' 12893066 (Average', '  4.36 Max', ' 8826 Sum', ' 56247860 Ratio', '  95.90%)']","[' 2063     (Average', ' 1164.65 Max', ' 1953 Sum', ' 2402675 Ratio', '   4.10%)']", ,[' 278452  '],[' 11346   '],[' 257422  '],[' 93999   '],"[' 226836   (Atom=Atom', ' 64476 Body=Body', ' 42235 Other', ' 120125)']",[' Yes'],"[' 15205    (Eliminated', '    0 Frozen', ' 15205)']","[' 1460     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.77615'],[' 0'], ,[' 327.063'],[' 0'],[' 9.29215'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.26828e+08'],[' 8.89206e+07'],[' 0'],[' 1.60537e+10'],[' 0'],[' 0'],[' 906 '],[' 1412 '],[' 1961 '],[' 3030 '],[' 3305 '],[' 3804 '],[' 4297 '],[' 4936 '],[' 5396 '],[' 5913 '],[' 10 '],[' 0 ']
Solving...,TA72, , ,[' 1'],[' 4599+'],[' 2310'],"[' 553.672s (Solving', ' 527.45s 1st Model', ' 25.86s Unsat', ' 0.00s)']",[' 550.547s'], ,[' 58017361'],"[' 10483881 (Analyzed', ' 10303912)']","[' 23091    (Average', ' 446.23 Last', ' 15707)']",[' 6186.0  '],"[' 2310     (Average Length', ' 1244.74 Splits', ' 0)']","[' 10303912 (Deleted', ' 10145796)']","[' 177      (Ratio', '   0.00%)']","[' 7560     (Ratio', '   0.07%)']","[' 10303912 (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10303912 (Average', '  4.68 Max', ' 8444 Sum', ' 48223885)']","[' 10301993 (Average', '  4.47 Max', ' 8444 Sum', ' 46060943 Ratio', '  95.51%)']","[' 1919     (Average', ' 1127.12 Max', ' 1784 Sum', ' 2162942 Ratio', '   4.49%)']", ,[' 279063  '],[' 11196   '],[' 257043  '],[' 94137   '],"[' 224704   (Atom=Atom', ' 63889 Body=Body', ' 41930 Other', ' 118885)']",[' Yes'],"[' 14951    (Eliminated', '    0 Frozen', ' 14951)']","[' 1297     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.2751'],[' 0'], ,[' 318.953'],[' 0'],[' 9.27097'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.04887e+08'],[' 7.54513e+07'],[' 0'],[' 1.59345e+10'],[' 0'],[' 0'],[' 682 '],[' 1263 '],[' 1863 '],[' 2350 '],[' 2952 '],[' 3419 '],[' 4648 '],[' 4571 '],[' 5063 '],[' 5604 '],[' 10 '],[' 0 ']
Solving...,TA73, , ,[' 1'],[' 5035+'],[' 2528'],"[' 609.489s (Solving', ' 579.20s 1st Model', ' 30.90s Unsat', ' 0.00s)']",[' 603.422s'], ,[' 71237895'],"[' 11302116 (Analyzed', ' 11137508)']","[' 25080    (Average', ' 444.08 Last', ' 29053)']",[' 6474.5  '],"[' 2528     (Average Length', ' 1335.79 Splits', ' 0)']","[' 11137508 (Deleted', ' 10979546)']","[' 242      (Ratio', '   0.00%)']","[' 10236    (Ratio', '   0.09%)']","[' 11137508 (Average Length', '   15.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11137508 (Average', '  5.36 Max', ' 8202 Sum', ' 59734582)']","[' 11135542 (Average', '  5.17 Max', ' 8202 Sum', ' 57614587 Ratio', '  96.45%)']","[' 1966     (Average', ' 1078.33 Max', ' 1882 Sum', ' 2119995 Ratio', '   3.55%)']", ,[' 278600  '],[' 11272   '],[' 257483  '],[' 94073   '],"[' 226013   (Atom=Atom', ' 64259 Body=Body', ' 42056 Other', ' 119698)']",[' Yes'],"[' 15187    (Eliminated', '    0 Frozen', ' 15187)']","[' 1897     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.08379'],[' 0'], ,[' 349.599'],[' 0'],[' 9.43294'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.27978e+08'],[' 9.23356e+07'],[' 0'],[' 1.81143e+10'],[' 0'],[' 0'],[' 925 '],[' 1580 '],[' 2071 '],[' 2579 '],[' 3274 '],[' 3780 '],[' 4337 '],[' 4859 '],[' 5430 '],[' 5907 '],[' 10 '],[' 0 ']
Solving...,TA74, , ,[' 1'],[' 5023+'],[' 2522'],"[' 607.713s (Solving', ' 580.70s 1st Model', ' 28.88s Unsat', ' 0.00s)']",[' 606.484s'], ,[' 71311185'],"[' 15240704 (Analyzed', ' 14997810)']","[' 32210    (Average', ' 465.63 Last', ' 68597)']",[' 6824.5  '],"[' 2522     (Average Length', ' 1320.40 Splits', ' 0)']","[' 14997810 (Deleted', ' 14798580)']","[' 219      (Ratio', '   0.00%)']","[' 7976     (Ratio', '   0.05%)']","[' 14997810 (Average Length', '   14.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14997810 (Average', '  3.90 Max', ' 9544 Sum', ' 58455481)']","[' 14995989 (Average', '  3.78 Max', ' 9544 Sum', ' 56662190 Ratio', '  96.93%)']","[' 1821     (Average', ' 984.78 Max', ' 1862 Sum', ' 1793291 Ratio', '   3.07%)']", ,[' 279460  '],[' 11170   '],[' 257415  '],[' 94176   '],"[' 225617   (Atom=Atom', ' 64159 Body=Body', ' 42013 Other', ' 119445)']",[' Yes'],"[' 15131    (Eliminated', '    0 Frozen', ' 15131)']","[' 1003     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.59614'],[' 0'], ,[' 364.387'],[' 0'],[' 9.11266'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.29519e+08'],[' 8.82352e+07'],[' 0'],[' 2.115e+10'],[' 0'],[' 0'],[' 761 '],[' 1303 '],[' 1835 '],[' 2373 '],[' 3021 '],[' 3490 '],[' 4062 '],[' 4576 '],[' 5111 '],[' 5592 '],[' 10 '],[' 0 ']
Solving...,TA75, , ,[' 1'],[' 6151+'],[' 3086'],"[' 608.695s (Solving', ' 578.36s 1st Model', ' 45.30s Unsat', ' 0.00s)']",[' 607.359s'], ,[' 88234450'],"[' 12244403 (Analyzed', ' 12011183)']","[' 26929    (Average', ' 446.03 Last', ' 86011)']",[' 6193.2  '],"[' 3086     (Average Length', ' 1510.29 Splits', ' 0)']","[' 12011183 (Deleted', ' 11836511)']","[' 205      (Ratio', '   0.00%)']","[' 13971    (Ratio', '   0.12%)']","[' 12011183 (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12011183 (Average', '  6.32 Max', ' 8771 Sum', ' 75900065)']","[' 12009167 (Average', '  6.08 Max', ' 8771 Sum', ' 73085861 Ratio', '  96.29%)']","[' 2016     (Average', ' 1395.93 Max', ' 2262 Sum', ' 2814204 Ratio', '   3.71%)']", ,[' 280097  '],[' 11375   '],[' 259145  '],[' 95260   '],"[' 229149   (Atom=Atom', ' 65216 Body=Body', ' 42367 Other', ' 121566)']",[' Yes'],"[' 15616    (Eliminated', '    0 Frozen', ' 15616)']","[' 2264     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.43986'],[' 0'], ,[' 340.457'],[' 0'],[' 10.2938'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.68686e+08'],[' 1.26285e+08'],[' 0'],[' 1.96351e+10'],[' 0'],[' 0'],[' 915 '],[' 1376 '],[' 1913 '],[' 2422 '],[' 2978 '],[' 3515 '],[' 4114 '],[' 4651 '],[' 5208 '],[' 5734 '],[' 10 '],[' 0 ']
Solving...,TA76, , ,[' 1'],[' 5329+'],[' 2675'],"[' 608.329s (Solving', ' 580.90s 1st Model', ' 28.46s Unsat', ' 0.00s)']",[' 606.813s'], ,[' 75902307'],"[' 14508252 (Analyzed', ' 14329944)']","[' 31610    (Average', ' 453.34 Last', ' 95399)']",[' 6274.4  '],"[' 2675     (Average Length', ' 1390.29 Splits', ' 0)']","[' 14329944 (Deleted', ' 14128576)']","[' 247      (Ratio', '   0.00%)']","[' 9605     (Ratio', '   0.07%)']","[' 14329944 (Average Length', '   13.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14329944 (Average', '  4.51 Max', ' 9604 Sum', ' 64575916)']","[' 14327770 (Average', '  4.34 Max', ' 9604 Sum', ' 62178111 Ratio', '  96.29%)']","[' 2174     (Average', ' 1102.95 Max', ' 2047 Sum', ' 2397805 Ratio', '   3.71%)']", ,[' 279461  '],[' 11093   '],[' 257334  '],[' 94106   '],"[' 224905   (Atom=Atom', ' 64004 Body=Body', ' 41736 Other', ' 119165)']",[' Yes'],"[' 15179    (Eliminated', '    0 Frozen', ' 15179)']","[' 1862     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.79688'],[' 0'], ,[' 360.453'],[' 0'],[' 9.51027'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.4228e+08'],[' 9.97124e+07'],[' 0'],[' 2.09376e+10'],[' 0'],[' 0'],[' 809 '],[' 1331 '],[' 1893 '],[' 2401 '],[' 2927 '],[' 3406 '],[' 3945 '],[' 4478 '],[' 5013 '],[' 5541 '],[' 10 '],[' 0 ']
Solving...,TA77, , ,[' 1'],[' 5229+'],[' 2625'],"[' 608.632s (Solving', ' 581.38s 1st Model', ' 28.49s Unsat', ' 0.00s)']",[' 606.781s'], ,[' 68373561'],"[' 14348445 (Analyzed', ' 14099752)']","[' 30737    (Average', ' 458.72 Last', ' 164735)']",[' 6628.4  '],"[' 2625     (Average Length', ' 1370.09 Splits', ' 0)']","[' 14099752 (Deleted', ' 13902135)']","[' 148      (Ratio', '   0.00%)']","[' 8071     (Ratio', '   0.06%)']","[' 14099752 (Average Length', '   14.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14099752 (Average', '  3.96 Max', ' 9138 Sum', ' 55852493)']","[' 14098042 (Average', '  3.82 Max', ' 9138 Sum', ' 53840611 Ratio', '  96.40%)']","[' 1710     (Average', ' 1176.54 Max', ' 2042 Sum', ' 2011882 Ratio', '   3.60%)']", ,[' 278786  '],[' 11118   '],[' 256981  '],[' 93860   '],"[' 225061   (Atom=Atom', ' 64046 Body=Body', ' 41833 Other', ' 119182)']",[' Yes'],"[' 15151    (Eliminated', '    0 Frozen', ' 15151)']","[' 1461     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.68954'],[' 0'], ,[' 366.909'],[' 0'],[' 8.95408'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.25194e+08'],[' 8.53474e+07'],[' 0'],[' 2.05209e+10'],[' 0'],[' 0'],[' 746 '],[' 1267 '],[' 1898 '],[' 2494 '],[' 2935 '],[' 3424 '],[' 4002 '],[' 4612 '],[' 5155 '],[' 5646 '],[' 10 '],[' 0 ']
Solving...,TA78, , ,[' 1'],[' 4223+'],[' 2122'],"[' 609.146s (Solving', ' 579.43s 1st Model', ' 35.29s Unsat', ' 0.00s)']",[' 604.859s'], ,[' 63821660'],"[' 12661027 (Analyzed', ' 12488373)']","[' 27367    (Average', ' 456.33 Last', ' 64946)']",[' 6468.4  '],"[' 2122     (Average Length', ' 1158.36 Splits', ' 0)']","[' 12488373 (Deleted', ' 12324870)']","[' 196      (Ratio', '   0.00%)']","[' 8456     (Ratio', '   0.07%)']","[' 12488373 (Average Length', '   16.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12488373 (Average', '  4.28 Max', ' 9567 Sum', ' 53464821)']","[' 12486613 (Average', '  4.15 Max', ' 9567 Sum', ' 51881304 Ratio', '  97.04%)']","[' 1760     (Average', ' 899.73 Max', ' 1678 Sum', ' 1583517 Ratio', '   2.96%)']", ,[' 280096  '],[' 11369   '],[' 257971  '],[' 95049   '],"[' 225412   (Atom=Atom', ' 64016 Body=Body', ' 42198 Other', ' 119198)']",[' Yes'],"[' 14880    (Eliminated', '    0 Frozen', ' 14880)']","[' 1353     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.87687'],[' 0'], ,[' 352.438'],[' 0'],[' 8.75091'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.17904e+08'],[' 8.14898e+07'],[' 0'],[' 1.72048e+10'],[' 0'],[' 0'],[' 946 '],[' 1451 '],[' 2012 '],[' 2416 '],[' 2935 '],[' 3521 '],[' 4245 '],[' 4764 '],[' 5247 '],[' 5726 '],[' 10 '],[' 0 ']
Solving...,TA79, , ,[' 1'],[' 5537+'],[' 2779'],"[' 610.840s (Solving', ' 573.91s 1st Model', ' 39.71s Unsat', ' 0.00s)']",[' 607.922s'], ,[' 65715510'],"[' 10840840 (Analyzed', ' 10633474)']","[' 23328    (Average', ' 455.82 Last', ' 30072)']",[' 6297.3  '],"[' 2779     (Average Length', ' 1418.31 Splits', ' 0)']","[' 10633474 (Deleted', ' 10473653)']","[' 242      (Ratio', '   0.00%)']","[' 8861     (Ratio', '   0.08%)']","[' 10633474 (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10633474 (Average', '  5.04 Max', ' 9416 Sum', ' 53631171)']","[' 10631624 (Average', '  4.85 Max', ' 9416 Sum', ' 51557249 Ratio', '  96.13%)']","[' 1850     (Average', ' 1121.04 Max', ' 2124 Sum', ' 2073922 Ratio', '   3.87%)']", ,[' 280074  '],[' 11290   '],[' 258356  '],[' 94865   '],"[' 228010   (Atom=Atom', ' 64849 Body=Body', ' 42332 Other', ' 120829)']",[' Yes'],"[' 15405    (Eliminated', '    0 Frozen', ' 15405)']","[' 1606     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.15004'],[' 0'], ,[' 315.785'],[' 0'],[' 8.76332'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.18051e+08'],[' 8.52234e+07'],[' 0'],[' 1.42119e+10'],[' 0'],[' 0'],[' 824 '],[' 1306 '],[' 1898 '],[' 2385 '],[' 2849 '],[' 3364 '],[' 3916 '],[' 4502 '],[' 5012 '],[' 5498 '],[' 10 '],[' 0 ']
Solving...,TA80, , ,[' 1'],[' 4621+'],[' 2321'],"[' 609.378s (Solving', ' 577.56s 1st Model', ' 36.62s Unsat', ' 0.00s)']",[' 603.281s'], ,[' 64092343'],"[' 10806319 (Analyzed', ' 10640301)']","[' 23904    (Average', ' 445.13 Last', ' 27412)']",[' 6337.8  '],"[' 2321     (Average Length', ' 1238.24 Splits', ' 0)']","[' 10640301 (Deleted', ' 10474799)']","[' 205      (Ratio', '   0.00%)']","[' 8489     (Ratio', '   0.08%)']","[' 10640301 (Average Length', '   15.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10640301 (Average', '  5.05 Max', ' 9043 Sum', ' 53703033)']","[' 10638390 (Average', '  4.86 Max', ' 9043 Sum', ' 51673866 Ratio', '  96.22%)']","[' 1911     (Average', ' 1061.84 Max', ' 1813 Sum', ' 2029167 Ratio', '   3.78%)']", ,[' 280255  '],[' 11400   '],[' 258306  '],[' 94920   '],"[' 228021   (Atom=Atom', ' 64764 Body=Body', ' 42598 Other', ' 120659)']",[' Yes'],"[' 15154    (Eliminated', '    0 Frozen', ' 15154)']","[' 1374     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.25491'],[' 0'], ,[' 340.639'],[' 0'],[' 9.707'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.10431e+08'],[' 7.92192e+07'],[' 0'],[' 1.54693e+10'],[' 0'],[' 0'],[' 789 '],[' 1284 '],[' 1887 '],[' 2526 '],[' 3026 '],[' 3498 '],[' 4140 '],[' 4577 '],[' 5066 '],[' 5593 '],[' 10 '],[' 0 ']
