Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , ,[' 7563+'],[' 3792'],"[' 620.626s (Solving', ' 556.51s 1st Model', ' 104.46s Unsat', ' 0.00s)']",[' 617.141s'], ,[' 101605065'],"[' 6642041  (Analyzed', ' 6382497)']","[' 14528    (Average', ' 439.32 Last', ' 92415)']",[' 7948.0  '],"[' 3793     (Average Length', ' 1893.90 Splits', ' 0)']","[' 6382497  (Deleted', ' 6272813)']","[' 631      (Ratio', '   0.01%)']","[' 15169    (Ratio', '   0.24%)']","[' 6382497  (Average Length', '   16.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6382497  (Average', ' 12.84 Max', ' 11599 Sum', ' 81936815)']","[' 6379983  (Average', ' 12.24 Max', ' 11599 Sum', ' 78104689 Ratio', '  95.32%)']","[' 2514     (Average', ' 1524.31 Max', ' 2927 Sum', ' 3832126 Ratio', '   4.68%)']", ,[' 319768  '],[' 15512   '],[' 296278  '],[' 130676  '],"[' 301590   (Atom=Atom', ' 85323 Body=Body', ' 58429 Other', ' 157838)']",[' Yes'],"[' 20088    (Eliminated', '    0 Frozen', ' 20088)']","[' 2601     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.5791'],[' 0'], ,[' 201.601'],[' 0'],[' 10.4818'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.70421e+08'],[' 1.4115e+08'],[' 0'],[' 6.94354e+09'],[' 0'],[' 0'],[' 906 '],[' 1412 '],[' 1905 '],[' 3016 '],[' 3275 '],[' 3754 '],[' 4191 '],[' 4877 '],[' 5372 '],[' 5974 '],[' 10 '],[' 0 ']
Solving...,TA72, , , ,[' 8655+'],[' 4338'],"[' 618.093s (Solving', ' 560.11s 1st Model', ' 73.74s Unsat', ' 0.00s)']",[' 615.563s'], ,[' 124260279'],"[' 9630366  (Analyzed', ' 9320219)']","[' 20863    (Average', ' 446.73 Last', ' 25081)']",[' 8911.5  '],"[' 4339     (Average Length', ' 2105.72 Splits', ' 0)']","[' 9320219  (Deleted', ' 9174346)']","[' 527      (Ratio', '   0.01%)']","[' 15793    (Ratio', '   0.17%)']","[' 9320219  (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9320219  (Average', ' 10.39 Max', ' 10872 Sum', ' 96867242)']","[' 9318135  (Average', ' 10.09 Max', ' 10872 Sum', ' 94070247 Ratio', '  97.11%)']","[' 2084     (Average', ' 1342.13 Max', ' 3142 Sum', ' 2796995 Ratio', '   2.89%)']", ,[' 319118  '],[' 15217   '],[' 295483  '],[' 129981  '],"[' 300413   (Atom=Atom', ' 85141 Body=Body', ' 57812 Other', ' 157460)']",[' Yes'],"[' 20253    (Eliminated', '    0 Frozen', ' 20253)']","[' 2627     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.8962'],[' 0'], ,[' 234.922'],[' 0'],[' 10.711'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.03332e+08'],[' 1.66469e+08'],[' 0'],[' 1.13624e+10'],[' 0'],[' 0'],[' 682 '],[' 1263 '],[' 1863 '],[' 2302 '],[' 2930 '],[' 3304 '],[' 3827 '],[' 4343 '],[' 4872 '],[' 5516 '],[' 10 '],[' 0 ']
Solving...,TA73, , ,[' 1'],[' 7817+'],[' 3919'],"[' 606.640s (Solving', ' 558.72s 1st Model', ' 60.64s Unsat', ' 0.00s)']",[' 618.266s'], ,[' 125922173'],"[' 9495027  (Analyzed', ' 9252638)']","[' 21238    (Average', ' 435.66 Last', ' 111292)']",[' 7961.1  '],"[' 3919     (Average Length', ' 1934.70 Splits', ' 0)']","[' 9252638  (Deleted', ' 9112551)']","[' 578      (Ratio', '   0.01%)']","[' 19428    (Ratio', '   0.21%)']","[' 9252638  (Average Length', '   17.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9252638  (Average', ' 11.39 Max', ' 10687 Sum', ' 105401304)']","[' 9250096  (Average', ' 10.98 Max', ' 10687 Sum', ' 101591206 Ratio', '  96.39%)']","[' 2542     (Average', ' 1498.86 Max', ' 2962 Sum', ' 3810098 Ratio', '   3.61%)']", ,[' 320556  '],[' 15525   '],[' 296911  '],[' 131432  '],"[' 301005   (Atom=Atom', ' 85195 Body=Body', ' 58222 Other', ' 157588)']",[' Yes'],"[' 20075    (Eliminated', '    0 Frozen', ' 20075)']","[' 3505     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.17683'],[' 0'], ,[' 268.863'],[' 0'],[' 11.0434'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.17326e+08'],[' 1.77893e+08'],[' 0'],[' 1.29735e+10'],[' 0'],[' 0'],[' 925 '],[' 1580 '],[' 2071 '],[' 2551 '],[' 3274 '],[' 3626 '],[' 4337 '],[' 4864 '],[' 5397 '],[' 5874 '],[' 10 '],[' 0 ']
Solving...,TA74, , , ,[' 8253+'],[' 4137'],"[' 616.330s (Solving', ' 563.82s 1st Model', ' 73.66s Unsat', ' 0.00s)']",[' 614.516s'], ,[' 142137452'],"[' 9477818  (Analyzed', ' 9255603)']","[' 20600    (Average', ' 449.30 Last', ' 39707)']",[' 8107.4  '],"[' 4138     (Average Length', ' 2013.95 Splits', ' 0)']","[' 9255603  (Deleted', ' 9120115)']","[' 646      (Ratio', '   0.01%)']","[' 22841    (Ratio', '   0.25%)']","[' 9255603  (Average Length', '   15.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9255603  (Average', ' 13.00 Max', ' 11206 Sum', ' 120312550)']","[' 9252991  (Average', ' 12.56 Max', ' 11206 Sum', ' 116293486 Ratio', '  96.66%)']","[' 2612     (Average', ' 1538.69 Max', ' 3048 Sum', ' 4019064 Ratio', '   3.34%)']", ,[' 318454  '],[' 15091   '],[' 294445  '],[' 129175  '],"[' 299919   (Atom=Atom', ' 84948 Body=Body', ' 57871 Other', ' 157100)']",[' Yes'],"[' 20084    (Eliminated', '    0 Frozen', ' 20084)']","[' 3662     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.92996'],[' 0'], ,[' 245.834'],[' 0'],[' 12.1354'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.36991e+08'],[' 1.9456e+08'],[' 0'],[' 1.21396e+10'],[' 0'],[' 0'],[' 761 '],[' 1303 '],[' 1835 '],[' 2298 '],[' 2835 '],[' 3395 '],[' 4086 '],[' 4580 '],[' 5052 '],[' 5559 '],[' 10 '],[' 0 ']
Solving...,TA75, , , ,[' 8699+'],[' 4360'],"[' 618.029s (Solving', ' 562.01s 1st Model', ' 89.41s Unsat', ' 0.00s)']",[' 616.672s'], ,[' 139931885'],"[' 8524422  (Analyzed', ' 8303258)']","[' 19148    (Average', ' 433.64 Last', ' 36889)']",[' 7824.3  '],"[' 4361     (Average Length', ' 2113.38 Splits', ' 0)']","[' 8303258  (Deleted', ' 8164940)']","[' 728      (Ratio', '   0.01%)']","[' 25066    (Ratio', '   0.30%)']","[' 8303258  (Average Length', '   16.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8303258  (Average', ' 14.31 Max', ' 10383 Sum', ' 118813370)']","[' 8300544  (Average', ' 13.78 Max', ' 10383 Sum', ' 114441584 Ratio', '  96.32%)']","[' 2714     (Average', ' 1610.83 Max', ' 3167 Sum', ' 4371786 Ratio', '   3.68%)']", ,[' 319980  '],[' 15447   '],[' 296668  '],[' 130964  '],"[' 302765   (Atom=Atom', ' 85744 Body=Body', ' 58307 Other', ' 158714)']",[' Yes'],"[' 20434    (Eliminated', '    0 Frozen', ' 20434)']","[' 4555     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.3973'],[' 0'], ,[' 231.715'],[' 0'],[' 11.8219'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.60434e+08'],[' 2.16097e+08'],[' 0'],[' 1.12838e+10'],[' 0'],[' 0'],[' 915 '],[' 1324 '],[' 1913 '],[' 2394 '],[' 2976 '],[' 3516 '],[' 4161 '],[' 4620 '],[' 5177 '],[' 5732 '],[' 10 '],[' 0 ']
Solving...,TA76, , ,[' 1'],[' 8467+'],[' 4244'],"[' 615.462s (Solving', ' 562.43s 1st Model', ' 65.47s Unsat', ' 0.00s)']",[' 614.172s'], ,[' 134540701'],"[' 9823698  (Analyzed', ' 9619085)']","[' 21643    (Average', ' 444.44 Last', ' 7436)']",[' 7928.2  '],"[' 4244     (Average Length', ' 2068.19 Splits', ' 0)']","[' 9619085  (Deleted', ' 9478450)']","[' 631      (Ratio', '   0.01%)']","[' 21827    (Ratio', '   0.23%)']","[' 9619085  (Average Length', '   15.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9619085  (Average', ' 11.76 Max', ' 10719 Sum', ' 113095462)']","[' 9616438  (Average', ' 11.34 Max', ' 10719 Sum', ' 109086209 Ratio', '  96.45%)']","[' 2647     (Average', ' 1514.64 Max', ' 3103 Sum', ' 4009253 Ratio', '   3.55%)']", ,[' 318669  '],[' 15149   '],[' 294922  '],[' 129555  '],"[' 299776   (Atom=Atom', ' 84928 Body=Body', ' 57761 Other', ' 157087)']",[' Yes'],"[' 20154    (Eliminated', '    0 Frozen', ' 20154)']","[' 3863     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.082'],[' 0'], ,[' 243.197'],[' 0'],[' 11.2614'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.35794e+08'],[' 1.92955e+08'],[' 0'],[' 1.19079e+10'],[' 0'],[' 0'],[' 809 '],[' 1331 '],[' 1857 '],[' 2358 '],[' 2892 '],[' 3385 '],[' 3924 '],[' 4438 '],[' 4988 '],[' 5525 '],[' 10 '],[' 0 ']
Solving...,TA77, , ,[' 1'],[' 8159+'],[' 4090'],"[' 614.132s (Solving', ' 565.64s 1st Model', ' 69.40s Unsat', ' 0.00s)']",[' 612.469s'], ,[' 117729817'],"[' 10064635 (Analyzed', ' 9819596)']","[' 22583    (Average', ' 434.82 Last', ' 13357)']",[' 8463.8  '],"[' 4090     (Average Length', ' 1990.76 Splits', ' 0)']","[' 9819596  (Deleted', ' 9672814)']","[' 652      (Ratio', '   0.01%)']","[' 14818    (Ratio', '   0.15%)']","[' 9819596  (Average Length', '   15.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9819596  (Average', '  9.59 Max', ' 11619 Sum', ' 94152777)']","[' 9817187  (Average', '  9.23 Max', ' 11619 Sum', ' 90628962 Ratio', '  96.26%)']","[' 2409     (Average', ' 1462.77 Max', ' 3020 Sum', ' 3523815 Ratio', '   3.74%)']", ,[' 318347  '],[' 15111   '],[' 294482  '],[' 129251  '],"[' 299256   (Atom=Atom', ' 84781 Body=Body', ' 57750 Other', ' 156725)']",[' Yes'],"[' 20058    (Eliminated', '    0 Frozen', ' 20058)']","[' 2393     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.33009'],[' 0'], ,[' 271.446'],[' 0'],[' 11.0225'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.90715e+08'],[' 1.5372e+08'],[' 0'],[' 1.36674e+10'],[' 0'],[' 0'],[' 746 '],[' 1267 '],[' 1841 '],[' 2449 '],[' 2932 '],[' 3474 '],[' 3980 '],[' 4577 '],[' 5145 '],[' 5613 '],[' 10 '],[' 0 ']
Solving...,TA78, , ,[' 1'],[' 7737+'],[' 3879'],"[' 613.909s (Solving', ' 567.17s 1st Model', ' 60.89s Unsat', ' 0.00s)']",[' 612.766s'], ,[' 125392845'],"[' 9971018  (Analyzed', ' 9770287)']","[' 21443    (Average', ' 455.64 Last', ' 25299)']",[' 8062.3  '],"[' 3879     (Average Length', ' 1931.07 Splits', ' 0)']","[' 9770287  (Deleted', ' 9625657)']","[' 688      (Ratio', '   0.01%)']","[' 19896    (Ratio', '   0.20%)']","[' 9770287  (Average Length', '   17.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9770287  (Average', ' 10.72 Max', ' 11126 Sum', ' 104700224)']","[' 9767696  (Average', ' 10.33 Max', ' 11126 Sum', ' 100937544 Ratio', '  96.41%)']","[' 2591     (Average', ' 1452.21 Max', ' 2926 Sum', ' 3762680 Ratio', '   3.59%)']", ,[' 320255  '],[' 15441   '],[' 296346  '],[' 130988  '],"[' 300876   (Atom=Atom', ' 85148 Body=Body', ' 58221 Other', ' 157507)']",[' Yes'],"[' 19998    (Eliminated', '    0 Frozen', ' 19998)']","[' 3450     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.18925'],[' 0'], ,[' 268.776'],[' 0'],[' 10.9142'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.19123e+08'],[' 1.77636e+08'],[' 0'],[' 1.37505e+10'],[' 0'],[' 0'],[' 946 '],[' 1451 '],[' 1859 '],[' 2393 '],[' 2918 '],[' 3492 '],[' 4249 '],[' 4768 '],[' 5175 '],[' 5676 '],[' 10 '],[' 0 ']
Solving...,TA79, , ,[' 1'],[' 8469+'],[' 4245'],"[' 615.684s (Solving', ' 560.69s 1st Model', ' 70.48s Unsat', ' 0.00s)']",[' 612.813s'], ,[' 125537534'],"[' 9845863  (Analyzed', ' 9597414)']","[' 21592    (Average', ' 444.49 Last', ' 14992)']",[' 8158.2  '],"[' 4245     (Average Length', ' 2043.69 Splits', ' 0)']","[' 9597414  (Deleted', ' 9454437)']","[' 776      (Ratio', '   0.01%)']","[' 17926    (Ratio', '   0.19%)']","[' 9597414  (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9597414  (Average', ' 10.78 Max', ' 11883 Sum', ' 103455897)']","[' 9594441  (Average', ' 10.31 Max', ' 11883 Sum', ' 98902143 Ratio', '  95.60%)']","[' 2973     (Average', ' 1531.70 Max', ' 3096 Sum', ' 4553754 Ratio', '   4.40%)']", ,[' 320355  '],[' 15324   '],[' 296324  '],[' 130790  '],"[' 302102   (Atom=Atom', ' 85540 Body=Body', ' 58265 Other', ' 158297)']",[' Yes'],"[' 20250    (Eliminated', '    0 Frozen', ' 20250)']","[' 3331     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.4911'],[' 0'], ,[' 235.868'],[' 0'],[' 11.023'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.08031e+08'],[' 1.68485e+08'],[' 0'],[' 1.15211e+10'],[' 0'],[' 0'],[' 824 '],[' 1306 '],[' 1867 '],[' 2384 '],[' 2879 '],[' 3408 '],[' 3965 '],[' 4548 '],[' 5037 '],[' 5527 '],[' 10 '],[' 0 ']
Solving...,TA80, , ,[' 1'],[' 8443+'],[' 4232'],"[' 614.926s (Solving', ' 564.46s 1st Model', ' 67.68s Unsat', ' 0.00s)']",[' 613.500s'], ,[' 135126972'],"[' 8965217  (Analyzed', ' 8749925)']","[' 19706    (Average', ' 444.02 Last', ' 20455)']",[' 7945.2  '],"[' 4232     (Average Length', ' 2042.20 Splits', ' 0)']","[' 8749925  (Deleted', ' 8603242)']","[' 648      (Ratio', '   0.01%)']","[' 22495    (Ratio', '   0.26%)']","[' 8749925  (Average Length', '   15.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8749925  (Average', ' 13.01 Max', ' 10577 Sum', ' 113830404)']","[' 8747268  (Average', ' 12.52 Max', ' 10577 Sum', ' 109554142 Ratio', '  96.24%)']","[' 2657     (Average', ' 1609.43 Max', ' 3755 Sum', ' 4276262 Ratio', '   3.76%)']", ,[' 320306  '],[' 15413   '],[' 296527  '],[' 130862  '],"[' 303291   (Atom=Atom', ' 85855 Body=Body', ' 58501 Other', ' 158935)']",[' Yes'],"[' 20315    (Eliminated', '    0 Frozen', ' 20315)']","[' 4227     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.85771'],[' 0'], ,[' 248.688'],[' 0'],[' 11.6857'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.31833e+08'],[' 1.91338e+08'],[' 0'],[' 1.21505e+10'],[' 0'],[' 0'],[' 789 '],[' 1284 '],[' 1887 '],[' 2526 '],[' 3021 '],[' 3436 '],[' 4192 '],[' 4474 '],[' 4977 '],[' 5533 '],[' 10 '],[' 0 ']
