Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , ,[' 1'],[' 6585+'],[' 3295'],"[' 606.417s (Solving', ' 579.92s 1st Model', ' 426.25s Unsat', ' 0.00s)']",[' 603.063s'], ,[' 322279627'],"[' 4211112  (Analyzed', ' 1017542)']","[' 5082     (Average', ' 200.22 Last', ' 101111)']",[' 8660.6  '],"[' 3295     (Average Length', ' 1611.65 Splits', ' 0)']","[' 1017542  (Deleted', ' 961263)']","[' 246      (Ratio', '   0.02%)']","[' 47928    (Ratio', '   4.71%)']","[' 1017542  (Average Length', '   22.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1017542  (Average', ' 291.64 Max', ' 9961 Sum', ' 296752925)']","[' 1016920  (Average', ' 290.46 Max', ' 8423 Sum', ' 295550599 Ratio', '  99.59%)']","[' 622      (Average', ' 1933.00 Max', ' 1933 Sum', ' 1202326 Ratio', '   0.41%)']", ,[' 147971  '],[' 12184   '],[' 144983  '],[' 67233   '],"[' 241995   (Atom=Atom', ' 68862 Body=Body', ' 39092 Other', ' 134041)']",[' Yes'],"[' 15287    (Eliminated', '    0 Frozen', ' 15287)']","[' 5292     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.71169'],[' 0'], ,[' 211.055'],[' 0'],[' 19.7874'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.87013e+08'],[' 7.01422e+08'],[' 0'],[' 7.83002e+09'],[' 0'],[' 0'],[' 1833 '],[' 3515 '],[' 2 '],[' 0 ']
Solving...,TA62, , , ,[' 1'],[' 6867+'],[' 3436'],"[' 606.561s (Solving', ' 577.87s 1st Model', ' 412.05s Unsat', ' 0.00s)']",[' 604.047s'], ,[' 318694291'],"[' 4969831  (Analyzed', ' 925680)']","[' 5324     (Average', ' 173.87 Last', ' 86625)']",[' 9181.5  '],"[' 3436     (Average Length', ' 1674.78 Splits', ' 0)']","[' 925680   (Deleted', ' 872216)']","[' 187      (Ratio', '   0.02%)']","[' 45972    (Ratio', '   4.97%)']","[' 925680   (Average Length', '   22.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 925680   (Average', ' 312.70 Max', ' 9843 Sum', ' 289462657)']","[' 925020   (Average', ' 311.61 Max', ' 8722 Sum', ' 288448897 Ratio', '  99.65%)']","[' 660      (Average', ' 1536.00 Max', ' 1536 Sum', ' 1013760 Ratio', '   0.35%)']", ,[' 148905  '],[' 12306   '],[' 146002  '],[' 67984   '],"[' 244126   (Atom=Atom', ' 69369 Body=Body', ' 39458 Other', ' 135299)']",[' Yes'],"[' 15555    (Eliminated', '    0 Frozen', ' 15555)']","[' 5599     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.25292'],[' 0'], ,[' 213.345'],[' 0'],[' 19.097'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.83873e+08'],[' 7.01441e+08'],[' 0'],[' 8.45015e+09'],[' 0'],[' 0'],[' 1849 '],[' 3561 '],[' 2 '],[' 0 ']
Solving...,TA63, , , ,[' 1'],[' 6715+'],[' 3360'],"[' 606.343s (Solving', ' 579.92s 1st Model', ' 399.01s Unsat', ' 0.00s)']",[' 603.609s'], ,[' 333464743'],"[' 3861343  (Analyzed', ' 1008539)']","[' 5415     (Average', ' 186.25 Last', ' 66862)']",[' 8656.4  '],"[' 3360     (Average Length', ' 1636.88 Splits', ' 0)']","[' 1008539  (Deleted', ' 949039)']","[' 223      (Ratio', '   0.02%)']","[' 48936    (Ratio', '   4.85%)']","[' 1008539  (Average Length', '   21.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1008539  (Average', ' 305.19 Max', ' 9221 Sum', ' 307799773)']","[' 1007867  (Average', ' 304.01 Max', ' 8315 Sum', ' 306600925 Ratio', '  99.61%)']","[' 672      (Average', ' 1784.00 Max', ' 1784 Sum', ' 1198848 Ratio', '   0.39%)']", ,[' 147568  '],[' 12112   '],[' 144642  '],[' 66938   '],"[' 241182   (Atom=Atom', ' 68711 Body=Body', ' 38876 Other', ' 133595)']",[' Yes'],"[' 15241    (Eliminated', '    0 Frozen', ' 15241)']","[' 5820     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.61424'],[' 0'], ,[' 203.735'],[' 0'],[' 19.9542'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.36433e+08'],[' 7.50942e+08'],[' 0'],[' 7.18787e+09'],[' 0'],[' 0'],[' 1775 '],[' 3315 '],[' 2 '],[' 0 ']
Solving...,TA64, , , ,[' 1'],[' 6387+'],[' 3196'],"[' 605.838s (Solving', ' 580.46s 1st Model', ' 408.88s Unsat', ' 0.00s)']",[' 602.984s'], ,[' 331467174'],"[' 4560567  (Analyzed', ' 1030465)']","[' 5422     (Average', ' 190.05 Last', ' 118035)']",[' 8824.1  '],"[' 3196     (Average Length', ' 1559.69 Splits', ' 0)']","[' 1030465  (Deleted', ' 973218)']","[' 222      (Ratio', '   0.02%)']","[' 48291    (Ratio', '   4.69%)']","[' 1030465  (Average Length', '   21.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1030465  (Average', ' 296.40 Max', ' 8990 Sum', ' 305426903)']","[' 1029811  (Average', ' 295.33 Max', ' 8303 Sum', ' 304331453 Ratio', '  99.64%)']","[' 654      (Average', ' 1675.00 Max', ' 1675 Sum', ' 1095450 Ratio', '   0.36%)']", ,[' 148691  '],[' 12310   '],[' 145555  '],[' 67764   '],"[' 243461   (Atom=Atom', ' 69141 Body=Body', ' 39470 Other', ' 134850)']",[' Yes'],"[' 15328    (Eliminated', '    0 Frozen', ' 15328)']","[' 5630     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.59141'],[' 0'], ,[' 211.147'],[' 0'],[' 20.01'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.28736e+08'],[' 7.429e+08'],[' 0'],[' 8.24203e+09'],[' 0'],[' 0'],[' 1811 '],[' 3317 '],[' 2 '],[' 0 ']
Solving...,TA65, , , ,[' 1'],[' 7497+'],[' 3751'],"[' 607.110s (Solving', ' 577.66s 1st Model', ' 404.80s Unsat', ' 0.00s)']",[' 603.969s'], ,[' 322594331'],"[' 4620263  (Analyzed', ' 939397)']","[' 5320     (Average', ' 176.58 Last', ' 88447)']",[' 8871.1  '],"[' 3751     (Average Length', ' 1830.89 Splits', ' 0)']","[' 939397   (Deleted', ' 881505)']","[' 172      (Ratio', '   0.02%)']","[' 48219    (Ratio', '   5.13%)']","[' 939397   (Average Length', '   21.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 939397   (Average', ' 312.47 Max', ' 9526 Sum', ' 293531321)']","[' 938738   (Average', ' 311.05 Max', ' 8077 Sum', ' 292199482 Ratio', '  99.55%)']","[' 659      (Average', ' 2021.00 Max', ' 2021 Sum', ' 1331839 Ratio', '   0.45%)']", ,[' 148336  '],[' 12170   '],[' 145740  '],[' 67619   '],"[' 243167   (Atom=Atom', ' 69276 Body=Body', ' 39050 Other', ' 134841)']",[' Yes'],"[' 15658    (Eliminated', '    0 Frozen', ' 15658)']","[' 5677     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.2426'],[' 0'], ,[' 208.829'],[' 0'],[' 19.3416'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.98439e+08'],[' 7.1523e+08'],[' 0'],[' 8.16863e+09'],[' 0'],[' 0'],[' 1725 '],[' 3407 '],[' 2 '],[' 0 ']
Solving...,TA66, , , ,[' 1'],[' 7143+'],[' 3574'],"[' 606.626s (Solving', ' 578.51s 1st Model', ' 439.52s Unsat', ' 0.00s)']",[' 604.688s'], ,[' 328777501'],"[' 4063812  (Analyzed', ' 1004019)']","[' 5410     (Average', ' 185.59 Last', ' 66217)']",[' 8898.1  '],"[' 3574     (Average Length', ' 1741.95 Splits', ' 0)']","[' 1004019  (Deleted', ' 949712)']","[' 194      (Ratio', '   0.02%)']","[' 48190    (Ratio', '   4.80%)']","[' 1004019  (Average Length', '   22.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1004019  (Average', ' 299.77 Max', ' 9866 Sum', ' 300974897)']","[' 1003384  (Average', ' 298.56 Max', ' 8170 Sum', ' 299763952 Ratio', '  99.60%)']","[' 635      (Average', ' 1907.00 Max', ' 1907 Sum', ' 1210945 Ratio', '   0.40%)']", ,[' 148536  '],[' 12228   '],[' 145763  '],[' 67732   '],"[' 243448   (Atom=Atom', ' 69273 Body=Body', ' 39224 Other', ' 134951)']",[' Yes'],"[' 15568    (Eliminated', '    0 Frozen', ' 15568)']","[' 5724     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.11164'],[' 0'], ,[' 202.489'],[' 0'],[' 19.7837'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.24417e+08'],[' 7.37735e+08'],[' 0'],[' 7.48207e+09'],[' 0'],[' 0'],[' 1779 '],[' 3481 '],[' 2 '],[' 0 ']
Solving...,TA67, , , ,[' 1'],[' 6595+'],[' 3300'],"[' 606.301s (Solving', ' 580.59s 1st Model', ' 421.12s Unsat', ' 0.00s)']",[' 602.828s'], ,[' 328491090'],"[' 4047082  (Analyzed', ' 1062281)']","[' 5467     (Average', ' 194.31 Last', ' 128795)']",[' 8702.2  '],"[' 3300     (Average Length', ' 1615.61 Splits', ' 0)']","[' 1062281  (Deleted', ' 1006826)']","[' 222      (Ratio', '   0.02%)']","[' 48289    (Ratio', '   4.55%)']","[' 1062281  (Average Length', '   22.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1062281  (Average', ' 285.08 Max', ' 9815 Sum', ' 302837839)']","[' 1061654  (Average', ' 284.02 Max', ' 8681 Sum', ' 301709866 Ratio', '  99.63%)']","[' 627      (Average', ' 1799.00 Max', ' 1799 Sum', ' 1127973 Ratio', '   0.37%)']", ,[' 147560  '],[' 12120   '],[' 144608  '],[' 66918   '],"[' 241114   (Atom=Atom', ' 68675 Body=Body', ' 38900 Other', ' 133539)']",[' Yes'],"[' 15227    (Eliminated', '    0 Frozen', ' 15227)']","[' 5566     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.51215'],[' 0'], ,[' 208.381'],[' 0'],[' 19.8832'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.20156e+08'],[' 7.31664e+08'],[' 0'],[' 7.63888e+09'],[' 0'],[' 0'],[' 1879 '],[' 3394 '],[' 2 '],[' 0 ']
Solving...,TA68, , , ,[' 1'],[' 6407+'],[' 3206'],"[' 605.979s (Solving', ' 580.45s 1st Model', ' 455.21s Unsat', ' 0.00s)']",[' 602.188s'], ,[' 321899468'],"[' 3675625  (Analyzed', ' 964931)']","[' 5159     (Average', ' 187.04 Last', ' 125969)']",[' 8604.3  '],"[' 3206     (Average Length', ' 1565.16 Splits', ' 0)']","[' 964931   (Deleted', ' 909025)']","[' 213      (Ratio', '   0.02%)']","[' 46336    (Ratio', '   4.80%)']","[' 964931   (Average Length', '   21.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 964931   (Average', ' 308.05 Max', ' 9748 Sum', ' 297249613)']","[' 964353   (Average', ' 307.03 Max', ' 8289 Sum', ' 296266435 Ratio', '  99.67%)']","[' 578      (Average', ' 1701.00 Max', ' 1701 Sum', ' 983178 Ratio', '   0.33%)']", ,[' 147700  '],[' 12156   '],[' 144662  '],[' 67004   '],"[' 241335   (Atom=Atom', ' 68689 Body=Body', ' 39008 Other', ' 133638)']",[' Yes'],"[' 15195    (Eliminated', '    0 Frozen', ' 15195)']","[' 5165     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.52172'],[' 0'], ,[' 203.512'],[' 0'],[' 20.056'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.98534e+08'],[' 7.15976e+08'],[' 0'],[' 6.71898e+09'],[' 0'],[' 0'],[' 1764 '],[' 3341 '],[' 2 '],[' 0 ']
Solving...,TA69, , , ,[' 1'],[' 6025+'],[' 3015'],"[' 606.313s (Solving', ' 580.51s 1st Model', ' 451.93s Unsat', ' 0.00s)']",[' 603.391s'], ,[' 326142415'],"[' 4054260  (Analyzed', ' 993025)']","[' 4946     (Average', ' 200.77 Last', ' 96261)']",[' 8567.6  '],"[' 3015     (Average Length', ' 1476.97 Splits', ' 0)']","[' 993025   (Deleted', ' 935861)']","[' 238      (Ratio', '   0.02%)']","[' 50046    (Ratio', '   5.04%)']","[' 993025   (Average Length', '   23.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 993025   (Average', ' 304.53 Max', ' 9499 Sum', ' 302402478)']","[' 992423   (Average', ' 303.55 Max', ' 8602 Sum', ' 301433258 Ratio', '  99.68%)']","[' 602      (Average', ' 1610.00 Max', ' 1610 Sum', ' 969220 Ratio', '   0.32%)']", ,[' 148107  '],[' 12248   '],[' 144830  '],[' 67273   '],"[' 242051   (Atom=Atom', ' 68774 Body=Body', ' 39284 Other', ' 133993)']",[' Yes'],"[' 15094    (Eliminated', '    0 Frozen', ' 15094)']","[' 5264     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.69018'],[' 0'], ,[' 205.922'],[' 0'],[' 20.206'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.09456e+08'],[' 7.26718e+08'],[' 0'],[' 7.60574e+09'],[' 0'],[' 0'],[' 1948 '],[' 3694 '],[' 2 '],[' 0 ']
Solving...,TA70, , , ,[' 1'],[' 6215+'],[' 3110'],"[' 605.910s (Solving', ' 581.21s 1st Model', ' 356.67s Unsat', ' 0.00s)']",[' 602.016s'], ,[' 337558763'],"[' 4047309  (Analyzed', ' 1134151)']","[' 5092     (Average', ' 222.73 Last', ' 173301)']",[' 8778.3  '],"[' 3110     (Average Length', ' 1525.55 Splits', ' 0)']","[' 1134151  (Deleted', ' 1073209)']","[' 295      (Ratio', '   0.03%)']","[' 53413    (Ratio', '   4.71%)']","[' 1134151  (Average Length', '   24.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1134151  (Average', ' 275.87 Max', ' 10078 Sum', ' 312877179)']","[' 1133451  (Average', ' 274.85 Max', ' 8420 Sum', ' 311716579 Ratio', '  99.63%)']","[' 700      (Average', ' 1658.00 Max', ' 1658 Sum', ' 1160600 Ratio', '   0.37%)']", ,[' 149255  '],[' 12410   '],[' 146025  '],[' 68178   '],"[' 244604   (Atom=Atom', ' 69355 Body=Body', ' 39770 Other', ' 135479)']",[' Yes'],"[' 15384    (Eliminated', '    0 Frozen', ' 15384)']","[' 6543     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.35921'],[' 0'], ,[' 208.258'],[' 0'],[' 20.1721'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.51327e+08'],[' 7.63973e+08'],[' 0'],[' 7.95814e+09'],[' 0'],[' 0'],[' 2054 '],[' 3802 '],[' 2 '],[' 0 ']
