Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , ,[' 1'],[' 2715+'],[' 1361'],"[' 601.499s (Solving', ' 595.56s 1st Model', ' 8.53s Unsat', ' 0.00s)']",[' 599.500s'], ,[' 184695733'],"[' 13418809 (Analyzed', ' 13034813)']","[' 23591    (Average', ' 552.53 Last', ' 49309)']",[' 3564.5  '],"[' 1361     (Average Length', ' 749.86 Splits', ' 0)']","[' 13034813 (Deleted', ' 12910579)']","[' 177      (Ratio', '   0.00%)']","[' 28114    (Ratio', '   0.22%)']","[' 13034813 (Average Length', '   21.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13034813 (Average', ' 13.82 Max', ' 3713 Sum', ' 180095017)']","[' 13034263 (Average', ' 13.78 Max', ' 3713 Sum', ' 179632827 Ratio', '  99.74%)']","[' 550      (Average', ' 840.35 Max', ' 940 Sum', ' 462190 Ratio', '   0.26%)']", ,[' 93249   '],[' 6166    '],[' 86544   '],[' 39571   '],"[' 116539   (Atom=Atom', ' 30284 Body=Body', ' 20528 Other', ' 65727)']",[' Yes'],"[' 7687     (Eliminated', '    0 Frozen', ' 7687)']","[' 4323     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.27193'],[' 0'], ,[' 374.829'],[' 0'],[' 16.6483'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.50961e+08'],[' 3.61503e+08'],[' 0'],[' 2.44852e+10'],[' 0'],[' 0'],[' 1325 '],[' 2471 '],[' 3912 '],[' 3 '],[' 0 ']
Solving...,TA52, , , ,[' 1'],[' 3275+'],[' 1641'],"[' 601.931s (Solving', ' 594.57s 1st Model', ' 14.30s Unsat', ' 0.00s)']",[' 598.609s'], ,[' 209576727'],"[' 10704112 (Analyzed', ' 10431282)']","[' 19866    (Average', ' 525.08 Last', ' 23659)']",[' 3577.4  '],"[' 1641     (Average Length', ' 866.26 Splits', ' 0)']","[' 10431282 (Deleted', ' 10322319)']","[' 248      (Ratio', '   0.00%)']","[' 34690    (Ratio', '   0.33%)']","[' 10431282 (Average Length', '   19.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10431282 (Average', ' 19.62 Max', ' 3459 Sum', ' 204665134)']","[' 10430753 (Average', ' 19.57 Max', ' 3459 Sum', ' 204173256 Ratio', '  99.76%)']","[' 529      (Average', ' 929.83 Max', ' 1042 Sum', ' 491878 Ratio', '   0.24%)']", ,[' 93706   '],[' 6253    '],[' 87211   '],[' 40208   '],"[' 118731   (Atom=Atom', ' 30912 Body=Body', ' 20789 Other', ' 67030)']",[' Yes'],"[' 8020     (Eliminated', '    0 Frozen', ' 8020)']","[' 5905     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.5779'],[' 0'], ,[' 336.452'],[' 0'],[' 16.2827'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.13915e+08'],[' 5.08042e+08'],[' 0'],[' 2.01306e+10'],[' 0'],[' 0'],[' 1344 '],[' 2440 '],[' 3424 '],[' 3 '],[' 0 ']
Solving...,TA53, , , ,[' 1'],[' 3201+'],[' 1604'],"[' 601.825s (Solving', ' 594.83s 1st Model', ' 10.72s Unsat', ' 0.00s)']",[' 599.328s'], ,[' 193541052'],"[' 13945678 (Analyzed', ' 13595507)']","[' 25533    (Average', ' 532.47 Last', ' 8410)']",[' 3559.3  '],"[' 1604     (Average Length', ' 838.47 Splits', ' 0)']","[' 13595507 (Deleted', ' 13447426)']","[' 218      (Ratio', '   0.00%)']","[' 28048    (Ratio', '   0.21%)']","[' 13595507 (Average Length', '   17.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13595507 (Average', ' 13.86 Max', ' 3551 Sum', ' 188477843)']","[' 13594979 (Average', ' 13.83 Max', ' 3402 Sum', ' 187985581 Ratio', '  99.74%)']","[' 528      (Average', ' 932.31 Max', ' 1015 Sum', ' 492262 Ratio', '   0.26%)']", ,[' 92271   '],[' 6009    '],[' 85837   '],[' 39032   '],"[' 114886   (Atom=Atom', ' 29899 Body=Body', ' 20057 Other', ' 64930)']",[' Yes'],"[' 7733     (Eliminated', '    0 Frozen', ' 7733)']","[' 4518     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.49106'],[' 0'], ,[' 358.949'],[' 0'],[' 16.3197'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.1325e+08'],[' 4.13324e+08'],[' 0'],[' 2.25906e+10'],[' 0'],[' 0'],[' 1161 '],[' 2195 '],[' 3214 '],[' 3 '],[' 0 ']
Solving...,TA54, , , ,[' 1'],[' 2699+'],[' 1353'],"[' 597.740s (Solving', ' 591.79s 1st Model', ' 10.20s Unsat', ' 0.00s)']",[' 598.813s'], ,[' 161962311'],"[' 14305471 (Analyzed', ' 13953957)']","[' 24808    (Average', ' 562.48 Last', ' 146232)']",[' 3590.7  '],"[' 1353     (Average Length', ' 739.41 Splits', ' 0)']","[' 13953957 (Deleted', ' 13827173)']","[' 172      (Ratio', '   0.00%)']","[' 25760    (Ratio', '   0.18%)']","[' 13953957 (Average Length', '   21.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13953957 (Average', ' 11.28 Max', ' 3697 Sum', ' 157423946)']","[' 13953324 (Average', ' 11.24 Max', ' 3697 Sum', ' 156909569 Ratio', '  99.67%)']","[' 633      (Average', ' 812.60 Max', ' 897 Sum', ' 514377 Ratio', '   0.33%)']", ,[' 93145   '],[' 6200    '],[' 86417   '],[' 39669   '],"[' 116995   (Atom=Atom', ' 30412 Body=Body', ' 20630 Other', ' 65953)']",[' Yes'],"[' 7716     (Eliminated', '    0 Frozen', ' 7716)']","[' 4321     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.28088'],[' 0'], ,[' 384.285'],[' 0'],[' 15.1154'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.8022e+08'],[' 2.98138e+08'],[' 0'],[' 2.57523e+10'],[' 0'],[' 0'],[' 1355 '],[' 2440 '],[' 3548 '],[' 3 '],[' 0 ']
Solving...,TA55, , , ,[' 1'],[' 3179+'],[' 1593'],"[' 590.246s (Solving', ' 583.79s 1st Model', ' 12.71s Unsat', ' 0.00s)']",[' 600.266s'], ,[' 215428157'],"[' 10841009 (Analyzed', ' 10471209)']","[' 19992    (Average', ' 523.77 Last', ' 10083)']",[' 3422.1  '],"[' 1593     (Average Length', ' 853.30 Splits', ' 0)']","[' 10471209 (Deleted', ' 10361752)']","[' 323      (Ratio', '   0.00%)']","[' 35267    (Ratio', '   0.34%)']","[' 10471209 (Average Length', '   20.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10471209 (Average', ' 20.14 Max', ' 3498 Sum', ' 210839245)']","[' 10470653 (Average', ' 20.08 Max', ' 3417 Sum', ' 210270185 Ratio', '  99.73%)']","[' 556      (Average', ' 1023.49 Max', ' 1133 Sum', ' 569060 Ratio', '   0.27%)']", ,[' 93560   '],[' 6162    '],[' 87056   '],[' 39825   '],"[' 117219   (Atom=Atom', ' 30500 Body=Body', ' 20516 Other', ' 66203)']",[' Yes'],"[' 7894     (Eliminated', '    0 Frozen', ' 7894)']","[' 5273     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.39419'],[' 0'], ,[' 338.072'],[' 0'],[' 16.8548'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.30178e+08'],[' 5.2603e+08'],[' 0'],[' 2.11869e+10'],[' 0'],[' 0'],[' 1150 '],[' 2373 '],[' 3493 '],[' 3 '],[' 0 ']
Solving...,TA56, , , ,[' 1'],[' 2803+'],[' 1405'],"[' 601.646s (Solving', ' 595.29s 1st Model', ' 8.36s Unsat', ' 0.00s)']",[' 599.406s'], ,[' 172167580'],"[' 15588107 (Analyzed', ' 15270533)']","[' 26568    (Average', ' 574.77 Last', ' 19795)']",[' 3727.3  '],"[' 1405     (Average Length', ' 747.53 Splits', ' 0)']","[' 15270533 (Deleted', ' 15134988)']","[' 195      (Ratio', '   0.00%)']","[' 23715    (Ratio', '   0.16%)']","[' 15270533 (Average Length', '   20.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15270533 (Average', ' 10.96 Max', ' 3873 Sum', ' 167335851)']","[' 15269854 (Average', ' 10.92 Max', ' 3873 Sum', ' 166799979 Ratio', '  99.68%)']","[' 679      (Average', ' 789.21 Max', ' 844 Sum', ' 535872 Ratio', '   0.32%)']", ,[' 91955   '],[' 6068    '],[' 85280   '],[' 39089   '],"[' 115169   (Atom=Atom', ' 29936 Body=Body', ' 20234 Other', ' 64999)']",[' Yes'],"[' 7612     (Eliminated', '    0 Frozen', ' 7612)']","[' 3153     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.35338'],[' 0'], ,[' 390.382'],[' 0'],[' 15.4635'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.65339e+08'],[' 2.83714e+08'],[' 0'],[' 2.48886e+10'],[' 0'],[' 0'],[' 1524 '],[' 2721 '],[' 3448 '],[' 3 '],[' 0 ']
Solving...,TA57, , , ,[' 1'],[' 2433+'],[' 1220'],"[' 601.462s (Solving', ' 596.06s 1st Model', ' 9.75s Unsat', ' 0.00s)']",[' 598.438s'], ,[' 167196940'],"[' 14192343 (Analyzed', ' 13906402)']","[' 24350    (Average', ' 571.10 Last', ' 375914)']",[' 3404.4  '],"[' 1220     (Average Length', ' 678.04 Splits', ' 0)']","[' 13906402 (Deleted', ' 13767991)']","[' 177      (Ratio', '   0.00%)']","[' 26505    (Ratio', '   0.19%)']","[' 13906402 (Average Length', '   19.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13906402 (Average', ' 11.74 Max', ' 3463 Sum', ' 163212943)']","[' 13905808 (Average', ' 11.71 Max', ' 3463 Sum', ' 162778357 Ratio', '  99.73%)']","[' 594      (Average', ' 731.63 Max', ' 812 Sum', ' 434586 Ratio', '   0.27%)']", ,[' 92361   '],[' 6063    '],[' 85565   '],[' 38933   '],"[' 114536   (Atom=Atom', ' 29731 Body=Body', ' 20219 Other', ' 64586)']",[' Yes'],"[' 7452     (Eliminated', '    0 Frozen', ' 7452)']","[' 4522     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.14604'],[' 0'], ,[' 372.851'],[' 0'],[' 15.1377'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.52374e+08'],[' 3.60784e+08'],[' 0'],[' 2.50332e+10'],[' 0'],[' 0'],[' 1312 '],[' 2410 '],[' 3550 '],[' 3 '],[' 0 ']
Solving...,TA58, , , ,[' 1'],[' 3199+'],[' 1603'],"[' 601.710s (Solving', ' 594.88s 1st Model', ' 21.67s Unsat', ' 0.00s)']",[' 599.266s'], ,[' 202714583'],"[' 12068918 (Analyzed', ' 11703996)']","[' 22116    (Average', ' 529.21 Last', ' 56092)']",[' 3474.3  '],"[' 1603     (Average Length', ' 863.78 Splits', ' 0)']","[' 11703996 (Deleted', ' 11587336)']","[' 279      (Ratio', '   0.00%)']","[' 31949    (Ratio', '   0.27%)']","[' 11703996 (Average Length', '   18.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11703996 (Average', ' 16.92 Max', ' 3518 Sum', ' 197973240)']","[' 11703468 (Average', ' 16.87 Max', ' 3345 Sum', ' 197445948 Ratio', '  99.73%)']","[' 528      (Average', ' 998.66 Max', ' 1145 Sum', ' 527292 Ratio', '   0.27%)']", ,[' 93006   '],[' 6136    '],[' 86539   '],[' 39602   '],"[' 116753   (Atom=Atom', ' 30406 Body=Body', ' 20438 Other', ' 65909)']",[' Yes'],"[' 7869     (Eliminated', '    0 Frozen', ' 7869)']","[' 4881     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.46531'],[' 0'], ,[' 348.587'],[' 0'],[' 16.2897'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.6512e+08'],[' 4.59386e+08'],[' 0'],[' 2.1471e+10'],[' 0'],[' 0'],[' 1337 '],[' 2305 '],[' 3469 '],[' 3 '],[' 0 ']
Solving...,TA59, , , ,[' 1'],[' 2963+'],[' 1485'],"[' 601.633s (Solving', ' 595.00s 1st Model', ' 9.40s Unsat', ' 0.00s)']",[' 598.109s'], ,[' 191806731'],"[' 12414696 (Analyzed', ' 12047283)']","[' 22359    (Average', ' 538.81 Last', ' 4609)']",[' 3527.1  '],"[' 1485     (Average Length', ' 798.40 Splits', ' 0)']","[' 12047283 (Deleted', ' 11918373)']","[' 303      (Ratio', '   0.00%)']","[' 31979    (Ratio', '   0.27%)']","[' 12047283 (Average Length', '   19.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12047283 (Average', ' 15.53 Max', ' 3433 Sum', ' 187153552)']","[' 12046722 (Average', ' 15.50 Max', ' 3386 Sum', ' 186682261 Ratio', '  99.75%)']","[' 561      (Average', ' 840.09 Max', ' 939 Sum', ' 471291 Ratio', '   0.25%)']", ,[' 92711   '],[' 6097    '],[' 86176   '],[' 39276   '],"[' 115821   (Atom=Atom', ' 30132 Body=Body', ' 20321 Other', ' 65368)']",[' Yes'],"[' 7727     (Eliminated', '    0 Frozen', ' 7727)']","[' 5214     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.43065'],[' 0'], ,[' 359.346'],[' 0'],[' 16.1675'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.15418e+08'],[' 4.18851e+08'],[' 0'],[' 2.19766e+10'],[' 0'],[' 0'],[' 1251 '],[' 2234 '],[' 3305 '],[' 3 '],[' 0 ']
Solving...,TA60, , , ,[' 1'],[' 3123+'],[' 1565'],"[' 601.545s (Solving', ' 594.64s 1st Model', ' 21.26s Unsat', ' 0.00s)']",[' 598.984s'], ,[' 228254084'],"[' 8597488  (Analyzed', ' 8299188)']","[' 15338    (Average', ' 541.09 Last', ' 39247)']",[' 3416.5  '],"[' 1565     (Average Length', ' 825.70 Splits', ' 0)']","[' 8299188  (Deleted', ' 8197093)']","[' 323      (Ratio', '   0.00%)']","[' 39104    (Ratio', '   0.47%)']","[' 8299188  (Average Length', '   19.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8299188  (Average', ' 26.97 Max', ' 3424 Sum', ' 223841010)']","[' 8298631  (Average', ' 26.91 Max', ' 3308 Sum', ' 223329213 Ratio', '  99.77%)']","[' 557      (Average', ' 918.85 Max', ' 1001 Sum', ' 511797 Ratio', '   0.23%)']", ,[' 93215   '],[' 6160    '],[' 86713   '],[' 39673   '],"[' 117029   (Atom=Atom', ' 30464 Body=Body', ' 20510 Other', ' 66055)']",[' Yes'],"[' 7857     (Eliminated', '    0 Frozen', ' 7857)']","[' 5858     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.46709'],[' 0'], ,[' 308.471'],[' 0'],[' 17.3101'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.39495e+08'],[' 6.24347e+08'],[' 0'],[' 1.76511e+10'],[' 0'],[' 0'],[' 1182 '],[' 2285 '],[' 3271 '],[' 3 '],[' 0 ']
