Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , ,[' 1'],[' 1877+'],[' 945'],"[' 601.287s (Solving', ' 597.35s 1st Model', ' 2.61s Unsat', ' 0.00s)']",[' 598.063s'], ,[' 51546487'],"[' 26374767 (Analyzed', ' 26321183)']","[' 48733    (Average', ' 540.11 Last', ' 327812)']",[' 2321.2  '],"[' 945      (Average Length', ' 553.45 Splits', ' 0)']","[' 26321183 (Deleted', ' 25984121)']","[' 27       (Ratio', '   0.00%)']","[' 4019     (Ratio', '   0.02%)']","[' 26321183 (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26321183 (Average', '  1.88 Max', ' 3099 Sum', ' 49507616)']","[' 26320492 (Average', '  1.87 Max', ' 2904 Sum', ' 49107906 Ratio', '  99.19%)']","[' 691      (Average', ' 578.45 Max', ' 787 Sum', ' 399710 Ratio', '   0.81%)']", ,[' 90633   '],[' 3981    '],[' 83368   '],[' 31388   '],"[' 83714    (Atom=Atom', ' 23725 Body=Body', ' 14882 Other', ' 45107)']",[' Yes'],"[' 5527     (Eliminated', '    0 Frozen', ' 5527)']","[' 779      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.812933'],[' 0'], ,[' 418.884'],[' 0'],[' 9.93404'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.30915e+08'],[' 6.69625e+07'],[' 0'],[' 2.95311e+10'],[' 0'],[' 0'],[' 741 '],[' 1619 '],[' 2008 '],[' 2624 '],[' 3135 '],[' 3567 '],[' 6 '],[' 0 ']
Solving...,TA62, , , ,[' 1'],[' 2329+'],[' 1171'],"[' 588.370s (Solving', ' 583.67s 1st Model', ' 3.34s Unsat', ' 83.97s)']",[' 586.000s'], ,[' 49680143'],"[' 24529222 (Analyzed', ' 24459932)']","[' 45596    (Average', ' 536.45 Last', ' 52702)']",[' 2519.2  '],"[' 1171     (Average Length', ' 634.18 Splits', ' 0)']","[' 24459932 (Deleted', ' 24150220)']","[' 21       (Ratio', '   0.00%)']","[' 4308     (Ratio', '   0.02%)']","[' 24459932 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24459932 (Average', '  1.93 Max', ' 3826 Sum', ' 47091663)']","[' 24459390 (Average', '  1.91 Max', ' 3173 Sum', ' 46725401 Ratio', '  99.22%)']","[' 542      (Average', ' 675.76 Max', ' 861 Sum', ' 366262 Ratio', '   0.78%)']", ,[' 92209   '],[' 4089    '],[' 84864   '],[' 32405   '],"[' 86061    (Atom=Atom', ' 24383 Body=Body', ' 15206 Other', ' 46472)']",[' Yes'],"[' 5799     (Eliminated', '    0 Frozen', ' 5799)']","[' 602      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.998585'],[' 0'], ,[' 414.773'],[' 0'],[' 11.0376'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.2781e+08'],[' 6.70387e+07'],[' 0'],[' 2.90551e+10'],[' 0'],[' 0'],[' 771 '],[' 1590 '],[' 1882 '],[' 2619 '],[' 3041 '],[' 3535 '],[' 5 '],[' 1 ']
Solving...,TA63, , , ,[' 1'],[' 1889+'],[' 951'],"[' 601.232s (Solving', ' 597.32s 1st Model', ' 2.68s Unsat', ' 0.00s)']",[' 598.891s'], ,[' 50013620'],"[' 26417246 (Analyzed', ' 26351823)']","[' 48705    (Average', ' 541.05 Last', ' 265823)']",[' 2388.8  '],"[' 951      (Average Length', ' 548.15 Splits', ' 0)']","[' 26351823 (Deleted', ' 26030228)']","[' 17       (Ratio', '   0.00%)']","[' 3397     (Ratio', '   0.01%)']","[' 26351823 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26351823 (Average', '  1.82 Max', ' 3166 Sum', ' 47882578)']","[' 26351153 (Average', '  1.80 Max', ' 3009 Sum', ' 47506904 Ratio', '  99.22%)']","[' 670      (Average', ' 560.71 Max', ' 726 Sum', ' 375674 Ratio', '   0.78%)']", ,[' 90462   '],[' 4025    '],[' 83376   '],[' 31359   '],"[' 84373    (Atom=Atom', ' 23907 Body=Body', ' 15014 Other', ' 45452)']",[' Yes'],"[' 5564     (Eliminated', '    0 Frozen', ' 5564)']","[' 559      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.827'],[' 0'], ,[' 422.513'],[' 0'],[' 10.7139'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.30506e+08'],[' 6.44809e+07'],[' 0'],[' 2.94325e+10'],[' 0'],[' 0'],[' 935 '],[' 1614 '],[' 1965 '],[' 2412 '],[' 2898 '],[' 3412 '],[' 6 '],[' 0 ']
Solving...,TA64, , , , ,[' 1961'],[' 987'],"[' 410.074s (Solving', ' 406.11s 1st Model', ' 2.76s Unsat', ' 0.46s)']",[' 408.703s'], ,[' 48001019'],"[' 20273104 (Analyzed', ' 20155927)']","[' 38189    (Average', ' 527.79 Last', ' 54781)']",[' 2419.6  '],"[' 987      (Average Length', ' 570.73 Splits', ' 0)']","[' 20155927 (Deleted', ' 19914646)']","[' 18       (Ratio', '   0.00%)']","[' 4229     (Ratio', '   0.02%)']","[' 20155927 (Average Length', '   14.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20155927 (Average', '  2.27 Max', ' 3337 Sum', ' 45760854)']","[' 20155295 (Average', '  2.25 Max', ' 3067 Sum', ' 45364731 Ratio', '  99.13%)']","[' 632      (Average', ' 626.78 Max', ' 795 Sum', ' 396123 Ratio', '   0.87%)']", ,[' 91226   '],[' 4090    '],[' 83990   '],[' 31857   '],"[' 85467    (Atom=Atom', ' 24203 Body=Body', ' 15209 Other', ' 46055)']",[' Yes'],"[' 5655     (Eliminated', '    0 Frozen', ' 5655)']","[' 934      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.824807'],[' 0'], ,[' 272.748'],[' 0'],[' 6.14913'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.19472e+08'],[' 6.52951e+07'],[' 0'],[' 1.8532e+10'],[' 0'],[' 0'],[' 975 '],[' 1515 '],[' 2076 '],[' 2540 '],[' 3329 '],[' 3560 '],[' 4 '],[' 2 ']
Solving...,TA65, , , ,[' 1'],[' 2141+'],[' 1077'],"[' 411.521s (Solving', ' 406.73s 1st Model', ' 3.96s Unsat', ' 1.74s)']",[' 410.125s'], ,[' 26816723'],"[' 12865991 (Analyzed', ' 12757092)']","[' 26216    (Average', ' 486.61 Last', ' 13322)']",[' 2481.3  '],"[' 1077     (Average Length', ' 630.98 Splits', ' 0)']","[' 12757092 (Deleted', ' 12575220)']","[' 21       (Ratio', '   0.00%)']","[' 2941     (Ratio', '   0.02%)']","[' 12757092 (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12757092 (Average', '  1.93 Max', ' 3472 Sum', ' 24662993)']","[' 12756587 (Average', '  1.91 Max', ' 3282 Sum', ' 24336828 Ratio', '  98.68%)']","[' 505      (Average', ' 645.87 Max', ' 911 Sum', ' 326165 Ratio', '   1.32%)']", ,[' 91758   '],[' 4050    '],[' 84406   '],[' 32104   '],"[' 85194    (Atom=Atom', ' 24133 Body=Body', ' 15089 Other', ' 45972)']",[' Yes'],"[' 5712     (Eliminated', '    0 Frozen', ' 5712)']","[' 401      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.02137'],[' 0'], ,[' 296.489'],[' 0'],[' 7.38056'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.56332e+07'],[' 3.39297e+07'],[' 0'],[' 1.82169e+10'],[' 0'],[' 0'],[' 657 '],[' 1336 '],[' 1982 '],[' 2377 '],[' 2994 '],[' 3607 '],[' 4 '],[' 2 ']
Solving...,TA66, , , ,[' 1'],[' 2257+'],[' 1135'],"[' 601.416s (Solving', ' 596.84s 1st Model', ' 3.09s Unsat', ' 0.00s)']",[' 599.156s'], ,[' 53603604'],"[' 28494565 (Analyzed', ' 28420624)']","[' 54694    (Average', ' 519.63 Last', ' 18582)']",[' 2411.2  '],"[' 1135     (Average Length', ' 626.39 Splits', ' 0)']","[' 28420624 (Deleted', ' 28090398)']","[' 13       (Ratio', '   0.00%)']","[' 3808     (Ratio', '   0.01%)']","[' 28420624 (Average Length', '   13.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 28420624 (Average', '  1.80 Max', ' 3576 Sum', ' 51072252)']","[' 28419960 (Average', '  1.78 Max', ' 3009 Sum', ' 50633704 Ratio', '  99.14%)']","[' 664      (Average', ' 660.46 Max', ' 859 Sum', ' 438548 Ratio', '   0.86%)']", ,[' 92044   '],[' 4091    '],[' 84663   '],[' 32358   '],"[' 85946    (Atom=Atom', ' 24355 Body=Body', ' 15212 Other', ' 46379)']",[' Yes'],"[' 5789     (Eliminated', '    0 Frozen', ' 5789)']","[' 720      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.969271'],[' 0'], ,[' 418.368'],[' 0'],[' 9.81879'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.33879e+08'],[' 6.58813e+07'],[' 0'],[' 2.94433e+10'],[' 0'],[' 0'],[' 797 '],[' 1485 '],[' 1847 '],[' 2568 '],[' 3017 '],[' 3538 '],[' 6 '],[' 0 ']
Solving...,TA67, , , , ,[' 2195'],[' 1104'],"[' 490.447s (Solving', ' 485.90s 1st Model', ' 3.25s Unsat', ' 80.36s)']",[' 488.703s'], ,[' 46536542'],"[' 23189977 (Analyzed', ' 23088824)']","[' 44105    (Average', ' 523.50 Last', ' 26141)']",[' 2482.7  '],"[' 1104     (Average Length', ' 624.26 Splits', ' 0)']","[' 23088824 (Deleted', ' 22827751)']","[' 24       (Ratio', '   0.00%)']","[' 3437     (Ratio', '   0.01%)']","[' 23088824 (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23088824 (Average', '  1.91 Max', ' 3368 Sum', ' 44205812)']","[' 23088111 (Average', '  1.89 Max', ' 2989 Sum', ' 43742022 Ratio', '  98.95%)']","[' 713      (Average', ' 650.48 Max', ' 843 Sum', ' 463790 Ratio', '   1.05%)']", ,[' 90802   '],[' 4040    '],[' 83781   '],[' 31649   '],"[' 85072    (Atom=Atom', ' 24120 Body=Body', ' 15059 Other', ' 45893)']",[' Yes'],"[' 5700     (Eliminated', '    0 Frozen', ' 5700)']","[' 646      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.999952'],[' 0'], ,[' 331.468'],[' 0'],[' 8.34686'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.20227e+08'],[' 6.20658e+07'],[' 0'],[' 2.33822e+10'],[' 0'],[' 0'],[' 959 '],[' 1483 '],[' 2056 '],[' 2615 '],[' 3223 '],[' 3529 '],[' 4 '],[' 2 ']
Solving...,TA68, , , ,[' 1'],[' 2037+'],[' 1025'],"[' 601.342s (Solving', ' 596.93s 1st Model', ' 2.99s Unsat', ' 0.00s)']",[' 597.250s'], ,[' 52436192'],"[' 27971309 (Analyzed', ' 27879929)']","[' 55162    (Average', ' 505.42 Last', ' 10262)']",[' 2550.5  '],"[' 1025     (Average Length', ' 585.83 Splits', ' 0)']","[' 27879929 (Deleted', ' 27531453)']","[' 12       (Ratio', '   0.00%)']","[' 3278     (Ratio', '   0.01%)']","[' 27879929 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27879929 (Average', '  1.79 Max', ' 3450 Sum', ' 49890484)']","[' 27879289 (Average', '  1.78 Max', ' 3027 Sum', ' 49521414 Ratio', '  99.26%)']","[' 640      (Average', ' 576.67 Max', ' 737 Sum', ' 369070 Ratio', '   0.74%)']", ,[' 90833   '],[' 3992    '],[' 83629   '],[' 31562   '],"[' 84108    (Atom=Atom', ' 23849 Body=Body', ' 14915 Other', ' 45344)']",[' Yes'],"[' 5606     (Eliminated', '    0 Frozen', ' 5606)']","[' 609      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.943586'],[' 0'], ,[' 413.053'],[' 0'],[' 9.7563'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.33185e+08'],[' 6.62473e+07'],[' 0'],[' 2.92552e+10'],[' 0'],[' 0'],[' 818 '],[' 1305 '],[' 1801 '],[' 2412 '],[' 2876 '],[' 3272 '],[' 6 '],[' 0 ']
Solving...,TA69, , , , ,[' 2149'],[' 1081'],"[' 427.391s (Solving', ' 423.02s 1st Model', ' 2.96s Unsat', ' 16.50s)']",[' 425.359s'], ,[' 45079749'],"[' 21316448 (Analyzed', ' 21239089)']","[' 41100    (Average', ' 516.77 Last', ' 1345)']",[' 2405.3  '],"[' 1081     (Average Length', ' 606.04 Splits', ' 0)']","[' 21239089 (Deleted', ' 20985452)']","[' 30       (Ratio', '   0.00%)']","[' 3953     (Ratio', '   0.02%)']","[' 21239089 (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21239089 (Average', '  2.02 Max', ' 3090 Sum', ' 42804112)']","[' 21238431 (Average', '  2.00 Max', ' 3090 Sum', ' 42407280 Ratio', '  99.07%)']","[' 658      (Average', ' 603.09 Max', ' 851 Sum', ' 396832 Ratio', '   0.93%)']", ,[' 91522   '],[' 4130    '],[' 84444   '],[' 32082   '],"[' 86371    (Atom=Atom', ' 24457 Body=Body', ' 15329 Other', ' 46585)']",[' Yes'],"[' 5789     (Eliminated', '    0 Frozen', ' 5789)']","[' 722      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.930197'],[' 0'], ,[' 283.092'],[' 0'],[' 7.46285'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.1454e+08'],[' 6.12803e+07'],[' 0'],[' 1.94178e+10'],[' 0'],[' 0'],[' 897 '],[' 1540 '],[' 2117 '],[' 2616 '],[' 3247 '],[' 3728 '],[' 4 '],[' 2 ']
Solving...,TA70, , , ,[' 1'],[' 1867+'],[' 940'],"[' 430.791s (Solving', ' 427.10s 1st Model', ' 2.61s Unsat', ' 24.18s)']",[' 429.234s'], ,[' 39630785'],"[' 16643089 (Analyzed', ' 16541770)']","[' 31932    (Average', ' 518.03 Last', ' 12700)']",[' 2323.3  '],"[' 940      (Average Length', ' 546.17 Splits', ' 0)']","[' 16541770 (Deleted', ' 16351756)']","[' 31       (Ratio', '   0.00%)']","[' 4047     (Ratio', '   0.02%)']","[' 16541770 (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16541770 (Average', '  2.28 Max', ' 3286 Sum', ' 37736353)']","[' 16541152 (Average', '  2.26 Max', ' 3066 Sum', ' 37338742 Ratio', '  98.95%)']","[' 618      (Average', ' 643.38 Max', ' 797 Sum', ' 397611 Ratio', '   1.05%)']", ,[' 91601   '],[' 4115    '],[' 84159   '],[' 32093   '],"[' 85805    (Atom=Atom', ' 24256 Body=Body', ' 15284 Other', ' 46265)']",[' Yes'],"[' 5657     (Eliminated', '    0 Frozen', ' 5657)']","[' 634      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.761346'],[' 0'], ,[' 316.801'],[' 0'],[' 8.21363'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.39953e+07'],[' 5.43412e+07'],[' 0'],[' 2.26031e+10'],[' 0'],[' 0'],[' 705 '],[' 1351 '],[' 2209 '],[' 2678 '],[' 3335 '],[' 3680 '],[' 4 '],[' 2 ']
