Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , ,[' 1'],[' 1659+'],[' 837'],"[' 435.767s (Solving', ' 432.39s 1st Model', ' 1.92s Unsat', ' 0.13s)']",[' 434.500s'], ,[' 38048460'],"[' 24345233 (Analyzed', ' 24301786)']","[' 47509    (Average', ' 511.52 Last', ' 10200)']",[' 2053.8  '],"[' 837      (Average Length', ' 488.87 Splits', ' 0)']","[' 24301786 (Deleted', ' 23959506)']","[' 9        (Ratio', '   0.00%)']","[' 1919     (Ratio', '   0.01%)']","[' 24301786 (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24301786 (Average', '  1.50 Max', ' 3227 Sum', ' 36337926)']","[' 24301244 (Average', '  1.48 Max', ' 2660 Sum', ' 36085018 Ratio', '  99.30%)']","[' 542      (Average', ' 466.62 Max', ' 703 Sum', ' 252908 Ratio', '   0.70%)']", ,[' 85852   '],[' 3425    '],[' 79314   '],[' 28229   '],"[' 74715    (Atom=Atom', ' 21553 Body=Body', ' 13255 Other', ' 39907)']",[' Yes'],"[' 4910     (Eliminated', '    0 Frozen', ' 4910)']","[' 301      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.682386'],[' 0'], ,[' 278.438'],[' 0'],[' 6.87439'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.05308e+08'],[' 4.57529e+07'],[' 0'],[' 2.02258e+10'],[' 0'],[' 0'],[' 699 '],[' 1264 '],[' 1837 '],[' 2390 '],[' 2625 '],[' 3091 '],[' 3580 '],[' 5 '],[' 2 ']
Solving...,TA62, , , ,[' 1'],[' 1581+'],[' 798'],"[' 297.750s (Solving', ' 294.70s 1st Model', ' 1.91s Unsat', ' 31.82s)']",[' 297.406s'], ,[' 22317234'],"[' 13049571 (Analyzed', ' 12998521)']","[' 27505    (Average', ' 472.59 Last', ' 4456)']",[' 1934.0  '],"[' 798      (Average Length', ' 482.68 Splits', ' 0)']","[' 12998521 (Deleted', ' 12803385)']","[' 19       (Ratio', '   0.00%)']","[' 2185     (Ratio', '   0.02%)']","[' 12998521 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12998521 (Average', '  1.62 Max', ' 3181 Sum', ' 21105093)']","[' 12997890 (Average', '  1.60 Max', ' 2648 Sum', ' 20761849 Ratio', '  98.37%)']","[' 631      (Average', ' 543.97 Max', ' 738 Sum', ' 343244 Ratio', '   1.63%)']", ,[' 86178   '],[' 3472    '],[' 79502   '],[' 28481   '],"[' 75276    (Atom=Atom', ' 21702 Body=Body', ' 13396 Other', ' 40178)']",[' Yes'],"[' 4925     (Eliminated', '    0 Frozen', ' 4925)']","[' 307      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.597291'],[' 0'], ,[' 209.248'],[' 0'],[' 4.20286'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.68148e+07'],[' 2.65827e+07'],[' 0'],[' 1.4991e+10'],[' 0'],[' 0'],[' 732 '],[' 1285 '],[' 1823 '],[' 2324 '],[' 2764 '],[' 3316 '],[' 3795 '],[' 3 '],[' 4 ']
Solving...,TA63, , , ,[' 1'],[' 1759+'],[' 887'],"[' 308.169s (Solving', ' 304.72s 1st Model', ' 2.23s Unsat', ' 39.89s)']",[' 308.234s'], ,[' 26065412'],"[' 13639782 (Analyzed', ' 13586748)']","[' 27456    (Average', ' 494.86 Last', ' 18611)']",[' 2061.9  '],"[' 887      (Average Length', ' 510.77 Splits', ' 0)']","[' 13586748 (Deleted', ' 13416983)']","[' 8        (Ratio', '   0.00%)']","[' 2472     (Ratio', '   0.02%)']","[' 13586748 (Average Length', '   13.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13586748 (Average', '  1.80 Max', ' 3426 Sum', ' 24491512)']","[' 13586217 (Average', '  1.78 Max', ' 2737 Sum', ' 24213923 Ratio', '  98.87%)']","[' 531      (Average', ' 522.77 Max', ' 721 Sum', ' 277589 Ratio', '   1.13%)']", ,[' 85959   '],[' 3476    '],[' 79544   '],[' 28401   '],"[' 75611    (Atom=Atom', ' 21807 Body=Body', ' 13408 Other', ' 40396)']",[' Yes'],"[' 5010     (Eliminated', '    0 Frozen', ' 5010)']","[' 381      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.699304'],[' 0'], ,[' 217.481'],[' 0'],[' 5.53974'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.41594e+07'],[' 3.14755e+07'],[' 0'],[' 1.58683e+10'],[' 0'],[' 0'],[' 811 '],[' 1284 '],[' 1618 '],[' 2228 '],[' 2511 '],[' 2995 '],[' 3408 '],[' 3 '],[' 4 ']
Solving...,TA64, , , , ,[' 1465'],[' 740'],"[' 353.597s (Solving', ' 350.60s 1st Model', ' 1.84s Unsat', ' 1.67s)']",[' 352.656s'], ,[' 36881892'],"[' 20257071 (Analyzed', ' 20204297)']","[' 38630    (Average', ' 523.02 Last', ' 70666)']",[' 1976.4  '],"[' 740      (Average Length', ' 451.11 Splits', ' 0)']","[' 20204297 (Deleted', ' 19928500)']","[' 25       (Ratio', '   0.00%)']","[' 2618     (Ratio', '   0.01%)']","[' 20204297 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20204297 (Average', '  1.75 Max', ' 3053 Sum', ' 35449364)']","[' 20203671 (Average', '  1.74 Max', ' 2534 Sum', ' 35162222 Ratio', '  99.19%)']","[' 626      (Average', ' 458.69 Max', ' 612 Sum', ' 287142 Ratio', '   0.81%)']", ,[' 85233   '],[' 3411    '],[' 78787   '],[' 27858   '],"[' 74165    (Atom=Atom', ' 21400 Body=Body', ' 13213 Other', ' 39552)']",[' Yes'],"[' 4812     (Eliminated', '    0 Frozen', ' 4812)']","[' 386      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.602401'],[' 0'], ,[' 224.598'],[' 0'],[' 5.07125'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.81742e+07'],[' 4.87113e+07'],[' 0'],[' 1.5906e+10'],[' 0'],[' 0'],[' 890 '],[' 1324 '],[' 1770 '],[' 2252 '],[' 2752 '],[' 3110 '],[' 3314 '],[' 4 '],[' 3 ']
Solving...,TA65, , , ,[' 1'],[' 1637+'],[' 826'],"[' 395.136s (Solving', ' 392.02s 1st Model', ' 1.88s Unsat', ' 44.80s)']",[' 394.313s'], ,[' 27293382'],"[' 17268708 (Analyzed', ' 17207565)']","[' 35250    (Average', ' 488.16 Last', ' 199688)']",[' 1958.4  '],"[' 826      (Average Length', ' 494.26 Splits', ' 0)']","[' 17207565 (Deleted', ' 16940349)']","[' 25       (Ratio', '   0.00%)']","[' 2407     (Ratio', '   0.01%)']","[' 17207565 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17207565 (Average', '  1.50 Max', ' 3242 Sum', ' 25858162)']","[' 17206976 (Average', '  1.48 Max', ' 2657 Sum', ' 25540004 Ratio', '  98.77%)']","[' 589      (Average', ' 540.17 Max', ' 732 Sum', ' 318158 Ratio', '   1.23%)']", ,[' 86493   '],[' 3500    '],[' 79833   '],[' 28639   '],"[' 75826    (Atom=Atom', ' 21842 Body=Body', ' 13480 Other', ' 40504)']",[' Yes'],"[' 4980     (Eliminated', '    0 Frozen', ' 4980)']","[' 308      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.620016'],[' 0'], ,[' 280.632'],[' 0'],[' 6.61395'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.05322e+07'],[' 3.06891e+07'],[' 0'],[' 2.03682e+10'],[' 0'],[' 0'],[' 657 '],[' 1153 '],[' 1602 '],[' 2106 '],[' 2760 '],[' 3159 '],[' 3656 '],[' 4 '],[' 3 ']
Solving...,TA66, , , ,[' 1'],[' 1671+'],[' 843'],"[' 457.588s (Solving', ' 454.30s 1st Model', ' 2.03s Unsat', ' 23.96s)']",[' 456.141s'], ,[' 32337511'],"[' 19939461 (Analyzed', ' 19895547)']","[' 39475    (Average', ' 504.00 Last', ' 90913)']",[' 2030.7  '],"[' 843      (Average Length', ' 494.80 Splits', ' 0)']","[' 19895547 (Deleted', ' 19626503)']","[' 23       (Ratio', '   0.00%)']","[' 2725     (Ratio', '   0.01%)']","[' 19895547 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19895547 (Average', '  1.55 Max', ' 3166 Sum', ' 30781621)']","[' 19894997 (Average', '  1.53 Max', ' 2613 Sum', ' 30508244 Ratio', '  99.11%)']","[' 550      (Average', ' 497.05 Max', ' 729 Sum', ' 273377 Ratio', '   0.89%)']", ,[' 86254   '],[' 3453    '],[' 79595   '],[' 28519   '],"[' 75120    (Atom=Atom', ' 21671 Body=Body', ' 13339 Other', ' 40110)']",[' Yes'],"[' 4959     (Eliminated', '    0 Frozen', ' 4959)']","[' 431      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.664748'],[' 0'], ,[' 327.088'],[' 0'],[' 8.2013'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.47316e+07'],[' 3.92018e+07'],[' 0'],[' 2.44802e+10'],[' 0'],[' 0'],[' 662 '],[' 1187 '],[' 1564 '],[' 1988 '],[' 2518 '],[' 3110 '],[' 3521 '],[' 5 '],[' 2 ']
Solving...,TA67, , , ,[' 1'],[' 1485+'],[' 750'],"[' 434.059s (Solving', ' 431.15s 1st Model', ' 1.72s Unsat', ' 1.22s)']",[' 433.813s'], ,[' 32989315'],"[' 18188632 (Analyzed', ' 18141757)']","[' 37492    (Average', ' 483.88 Last', ' 5799)']",[' 1926.1  '],"[' 750      (Average Length', ' 453.49 Splits', ' 0)']","[' 18141757 (Deleted', ' 17880862)']","[' 2        (Ratio', '   0.00%)']","[' 2479     (Ratio', '   0.01%)']","[' 18141757 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18141757 (Average', '  1.74 Max', ' 2929 Sum', ' 31594816)']","[' 18141236 (Average', '  1.73 Max', ' 2661 Sum', ' 31342182 Ratio', '  99.20%)']","[' 521      (Average', ' 484.90 Max', ' 687 Sum', ' 252634 Ratio', '   0.80%)']", ,[' 85592   '],[' 3433    '],[' 79028   '],[' 28118   '],"[' 74533    (Atom=Atom', ' 21498 Body=Body', ' 13279 Other', ' 39756)']",[' Yes'],"[' 4846     (Eliminated', '    0 Frozen', ' 4846)']","[' 376      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.583251'],[' 0'], ,[' 308.497'],[' 0'],[' 7.48155'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.25598e+07'],[' 4.61561e+07'],[' 0'],[' 2.17254e+10'],[' 0'],[' 0'],[' 885 '],[' 1403 '],[' 1702 '],[' 2275 '],[' 2793 '],[' 3425 '],[' 3646 '],[' 5 '],[' 2 ']
Solving...,TA68, , , , ,[' 1655'],[' 835'],"[' 342.103s (Solving', ' 338.89s 1st Model', ' 2.63s Unsat', ' 158.65s)']",[' 341.375s'], ,[' 29311338'],"[' 18632624 (Analyzed', ' 18578509)']","[' 36966    (Average', ' 502.58 Last', ' 59790)']",[' 1986.3  '],"[' 835      (Average Length', ' 486.28 Splits', ' 0)']","[' 18578509 (Deleted', ' 18321510)']","[' 37       (Ratio', '   0.00%)']","[' 2346     (Ratio', '   0.01%)']","[' 18578509 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18578509 (Average', '  1.50 Max', ' 2764 Sum', ' 27779087)']","[' 18577988 (Average', '  1.48 Max', ' 2719 Sum', ' 27549832 Ratio', '  99.17%)']","[' 521      (Average', ' 440.03 Max', ' 714 Sum', ' 229255 Ratio', '   0.83%)']", ,[' 85605   '],[' 3419    '],[' 79165   '],[' 28116   '],"[' 74606    (Atom=Atom', ' 21527 Body=Body', ' 13237 Other', ' 39842)']",[' Yes'],"[' 4901     (Eliminated', '    0 Frozen', ' 4901)']","[' 385      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.655697'],[' 0'], ,[' 217.337'],[' 0'],[' 5.74733'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.83792e+07'],[' 3.53654e+07'],[' 0'],[' 1.55392e+10'],[' 0'],[' 0'],[' 714 '],[' 1303 '],[' 1598 '],[' 2037 '],[' 2515 '],[' 3065 '],[' 3449 '],[' 2 '],[' 5 ']
Solving...,TA69, , , , ,[' 1621'],[' 818'],"[' 442.649s (Solving', ' 439.37s 1st Model', ' 2.02s Unsat', ' 91.63s)']",[' 441.297s'], ,[' 37304882'],"[' 21046278 (Analyzed', ' 21001403)']","[' 41687    (Average', ' 503.79 Last', ' 101964)']",[' 2004.9  '],"[' 818      (Average Length', ' 481.33 Splits', ' 0)']","[' 21001403 (Deleted', ' 20760996)']","[' 44       (Ratio', '   0.00%)']","[' 3265     (Ratio', '   0.02%)']","[' 21001403 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21001403 (Average', '  1.70 Max', ' 2919 Sum', ' 35761039)']","[' 21000774 (Average', '  1.69 Max', ' 2651 Sum', ' 35453650 Ratio', '  99.14%)']","[' 629      (Average', ' 488.69 Max', ' 696 Sum', ' 307389 Ratio', '   0.86%)']", ,[' 86539   '],[' 3538    '],[' 79993   '],[' 28685   '],"[' 76427    (Atom=Atom', ' 21986 Body=Body', ' 13594 Other', ' 40847)']",[' Yes'],"[' 5019     (Eliminated', '    0 Frozen', ' 5019)']","[' 491      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.642318'],[' 0'], ,[' 303.388'],[' 0'],[' 6.23443'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.59715e+07'],[' 4.58709e+07'],[' 0'],[' 2.19848e+10'],[' 0'],[' 0'],[' 781 '],[' 1388 '],[' 1847 '],[' 2390 '],[' 2787 '],[' 3315 '],[' 3776 '],[' 4 '],[' 3 ']
Solving...,TA70, , , ,[' 1'],[' 1493+'],[' 754'],"[' 448.318s (Solving', ' 445.24s 1st Model', ' 1.79s Unsat', ' 14.92s)']",[' 446.953s'], ,[' 40230012'],"[' 19392782 (Analyzed', ' 19338914)']","[' 37805    (Average', ' 511.54 Last', ' 24898)']",[' 1995.0  '],"[' 754      (Average Length', ' 457.28 Splits', ' 0)']","[' 19338914 (Deleted', ' 19112465)']","[' 13       (Ratio', '   0.00%)']","[' 3795     (Ratio', '   0.02%)']","[' 19338914 (Average Length', '   14.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19338914 (Average', '  2.00 Max', ' 3072 Sum', ' 38751726)']","[' 19338243 (Average', '  1.99 Max', ' 2627 Sum', ' 38391459 Ratio', '  99.07%)']","[' 671      (Average', ' 536.91 Max', ' 665 Sum', ' 360267 Ratio', '   0.93%)']", ,[' 86867   '],[' 3651    '],[' 80242   '],[' 29035   '],"[' 77874    (Atom=Atom', ' 22374 Body=Body', ' 13933 Other', ' 41567)']",[' Yes'],"[' 5089     (Eliminated', '    0 Frozen', ' 5089)']","[' 696      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.614783'],[' 0'], ,[' 324.611'],[' 0'],[' 8.42632'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.28883e+07'],[' 4.86552e+07'],[' 0'],[' 2.42183e+10'],[' 0'],[' 0'],[' 581 '],[' 1160 '],[' 1842 '],[' 2568 '],[' 3034 '],[' 3553 '],[' 3725 '],[' 5 '],[' 2 ']
