Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , ,[' 1'],[' 583+'],[' 300'],"[' 529.227s (Solving', ' 528.08s 1st Model', ' 0.41s Unsat', ' 2.90s)']",[' 520.875s'], ,[' 43769620'],"[' 29865395 (Analyzed', ' 29848387)']","[' 60165    (Average', ' 496.11 Last', ' 54780)']",[' 1004.1  '],"[' 300      (Average Length', ' 215.05 Splits', ' 0)']","[' 29848387 (Deleted', ' 29442482)']","[' 2        (Ratio', '   0.00%)']","[' 2833     (Ratio', '   0.01%)']","[' 29848387 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 29848387 (Average', '  1.43 Max', ' 1707 Sum', ' 42764390)']","[' 29848000 (Average', '  1.43 Max', ' 1707 Sum', ' 42661283 Ratio', '  99.76%)']","[' 387      (Average', ' 266.43 Max', ' 341 Sum', ' 103107 Ratio', '   0.24%)']", ,[' 62056   '],[' 2333    '],[' 57244   '],[' 19530   '],"[' 51453    (Atom=Atom', ' 14992 Body=Body', ' 9266 Other', ' 27195)']",[' Yes'],"[' 3184     (Eliminated', '    0 Frozen', ' 3184)']","[' 363      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.168606'],[' 0'], ,[' 332.28'],[' 0'],[' 6.48154'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.12562e+08'],[' 4.51903e+07'],[' 0'],[' 2.00517e+10'],[' 0'],[' 0'],[' 693 '],[' 1042 '],[' 1625 '],[' 1909 '],[' 2320 '],[' 2784 '],[' 3155 '],[' 3702 '],[' 7 '],[' 1 ']
Solving...,TA52, , , ,[' 1'],[' 619+'],[' 318'],"[' 322.184s (Solving', ' 321.03s 1st Model', ' 0.50s Unsat', ' 19.12s)']",[' 321.766s'], ,[' 25948251'],"[' 18105107 (Analyzed', ' 18093658)']","[' 36749    (Average', ' 492.36 Last', ' 14077)']",[' 1113.6  '],"[' 318      (Average Length', ' 219.06 Splits', ' 0)']","[' 18093658 (Deleted', ' 17865171)']","[' 25       (Ratio', '   0.00%)']","[' 2272     (Ratio', '   0.01%)']","[' 18093658 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18093658 (Average', '  1.39 Max', ' 1926 Sum', ' 25233988)']","[' 18093286 (Average', '  1.39 Max', ' 1633 Sum', ' 25140665 Ratio', '  99.63%)']","[' 372      (Average', ' 250.87 Max', ' 348 Sum', '  93323 Ratio', '   0.37%)']", ,[' 61728   '],[' 2296    '],[' 57025   '],[' 19269   '],"[' 50907    (Atom=Atom', ' 14856 Body=Body', ' 9153 Other', ' 26898)']",[' Yes'],"[' 3165     (Eliminated', '    0 Frozen', ' 3165)']","[' 288      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.182418'],[' 0'], ,[' 210.528'],[' 0'],[' 5.01735'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.72738e+07'],[' 2.60234e+07'],[' 0'],[' 1.43765e+10'],[' 0'],[' 0'],[' 543 '],[' 1229 '],[' 1596 '],[' 2129 '],[' 2295 '],[' 2723 '],[' 3086 '],[' 3452 '],[' 4 '],[' 4 ']
Solving...,TA53, , , , ,[' 691'],[' 354'],"[' 156.115s (Solving', ' 154.85s 1st Model', ' 0.55s Unsat', ' 1.86s)']",[' 155.391s'], ,[' 10993010'],"[' 7764540  (Analyzed', ' 7727749)']","[' 15536    (Average', ' 497.41 Last', ' 300346)']",[' 1109.8  '],"[' 354      (Average Length', ' 237.72 Splits', ' 0)']","[' 7727749  (Deleted', ' 7606605)']","[' 25       (Ratio', '   0.00%)']","[' 1118     (Ratio', '   0.01%)']","[' 7727749  (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7727749  (Average', '  1.37 Max', ' 1820 Sum', ' 10564532)']","[' 7727417  (Average', '  1.36 Max', ' 1728 Sum', ' 10478795 Ratio', '  99.19%)']","[' 332      (Average', ' 258.24 Max', ' 377 Sum', '  85737 Ratio', '   0.81%)']", ,[' 61209   '],[' 2212    '],[' 56567   '],[' 18995   '],"[' 49725    (Atom=Atom', ' 14562 Body=Body', ' 8903 Other', ' 26260)']",[' Yes'],"[' 3116     (Eliminated', '    0 Frozen', ' 3116)']","[' 114      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.216044'],[' 0'], ,[' 98.3091'],[' 0'],[' 2.2382'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.93181e+07'],[' 1.15444e+07'],[' 0'],[' 6.35574e+09'],[' 0'],[' 0'],[' 596 '],[' 999 '],[' 1359 '],[' 1739 '],[' 2094 '],[' 2603 '],[' 2903 '],[' 3279 '],[' 2 '],[' 6 ']
Solving...,TA54, , , , ,[' 697'],[' 357'],"[' 97.098s (Solving', ' 95.67s 1st Model', ' 0.67s Unsat', ' 16.20s)']",[' 93.188s'], ,[' 9575313 '],"[' 6212249  (Analyzed', ' 6207029)']","[' 12263    (Average', ' 506.16 Last', ' 932)']",[' 1181.8  '],"[' 357      (Average Length', ' 224.98 Splits', ' 0)']","[' 6207029  (Deleted', ' 6120094)']","[' 28       (Ratio', '   0.00%)']","[' 1508     (Ratio', '   0.02%)']","[' 6207029  (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6207029  (Average', '  1.47 Max', ' 1719 Sum', ' 9140547)']","[' 6206634  (Average', '  1.46 Max', ' 1719 Sum', ' 9052299 Ratio', '  99.03%)']","[' 395      (Average', ' 223.41 Max', ' 367 Sum', '  88248 Ratio', '   0.97%)']", ,[' 61390   '],[' 2269    '],[' 56800   '],[' 19117   '],"[' 50695    (Atom=Atom', ' 14793 Body=Body', ' 9074 Other', ' 26828)']",[' Yes'],"[' 3173     (Eliminated', '    0 Frozen', ' 3173)']","[' 122      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.25514'],[' 0'], ,[' 49.0049'],[' 0'],[' 1.23229'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.37364e+07'],[' 9.15082e+06'],[' 0'],[' 2.51812e+09'],[' 0'],[' 0'],[' 566 '],[' 1166 '],[' 1455 '],[' 1836 '],[' 2261 '],[' 2568 '],[' 2974 '],[' 3268 '],[' 1 '],[' 7 ']
Solving...,TA55, , , , ,[' 619'],[' 318'],"[' 229.190s (Solving', ' 228.07s 1st Model', ' 0.50s Unsat', ' 75.28s)']",[' 228.406s'], ,[' 18132572'],"[' 11783448 (Analyzed', ' 11755892)']","[' 24656    (Average', ' 476.80 Last', ' 31940)']",[' 1122.7  '],"[' 318      (Average Length', ' 217.49 Splits', ' 0)']","[' 11755892 (Deleted', ' 11613455)']","[' 43       (Ratio', '   0.00%)']","[' 2122     (Ratio', '   0.02%)']","[' 11755892 (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11755892 (Average', '  1.49 Max', ' 1867 Sum', ' 17559799)']","[' 11755503 (Average', '  1.49 Max', ' 1763 Sum', ' 17464842 Ratio', '  99.46%)']","[' 389      (Average', ' 244.11 Max', ' 355 Sum', '  94957 Ratio', '   0.54%)']", ,[' 61706   '],[' 2287    '],[' 56961   '],[' 19285   '],"[' 50741    (Atom=Atom', ' 14826 Body=Body', ' 9128 Other', ' 26787)']",[' Yes'],"[' 3154     (Eliminated', '    0 Frozen', ' 3154)']","[' 273      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.18619'],[' 0'], ,[' 158.535'],[' 0'],[' 3.09419'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.44729e+07'],[' 1.73731e+07'],[' 0'],[' 1.04164e+10'],[' 0'],[' 0'],[' 583 '],[' 948 '],[' 1537 '],[' 2020 '],[' 2229 '],[' 2833 '],[' 3230 '],[' 3367 '],[' 2 '],[' 6 ']
Solving...,TA56, , , , ,[' 549'],[' 283'],"[' 286.606s (Solving', ' 285.48s 1st Model', ' 0.52s Unsat', ' 58.40s)']",[' 285.578s'], ,[' 24670245'],"[' 15603170 (Analyzed', ' 15595892)']","[' 31283    (Average', ' 498.54 Last', ' 68423)']",[' 1134.1  '],"[' 283      (Average Length', ' 194.99 Splits', ' 0)']","[' 15595892 (Deleted', ' 15397802)']","[' 31       (Ratio', '   0.00%)']","[' 2320     (Ratio', '   0.01%)']","[' 15595892 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15595892 (Average', '  1.54 Max', ' 1817 Sum', ' 24090309)']","[' 15595434 (Average', '  1.54 Max', ' 1577 Sum', ' 23994217 Ratio', '  99.60%)']","[' 458      (Average', ' 209.81 Max', ' 312 Sum', '  96092 Ratio', '   0.40%)']", ,[' 61327   '],[' 2304    '],[' 56710   '],[' 19086   '],"[' 50915    (Atom=Atom', ' 14859 Body=Body', ' 9179 Other', ' 26877)']",[' Yes'],"[' 3140     (Eliminated', '    0 Frozen', ' 3140)']","[' 326      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.182248'],[' 0'], ,[' 189.36'],[' 0'],[' 4.74944'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.47442e+07'],[' 2.90667e+07'],[' 0'],[' 1.3004e+10'],[' 0'],[' 0'],[' 693 '],[' 1383 '],[' 1727 '],[' 2186 '],[' 2494 '],[' 2838 '],[' 3257 '],[' 3416 '],[' 3 '],[' 5 ']
Solving...,TA57, , , ,[' 1'],[' 683+'],[' 350'],"[' 276.182s (Solving', ' 274.76s 1st Model', ' 0.61s Unsat', ' 46.62s)']",[' 273.906s'], ,[' 20512377'],"[' 14086868 (Analyzed', ' 14058157)']","[' 27588    (Average', ' 509.58 Last', ' 1559)']",[' 1112.0  '],"[' 350      (Average Length', ' 237.09 Splits', ' 0)']","[' 14058157 (Deleted', ' 13882331)']","[' 14       (Ratio', '   0.00%)']","[' 1601     (Ratio', '   0.01%)']","[' 14058157 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14058157 (Average', '  1.42 Max', ' 2037 Sum', ' 19938116)']","[' 14057752 (Average', '  1.41 Max', ' 1719 Sum', ' 19827069 Ratio', '  99.44%)']","[' 405      (Average', ' 274.19 Max', ' 383 Sum', ' 111047 Ratio', '   0.56%)']", ,[' 61299   '],[' 2245    '],[' 56687   '],[' 19010   '],"[' 50220    (Atom=Atom', ' 14690 Body=Body', ' 9002 Other', ' 26528)']",[' Yes'],"[' 3144     (Eliminated', '    0 Frozen', ' 3144)']","[' 161      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.243446'],[' 0'], ,[' 183.317'],[' 0'],[' 4.96779'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.29307e+07'],[' 2.07018e+07'],[' 0'],[' 1.237e+10'],[' 0'],[' 0'],[' 603 '],[' 1119 '],[' 1701 '],[' 2035 '],[' 2397 '],[' 2886 '],[' 3243 '],[' 3589 '],[' 3 '],[' 5 ']
Solving...,TA58, , , ,[' 1'],[' 803+'],[' 410'],"[' 326.435s (Solving', ' 325.01s 1st Model', ' 0.63s Unsat', ' 22.56s)']",[' 324.703s'], ,[' 26440452'],"[' 19081243 (Analyzed', ' 19067872)']","[' 38251    (Average', ' 498.49 Last', ' 401708)']",[' 1178.2  '],"[' 410      (Average Length', ' 261.92 Splits', ' 0)']","[' 19067872 (Deleted', ' 18798241)']","[' 12       (Ratio', '   0.00%)']","[' 1846     (Ratio', '   0.01%)']","[' 19067872 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19067872 (Average', '  1.34 Max', ' 1852 Sum', ' 25642375)']","[' 19067512 (Average', '  1.34 Max', ' 1769 Sum', ' 25537002 Ratio', '  99.59%)']","[' 360      (Average', ' 292.70 Max', ' 413 Sum', ' 105373 Ratio', '   0.41%)']", ,[' 61925   '],[' 2309    '],[' 57293   '],[' 19467   '],"[' 51371    (Atom=Atom', ' 15006 Body=Body', ' 9194 Other', ' 27171)']",[' Yes'],"[' 3263     (Eliminated', '    0 Frozen', ' 3263)']","[' 192      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.255513'],[' 0'], ,[' 205.825'],[' 0'],[' 4.16648'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.80596e+07'],[' 2.54192e+07'],[' 0'],[' 1.30546e+10'],[' 0'],[' 0'],[' 579 '],[' 1170 '],[' 1546 '],[' 1821 '],[' 2223 '],[' 2740 '],[' 3218 '],[' 3656 '],[' 4 '],[' 4 ']
Solving...,TA59, , , , ,[' 555'],[' 286'],"[' 248.823s (Solving', ' 247.72s 1st Model', ' 0.43s Unsat', ' 20.66s)']",[' 246.422s'], ,[' 23262699'],"[' 16697995 (Analyzed', ' 16689868)']","[' 33671    (Average', ' 495.67 Last', ' 9994)']",[' 1154.7  '],"[' 286      (Average Length', ' 207.76 Splits', ' 0)']","[' 16689868 (Deleted', ' 16467385)']","[' 12       (Ratio', '   0.00%)']","[' 1616     (Ratio', '   0.01%)']","[' 16689868 (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16689868 (Average', '  1.35 Max', ' 1838 Sum', ' 22602248)']","[' 16689535 (Average', '  1.35 Max', ' 1713 Sum', ' 22534908 Ratio', '  99.70%)']","[' 333      (Average', ' 202.22 Max', ' 323 Sum', '  67340 Ratio', '   0.30%)']", ,[' 61048   '],[' 2238    '],[' 56428   '],[' 18894   '],"[' 49935    (Atom=Atom', ' 14598 Body=Body', ' 8981 Other', ' 26356)']",[' Yes'],"[' 3075     (Eliminated', '    0 Frozen', ' 3075)']","[' 225      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.181529'],[' 0'], ,[' 139.89'],[' 0'],[' 3.6513'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.30847e+07'],[' 2.52384e+07'],[' 0'],[' 8.18955e+09'],[' 0'],[' 0'],[' 617 '],[' 1149 '],[' 1482 '],[' 1679 '],[' 2114 '],[' 2463 '],[' 2849 '],[' 3279 '],[' 3 '],[' 5 ']
Solving...,TA60, , , , ,[' 731'],[' 374'],"[' 461.847s (Solving', ' 460.53s 1st Model', ' 0.59s Unsat', ' 9.29s)']",[' 460.953s'], ,[' 42397643'],"[' 29548734 (Analyzed', ' 29536669)']","[' 57338    (Average', ' 515.13 Last', ' 193384)']",[' 1117.2  '],"[' 374      (Average Length', ' 236.91 Splits', ' 0)']","[' 29536669 (Deleted', ' 29180729)']","[' 12       (Ratio', '   0.00%)']","[' 2850     (Ratio', '   0.01%)']","[' 29536669 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 29536669 (Average', '  1.40 Max', ' 1601 Sum', ' 41379269)']","[' 29536265 (Average', '  1.40 Max', ' 1601 Sum', ' 41265075 Ratio', '  99.72%)']","[' 404      (Average', ' 282.66 Max', ' 365 Sum', ' 114194 Ratio', '   0.28%)']", ,[' 61991   '],[' 2316    '],[' 57251   '],[' 19511   '],"[' 51393    (Atom=Atom', ' 14998 Body=Body', ' 9215 Other', ' 27180)']",[' Yes'],"[' 3239     (Eliminated', '    0 Frozen', ' 3239)']","[' 490      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.228409'],[' 0'], ,[' 279.13'],[' 0'],[' 6.55995'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.17066e+08'],[' 4.85665e+07'],[' 0'],[' 1.76417e+10'],[' 0'],[' 0'],[' 555 '],[' 1035 '],[' 1427 '],[' 1944 '],[' 2443 '],[' 2686 '],[' 3104 '],[' 3371 '],[' 6 '],[' 2 ']
