Optimal Found Or Timeout,Instances,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , ,[' 1345'],[' 681'],"[' 209.776s (Solving', ' 206.87s 1st Model', ' 1.51s Unsat', ' 121.61s)']",[' 206.172s'], ,[' 19093024'],"[' 11387084 (Analyzed', ' 11361315)']","[' 23213    (Average', ' 489.44 Last', ' 71167)']",[' 1781.4  '],"[' 681      (Average Length', ' 409.43 Splits', ' 0)']","[' 11361315 (Deleted', ' 11178632)']","[' 28       (Ratio', '   0.00%)']","[' 1644     (Ratio', '   0.01%)']","[' 11361315 (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11361315 (Average', '  1.59 Max', ' 2841 Sum', ' 18079534)']","[' 11360830 (Average', '  1.58 Max', ' 2323 Sum', ' 17901626 Ratio', '  99.02%)']","[' 485      (Average', ' 366.82 Max', ' 583 Sum', ' 177908 Ratio', '   0.98%)']", ,[' 81501   '],[' 2976    '],[' 75718   '],[' 25314   '],"[' 67291    (Atom=Atom', ' 19719 Body=Body', ' 11943 Other', ' 35629)']",[' Yes'],"[' 4372     (Eliminated', '    0 Frozen', ' 4372)']","[' 282      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.58851'],[' 0'], ,[' 113.742'],[' 0'],[' 3.31298'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.10264e+07'],[' 2.48188e+07'],[' 0'],[' 6.32123e+09'],[' 0'],[' 0'],[' 655 '],[' 1170 '],[' 1653 '],[' 1995 '],[' 2508 '],[' 2669 '],[' 3084 '],[' 3525 '],[' 1 '],[' 7 ']
Solving...,TA62, , , , ,[' 1493'],[' 755'],"[' 238.998s (Solving', ' 236.09s 1st Model', ' 1.49s Unsat', ' 3.69s)']",[' 237.891s'], ,[' 17404067'],"[' 10643359 (Analyzed', ' 10594209)']","[' 22794    (Average', ' 464.78 Last', ' 25441)']",[' 1787.4  '],"[' 755      (Average Length', ' 443.03 Splits', ' 0)']","[' 10594209 (Deleted', ' 10429196)']","[' 18       (Ratio', '   0.00%)']","[' 1654     (Ratio', '   0.02%)']","[' 10594209 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10594209 (Average', '  1.53 Max', ' 2696 Sum', ' 16261331)']","[' 10593791 (Average', '  1.52 Max', ' 2441 Sum', ' 16060983 Ratio', '  98.77%)']","[' 418      (Average', ' 479.30 Max', ' 663 Sum', ' 200348 Ratio', '   1.23%)']", ,[' 82346   '],[' 3004    '],[' 76350   '],[' 25861   '],"[' 67963    (Atom=Atom', ' 19900 Body=Body', ' 12025 Other', ' 36038)']",[' Yes'],"[' 4459     (Eliminated', '    0 Frozen', ' 4459)']","[' 240      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.600531'],[' 0'], ,[' 157.707'],[' 0'],[' 3.16756'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.65721e+07'],[' 2.19475e+07'],[' 0'],[' 1.02964e+10'],[' 0'],[' 0'],[' 647 '],[' 1069 '],[' 1608 '],[' 1969 '],[' 2496 '],[' 3000 '],[' 3234 '],[' 3516 '],[' 3 '],[' 5 ']
Solving...,TA63, , , ,[' 1'],[' 1255+'],[' 636'],"[' 315.379s (Solving', ' 312.85s 1st Model', ' 1.23s Unsat', ' 9.04s)']",[' 314.531s'], ,[' 24930364'],"[' 14597897 (Analyzed', ' 14568172)']","[' 29466    (Average', ' 494.41 Last', ' 1110)']",[' 1626.5  '],"[' 636      (Average Length', ' 396.55 Splits', ' 0)']","[' 14568172 (Deleted', ' 14315595)']","[' 3        (Ratio', '   0.00%)']","[' 1874     (Ratio', '   0.01%)']","[' 14568172 (Average Length', '   11.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14568172 (Average', '  1.65 Max', ' 2532 Sum', ' 23966589)']","[' 14567647 (Average', '  1.63 Max', ' 2343 Sum', ' 23741093 Ratio', '  99.06%)']","[' 525      (Average', ' 429.52 Max', ' 651 Sum', ' 225496 Ratio', '   0.94%)']", ,[' 81971   '],[' 3057    '],[' 76138   '],[' 25637   '],"[' 68395    (Atom=Atom', ' 19998 Body=Body', ' 12186 Other', ' 36211)']",[' Yes'],"[' 4406     (Eliminated', '    0 Frozen', ' 4406)']","[' 246      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.498277'],[' 0'], ,[' 210.496'],[' 0'],[' 4.77222'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.61791e+07'],[' 3.26778e+07'],[' 0'],[' 1.30097e+10'],[' 0'],[' 0'],[' 766 '],[' 1162 '],[' 1470 '],[' 1928 '],[' 2448 '],[' 2683 '],[' 3596 '],[' 3564 '],[' 5 '],[' 3 ']
Solving...,TA64, , , ,[' 1'],[' 1091+'],[' 554'],"[' 233.341s (Solving', ' 230.97s 1st Model', ' 1.22s Unsat', ' 1.26s)']",[' 232.844s'], ,[' 17253553'],"[' 9965374  (Analyzed', ' 9943727)']","[' 20054    (Average', ' 495.85 Last', ' 9580)']",[' 1642.2  '],"[' 554      (Average Length', ' 353.34 Splits', ' 0)']","[' 9943727  (Deleted', ' 9787015)']","[' 9        (Ratio', '   0.00%)']","[' 1923     (Ratio', '   0.02%)']","[' 9943727  (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9943727  (Average', '  1.65 Max', ' 2466 Sum', ' 16442842)']","[' 9943142  (Average', '  1.63 Max', ' 2206 Sum', ' 16230716 Ratio', '  98.71%)']","[' 585      (Average', ' 362.61 Max', ' 519 Sum', ' 212126 Ratio', '   1.29%)']", ,[' 81355   '],[' 2999    '],[' 75495   '],[' 25224   '],"[' 67254    (Atom=Atom', ' 19684 Body=Body', ' 12012 Other', ' 35558)']",[' Yes'],"[' 4270     (Eliminated', '    0 Frozen', ' 4270)']","[' 295      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.453254'],[' 0'], ,[' 162.062'],[' 0'],[' 4.85248'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.47298e+07'],[' 2.12517e+07'],[' 0'],[' 1.05184e+10'],[' 0'],[' 0'],[' 863 '],[' 1334 '],[' 1794 '],[' 2054 '],[' 2532 '],[' 2668 '],[' 3103 '],[' 3419 '],[' 3 '],[' 5 ']
Solving...,TA65, , , ,[' 1'],[' 1273+'],[' 645'],"[' 432.098s (Solving', ' 429.43s 1st Model', ' 1.35s Unsat', ' 52.47s)']",[' 430.938s'], ,[' 28026966'],"[' 18594697 (Analyzed', ' 18575139)']","[' 36803    (Average', ' 504.72 Last', ' 247891)']",[' 1700.9  '],"[' 645      (Average Length', ' 406.56 Splits', ' 0)']","[' 18575139 (Deleted', ' 18319662)']","[' 14       (Ratio', '   0.00%)']","[' 2166     (Ratio', '   0.01%)']","[' 18575139 (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18575139 (Average', '  1.45 Max', ' 2867 Sum', ' 26915344)']","[' 18574657 (Average', '  1.44 Max', ' 2368 Sum', ' 26730186 Ratio', '  99.31%)']","[' 482      (Average', ' 384.15 Max', ' 637 Sum', ' 185158 Ratio', '   0.69%)']", ,[' 82942   '],[' 3057    '],[' 76701   '],[' 26158   '],"[' 68445    (Atom=Atom', ' 20007 Body=Body', ' 12186 Other', ' 36252)']",[' Yes'],"[' 4417     (Eliminated', '    0 Frozen', ' 4417)']","[' 343      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.536236'],[' 0'], ,[' 295.003'],[' 0'],[' 6.03982'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.54623e+07'],[' 3.26639e+07'],[' 0'],[' 1.82557e+10'],[' 0'],[' 0'],[' 657 '],[' 1231 '],[' 1389 '],[' 1813 '],[' 2216 '],[' 2610 '],[' 3110 '],[' 3543 '],[' 5 '],[' 3 ']
Solving...,TA66, , , , ,[' 1109'],[' 563'],"[' 283.817s (Solving', ' 281.32s 1st Model', ' 1.22s Unsat', ' 50.11s)']",[' 272.281s'], ,[' 19923800'],"[' 12104271 (Analyzed', ' 12087417)']","[' 25505    (Average', ' 473.92 Last', ' 6586)']",[' 1496.8  '],"[' 563      (Average Length', ' 352.74 Splits', ' 0)']","[' 12087417 (Deleted', ' 11940918)']","[' 48       (Ratio', '   0.00%)']","[' 2530     (Ratio', '   0.02%)']","[' 12087417 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12087417 (Average', '  1.58 Max', ' 2348 Sum', ' 19116978)']","[' 12086854 (Average', '  1.57 Max', ' 2256 Sum', ' 18918663 Ratio', '  98.96%)']","[' 563      (Average', ' 352.25 Max', ' 570 Sum', ' 198315 Ratio', '   1.04%)']", ,[' 82525   '],[' 3061    '],[' 76375   '],[' 25905   '],"[' 68179    (Atom=Atom', ' 19930 Body=Body', ' 12196 Other', ' 36053)']",[' Yes'],"[' 4342     (Eliminated', '    0 Frozen', ' 4342)']","[' 341      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.441737'],[' 0'], ,[' 185.894'],[' 0'],[' 4.7198'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.20735e+07'],[' 2.29852e+07'],[' 0'],[' 1.07783e+10'],[' 0'],[' 0'],[' 615 '],[' 1258 '],[' 1722 '],[' 1875 '],[' 2223 '],[' 2782 '],[' 3262 '],[' 3711 '],[' 3 '],[' 5 ']
Solving...,TA67, , , , ,[' 1149'],[' 583'],"[' 273.676s (Solving', ' 270.80s 1st Model', ' 1.44s Unsat', ' 39.27s)']",[' 267.234s'], ,[' 17845921'],"[' 11202473 (Analyzed', ' 11182928)']","[' 23000    (Average', ' 486.21 Last', ' 73460)']",[' 1670.5  '],"[' 583      (Average Length', ' 362.69 Splits', ' 0)']","[' 11182928 (Deleted', ' 11003665)']","[' 17       (Ratio', '   0.00%)']","[' 1819     (Ratio', '   0.02%)']","[' 11182928 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11182928 (Average', '  1.52 Max', ' 2338 Sum', ' 16951232)']","[' 11182377 (Average', '  1.50 Max', ' 2300 Sum', ' 16756065 Ratio', '  98.85%)']","[' 551      (Average', ' 354.21 Max', ' 526 Sum', ' 195167 Ratio', '   1.15%)']", ,[' 81793   '],[' 3012    '],[' 75803   '],[' 25513   '],"[' 67565    (Atom=Atom', ' 19765 Body=Body', ' 12051 Other', ' 35749)']",[' Yes'],"[' 4311     (Eliminated', '    0 Frozen', ' 4311)']","[' 319      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.59615'],[' 0'], ,[' 182.357'],[' 0'],[' 3.9635'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.71335e+07'],[' 2.08595e+07'],[' 0'],[' 9.97317e+09'],[' 0'],[' 0'],[' 873 '],[' 1395 '],[' 1534 '],[' 2073 '],[' 2569 '],[' 3053 '],[' 3390 '],[' 3677 '],[' 3 '],[' 5 ']
Solving...,TA68, , , , ,[' 1421'],[' 719'],"[' 149.591s (Solving', ' 146.25s 1st Model', ' 2.04s Unsat', ' 59.10s)']",[' 147.750s'], ,[' 6311216 '],"[' 2903871  (Analyzed', ' 2857416)']","[' 6450     (Average', ' 443.01 Last', ' 52037)']",[' 1897.0  '],"[' 719      (Average Length', ' 432.15 Splits', ' 0)']","[' 2857416  (Deleted', ' 2793855)']","[' 45       (Ratio', '   0.00%)']","[' 973      (Ratio', '   0.03%)']","[' 2857416  (Average Length', '   10.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2857416  (Average', '  1.87 Max', ' 2636 Sum', ' 5336240)']","[' 2856995  (Average', '  1.81 Max', ' 2492 Sum', ' 5163314 Ratio', '  96.76%)']","[' 421      (Average', ' 410.75 Max', ' 608 Sum', ' 172926 Ratio', '   3.24%)']", ,[' 82217   '],[' 2981    '],[' 76203   '],[' 25806   '],"[' 67493    (Atom=Atom', ' 19777 Body=Body', ' 11958 Other', ' 35758)']",[' Yes'],"[' 4417     (Eliminated', '    0 Frozen', ' 4417)']","[' 47       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.656511'],[' 0'], ,[' 109.4'],[' 0'],[' 3.0833'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.57495e+07'],[' 8.68187e+06'],[' 0'],[' 6.72443e+09'],[' 0'],[' 0'],[' 531 '],[' 1060 '],[' 1445 '],[' 1750 '],[' 2147 '],[' 2568 '],[' 2973 '],[' 3302 '],[' 1 '],[' 7 ']
Solving...,TA69, , , , ,[' 1309'],[' 663'],"[' 272.534s (Solving', ' 269.77s 1st Model', ' 1.34s Unsat', ' 38.14s)']",[' 271.734s'], ,[' 19106728'],"[' 11660739 (Analyzed', ' 11633132)']","[' 23454    (Average', ' 496.00 Last', ' 3636)']",[' 1746.8  '],"[' 663      (Average Length', ' 395.89 Splits', ' 0)']","[' 11633132 (Deleted', ' 11471755)']","[' 26       (Ratio', '   0.00%)']","[' 1932     (Ratio', '   0.02%)']","[' 11633132 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11633132 (Average', '  1.55 Max', ' 2783 Sum', ' 18049338)']","[' 11632688 (Average', '  1.54 Max', ' 2435 Sum', ' 17873389 Ratio', '  99.03%)']","[' 444      (Average', ' 396.28 Max', ' 599 Sum', ' 175949 Ratio', '   0.97%)']", ,[' 82367   '],[' 3058    '],[' 76429   '],[' 25846   '],"[' 68592    (Atom=Atom', ' 20029 Body=Body', ' 12189 Other', ' 36374)']",[' Yes'],"[' 4424     (Eliminated', '    0 Frozen', ' 4424)']","[' 240      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.547361'],[' 0'], ,[' 185.668'],[' 0'],[' 4.16422'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.06661e+07'],[' 2.31619e+07'],[' 0'],[' 1.19924e+10'],[' 0'],[' 0'],[' 697 '],[' 1364 '],[' 1649 '],[' 2123 '],[' 2366 '],[' 2868 '],[' 3307 '],[' 3694 '],[' 3 '],[' 5 ']
Solving...,TA70, , , , ,[' 991'],[' 504'],"[' 273.067s (Solving', ' 270.98s 1st Model', ' 1.11s Unsat', ' 40.76s)']",[' 272.250s'], ,[' 20000767'],"[' 12678515 (Analyzed', ' 12645375)']","[' 27545    (Average', ' 459.08 Last', ' 26593)']",[' 1634.8  '],"[' 504      (Average Length', ' 324.13 Splits', ' 0)']","[' 12645375 (Deleted', ' 12475325)']","[' 28       (Ratio', '   0.00%)']","[' 1765     (Ratio', '   0.01%)']","[' 12645375 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12645375 (Average', '  1.51 Max', ' 2719 Sum', ' 19125708)']","[' 12644859 (Average', '  1.50 Max', ' 2399 Sum', ' 18929209 Ratio', '  98.97%)']","[' 516      (Average', ' 380.81 Max', ' 502 Sum', ' 196499 Ratio', '   1.03%)']", ,[' 82548   '],[' 3124    '],[' 76400   '],[' 25994   '],"[' 68970    (Atom=Atom', ' 20131 Body=Body', ' 12385 Other', ' 36454)']",[' Yes'],"[' 4350     (Eliminated', '    0 Frozen', ' 4350)']","[' 282      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.396901'],[' 0'], ,[' 188.824'],[' 0'],[' 3.17329'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.86062e+07'],[' 1.84894e+07'],[' 0'],[' 1.2382e+10'],[' 0'],[' 0'],[' 581 '],[' 980 '],[' 1562 '],[' 2191 '],[' 2587 '],[' 3057 '],[' 3622 '],[' 3779 '],[' 3 '],[' 5 ']
