Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , ,[' 1'],[' 443+'],[' 231'],"[' 295.142s (Solving', ' 293.86s 1st Model', ' 0.40s Unsat', ' 25.45s)']",[' 292.734s'], ,[' 15820703'],"[' 11107844 (Analyzed', ' 11103052)']","[' 23762    (Average', ' 467.26 Last', ' 3681)']",[' 942.7   '],"[' 231      (Average Length', ' 164.73 Splits', ' 0)']","[' 11103052 (Deleted', ' 10918057)']","[' 12       (Ratio', '   0.00%)']","[' 1974     (Ratio', '   0.02%)']","[' 11103052 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11103052 (Average', '  1.39 Max', ' 1649 Sum', ' 15388474)']","[' 11102741 (Average', '  1.38 Max', ' 1649 Sum', ' 15330897 Ratio', '  99.63%)']","[' 311      (Average', ' 185.14 Max', ' 279 Sum', '  57577 Ratio', '   0.37%)']", ,[' 60057   '],[' 2105    '],[' 55627   '],[' 18091   '],"[' 47807    (Atom=Atom', ' 14101 Body=Body', ' 8618 Other', ' 25088)']",[' Yes'],"[' 2908     (Eliminated', '    0 Frozen', ' 2908)']","[' 209      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.180094'],[' 0'], ,[' 195.564'],[' 0'],[' 3.71978'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.30841e+07'],[' 1.7879e+07'],[' 0'],[' 9.22209e+09'],[' 0'],[' 0'],[' 609 '],[' 1136 '],[' 1362 '],[' 1755 '],[' 2067 '],[' 2480 '],[' 2730 '],[' 3196 '],[' 3657 '],[' 4 '],[' 5 ']
Solving...,TA52, , , ,[' 1'],[' 505+'],[' 262'],"[' 403.106s (Solving', ' 401.68s 1st Model', ' 0.54s Unsat', ' 0.21s)']",[' 398.297s'], ,[' 21970561'],"[' 15875577 (Analyzed', ' 15869775)']","[' 33464    (Average', ' 474.23 Last', ' 60176)']",[' 971.7   '],"[' 262      (Average Length', ' 178.69 Splits', ' 0)']","[' 15869775 (Deleted', ' 15650690)']","[' 7        (Ratio', '   0.00%)']","[' 2500     (Ratio', '   0.02%)']","[' 15869775 (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15869775 (Average', '  1.34 Max', ' 1593 Sum', ' 21336794)']","[' 15869390 (Average', '  1.34 Max', ' 1442 Sum', ' 21251523 Ratio', '  99.60%)']","[' 385      (Average', ' 221.48 Max', ' 286 Sum', '  85271 Ratio', '   0.40%)']", ,[' 60190   '],[' 2138    '],[' 55831   '],[' 18148   '],"[' 48414    (Atom=Atom', ' 14264 Body=Body', ' 8716 Other', ' 25434)']",[' Yes'],"[' 2977     (Eliminated', '    0 Frozen', ' 2977)']","[' 397      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.211028'],[' 0'], ,[' 268.976'],[' 0'],[' 5.91052'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.6398e+07'],[' 2.06145e+07'],[' 0'],[' 1.27242e+10'],[' 0'],[' 0'],[' 520 '],[' 1268 '],[' 1764 '],[' 1844 '],[' 2122 '],[' 2638 '],[' 2921 '],[' 3016 '],[' 3366 '],[' 6 '],[' 3 ']
Solving...,TA53, , , , ,[' 499'],[' 259'],"[' 139.600s (Solving', ' 138.18s 1st Model', ' 0.52s Unsat', ' 2.18s)']",[' 136.250s'], ,[' 8766454 '],"[' 6113956  (Analyzed', ' 6089284)']","[' 13405    (Average', ' 454.25 Last', ' 1460)']",[' 913.6   '],"[' 259      (Average Length', ' 185.50 Splits', ' 0)']","[' 6089284  (Deleted', ' 5991358)']","[' 20       (Ratio', '   0.00%)']","[' 1072     (Ratio', '   0.02%)']","[' 6089284  (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6089284  (Average', '  1.39 Max', ' 1469 Sum', ' 8483828)']","[' 6088875  (Average', '  1.38 Max', ' 1391 Sum', ' 8400390 Ratio', '  99.02%)']","[' 409      (Average', ' 204.00 Max', ' 309 Sum', '  83438 Ratio', '   0.98%)']", ,[' 59209   '],[' 1991    '],[' 54945   '],[' 17530   '],"[' 46153    (Atom=Atom', ' 13680 Body=Body', ' 8277 Other', ' 24196)']",[' Yes'],"[' 2822     (Eliminated', '    0 Frozen', ' 2822)']","[' 157      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.217702'],[' 0'], ,[' 79.3503'],[' 0'],[' 1.4074'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.25322e+07'],[' 8.42947e+06'],[' 0'],[' 3.53391e+09'],[' 0'],[' 0'],[' 596 '],[' 1044 '],[' 1320 '],[' 1660 '],[' 1885 '],[' 2222 '],[' 2706 '],[' 3034 '],[' 3410 '],[' 2 '],[' 7 ']
Solving...,TA54, , , , ,[' 565'],[' 292'],"[' 142.047s (Solving', ' 139.94s 1st Model', ' 0.74s Unsat', ' 1.20s)']",[' 138.078s'], ,[' 8801560 '],"[' 5182030  (Analyzed', ' 5164289)']","[' 11507    (Average', ' 448.80 Last', ' 24932)']",[' 1078.7  '],"[' 292      (Average Length', ' 194.39 Splits', ' 0)']","[' 5164289  (Deleted', ' 5085287)']","[' 34       (Ratio', '   0.00%)']","[' 1237     (Ratio', '   0.02%)']","[' 5164289  (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5164289  (Average', '  1.63 Max', ' 1579 Sum', ' 8441080)']","[' 5163912  (Average', '  1.62 Max', ' 1579 Sum', ' 8366577 Ratio', '  99.12%)']","[' 377      (Average', ' 197.62 Max', ' 308 Sum', '  74503 Ratio', '   0.88%)']", ,[' 59834   '],[' 2042    '],[' 55469   '],[' 17929   '],"[' 47107    (Atom=Atom', ' 13917 Body=Body', ' 8430 Other', ' 24760)']",[' Yes'],"[' 2908     (Eliminated', '    0 Frozen', ' 2908)']","[' 129      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.346232'],[' 0'], ,[' 85.4664'],[' 0'],[' 2.13277'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.1493e+07'],[' 9.5178e+06'],[' 0'],[' 3.38449e+09'],[' 0'],[' 0'],[' 533 '],[' 1011 '],[' 1355 '],[' 1515 '],[' 1927 '],[' 2306 '],[' 2809 '],[' 3085 '],[' 3280 '],[' 2 '],[' 7 ']
Solving...,TA55, , , , ,[' 525'],[' 272'],"[' 143.512s (Solving', ' 141.81s 1st Model', ' 0.55s Unsat', ' 5.26s)']",[' 140.313s'], ,[' 8025729 '],"[' 5353873  (Analyzed', ' 5346142)']","[' 10922    (Average', ' 489.48 Last', ' 5275)']",[' 956.4   '],"[' 272      (Average Length', ' 193.55 Splits', ' 0)']","[' 5346142  (Deleted', ' 5272698)']","[' 40       (Ratio', '   0.00%)']","[' 1674     (Ratio', '   0.03%)']","[' 5346142  (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5346142  (Average', '  1.45 Max', ' 1545 Sum', ' 7739834)']","[' 5345738  (Average', '  1.43 Max', ' 1480 Sum', ' 7654219 Ratio', '  98.89%)']","[' 404      (Average', ' 211.92 Max', ' 326 Sum', '  85615 Ratio', '   1.11%)']", ,[' 59812   '],[' 2049    '],[' 55422   '],[' 17924   '],"[' 47061    (Atom=Atom', ' 13925 Body=Body', ' 8451 Other', ' 24685)']",[' Yes'],"[' 2896     (Eliminated', '    0 Frozen', ' 2896)']","[' 219      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.25699'],[' 0'], ,[' 90.0378'],[' 0'],[' 1.67'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.04247e+07'],[' 8.15506e+06'],[' 0'],[' 3.85954e+09'],[' 0'],[' 0'],[' 513 '],[' 961 '],[' 1243 '],[' 1871 '],[' 2145 '],[' 2392 '],[' 2838 '],[' 3174 '],[' 3402 '],[' 2 '],[' 7 ']
Solving...,TA56, , , ,[' 1'],[' 335+'],[' 177'],"[' 352.681s (Solving', ' 351.60s 1st Model', ' 0.35s Unsat', ' 83.60s)']",[' 349.875s'], ,[' 19505383'],"[' 14963785 (Analyzed', ' 14956096)']","[' 32155    (Average', ' 465.13 Last', ' 32710)']",[' 951.0   '],"[' 177      (Average Length', ' 144.55 Splits', ' 0)']","[' 14956096 (Deleted', ' 14729401)']","[' 18       (Ratio', '   0.00%)']","[' 1621     (Ratio', '   0.01%)']","[' 14956096 (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14956096 (Average', '  1.27 Max', ' 1390 Sum', ' 19039604)']","[' 14955677 (Average', '  1.27 Max', ' 1390 Sum', ' 18975532 Ratio', '  99.66%)']","[' 419      (Average', ' 152.92 Max', ' 222 Sum', '  64072 Ratio', '   0.34%)']", ,[' 58634   '],[' 1991    '],[' 54433   '],[' 17218   '],"[' 45917    (Atom=Atom', ' 13598 Body=Body', ' 8277 Other', ' 24042)']",[' Yes'],"[' 2746     (Eliminated', '    0 Frozen', ' 2746)']","[' 205      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.148381'],[' 0'], ,[' 226.531'],[' 0'],[' 5.4916'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.24085e+07'],[' 1.89448e+07'],[' 0'],[' 1.11959e+10'],[' 0'],[' 0'],[' 693 '],[' 1313 '],[' 1655 '],[' 2053 '],[' 2298 '],[' 2692 '],[' 2866 '],[' 3275 '],[' 3560 '],[' 4 '],[' 5 ']
Solving...,TA57, , , , ,[' 591'],[' 305'],"[' 391.667s (Solving', ' 390.28s 1st Model', ' 0.47s Unsat', ' 55.27s)']",[' 390.563s'], ,[' 25794819'],"[' 19167529 (Analyzed', ' 19156733)']","[' 39883    (Average', ' 480.32 Last', ' 100583)']",[' 941.3   '],"[' 305      (Average Length', ' 208.57 Splits', ' 0)']","[' 19156733 (Deleted', ' 18885112)']","[' 37       (Ratio', '   0.00%)']","[' 1876     (Ratio', '   0.01%)']","[' 19156733 (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19156733 (Average', '  1.31 Max', ' 1507 Sum', ' 25179963)']","[' 19156387 (Average', '  1.31 Max', ' 1356 Sum', ' 25098081 Ratio', '  99.67%)']","[' 346      (Average', ' 236.65 Max', ' 333 Sum', '  81882 Ratio', '   0.33%)']", ,[' 59319   '],[' 2006    '],[' 55094   '],[' 17619   '],"[' 46541    (Atom=Atom', ' 13786 Body=Body', ' 8322 Other', ' 24433)']",[' Yes'],"[' 2884     (Eliminated', '    0 Frozen', ' 2884)']","[' 281      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.216417'],[' 0'], ,[' 245.125'],[' 0'],[' 5.31568'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.73599e+07'],[' 2.38118e+07'],[' 0'],[' 1.31505e+10'],[' 0'],[' 0'],[' 603 '],[' 1030 '],[' 1387 '],[' 1816 '],[' 2329 '],[' 2815 '],[' 2945 '],[' 3069 '],[' 3471 '],[' 5 '],[' 4 ']
Solving...,TA58, , , , ,[' 539'],[' 279'],"[' 269.266s (Solving', ' 267.93s 1st Model', ' 0.53s Unsat', ' 65.07s)']",[' 268.859s'], ,[' 20197164'],"[' 13734777 (Analyzed', ' 13721660)']","[' 27267    (Average', ' 503.23 Last', ' 198097)']",[' 1046.8  '],"[' 279      (Average Length', ' 194.04 Splits', ' 0)']","[' 13721660 (Deleted', ' 13541565)']","[' 29       (Ratio', '   0.00%)']","[' 2265     (Ratio', '   0.02%)']","[' 13721660 (Average Length', '   13.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13721660 (Average', '  1.43 Max', ' 1723 Sum', ' 19623264)']","[' 13721325 (Average', '  1.43 Max', ' 1584 Sum', ' 19557692 Ratio', '  99.67%)']","[' 335      (Average', ' 195.74 Max', ' 287 Sum', '  65572 Ratio', '   0.33%)']", ,[' 59826   '],[' 2059    '],[' 55453   '],[' 17961   '],"[' 47271    (Atom=Atom', ' 13972 Body=Body', ' 8481 Other', ' 24818)']",[' Yes'],"[' 2915     (Eliminated', '    0 Frozen', ' 2915)']","[' 284      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.218194'],[' 0'], ,[' 167.444'],[' 0'],[' 4.16209'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.20241e+07'],[' 2.13202e+07'],[' 0'],[' 9.05157e+09'],[' 0'],[' 0'],[' 546 '],[' 1187 '],[' 1413 '],[' 1749 '],[' 2093 '],[' 2439 '],[' 2881 '],[' 3196 '],[' 3472 '],[' 3 '],[' 6 ']
Solving...,TA59, , , , ,[' 499'],[' 259'],"[' 149.503s (Solving', ' 148.31s 1st Model', ' 0.39s Unsat', ' 78.81s)']",[' 149.375s'], ,[' 10431512'],"[' 7567068  (Analyzed', ' 7560143)']","[' 15232    (Average', ' 496.33 Last', ' 17492)']",[' 942.5   '],"[' 259      (Average Length', ' 191.08 Splits', ' 0)']","[' 7560143  (Deleted', ' 7438714)']","[' 31       (Ratio', '   0.00%)']","[' 1562     (Ratio', '   0.02%)']","[' 7560143  (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7560143  (Average', '  1.34 Max', ' 1523 Sum', ' 10130524)']","[' 7559753  (Average', '  1.33 Max', ' 1523 Sum', ' 10053879 Ratio', '  99.24%)']","[' 390      (Average', ' 196.53 Max', ' 318 Sum', '  76645 Ratio', '   0.76%)']", ,[' 59446   '],[' 2023    '],[' 55149   '],[' 17701   '],"[' 46649    (Atom=Atom', ' 13808 Body=Body', ' 8373 Other', ' 24468)']",[' Yes'],"[' 2856     (Eliminated', '    0 Frozen', ' 2856)']","[' 151      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.180558'],[' 0'], ,[' 88.9976'],[' 0'],[' 2.34353'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.77668e+07'],[' 1.07637e+07'],[' 0'],[' 4.78455e+09'],[' 0'],[' 0'],[' 493 '],[' 967 '],[' 1273 '],[' 1626 '],[' 1852 '],[' 2212 '],[' 2518 '],[' 2916 '],[' 3325 '],[' 1 '],[' 8 ']
Solving...,TA60, , , ,[' 1'],[' 711+'],[' 365'],"[' 313.425s (Solving', ' 311.89s 1st Model', ' 0.58s Unsat', ' 42.38s)']",[' 312.719s'], ,[' 21115502'],"[' 14521378 (Analyzed', ' 14508253)']","[' 29719    (Average', ' 488.18 Last', ' 17816)']",[' 1053.2  '],"[' 365      (Average Length', ' 240.47 Splits', ' 0)']","[' 14508253 (Deleted', ' 14301958)']","[' 5        (Ratio', '   0.00%)']","[' 2079     (Ratio', '   0.01%)']","[' 14508253 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14508253 (Average', '  1.41 Max', ' 1627 Sum', ' 20482805)']","[' 14507939 (Average', '  1.41 Max', ' 1601 Sum', ' 20398689 Ratio', '  99.59%)']","[' 314      (Average', ' 267.89 Max', ' 386 Sum', '  84116 Ratio', '   0.41%)']", ,[' 60234   '],[' 2077    '],[' 55869   '],[' 18214   '],"[' 47760    (Atom=Atom', ' 14130 Body=Body', ' 8535 Other', ' 25095)']",[' Yes'],"[' 3010     (Eliminated', '    0 Frozen', ' 3010)']","[' 254      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.253391'],[' 0'], ,[' 204.033'],[' 0'],[' 5.44135'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.71221e+07'],[' 2.42357e+07'],[' 0'],[' 1.08008e+10'],[' 0'],[' 0'],[' 555 '],[' 918 '],[' 1297 '],[' 1610 '],[' 2064 '],[' 2285 '],[' 2716 '],[' 3230 '],[' 3433 '],[' 4 '],[' 5 ']
