Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , ,[' 1'],[' 389+'],[' 205'],"[' 88.464s (Solving', ' 87.65s 1st Model', ' 0.22s Unsat', ' 25.64s)']",[' 88.000s'], ,[' 5069123 '],"[' 1345501  (Analyzed', ' 1307627)']","[' 3656     (Average', ' 357.67 Last', ' 10028)']",[' 822.5   '],"[' 205      (Average Length', ' 154.58 Splits', ' 0)']","[' 3635504  (Deleted', ' 3537673)']","[' 10       (Ratio', '   0.00%)']","[' 1275     (Ratio', '   0.04%)']","[' 1307627  (Average Length', '   14.0 Ratio', '  35.97%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2327877  (Average Length', '   11.2 Ratio', '  64.03%) ']","[' 1307627  (Average', '  1.18 Max', ' 944 Sum', ' 1548987)']","[' 1307574  (Average', '  1.18 Max', ' 944 Sum', ' 1548934 Ratio', ' 100.00%)']","[' 53       (Average', '  1.00 Max', '   1 Sum', '     53 Ratio', '   0.00%)']", ,[' 58180   '],[' 1883    '],[' 54210   '],[' 16753   '],"[' 44206    (Atom=Atom', ' 13205 Body=Body', ' 7956 Other', ' 23045)']",[' Yes'],"[' 2668     (Eliminated', '    0 Frozen', ' 2668)']","[' 13       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.105713'],[' 0'], ,[' 54.8373'],[' 0'],[' 1.14347'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.28506e+07'],[' 5.22768e+06'],[' 0'],[' 3.64413e+09'],[' 0'],[' 0'],[' 609 '],[' 896 '],[' 1371 '],[' 1546 '],[' 1827 '],[' 2236 '],[' 2412 '],[' 2726 '],[' 3164 '],[' 3626 '],[' 1 '],[' 9 ']
Solving...,TA52, , , ,[' 1'],[' 423+'],[' 222'],"[' 184.472s (Solving', ' 183.59s 1st Model', ' 0.31s Unsat', ' 1.63s)']",[' 184.203s'], ,[' 11705422'],"[' 3346524  (Analyzed', ' 3330857)']","[' 7891     (Average', ' 422.11 Last', ' 86723)']",[' 875.0   '],"[' 222      (Average Length', ' 160.93 Splits', ' 0)']","[' 8946435  (Deleted', ' 8765489)']","[' 6        (Ratio', '   0.00%)']","[' 1343     (Ratio', '   0.02%)']","[' 3330857  (Average Length', '   15.2 Ratio', '  37.23%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5615578  (Average Length', '   11.0 Ratio', '  62.77%) ']","[' 3330857  (Average', '  1.18 Max', ' 1089 Sum', ' 3921335)']","[' 3330826  (Average', '  1.18 Max', ' 1089 Sum', ' 3921121 Ratio', '  99.99%)']","[' 31       (Average', '  6.90 Max', '  39 Sum', '    214 Ratio', '   0.01%)']", ,[' 58308   '],[' 1904    '],[' 54265   '],[' 16860   '],"[' 44655    (Atom=Atom', ' 13315 Body=Body', ' 8022 Other', ' 23318)']",[' Yes'],"[' 2713     (Eliminated', '    0 Frozen', ' 2713)']","[' 114      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.12798'],[' 0'], ,[' 97.8045'],[' 0'],[' 2.15337'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.15297e+07'],[' 1.2616e+07'],[' 0'],[' 6.39545e+09'],[' 0'],[' 0'],[' 482 '],[' 1064 '],[' 1292 '],[' 1753 '],[' 1960 '],[' 2370 '],[' 2677 '],[' 3001 '],[' 3203 '],[' 3560 '],[' 3 '],[' 7 ']
Solving...,TA53, , , , ,[' 367'],[' 194'],"[' 5.517s (Solving', ' 4.70s 1st Model', ' 0.24s Unsat', ' 2.82s)']",[' 5.469s'], ,[' 606931  '],"[' 73861    (Analyzed', ' 72553)']","[' 328      (Average', ' 221.20 Last', ' 1508)']",[' 792.0   '],"[' 194      (Average Length', ' 143.87 Splits', ' 0)']","[' 188312   (Deleted', ' 139129)']","[' 24       (Ratio', '   0.01%)']","[' 732      (Ratio', '   0.39%)']","[' 72553    (Average Length', '   12.8 Ratio', '  38.53%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 115759   (Average Length', '    9.1 Ratio', '  61.47%) ']","[' 72553    (Average', '  1.28 Max', ' 1013 Sum', '  92744)']","[' 72484    (Average', '  1.28 Max', ' 1013 Sum', '  92675 Ratio', '  99.93%)']","[' 69       (Average', '  1.00 Max', '   1 Sum', '     69 Ratio', '   0.07%)']", ,[' 57354   '],[' 1763    '],[' 53388   '],[' 16227   '],"[' 42405    (Atom=Atom', ' 12723 Body=Body', ' 7599 Other', ' 22083)']",[' Yes'],"[' 2545     (Eliminated', '    0 Frozen', ' 2545)']","[' 24       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.113394'],[' 0'], ,[' 1.455'],[' 0'],[' 0.0609108'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.30964e+06'],[' 793311'],[' 0'],[' 8.61009e+07'],[' 0'],[' 0'],[' 520 '],[' 841 '],[' 1222 '],[' 1409 '],[' 1646 '],[' 2014 '],[' 2366 '],[' 2742 '],[' 2891 '],[' 3205 '],[' 0 '],[' 10 ']
Solving...,TA54, , , , ,[' 405'],[' 213'],"[' 183.003s (Solving', ' 182.14s 1st Model', ' 0.24s Unsat', ' 0.44s)']",[' 182.063s'], ,[' 12353645'],"[' 3480630  (Analyzed', ' 3471748)']","[' 8127     (Average', ' 427.19 Last', ' 4257)']",[' 864.7   '],"[' 213      (Average Length', ' 148.13 Splits', ' 0)']","[' 9374624  (Deleted', ' 9231690)']","[' 6        (Ratio', '   0.00%)']","[' 1046     (Ratio', '   0.01%)']","[' 3471748  (Average Length', '   16.3 Ratio', '  37.03%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5902876  (Average Length', '   11.4 Ratio', '  62.97%) ']","[' 3471748  (Average', '  1.19 Max', ' 1204 Sum', ' 4141881)']","[' 3471724  (Average', '  1.19 Max', ' 1204 Sum', ' 4141857 Ratio', ' 100.00%)']","[' 24       (Average', '  1.00 Max', '   1 Sum', '     24 Ratio', '   0.00%)']", ,[' 57813   '],[' 1833    '],[' 53853   '],[' 16516   '],"[' 43590    (Atom=Atom', ' 13022 Body=Body', ' 7809 Other', ' 22759)']",[' Yes'],"[' 2634     (Eliminated', '    0 Frozen', ' 2634)']","[' 158      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.121899'],[' 0'], ,[' 94.4061'],[' 0'],[' 2.17967'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.27178e+07'],[' 1.27484e+07'],[' 0'],[' 6.03722e+09'],[' 0'],[' 0'],[' 473 '],[' 999 '],[' 1231 '],[' 1521 '],[' 1898 '],[' 2160 '],[' 2409 '],[' 2915 '],[' 3191 '],[' 3386 '],[' 3 '],[' 7 ']
Solving...,TA55, , , , ,[' 533'],[' 277'],"[' 131.218s (Solving', ' 130.20s 1st Model', ' 0.32s Unsat', ' 7.61s)']",[' 130.828s'], ,[' 9285213 '],"[' 2595285  (Analyzed', ' 2591169)']","[' 6093     (Average', ' 425.27 Last', ' 9955)']",[' 928.6   '],"[' 277      (Average Length', ' 183.91 Splits', ' 0)']","[' 6982697  (Deleted', ' 6840236)']","[' 21       (Ratio', '   0.00%)']","[' 1331     (Ratio', '   0.02%)']","[' 2591169  (Average Length', '   16.8 Ratio', '  37.11%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4391528  (Average Length', '   11.9 Ratio', '  62.89%) ']","[' 2591169  (Average', '  1.18 Max', ' 912 Sum', ' 3051219)']","[' 2591127  (Average', '  1.18 Max', ' 912 Sum', ' 3050787 Ratio', '  99.99%)']","[' 42       (Average', ' 10.29 Max', '  66 Sum', '    432 Ratio', '   0.01%)']", ,[' 57969   '],[' 1870    '],[' 54111   '],[' 16640   '],"[' 44247    (Atom=Atom', ' 13234 Body=Body', ' 7920 Other', ' 23093)']",[' Yes'],"[' 2729     (Eliminated', '    0 Frozen', ' 2729)']","[' 223      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.161905'],[' 0'], ,[' 67.0021'],[' 0'],[' 1.57454'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.40508e+07'],[' 9.40028e+06'],[' 0'],[' 4.39765e+09'],[' 0'],[' 0'],[' 427 '],[' 814 '],[' 1226 '],[' 1986 '],[' 2094 '],[' 2261 '],[' 2616 '],[' 2881 '],[' 3150 '],[' 3431 '],[' 2 '],[' 8 ']
Solving...,TA56, , , , ,[' 423'],[' 222'],"[' 55.168s (Solving', ' 54.17s 1st Model', ' 0.32s Unsat', ' 51.53s)']",[' 54.859s'], ,[' 4381264 '],"[' 981978   (Analyzed', ' 976526)']","[' 2267     (Average', ' 430.76 Last', ' 42908)']",[' 1026.4  '],"[' 222      (Average Length', ' 158.66 Splits', ' 0)']","[' 2959123  (Deleted', ' 2898578)']","[' 28       (Ratio', '   0.00%)']","[' 768      (Ratio', '   0.03%)']","[' 976526   (Average Length', '   14.1 Ratio', '  33.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1982597  (Average Length', '   10.4 Ratio', '  67.00%) ']","[' 976526   (Average', '  1.23 Max', ' 1251 Sum', ' 1201977)']","[' 976474   (Average', '  1.23 Max', ' 1251 Sum', ' 1201925 Ratio', ' 100.00%)']","[' 52       (Average', '  1.00 Max', '   1 Sum', '     52 Ratio', '   0.00%)']", ,[' 57184   '],[' 1824    '],[' 53442   '],[' 16181   '],"[' 43351    (Atom=Atom', ' 12986 Body=Body', ' 7779 Other', ' 22586)']",[' Yes'],"[' 2631     (Eliminated', '    0 Frozen', ' 2631)']","[' 54       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.155354'],[' 0'], ,[' 20.8936'],[' 0'],[' 0.630955'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.17968e+07'],[' 5.55127e+06'],[' 0'],[' 1.25842e+09'],[' 0'],[' 0'],[' 641 '],[' 1219 '],[' 1498 '],[' 1708 '],[' 2046 '],[' 2346 '],[' 2682 '],[' 2864 '],[' 3164 '],[' 3370 '],[' 0 '],[' 10 ']
Solving...,TA57, , , , ,[' 463'],[' 242'],"[' 10.008s (Solving', ' 9.06s 1st Model', ' 0.30s Unsat', ' 6.54s)']",[' 9.797s'], ,[' 752961  '],"[' 83398    (Analyzed', ' 77592)']","[' 344      (Average', ' 225.56 Last', ' 138)']",[' 923.2   '],"[' 242      (Average Length', ' 173.93 Splits', ' 0)']","[' 229057   (Deleted', ' 195909)']","[' 24       (Ratio', '   0.01%)']","[' 521      (Ratio', '   0.23%)']","[' 77592    (Average Length', '    9.9 Ratio', '  33.87%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 151465   (Average Length', '    8.8 Ratio', '  66.13%) ']","[' 77592    (Average', '  1.32 Max', ' 1217 Sum', ' 102387)']","[' 77532    (Average', '  1.32 Max', ' 1217 Sum', ' 102327 Ratio', '  99.94%)']","[' 60       (Average', '  1.00 Max', '   1 Sum', '     60 Ratio', '   0.06%)']", ,[' 57672   '],[' 1810    '],[' 53751   '],[' 16418   '],"[' 43228    (Atom=Atom', ' 12946 Body=Body', ' 7734 Other', ' 22548)']",[' Yes'],"[' 2639     (Eliminated', '    0 Frozen', ' 2639)']","[' 8        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.142943'],[' 0'], ,[' 4.29439'],[' 0'],[' 0.128097'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.6504e+06'],[' 1.00763e+06'],[' 0'],[' 2.52527e+08'],[' 0'],[' 0'],[' 591 '],[' 957 '],[' 1290 '],[' 1716 '],[' 2050 '],[' 2373 '],[' 2599 '],[' 2849 '],[' 3182 '],[' 3513 '],[' 0 '],[' 10 ']
Solving...,TA58, , , , ,[' 417'],[' 219'],"[' 73.075s (Solving', ' 72.18s 1st Model', ' 0.27s Unsat', ' 9.98s)']",[' 72.797s'], ,[' 6224142 '],"[' 1632880  (Analyzed', ' 1626217)']","[' 3961     (Average', ' 410.56 Last', ' 1262)']",[' 903.9   '],"[' 219      (Average Length', ' 159.37 Splits', ' 0)']","[' 4521743  (Deleted', ' 4407150)']","[' 14       (Ratio', '   0.00%)']","[' 1273     (Ratio', '   0.03%)']","[' 1626217  (Average Length', '   16.5 Ratio', '  35.96%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2895526  (Average Length', '   12.4 Ratio', '  64.04%) ']","[' 1626217  (Average', '  1.20 Max', ' 905 Sum', ' 1958328)']","[' 1626174  (Average', '  1.20 Max', ' 905 Sum', ' 1958285 Ratio', ' 100.00%)']","[' 43       (Average', '  1.00 Max', '   1 Sum', '     43 Ratio', '   0.00%)']", ,[' 57532   '],[' 1827    '],[' 53655   '],[' 16375   '],"[' 43457    (Atom=Atom', ' 12998 Body=Body', ' 7789 Other', ' 22670)']",[' Yes'],"[' 2635     (Eliminated', '    0 Frozen', ' 2635)']","[' 112      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.134022'],[' 0'], ,[' 33.0065'],[' 0'],[' 1.02979'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.58292e+07'],[' 6.27497e+06'],[' 0'],[' 2.0308e+09'],[' 0'],[' 0'],[' 532 '],[' 1116 '],[' 1268 '],[' 1688 '],[' 1872 '],[' 2168 '],[' 2753 '],[' 3088 '],[' 3304 '],[' 3679 '],[' 1 '],[' 9 ']
Solving...,TA59, , , , ,[' 381'],[' 201'],"[' 8.978s (Solving', ' 8.10s 1st Model', ' 0.20s Unsat', ' 6.15s)']",[' 8.969s'], ,[' 691473  '],"[' 125499   (Analyzed', ' 107167)']","[' 498      (Average', ' 215.19 Last', ' 697)']",[' 818.5   '],"[' 201      (Average Length', ' 152.46 Splits', ' 0)']","[' 265133   (Deleted', ' 227294)']","[' 28       (Ratio', '   0.01%)']","[' 688      (Ratio', '   0.26%)']","[' 107167   (Average Length', '   13.2 Ratio', '  40.42%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 157966   (Average Length', '    9.0 Ratio', '  59.58%) ']","[' 107167   (Average', '  1.21 Max', ' 992 Sum', ' 129273)']","[' 107102   (Average', '  1.21 Max', ' 992 Sum', ' 129208 Ratio', '  99.95%)']","[' 65       (Average', '  1.00 Max', '   1 Sum', '     65 Ratio', '   0.05%)']", ,[' 57235   '],[' 1780    '],[' 53397   '],[' 16143   '],"[' 42670    (Atom=Atom', ' 12796 Body=Body', ' 7649 Other', ' 22225)']",[' Yes'],"[' 2567     (Eliminated', '    0 Frozen', ' 2567)']","[' 8        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.107382'],[' 0'], ,[' 3.7823'],[' 0'],[' 0.0897337'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.61454e+06'],[' 899558'],[' 0'],[' 2.39107e+08'],[' 0'],[' 0'],[' 440 '],[' 862 '],[' 1197 '],[' 1452 '],[' 1803 '],[' 1957 '],[' 2238 '],[' 2541 '],[' 2912 '],[' 3381 '],[' 0 '],[' 10 ']
Solving...,TA60, , , ,[' 1'],[' 429+'],[' 225'],"[' 274.503s (Solving', ' 273.58s 1st Model', ' 0.28s Unsat', ' 32.48s)']",[' 273.672s'], ,[' 18498946'],"[' 4885126  (Analyzed', ' 4863761)']","[' 11946    (Average', ' 407.15 Last', ' 65667)']",[' 832.9   '],"[' 225      (Average Length', ' 161.17 Splits', ' 0)']","[' 13655339 (Deleted', ' 13405481)']","[' 19       (Ratio', '   0.00%)']","[' 2087     (Ratio', '   0.02%)']","[' 4863761  (Average Length', '   15.1 Ratio', '  35.62%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8791578  (Average Length', '   11.2 Ratio', '  64.38%) ']","[' 4863761  (Average', '  1.20 Max', ' 815 Sum', ' 5822153)']","[' 4863721  (Average', '  1.20 Max', ' 815 Sum', ' 5822113 Ratio', ' 100.00%)']","[' 40       (Average', '  1.00 Max', '   1 Sum', '     40 Ratio', '   0.00%)']", ,[' 58180   '],[' 1887    '],[' 54219   '],[' 16742   '],"[' 44315    (Atom=Atom', ' 13243 Body=Body', ' 7968 Other', ' 23104)']",[' Yes'],"[' 2700     (Eliminated', '    0 Frozen', ' 2700)']","[' 240      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.125514'],[' 0'], ,[' 147.577'],[' 0'],[' 3.46692'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.09278e+07'],[' 2.2063e+07'],[' 0'],[' 9.36369e+09'],[' 0'],[' 0'],[' 501 '],[' 843 '],[' 1209 '],[' 1473 '],[' 1951 '],[' 2231 '],[' 2638 '],[' 2912 '],[' 3212 '],[' 3617 '],[' 4 '],[' 6 ']
