Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , ,[' 7441+'],[' 3723'],"[' 621.430s (Solving', ' 545.30s 1st Model', ' 277.67s Unsat', ' 0.00s)']",[' 612.844s'], ,[' 129199628'],"[' 1102207  (Analyzed', ' 225526)']","[' 2805     (Average', ' 80.40 Last', ' 35006)']",[' 10127.6 '],"[' 3724     (Average Length', ' 1824.89 Splits', ' 0)']","[' 225526   (Deleted', ' 197572)']","[' 76       (Ratio', '   0.03%)']","[' 16462    (Ratio', '   7.30%)']","[' 225526   (Average Length', '   23.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 225526   (Average', ' 437.37 Max', ' 11505 Sum', ' 98638677)']","[' 224848   (Average', ' 431.67 Max', ' 11505 Sum', ' 97352511 Ratio', '  98.70%)']","[' 678      (Average', ' 1897.00 Max', ' 1897 Sum', ' 1286166 Ratio', '   1.30%)']", ,[' 162403  '],[' 14622   '],[' 162074  '],[' 84200   '],"[' 288640   (Atom=Atom', ' 80144 Body=Body', ' 50243 Other', ' 158253)']",[' Yes'],"[' 18145    (Eliminated', '    0 Frozen', ' 18145)']","[' 2790     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.6325'],[' 0'], ,[' 152.8'],[' 0'],[' 17.7746'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.16697e+08'],[' 1.9298e+08'],[' 0'],[' 1.62303e+09'],[' 0'],[' 0'],[' 1885 '],[' 5325 '],[' 2 '],[' 0 ']
Solving...,TA62, , , , ,[' 5565+'],[' 2785'],"[' 616.944s (Solving', ' 560.99s 1st Model', ' 308.80s Unsat', ' 0.00s)']",[' 610.234s'], ,[' 124149770'],"[' 2526751  (Analyzed', ' 236000)']","[' 2454     (Average', ' 96.17 Last', ' 52997)']",[' 9746.5  '],"[' 2786     (Average Length', ' 1374.28 Splits', ' 0)']","[' 236000   (Deleted', ' 213480)']","[' 70       (Ratio', '   0.03%)']","[' 17512    (Ratio', '   7.42%)']","[' 236000   (Average Length', '   23.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 236000   (Average', ' 420.46 Max', ' 11264 Sum', ' 99229324)']","[' 235421   (Average', ' 416.80 Max', ' 11264 Sum', ' 98363719 Ratio', '  99.13%)']","[' 579      (Average', ' 1495.00 Max', ' 1495 Sum', ' 865605 Ratio', '   0.87%)']", ,[' 162266  '],[' 14746   '],[' 161027  '],[' 83872   '],"[' 287246   (Atom=Atom', ' 79425 Body=Body', ' 50460 Other', ' 157361)']",[' Yes'],"[' 17426    (Eliminated', '    0 Frozen', ' 17426)']","[' 2894     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.3313'],[' 0'], ,[' 213.404'],[' 0'],[' 17.2876'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.23193e+08'],[' 1.98151e+08'],[' 0'],[' 3.3972e+09'],[' 0'],[' 0'],[' 1921 '],[' 6815 '],[' 2 '],[' 0 ']
Solving...,TA63, , , ,[' 1'],[' 7741+'],[' 3873'],"[' 611.439s (Solving', ' 567.66s 1st Model', ' 431.60s Unsat', ' 0.00s)']",[' 606.031s'], ,[' 317783362'],"[' 1157626  (Analyzed', ' 716577)']","[' 4523     (Average', ' 158.43 Last', ' 66862)']",[' 9807.4  '],"[' 3873     (Average Length', ' 1883.81 Splits', ' 0)']","[' 716577   (Deleted', ' 667770)']","[' 156      (Ratio', '   0.02%)']","[' 43626    (Ratio', '   6.09%)']","[' 716577   (Average Length', '   23.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 716577   (Average', ' 401.25 Max', ' 10833 Sum', ' 287525715)']","[' 716004   (Average', ' 399.82 Max', ' 10833 Sum', ' 286503483 Ratio', '  99.64%)']","[' 573      (Average', ' 1784.00 Max', ' 1784 Sum', ' 1022232 Ratio', '   0.36%)']", ,[' 162256  '],[' 14579   '],[' 162038  '],[' 84128   '],"[' 288345   (Atom=Atom', ' 80097 Body=Body', ' 50045 Other', ' 158203)']",[' Yes'],"[' 18210    (Eliminated', '    0 Frozen', ' 18210)']","[' 4759     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.04956'],[' 0'], ,[' 161.306'],[' 0'],[' 21.2297'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.94471e+08'],[' 6.27832e+08'],[' 0'],[' 2.81297e+09'],[' 0'],[' 0'],[' 1775 '],[' 3424 '],[' 2 '],[' 0 ']
Solving...,TA64, , , ,[' 1'],[' 7099+'],[' 3552'],"[' 610.210s (Solving', ' 569.12s 1st Model', ' 402.12s Unsat', ' 0.00s)']",[' 605.813s'], ,[' 268973557'],"[' 2363404  (Analyzed', ' 599018)']","[' 4313     (Average', ' 138.89 Last', ' 81858)']",[' 10222.0 '],"[' 3552     (Average Length', ' 1737.35 Splits', ' 0)']","[' 599018   (Deleted', ' 555209)']","[' 155      (Ratio', '   0.03%)']","[' 36727    (Ratio', '   6.13%)']","[' 599018   (Average Length', '   22.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 599018   (Average', ' 397.10 Max', ' 10858 Sum', ' 237872709)']","[' 598419   (Average', ' 395.43 Max', ' 10858 Sum', ' 236872379 Ratio', '  99.58%)']","[' 599      (Average', ' 1670.00 Max', ' 1670 Sum', ' 1000330 Ratio', '   0.42%)']", ,[' 162730  '],[' 14696   '],[' 162224  '],[' 84382   '],"[' 289022   (Atom=Atom', ' 80133 Body=Body', ' 50404 Other', ' 158485)']",[' Yes'],"[' 18063    (Eliminated', '    0 Frozen', ' 18063)']","[' 4625     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.24188'],[' 0'], ,[' 186.974'],[' 0'],[' 19.6906'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.46826e+08'],[' 4.90701e+08'],[' 0'],[' 3.99918e+09'],[' 0'],[' 0'],[' 1816 '],[' 3342 '],[' 2 '],[' 0 ']
Solving...,TA65, , , ,[' 1'],[' 7925+'],[' 3965'],"[' 609.817s (Solving', ' 570.54s 1st Model', ' 360.38s Unsat', ' 0.00s)']",[' 606.047s'], ,[' 298501392'],"[' 3349740  (Analyzed', ' 597437)']","[' 4347     (Average', ' 137.44 Last', ' 82233)']",[' 10358.3 '],"[' 3965     (Average Length', ' 1939.50 Splits', ' 0)']","[' 597437   (Deleted', ' 548547)']","[' 148      (Ratio', '   0.02%)']","[' 40852    (Ratio', '   6.84%)']","[' 597437   (Average Length', '   23.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 597437   (Average', ' 440.25 Max', ' 10922 Sum', ' 263023033)']","[' 596844   (Average', ' 438.26 Max', ' 10922 Sum', ' 261830510 Ratio', '  99.55%)']","[' 593      (Average', ' 2011.00 Max', ' 2011 Sum', ' 1192523 Ratio', '   0.45%)']", ,[' 162541  '],[' 14610   '],[' 162385  '],[' 84332   '],"[' 288978   (Atom=Atom', ' 80265 Body=Body', ' 50122 Other', ' 158591)']",[' Yes'],"[' 18327    (Eliminated', '    0 Frozen', ' 18327)']","[' 4487     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.88295'],[' 0'], ,[' 192.257'],[' 0'],[' 19.628'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.00766e+08'],[' 5.40781e+08'],[' 0'],[' 5.39332e+09'],[' 0'],[' 0'],[' 1738 '],[' 3455 '],[' 2 '],[' 0 ']
Solving...,TA66, , , ,[' 1'],[' 7635+'],[' 3820'],"[' 611.392s (Solving', ' 568.48s 1st Model', ' 406.02s Unsat', ' 0.00s)']",[' 609.641s'], ,[' 302380379'],"[' 1204324  (Analyzed', ' 643051)']","[' 4239     (Average', ' 151.70 Last', ' 40668)']",[' 9989.1  '],"[' 3820     (Average Length', ' 1864.41 Splits', ' 0)']","[' 643051   (Deleted', ' 594065)']","[' 135      (Ratio', '   0.02%)']","[' 41880    (Ratio', '   6.51%)']","[' 643051   (Average Length', '   23.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 643051   (Average', ' 422.85 Max', ' 10715 Sum', ' 271912935)']","[' 642387   (Average', ' 420.89 Max', ' 10715 Sum', ' 270650671 Ratio', '  99.54%)']","[' 664      (Average', ' 1901.00 Max', ' 1901 Sum', ' 1262264 Ratio', '   0.46%)']", ,[' 162708  '],[' 14655   '],[' 162382  '],[' 84438   '],"[' 289183   (Atom=Atom', ' 80247 Body=Body', ' 50249 Other', ' 158687)']",[' Yes'],"[' 18205    (Eliminated', '    0 Frozen', ' 18205)']","[' 4633     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.69409'],[' 0'], ,[' 167.289'],[' 0'],[' 21.4147'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.29242e+08'],[' 5.67373e+08'],[' 0'],[' 2.79415e+09'],[' 0'],[' 0'],[' 1785 '],[' 3550 '],[' 2 '],[' 0 ']
Solving...,TA67, , , ,[' 1'],[' 7317+'],[' 3661'],"[' 610.484s (Solving', ' 568.18s 1st Model', ' 365.15s Unsat', ' 0.00s)']",[' 607.141s'], ,[' 283266944'],"[' 2365816  (Analyzed', ' 676505)']","[' 4491     (Average', ' 150.64 Last', ' 60169)']",[' 10254.7 '],"[' 3661     (Average Length', ' 1784.04 Splits', ' 0)']","[' 676505   (Deleted', ' 630493)']","[' 160      (Ratio', '   0.02%)']","[' 38720    (Ratio', '   5.72%)']","[' 676505   (Average Length', '   23.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 676505   (Average', ' 371.75 Max', ' 11041 Sum', ' 251492471)']","[' 675861   (Average', ' 370.04 Max', ' 11041 Sum', ' 250335847 Ratio', '  99.54%)']","[' 644      (Average', ' 1796.00 Max', ' 1796 Sum', ' 1156624 Ratio', '   0.46%)']", ,[' 162207  '],[' 14604   '],[' 161759  '],[' 84057   '],"[' 287861   (Atom=Atom', ' 79853 Body=Body', ' 50011 Other', ' 157997)']",[' Yes'],"[' 18017    (Eliminated', '    0 Frozen', ' 18017)']","[' 4875     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.57655'],[' 0'], ,[' 184.336'],[' 0'],[' 20.1782'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.87907e+08'],[' 5.26232e+08'],[' 0'],[' 4.09221e+09'],[' 0'],[' 0'],[' 1882 '],[' 3471 '],[' 2 '],[' 0 ']
Solving...,TA68, , , ,[' 1'],[' 7925+'],[' 3965'],"[' 610.101s (Solving', ' 569.11s 1st Model', ' 376.15s Unsat', ' 0.00s)']",[' 607.797s'], ,[' 312376622'],"[' 2376633  (Analyzed', ' 686538)']","[' 4648     (Average', ' 147.71 Last', ' 75200)']",[' 10527.9 '],"[' 3965     (Average Length', ' 1921.21 Splits', ' 0)']","[' 686538   (Deleted', ' 639059)']","[' 172      (Ratio', '   0.03%)']","[' 40129    (Ratio', '   5.85%)']","[' 686538   (Average Length', '   22.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 686538   (Average', ' 403.85 Max', ' 11012 Sum', ' 277256394)']","[' 685944   (Average', ' 402.38 Max', ' 11012 Sum', ' 276247782 Ratio', '  99.64%)']","[' 594      (Average', ' 1698.00 Max', ' 1698 Sum', ' 1008612 Ratio', '   0.36%)']", ,[' 162317  '],[' 14573   '],[' 162192  '],[' 84160   '],"[' 288675   (Atom=Atom', ' 80255 Body=Body', ' 50115 Other', ' 158305)']",[' Yes'],"[' 18286    (Eliminated', '    0 Frozen', ' 18286)']","[' 4896     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.45389'],[' 0'], ,[' 182.71'],[' 0'],[' 20.4446'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.59075e+08'],[' 5.93787e+08'],[' 0'],[' 4.2883e+09'],[' 0'],[' 0'],[' 1768 '],[' 3370 '],[' 2 '],[' 0 ']
Solving...,TA69, , , ,[' 1'],[' 7175+'],[' 3590'],"[' 608.633s (Solving', ' 574.74s 1st Model', ' 442.10s Unsat', ' 0.00s)']",[' 603.328s'], ,[' 355646722'],"[' 1589035  (Analyzed', ' 884937)']","[' 4858     (Average', ' 182.16 Last', ' 93327)']",[' 9873.0  '],"[' 3590     (Average Length', ' 1761.51 Splits', ' 0)']","[' 884937   (Deleted', ' 828608)']","[' 209      (Ratio', '   0.02%)']","[' 48835    (Ratio', '   5.52%)']","[' 884937   (Average Length', '   24.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 884937   (Average', ' 368.71 Max', ' 10869 Sum', ' 326287999)']","[' 884538   (Average', ' 367.99 Max', ' 10869 Sum', ' 325645210 Ratio', '  99.80%)']","[' 399      (Average', ' 1611.00 Max', ' 1611 Sum', ' 642789 Ratio', '   0.20%)']", ,[' 162634  '],[' 14678   '],[' 162155  '],[' 84337   '],"[' 288659   (Atom=Atom', ' 80001 Body=Body', ' 50231 Other', ' 158427)']",[' Yes'],"[' 18080    (Eliminated', '    0 Frozen', ' 18080)']","[' 3841     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.8516'],[' 0'], ,[' 173.188'],[' 0'],[' 21.5494'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.26487e+08'],[' 7.48152e+08'],[' 0'],[' 3.71308e+09'],[' 0'],[' 0'],[' 1947 '],[' 3648 '],[' 2 '],[' 0 ']
Solving...,TA70, , , ,[' 1'],[' 6997+'],[' 3501'],"[' 615.128s (Solving', ' 551.60s 1st Model', ' 300.83s Unsat', ' 0.00s)']",[' 608.031s'], ,[' 169937131'],"[' 1161802  (Analyzed', ' 252733)']","[' 2912     (Average', ' 86.79 Last', ' 35113)']",[' 10296.0 '],"[' 3501     (Average Length', ' 1713.36 Splits', ' 0)']","[' 252733   (Deleted', ' 219544)']","[' 101      (Ratio', '   0.04%)']","[' 22039    (Ratio', '   8.72%)']","[' 252733   (Average Length', '   25.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 252733   (Average', ' 554.71 Max', ' 11350 Sum', ' 140192546)']","[' 251954   (Average', ' 549.61 Max', ' 11074 Sum', ' 138904859 Ratio', '  99.08%)']","[' 779      (Average', ' 1653.00 Max', ' 1653 Sum', ' 1287687 Ratio', '   0.92%)']", ,[' 163062  '],[' 14756   '],[' 162491  '],[' 84572   '],"[' 289370   (Atom=Atom', ' 80122 Body=Body', ' 50439 Other', ' 158809)']",[' Yes'],"[' 18095    (Eliminated', '    0 Frozen', ' 18095)']","[' 3118     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.7105'],[' 0'], ,[' 157.025'],[' 0'],[' 19.5082'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.68187e+08'],[' 2.41406e+08'],[' 0'],[' 1.89033e+09'],[' 0'],[' 0'],[' 2060 '],[' 3862 '],[' 2 '],[' 0 ']
