Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , ,[' 1'],[' 8197+'],[' 4106'],"[' 615.834s (Solving', ' 561.39s 1st Model', ' 89.80s Unsat', ' 0.00s)']",[' 613.641s'], ,[' 224641463'],"[' 5544871  (Analyzed', ' 5126006)']","[' 11178    (Average', ' 458.58 Last', ' 7495)']",[' 9700.4  '],"[' 4106     (Average Length', ' 2062.38 Splits', ' 0)']","[' 5126006  (Deleted', ' 5023858)']","[' 520      (Ratio', '   0.01%)']","[' 33068    (Ratio', '   0.65%)']","[' 5126006  (Average Length', '   23.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5126006  (Average', ' 38.74 Max', ' 12651 Sum', ' 198561801)']","[' 5122734  (Average', ' 37.55 Max', ' 12651 Sum', ' 192497239 Ratio', '  96.95%)']","[' 3272     (Average', ' 1853.47 Max', ' 2906 Sum', ' 6064562 Ratio', '   3.05%)']", ,[' 349996  '],[' 19475   '],[' 321552  '],[' 147932  '],"[' 367557   (Atom=Atom', ' 101347 Body=Body', ' 70328 Other', ' 195882)']",[' Yes'],"[' 24354    (Eliminated', '    0 Frozen', ' 24354)']","[' 6554     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.0686'],[' 0'], ,[' 217.983'],[' 0'],[' 15.0291'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.79983e+08'],[' 3.33589e+08'],[' 0'],[' 1.01383e+10'],[' 0'],[' 0'],[' 1380 '],[' 2552 '],[' 3211 '],[' 4117 '],[' 4691 '],[' 5626 '],[' 6397 '],[' 7 '],[' 0 ']
Solving...,TA72, , , ,[' 1'],[' 8603+'],[' 4309'],"[' 615.406s (Solving', ' 562.43s 1st Model', ' 83.72s Unsat', ' 0.00s)']",[' 613.797s'], ,[' 201672553'],"[' 7331863  (Analyzed', ' 6964010)']","[' 14898    (Average', ' 467.45 Last', ' 3330)']",[' 10023.5 '],"[' 4309     (Average Length', ' 2188.08 Splits', ' 0)']","[' 6964010  (Deleted', ' 6858994)']","[' 653      (Ratio', '   0.01%)']","[' 23316    (Ratio', '   0.33%)']","[' 6964010  (Average Length', '   19.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6964010  (Average', ' 24.92 Max', ' 13180 Sum', ' 173539931)']","[' 6960686  (Average', ' 24.00 Max', ' 13180 Sum', ' 167148173 Ratio', '  96.32%)']","[' 3324     (Average', ' 1922.91 Max', ' 3220 Sum', ' 6391758 Ratio', '   3.68%)']", ,[' 350652  '],[' 19071   '],[' 321071  '],[' 148131  '],"[' 360862   (Atom=Atom', ' 99669 Body=Body', ' 68853 Other', ' 192340)']",[' Yes'],"[' 24108    (Eliminated', '    0 Frozen', ' 24108)']","[' 4309     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.90174'],[' 0'], ,[' 247.651'],[' 0'],[' 14.1847'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.14165e+08'],[' 2.69165e+08'],[' 0'],[' 1.32198e+10'],[' 0'],[' 0'],[' 1087 '],[' 2073 '],[' 2773 '],[' 3593 '],[' 4461 '],[' 5155 '],[' 5980 '],[' 7 '],[' 0 ']
Solving...,TA73, , , ,[' 1'],[' 7399+'],[' 3707'],"[' 613.095s (Solving', ' 566.21s 1st Model', ' 72.11s Unsat', ' 0.00s)']",[' 611.469s'], ,[' 201182733'],"[' 8699020  (Analyzed', ' 8211838)']","[' 17992    (Average', ' 456.42 Last', ' 8299)']",[' 10467.7 '],"[' 3707     (Average Length', ' 1936.17 Splits', ' 0)']","[' 8211838  (Deleted', ' 8098422)']","[' 491      (Ratio', '   0.01%)']","[' 20404    (Ratio', '   0.25%)']","[' 8211838  (Average Length', '   22.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8211838  (Average', ' 21.17 Max', ' 14109 Sum', ' 173884531)']","[' 8208667  (Average', ' 20.53 Max', ' 14109 Sum', ' 168585243 Ratio', '  96.95%)']","[' 3171     (Average', ' 1671.17 Max', ' 2772 Sum', ' 5299288 Ratio', '   3.05%)']", ,[' 352761  '],[' 19461   '],[' 322682  '],[' 149872  '],"[' 361063   (Atom=Atom', ' 99563 Body=Body', ' 69250 Other', ' 192250)']",[' Yes'],"[' 23803    (Eliminated', '    0 Frozen', ' 23803)']","[' 3074     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.66502'],[' 0'], ,[' 269.01'],[' 0'],[' 14.3886'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.98988e+08'],[' 2.55025e+08'],[' 0'],[' 1.54163e+10'],[' 0'],[' 0'],[' 1512 '],[' 2485 '],[' 2998 '],[' 3870 '],[' 4760 '],[' 5543 '],[' 6386 '],[' 7 '],[' 0 ']
Solving...,TA74, , , ,[' 1'],[' 7241+'],[' 3628'],"[' 531.264s (Solving', ' 490.07s 1st Model', ' 68.68s Unsat', ' 0.00s)']",[' 529.922s'], ,[' 187692590'],"[' 7177914  (Analyzed', ' 6864437)']","[' 15537    (Average', ' 441.81 Last', ' 12456)']",[' 8781.1  '],"[' 3627     (Average Length', ' 1921.43 Splits', ' 0)']","[' 6864437  (Deleted', ' 6746979)']","[' 574      (Ratio', '   0.01%)']","[' 26367    (Ratio', '   0.38%)']","[' 6864437  (Average Length', '   18.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6864437  (Average', ' 24.51 Max', ' 12941 Sum', ' 168267477)']","[' 6861097  (Average', ' 23.61 Max', ' 12941 Sum', ' 162100384 Ratio', '  96.33%)']","[' 3340     (Average', ' 1846.44 Max', ' 3004 Sum', ' 6167093 Ratio', '   3.67%)']", ,[' 349180  '],[' 19013   '],[' 319225  '],[' 146574  '],"[' 359760   (Atom=Atom', ' 99230 Body=Body', ' 68983 Other', ' 191547)']",[' Yes'],"[' 23706    (Eliminated', '    0 Frozen', ' 23706)']","[' 4825     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.62709'],[' 0'], ,[' 216.386'],[' 0'],[' 12.998'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.03411e+08'],[' 2.59972e+08'],[' 0'],[' 1.14915e+10'],[' 0'],[' 0'],[' 1200 '],[' 1999 '],[' 2835 '],[' 3837 '],[' 4564 '],[' 11626 '],[' 6021 '],[' 7 '],[' 0 ']
Solving...,TA75, , , ,[' 1'],[' 6811+'],[' 3413'],"[' 612.776s (Solving', ' 570.21s 1st Model', ' 62.47s Unsat', ' 0.00s)']",[' 611.016s'], ,[' 213256061'],"[' 8363688  (Analyzed', ' 8031908)']","[' 17102    (Average', ' 469.65 Last', ' 48568)']",[' 9792.4  '],"[' 3413     (Average Length', ' 1785.00 Splits', ' 0)']","[' 8031908  (Deleted', ' 7907775)']","[' 591      (Ratio', '   0.01%)']","[' 22746    (Ratio', '   0.28%)']","[' 8031908  (Average Length', '   23.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8031908  (Average', ' 23.74 Max', ' 13642 Sum', ' 190655393)']","[' 8028414  (Average', ' 23.05 Max', ' 13642 Sum', ' 185106628 Ratio', '  97.09%)']","[' 3494     (Average', ' 1588.08 Max', ' 2494 Sum', ' 5548765 Ratio', '   2.91%)']", ,[' 348678  '],[' 19231   '],[' 319354  '],[' 146401  '],"[' 362814   (Atom=Atom', ' 99940 Body=Body', ' 69743 Other', ' 193131)']",[' Yes'],"[' 23769    (Eliminated', '    0 Frozen', ' 23769)']","[' 4117     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.71313'],[' 0'], ,[' 273.873'],[' 0'],[' 14.4894'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.3432e+08'],[' 2.90194e+08'],[' 0'],[' 1.55708e+10'],[' 0'],[' 0'],[' 1330 '],[' 2588 '],[' 3120 '],[' 3713 '],[' 4795 '],[' 6038 '],[' 6404 '],[' 7 '],[' 0 ']
Solving...,TA76, , , ,[' 1'],[' 8053+'],[' 4034'],"[' 582.755s (Solving', ' 530.73s 1st Model', ' 72.15s Unsat', ' 0.00s)']",[' 581.172s'], ,[' 176293625'],"[' 8678078  (Analyzed', ' 8399261)']","[' 18190    (Average', ' 461.75 Last', ' 2072)']",[' 10527.9 '],"[' 4033     (Average Length', ' 2085.02 Splits', ' 0)']","[' 8399261  (Deleted', ' 8289184)']","[' 643      (Ratio', '   0.01%)']","[' 15723    (Ratio', '   0.19%)']","[' 8399261  (Average Length', '   19.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8399261  (Average', ' 17.42 Max', ' 14131 Sum', ' 146344352)']","[' 8396044  (Average', ' 16.85 Max', ' 14131 Sum', ' 141500784 Ratio', '  96.69%)']","[' 3217     (Average', ' 1505.62 Max', ' 3114 Sum', ' 4843568 Ratio', '   3.31%)']", ,[' 350157  '],[' 19024   '],[' 320328  '],[' 147411  '],"[' 359851   (Atom=Atom', ' 99301 Body=Body', ' 68797 Other', ' 191753)']",[' Yes'],"[' 23990    (Eliminated', '    0 Frozen', ' 23990)']","[' 3340     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.55995'],[' 0'], ,[' 238.783'],[' 0'],[' 12.387'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.63645e+08'],[' 2.2263e+08'],[' 0'],[' 1.33399e+10'],[' 0'],[' 0'],[' 1218 '],[' 2142 '],[' 2895 '],[' 3699 '],[' 4640 '],[' 5353 '],[' 7383 '],[' 7 '],[' 0 ']
Solving...,TA77, , , , ,[' 8005+'],[' 4010'],"[' 619.215s (Solving', ' 562.48s 1st Model', ' 103.26s Unsat', ' 0.00s)']",[' 616.938s'], ,[' 224531902'],"[' 7732502  (Analyzed', ' 7150539)']","[' 15804    (Average', ' 452.45 Last', ' 41455)']",[' 10413.1 '],"[' 4011     (Average Length', ' 2089.42 Splits', ' 0)']","[' 7150539  (Deleted', ' 7046749)']","[' 454      (Ratio', '   0.01%)']","[' 29913    (Ratio', '   0.42%)']","[' 7150539  (Average Length', '   22.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7150539  (Average', ' 27.32 Max', ' 12685 Sum', ' 195374024)']","[' 7147469  (Average', ' 26.58 Max', ' 12685 Sum', ' 190093292 Ratio', '  97.30%)']","[' 3070     (Average', ' 1720.11 Max', ' 2878 Sum', ' 5280732 Ratio', '   2.70%)']", ,[' 350482  '],[' 19157   '],[' 320979  '],[' 147912  '],"[' 359847   (Atom=Atom', ' 99310 Body=Body', ' 68789 Other', ' 191748)']",[' Yes'],"[' 23983    (Eliminated', '    0 Frozen', ' 23983)']","[' 5807     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.93625'],[' 0'], ,[' 230.269'],[' 0'],[' 14.538'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.75393e+08'],[' 3.22514e+08'],[' 0'],[' 1.21043e+10'],[' 0'],[' 0'],[' 1535 '],[' 2052 '],[' 3062 '],[' 3578 '],[' 4603 '],[' 5661 '],[' 6316 '],[' 7 '],[' 0 ']
Solving...,TA78, , , ,[' 1'],[' 8013+'],[' 4014'],"[' 614.581s (Solving', ' 565.33s 1st Model', ' 79.84s Unsat', ' 0.00s)']",[' 613.016s'], ,[' 206411833'],"[' 8299957  (Analyzed', ' 7948670)']","[' 17692    (Average', ' 449.28 Last', ' 36658)']",[' 9614.6  '],"[' 4014     (Average Length', ' 2048.08 Splits', ' 0)']","[' 7948670  (Deleted', ' 7834980)']","[' 570      (Ratio', '   0.01%)']","[' 23268    (Ratio', '   0.29%)']","[' 7948670  (Average Length', '   20.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7948670  (Average', ' 22.80 Max', ' 13307 Sum', ' 181206733)']","[' 7945343  (Average', ' 22.04 Max', ' 13307 Sum', ' 175191252 Ratio', '  96.68%)']","[' 3327     (Average', ' 1808.08 Max', ' 3047 Sum', ' 6015481 Ratio', '   3.32%)']", ,[' 348055  '],[' 18956   '],[' 318819  '],[' 146082  '],"[' 358822   (Atom=Atom', ' 99006 Body=Body', ' 68598 Other', ' 191218)']",[' Yes'],"[' 23855    (Eliminated', '    0 Frozen', ' 23855)']","[' 3869     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.21438'],[' 0'], ,[' 258.65'],[' 0'],[' 14.3424'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.18659e+08'],[' 2.71646e+08'],[' 0'],[' 1.45545e+10'],[' 0'],[' 0'],[' 1147 '],[' 2086 '],[' 2874 '],[' 3730 '],[' 4589 '],[' 5651 '],[' 6014 '],[' 7 '],[' 0 ']
Solving...,TA79, , , ,[' 1'],[' 8843+'],[' 4429'],"[' 616.019s (Solving', ' 559.66s 1st Model', ' 85.59s Unsat', ' 0.00s)']",[' 614.188s'], ,[' 219605527'],"[' 6662749  (Analyzed', ' 6158832)']","[' 14175    (Average', ' 434.49 Last', ' 42185)']",[' 9555.5  '],"[' 4429     (Average Length', ' 2203.79 Splits', ' 0)']","[' 6158832  (Deleted', ' 6051155)']","[' 686      (Ratio', '   0.01%)']","[' 30087    (Ratio', '   0.49%)']","[' 6158832  (Average Length', '   19.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6158832  (Average', ' 31.28 Max', ' 11961 Sum', ' 192663168)']","[' 6155277  (Average', ' 30.22 Max', ' 11961 Sum', ' 186142402 Ratio', '  96.62%)']","[' 3555     (Average', ' 1834.25 Max', ' 3175 Sum', ' 6520766 Ratio', '   3.38%)']", ,[' 350493  '],[' 19003   '],[' 320858  '],[' 147694  '],"[' 361671   (Atom=Atom', ' 99879 Body=Body', ' 68923 Other', ' 192869)']",[' Yes'],"[' 24225    (Eliminated', '    0 Frozen', ' 24225)']","[' 5711     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 10.3208'],[' 0'], ,[' 224.942'],[' 0'],[' 14.8031'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.56969e+08'],[' 3.09996e+08'],[' 0'],[' 1.11325e+10'],[' 0'],[' 0'],[' 1071 '],[' 1980 '],[' 2874 '],[' 3589 '],[' 4371 '],[' 5322 '],[' 6093 '],[' 7 '],[' 0 ']
Solving...,TA80, , , ,[' 1'],[' 8043+'],[' 4029'],"[' 614.857s (Solving', ' 563.38s 1st Model', ' 89.50s Unsat', ' 0.00s)']",[' 613.109s'], ,[' 231011704'],"[' 6441363  (Analyzed', ' 5906532)']","[' 13351    (Average', ' 442.40 Last', ' 38628)']",[' 9559.2  '],"[' 4029     (Average Length', ' 2019.41 Splits', ' 0)']","[' 5906532  (Deleted', ' 5799357)']","[' 601      (Ratio', '   0.01%)']","[' 34252    (Ratio', '   0.58%)']","[' 5906532  (Average Length', '   23.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5906532  (Average', ' 34.72 Max', ' 12463 Sum', ' 205069661)']","[' 5903325  (Average', ' 33.80 Max', ' 12463 Sum', ' 199613390 Ratio', '  97.34%)']","[' 3207     (Average', ' 1701.36 Max', ' 2875 Sum', ' 5456271 Ratio', '   2.66%)']", ,[' 349785  '],[' 19253   '],[' 320827  '],[' 147516  '],"[' 361688   (Atom=Atom', ' 99788 Body=Body', ' 69162 Other', ' 192738)']",[' Yes'],"[' 23964    (Eliminated', '    0 Frozen', ' 23964)']","[' 6139     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.36006'],[' 0'], ,[' 235.046'],[' 0'],[' 15.022'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.87625e+08'],[' 3.37347e+08'],[' 0'],[' 1.21905e+10'],[' 0'],[' 0'],[' 1458 '],[' 2203 '],[' 3005 '],[' 3569 '],[' 4375 '],[' 5281 '],[' 5853 '],[' 7 '],[' 0 ']
