Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , ,[' 1'],[' 5597+'],[' 2807'],"[' 612.228s (Solving', ' 571.19s 1st Model', ' 47.50s Unsat', ' 0.00s)']",[' 602.328s'], ,[' 124561099'],"[' 9117715  (Analyzed', ' 8828507)']","[' 19114    (Average', ' 461.89 Last', ' 9057)']",[' 7880.1  '],"[' 2807     (Average Length', ' 1489.62 Splits', ' 0)']","[' 8828507  (Deleted', ' 8712693)']","[' 244      (Ratio', '   0.00%)']","[' 15273    (Ratio', '   0.17%)']","[' 8828507  (Average Length', '   21.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8828507  (Average', ' 12.40 Max', ' 10708 Sum', ' 109498547)']","[' 8825820  (Average', ' 11.99 Max', ' 10708 Sum', ' 105844245 Ratio', '  96.66%)']","[' 2687     (Average', ' 1359.99 Max', ' 2151 Sum', ' 3654302 Ratio', '   3.34%)']", ,[' 308350  '],[' 14908   '],[' 283165  '],[' 114401  '],"[' 285130   (Atom=Atom', ' 79303 Body=Body', ' 53497 Other', ' 152330)']",[' Yes'],"[' 18893    (Eliminated', '    0 Frozen', ' 18893)']","[' 2878     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.69503'],[' 0'], ,[' 303.079'],[' 0'],[' 11.8708'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.98435e+08'],[' 1.61223e+08'],[' 0'],[' 1.5302e+10'],[' 0'],[' 0'],[' 1360 '],[' 2336 '],[' 3067 '],[' 3657 '],[' 4534 '],[' 4980 '],[' 5702 '],[' 6354 '],[' 8 '],[' 0 ']
Solving...,TA72, , , ,[' 1'],[' 5149+'],[' 2583'],"[' 610.601s (Solving', ' 577.34s 1st Model', ' 42.40s Unsat', ' 0.00s)']",[' 600.563s'], ,[' 106532909'],"[' 8437312  (Analyzed', ' 8218667)']","[' 18235    (Average', ' 450.71 Last', ' 13019)']",[' 7465.6  '],"[' 2583     (Average Length', ' 1370.75 Splits', ' 0)']","[' 8218667  (Deleted', ' 8106786)']","[' 238      (Ratio', '   0.00%)']","[' 14261    (Ratio', '   0.17%)']","[' 8218667  (Average Length', '   18.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8218667  (Average', ' 11.40 Max', ' 10316 Sum', ' 93700562)']","[' 8215982  (Average', ' 10.96 Max', ' 10316 Sum', ' 90108268 Ratio', '  96.17%)']","[' 2685     (Average', ' 1337.91 Max', ' 1991 Sum', ' 3592294 Ratio', '   3.83%)']", ,[' 306232  '],[' 14569   '],[' 280710  '],[' 112878  '],"[' 278443   (Atom=Atom', ' 77580 Body=Body', ' 52284 Other', ' 148579)']",[' Yes'],"[' 18402    (Eliminated', '    0 Frozen', ' 18402)']","[' 2535     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.35309'],[' 0'], ,[' 338.655'],[' 0'],[' 11.9335'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.69242e+08'],[' 1.36892e+08'],[' 0'],[' 1.64435e+10'],[' 0'],[' 0'],[' 996 '],[' 1934 '],[' 2516 '],[' 3459 '],[' 4086 '],[' 4622 '],[' 5531 '],[' 5978 '],[' 8 '],[' 0 ']
Solving...,TA73, , , ,[' 1'],[' 5731+'],[' 2874'],"[' 610.960s (Solving', ' 575.27s 1st Model', ' 42.66s Unsat', ' 0.00s)']",[' 602.828s'], ,[' 121820888'],"[' 10981141 (Analyzed', ' 10620854)']","[' 21804    (Average', ' 487.11 Last', ' 135972)']",[' 8024.5  '],"[' 2874     (Average Length', ' 1508.93 Splits', ' 0)']","[' 10620854 (Deleted', ' 10489995)']","[' 218      (Ratio', '   0.00%)']","[' 14197    (Ratio', '   0.13%)']","[' 10620854 (Average Length', '   20.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10620854 (Average', '  9.96 Max', ' 10665 Sum', ' 105762761)']","[' 10618241 (Average', '  9.62 Max', ' 10665 Sum', ' 102186140 Ratio', '  96.62%)']","[' 2613     (Average', ' 1368.78 Max', ' 2205 Sum', ' 3576621 Ratio', '   3.38%)']", ,[' 305805  '],[' 14643   '],[' 281152  '],[' 112867  '],"[' 280024   (Atom=Atom', ' 78039 Body=Body', ' 52432 Other', ' 149553)']",[' Yes'],"[' 18626    (Eliminated', '    0 Frozen', ' 18626)']","[' 2308     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.95451'],[' 0'], ,[' 325.188'],[' 0'],[' 11.5469'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.94634e+08'],[' 1.53773e+08'],[' 0'],[' 1.84643e+10'],[' 0'],[' 0'],[' 1408 '],[' 2247 '],[' 2962 '],[' 3547 '],[' 4307 '],[' 4816 '],[' 5556 '],[' 6263 '],[' 8 '],[' 0 ']
Solving...,TA74, , , ,[' 1'],[' 5337+'],[' 2677'],"[' 610.127s (Solving', ' 576.56s 1st Model', ' 41.25s Unsat', ' 0.00s)']",[' 599.875s'], ,[' 101417747'],"[' 9913878  (Analyzed', ' 9552568)']","[' 20826    (Average', ' 458.68 Last', ' 20161)']",[' 7598.6  '],"[' 2677     (Average Length', ' 1448.16 Splits', ' 0)']","[' 9552568  (Deleted', ' 9419663)']","[' 184      (Ratio', '   0.00%)']","[' 12383    (Ratio', '   0.13%)']","[' 9552568  (Average Length', '   17.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9552568  (Average', '  9.16 Max', ' 10567 Sum', ' 87477078)']","[' 9550057  (Average', '  8.81 Max', ' 10567 Sum', ' 84114385 Ratio', '  96.16%)']","[' 2511     (Average', ' 1339.18 Max', ' 2149 Sum', ' 3362693 Ratio', '   3.84%)']", ,[' 305786  '],[' 14450   '],[' 280091  '],[' 112215  '],"[' 277679   (Atom=Atom', ' 77356 Body=Body', ' 52031 Other', ' 148292)']",[' Yes'],"[' 18415    (Eliminated', '    0 Frozen', ' 18415)']","[' 2188     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.43711'],[' 0'], ,[' 340.562'],[' 0'],[' 11.8104'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.63659e+08'],[' 1.29943e+08'],[' 0'],[' 1.77356e+10'],[' 0'],[' 0'],[' 1107 '],[' 1844 '],[' 2487 '],[' 3502 '],[' 4137 '],[' 4827 '],[' 5470 '],[' 6040 '],[' 8 '],[' 0 ']
Solving...,TA75, , , ,[' 1'],[' 4917+'],[' 2467'],"[' 610.711s (Solving', ' 578.18s 1st Model', ' 35.92s Unsat', ' 0.00s)']",[' 604.656s'], ,[' 110800069'],"[' 9362344  (Analyzed', ' 9031856)']","[' 19312    (Average', ' 467.68 Last', ' 8518)']",[' 7175.0  '],"[' 2467     (Average Length', ' 1335.79 Splits', ' 0)']","[' 9031856  (Deleted', ' 8909311)']","[' 242      (Ratio', '   0.00%)']","[' 15677    (Ratio', '   0.17%)']","[' 9031856  (Average Length', '   20.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9031856  (Average', ' 10.93 Max', ' 10430 Sum', ' 98741025)']","[' 9029244  (Average', ' 10.58 Max', ' 10430 Sum', ' 95526732 Ratio', '  96.74%)']","[' 2612     (Average', ' 1230.59 Max', ' 1928 Sum', ' 3214293 Ratio', '   3.26%)']", ,[' 308325  '],[' 14755   '],[' 282355  '],[' 114142  '],"[' 280985   (Atom=Atom', ' 78159 Body=Body', ' 52815 Other', ' 150011)']",[' Yes'],"[' 18505    (Eliminated', '    0 Frozen', ' 18505)']","[' 2693     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.96484'],[' 0'], ,[' 345.665'],[' 0'],[' 12.1404'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.83579e+08'],[' 1.46878e+08'],[' 0'],[' 1.87257e+10'],[' 0'],[' 0'],[' 1125 '],[' 2101 '],[' 2679 '],[' 3560 '],[' 4222 '],[' 4929 '],[' 5991 '],[' 6190 '],[' 8 '],[' 0 ']
Solving...,TA76, , , ,[' 1'],[' 5395+'],[' 2706'],"[' 609.567s (Solving', ' 579.68s 1st Model', ' 32.99s Unsat', ' 0.00s)']",[' 607.078s'], ,[' 128229480'],"[' 13188741 (Analyzed', ' 12867139)']","[' 26327    (Average', ' 488.74 Last', ' 60058)']",[' 6758.0  '],"[' 2706     (Average Length', ' 1415.47 Splits', ' 0)']","[' 12867139 (Deleted', ' 12707890)']","[' 303      (Ratio', '   0.00%)']","[' 16798    (Ratio', '   0.13%)']","[' 12867139 (Average Length', '   18.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12867139 (Average', '  9.08 Max', ' 9882 Sum', ' 116797499)']","[' 12864304 (Average', '  8.76 Max', ' 9882 Sum', ' 112773079 Ratio', '  96.55%)']","[' 2835     (Average', ' 1419.55 Max', ' 6019 Sum', ' 4024420 Ratio', '   3.45%)']", ,[' 306129  '],[' 14460   '],[' 280162  '],[' 112682  '],"[' 278618   (Atom=Atom', ' 77600 Body=Body', ' 52205 Other', ' 148813)']",[' Yes'],"[' 18466    (Eliminated', '    0 Frozen', ' 18466)']","[' 3151     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.42368'],[' 0'], ,[' 355.169'],[' 0'],[' 11.8032'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.13892e+08'],[' 1.66727e+08'],[' 0'],[' 2.23414e+10'],[' 0'],[' 0'],[' 983 '],[' 1836 '],[' 2527 '],[' 3271 '],[' 3990 '],[' 4840 '],[' 5342 '],[' 6127 '],[' 8 '],[' 0 ']
Solving...,TA77, , , ,[' 1'],[' 4729+'],[' 2373'],"[' 610.317s (Solving', ' 578.67s 1st Model', ' 38.87s Unsat', ' 0.00s)']",[' 606.938s'], ,[' 117971005'],"[' 9770065  (Analyzed', ' 9435386)']","[' 20080    (Average', ' 469.89 Last', ' 41356)']",[' 7432.8  '],"[' 2373     (Average Length', ' 1304.12 Splits', ' 0)']","[' 9435386  (Deleted', ' 9315221)']","[' 274      (Ratio', '   0.00%)']","[' 14830    (Ratio', '   0.16%)']","[' 9435386  (Average Length', '   20.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9435386  (Average', ' 11.20 Max', ' 10988 Sum', ' 105658170)']","[' 9432693  (Average', ' 10.87 Max', ' 10988 Sum', ' 102543339 Ratio', '  97.05%)']","[' 2693     (Average', ' 1156.64 Max', ' 1912 Sum', ' 3114831 Ratio', '   2.95%)']", ,[' 306225  '],[' 14580   '],[' 280596  '],[' 112673  '],"[' 277923   (Atom=Atom', ' 77362 Body=Body', ' 52298 Other', ' 148263)']",[' Yes'],"[' 18255    (Eliminated', '    0 Frozen', ' 18255)']","[' 2762     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.74184'],[' 0'], ,[' 348.277'],[' 0'],[' 12.0125'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.87025e+08'],[' 1.4943e+08'],[' 0'],[' 1.81615e+10'],[' 0'],[' 0'],[' 1424 '],[' 2052 '],[' 2664 '],[' 3369 '],[' 4068 '],[' 4911 '],[' 5480 '],[' 6225 '],[' 8 '],[' 0 ']
Solving...,TA78, , , ,[' 1'],[' 5115+'],[' 2566'],"[' 610.157s (Solving', ' 576.91s 1st Model', ' 40.27s Unsat', ' 0.00s)']",[' 607.094s'], ,[' 114538057'],"[' 10627502 (Analyzed', ' 10303099)']","[' 20965    (Average', ' 491.44 Last', ' 5072)']",[' 7544.3  '],"[' 2566     (Average Length', ' 1371.18 Splits', ' 0)']","[' 10303099 (Deleted', ' 10175233)']","[' 265      (Ratio', '   0.00%)']","[' 12896    (Ratio', '   0.13%)']","[' 10303099 (Average Length', '   19.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10303099 (Average', '  9.85 Max', ' 10579 Sum', ' 101476631)']","[' 10300311 (Average', '  9.50 Max', ' 10579 Sum', ' 97840926 Ratio', '  96.42%)']","[' 2788     (Average', ' 1304.05 Max', ' 1992 Sum', ' 3635705 Ratio', '   3.58%)']", ,[' 305645  '],[' 14526   '],[' 280049  '],[' 112543  '],"[' 277967   (Atom=Atom', ' 77428 Body=Body', ' 52171 Other', ' 148368)']",[' Yes'],"[' 18357    (Eliminated', '    0 Frozen', ' 18357)']","[' 2536     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.11545'],[' 0'], ,[' 341.215'],[' 0'],[' 12.139'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.79023e+08'],[' 1.41841e+08'],[' 0'],[' 1.82913e+10'],[' 0'],[' 0'],[' 1104 '],[' 1914 '],[' 2772 '],[' 3363 '],[' 4140 '],[' 5023 '],[' 5734 '],[' 6091 '],[' 8 '],[' 0 ']
Solving...,TA79, , , ,[' 1'],[' 5925+'],[' 2971'],"[' 611.208s (Solving', ' 573.75s 1st Model', ' 46.24s Unsat', ' 0.00s)']",[' 607.219s'], ,[' 104620957'],"[' 9087215  (Analyzed', ' 8652835)']","[' 19608    (Average', ' 441.29 Last', ' 64952)']",[' 7476.5  '],"[' 2971     (Average Length', ' 1544.06 Splits', ' 0)']","[' 8652835  (Deleted', ' 8522594)']","[' 265      (Ratio', '   0.00%)']","[' 14901    (Ratio', '   0.17%)']","[' 8652835  (Average Length', '   16.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8652835  (Average', ' 10.36 Max', ' 10447 Sum', ' 89632442)']","[' 8650373  (Average', '  9.96 Max', ' 10447 Sum', ' 86146942 Ratio', '  96.11%)']","[' 2462     (Average', ' 1415.72 Max', ' 2293 Sum', ' 3485500 Ratio', '   3.89%)']", ,[' 307441  '],[' 14452   '],[' 281302  '],[' 113513  '],"[' 278962   (Atom=Atom', ' 77787 Body=Body', ' 52141 Other', ' 149034)']",[' Yes'],"[' 18607    (Eliminated', '    0 Frozen', ' 18607)']","[' 2896     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.04474'],[' 0'], ,[' 331.409'],[' 0'],[' 12.0995'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.75943e+08'],[' 1.40167e+08'],[' 0'],[' 1.77659e+10'],[' 0'],[' 0'],[' 959 '],[' 1647 '],[' 2424 '],[' 3229 '],[' 3891 '],[' 4645 '],[' 5335 '],[' 5920 '],[' 8 '],[' 0 ']
Solving...,TA80, , , ,[' 1'],[' 5813+'],[' 2915'],"[' 611.431s (Solving', ' 573.45s 1st Model', ' 46.63s Unsat', ' 0.00s)']",[' 608.328s'], ,[' 114873242'],"[' 9155284  (Analyzed', ' 8856109)']","[' 19488    (Average', ' 454.44 Last', ' 34988)']",[' 7667.1  '],"[' 2915     (Average Length', ' 1516.60 Splits', ' 0)']","[' 8856109  (Deleted', ' 8744734)']","[' 264      (Ratio', '   0.00%)']","[' 17392    (Ratio', '   0.20%)']","[' 8856109  (Average Length', '   19.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8856109  (Average', ' 11.23 Max', ' 10461 Sum', ' 99435122)']","[' 8853633  (Average', ' 10.86 Max', ' 10461 Sum', ' 96134240 Ratio', '  96.68%)']","[' 2476     (Average', ' 1333.15 Max', ' 2194 Sum', ' 3300882 Ratio', '   3.32%)']", ,[' 307192  '],[' 14671   '],[' 281842  '],[' 113579  '],"[' 281745   (Atom=Atom', ' 78498 Body=Body', ' 52762 Other', ' 150485)']",[' Yes'],"[' 18799    (Eliminated', '    0 Frozen', ' 18799)']","[' 3190     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.04955'],[' 0'], ,[' 321.401'],[' 0'],[' 11.3552'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.96687e+08'],[' 1.57483e+08'],[' 0'],[' 1.66699e+10'],[' 0'],[' 0'],[' 1201 '],[' 2078 '],[' 2686 '],[' 3250 '],[' 3949 '],[' 4570 '],[' 5425 '],[' 6039 '],[' 8 '],[' 0 ']
