Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , ,[' 1'],[' 5683+'],[' 2851'],"[' 610.924s (Solving', ' 575.43s 1st Model', ' 36.84s Unsat', ' 0.00s)']",[' 608.000s'], ,[' 127830345'],"[' 10840245 (Analyzed', ' 10647532)']","[' 22602    (Average', ' 471.09 Last', ' 15596)']",[' 7902.6  '],"[' 2851     (Average Length', ' 1517.85 Splits', ' 0)']","[' 10647532 (Deleted', ' 10506962)']","[' 522      (Ratio', '   0.00%)']","[' 15515    (Ratio', '   0.15%)']","[' 10647532 (Average Length', '   20.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10647532 (Average', ' 10.58 Max', ' 10903 Sum', ' 112643702)']","[' 10644566 (Average', ' 10.23 Max', ' 10903 Sum', ' 108895763 Ratio', '  96.67%)']","[' 2966     (Average', ' 1263.63 Max', ' 2264 Sum', ' 3747939 Ratio', '   3.33%)']", ,[' 315169  '],[' 15418   '],[' 290400  '],[' 123520  '],"[' 296029   (Atom=Atom', ' 82971 Body=Body', ' 56794 Other', ' 156264)']",[' Yes'],"[' 19417    (Eliminated', '    0 Frozen', ' 19417)']","[' 3177     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.55806'],[' 0'], ,[' 326.964'],[' 0'],[' 11.9753'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.1197e+08'],[' 1.70151e+08'],[' 0'],[' 1.83699e+10'],[' 0'],[' 0'],[' 1077 '],[' 2075 '],[' 2838 '],[' 3446 '],[' 3936 '],[' 4727 '],[' 5103 '],[' 5817 '],[' 6369 '],[' 9 '],[' 0 ']
Solving...,TA72, , , ,[' 1'],[' 6073+'],[' 3046'],"[' 610.827s (Solving', ' 574.43s 1st Model', ' 37.99s Unsat', ' 0.00s)']",[' 609.094s'], ,[' 113691597'],"[' 11460829 (Analyzed', ' 11208814)']","[' 24787    (Average', ' 452.21 Last', ' 6073)']",[' 8323.1  '],"[' 3046     (Average Length', ' 1591.15 Splits', ' 0)']","[' 11208814 (Deleted', ' 11071962)']","[' 375      (Ratio', '   0.00%)']","[' 12680    (Ratio', '   0.11%)']","[' 11208814 (Average Length', '   16.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11208814 (Average', '  8.57 Max', ' 10947 Sum', ' 96026995)']","[' 11206132 (Average', '  8.25 Max', ' 10947 Sum', ' 92422623 Ratio', '  96.25%)']","[' 2682     (Average', ' 1343.91 Max', ' 2333 Sum', ' 3604372 Ratio', '   3.75%)']", ,[' 312854  '],[' 15061   '],[' 288125  '],[' 121883  '],"[' 290969   (Atom=Atom', ' 81716 Body=Body', ' 55677 Other', ' 153576)']",[' Yes'],"[' 19244    (Eliminated', '    0 Frozen', ' 19244)']","[' 2292     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.89341'],[' 0'], ,[' 331.734'],[' 0'],[' 11.2324'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.84125e+08'],[' 1.45149e+08'],[' 0'],[' 1.85866e+10'],[' 0'],[' 0'],[' 964 '],[' 1931 '],[' 2339 '],[' 2947 '],[' 3551 '],[' 4333 '],[' 4783 '],[' 5489 '],[' 5910 '],[' 9 '],[' 0 ']
Solving...,TA73, , , ,[' 1'],[' 5419+'],[' 2719'],"[' 609.465s (Solving', ' 578.74s 1st Model', ' 39.04s Unsat', ' 0.00s)']",[' 607.422s'], ,[' 124007661'],"[' 11298443 (Analyzed', ' 10925825)']","[' 23122    (Average', ' 472.53 Last', ' 39450)']",[' 7842.5  '],"[' 2719     (Average Length', ' 1473.37 Splits', ' 0)']","[' 10925825 (Deleted', ' 10778848)']","[' 347      (Ratio', '   0.00%)']","[' 15969    (Ratio', '   0.15%)']","[' 10925825 (Average Length', '   19.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10925825 (Average', ' 10.00 Max', ' 10842 Sum', ' 109208723)']","[' 10923250 (Average', '  9.68 Max', ' 10842 Sum', ' 105768981 Ratio', '  96.85%)']","[' 2575     (Average', ' 1335.82 Max', ' 2253 Sum', ' 3439742 Ratio', '   3.15%)']", ,[' 313031  '],[' 15156   '],[' 288282  '],[' 121780  '],"[' 290519   (Atom=Atom', ' 81533 Body=Body', ' 55771 Other', ' 153215)']",[' Yes'],"[' 19026    (Eliminated', '    0 Frozen', ' 19026)']","[' 2602     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.92429'],[' 0'], ,[' 345.019'],[' 0'],[' 11.9997'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.00839e+08'],[' 1.59633e+08'],[' 0'],[' 1.94102e+10'],[' 0'],[' 0'],[' 1342 '],[' 1958 '],[' 2624 '],[' 3191 '],[' 3794 '],[' 4548 '],[' 5033 '],[' 5652 '],[' 6384 '],[' 9 '],[' 0 ']
Solving...,TA74, , , ,[' 1'],[' 6625+'],[' 3322'],"[' 611.375s (Solving', ' 570.58s 1st Model', ' 45.59s Unsat', ' 0.00s)']",[' 609.031s'], ,[' 119698757'],"[' 9919601  (Analyzed', ' 9710566)']","[' 20861    (Average', ' 465.49 Last', ' 17725)']",[' 7601.8  '],"[' 3322     (Average Length', ' 1696.57 Splits', ' 0)']","[' 9710566  (Deleted', ' 9574276)']","[' 585      (Ratio', '   0.01%)']","[' 15288    (Ratio', '   0.16%)']","[' 9710566  (Average Length', '   17.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9710566  (Average', ' 10.69 Max', ' 10539 Sum', ' 103766450)']","[' 9707619  (Average', ' 10.24 Max', ' 10539 Sum', ' 99430452 Ratio', '  95.82%)']","[' 2947     (Average', ' 1471.33 Max', ' 2603 Sum', ' 4335998 Ratio', '   4.18%)']", ,[' 312479  '],[' 14958   '],[' 288133  '],[' 121287  '],"[' 291566   (Atom=Atom', ' 81933 Body=Body', ' 55592 Other', ' 154041)']",[' Yes'],"[' 19449    (Eliminated', '    0 Frozen', ' 19449)']","[' 2561     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.68486'],[' 0'], ,[' 305.646'],[' 0'],[' 11.9826'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.93545e+08'],[' 1.57143e+08'],[' 0'],[' 1.59459e+10'],[' 0'],[' 0'],[' 944 '],[' 1665 '],[' 2285 '],[' 2888 '],[' 3672 '],[' 4212 '],[' 5061 '],[' 5583 '],[' 5980 '],[' 9 '],[' 0 ']
Solving...,TA75, , , ,[' 1'],[' 5659+'],[' 2839'],"[' 612.632s (Solving', ' 572.04s 1st Model', ' 51.07s Unsat', ' 0.00s)']",[' 606.922s'], ,[' 115227305'],"[' 9462328  (Analyzed', ' 9225814)']","[' 19932    (Average', ' 462.86 Last', ' 20594)']",[' 7609.7  '],"[' 2839     (Average Length', ' 1502.41 Splits', ' 0)']","[' 9225814  (Deleted', ' 9089813)']","[' 555      (Ratio', '   0.01%)']","[' 14842    (Ratio', '   0.16%)']","[' 9225814  (Average Length', '   18.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9225814  (Average', ' 10.95 Max', ' 10896 Sum', ' 101000860)']","[' 9222883  (Average', ' 10.53 Max', ' 10896 Sum', ' 97178951 Ratio', '  96.22%)']","[' 2931     (Average', ' 1303.96 Max', ' 2272 Sum', ' 3821909 Ratio', '   3.78%)']", ,[' 314808  '],[' 15355   '],[' 289958  '],[' 123012  '],"[' 295581   (Atom=Atom', ' 82894 Body=Body', ' 56713 Other', ' 155974)']",[' Yes'],"[' 19379    (Eliminated', '    0 Frozen', ' 19379)']","[' 2784     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.45552'],[' 0'], ,[' 309.952'],[' 0'],[' 11.6875'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.84224e+08'],[' 1.4972e+08'],[' 0'],[' 1.47223e+10'],[' 0'],[' 0'],[' 1051 '],[' 1823 '],[' 2667 '],[' 3138 '],[' 3719 '],[' 4380 '],[' 5071 '],[' 5970 '],[' 6323 '],[' 9 '],[' 0 ']
Solving...,TA76, , , ,[' 1'],[' 5513+'],[' 2766'],"[' 608.950s (Solving', ' 578.88s 1st Model', ' 32.82s Unsat', ' 0.00s)']",[' 607.266s'], ,[' 113081971'],"[' 11121688 (Analyzed', ' 10857061)']","[' 23416    (Average', ' 463.66 Last', ' 49889)']",[' 7537.6  '],"[' 2766     (Average Length', ' 1486.27 Splits', ' 0)']","[' 10857061 (Deleted', ' 10717599)']","[' 429      (Ratio', '   0.00%)']","[' 15334    (Ratio', '   0.14%)']","[' 10857061 (Average Length', '   18.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10857061 (Average', '  9.11 Max', ' 10964 Sum', ' 98956479)']","[' 10854489 (Average', '  8.80 Max', ' 10964 Sum', ' 95540679 Ratio', '  96.55%)']","[' 2572     (Average', ' 1328.07 Max', ' 2265 Sum', ' 3415800 Ratio', '   3.45%)']", ,[' 314086  '],[' 15102   '],[' 288661  '],[' 122510  '],"[' 290626   (Atom=Atom', ' 81508 Body=Body', ' 55694 Other', ' 153424)']",[' Yes'],"[' 19055    (Eliminated', '    0 Frozen', ' 19055)']","[' 2864     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.7649'],[' 0'], ,[' 355.755'],[' 0'],[' 11.0839'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.84794e+08'],[' 1.46219e+08'],[' 0'],[' 1.93305e+10'],[' 0'],[' 0'],[' 938 '],[' 1714 '],[' 2401 '],[' 2904 '],[' 3652 '],[' 4312 '],[' 4874 '],[' 5430 '],[' 6096 '],[' 9 '],[' 0 ']
Solving...,TA77, , , ,[' 1'],[' 6265+'],[' 3142'],"[' 611.860s (Solving', ' 572.91s 1st Model', ' 43.35s Unsat', ' 0.00s)']",[' 609.391s'], ,[' 115047854'],"[' 10467707 (Analyzed', ' 10264148)']","[' 21524    (Average', ' 476.87 Last', ' 67824)']",[' 8120.2  '],"[' 3142     (Average Length', ' 1646.68 Splits', ' 0)']","[' 10264148 (Deleted', ' 10137232)']","[' 416      (Ratio', '   0.00%)']","[' 14058    (Ratio', '   0.14%)']","[' 10264148 (Average Length', '   18.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10264148 (Average', '  9.48 Max', ' 11120 Sum', ' 97337052)']","[' 10261627 (Average', '  9.16 Max', ' 11120 Sum', ' 93992173 Ratio', '  96.56%)']","[' 2521     (Average', ' 1326.81 Max', ' 2467 Sum', ' 3344879 Ratio', '   3.44%)']", ,[' 313160  '],[' 15058   '],[' 288607  '],[' 121888  '],"[' 289791   (Atom=Atom', ' 81404 Body=Body', ' 55347 Other', ' 153040)']",[' Yes'],"[' 19205    (Eliminated', '    0 Frozen', ' 19205)']","[' 2267     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.46568'],[' 0'], ,[' 316.663'],[' 0'],[' 11.2399'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.93176e+08'],[' 1.52709e+08'],[' 0'],[' 1.72636e+10'],[' 0'],[' 0'],[' 1345 '],[' 1825 '],[' 2221 '],[' 3070 '],[' 3603 '],[' 4468 '],[' 4785 '],[' 5478 '],[' 6064 '],[' 9 '],[' 0 ']
Solving...,TA78, , , ,[' 1'],[' 5541+'],[' 2780'],"[' 611.955s (Solving', ' 574.05s 1st Model', ' 43.37s Unsat', ' 0.00s)']",[' 608.375s'], ,[' 108004262'],"[' 10230063 (Analyzed', ' 9972116)']","[' 20362    (Average', ' 489.74 Last', ' 83879)']",[' 7751.7  '],"[' 2780     (Average Length', ' 1484.11 Splits', ' 0)']","[' 9972116  (Deleted', ' 9846930)']","[' 449      (Ratio', '   0.00%)']","[' 13282    (Ratio', '   0.13%)']","[' 9972116  (Average Length', '   18.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9972116  (Average', '  9.35 Max', ' 11131 Sum', ' 93221452)']","[' 9969542  (Average', '  9.01 Max', ' 11131 Sum', ' 89862083 Ratio', '  96.40%)']","[' 2574     (Average', ' 1305.12 Max', ' 2268 Sum', ' 3359369 Ratio', '   3.60%)']", ,[' 312175  '],[' 14956   '],[' 287210  '],[' 120872  '],"[' 289233   (Atom=Atom', ' 81175 Body=Body', ' 55442 Other', ' 152616)']",[' Yes'],"[' 18983    (Eliminated', '    0 Frozen', ' 18983)']","[' 2042     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.93779'],[' 0'], ,[' 324.297'],[' 0'],[' 11.7694'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.69468e+08'],[' 1.34368e+08'],[' 0'],[' 1.67344e+10'],[' 0'],[' 0'],[' 1104 '],[' 1784 '],[' 2346 '],[' 3032 '],[' 3579 '],[' 4378 '],[' 4903 '],[' 5901 '],[' 6085 '],[' 9 '],[' 0 ']
Solving...,TA79, , , , ,[' 5339+'],[' 2677'],"[' 598.314s (Solving', ' 508.61s 1st Model', ' 83.02s Unsat', ' 0.00s)']",[' 580.250s'], ,[' 51050386'],"[' 1997289  (Analyzed', ' 1617405)']","[' 4645     (Average', ' 348.20 Last', ' 34998)']",[' 8215.7  '],"[' 2677     (Average Length', ' 1468.88 Splits', ' 0)']","[' 1617405  (Deleted', ' 1571767)']","[' 365      (Ratio', '   0.02%)']","[' 4345     (Ratio', '   0.27%)']","[' 1617405  (Average Length', '   16.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1617405  (Average', ' 21.58 Max', ' 13486 Sum', ' 34910000)']","[' 1615461  (Average', ' 20.13 Max', ' 13486 Sum', ' 32551331 Ratio', '  93.24%)']","[' 1944     (Average', ' 1213.31 Max', ' 2224 Sum', ' 2358669 Ratio', '   6.76%)']", ,[' 313652  '],[' 15005   '],[' 288187  '],[' 121732  '],"[' 289734   (Atom=Atom', ' 81308 Body=Body', ' 55635 Other', ' 152791)']",[' Yes'],"[' 18994    (Eliminated', '    0 Frozen', ' 18994)']","[' 693      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.25'],[' 0'], ,[' 131.431'],[' 0'],[' 9.09137'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.53262e+07'],[' 6.48668e+07'],[' 0'],[' 1.974e+09'],[' 0'],[' 0'],[' 959 '],[' 1526 '],[' 2261 '],[' 4896 '],[' 3563 '],[' 4206 '],[' 4942 '],[' 5910 '],[' 6596 '],[' 9 '],[' 0 ']
Solving...,TA80, , , ,[' 1'],[' 5701+'],[' 2860'],"[' 609.109s (Solving', ' 576.35s 1st Model', ' 37.06s Unsat', ' 0.00s)']",[' 604.750s'], ,[' 116539702'],"[' 10341848 (Analyzed', ' 10050259)']","[' 22256    (Average', ' 451.58 Last', ' 5011)']",[' 7779.8  '],"[' 2860     (Average Length', ' 1493.67 Splits', ' 0)']","[' 10050259 (Deleted', ' 9910647)']","[' 503      (Ratio', '   0.01%)']","[' 16149    (Ratio', '   0.16%)']","[' 10050259 (Average Length', '   18.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10050259 (Average', ' 10.08 Max', ' 10729 Sum', ' 101289967)']","[' 10047378 (Average', '  9.72 Max', ' 10729 Sum', ' 97731033 Ratio', '  96.49%)']","[' 2881     (Average', ' 1235.31 Max', ' 2124 Sum', ' 3558934 Ratio', '   3.51%)']", ,[' 312027  '],[' 15176   '],[' 287945  '],[' 121272  '],"[' 292558   (Atom=Atom', ' 82054 Body=Body', ' 56086 Other', ' 154418)']",[' Yes'],"[' 19216    (Eliminated', '    0 Frozen', ' 19216)']","[' 3054     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.2166'],[' 0'], ,[' 346.122'],[' 0'],[' 11.2852'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.92408e+08'],[' 1.54631e+08'],[' 0'],[' 2.04945e+10'],[' 0'],[' 0'],[' 1092 '],[' 2006 '],[' 2714 '],[' 3065 '],[' 3579 '],[' 4231 '],[' 4849 '],[' 5594 '],[' 5959 '],[' 9 '],[' 0 ']
